q, (a, b, c)
1.5, (-8234999500119.537, 3624690.604175463, 8234986840286.586)
2.5, (-150742097.7626428, 33.462593230818875, 129830736.96011806)
3.5, (-54646271.89254283, 12.160456283568818, 39688959.10108906)
4.5, (-43419243.11894142, 21.94157104869583, 35536580.06953839)
5.5, (-32890170.6063854, 18.70054870213683, 27359590.06738777)
6.5, (-29308441.331137206, 20.763043999047365, 26753497.97921782)
7.5, (-35620281.26352507, 46.00728646155464, 35668173.8565076)
8.5, (-28692292.63360286, 41.601451853536574, 27893875.793328326)
9.5, (-24959810.497759115, 31.12474105272962, 23198069.82662037)
10.5, (-19130128.749831006, 23.165865184778625, 17341837.65170397)
11.5, (-13541030.5114612, 16.60954427881698, 13021049.717125377)
12.5, (-17913816.600058075, 77.38787069510336, 19920648.877281107)
13.5, (-8986066.313751975, 18.971363208436138, 9551430.084511047)
14.5, (-10058597.60909791, 21.29172202253643, 10135509.437368765)
15.5, (-9922217.168871952, 16.260862460341823, 9328489.831972338)
16.5, (-9900111.451291367, 8.402773421360779, 7888545.940058809)
17.5, (-8002292.309005955, 8.693452289985531, 6421837.567425346)
18.5, (-8200870.315627099, 9.186854024982212, 6710334.268756746)
19.5, (-5012449.971090426, 8.390823925270876, 4439101.378317619)
20.5, (-4658792.773171958, 11.829154721303917, 4363120.977953016)
21.5, (-4214854.939688324, 12.444071429033752, 4104078.591779395)
22.5, (-4107322.808432672, 7.986351393525073, 3478329.58507739)
23.5, (-3942259.991420331, 6.914526007441943, 3197144.6747122793)
24.5, (-3220836.676614112, 7.34641752200993, 2756741.6068573846)
25.5, (-2995867.779804055, 7.83180860419233, 2640662.054281186)
26.5, (-2650974.847570034, 8.147490873979656, 2433518.983188289)
27.5, (-2299810.4902448184, 10.114112896987953, 2235064.6630349094)
28.5, (-2017098.3918331587, 7.3623090914389415, 1868761.2653613682)
29.5, (-1950013.5409066312, 6.612856340542851, 1734553.6081622958)
30.5, (-2354820.9538336415, 6.675001522778807, 1964946.6978876058)
31.5, (-2389150.118065842, 7.108823794872864, 1989494.9266945873)
32.5, (-2128059.1282456913, 7.274299809932065, 1803053.3501137863)
33.5, (-1903534.805531825, 10.572771102078313, 1798441.4956225874)
34.5, (-1655497.2290147813, 7.87298132030457, 1479285.3990496164)
35.5, (-1626483.1205091872, 8.015818647866395, 1474649.5438370407)
36.5, (-1329279.6822296153, 6.803185858281911, 1191216.6464178355)
37.5, (-1297221.7028359943, 13.283886071692004, 1393742.0836775498)
38.5, (-1256468.2340586297, 11.08963273294962, 1287758.093857956)
39.5, (-1183829.0532611667, 9.76877782063572, 1199692.1389036176)
40.5, (-954406.44606718, 15.632347103812245, 1154302.1463857456)
41.5, (-946067.9893138617, 11.320043813157492, 1020074.9758445185)
42.5, (-992376.724692775, 9.009175433555733, 994489.619307158)
43.5, (-852904.6061166837, 7.380455858889568, 831780.4959210063)
44.5, (-865717.9226364794, 5.376309114528474, 756061.2389056857)
45.5, (-843334.4360533848, 7.658110402638615, 804190.88915999)
46.5, (-766183.1118307504, 9.301530738608259, 786925.4579253703)
47.5, (-724341.2507405443, 8.765409252004067, 736835.0862169982)
48.5, (-628866.8818420337, 7.125312181120552, 622190.065558491)
49.5, (-674166.5710257498, 7.354212962536809, 638944.1857487027)
50.5, (-577281.860479055, 7.764408519633633, 576540.6495232587)
51.5, (-553804.6607163908, 8.184654582228857, 551552.076671374)
52.5, (-527660.935286361, 9.54887370744084, 559832.9375299845)
