q, (a, b, c)
1.5, (-872763448811.8599, 1035704.524638626, 872757684483.0515)
2.5, (-893067906370.4473, 1256666.8373356292, 893062652472.4625)
3.5, (-88804115.91423953, 67.08659812955281, 81632903.15572684)
4.5, (-325803508770.3712, 368859.1121839546, 325800177744.9878)
5.5, (-180862111.25996223, 218.79776317477857, 179312132.21940312)
6.5, (-47489476.95091218, 29.982431498355762, 44916767.19526841)
7.5, (-39668915.68488505, 9.332098315798373, 28851694.880241554)
8.5, (-30106307.622665282, 11.64631860611753, 24097483.667914517)
9.5, (-27221943.490577944, 13.16568995204003, 21665620.519347295)
10.5, (-29325774.03291746, 8.444163678519196, 20921097.3775208)
11.5, (-19422489.17066139, 7.987658761714985, 14354033.214027211)
12.5, (-15205989.454260128, 7.5799999435000185, 11690659.54861999)
13.5, (-15226054.013589464, 11.118307572378347, 13063645.849186394)
14.5, (-14817088.778697135, 8.261068103100927, 11986812.178247869)
15.5, (-13282401.884924633, 6.663110551004386, 10471059.282341855)
16.5, (-11648251.987669857, 6.991620099039408, 9354886.071532445)
17.5, (-9791828.607778696, 6.5812675578528355, 7676374.074256326)
18.5, (-11741374.575512143, 6.091138287775134, 8715031.449168151)
19.5, (-10059038.831391046, 5.071936761042202, 7302859.32178506)
20.5, (-8555389.357128602, 5.582005917364245, 6467787.954836488)
21.5, (-8367653.429124013, 4.891736725110742, 6008155.1423944095)
22.5, (-7620539.135947537, 4.543058765629927, 5555951.49439623)
23.5, (-6263480.619980455, 4.860798049800873, 4769390.50531112)
24.5, (-5606456.463958538, 4.545137733191277, 4228598.331870424)
25.5, (-4950570.332195615, 4.78491713521757, 3788983.942636505)
26.5, (-5023948.857966716, 3.9709593867169244, 3634380.6443962404)
27.5, (-4374361.137872659, 4.100105421820186, 3323981.192802352)
28.5, (-5040562.481515737, 2.9962354748519724, 3441073.367157368)
29.5, (-4424687.099424612, 3.3629875729745438, 3115936.0630527013)
30.5, (-3909911.0949451416, 3.8486265801196073, 2876978.4313923107)
31.5, (-3843550.457798408, 3.5900575266570827, 2804908.0079505644)
32.5, (-3787391.8639098187, 3.1166481466240743, 2595030.4151003803)
33.5, (-3042741.7430443927, 3.5082672545137408, 2261375.5973524987)
34.5, (-2862163.0905403714, 3.2388052771160276, 2082448.9636423336)
35.5, (-2995039.6065250523, 2.7568104729781617, 2027284.0623644898)
36.5, (-2642162.060858672, 2.9164561593630705, 1811298.5967549556)
37.5, (-2519951.58259499, 2.588125361333018, 1696106.0488569667)
38.5, (-2328136.124723319, 2.472690028601626, 1564490.9501883483)
39.5, (-2148131.017043298, 3.07914599010065, 1594971.0310253687)
40.5, (-1617245.3630829954, 4.176041813414844, 1376225.4792955958)
41.5, (-1831156.4772120684, 3.050626580673473, 1360959.1590003623)
42.5, (-1848466.1692153893, 2.8112094173615523, 1321904.5346194438)
43.5, (-1768293.730451741, 2.441051735777896, 1225580.1274554543)
44.5, (-1629126.3315803676, 2.2776347954485443, 1150371.6572434716)
45.5, (-1464647.6189598474, 2.768416139719492, 1104156.3252289651)
46.5, (-1438480.6849966734, 2.229627490829437, 981687.1736312209)
47.5, (-1356011.811341151, 2.2228112095306862, 942735.5727458537)
48.5, (-1222092.1089612201, 2.3057464922614663, 847298.2986569628)
49.5, (-1277035.5982904169, 2.0277031784815622, 842544.7583633573)
50.5, (-1197670.3201488291, 2.0852763884558603, 801335.5298773308)
51.5, (-1110196.2995540416, 2.1823805071819184, 768403.5530502932)
52.5, (-1128099.311976501, 2.080336954432637, 759407.2515835731)
53.5, (-838012.7563521412, 2.514299808653461, 649016.8052473577)
54.5, (-795190.9294678913, 2.7647302770184066, 631951.4533023979)
55.5, (-700681.65648367, 2.953104026961536, 597106.6901375599)
56.5, (-652966.3611786913, 3.242250364788336, 584581.7017727594)
57.5, (-772856.722862272, 2.243624665741258, 560090.412349576)
58.5, (-736586.6094692844, 2.282652431004158, 547965.6107435408)
59.5, (-707663.2526536139, 2.1076872826298945, 505846.1913620283)
60.5, (-748885.4401187064, 1.8307689903349635, 487295.61268412543)
61.5, (-656465.2751088585, 2.126364423540993, 473442.1313832354)
62.5, (-583183.1980322417, 2.2201092830499576, 440392.46508972475)
63.5, (-616082.2087613385, 1.9048566019496243, 434180.6845142337)
64.5, (-584837.7345222674, 2.0566365367924635, 425198.3846493524)
65.5, (-525630.9135852598, 2.2372833435808093, 412060.8250922612)
66.5, (-557210.0427627362, 1.9786273507894878, 405849.74065208505)
67.5, (-499632.6995222346, 2.026132188053443, 369749.6652565195)
68.5, (-497661.634968858, 1.951697179686744, 359326.2366073117)
69.5, (-450473.5358935734, 2.011242184827333, 336706.0501583098)
70.5, (-448233.22003263026, 1.7855827268037867, 318100.05286432104)
71.5, (-393066.7168110544, 2.2699809444391437, 322865.0968113472)
72.5, (-400640.64179956354, 2.083219634848353, 313183.69559023436)
73.5, (-412530.7230786408, 1.8423862389994698, 297741.09552780836)
74.5, (-405861.2939426615, 1.7228357954091782, 283695.91606971814)
75.5, (-343154.75347017194, 1.9571130928648535, 268504.039671993)
76.5, (-334246.7925454711, 1.9620872464233148, 263873.6911226857)
77.5, (-330544.70136388886, 1.7604905120112195, 244760.6515882505)
78.5, (-319006.1123402989, 1.8720857396796542, 249620.69078029235)
79.5, (-282674.32104549377, 2.0610958869441727, 235275.01226098413)
80.5, (-284864.03202930966, 1.8982332779360327, 225491.90595412758)
81.5, (-317490.742506096, 1.4706186951998406, 214426.01683451165)
82.5, (-234340.31526673754, 2.3382869606392838, 211893.41271183995)
83.5, (-196109.14131254703, 2.653123472003975, 197130.15424147903)
84.5, (-224288.71194187264, 1.8232118299976179, 181055.52084334608)
85.5, (-200866.64458403375, 2.0048669311282104, 174509.52753147067)
86.5, (-235209.30642250847, 1.5282505352174038, 171556.9988908879)
87.5, (-199205.41274695736, 1.8993313351526488, 168629.88167672057)
88.5, (-219808.46796052298, 1.545065197602665, 162953.10294619753)
89.5, (-178890.27377510216, 2.0367014423614487, 159223.54571198396)
90.5, (-206185.94415067183, 1.4997094088822729, 151686.9692997359)
91.5, (-149925.66894829768, 2.1001613723462205, 143336.91564427633)
92.5, (-1797383109.896709, 2162250.3108097794, 1797488585.2531562)
93.5, (-243012.4200019862, 341.63050984783064, 347776.92289370345)
94.5, (-129669.52017176947, 2.1638631040225986, 127282.68696000523)
95.5, (-241563.38225066484, 356.1578741514236, 340033.0894744364)
96.5, (-201483416.0490491, 289791.1449224181, 201574014.58162943)
97.5, (-71482368.5249793, 107033.48087899655, 71567378.53860968)
98.5, (-233025929.5965923, 356635.1811966958, 233110056.47367847)
99.5, (-197960268.0763888, 342805.2253197074, 198039143.2990073)
100.5, (-307100988.2876815, 595445.8064627424, 307183751.3037944)
101.5, (-131773.45089130732, 1.4442707383230755, 100898.4470026573)
102.5, (-162532789.67628118, 304126.5987689139, 162608711.04352427)
103.5, (-199580200.92539394, 343482.4440487946, 199649396.2091835)
104.5, (-448129413.77481914, 658393.5748940505, 448194837.66608644)
105.5, (-2122162469.2294726, 2905484.8146776967, 2122227943.2040162)
106.5, (-430884469.6270686, 839295.7378529877, 430947962.93928)
107.5, (-259262689.07822075, 461698.11804763897, 259323724.44212952)
108.5, (-217125408.4644037, 437448.7982128024, 217186002.49460408)
109.5, (-186153602.28224862, 330362.36807075015, 186210900.5008473)
110.5, (-423258535.7729051, 907696.7713625354, 423315937.6218425)
111.5, (-150136980.20999262, 323167.8331237206, 150191279.17425594)
112.5, (-107180456.18733086, 228284.90827054722, 107232960.55598591)
113.5, (-169783986.93687943, 391764.82011515286, 169835268.22855163)
114.5, (-132391846.17230481, 290468.6631930745, 132441764.18293111)
115.5, (-110524194.3534521, 244699.88976190245, 110571484.50766632)
116.5, (-159776.4763997106, 355.4028049183153, 207939.09329915087)
117.5, (-104622698.57692853, 279595.6405512587, 104667582.32208909)
118.5, (-1007877914.9634515, 2547096.1958786566, 1007920268.2962521)
119.5, (-94333802.50953037, 271015.0880496133, 94374644.13524915)
120.5, (-267284213.11742425, 725390.1804470238, 267324378.0476569)
121.5, (-340779851.22283417, 1045269.9128774727, 340819774.204698)
122.5, (-84585939.1839031, 277100.5885118517, 84625222.6766211)
123.5, (-78708613.17703333, 249443.01148492066, 78744952.38822442)
124.5, (-285622290.1714568, 1040556.4309120637, 285659121.88457656)
125.5, (-222878789.0592161, 728322.7476716477, 222913367.73710594)
126.5, (-72060054.18108252, 270060.8592054056, 72095126.8542243)
127.5, (-236076719.3534263, 846097.0939392216, 236109599.2593246)
128.5, (-61037810.721918605, 229732.86939689223, 61069316.86589945)
129.5, (-140444677.22081843, 540792.4888354217, 140476991.42062023)
130.5, (-289103026.38503516, 1005328.7871756958, 289133163.07498515)
131.5, (-110798709.46402052, 418581.7087132445, 110827560.45851788)
132.5, (-907186645.8267481, 3684513.140977243, 907214893.5855488)
133.5, (-75494477.08041376, 318867.34919664206, 75522070.30474272)
