q, (a, b, c)
1.5, (-6786003.268929928, 12.952492168789973, 5882388.558807103)
2.5, (-18960883.415558975, 121.82748002566466, 18950264.424680904)
3.5, (-40563804.866651855, 161.7006875138219, 40319579.992343724)
4.5, (-15446505.550971566, 54.415390428070346, 15574052.578165097)
5.5, (-24983878.654601492, 82.80067153932114, 24595151.974192373)
6.5, (-126900534324.77397, 482336.69616895774, 126899979665.61017)
7.5, (-116808447321.02557, 539132.7497136014, 116807118770.28802)
8.5, (-209914467796.75385, 1017145.6238168522, 209914122689.69727)
9.5, (-42620536.57658275, 121.10286133456331, 41630637.25037797)
10.5, (-161462029.7344939, 731.1775272915336, 161520157.22203687)
11.5, (-11846406.268401256, 28.462406187659766, 11516729.345957294)
12.5, (-18531552.58647998, 58.13093718454161, 17955341.968894776)
13.5, (-11626585.285283668, 31.635029728294107, 10741512.916360214)
14.5, (-12500074.42981638, 41.66607199002602, 11657033.720526425)
15.5, (-11600946.791790027, 20.977543425371195, 9826363.304206088)
16.5, (-11973350.201873094, 16.587906416042138, 9599744.880422447)
17.5, (-14485260.431719463, 75.80391151424242, 15503483.044620562)
18.5, (-10920106.704410536, 15.69732433449669, 9117426.703022426)
19.5, (-10005079.144010574, 12.317937593494673, 7881359.91644981)
20.5, (-8318223.659819347, 18.81692275936721, 7476465.371310253)
21.5, (-9356277.700686704, 17.0177327934195, 7694323.880575252)
22.5, (-9786928.895109866, 12.803578315088094, 7776375.64214465)
23.5, (-8034914.005643768, 10.623802051083215, 6217482.163584289)
24.5, (-7682561.262387831, 13.792535355766102, 6225174.03280928)
25.5, (-7004785.805933997, 15.039936703229195, 5997307.741303003)
26.5, (-6344135.612720078, 17.29940294158524, 5675937.149774055)
27.5, (-6211957.076437823, 18.329377647698916, 5706470.155777741)
28.5, (-5740949.061164776, 11.367517172782032, 4801166.608429167)
29.5, (-4465826.311195981, 11.883692768737042, 3633063.0088439463)
30.5, (-4196821.208786185, 11.195094152603053, 3551864.1093001934)
31.5, (-4070095.0130080353, 16.18293477435818, 3498004.9203833817)
32.5, (-4168293.7821733113, 12.544686102323157, 3389951.6726472788)
33.5, (-3693822.150344841, 13.832939013724175, 3131801.860463854)
34.5, (-2855962.020201328, 17.048307711269036, 2710503.493615451)
35.5, (-2707300.0529599176, 14.118711539540246, 2467585.3886754233)
36.5, (-2566398.451136759, 15.186854766609269, 2326449.0515795103)
37.5, (-2447580.7997285253, 10.216129921673376, 2018402.1126664437)
38.5, (-2129206.3161347695, 12.96475586110433, 1900974.263233834)
39.5, (-2205061.3755235826, 14.0118295192896, 1956294.5111469773)
40.5, (-2117460.80503514, 13.71311752604497, 1869228.0752765967)
41.5, (-1780682.7583945363, 13.404246037711367, 1608619.6987946688)
42.5, (-1740530.177590039, 17.550983423028732, 1712650.8112799407)
43.5, (-1494213.5494025857, 13.700262230393193, 1407986.244689641)
44.5, (-1273014.6706305102, 11.065917936764638, 1162862.6759822753)
45.5, (-1214528.4364389265, 16.22618439190981, 1186986.9538108811)
46.5, (-1343034.67641252, 9.437964201176618, 1121441.6940481681)
47.5, (-1222418.574228226, 9.59608727211047, 1082977.7932921604)
48.5, (-1164076.3018990834, 13.190615998113579, 1083166.526189492)
49.5, (-1147339.0478157457, 10.545177767040762, 976947.2670576208)
50.5, (-1080651.4952390806, 11.304238537570557, 985463.6173459465)
51.5, (-993079.8514339073, 12.032453888730917, 901856.6846672078)
52.5, (-986602.3349266998, 9.991470780835186, 852295.9455163826)
53.5, (-853243.2588782927, 11.864996252282706, 842333.775474413)
54.5, (-823313.8719979058, 10.497021179736143, 780420.9269149557)
55.5, (-810746.7022736935, 11.540764721017426, 762460.380130144)
56.5, (-868020.3383864902, 10.657167161570095, 779964.1586980794)
57.5, (-712773.9357651874, 13.000792416208881, 699546.3236820218)
58.5, (-759006.6998993312, 15.533240166691266, 762530.8340691664)
59.5, (-724594.4200778204, 14.050527032067508, 684298.0864706003)
60.5, (-614236.7597322639, 11.213238918903869, 573836.8195392514)
61.5, (-573415.553529185, 13.450512344723759, 575693.6744769656)
62.5, (-568157.3974091591, 15.938749252151812, 593566.7248319539)
63.5, (-502793.54855336767, 11.550478006813787, 488826.178402389)
64.5, (-494562.65026524174, 10.726417386613498, 475639.3892552757)
