1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 33224.785),(2 99672.914),(3 232826.02),(4 414852.53),(5 645337.75),(6 895755.5),(7 1171395.4),(8 1462358.6),(9 1789821.5),(10 2154019.8),(11 2538862),(12 2957471.8),(13 3381942.8),(14 3855936.3),(15 4388558.5),(16 4972224.5),(17 5579213.5),(18 6252008),(19 6982345.5),(20 7811972),(21 8702053),(22 9649657),(23 10538877),(24 11372451),(25 12185064),(26 12965379),(27 13720056),(28 14495693),(29 15263664),(30 16088721),(31 16944936),(32 17827768),(33 18781686),(34 19735760),(35 20614728),(36 21492640),(37 22235128),(38 22988368),(39 23648110),(40 24258546),(41 24823498),(42 25373914),(43 25839126),(44 26353682),(45 26939256),(46 27513104),(47 28204560),(48 28790354),(49 29455046),(50 30159122),(51 31025904),(52 31902434),(53 32880336),(54 33886420),(55 34888356),(56 35966740),(57 37135696),(58 38255824),(59 39392060),(60 40604036),(61 41797490),(62 42979550),(63 44201790),(64 45354560),(65 46586260),(66 47855136),(67 49172588),(68 50486204),(69 51948176),(70 53326160),(71 54828452),(72 56081700),(73 57523040),(74 59010976),(75 60509724),(76 62161244),(77 63732524),(78 65426350),(79 67010508),
(1 27019.844),(2 104639.26),(3 247517.1),(4 467702.8),(5 733574.3),(6 1048730.1),(7 1375072.1),(8 1735013),(9 2129068),(10 2565055.3),(11 3022031),(12 3492174),(13 3973489.3),(14 4450257),(15 4937142),(16 5406465.5),(17 5851461.5),(18 6293686),(19 6703089.5),(20 7142836),(21 7581746.5),(22 8071349),(23 8525082),(24 8969331),(25 9319310),(26 9689292),(27 10064835),(28 10477923),(29 10898662),(30 11332464),(31 11814333),(32 12340594),(33 12921806),(34 13443494),(35 13929437),(36 14388150),(37 14796904),(38 15267955),(39 15788624),(40 16346307),(41 16939154),(42 17552572),(43 18215340),(44 18918840),(45 19643412),(46 20374652),(47 21120910),(48 21740356),(49 22440310),(50 23133964),(51 23850260),(52 24562040),(53 25309338),(54 26039350),(55 26841894),(56 27762854),(57 28815910),(58 29896752),(59 31018868),(60 32137676),(61 33232652),(62 34201908),(63 35166164),(64 35973130),(65 36665470),(66 37270280),(67 37795370),(68 38206380),(69 38574360),(70 38846550),(71 39075970),(72 39271560),(73 39432616),(74 39487960),(75 39550024),(76 39569844),(77 39501400),(78 39387510),(79 39246284),
(1 32218.146),(2 120121.125),(3 261597.25),(4 457851.84),(5 688055.25),(6 956138.3),(7 1248872),(8 1572185),(9 1909703),(10 2273871.3),(11 2662777.8),(12 3064048),(13 3461756),(14 3849134.8),(15 4213667.5),(16 4587939.5),(17 4948579),(18 5310744.5),(19 5662750),(20 6039112),(21 6428486.5),(22 6857929.5),(23 7315274),(24 7802786.5),(25 8183378.5),(26 8678808),(27 9205173),(28 9806624),(29 10439380),(30 11121217),(31 11886017),(32 12707741),(33 13596979),(34 14513776),(35 15475424),(36 16506471),(37 17577214),(38 18728880),(39 19902570),(40 21096590),(41 22335594),(42 23598954),(43 24837154),(44 26046670),(45 27231834),(46 28427912),(47 29586074),(48 30632826),(49 31737010),(50 32773686),(51 33776644),(52 34774440),(53 35739550),(54 36642948),(55 37510620),(56 38411460),(57 39335604),(58 40222212),(59 41046836),(60 41820804),(61 42473236),(62 42927924),(63 43333380),(64 43621124),(65 43813550),(66 43917940),(67 43936972),(68 43853024),(69 43743444),(70 43613384),(71 43486790),(72 43360772),(73 43262420),(74 43111696),(75 43008544),(76 42873772),(77 42702704),(78 42496148),(79 42293300),
(1 49340.51),(2 191711.19),(3 428339.44),(4 751877.44),(5 1146844.6),(6 1616772.3),(7 2141174.3),(8 2735928),(9 3379421),(10 4092107.5),(11 4864261.5),(12 5688504),(13 6534996.5),(14 7380918),(15 8235566),(16 9089531),(17 9911943),(18 10698999),(19 11430305),(20 12120503),(21 12781740),(22 13434866),(23 14098400),(24 14732405),(25 15262009),(26 15823968),(27 16390240),(28 16944938),(29 17488020),(30 18020396),(31 18544590),(32 19036186),(33 19479886),(34 19955278),(35 20463560),(36 21037398),(37 21648284),(38 22306430),(39 22957208),(40 23652010),(41 24441930),(42 25291628),(43 26163606),(44 26996486),(45 27854006),(46 28736032),(47 29663876),(48 30450350),(49 31357810),(50 32249124),(51 33152416),(52 34076076),(53 35006060),(54 35931996),(55 36765376),(56 37571180),(57 38344184),(58 39085820),(59 39744916),(60 40350080),(61 40878776),(62 41325044),(63 41681644),(64 41977050),(65 42237616),(66 42376044),(67 42418772),(68 42371304),(69 42277076),(70 42115940),(71 41939708),(72 41750252),(73 41493824),(74 41245376),(75 40989704),(76 40744516),(77 40512308),(78 40281010),(79 40086304),
(1 57756.777),(2 232796.69),(3 536703.4),(4 972542.8),(5 1514084),(6 2165136),(7 2907400.3),(8 3754502.5),(9 4681843),(10 5705597.5),(11 6816177.5),(12 7995803.5),(13 9209818),(14 10441708),(15 11678284),(16 12904928),(17 14077885),(18 15210150),(19 16276832),(20 17278172),(21 18221168),(22 19134226),(23 19994312),(24 20766418),(25 21382420),(26 21972898),(27 22530120),(28 23033092),(29 23474374),(30 23875270),(31 24244582),(32 24543912),(33 24792934),(34 25075092),(35 25397940),(36 25763764),(37 26189384),(38 26658952),(39 27141208),(40 27654302),(41 28256466),(42 28939808),(43 29686114),(44 30458098),(45 31318302),(46 32221236),(47 33222726),(48 34090012),(49 35063180),(50 36057690),(51 37042444),(52 38033424),(53 38994236),(54 39872332),(55 40608716),(56 41282052),(57 41897700),(58 42434304),(59 42917700),(60 43354364),(61 43710464),(62 44046544),(63 44307868),(64 44560276),(65 44756212),(66 44862096),(67 44896664),(68 44860704),(69 44762332),(70 44628100),(71 44460690),(72 44294908),(73 44100292),(74 43907630),(75 43742980),(76 43612372),(77 43534820),(78 43494788),(79 43531036),
(1 47041.84),(2 181274.58),(3 397794.84),(4 686290.4),(5 1034474.4),(6 1439383),(7 1889333.6),(8 2377162.5),(9 2891937.5),(10 3453969.3),(11 4039087.3),(12 4637958.5),(13 5237889.5),(14 5838311),(15 6436804),(16 7028832),(17 7605251),(18 8180489.5),(19 8761911),(20 9366646),(21 10005772),(22 10664080),(23 11318721),(24 12001410),(25 12549179),(26 13185675),(27 13813053),(28 14436160),(29 15008643),(30 15593994),(31 16142195),(32 16672282),(33 17173030),(34 17690262),(35 18237632),(36 18788420),(37 19326852),(38 19850052),(39 20290924),(40 20733436),(41 21130734),(42 21479562),(43 21764980),(44 22009338),(45 22227116),(46 22440524),(47 22608228),(48 22771600),(49 22890074),(50 22969234),(51 22959364),(52 22925328),(53 22879942),(54 22805886),(55 22692122),(56 22567824),(57 22425766),(58 22294972),(59 22211682),(60 22152126),(61 22173836),(62 22231492),(63 22342608),(64 22489686),(65 22697930),(66 22919952),(67 23141486),(68 23411024),(69 23704204),(70 24057376),(71 24440828),(72 24763420),(73 25250492),(74 25776934),(75 26346908),(76 26896422),(77 27507472),(78 28093574),(79 28724820),
(1 45399.52),(2 174826.22),(3 383573.53),(4 658615.6),(5 983454.4),(6 1342754.1),(7 1734732.8),(8 2136147.8),(9 2540880),(10 2945757.3),(11 3331565.8),(12 3694503.8),(13 4030957.3),(14 4329856.5),(15 4598922.5),(16 4838633.5),(17 5051623.5),(18 5228930.5),(19 5387773.5),(20 5512533.5),(21 5639538.5),(22 5758472),(23 5877120),(24 5996166),(25 6051827.5),(26 6164730.5),(27 6311595.5),(28 6487635.5),(29 6668623),(30 6881674.5),(31 7122010.5),(32 7398299.5),(33 7669319),(34 7960831.5),(35 8251922),(36 8556588),(37 8855922),(38 9151663),(39 9447754),(40 9751790),(41 10066878),(42 10360912),(43 10620078),(44 10875478),(45 11123287),(46 11362175),(47 11570433),(48 11772059),(49 11946768),(50 12095166),(51 12190127),(52 12269231),(53 12338327),(54 12354047),(55 12320420),(56 12271589),(57 12206928),(58 12126833),(59 12059076),(60 11994993),(61 11916108),(62 11816948),(63 11712172),(64 11620876),(65 11540665),(66 11468783),(67 11420064),(68 11405471),(69 11431183),(70 11507867),(71 11618572),(72 11683620),(73 11822289),(74 11953894),(75 12126996),(76 12300868),(77 12487822),(78 12674192),(79 12846409),
(1 38800.9),(2 149862.7),(3 331192.94),(4 569138.1),(5 845711.56),(6 1154641.8),(7 1483114.4),(8 1826969.6),(9 2182273.5),(10 2557949.8),(11 2937235.5),(12 3322168.5),(13 3716730.8),(14 4093684),(15 4461376.5),(16 4811332.5),(17 5135986.5),(18 5434995.5),(19 5695681),(20 5927119),(21 6133963.5),(22 6322585.5),(23 6486415),(24 6639623.5),(25 6689378),(26 6809501.5),(27 6954471.5),(28 7103546),(29 7248064),(30 7396390.5),(31 7557320),(32 7716290),(33 7886507.5),(34 8078766),(35 8300198),(36 8538767),(37 8774926),(38 9011028),(39 9224461),(40 9446373),(41 9663596),(42 9844339),(43 10028660),(44 10201188),(45 10379363),(46 10592159),(47 10833297),(48 11066865),(49 11332558),(50 11609487),(51 11892668),(52 12182146),(53 12510941),(54 12859615),(55 13234155),(56 13602513),(57 13948230),(58 14259612),(59 14555465),(60 14853969),(61 15160362),(62 15490881),(63 15864422),(64 16286361),(65 16730650),(66 17230542),(67 17746524),(68 18316842),(69 18935616),(70 19585920),(71 20288500),(72 20870600),(73 21578988),(74 22297060),(75 23000706),(76 23700832),(77 24394290),(78 25073278),(79 25724812),
(1 53944.367),(2 210681),(3 468674.88),(4 817956.44),(5 1241915.9),(6 1736452.6),(7 2284751.3),(8 2879717.3),(9 3501499.8),(10 4138074.3),(11 4766433.5),(12 5391189.5),(13 5999831.5),(14 6586404),(15 7138148.5),(16 7657868),(17 8128147),(18 8551317),(19 8913632),(20 9217389),(21 9465497),(22 9666409),(23 9803885),(24 9865028),(25 9852515),(26 9803842),(27 9727462),(28 9618368),(29 9483595),(30 9353058),(31 9219033),(32 9114110),(33 9022510),(34 8963401),(35 8927960),(36 8931671),(37 8972626),(38 9039048),(39 9092193),(40 9169981),(41 9240058),(42 9316696),(43 9398282),(44 9499614),(45 9637133),(46 9816740),(47 10029736),(48 10244659),(49 10503930),(50 10770773),(51 11041816),(52 11303000),(53 11570100),(54 11832642),(55 12085879),(56 12329402),(57 12540047),(58 12705758),(59 12844608),(60 12978417),(61 13107181),(62 13217453),(63 13321498),(64 13434963),(65 13530912),(66 13649308),(67 13745823),(68 13858977),(69 14004172),(70 14168397),(71 14334927),(72 14456101),(73 14646828),(74 14838672),(75 15048917),(76 15272387),(77 15532187),(78 15792593),(79 16078925),
(1 61082.945),(2 237597.11),(3 525837.1),(4 907664.44),(5 1361955.1),(6 1874034.3),(7 2421296.5),(8 2996260),(9 3586870.5),(10 4186800),(11 4774244),(12 5356178),(13 5912207),(14 6439671.5),(15 6937328),(16 7403282),(17 7838248),(18 8241274),(19 8603660),(20 8932345),(21 9216206),(22 9483759),(23 9693090),(24 9867537),(25 9980606),(26 10085138),(27 10159900),(28 10205905),(29 10215989),(30 10220492),(31 10218571),(32 10225956),(33 10238447),(34 10266750),(35 10328556),(36 10421729),(37 10569749),(38 10732206),(39 10875143),(40 11021132),(41 11171929),(42 11332862),(43 11523374),(44 11746370),(45 12007057),(46 12327134),(47 12704445),(48 13051568),(49 13487772),(50 13931330),(51 14380869),(52 14807177),(53 15237191),(54 15633920),(55 16001045),(56 16315454),(57 16584836),(58 16771255),(59 16903320),(60 16994284),(61 17043906),(62 17027906),(63 16965978),(64 16871376),(65 16733911),(66 16567182),(67 16383257),(68 16190764),(69 16018631),(70 15844978),(71 15696622),(72 15532162),(73 15406693),(74 15311077),(75 15232910),(76 15186496),(77 15166919),(78 15153445),(79 15161081),
(1 75873.44),(2 292832.88),(3 637845.25),(4 1089304.4),(5 1626517),(6 2233676.3),(7 2884007.3),(8 3558231.5),(9 4242350),(10 4932626.5),(11 5603628),(12 6254766),(13 6877630),(14 7458603),(15 8021436),(16 8550178),(17 9051032),(18 9544868),(19 10025012),(20 10499893),(21 10962771),(22 11410438),(23 11858688),(24 12291923),(25 12646163),(26 13036120),(27 13418545),(28 13785734),(29 14125026),(30 14432100),(31 14693577),(32 14924791),(33 15100606),(34 15221464),(35 15296159),(36 15346946),(37 15386913),(38 15449926),(39 15547533),(40 15669684),(41 15823471),(42 16005368),(43 16233045),(44 16505022),(45 16800180),(46 17139472),(47 17512038),(48 17872704),(49 18251404),(50 18628480),(51 19007810),(52 19351598),(53 19684146),(54 19970460),(55 20223782),(56 20408288),(57 20524266),(58 20574656),(59 20536102),(60 20402094),(61 20187068),(62 19877568),(63 19497788),(64 19057750),(65 18560334),(66 18042386),(67 17506722),(68 16961810),(69 16423511),(70 15899298),(71 15418882),(72 14953073),(73 14558513),(74 14220330),(75 13953394),(76 13741696),(77 13594802),(78 13487392),(79 13422079),
