1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11790.065),(2 36594.67),(3 72158.445),(4 110662.43),(5 150138.77),(6 192808.7),(7 236365.92),(8 284523.03),(9 334768.06),(10 384643.16),(11 445370.13),(12 497921.88),(13 562668.3),(14 624126.06),(15 690301.2),(16 756456.06),(17 818312.5),(18 868651.5),(19 911127.56),(20 955635.7),(21 1005083.7),(22 1050274.1),(23 1096230.6),(24 1142843.9),(25 1187309.4),(26 1236738.3),(27 1269800.4),(28 1307204.5),(29 1349311),(30 1384902.4),(31 1416599.5),(32 1435152.4),(33 1464704),(34 1493715.4),(35 1529082),(36 1555532.4),(37 1580274.9),(38 1589772),(39 1604690),(40 1617752),(41 1637327.6),(42 1661101),(43 1684459.4),(44 1687903.6),(45 1704989.6),(46 1718164.6),(47 1742699),(48 1762717.1),(49 1793975.4),(50 1833960.6),(51 1890874.6),(52 1956579.4),(53 2033632.5),(54 2098077.8),(55 2182046.8),(56 2246608.3),(57 2315227),(58 2367534.3),(59 2412108.8),(60 2458222),(61 2511018),(62 2558702.3),(63 2623069.3),(64 2677804),(65 2760106.3),(66 2854778.3),(67 2961093),(68 3084493.3),(69 3212770.8),(70 3329463.3),(71 3452508),(72 3542863),(73 3635067),(74 3689759.8),(75 3740323.8),(76 3778448.3),(77 3817451.3),(78 3840953.8),(79 3882134.3),
(1 10454.091),(2 34581.03),(3 71960.125),(4 116652.29),(5 164606.4),(6 219688.4),(7 277343.16),(8 338820.5),(9 399750.13),(10 458230.6),(11 515079),(12 566772.8),(13 615191.3),(14 667078.1),(15 729341.6),(16 793066),(17 864446.4),(18 936335.6),(19 1009290.2),(20 1087632.4),(21 1178677.3),(22 1267436.6),(23 1348201),(24 1424319.8),(25 1492234.4),(26 1557257.9),(27 1616393.8),(28 1675253.8),(29 1729374),(30 1774613.8),(31 1812360.8),(32 1853586.4),(33 1891825.4),(34 1936719.3),(35 1990052.6),(36 2041445.3),(37 2099239.5),(38 2142464.5),(39 2192918.8),(40 2248456.8),(41 2313584.5),(42 2400332.5),(43 2495352.3),(44 2576005),(45 2654702.3),(46 2729026),(47 2798253.5),(48 2867020.5),(49 2941132),(50 3008438.5),(51 3091116.5),(52 3189323.3),(53 3297345.5),(54 3393490),(55 3499772.5),(56 3593749.5),(57 3698809.5),(58 3808488.8),(59 3912136),(60 4004367.3),(61 4096029.3),(62 4181676),(63 4259018.5),(64 4334349),(65 4433703),(66 4533385),(67 4654993.5),(68 4804129.5),(69 4969324),(70 5141785),(71 5341387),(72 5534457.5),(73 5722022.5),(74 5855789.5),(75 5977138.5),(76 6087508),(77 6195913),(78 6280548.5),(79 6365078.5),
(1 12297.089),(2 42812.074),(3 91685.09),(4 154326.88),(5 227839.42),(6 313133.84),(7 410302.78),(8 514207.97),(9 619414.44),(10 725085.44),(11 829204.3),(12 931096.8),(13 1030691.2),(14 1128120.6),(15 1230301.5),(16 1336058.4),(17 1441830.4),(18 1548652),(19 1661664.4),(20 1775724.6),(21 1897819.4),(22 2022960.9),(23 2151111.3),(24 2279444.8),(25 2407573.3),(26 2536312.5),(27 2660430.8),(28 2784641.5),(29 2904902.8),(30 3014623.3),(31 3123799.8),(32 3228660),(33 3328303.8),(34 3438010),(35 3562792.8),(36 3691265.8),(37 3838899.8),(38 3981165.8),(39 4128409.8),(40 4277056),(41 4432213),(42 4599869.5),(43 4767511.5),(44 4933005),(45 5092780.5),(46 5233219.5),(47 5365171.5),(48 5480870.5),(49 5588825.5),(50 5676804),(51 5775186.5),(52 5884537.5),(53 5990026.5),(54 6107399.5),(55 6225268),(56 6325243.5),(57 6418478.5),(58 6480849.5),(59 6520014.5),(60 6547350.5),(61 6565390),(62 6556215.5),(63 6527856),(64 6509439.5),(65 6508950.5),(66 6513602),(67 6542802),(68 6583060),(69 6648802.5),(70 6711328),(71 6776372.5),(72 6842729.5),(73 6891453.5),(74 6931066.5),(75 6969172),(76 6990627.5),(77 7007096),(78 7039262.5),(79 7079179.5),
(1 11066.853),(2 37795.684),(3 77575.53),(4 126576.36),(5 183426.03),(6 246583.39),(7 315996.8),(8 391123.56),(9 472970.88),(10 557953.56),(11 642581.94),(12 729249.56),(13 821502.56),(14 914870.2),(15 1010376.44),(16 1105166.9),(17 1203085.3),(18 1299775.4),(19 1403452.5),(20 1515054.5),(21 1623275),(22 1725467.5),(23 1827336.3),(24 1932027.5),(25 2036566.6),(26 2137957.3),(27 2242645),(28 2356692),(29 2461147.3),(30 2560656),(31 2662007.5),(32 2766164.5),(33 2873851.5),(34 2982766.5),(35 3094365.5),(36 3207064),(37 3319264),(38 3437611),(39 3550692.5),(40 3676670.8),(41 3795814.8),(42 3918104.5),(43 4039101.3),(44 4176758.3),(45 4307267),(46 4426772.5),(47 4540395.5),(48 4637867.5),(49 4727970),(50 4810924.5),(51 4890392),(52 4985172),(53 5070890),(54 5170417),(55 5268331),(56 5362418.5),(57 5457734),(58 5534066),(59 5605318),(60 5676949),(61 5738388.5),(62 5786597.5),(63 5823258.5),(64 5865243.5),(65 5905058),(66 5936336),(67 5984644),(68 6035046),(69 6102804.5),(70 6179096),(71 6250304.5),(72 6332871),(73 6421476.5),(74 6517172.5),(75 6621181.5),(76 6717157.5),(77 6808792),(78 6898866.5),(79 7001676),
(1 12354.191),(2 42662.754),(3 88169.67),(4 142598.34),(5 207863.81),(6 283680.47),(7 366523.34),(8 456822.9),(9 552658.6),(10 650659.8),(11 748756.44),(12 848718.75),(13 950707.2),(14 1046819.25),(15 1150296.5),(16 1251562.3),(17 1357635.6),(18 1461712.1),(19 1563553.9),(20 1669208.5),(21 1777436.8),(22 1878058),(23 1968685.5),(24 2055906.9),(25 2136495.8),(26 2208183.8),(27 2272776),(28 2338537.8),(29 2401945.5),(30 2466309.8),(31 2530329.8),(32 2595169),(33 2666329.8),(34 2739896.3),(35 2817502.5),(36 2892438.8),(37 2982889.8),(38 3068041.5),(39 3151891),(40 3251713.5),(41 3347237.8),(42 3440679),(43 3551480.8),(44 3681808),(45 3824656.8),(46 3966341),(47 4105635.8),(48 4245572),(49 4386074),(50 4526798.5),(51 4657822.5),(52 4804294),(53 4951030),(54 5107713.5),(55 5270286),(56 5447750),(57 5605268.5),(58 5745725.5),(59 5878374.5),(60 6021552),(61 6164643.5),(62 6299149),(63 6435499.5),(64 6574240.5),(65 6700493),(66 6824418),(67 6947990.5),(68 7084632),(69 7220566),(70 7370548.5),(71 7527018),(72 7672506),(73 7805830),(74 7949348.5),(75 8072758),(76 8187627.5),(77 8261409.5),(78 8327990),(79 8385282),
(1 13309.784),(2 46467.957),(3 98248.75),(4 165480.13),(5 247908.7),(6 349231.66),(7 465559.9),(8 597988.2),(9 749380.9),(10 908406),(11 1076398.8),(12 1254882),(13 1445068.9),(14 1628347),(15 1823046),(16 2016516.6),(17 2211617.3),(18 2398813.3),(19 2583109.5),(20 2763200.8),(21 2943598.5),(22 3123432),(23 3296123.3),(24 3450422.8),(25 3600562.8),(26 3740748.8),(27 3873817.5),(28 3996987.3),(29 4114760.8),(30 4218286.5),(31 4314189),(32 4400031),(33 4481901),(34 4556973.5),(35 4632437),(36 4698453.5),(37 4778799),(38 4846681),(39 4908432),(40 4988443),(41 5070477.5),(42 5152532),(43 5245094.5),(44 5342215),(45 5454029),(46 5564433),(47 5682917),(48 5818173),(49 5956022.5),(50 6107841.5),(51 6261521),(52 6409730.5),(53 6562016),(54 6688791),(55 6822563),(56 6969799),(57 7112671),(58 7263166.5),(59 7418092),(60 7584089.5),(61 7776563),(62 7958478.5),(63 8151496),(64 8339360),(65 8509318),(66 8685722),(67 8864250),(68 9048727),(69 9249770),(70 9418443),(71 9586875),(72 9735227),(73 9859980),(74 9979145),(75 10079466),(76 10169018),(77 10218240),(78 10243822),(79 10263789),
(1 15894.202),(2 58003.816),(3 125730.74),(4 210461.42),(5 313814.53),(6 434562.97),(7 570453.25),(8 715273.56),(9 867410.7),(10 1025511.06),(11 1179417.9),(12 1331198.1),(13 1482128.8),(14 1625331.8),(15 1762959.1),(16 1898268.1),(17 2029758.1),(18 2145398.3),(19 2253982.5),(20 2350512.5),(21 2441953.8),(22 2522684.8),(23 2592443),(24 2653164.3),(25 2701313.3),(26 2748100.5),(27 2780318.3),(28 2806029.5),(29 2826152.3),(30 2837629),(31 2837497),(32 2823131),(33 2806839.8),(34 2777834.3),(35 2748603.8),(36 2723319.5),(37 2694924.3),(38 2668066.3),(39 2638867),(40 2626193),(41 2623855),(42 2628395.8),(43 2642152.3),(44 2664391),(45 2696619.8),(46 2729254.8),(47 2767466.5),(48 2814648.5),(49 2856460.3),(50 2903231),(51 2946618.5),(52 2976091),(53 3013364.3),(54 3064660),(55 3119819.8),(56 3160285.8),(57 3204268),(58 3247514.3),(59 3286329.5),(60 3332953.3),(61 3384639.5),(62 3421517),(63 3452156),(64 3479421.5),(65 3501549.8),(66 3518291.8),(67 3545214.8),(68 3565432.3),(69 3583566.5),(70 3595545.3),(71 3597640.3),(72 3608727),(73 3617311.8),(74 3636090.8),(75 3662649.8),(76 3692225.3),(77 3740442.8),(78 3780213.8),(79 3831089),
(1 13937.545),(2 49121.85),(3 102841.086),(4 170746.33),(5 251123.77),(6 344600.06),(7 450465.6),(8 565054.3),(9 687268.4),(10 811019.44),(11 934820.06),(12 1058109.6),(13 1183868),(14 1303340.5),(15 1418303.8),(16 1531641.3),(17 1641843.8),(18 1742465.9),(19 1841217.1),(20 1935979.4),(21 2027844.3),(22 2108951.5),(23 2184019),(24 2252902.5),(25 2314489),(26 2370922.3),(27 2412667.3),(28 2453674.3),(29 2488250.3),(30 2519415),(31 2552294.5),(32 2585928),(33 2619687),(34 2647154.8),(35 2666899.8),(36 2686984),(37 2705376),(38 2722219),(39 2732652.3),(40 2748095.5),(41 2762376),(42 2784411.3),(43 2807024.8),(44 2846743.5),(45 2885098.3),(46 2926159.5),(47 2965657.3),(48 3007220.8),(49 3044013),(50 3080827.8),(51 3114745),(52 3145222.8),(53 3175487.3),(54 3205081.5),(55 3239207.8),(56 3276813.8),(57 3320455.3),(58 3356624),(59 3387807),(60 3439411.8),(61 3503948.3),(62 3554929),(63 3605497),(64 3647455.5),(65 3682756.3),(66 3714455),(67 3755565.3),(68 3787487),(69 3828616.3),(70 3872161.5),(71 3912172.5),(72 3961761.5),(73 3998219.8),(74 4043080.8),(75 4082203.8),(76 4125576.5),(77 4174427),(78 4213887.5),(79 4262568.5),
(1 15535.502),(2 55460.69),(3 116808.33),(4 193719.27),(5 286072.9),(6 394228.75),(7 515884.66),(8 649664.6),(9 796838.25),(10 949448.1),(11 1108195.3),(12 1268551),(13 1431792.5),(14 1591368.8),(15 1744747.3),(16 1894676),(17 2038639),(18 2174474.3),(19 2305360.3),(20 2426865),(21 2544441.5),(22 2645175.8),(23 2731378),(24 2810618.3),(25 2880252.8),(26 2943814),(27 2985846.5),(28 3015367.5),(29 3034421.5),(30 3044975.5),(31 3057150.5),(32 3068193.5),(33 3076076.3),(34 3085595.3),(35 3095706),(36 3108015.8),(37 3127603.5),(38 3150541.8),(39 3173196),(40 3198128.8),(41 3224446.8),(42 3250906),(43 3278164.8),(44 3305024.5),(45 3335751.5),(46 3364832.5),(47 3392870.5),(48 3418780.3),(49 3442891.8),(50 3464657.8),(51 3488130.3),(52 3512911.3),(53 3521856),(54 3528833),(55 3524224.5),(56 3517732.5),(57 3509552.5),(58 3498158),(59 3487742.3),(60 3476980.3),(61 3467999.3),(62 3452975.5),(63 3435890),(64 3415364.3),(65 3389452),(66 3362767.5),(67 3344843.8),(68 3335022),(69 3336395.5),(70 3336674.5),(71 3344922.3),(72 3358424),(73 3361202.5),(74 3374497.8),(75 3386204.3),(76 3398947.5),(77 3410035.3),(78 3420937),(79 3433099),
(1 15832.618),(2 56348.86),(3 118018.46),(4 195747.31),(5 289644.28),(6 399560.53),(7 521621.66),(8 656249.2),(9 801130.5),(10 950812.44),(11 1106215.4),(12 1258140.3),(13 1409851.1),(14 1560276.5),(15 1706420),(16 1847657.4),(17 1980154),(18 2104867.5),(19 2226207),(20 2338225.5),(21 2453068.5),(22 2558202.3),(23 2650661.8),(24 2737865.3),(25 2819750.3),(26 2884849.3),(27 2932804.3),(28 2966666.8),(29 2992794.8),(30 3009087.5),(31 3026809),(32 3035980),(33 3049701.5),(34 3060386.5),(35 3067690.5),(36 3072851),(37 3069309.8),(38 3071147.5),(39 3072403.8),(40 3069929.8),(41 3067944.3),(42 3064659.8),(43 3048831),(44 3030625.5),(45 3016733.5),(46 2998535),(47 2981991.5),(48 2963045.5),(49 2951892.8),(50 2944260.8),(51 2939205.8),(52 2936894.8),(53 2926547.5),(54 2924030.5),(55 2915870.5),(56 2907579.8),(57 2913120.3),(58 2920967.8),(59 2924057.3),(60 2942515.8),(61 2964274.3),(62 2989921),(63 3018977.8),(64 3061193.3),(65 3106292.3),(66 3155190.3),(67 3217279.5),(68 3278549),(69 3359345.8),(70 3444385),(71 3529439),(72 3622327.8),(73 3709621.3),(74 3812018.8),(75 3919634.8),(76 4021649.8),(77 4118361.8),(78 4196257),(79 4280181.5),
(1 16360.61),(2 59231.73),(3 125543.266),(4 208809.16),(5 307189.9),(6 418787.94),(7 541890.7),(8 673893.94),(9 812054.8),(10 945720.75),(11 1071978.9),(12 1187632.4),(13 1300554.8),(14 1405528.9),(15 1505413.1),(16 1593790.9),(17 1672533),(18 1744232.1),(19 1816273.4),(20 1882658.8),(21 1950376),(22 2023529.1),(23 2095435.8),(24 2167887),(25 2244957.8),(26 2308837.3),(27 2365317.8),(28 2412628.8),(29 2455332.8),(30 2495886),(31 2535565.8),(32 2570866.3),(33 2606228),(34 2640157.3),(35 2664966.5),(36 2686268.5),(37 2705444.5),(38 2726629.5),(39 2751100.3),(40 2778370),(41 2797669.3),(42 2815649.3),(43 2831492),(44 2849684),(45 2859302.5),(46 2864512.8),(47 2868991.3),(48 2870123.3),(49 2872535.3),(50 2879496.5),(51 2886397.3),(52 2889085.3),(53 2881156.5),(54 2874472.3),(55 2867864.8),(56 2858195.3),(57 2855779),(58 2853090.5),(59 2850572.8),(60 2852201),(61 2862648),(62 2871455.8),(63 2890807),(64 2923286.3),(65 2963525.8),(66 3012510),(67 3067710.8),(68 3128791),(69 3211629.8),(70 3291712),(71 3370813),(72 3458232),(73 3549531.3),(74 3653115.3),(75 3760592.5),(76 3871902),(77 3974673),(78 4067501.8),(79 4168980.8),
