q, (a, b, c)
1.5, (-72883721207.84706, 230440.34787618235, 72883914813.65463)
2.5, (-260814750.52699947, 360.1420223231461, 257821800.7814104)
3.5, (-78290537.31469136, 153.19732873210407, 76335481.75734222)
4.5, (-23447069.836560145, 56.08870835867615, 21943088.164251734)
5.5, (-16375389.688251715, 37.215695581848706, 15203443.638748469)
6.5, (-23531053.80466196, 17.38741247695624, 19135297.889676854)
7.5, (-22962674.65887433, 11.266762649503258, 16969490.442801338)
8.5, (-18201770.01931803, 10.37361746637811, 13357534.063083608)
9.5, (-15489198.377924653, 8.83961949099498, 11090459.785123114)
10.5, (-14268775.724484492, 10.661218109416136, 11228625.782787183)
11.5, (-10457589.320154808, 16.81597946720391, 9264946.021413924)
12.5, (-7534652.580403886, 19.579272375542537, 6612751.9834500365)
13.5, (-4496939.113876989, 10.361902736234205, 3625104.579757572)
14.5, (-4975607.92490294, 7.202823408017838, 3614090.5313816997)
15.5, (-4545980.588901835, 10.151212849201968, 3511566.5811092034)
16.5, (-3560597.4249086613, 12.114308536163334, 2829223.011632796)
17.5, (-2786800.7449204973, 10.632793958260843, 2258479.5939493827)
18.5, (-2469330.0011074627, 8.415951831406941, 1980776.4337249666)
19.5, (-1969885.356338566, 9.208980965329797, 1705153.6060931417)
20.5, (-1870391.2735254616, 8.58494052734967, 1576758.6946225555)
21.5, (-1852644.869728547, 6.691539707659044, 1490578.383352204)
22.5, (-1912504.5868084107, 4.491340624480326, 1352600.1919514437)
23.5, (-1611892.9127243431, 4.669813673468263, 1174055.573196905)
24.5, (-1346167.8261270463, 4.540767067637386, 1012645.9705136124)
25.5, (-1101317.5643283534, 4.392280036724293, 836732.5305702034)
26.5, (-907545.0698399786, 4.104848046981186, 679650.3157726318)
27.5, (-815230.3296246056, 3.8535759908847598, 595360.3403989262)
28.5, (-824961.4380893835, 3.4983754286821354, 589856.7238315219)
29.5, (-728769.0367536166, 3.283942494578307, 529052.6751557088)
30.5, (-611730.3756035555, 3.790642614766918, 477767.73280160263)
31.5, (-547402.7120169913, 4.490535989828409, 465301.9623436198)
32.5, (-601999.2118169599, 3.656233239982644, 460210.08024139056)
33.5, (-607095.0322394102, 3.31600690679761, 438023.2305131416)
34.5, (-563969.1193884913, 3.2228401987480875, 413534.88358051714)
35.5, (-420900.89072896953, 4.700229285098617, 385696.5976601902)
36.5, (-378576.66807128716, 5.53576038952251, 369006.870390638)
37.5, (-453414.76640626014, 3.758942465794505, 363619.08451774344)
38.5, (-433504.7454111385, 2.946100003750826, 319108.055688239)
39.5, (-397415.50030735723, 3.0164392675616996, 298768.6481124191)
40.5, (-329112.66377920914, 3.641342595122333, 273624.67020716803)
41.5, (-285699.7907703912, 4.436433374601199, 261384.05193803814)
42.5, (-307736.2374773638, 3.921149884643726, 264095.87841139955)
43.5, (-346819.6439988805, 2.8055693062400344, 256043.3557541203)
44.5, (-309370.69330651156, 2.8044357639376907, 228666.55653352322)
45.5, (-286495.00783314556, 2.9176690668422047, 216745.86772177974)
46.5, (-261111.82412344855, 2.8940556075295154, 198745.09280147616)
47.5, (-209006.56368288133, 3.8003787116545795, 181267.297579227)
48.5, (-187447.4126471968, 4.282471164710115, 164857.2897439199)
49.5, (-191171.71021275513, 3.8373564784679055, 165598.9770751363)
50.5, (-199689.6866163697, 3.339638098055246, 162471.00467408044)
51.5, (-190503.4099370319, 3.972736145032684, 164204.17673162857)
52.5, (-169172.02751145905, 4.899675836508081, 156936.1932496933)
53.5, (-134378.64408058548, 5.555841874465301, 140287.73525431324)
54.5, (-95262.10356982039, 17.91352907471906, 154085.93859248367)
55.5, (-120889.45151937842, 4.960785190192944, 128608.91674446137)
56.5, (-148684.48664720866, 3.053042661650023, 126256.24147043674)
57.5, (-136840.2575750372, 3.22273314647076, 117758.81995540972)
58.5, (-114850.1041080337, 4.142928785364311, 108627.36437575806)
59.5, (-101752.25290339897, 4.364133991607525, 102244.30381416767)
60.5, (-98859.49374018432, 4.284311556800339, 100498.24325011058)
61.5, (-104385.73153024074, 4.2547310036175485, 101201.4052497497)
62.5, (-97099.1734997297, 4.352287568926068, 94457.60748239655)
63.5, (-88586.60036891172, 4.414439344153534, 89672.62545849656)
64.5, (-88337.40516025362, 3.937736911275658, 85107.58930488993)
65.5, (-75276.22957074884, 4.749190106150434, 81354.83111341635)
66.5, (-71098.88466783204, 5.555727250527956, 81054.33501563377)
67.5, (-69825.35862817719, 4.964110055126904, 74810.31674761961)
68.5, (-69358.10178816647, 4.369314534231659, 69877.89092373429)
69.5, (-73449.39423059889, 3.645735971808058, 67207.19955942447)
70.5, (-71406.71938459305, 3.395411125990759, 65005.62453749284)
71.5, (-70775.88835688855, 3.2143288103806587, 64512.73445096963)
72.5, (-55137.93618515122, 4.592505692302781, 61274.71894067567)
73.5, (-53808.66095988784, 5.225424796379689, 61546.71023719983)
74.5, (-51665.43684266964, 5.092867486120832, 58043.84894374301)
75.5, (-49535.975423126314, 4.403314826018043, 54096.942475742755)
76.5, (-43271.210931222115, 6.085860496800406, 52829.00895434925)
77.5, (-41289.623684317914, 6.256224008687151, 51132.407661381105)
78.5, (-49535.42724019387, 3.8062669481018747, 50063.955567692035)
79.5, (-51011.85464375605, 2.7773162708583965, 45513.06854425829)
80.5, (-48041.080097951824, 2.85111325704399, 43512.86474964441)
81.5, (-44303.710429501196, 3.292477588224925, 41898.26001192681)
82.5, (-43123.7701473389, 2.9581491042817993, 38994.11651643025)
83.5, (-46744.00890326844, 2.3987790424524507, 38330.07440571373)
84.5, (-44565.63720214688, 2.348004024885616, 36042.50316753874)
85.5, (-40509.23512247688, 2.789849844365955, 35681.236806257984)
86.5, (-37149.65688102224, 2.783988051857661, 34103.63124248522)
87.5, (-34815.42620597318, 2.717067740042996, 32768.96574193409)
88.5, (-35985.221996003675, 2.5149273863603963, 32742.981719952062)
89.5, (-34447.9000901922, 2.4586864731154963, 31011.404378490355)
90.5, (-36649.246278887054, 2.3114353582572145, 31058.254011565274)
91.5, (-32382.98962809713, 2.5893389413573575, 29123.80097180913)
92.5, (-28575.059151473364, 2.7456623649532332, 27190.674233289974)
93.5, (-25761.436936222115, 2.890385859943133, 25888.39162943459)
94.5, (-19203.440020024635, 4.135974941126533, 23638.2407633825)
95.5, (-18583.071057799734, 4.494473962882984, 23427.871638070766)
96.5, (-17583.95180150154, 4.213385629638277, 22342.32071577593)
97.5, (-16496.222746699663, 4.986183314161818, 21983.25497957508)
98.5, (-16625.73036034017, 5.063692643195172, 22109.671195116076)
99.5, (-16377.104380996016, 4.61823116290456, 20963.22930306305)
100.5, (-18567.712008582825, 4.282049046184487, 21456.512983496992)
101.5, (-17164.354302970565, 4.15591607029395, 20363.87706233881)
102.5, (-16763.59398208889, 3.694988268624932, 19149.76414256461)
103.5, (-16939.77100178774, 3.1705578433073107, 18025.547263233995)
104.5, (-14429.034943540064, 3.722687383397122, 17241.598004593503)
105.5, (-16806.429367211203, 2.573371061918018, 16693.264771123268)
106.5, (-16298.721211966653, 2.2232040952659955, 15250.49855781934)
107.5, (-16559.62951761642, 2.1588624192483685, 15223.536318557939)
108.5, (-15955.113014305978, 2.0136109221154492, 14584.803086141756)
109.5, (-12737.383770028886, 3.0118478346607636, 14361.10763026124)
110.5, (-12197.054777742336, 3.394838444013872, 14332.001579479136)
111.5, (-12221.851042989674, 2.9835450745823238, 13586.29915080031)
112.5, (-12118.104441317975, 2.8112525917761935, 13268.788130008255)
113.5, (-14445.806923859827, 1.8745620773238796, 12706.936555709131)
114.5, (-13585.67286006234, 1.7843358054139307, 11879.47293460471)
115.5, (-10488.942505264571, 2.5071097574987578, 11559.7215425611)
116.5, (-10531.917202906465, 2.32982128990603, 11063.560253939959)
117.5, (-11334.709566570695, 2.237918921283509, 11261.170098829938)
118.5, (-11459.30026262228, 2.150646664266859, 10942.250518126852)
119.5, (-10890.468281328856, 2.3807847453857884, 10790.34690461413)
120.5, (-10650.609806866283, 2.398971709929241, 10480.862323414678)
121.5, (-10434.076084495491, 2.4244504289371887, 10441.218202367154)
122.5, (-10737.737173448477, 2.1407453070592393, 10259.954463429087)
123.5, (-10043.274307733156, 2.170390654118743, 9634.24770688365)
124.5, (-9525.966642578773, 2.251244070100189, 9318.021833270763)
125.5, (-7741.243402438374, 2.866111376318927, 8763.327763446372)
126.5, (-6887.877361952328, 3.4227327380939254, 8579.121722407064)
127.5, (-6812.048200341979, 3.025109569057392, 8133.759416370699)
128.5, (-6248.30637052167, 3.1942315565652506, 7845.942510778618)
129.5, (-5984.386667394874, 3.2456467816496812, 7578.795273239316)
130.5, (-5725.278956111193, 3.1803055825150075, 7270.189230994563)
131.5, (-5712.047750234225, 3.2344868769300414, 7092.247071798246)
132.5, (-5447.576115061225, 3.0632047830811113, 6621.659785414183)
133.5, (-5327.69917558761, 2.8445938409231633, 6356.974210020807)
134.5, (-4634.383032237616, 3.537119623603808, 6153.786812594545)
135.5, (-4116.358815158028, 3.440421634066356, 5690.115622833003)
136.5, (-4814.37779880037, 2.607779647226394, 5602.975998674352)
137.5, (-5070.793439393581, 2.0354737612884914, 5287.557844464473)
138.5, (-5033.1418590802305, 1.9171260770006133, 5188.068109343432)
139.5, (-4949.820959245295, 1.8455855196038002, 5011.730076507662)
140.5, (-5516.993869490733, 1.4844509998649928, 4796.631402884666)
141.5, (-5437.400394349516, 1.5684011848257606, 4813.8614445156845)
142.5, (-4398.681118734917, 1.9355019744063735, 4635.827014786082)
143.5, (-3768.0820618608473, 2.309614357334293, 4417.969529511348)
144.5, (-3276.623043776892, 2.801214132300958, 4279.083018088559)
145.5, (-2396.484582191733, 5.149419790116245, 4211.19417609726)
146.5, (-2624.2880213011977, 4.194438673122696, 4089.9729256103014)
147.5, (-1913.4123348195512, 6.795645600286759, 3845.2041422003604)
148.5, (-1348.1563853675973, 21.870318697488624, 3867.543665305295)
149.5, (-1231.4676766352743, 26.524904144757915, 3821.3889930092428)
150.5, (-2997.099736565396, 2.1385905445582245, 3413.6519044509478)
151.5, (-2909.923460611877, 2.5540461081065007, 3488.0956210905915)
152.5, (-2311.668399545047, 3.178205477959728, 3261.87307888434)
153.5, (-2112.795383630151, 3.527265535451946, 3195.92903718429)
154.5, (-1720.5248524206543, 4.283608807260356, 2989.11673626092)
155.5, (-1351.5051710734251, 7.037201297390891, 2942.2143185760483)
