q, (a, b, c)
1.5, (-1769569.8121432266, 14.741831877881728, 1775326.5230879926)
2.5, (-3528200.062716279, 10.081494056743272, 2846213.268577287)
3.5, (-3644697.9998712763, 26.460743945869112, 3653306.176174929)
4.5, (-57509679333.574265, 762217.9484035128, 57509632000.80563)
5.5, (-13847601982.281784, 297830.9771714473, 13847845073.5133)
6.5, (-3167048.583578067, 70.17820501793152, 3568863.375618218)
7.5, (-3256440.8285988206, 15.79696259307132, 2785061.235556689)
8.5, (-3003063.2036299836, 17.761956274102005, 2775463.4956804314)
9.5, (-2658079.6286079143, 20.633822957923808, 2442076.78710452)
10.5, (-2649423.5852564285, 12.286843653596591, 2239106.8204606306)
11.5, (-2536477.983595107, 14.059659910208884, 2198358.4736135593)
12.5, (-2697222.1294137575, 17.56616528958442, 2445329.2062500874)
13.5, (-2692994.387175163, 25.411264990084426, 2556441.854064065)
14.5, (-2923957.4152761013, 28.92308832805332, 2934482.581896746)
15.5, (-2444770.1572372685, 16.34222059183186, 2161831.359584645)
16.5, (-2118260.8288681014, 17.69073693641756, 2030718.407875455)
17.5, (-2061126.8217222842, 21.998771689668175, 2063932.8000253583)
18.5, (-1922950.893261317, 28.28051466701834, 2038116.31451025)
19.5, (-1993203.632776054, 12.270108941786804, 1656713.5882881326)
20.5, (-1698325.6945745854, 9.563571821137339, 1426290.732754878)
21.5, (-1713240.9369328718, 14.475259610986168, 1604661.7518430175)
22.5, (-1439366.0889702584, 11.63796563571029, 1289709.09149854)
23.5, (-1638223.274074037, 12.4095076085263, 1512822.9873012395)
24.5, (-1580981.9891389254, 10.301803551140576, 1393338.0662272035)
25.5, (-1618869.7430063365, 16.30821207040174, 1590606.135806393)
26.5, (-1674693.858929327, 15.488420649389663, 1524831.2595188972)
27.5, (-1432716.3476875406, 11.87459723444274, 1323781.8229980753)
28.5, (-1279673.0056944757, 9.135718178550126, 1120731.0600223034)
29.5, (-1218492.3027283933, 12.391142110558473, 1169277.3391033246)
30.5, (-1428824.5086015803, 6.861880307032909, 1158493.3721650254)
31.5, (-1050371.823766634, 12.893052401980942, 1067042.9120007886)
32.5, (-1107992.1785839351, 10.543026514123824, 1041518.6109244835)
33.5, (-1099571.7258386265, 9.48187403966512, 997467.1361842694)
34.5, (-1122446.3285143941, 7.513345889826468, 960279.7352370702)
35.5, (-1127233.1899582956, 6.256315730761245, 892957.3905279286)
36.5, (-1037407.7719607793, 6.681805436069724, 864863.8074452542)
37.5, (-1101623.4378927234, 6.2465150352680405, 887463.4599303392)
38.5, (-1062483.7090571688, 7.190067441614067, 898036.6686815467)
39.5, (-997749.2426766128, 6.0231658108459545, 800800.0314055111)
40.5, (-977130.4784028225, 7.099380310857379, 837932.8248059036)
41.5, (-948217.2049586946, 5.667627612123787, 758687.8473362743)
42.5, (-816815.84225515, 6.21402412979051, 709948.6535084574)
43.5, (-883664.9372639265, 6.567112161334705, 756362.8151702092)
44.5, (-917495.1708819651, 5.094499004438588, 728691.7758468665)
45.5, (-945665.1889100479, 5.781185102940708, 770785.3883444219)
46.5, (-829964.6313488315, 6.090577190440802, 707728.1659982802)
