q, (a, b, c)
1.5, (-22591818781.303635, 347630.59145956853, 22591509886.93311)
2.5, (-15760806.235203508, 222.87223514344512, 15801192.052475698)
3.5, (-10847177.75068654, 104.3197914764144, 10628754.612484496)
4.5, (-2684351.5522365267, 23.61627955267304, 2725443.8250781917)
5.5, (-5426744.577696766, 53.72819498928289, 5516601.330848889)
6.5, (-25767002.217444398, 306.4375941310451, 26039779.506204765)
7.5, (-8088276.130976513, 61.66866373783305, 8060326.797905341)
8.5, (-6297432.437546151, 43.655260201932236, 6054836.450255203)
9.5, (-5126286.839279458, 34.411989264509835, 4931624.943870019)
10.5, (-5468813.438549811, 26.438422712465655, 5005277.816636423)
11.5, (-10691314179.914946, 170203.0857269902, 10691686784.317865)
12.5, (-4143240.4752123635, 21.46811482915769, 3704726.745877575)
13.5, (-4125566.6646661605, 37.56245163801598, 4221395.711204012)
14.5, (-4796962.050812732, 28.703172739359452, 4586884.421319269)
15.5, (-19374062.20974283, 345.42556167287086, 19687589.39611323)
16.5, (-3902090.430388115, 22.78969596787678, 3695569.5032187714)
17.5, (-3383695.8800067184, 18.016230133485063, 3145096.3138602977)
18.5, (-2785700.8705024444, 29.850372063635657, 2893041.7275933335)
19.5, (-3823605.3822345426, 33.938635772550185, 3664240.8166166223)
20.5, (-3045759.387646465, 17.077199739379655, 2693644.851144849)
21.5, (-2906657.966397448, 13.675215684693203, 2481870.4704639222)
22.5, (-2466492.1393220774, 21.9606619102347, 2428704.1560117775)
23.5, (-2269897.9296632204, 17.63572644051881, 2207495.0078304517)
24.5, (-2222774.44125494, 21.053446913684024, 2202398.794119707)
25.5, (-2057278.1385512138, 15.148961236227732, 1906159.6890033528)
26.5, (-2002555.115098088, 18.972775358317012, 1962936.59190825)
27.5, (-1906461.8768770688, 20.651958912369206, 1899228.0979144843)
28.5, (-1717787.5765296277, 19.726693087819704, 1713211.4739349652)
29.5, (-1682827.5390771832, 24.52378902213232, 1786658.085209439)
30.5, (-1436672.8358029253, 14.42462242603162, 1413524.1401240197)
31.5, (-1342776.569041605, 11.75126218005522, 1253413.5388022724)
32.5, (-1472018.9120813722, 14.397688164713744, 1363174.6129433196)
33.5, (-1274253.5724345725, 13.509956269531749, 1221753.4764073342)
34.5, (-1224180.2378154818, 18.057303723925955, 1258959.7458288805)
35.5, (-1181081.0887376692, 11.122179657901967, 1118187.9626555424)
36.5, (-1212278.677057501, 9.89670000967525, 1085390.978581747)
37.5, (-1106428.071930868, 10.390563915435617, 999058.3809500644)
38.5, (-1027155.5176212487, 10.18251378715699, 977757.6303833075)
39.5, (-887318.1104857749, 10.362567930702545, 864963.271418336)
40.5, (-926723.3827399457, 8.56688611827024, 834402.8403125982)
41.5, (-827310.2498589784, 15.321428709708876, 891873.0953024819)
42.5, (-801515.3036289661, 14.666580764339017, 851818.8804728792)
43.5, (-816423.0435479162, 8.26237692105323, 733853.4548688171)
44.5, (-769272.8113781445, 8.773298152447015, 708837.5051990447)
45.5, (-673946.0899699231, 11.478452435473882, 693792.9723745673)
46.5, (-682806.2835583963, 12.10521316561954, 683479.4037100426)
47.5, (-620501.7888292616, 10.973361778575796, 627268.6667380673)
48.5, (-653091.4464017858, 9.55677949390991, 617488.2968944415)
49.5, (-559861.0376610982, 10.098457643008775, 542721.7660754203)
50.5, (-542597.942300555, 10.712465216739318, 535619.2377239971)
51.5, (-509607.9622599826, 9.365940361141222, 495606.26203787414)
52.5, (-517401.23182261526, 7.346766789735951, 451872.9900004141)
53.5, (-505353.82021077187, 7.574694786218639, 455596.4430950493)
54.5, (-425690.93933426356, 13.043984024843512, 462074.3909103956)
55.5, (-397393.21402849996, 11.525089722183237, 425330.79908033944)
56.5, (-408098.8529101314, 10.012597905674559, 402184.8560641604)
57.5, (-370639.8097284336, 10.047235331814347, 384572.73220655584)
58.5, (-372863.3619180925, 8.207353641932862, 359139.4712930328)
59.5, (-372196.7264056905, 10.929946179593202, 379615.4998053239)
60.5, (-346398.3817442543, 12.605979844513541, 377678.63569350063)
61.5, (-318384.57688167214, 11.962278891642313, 349352.54451011936)
62.5, (-330365.56122236804, 7.904090657296497, 313925.5779343879)
63.5, (-309029.556475482, 8.380559889310895, 301546.1768706391)
64.5, (-276294.8736070189, 8.161527891433003, 272264.6913778083)
65.5, (-274546.1169386838, 8.33533749177861, 266143.0299753688)
66.5, (-263111.5066511341, 8.654780772813822, 263213.1440733104)
67.5, (-270882.82563054864, 7.919372438535758, 265385.4112575354)
68.5, (-238616.02140273867, 9.168760851824612, 249420.50703052236)
69.5, (-241269.3831696134, 10.750872508055032, 255761.54609723206)
70.5, (-250800.89168621658, 7.5423696253069865, 239206.12952358442)
71.5, (-206000.97289346938, 11.33239468432594, 228346.35256371956)
72.5, (-217633.6467789897, 7.476690937216739, 213367.50839545246)
73.5, (-193908.28285849903, 7.364692848407594, 195488.82979191473)
74.5, (-184132.63407188916, 8.615064381012894, 193433.62833753406)
75.5, (-182724.64799268002, 7.4659320310090935, 179958.50244936315)
76.5, (-180938.69650009848, 6.600726739561694, 174433.20238178215)
77.5, (-171887.00628059267, 6.266883773644386, 164169.7652655192)
78.5, (-161228.2551235346, 8.535333475600467, 170077.6249342721)
79.5, (-146594.0981530792, 8.286928996167198, 157444.04949802073)
80.5, (-156209.79816552618, 6.434962557371042, 149641.34852318946)
81.5, (-143644.41110450434, 6.9840559108407145, 142663.08765188177)
