1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 48728.285),(2 139408.95),(3 264539.75),(4 413307.1),(5 593934.7),(6 736979.2),(7 853183.7),(8 963482.5),(9 1038107.06),(10 1079080.4),(11 1089458.9),(12 1107078),(13 1133719),(14 1171118.4),(15 1240976.8),(16 1312690.1),(17 1392852.5),(18 1512685.6),(19 1671384.6),(20 1835552.9),(21 1989882.9),(22 2119466.3),(23 2229649.3),(24 2290021),(25 2346991.3),(26 2382228.5),(27 2385546.3),(28 2374491.8),(29 2373552.8),(30 2364143.8),(31 2361111.8),(32 2375197),(33 2396215.3),(34 2402911.8),(35 2422642.5),(36 2453344),(37 2513357.3),(38 2577099.3),(39 2623281.3),(40 2632092.8),(41 2647334.5),(42 2643349.5),(43 2646303.8),(44 2663958.3),(45 2697175.3),(46 2712567.8),(47 2701318.3),(48 2719789),(49 2747151.5),(50 2789100.3),(51 2816136.8),(52 2847772.3),(53 2859573.3),(54 2864741.3),(55 2852498.8),(56 2849708),(57 2840484.8),(58 2796834.8),(59 2749490.3),(60 2714687.8),(61 2661073.8),(62 2594214.3),(63 2550813.5),(64 2520690.5),(65 2449628),(66 2394310.5),(67 2372888.8),(68 2330983.8),(69 2307196.8),(70 2278041.8),(71 2249283.3),(72 2217290.3),(73 2193105),(74 2205276.8),(75 2227352),(76 2253684.3),(77 2285324.3),(78 2379287.3),(79 2467200.3),
(1 28880.416),(2 97048.42),(3 194326.34),(4 309331.53),(5 430773.2),(6 542632),(7 654712),(8 767551.3),(9 872642),(10 957660.8),(11 1043355),(12 1123361.4),(13 1210863),(14 1301082),(15 1399976.6),(16 1502896.9),(17 1613685.3),(18 1742442.6),(19 1885959),(20 2034608.8),(21 2195009.8),(22 2346738.8),(23 2478203.5),(24 2577179),(25 2637973.3),(26 2676191.5),(27 2702227.3),(28 2714699.3),(29 2708354.5),(30 2714420.8),(31 2716082.8),(32 2729625.3),(33 2753838.8),(34 2792195.3),(35 2826464.5),(36 2867600),(37 2920129.5),(38 2972904.5),(39 2997871.5),(40 3006427.8),(41 3007511),(42 2998339.3),(43 2980356.8),(44 2965335.5),(45 2945424.8),(46 2937656),(47 2933540.8),(48 2942802),(49 2967652.3),(50 2997297.5),(51 2999383.8),(52 3000760.8),(53 3002377.3),(54 2997477.5),(55 2992776),(56 2986154.5),(57 2975456),(58 2952334.5),(59 2931788.8),(60 2918133.5),(61 2902856),(62 2894843),(63 2899202),(64 2918505.3),(65 2929964),(66 2955716.5),(67 2991995.3),(68 3029693.3),(69 3081071.3),(70 3104276.8),(71 3121961.8),(72 3131360.3),(73 3175170.8),(74 3216751.5),(75 3258606.5),(76 3310547),(77 3381509.3),(78 3492426.8),(79 3601804.5),
(1 32669.568),(2 103516.664),(3 202718.19),(4 312435.9),(5 420632.34),(6 518264.34),(7 598132.75),(8 664253.7),(9 705770.5),(10 735416),(11 755146.25),(12 765644.7),(13 775787.44),(14 783507.8),(15 789357.3),(16 796526.7),(17 798349.06),(18 808507.94),(19 827867.56),(20 852205.94),(21 898290.94),(22 958621.75),(23 1027185.25),(24 1090481.6),(25 1151209.9),(26 1212740.4),(27 1259698.9),(28 1308068.6),(29 1358100.5),(30 1416182.5),(31 1472448.4),(32 1527798.9),(33 1596874.6),(34 1668998.1),(35 1753711.9),(36 1853432.6),(37 1957264.4),(38 2065632.5),(39 2162540.3),(40 2258360.8),(41 2355985.3),(42 2438112.3),(43 2500692.8),(44 2548533.3),(45 2601533),(46 2650127),(47 2692245),(48 2742421.3),(49 2795638.5),(50 2873284.8),(51 2933532.8),(52 2997765),(53 3066166.8),(54 3125797.3),(55 3175523.3),(56 3212500.3),(57 3233408),(58 3257751.8),(59 3265379),(60 3258169),(61 3250786),(62 3246085.8),(63 3266101.3),(64 3289625.3),(65 3321524.8),(66 3372270),(67 3439236.8),(68 3529441.8),(69 3649150.8),(70 3780240),(71 3893672),(72 3999674.8),(73 4120437.3),(74 4224486.5),(75 4315373.5),(76 4406677.5),(77 4495973.5),(78 4616530.5),(79 4728515.5),
(1 31355.469),(2 103853.34),(3 199396.14),(4 308120.84),(5 418731.94),(6 522826.34),(7 611869),(8 688409.44),(9 753410.75),(10 807214.6),(11 853595.4),(12 891991.06),(13 935830.1),(14 981899.3),(15 1029381.44),(16 1071651.4),(17 1125802.5),(18 1180806.3),(19 1242336.1),(20 1307320.3),(21 1389416.6),(22 1483571.6),(23 1575180),(24 1672336.3),(25 1777831.6),(26 1893093.4),(27 2006836.5),(28 2118851.3),(29 2227150.3),(30 2333309.8),(31 2436022.8),(32 2529867.5),(33 2619423),(34 2703515.5),(35 2784785.8),(36 2866598.5),(37 2952327),(38 3043343.5),(39 3130741),(40 3202111.8),(41 3258191),(42 3302169.3),(43 3326759.5),(44 3336474.8),(45 3356588),(46 3371132.5),(47 3406410.3),(48 3435277.8),(49 3491176.8),(50 3562141),(51 3632977.5),(52 3717344.5),(53 3807606.8),(54 3902624),(55 3989504.5),(56 4080771.5),(57 4158059.5),(58 4226739.5),(59 4286726),(60 4332979.5),(61 4373864.5),(62 4403970.5),(63 4449374),(64 4485664),(65 4533380.5),(66 4583681),(67 4631898),(68 4689754.5),(69 4755133),(70 4824761.5),(71 4886631),(72 4953962),(73 5031057.5),(74 5105314),(75 5161342),(76 5201747.5),(77 5243789.5),(78 5289179),(79 5332482),
(1 29204.063),(2 100948.32),(3 201578.69),(4 319585.5),(5 447105.4),(6 584280.56),(7 722925.94),(8 869804.56),(9 1017507.8),(10 1153464.5),(11 1293482),(12 1423091.6),(13 1557776.4),(14 1687623.1),(15 1810906.9),(16 1936968.8),(17 2068357.6),(18 2203317.8),(19 2322906.5),(20 2438217.5),(21 2565579.8),(22 2698007.3),(23 2832425.8),(24 2971365.8),(25 3101962.3),(26 3229976),(27 3350054.5),(28 3445325.5),(29 3520161.5),(30 3566836.8),(31 3606496.8),(32 3637665.5),(33 3662623.3),(34 3680114.5),(35 3688982.5),(36 3686649),(37 3701067),(38 3721986.3),(39 3759391.3),(40 3793638.3),(41 3827028.3),(42 3862061.8),(43 3889032.8),(44 3918211),(45 3963517),(46 4018171),(47 4096308.3),(48 4177134.5),(49 4258500.5),(50 4347854.5),(51 4443487.5),(52 4555734),(53 4677142),(54 4813198.5),(55 4960161),(56 5124815.5),(57 5273670.5),(58 5431433.5),(59 5560366),(60 5693588.5),(61 5809635.5),(62 5906417),(63 6020400.5),(64 6133678),(65 6248280.5),(66 6365389),(67 6488187),(68 6644859),(69 6802683.5),(70 6970032),(71 7140608),(72 7311333),(73 7464420.5),(74 7617037),(75 7735075),(76 7845601.5),(77 7952583.5),(78 8055736.5),(79 8139237),
(1 28347.62),(2 97957.85),(3 198282.97),(4 318628.28),(5 455898.7),(6 598969.25),(7 750558.5),(8 911296.4),(9 1079497.8),(10 1240896.4),(11 1397672.3),(12 1545526.5),(13 1689161.3),(14 1828945.4),(15 1972402.4),(16 2115038.5),(17 2258930.5),(18 2397735),(19 2537484.3),(20 2665622),(21 2781848.5),(22 2884781.5),(23 2973359.5),(24 3050560.5),(25 3115906),(26 3179467.5),(27 3219529.3),(28 3244236.8),(29 3265414),(30 3268920),(31 3278123.3),(32 3294494.5),(33 3302618),(34 3326413.3),(35 3348011.5),(36 3375121.5),(37 3420154),(38 3473834),(39 3521992),(40 3566777.5),(41 3613315.3),(42 3664363.5),(43 3712542.5),(44 3754891.3),(45 3799645.5),(46 3830476),(47 3856734),(48 3886054.5),(49 3924375.5),(50 3973360.8),(51 4039728),(52 4118542.5),(53 4191567.3),(54 4284635),(55 4363540),(56 4441892.5),(57 4496776),(58 4531507),(59 4571650.5),(60 4614724),(61 4676470),(62 4734266),(63 4799316),(64 4874036),(65 4960653),(66 5028759),(67 5117484),(68 5211481),(69 5323327.5),(70 5460653.5),(71 5634752),(72 5820067),(73 5993257.5),(74 6177445),(75 6357199),(76 6522037.5),(77 6697972),(78 6884338.5),(79 7057966.5),
(1 30334.21),(2 107787.86),(3 221807.64),(4 358522.13),(5 516048.8),(6 686447),(7 856995.56),(8 1026923.7),(9 1189644.5),(10 1341462.8),(11 1475708.1),(12 1594699.8),(13 1702058.5),(14 1801439.1),(15 1896258),(16 1977769.4),(17 2065159.5),(18 2158008.3),(19 2246394),(20 2335206.5),(21 2424240.5),(22 2498317),(23 2556412.5),(24 2602158.8),(25 2646954.3),(26 2698091.5),(27 2743574.8),(28 2792211.5),(29 2844965),(30 2886947.5),(31 2931734.8),(32 2975011.8),(33 3006453.5),(34 3048102.3),(35 3088419),(36 3140105),(37 3194053.5),(38 3258473.8),(39 3307205),(40 3354969),(41 3392246.3),(42 3419145.3),(43 3445441.5),(44 3472213),(45 3485477.5),(46 3498875.8),(47 3505168.3),(48 3513718.5),(49 3532933),(50 3561469.8),(51 3606997.3),(52 3645724),(53 3687523.5),(54 3731333),(55 3767645),(56 3816423.8),(57 3863725.5),(58 3902520.5),(59 3937824.5),(60 3976652),(61 4027869.5),(62 4067662.5),(63 4105253.3),(64 4127238.3),(65 4163968),(66 4189934.5),(67 4229103),(68 4271420),(69 4327159),(70 4385112),(71 4445165.5),(72 4511375.5),(73 4572741.5),(74 4640106.5),(75 4710014),(76 4786715.5),(77 4878123.5),(78 4986333),(79 5100356.5),
(1 28273.783),(2 96655.11),(3 190474.14),(4 300241),(5 424026.66),(6 556264.06),(7 691219.9),(8 819273.94),(9 948488.06),(10 1075260),(11 1203237.6),(12 1329750.6),(13 1459923.8),(14 1590571.5),(15 1722510.1),(16 1845713.5),(17 1977000.3),(18 2110805.3),(19 2244789.5),(20 2369651.3),(21 2496242.3),(22 2617441),(23 2725544.5),(24 2831296.8),(25 2934556.5),(26 3028029),(27 3110217.3),(28 3186134.5),(29 3251891.8),(30 3316657.5),(31 3382031.3),(32 3439849.5),(33 3492129.8),(34 3541168.5),(35 3584297.3),(36 3640353.5),(37 3699890.3),(38 3762065.5),(39 3813149.3),(40 3855123.8),(41 3883985.5),(42 3907460.3),(43 3922379.8),(44 3940856),(45 3953202.3),(46 3967963.5),(47 3991642.8),(48 4030024.8),(49 4084514.5),(50 4147908.8),(51 4217104.5),(52 4266357),(53 4314936),(54 4358443.5),(55 4396613),(56 4449954.5),(57 4498913.5),(58 4537934.5),(59 4586643.5),(60 4637098),(61 4714524.5),(62 4790584),(63 4878798),(64 4981457.5),(65 5089951),(66 5193525.5),(67 5301390),(68 5387381),(69 5464323),(70 5528120.5),(71 5568776),(72 5604595),(73 5632540.5),(74 5656339.5),(75 5677576.5),(76 5696827),(77 5707211),(78 5720739),(79 5737485),
(1 31337.78),(2 110809.13),(3 224455.63),(4 364294.25),(5 514881.8),(6 670418.4),(7 818871.25),(8 958176.9),(9 1100482.8),(10 1234593.5),(11 1362697.9),(12 1490555.5),(13 1613326.8),(14 1734012),(15 1850194.9),(16 1963555.5),(17 2088443.8),(18 2215057.5),(19 2339783.5),(20 2462314.3),(21 2576682.5),(22 2687938),(23 2784069.3),(24 2876058.3),(25 2955028),(26 3033374),(27 3104145.8),(28 3162999),(29 3221514.8),(30 3278320),(31 3332631.3),(32 3386885.8),(33 3426890),(34 3468894.5),(35 3510018.8),(36 3559040),(37 3621427.8),(38 3693096.5),(39 3750925.3),(40 3805079.5),(41 3850062.8),(42 3888964.8),(43 3916238.3),(44 3930762.5),(45 3932484.8),(46 3931517.5),(47 3929650.8),(48 3930141.3),(49 3936586.3),(50 3940324.3),(51 3952597.3),(52 3952544.5),(53 3973674),(54 4010774),(55 4056949.8),(56 4108325.3),(57 4158004.8),(58 4193817),(59 4225674.5),(60 4262220),(61 4307758),(62 4370326.5),(63 4429307.5),(64 4505817.5),(65 4587611),(66 4661018.5),(67 4744984.5),(68 4832118.5),(69 4915829),(70 4992605),(71 5071711.5),(72 5158254.5),(73 5251338),(74 5341267),(75 5426492),(76 5498489.5),(77 5559980),(78 5630839.5),(79 5688956),
(1 26225.227),(2 90363.44),(3 181802.02),(4 290738.16),(5 411049.72),(6 533490.7),(7 647410.75),(8 754892.44),(9 857217.94),(10 954864.25),(11 1042912),(12 1126509.8),(13 1206985.8),(14 1284942),(15 1363139.4),(16 1444066.6),(17 1535822.9),(18 1639024.9),(19 1742077.1),(20 1846803.3),(21 1957753.4),(22 2066212.9),(23 2171699.5),(24 2279940.5),(25 2385537.8),(26 2479345.5),(27 2560572.8),(28 2617028.8),(29 2661503.5),(30 2706005),(31 2751381.8),(32 2797212),(33 2845852.8),(34 2889867.3),(35 2929114.8),(36 2965781.3),(37 3004228.5),(38 3042756),(39 3074840),(40 3105758.8),(41 3132974.3),(42 3150343.3),(43 3165064.5),(44 3183427),(45 3189646.3),(46 3183207),(47 3170336.5),(48 3155371),(49 3153777.8),(50 3164247),(51 3180059.8),(52 3193333.3),(53 3209902.3),(54 3226512.8),(55 3238723),(56 3261158.8),(57 3290863),(58 3316223.5),(59 3343438.8),(60 3373939.8),(61 3403325.3),(62 3441074.8),(63 3479154.8),(64 3526436.5),(65 3569031.5),(66 3612279),(67 3662832.5),(68 3728499.5),(69 3795094.3),(70 3854831),(71 3900291.5),(72 3929165.3),(73 3938817.3),(74 3933596),(75 3919265.8),(76 3907518.8),(77 3894541),(78 3875303),(79 3859929.8),
(1 25353.795),(2 86443.45),(3 171161.5),(4 275812.88),(5 391158.88),(6 513484),(7 641240.94),(8 774143.44),(9 906692.9),(10 1030552.94),(11 1150625.5),(12 1265057.4),(13 1381047.6),(14 1500807),(15 1627192.5),(16 1757652.8),(17 1896041.8),(18 2044800.5),(19 2206146),(20 2379192),(21 2565557.8),(22 2753738.3),(23 2951331.3),(24 3156263.5),(25 3355219.8),(26 3551673.8),(27 3734703),(28 3910248.5),(29 4073551),(30 4226076),(31 4369098),(32 4511124),(33 4637479.5),(34 4772435),(35 4906290),(36 5027796.5),(37 5137532),(38 5247459),(39 5349138),(40 5447665),(41 5552089.5),(42 5637898.5),(43 5721228),(44 5778596),(45 5826556),(46 5877369.5),(47 5920148.5),(48 5973763),(49 6031309),(50 6104263.5),(51 6187048),(52 6275695),(53 6372819),(54 6484180),(55 6583259.5),(56 6683131.5),(57 6780744),(58 6889302.5),(59 7005818.5),(60 7121456),(61 7238316),(62 7345244),(63 7460020),(64 7573190.5),(65 7674703),(66 7764974),(67 7854290),(68 7929823),(69 8011840),(70 8089118),(71 8178703),(72 8254266.5),(73 8314364),(74 8346196.5),(75 8375910.5),(76 8395532),(77 8406943),(78 8414323),(79 8410504),
