q, (a, b, c)
1.5, (-79864781.1236814, 21.225388811301567, 68895436.4617477)
2.5, (-90036179.59536895, 19.143326395551973, 74203049.31155334)
3.5, (-56744292.93071148, 15.771094811660028, 45194089.00483355)
4.5, (-50235415.38313344, 7.247852691360134, 35733841.13724133)
5.5, (-38399757.229971506, 5.04571655646062, 26080252.89407201)
6.5, (-25657321.08768378, 5.3036940242257495, 19581639.131852075)
7.5, (-17404650.55165365, 12.44580778349737, 17819565.04028991)
8.5, (-23639887.25179173, 4.992193189111669, 17559170.7064654)
9.5, (-19909651.37434032, 4.5270587063677326, 14818410.852299333)
10.5, (-19116000.86302955, 4.021763187797416, 14438730.49252415)
11.5, (-20584764.155551612, 3.330989213443207, 14276892.060038643)
12.5, (-14700905.828180654, 3.0171026141336137, 10446691.041512001)
13.5, (-15063333.331889596, 2.3504441141741745, 9781918.733409608)
14.5, (-12765280.941126116, 2.819074175893121, 8977394.625832455)
15.5, (-8231868.0481583085, 3.332865030534783, 6555910.643006981)
16.5, (-7701090.887291291, 2.5596851244198495, 5711836.28739981)
17.5, (-8572006.476498894, 2.0880649800257522, 5633025.092363143)
18.5, (-6403445.634491256, 2.348336800369457, 4755278.925261504)
19.5, (-6307620.374969595, 2.1380345429912198, 4393404.0464958055)
20.5, (-4011114.762741549, 3.704096938360476, 3787826.19239966)
21.5, (-4057605.2418287764, 2.841534396564606, 3445011.430369039)
22.5, (-5444330.017465985, 1.507520319538061, 3185523.3624920254)
23.5, (-4627668.237351603, 1.4813630472353239, 2807612.1928006206)
24.5, (-3970635.434272201, 1.5333623753711922, 2513237.2105648764)
25.5, (-3237180.142883445, 1.8844688629084092, 2318243.587246833)
26.5, (-3428438.3871486345, 1.4585643102092483, 2155947.2391472533)
27.5, (-3177190.4208202674, 1.5949810883530882, 2176318.46774193)
28.5, (-3355717.3971519778, 1.3203934460345155, 1964439.8106043586)
29.5, (-2057179.1779705323, 2.002440658414194, 1647814.1871408282)
30.5, (-1966894.1241935375, 1.7708161613445912, 1494557.2297478612)
31.5, (-1717357.939801501, 1.915264788562784, 1412739.365847545)
32.5, (-1856970.277614814, 1.5505333903118843, 1313688.4923167538)
33.5, (-1973196.1541858877, 1.2616517810500223, 1242347.9262833456)
34.5, (-1340536.8793763535, 1.9132914042531004, 1145619.5458225603)
35.5, (-1357170.3524513235, 1.7142938750080081, 1113143.6157114485)
36.5, (-959671.8091459597, 2.30673621763258, 980626.3989289562)
37.5, (-1252467.4771667866, 1.3695447662920572, 908534.5270600914)
38.5, (-806556.056645168, 2.4507188895365886, 860528.4293925323)
