q, (a, b, c)
1.5, (-335205391.7624486, 7.6392382365279445, 234537611.27550942)
2.5, (-247469828.17262357, 11.20038093726788, 220092998.83994272)
3.5, (-206135093.47653767, 4.468785344546035, 155973934.47884336)
4.5, (-198259588.36346328, 2.689593670984415, 128754094.40442996)
5.5, (-157373618.93399063, 2.878445619475712, 111046703.00515555)
6.5, (-106514910.6319608, 6.3802445889179715, 103463784.80242135)
7.5, (-85817362.0355267, 3.610647668345422, 74103102.9672644)
8.5, (-52484410.97747023, 4.620909287465037, 51110787.10993466)
9.5, (-46555139.05812221, 2.426081844196251, 35243605.39030378)
10.5, (-38968484.53978477, 2.123589149553374, 29030076.11864795)
11.5, (-42184501.61816251, 1.4970994278304108, 25142988.450389095)
12.5, (-32580255.88485348, 1.2910513843214926, 18545992.843470298)
13.5, (-31738418.61811154, 1.1090971219087045, 16434646.602788167)
14.5, (-15070706.062690584, 1.973252057222668, 12142041.734667676)
15.5, (-14632236.140114978, 1.4722523947245023, 10366637.750869147)
16.5, (-9441803.37854688, 1.9213902260445228, 9043779.868875844)
17.5, (-10205397.109289834, 1.6350864226097985, 8585902.831888163)
18.5, (-13493046.133268347, 0.958017562183614, 7428804.985269233)
19.5, (-11307116.833486037, 0.8965684272335409, 6018192.764070446)
20.5, (-7341979.944090052, 1.1413646891927889, 5297075.65281695)
21.5, (-14554154.984823154, 0.6288148519486307, 5114497.147528751)
22.5, (-5442218.41746892, 1.1608265253831642, 4270979.582326108)
23.5, (-5302929.419159132, 1.1098532726021546, 4062153.315461584)
24.5, (-3269954.9516374217, 1.6857767235026913, 3591062.2204148285)
25.5, (-5336678.455469229, 0.8194656640897574, 3116972.0564166913)
26.5, (-3157870.670530374, 1.2074289510947123, 2820021.7958962563)
27.5, (-6822453.156565835, 0.6318854685557498, 2770267.000647936)
28.5, (-1543588.9392382205, 2.1705161629772896, 2411286.2506205784)
29.5, (-1934009.1571573373, 1.4252515186696506, 2130688.323560848)
30.5, (-3052991.3059016797, 0.8039791342334108, 1943703.8920273685)
31.5, (-1311804.880424973, 1.6867050265337373, 1797715.7868155176)
32.5, (-1623663.3748570264, 1.2631616790389628, 1652255.593573653)
33.5, (-2066763.2225233961, 0.8341690428993705, 1499315.9061799063)
34.5, (-2237036.049918327, 0.726505374568753, 1404917.2763100192)
35.5, (-943281.2123719709, 1.5062338782119837, 1303113.040333494)
36.5, (-829726.2613360083, 1.4179104357575154, 1171421.795440947)
37.5, (-883110.2962707393, 1.191002861465733, 1089433.4327420993)
38.5, (-1053417.107299671, 0.8778868502745851, 995044.644676034)
39.5, (-723354.3167137024, 1.3319802170176296, 912711.2519878353)
40.5, (-596785.1285450056, 1.5020580067164173, 885548.2314033449)
41.5, (-514259.8151870687, 1.3840372517228, 788680.2893090396)
42.5, (-571392.2755752418, 1.156788835491471, 741043.2402876258)
43.5, (-433619.9359031917, 1.5405817506280677, 698277.775296357)
44.5, (-417152.56803061557, 1.2357462844756744, 642623.5508849636)
45.5, (-444487.3974435277, 1.1726555807167338, 613995.0184085383)
46.5, (-226319.2974268989, 3.067668558815781, 567235.4194406447)
47.5, (-261452.3613012288, 2.0274924772457688, 526903.9160406971)
48.5, (-324239.6933152398, 1.2429844182628378, 471734.75953218946)
49.5, (-346102.36050531245, 1.0607501149071326, 467517.10003578535)
50.5, (-217243.66770855134, 1.5482315630204393, 421118.20933629497)
51.5, (-252365.1709300487, 1.2789076410774949, 407967.0273155484)
52.5, (-96574.83719472356, 5.366311567051117, 384648.76875334134)
53.5, (-96898.25499485282, 5.132194762541186, 355511.9191825081)
54.5, (-166341.48294893993, 2.0195399179775193, 349714.7671313707)
55.5, (-130779.86976045408, 2.460000822898068, 329457.7387435442)
56.5, (-107509.7395324437, 3.0100389380091612, 317563.66766307317)
57.5, (-102278.9694904068, 2.696194696368499, 290675.30089664937)
58.5, (-94103.49201425245, 3.06202568972264, 283652.9315271154)
59.5, (-43110.76242373718, 15.572020992902504, 265602.9981751965)
60.5, (-124749.24116414854, 1.429174894900082, 247997.38874641684)
61.5, (-102778.3276331393, 2.0143990099074354, 241248.07324359452)
62.5, (-103131.35542236992, 1.6874803787951167, 228145.3197068858)
63.5, (-131947.30199331665, 1.2170794420673148, 219069.3962661469)
64.5, (-57736.64066518239, 5.479146252406492, 211528.68773283498)
65.5, (-62074.337326767454, 3.6506305776670382, 202652.89423406872)
66.5, (-45345.427488628746, 3.805961492439717, 180634.2788245955)
67.5, (-37090.57644979565, 7.881334010992189, 176989.98189960216)
68.5, (-40535.02492980648, 6.11014061301371, 168256.23331902854)
69.5, (-43486.541633420005, 4.919577419257212, 160971.75524976308)
70.5, (-70253.66876218794, 1.4703133972588045, 152636.29834691904)
71.5, (-76455.81682220519, 1.1921864372790107, 146880.57864280723)
72.5, (-77004.33144134513, 1.0592602431281624, 136583.38064603775)
73.5, (-47413.99376670944, 1.6174664379018049, 132427.30096458038)
74.5, (-45148.77937126635, 1.9737618418537366, 130268.92356106777)
75.5, (-32550.999762927535, 3.8920385748215915, 125406.07786623409)
76.5, (-46096.02355522734, 2.163153145975588, 117003.52176248065)
77.5, (-33830.58858014498, 2.482488950594202, 109230.49618877372)
78.5, (-31739.934533976357, 2.922157030688988, 107460.66622262138)
79.5, (-46063.23487667116, 1.5061706131604071, 101443.43307023267)
80.5, (-49144.891217402896, 1.2079855930650387, 99030.71879704321)
81.5, (-51338.22012676273, 1.0787949988372727, 94554.73204859515)
82.5, (-37814.096293514274, 1.4325953562908373, 89583.35545606168)
83.5, (-45562.15853625777, 0.9734582651400906, 86824.59771279554)
84.5, (-28488.035220809474, 1.6358396370443267, 81530.14001375127)
85.5, (-21308.35005133031, 2.256180789030472, 81761.0500926382)
86.5, (-18247.129865636645, 2.988977695698169, 76465.38722656557)
87.5, (-56749.78284993943, 0.7926865078779533, 72436.11853759116)
88.5, (-18385.46470239244, 3.0227980908660923, 73115.8894540619)
89.5, (-16358.401263766884, 2.5739042265906193, 65301.689530093994)
90.5, (-11367.105805106865, 5.4021968644597615, 65001.35665348353)
91.5, (-14522.917262172687, 3.3108176241663965, 62962.20078998185)
92.5, (-14795.377578663614, 2.470510817218547, 60433.06312986109)
93.5, (-13822.136275531853, 3.051658762651882, 57758.18605261162)
94.5, (-12508.490530390347, 3.185911078414762, 53842.5792515592)
95.5, (-16394.41329434446, 2.013932168903992, 53016.11021925969)
96.5, (-14906.41016372294, 2.254959620600048, 50284.44997353953)
97.5, (-15798.078985340526, 1.5638697550093859, 48578.38164771625)
98.5, (-14602.42108078666, 1.6395155747992138, 48935.98921297114)
