1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 3843336.3),(2 12285488),(3 20910294),(4 31756030),(5 41259840),(6 51307380),(7 60342060),(8 69030890),(9 81175430),(10 90609150),(11 103803304),(12 115418300),(13 131195350),(14 148567570),(15 163363200),(16 175546750),(17 187214700),(18 198246830),(19 211186620),(20 239875970),(21 256186190),(22 272779940),(23 280806660),(24 291225860),(25 302051700),(26 311041380),(27 315412700),(28 319303460),(29 327039400),(30 331474200),(31 332213100),(32 328884200),(33 325923260),(34 320976160),(35 312674880),(36 303336930),(37 296761900),(38 292887940),(39 291669250),(40 295424670),(41 299962340),(42 299782560),(43 292966900),(44 287405700),(45 278708960),(46 269430270),(47 261671760),(48 257558060),(49 253891600),(50 248250670),(51 242651650),(52 237723840),(53 233668100),(54 229713780),(55 222401660),(56 215981380),(57 210232960),(58 205007440),(59 201969140),(60 199233970),(61 196819980),(62 193119950),(63 187734990),(64 181176450),(65 175033970),(66 168988590),(67 163016340),(68 157013100),(69 150935740),(70 147671020),(71 143136240),(72 137946030),(73 133105750),(74 130731940),(75 129111300),(76 128418240),(77 133005730),(78 139252050),(79 142339520),
(1 4508617),(2 15847230),(3 28618470),(4 42401628),(5 56143544),(6 72986200),(7 86104660),(8 97072080),(9 106383610),(10 114657360),(11 124280830),(12 130256210),(13 139404060),(14 147059970),(15 152949380),(16 159951140),(17 169962800),(18 177831970),(19 182172080),(20 189044050),(21 191727260),(22 194867860),(23 197804100),(24 197897550),(25 197420580),(26 197515730),(27 195885100),(28 192878880),(29 190315860),(30 191692530),(31 194500450),(32 196255520),(33 201166820),(34 203180220),(35 206516640),(36 213373010),(37 219353980),(38 217840850),(39 216095740),(40 218207330),(41 221527200),(42 221641980),(43 217326560),(44 211378750),(45 202344930),(46 196981980),(47 196154080),(48 198371620),(49 208422320),(50 216197040),(51 224312880),(52 226971900),(53 229416620),(54 229197950),(55 229927040),(56 230840270),(57 230394700),(58 228440480),(59 229399140),(60 232187060),(61 234550220),(62 236951400),(63 237147950),(64 234084140),(65 232251730),(66 228527260),(67 226088450),(68 223705860),(69 218612380),(70 216310820),(71 212793470),(72 209398610),(73 204723280),(74 202974370),(75 201770140),(76 200072030),(77 202372820),(78 202650910),(79 201223120),
(1 5485465.5),(2 20837480),(3 38111508),(4 58100268),(5 76163340),(6 99300856),(7 116603560),(8 132213670),(9 142470300),(10 150086080),(11 153269250),(12 155032560),(13 157527860),(14 153832720),(15 149525580),(16 143591870),(17 136802880),(18 132852264),(19 131190600),(20 132091590),(21 131879850),(22 133324540),(23 137706180),(24 139877740),(25 147743410),(26 158595380),(27 161060560),(28 160596590),(29 161160560),(30 163687040),(31 167003660),(32 172115150),(33 180856910),(34 182866690),(35 184328640),(36 186566100),(37 189279860),(38 189555920),(39 188812720),(40 186761780),(41 183884720),(42 179236020),(43 173189280),(44 169831220),(45 165236560),(46 163993810),(47 162398540),(48 160873020),(49 161225780),(50 160543600),(51 159329150),(52 157404080),(53 156439980),(54 155225780),(55 154609680),(56 151090420),(57 147133100),(58 141334510),(59 136154740),(60 133433064),(61 130963230),(62 128917930),(63 126959770),(64 126312740),(65 128074120),(66 127644670),(67 126045250),(68 125203360),(69 128084670),(70 134220560),(71 139766740),(72 145686270),(73 151567410),(74 157631220),(75 162177390),(76 165990980),(77 170407340),(78 171296260),(79 171608180),
(1 7067369),(2 25065394),(3 46453390),(4 70111704),(5 91048540),(6 110552850),(7 125301470),(8 138210020),(9 145603550),(10 147400420),(11 143903550),(12 139495550),(13 133627450),(14 127734050),(15 123078620),(16 119460664),(17 117353500),(18 120923760),(19 125151470),(20 124469520),(21 124798220),(22 125196630),(23 117086830),(24 114422020),(25 113864570),(26 114541990),(27 115133020),(28 119576920),(29 126931680),(30 130839130),(31 132694780),(32 134545980),(33 135781600),(34 138453330),(35 142474380),(36 146195520),(37 149286270),(38 150263420),(39 146912050),(40 137115740),(41 127714470),(42 118820920),(43 108860856),(44 104398440),(45 105787900),(46 109548536),(47 114340000),(48 122792520),(49 132230420),(50 139149490),(51 142890700),(52 144310240),(53 145661950),(54 145019330),(55 142985580),(56 139105860),(57 134307040),(58 127882020),(59 121427440),(60 114644940),(61 110355400),(62 107881470),(63 105440500),(64 103264800),(65 104157950),(66 107125740),(67 109736616),(68 111971720),(69 116903610),(70 122813640),(71 129185630),(72 135119170),(73 140193340),(74 144197700),(75 147090620),(76 148390800),(77 150395460),(78 149326700),(79 147780380),
(1 7362497.5),(2 25772702),(3 46305090),(4 68630480),(5 84587320),(6 97557000),(7 104815780),(8 107456300),(9 106808390),(10 106083300),(11 105724650),(12 105038160),(13 107540700),(14 110404870),(15 113262500),(16 116123960),(17 118658480),(18 120439810),(19 117988630),(20 113544190),(21 108761300),(22 106753256),(23 104226456),(24 104219240),(25 103283016),(26 105037190),(27 108311656),(28 106885320),(29 105356450),(30 104082640),(31 103654410),(32 102497360),(33 101432216),(34 99439920),(35 97322024),(36 101843176),(37 106456680),(38 110121400),(39 112559610),(40 108271360),(41 104062600),(42 102216984),(43 100171620),(44 98046080),(45 99670990),(46 99244170),(47 99088800),(48 102203510),(49 106635740),(50 110677090),(51 115691240),(52 119191530),(53 121881550),(54 124550070),(55 127129544),(56 129139896),(57 127852190),(58 126007544),(59 122227510),(60 120133864),(61 119483060),(62 118928990),(63 117309020),(64 115189840),(65 113453870),(66 112558940),(67 112955870),(68 115717220),(69 121638660),(70 122869576),(71 123247030),(72 120899944),(73 115022900),(74 110565580),(75 108008680),(76 104888240),(77 102580830),(78 100353670),(79 97724056),
(1 6914206.5),(2 23399232),(3 40032730),(4 53405944),(5 61424052),(6 68390744),(7 73169140),(8 77325384),(9 76076170),(10 74357976),(11 73279144),(12 71809620),(13 73210600),(14 79435070),(15 85463620),(16 90782040),(17 94052180),(18 98468820),(19 103219160),(20 110348750),(21 113196460),(22 115245140),(23 111396400),(24 110860140),(25 107293820),(26 105925350),(27 104368810),(28 102899460),(29 103994510),(30 107572030),(31 112094760),(32 114538990),(33 114482380),(34 112979500),(35 110946880),(36 110380880),(37 110796610),(38 112679410),(39 112937780),(40 110148584),(41 103443860),(42 96989770),(43 93536050),(44 93274700),(45 91232630),(46 88313900),(47 85955944),(48 86025510),(49 89459176),(50 91796760),(51 95314250),(52 97657170),(53 100168770),(54 105075030),(55 109365224),(56 112662850),(57 114041390),(58 116481260),(59 114255420),(60 112792000),(61 109927130),(62 105950450),(63 101564610),(64 96711080),(65 93068200),(66 92299020),(67 94132800),(68 98995320),(69 100700250),(70 101990850),(71 103696940),(72 103239144),(73 101694296),(74 100300376),(75 98704856),(76 98917810),(77 100109440),(78 102748424),(79 104022130),
(1 7320179),(2 22981184),(3 38134384),(4 49757548),(5 55116760),(6 59698630),(7 62797212),(8 68398670),(9 69726010),(10 69014900),(11 62764610),(12 58739924),(13 58470756),(14 60802576),(15 63225424),(16 67103110),(17 71738980),(18 78207980),(19 87670456),(20 87143750),(21 88096620),(22 82964980),(23 79553064),(24 77383070),(25 74687420),(26 73266340),(27 74420150),(28 78158024),(29 82929850),(30 87141140),(31 90290980),(32 91467590),(33 94382856),(34 95629340),(35 95388820),(36 92527870),(37 86290010),(38 80240780),(39 74439656),(40 69524140),(41 66734876),(42 67113230),(43 69295580),(44 71402100),(45 73086740),(46 74401840),(47 76250830),(48 78366520),(49 78546424),(50 76211620),(51 73736024),(52 71157000),(53 69537370),(54 70383260),(55 71199070),(56 71103570),(57 71093150),(58 71969016),(59 73078560),(60 73141440),(61 72277990),(62 70846790),(63 69555640),(64 69147350),(65 67190136),(66 65735060),(67 64905190),(68 64055110),(69 63018184),(70 64976560),(71 66429190),(72 66888644),(73 66829916),(74 66353110),(75 65733550),(76 66193604),(77 65743304),(78 66705068),(79 67231070),
(1 5288061.5),(2 15982436),(3 25624800),(4 33340502),(5 37011764),(6 39752440),(7 41461676),(8 43053800),(9 44543600),(10 44346356),(11 40371764),(12 38648948),(13 37971604),(14 40455140),(15 43404116),(16 48406120),(17 53476772),(18 55022976),(19 53829440),(20 53456250),(21 53453176),(22 54190464),(23 53690236),(24 52950948),(25 50218630),(26 50305270),(27 51013360),(28 54274710),(29 53938908),(30 53915180),(31 53401588),(32 53685696),(33 54925960),(34 55296784),(35 57172096),(36 57329852),(37 56867180),(38 56441776),(39 55343990),(40 55767508),(41 55190852),(42 53682384),(43 52330296),(44 53239360),(45 53680852),(46 53858652),(47 54718364),(48 56026260),(49 55963390),(50 56132428),(51 56275772),(52 56357308),(53 56297572),(54 56368696),(55 57481744),(56 58160468),(57 58885532),(58 59420244),(59 58825668),(60 55847428),(61 52344296),(62 48189324),(63 44142516),(64 42141976),(65 40760310),(66 40262170),(67 41233130),(68 42397720),(69 43935828),(70 44666828),(71 45089544),(72 45104052),(73 45466730),(74 44542612),(75 42134130),(76 40676676),(77 39540424),(78 39154570),(79 40364944),
(1 4708154),(2 13846062),(3 21496210),(4 27495646),(5 30366210),(6 31984016),(7 32590494),(8 32323276),(9 32817882),(10 33108562),(11 33526302),(12 34094870),(13 34546900),(14 35956624),(15 36025468),(16 35387436),(17 34009748),(18 33637100),(19 35037610),(20 35697588),(21 36283964),(22 37208230),(23 38744430),(24 38582188),(25 38244344),(26 37144816),(27 36286892),(28 36744310),(29 39095300),(30 39852356),(31 38201096),(32 36946284),(33 35714732),(34 36028430),(35 37340096),(36 38371588),(37 38377204),(38 38648996),(39 38546224),(40 37697000),(41 35751756),(42 35366750),(43 36386020),(44 37905132),(45 38864296),(46 39273684),(47 39585164),(48 38860620),(49 38874940),(50 38936704),(51 38390500),(52 37937076),(53 38016024),(54 38422230),(55 38854076),(56 38856884),(57 38542690),(58 37742124),(59 35977908),(60 34031452),(61 32310024),(62 30860796),(63 30003072),(64 30298052),(65 30230196),(66 29503300),(67 29257296),(68 29481460),(69 30452188),(70 31225106),(71 31525760),(72 31895894),(73 31668932),(74 30701024),(75 30003796),(76 28186286),(77 27541622),(78 28561480),(79 29984256),
(1 4578049),(2 13402765),(3 20001958),(4 23959300),(5 25932608),(6 27535862),(7 27924808),(8 26693070),(9 26438840),(10 25386592),(11 26029182),(12 26328366),(13 28539026),(14 29487140),(15 29477160),(16 27561246),(17 26857778),(18 29284746),(19 29895690),(20 31748718),(21 33222514),(22 33461884),(23 32981874),(24 31444004),(25 30028600),(26 29783648),(27 30005928),(28 30833472),(29 32100800),(30 33538376),(31 35133384),(32 35107820),(33 34433452),(34 33822250),(35 34047780),(36 34479424),(37 35115796),(38 33477194),(39 32198678),(40 31747954),(41 32651448),(42 32788924),(43 32342844),(44 31360312),(45 30336882),(46 30045312),(47 29793294),(48 29674464),(49 29708924),(50 29540876),(51 28374876),(52 27624540),(53 28322382),(54 29722222),(55 30003368),(56 29295862),(57 27739302),(58 26449844),(59 25699666),(60 26050198),(61 26069800),(62 25622552),(63 24849094),(64 23949250),(65 23681068),(66 23675272),(67 22857654),(68 21536670),(69 22017352),(70 22028664),(71 23076754),(72 24512746),(73 26085304),(74 26935140),(75 26965042),(76 27692774),(77 28633168),(78 28687370),(79 28154684),
(1 4308574),(2 12163884),(3 18501598),(4 23872154),(5 25909072),(6 25975522),(7 25227038),(8 24146428),(9 23182144),(10 23144244),(11 25239278),(12 25951910),(13 24559146),(14 25188726),(15 25946658),(16 26639948),(17 26994848),(18 29567778),(19 29337616),(20 28282834),(21 27525688),(22 26304064),(23 23488662),(24 23190288),(25 26111658),(26 28048934),(27 27577528),(28 27133100),(29 25942250),(30 25892090),(31 25987664),(32 26896656),(33 26864982),(34 26156152),(35 25150230),(36 25480898),(37 26398896),(38 26466706),(39 26328080),(40 27111230),(41 28090398),(42 28095126),(43 25644330),(44 24607856),(45 25109086),(46 24377230),(47 22778128),(48 21992302),(49 21431792),(50 21281994),(51 21879088),(52 23478578),(53 25339760),(54 27291610),(55 26852162),(56 26444250),(57 26009902),(58 25678490),(59 25272704),(60 25557114),(61 25170300),(62 24207792),(63 23391180),(64 23906330),(65 24928308),(66 26134346),(67 26071176),(68 25030258),(69 23079024),(70 21539660),(71 21449718),(72 22425326),(73 23446778),(74 22902488),(75 22637546),(76 22749398),(77 21979250),(78 22543698),(79 22903466),
