q, (a, b, c)
1.5, (-2638220394333.391, 679804.4976663281, 2638217980607.971)
2.5, (-433855118.63124335, 33.52132615563508, 406062313.0891688)
3.5, (-691436771.6945915, 23.852639744137033, 560305080.2759577)
4.5, (-371150308.00585496, 21.71460809352873, 310661696.7573923)
5.5, (-192340054.5607874, 6.217403720658662, 129877407.54885803)
6.5, (-139802962.3279784, 13.430279875623775, 116804181.97146825)
7.5, (-135406792.35871854, 9.348527291814563, 112547568.99158174)
8.5, (-118123638.96748261, 4.469242709906748, 78071724.44175865)
9.5, (-75078310.10950054, 5.098426345937033, 52406672.46347304)
10.5, (-59742591.827264875, 4.6697149871256745, 42579826.30194641)
11.5, (-42470378.93969088, 6.020785456155607, 33992292.96594752)
12.5, (-39573254.93896194, 3.6717606736718236, 26323991.00547346)
13.5, (-24882927.795658544, 4.106174986848522, 18272954.219587848)
14.5, (-25011287.02231006, 3.5107598387398236, 17550891.32053126)
15.5, (-18809635.631343428, 4.931162129624441, 14951497.365002828)
16.5, (-16375383.807373654, 4.045639085487616, 12765123.827443516)
17.5, (-12673801.819374751, 4.1597857228845845, 9907978.093564726)
18.5, (-16106267.87177794, 2.312566381080757, 9988018.986514531)
19.5, (-11356368.105767302, 3.6631206992013823, 8586767.894552853)
20.5, (-9294676.785789588, 4.605599611770425, 7892953.076629313)
21.5, (-8168242.369297513, 3.3315121191852106, 6305392.696266011)
22.5, (-6767818.8990833685, 5.3614358113954435, 6484495.141762346)
23.5, (-3554084.5920817894, 20.146327461194097, 6153624.705148831)
24.5, (-6991325.122753728, 2.630076057398677, 4928922.361661082)
25.5, (-6061003.533869558, 2.5652455984626297, 4337278.729453815)
26.5, (-5193493.300576165, 2.1359876417613526, 3447642.0666271355)
27.5, (-5219328.092508567, 1.958207648293346, 3329196.096920935)
28.5, (-5406016.313044682, 1.8547795775956748, 3279956.114135645)
29.5, (-3322625.446088917, 2.844738333028333, 2649452.2439669697)
30.5, (-3388479.0662850006, 2.2913301374415407, 2455295.0195798357)
31.5, (-2912900.3897834253, 2.5132016173981, 2233436.534658012)
32.5, (-2432175.776119004, 3.2095169114509075, 2122584.9061033195)
33.5, (-2338420.6633967073, 2.1460983291763953, 1709225.9688084922)
34.5, (-2203555.9105027625, 2.1775757094466823, 1652495.380405587)
35.5, (-1921680.9724943952, 2.55987905357589, 1593382.9732055122)
36.5, (-1685967.5974368637, 2.3385189090969702, 1365378.214848184)
37.5, (-1997635.8803276392, 1.6547330497444148, 1328759.0434294161)
38.5, (-1712665.1370186605, 1.5234263274688946, 1107323.5806809824)
39.5, (-1267104.562295161, 2.4081828156802976, 1144963.541508541)
40.5, (-1671883.4249474825, 1.439109622114734, 1051235.5821227394)
41.5, (-1191737.2263093342, 1.8858397637234043, 922052.9548751654)
42.5, (-1119350.883729745, 1.939079312186781, 877451.6327180315)
43.5, (-867560.6982777505, 2.6584903796116657, 826905.2035045224)
44.5, (-1171916.5068553207, 1.5067498360048999, 778253.377908666)
45.5, (-1055793.5761974342, 1.579985760554722, 742113.7890148438)
46.5, (-1142668.050327103, 1.243883726715475, 681966.5785893338)
47.5, (-877972.0224961728, 1.5347337451910272, 628028.0946108535)
48.5, (-1060296.165739382, 1.1481961006977677, 613281.5259747561)
49.5, (-876295.8548741764, 1.3166737029525093, 573507.2171387916)
50.5, (-585128.1223486167, 2.0001142623002104, 527870.701709238)
51.5, (-611965.7936402868, 1.5582869777165775, 484597.1400919014)
52.5, (-750247.6356299901, 1.1921705103830935, 475052.54694443854)
53.5, (-460862.64376561716, 1.8822647794782486, 436009.84365396155)
54.5, (-655631.2711484889, 1.1356240734736522, 414035.5587676172)
55.5, (-672365.0654919607, 0.9732987676807657, 378172.20731561957)
56.5, (-498103.5114705003, 1.3480249241724314, 375087.5039856346)
57.5, (-542471.9799921153, 1.1775222723475998, 362240.8249369603)
58.5, (-437022.9822581996, 1.3643381277566489, 338068.0330826366)
59.5, (-340556.63519236055, 1.6392115631291917, 307553.074421828)
60.5, (-330075.2730065155, 1.569408037065249, 289986.06931410433)
61.5, (-430748.2904966154, 1.088791827297241, 279345.04782447964)
