1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 1186515.4),(2 3691993.3),(3 6654010),(4 10436055),(5 14463477),(6 18228424),(7 21687814),(8 24791824),(9 27240310),(10 29179302),(11 30349430),(12 30759442),(13 30357896),(14 29780214),(15 29013824),(16 28967614),(17 29878594),(18 31539830),(19 33798508),(20 36030204),(21 37884284),(22 39381156),(23 40747644),(24 40886020),(25 39847524),(26 38712812),(27 38291652),(28 37524764),(29 36984748),(30 36775890),(31 36625820),(32 36388496),(33 36179452),(34 35586508),(35 34726336),(36 33159098),(37 30933018),(38 28577114),(39 26247682),(40 24097200),(41 22311576),(42 21161436),(43 20782260),(44 21095052),(45 22176454),(46 23984448),(47 26552210),(48 29401912),(49 32405062),(50 35478900),(51 38203540),(52 41172380),(53 43392576),(54 44836324),(55 45616956),(56 45615556),(57 45108012),(58 44253124),(59 42560196),(60 40712084),(61 39781420),(62 40111212),(63 40763732),(64 42473490),(65 44748548),(66 46913410),(67 48735340),(68 50572340),(69 52499520),(70 53907730),(71 55381820),(72 56385092),(73 56529964),(74 56739870),(75 56843710),(76 56100916),(77 54915564),(78 53127044),(79 51212210),
(1 1504298.8),(2 4561159),(3 7989056),(4 12298270),(5 16874684),(6 21363370),(7 25458748),(8 28896256),(9 31504496),(10 33386998),(11 34259372),(12 34035092),(13 33147296),(14 32221260),(15 31325674),(16 30771284),(17 30663930),(18 31120448),(19 32184646),(20 33538996),(21 34637064),(22 35526336),(23 36321476),(24 36391536),(25 35687764),(26 34539830),(27 33740428),(28 32651590),(29 31759660),(30 31279028),(31 31184186),(32 31185280),(33 31469222),(34 31474860),(35 31393024),(36 31053676),(37 30330490),(38 29577340),(39 28658438),(40 27995546),(41 27401908),(42 26966388),(43 26796844),(44 27069376),(45 27810138),(46 28858180),(47 30267488),(48 31738886),(49 33405228),(50 35201404),(51 36780856),(52 38346744),(53 39393316),(54 40041300),(55 40728236),(56 41253210),(57 41159944),(58 41178290),(59 40598160),(60 39853256),(61 39530744),(62 40073936),(63 40684200),(64 41782150),(65 42677224),(66 43496936),(67 44163340),(68 44776292),(69 45512184),(70 46222548),(71 47211416),(72 48140504),(73 48622548),(74 49271230),(75 49550950),(76 49208212),(77 48251624),(78 46460588),(79 44237236),
(1 1578402.6),(2 4558917.5),(3 8014984.5),(4 12209423),(5 16406999),(6 20522172),(7 24259130),(8 27239934),(9 29430698),(10 30847480),(11 31247022),(12 30738176),(13 29671422),(14 28801536),(15 27836566),(16 26982974),(17 26679624),(18 26822458),(19 27482784),(20 28107910),(21 28629688),(22 29056208),(23 29458464),(24 29463178),(25 29027872),(26 28189286),(27 27410102),(28 26390266),(29 25466406),(30 25050982),(31 25097310),(32 25374274),(33 26124608),(34 26805294),(35 27405558),(36 27642638),(37 27285000),(38 26691848),(39 25867616),(40 25090586),(41 24186176),(42 23483606),(43 22926976),(44 22741158),(45 23014950),(46 23620704),(47 24697354),(48 26170106),(49 28062296),(50 30078960),(51 32104426),(52 33995450),(53 35563092),(54 36591904),(55 37138468),(56 37388964),(57 37154990),(58 36794012),(59 36154572),(60 35393380),(61 34824956),(62 34727388),(63 34642364),(64 34768212),(65 34814816),(66 34990950),(67 35233204),(68 35500692),(69 35540452),(70 35971084),(71 36845136),(72 37993064),(73 39088124),(74 40210260),(75 41151610),(76 41608420),(77 41348628),(78 40592196),(79 39499308),
(1 1438859.8),(2 4105928.5),(3 7069382),(4 10467970),(5 13626287),(6 16648444),(7 19182684),(8 20920192),(9 21985518),(10 22272118),(11 21886778),(12 21035342),(13 19902206),(14 19058670),(15 18396792),(16 18096154),(17 18242876),(18 18696628),(19 19493742),(20 20081846),(21 20599694),(22 21051888),(23 21420078),(24 21598610),(25 21593456),(26 21389408),(27 21110344),(28 20423200),(29 19786328),(30 19572942),(31 20256772),(32 21346482),(33 22720388),(34 24071100),(35 25259128),(36 26151912),(37 26395688),(38 26034692),(39 25243142),(40 24111052),(41 22485042),(42 20780528),(43 19217784),(44 17996358),(45 17253030),(46 17135040),(47 17663158),(48 18771472),(49 20385230),(50 21986546),(51 23505634),(52 24756832),(53 25663492),(54 26005096),(55 25784654),(56 25160984),(57 24256118),(58 23153480),(59 22117576),(60 21266272),(61 20936692),(62 21061528),(63 21313192),(64 21783048),(65 22202392),(66 22542954),(67 22629224),(68 22582664),(69 22349308),(70 22392526),(71 22923416),(72 24157484),(73 25831720),(74 27557852),(75 29408130),(76 31027094),(77 32233988),(78 33304676),(79 33888240),
(1 1376131.1),(2 3858343),(3 6453939),(4 9268655),(5 11738032),(6 13900538),(7 15672941),(8 16942086),(9 17700122),(10 17843692),(11 17372150),(12 16534415),(13 15393430),(14 14413725),(15 13544010),(16 13213303),(17 13296570),(18 13532308),(19 13924463),(20 14316751),(21 14908816),(22 15339831),(23 15678877),(24 16010326),(25 16383245),(26 16689450),(27 16536372),(28 16217827),(29 15788553),(30 15594145),(31 16318825),(32 17395236),(33 18579514),(34 19659800),(35 20470546),(36 21041386),(37 21132562),(38 20839506),(39 20427538),(40 19789868),(41 18927124),(42 18033480),(43 17222464),(44 16465770),(45 16079520),(46 16212721),(47 16784418),(48 17747596),(49 18783534),(50 19531598),(51 19954270),(52 20073352),(53 20069876),(54 19865788),(55 19589646),(56 19212970),(57 18640378),(58 17992502),(59 17309778),(60 16757455),(61 16773760),(62 17353506),(63 18134528),(64 19342672),(65 20559980),(66 21460162),(67 21963248),(68 22072434),(69 22109498),(70 22060198),(71 22387032),(72 23197378),(73 24299724),(74 25473874),(75 26420446),(76 27127116),(77 27603138),(78 27978130),(79 28087902),
(1 1470722.6),(2 4008224),(3 6532797.5),(4 8884790),(5 10424378),(6 11311758),(7 11836704),(8 12353886),(9 12705780),(10 12907562),(11 12950915),(12 12809037),(13 12366493),(14 11846853),(15 11404186),(16 11280989),(17 11451521),(18 11715488),(19 11891319),(20 12009391),(21 12196977),(22 12412141),(23 12671350),(24 13049410),(25 13324698),(26 13323753),(27 12845687),(28 12070150),(29 11290148),(30 10843141),(31 11219057),(32 11978927),(33 12893829),(34 13649218),(35 14203075),(36 14577454),(37 14458834),(38 13990475),(39 13549299),(40 13252983),(41 13055853),(42 12757187),(43 12372306),(44 12096160),(45 12149530),(46 12659441),(47 13456784),(48 14458682),(49 15278874),(50 15806965),(51 15943336),(52 15919640),(53 15784518),(54 15712790),(55 15885485),(56 16127267),(57 16270467),(58 16153600),(59 15695730),(60 15088512),(61 14773338),(62 14916899),(63 15392654),(64 16328914),(65 17469836),(66 18459398),(67 19228076),(68 19737748),(69 20034796),(70 20208992),(71 20475980),(72 20848148),(73 21375020),(74 21875976),(75 22253984),(76 22313322),(77 22178900),(78 21970786),(79 21814822),
(1 1671877.3),(2 4419269),(3 7009671.5),(4 9317130),(5 10668924),(6 11061824),(7 10947658),(8 10882673),(9 10780108),(10 10945262),(11 11276348),(12 11560641),(13 11468065),(14 11259801),(15 11214850),(16 11373522),(17 11931281),(18 12494711),(19 12535630),(20 12386517),(21 12400353),(22 12561404),(23 12975435),(24 13560209),(25 14025297),(26 14092604),(27 13695100),(28 12959995),(29 12311418),(30 11992140),(31 12454751),(32 13326964),(33 14329338),(34 15149598),(35 15638305),(36 15877440),(37 15620802),(38 14990663),(39 14574823),(40 14393350),(41 14593307),(42 15033479),(43 15234908),(44 15088207),(45 15088057),(46 15275249),(47 15527931),(48 15917835),(49 16426666),(50 16686363),(51 16671919),(52 16521806),(53 16370002),(54 16318171),(55 16620562),(56 17076490),(57 17497230),(58 17469156),(59 17050892),(60 16345796),(61 15705830),(62 15493134),(63 15667988),(64 16358132),(65 17305878),(66 18146272),(67 18639380),(68 18715322),(69 18373818),(70 17950928),(71 17673702),(72 17755806),(73 17977594),(74 18187192),(75 18284278),(76 18269496),(77 18333352),(78 18429042),(79 18670478),
(1 1581676.5),(2 4120011.8),(3 6556398),(4 8756186),(5 10184630),(6 10698663),(7 10724458),(8 10633719),(9 10502747),(10 10527594),(11 10508736),(12 10382224),(13 9977478),(14 9523431),(15 9302431),(16 9312054),(17 9735157),(18 10464415),(19 10864252),(20 11080222),(21 11302426),(22 11646669),(23 12090503),(24 12871169),(25 13574090),(26 13702458),(27 13371950),(28 12574489),(29 11774128),(30 11199084),(31 11192128),(32 11545230),(33 12132913),(34 12778221),(35 13234534),(36 13552627),(37 13601035),(38 13398263),(39 13282588),(40 13128879),(41 13111360),(42 13297485),(43 13235097),(44 12967150),(45 12864194),(46 12893683),(47 13013693),(48 13288195),(49 13883744),(50 14451332),(51 14629668),(52 14465050),(53 14212959),(54 14162763),(55 14442556),(56 14831938),(57 15102628),(58 14970861),(59 14453599),(60 13589466),(61 12581758),(62 11988226),(63 11922793),(64 12351067),(65 13164726),(66 13785462),(67 13800058),(68 13494706),(69 13031243),(70 12691290),(71 12719510),(72 13098129),(73 13623780),(74 14030570),(75 14368398),(76 14587505),(77 14693001),(78 14863527),(79 14991997),
(1 1497189.4),(2 3719075.8),(3 5754986.5),(4 7438486.5),(5 8503140),(6 9034801),(7 9396732),(8 9586120),(9 9733886),(10 9867864),(11 9951257),(12 9980028),(13 9757128),(14 9328529),(15 8853451),(16 8474005),(17 8313878.5),(18 8425087),(19 8503096),(20 8643338),(21 8921813),(22 9350421),(23 9762503),(24 10271384),(25 10720774),(26 10826876),(27 10576464),(28 10138753),(29 9512553),(30 8928428),(31 8739538),(32 8912002),(33 9262216),(34 9664663),(35 10014844),(36 10236909),(37 10397911),(38 10414256),(39 10523512),(40 10623799),(41 10804235),(42 10780365),(43 10524041),(44 10132376),(45 9989635),(46 10088751),(47 10343646),(48 10836038),(49 11504237),(50 12041244),(51 12244095),(52 12264481),(53 12270093),(54 12365624),(55 12654620),(56 13124477),(57 13616070),(58 13864732),(59 13684081),(60 13147488),(61 12381624),(62 11698315),(63 11493295),(64 11572314),(65 11957305),(66 12368597),(67 12500356),(68 12344591),(69 12045105),(70 11855130),(71 11827064),(72 12019885),(73 12359559),(74 12652162),(75 12888168),(76 13141825),(77 13434863),(78 13739944),(79 14023861),
(1 1445453.8),(2 3474575),(3 5146176),(4 6474889),(5 7203135),(6 7573358),(7 7950563.5),(8 8288420.5),(9 8565060),(10 8732551),(11 8796907),(12 8793561),(13 8557393),(14 8188306),(15 7784249),(16 7511970),(17 7292096),(18 7304152),(19 7362380.5),(20 7559315.5),(21 7868902),(22 8410364),(23 8958748),(24 9421560),(25 9702478),(26 9747207),(27 9604300),(28 9334299),(29 9050903),(30 8790839),(31 8588376),(32 8660280),(33 8897036),(34 9251260),(35 9537712),(36 9825915),(37 9950638),(38 9822448),(39 9741256),(40 9774496),(41 9835299),(42 9815823),(43 9605411),(44 9310539),(45 9256002),(46 9336094),(47 9557896),(48 9900265),(49 10231161),(50 10302332),(51 10153454),(52 9892046),(53 9752857),(54 9796128),(55 9961265),(56 10187050),(57 10468283),(58 10598887),(59 10402027),(60 9965522),(61 9471022),(62 9027853),(63 8916530),(64 8971157),(65 9267051),(66 9637054),(67 9882740),(68 9920017),(69 9904514),(70 9875890),(71 9854809),(72 9926222),(73 10116398),(74 10367559),(75 10512385),(76 10653940),(77 10745648),(78 10711212),(79 10772031),
(1 1413905.8),(2 3284350),(3 4790903.5),(4 5955165),(5 6568543),(6 6846280.5),(7 6958168.5),(8 7021858),(9 7170840.5),(10 7320110),(11 7408439),(12 7467156),(13 7382916),(14 7241078.5),(15 7136221),(16 7230817),(17 7211638.5),(18 7240052),(19 7247609.5),(20 7336454),(21 7513864.5),(22 7853430.5),(23 8314663.5),(24 8794844),(25 9041460),(26 9042426),(27 8916894),(28 8681576),(29 8478584),(30 8448495),(31 8545732),(32 8700726),(33 8854176),(34 9225435),(35 9516473),(36 9729284),(37 9785493),(38 9509449),(39 9304357),(40 9202844),(41 9139752),(42 9211327),(43 9324576),(44 9311354),(45 9340591),(46 9362624),(47 9406376),(48 9475985),(49 9639194),(50 9668307),(51 9523809),(52 9300936),(53 9165990),(54 9273758),(55 9520307),(56 9738014),(57 9851379),(58 9851042),(59 9739424),(60 9422975),(61 9005170),(62 8818425),(63 8905879),(64 9220271),(65 9606829),(66 10015567),(67 10254557),(68 10296937),(69 10271248),(70 10135115),(71 9936960),(72 9761176),(73 9897939),(74 10093734),(75 10192476),(76 10172701),(77 10075836),(78 9920608),(79 9744526),
