1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 316411.1),(2 1643370.1),(3 3358233),(4 5724109.5),(5 10523251),(6 16605748),(7 24356280),(8 31013990),(9 39152696),(10 45296372),(11 44323216),(12 42408660),(13 41904704),(14 42571372),(15 42669628),(16 40824450),(17 38710620),(18 35087820),(19 30746242),(20 26218262),(21 25605126),(22 26580458),(23 27434442),(24 29431306),(25 32018728),(26 35378144),(27 37197080),(28 41336976),(29 45186508),(30 47694560),(31 50619388),(32 51802004),(33 53760788),(34 56775136),(35 55722196),(36 55283296),(37 55512156),(38 52819092),(39 51522564),(40 47844700),(41 43163324),(42 38318172),(43 33930156),(44 30143264),(45 28639606),(46 27226934),(47 28384898),(48 31341590),(49 32909432),(50 33322954),(51 34057428),(52 35522572),(53 35811296),(54 35664670),(55 35633620),
(1 399798.25),(2 1478023.4),(3 2741264.5),(4 3714240.5),(5 5351815.5),(6 7395461.5),(7 10807648),(8 14356963),(9 18137324),(10 20801882),(11 21649756),(12 21542388),(13 20935382),(14 21825152),(15 22343900),(16 22378902),(17 22583878),(18 22994900),(19 22322148),(20 21236790),(21 20989024),(22 22770420),(23 24950582),(24 28120602),(25 30911098),(26 33622770),(27 36343824),(28 38101068),(29 40428310),(30 40943212),(31 42868264),(32 44011360),(33 45468110),(34 46729990),(35 46729396),(36 46912950),(37 47149576),(38 46968070),(39 47718324),(40 49299264),(41 50343210),(42 51721250),(43 54395212),(44 56656908),(45 60886984),(46 63626636),(47 67114480),(48 69913670),(49 72710880),(50 74405256),(51 75831830),(52 79036056),(53 80196170),(54 80836184),(55 80830100),
(1 193641.31),(2 630612.3),(3 1364343.6),(4 2270466),(5 4027738),(6 5695784.5),(7 8598444),(8 11055411),(9 13811444),(10 16856034),(11 18925726),(12 20838526),(13 22355176),(14 24138150),(15 26111258),(16 28306086),(17 28295438),(18 26795008),(19 25474678),(20 24585078),(21 22976112),(22 21858794),(23 21090910),(24 19858434),(25 19540938),(26 20275842),(27 21721842),(28 22246852),(29 22348982),(30 22257002),(31 23237114),(32 23929264),(33 24477126),(34 25544250),(35 26274954),(36 27636218),(37 29065438),(38 30392470),(39 32120966),(40 35047256),(41 37276210),(42 38108612),(43 39594576),(44 40783164),(45 41209760),(46 40582844),(47 40891940),(48 42323788),(49 44102460),(50 45461004),(51 46963136),(52 48624020),(53 50042336),(54 50588356),(55 50593964),
(1 153927.55),(2 593147.4),(3 1795828.1),(4 3246402.8),(5 5611375),(6 7629915.5),(7 10680919),(8 13626724),(9 16849628),(10 19561264),(11 21223360),(12 21951548),(13 22568384),(14 22974328),(15 23321838),(16 24486770),(17 24513480),(18 23936118),(19 22876982),(20 21925582),(21 20497270),(22 18132690),(23 16517540),(24 15478384),(25 15440260),(26 15555511),(27 16405401),(28 17691474),(29 18418300),(30 18793030),(31 19154780),(32 20230990),(33 21544306),(34 24012386),(35 27153760),(36 29073220),(37 30251176),(38 30399914),(39 31217142),(40 31524018),(41 32369480),(42 32272306),(43 31376946),(44 30578332),(45 30358856),(46 30232632),(47 30790984),(48 32247880),(49 33578332),(50 34821510),(51 35493532),(52 36379612),(53 38555790),(54 40101816),(55 40096870),
(1 260798.66),(2 971710.94),(3 2429169),(4 4331502),(5 7153891.5),(6 10247609),(7 14555734),(8 19127756),(9 23150394),(10 25646776),(11 26933202),(12 28814682),(13 29843224),(14 30314914),(15 30644858),(16 30887072),(17 31617568),(18 31548902),(19 29879762),(20 28106424),(21 26894210),(22 25477466),(23 23583102),(24 22621704),(25 22182408),(26 21979934),(27 22408040),(28 23401722),(29 24385018),(30 25052032),(31 25957248),(32 27587608),(33 29248280),(34 31664702),(35 35112060),(36 37099630),(37 39941956),(38 41637180),(39 44597040),(40 46562788),(41 48965530),(42 50749148),(43 52548092),(44 53231996),(45 54358940),(46 55583628),(47 56613572),(48 57646416),(49 58609920),(50 57900380),(51 58071680),(52 57957550),(53 58080810),(54 58117160),(55 58122800),
(1 285689.75),(2 952155),(3 2459377.8),(4 4442353),(5 7010731),(6 9397082),(7 13374848),(8 17177854),(9 19782952),(10 20924550),(11 21652820),(12 22262464),(13 22277786),(14 22534210),(15 22312268),(16 22351456),(17 22465548),(18 22940332),(19 21802768),(20 20557158),(21 20344684),(22 20375380),(23 20680406),(24 21621744),(25 22426858),(26 22831242),(27 23437140),(28 24248122),(29 25108038),(30 26735370),(31 28055532),(32 29506608),(33 30580180),(34 31776652),(35 32820026),(36 32710512),(37 31804432),(38 31520970),(39 32674720),(40 32451862),(41 32480448),(42 32496940),(43 31984212),(44 30752694),(45 30109924),(46 29998348),(47 29671322),(48 29149116),(49 28224934),(50 26469260),(51 25289484),(52 24475444),(53 24038724),(54 23365552),(55 23371804),
(1 199087.81),(2 605072.75),(3 1486321.9),(4 2547282.5),(5 3805233.8),(6 4950545.5),(7 6837306),(8 7676187.5),(9 8301830),(10 9048932),(11 9955424),(12 10305435),(13 9965498),(14 9433371),(15 8838414),(16 8310340.5),(17 8234120.5),(18 8664817),(19 9095524),(20 9715902),(21 10164825),(22 10558379),(23 11250593),(24 11684091),(25 12189282),(26 12518844),(27 13246438),(28 13644037),(29 13334940),(30 13051406),(31 13296918),(32 13151170),(33 13285877),(34 13994490),(35 14562010),(36 15056615),(37 15512260),(38 15400748),(39 15510182),(40 15500473),(41 15730538),(42 15148906),(43 14722772),(44 14606565),(45 14522258),(46 14135025),(47 13184655),(48 12977646),(49 13151529),(50 14141691),(51 15177604),(52 16046850),(53 16768359),(54 17065996),(55 17060948),
(1 220109.3),(2 822717.94),(3 1617887.3),(4 2649197.3),(5 3855339.8),(6 4586419.5),(7 4893664),(8 5268717),(9 5680721),(10 6209096.5),(11 6490768),(12 7113643.5),(13 7361044.5),(14 8141002),(15 9071259),(16 10085961),(17 11077267),(18 11423095),(19 11716755),(20 11805422),(21 12552704),(22 12889405),(23 13086010),(24 13515968),(25 13919157),(26 14894163),(27 15668329),(28 15884557),(29 15949318),(30 15467297),(31 14922810),(32 14148832),(33 13695669),(34 13058769),(35 12878212),(36 12554083),(37 12622702),(38 12665167),(39 12150678),(40 11329302),(41 10751479),(42 10908770),(43 11669915),(44 12327826),(45 12948371),(46 13768011),(47 14655410),(48 15470829),(49 16460922),(50 16643718),(51 16797898),(52 16924532),(53 17213468),(54 17337794),(55 17334982),
(1 189753.94),(2 753252.94),(3 1484800.5),(4 2153763),(5 3037251),(6 3767436.3),(7 4229327),(8 5050512),(9 6044839.5),(10 6746950.5),(11 7112359.5),(12 7465750),(13 7640278.5),(14 7874070.5),(15 7794803.5),(16 7773181),(17 7953861.5),(18 8256345.5),(19 8473040),(20 8841144),(21 8581496),(22 8548893),(23 8692882),(24 8389105),(25 8216701),(26 7966249.5),(27 8096917.5),(28 7999902),(29 7800337.5),(30 7685674),(31 7648683.5),(32 7814519.5),(33 7877654.5),(34 7734844),(35 7474417.5),(36 7040417.5),(37 7261792.5),(38 7446025.5),(39 7913832.5),(40 7927698),(41 8236700),(42 8356477),(43 8337639.5),(44 8765530),(45 9394237),(46 9543151),(47 9728510),(48 10202714),(49 10586656),(50 10896875),(51 11261431),(52 11481955),(53 11581065),(54 11535325),(55 11529849),
(1 240669.22),(2 638750.6),(3 1251117.9),(4 1796746.6),(5 2498057),(6 3093896.8),(7 3747146.8),(8 4581567),(9 5447610),(10 5868544.5),(11 6448123),(12 7365234),(13 7774820.5),(14 8060762),(15 8322970.5),(16 8381527),(17 8639212),(18 9016884),(19 8804065),(20 8490768),(21 8034794.5),(22 7474220.5),(23 6984018),(24 6484922),(25 6163701.5),(26 6061880),(27 6135676),(28 6609737.5),(29 7186679),(30 7897210.5),(31 8321312),(32 8181685.5),(33 8233882.5),(34 7893210.5),(35 7795816),(36 7806245.5),(37 7951699.5),(38 8055050),(39 8253140.5),(40 8103593),(41 8162616),(42 8307087),(43 8583799),(44 8944724),(45 8848684),(46 8438416),(47 8541320),(48 8879260),(49 9080545),(50 9152465),(51 9152806),(52 9550766),(53 10024965),(54 10121220),(55 10118721),
(1 209599.55),(2 605020.25),(3 1114386.6),(4 1774165),(5 2442823.5),(6 3019648.3),(7 3562962),(8 4090864.5),(9 4463184.5),(10 4855859),(11 5167366.5),(12 6015327),(13 6479646.5),(14 6783357.5),(15 6785512),(16 6870894.5),(17 6799432.5),(18 6737482),(19 6610495),(20 6780376),(21 6889210),(22 7146276),(23 7560771.5),(24 7621455),(25 7356965.5),(26 7117441.5),(27 6877480),(28 6505950),(29 6388261),(30 6420293.5),(31 6786687),(32 6952994),(33 6689809.5),(34 6586999.5),(35 6005715.5),(36 5982143.5),(37 5932843.5),(38 5831831.5),(39 5535254),(40 5352252.5),(41 5461657.5),(42 5453451.5),(43 5206332),(44 5114751),(45 5044028.5),(46 5185998),(47 5833272.5),(48 6318319),(49 6889477.5),(50 7475392),(51 7598226.5),(52 8074322),(53 8456177),(54 8692890),(55 8694197),
