1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 844187.06),(2 2789103),(3 5335445.5),(4 8162446.5),(5 11032741),(6 13726971),(7 16209271),(8 18419558),(9 20589216),(10 22604354),(11 24385544),(12 26010474),(13 27420642),(14 28487856),(15 29310878),(16 29960582),(17 30441208),(18 30841742),(19 31285202),(20 31826662),(21 32764422),(22 34287744),(23 35689748),(24 37381292),(25 39303280),(26 41401744),(27 43333710),(28 45282304),(29 46958436),(30 48630256),(31 50301452),(32 51618364),(33 52297772),(34 52325796),(35 51764084),(36 50779612),(37 49386976),(38 47811820),(39 46121396),(40 44302452),(41 42444724),(42 40666140),(43 39187268),(44 37775940),(45 36563692),(46 35557572),(47 34690388),(48 33947372),(49 33250266),(50 32601718),(51 31854536),(52 31120054),(53 30507208),(54 30146346),(55 29836678),(56 29582162),(57 29346176),(58 29346360),(59 29426538),(60 29609408),(61 30074398),(62 30778090),(63 31713750),(64 32805840),(65 34021240),(66 35154010),(67 36031308),(68 36801136),(69 37440068),(70 38041148),(71 38684990),(72 39498348),(73 40704620),(74 42236340),(75 43975636),(76 45991476),(77 48208516),(78 50502452),(79 52364916),
(1 1225671.8),(2 4204837),(3 8144405),(4 12430213),(5 16567765),(6 20178156),(7 23235596),(8 25855048),(9 28267792),(10 30532268),(11 32637820),(12 34496904),(13 36150456),(14 37482356),(15 38483820),(16 39142790),(17 39530520),(18 39733708),(19 39841084),(20 39886716),(21 40184350),(22 40818550),(23 41455756),(24 42287530),(25 43288508),(26 44492572),(27 45715080),(28 46966824),(29 48100730),(30 49353530),(31 50757480),(32 51807790),(33 52288656),(34 52250696),(35 51891580),(36 51275348),(37 50346240),(38 49229560),(39 48055010),(40 46759720),(41 45445330),(42 44157480),(43 42992230),(44 41980856),(45 41002484),(46 39988504),(47 38981416),(48 38061720),(49 37309260),(50 36833164),(51 36559230),(52 36380520),(53 36327964),(54 36288616),(55 36239670),(56 36224870),(57 36303244),(58 36535744),(59 36833320),(60 37222950),(61 37756108),(62 38395430),(63 39204740),(64 40214116),(65 41542216),(66 43094668),(67 44533030),(68 45868180),(69 47094110),(70 48141096),(71 48996856),(72 49709932),(73 50390840),(74 51094056),(75 51827976),(76 52657450),(77 53411324),(78 53914050),(79 54147852),
(1 1845872),(2 6381208),(3 12183467),(4 18081370),(5 23332998),(6 27577952),(7 30841702),(8 33215680),(9 34962564),(10 36292908),(11 37463244),(12 38470544),(13 39296756),(14 39837948),(15 39983616),(16 39510780),(17 38578748),(18 37386868),(19 36368304),(20 35783980),(21 35721716),(22 36188270),(23 36884668),(24 37737996),(25 38491376),(26 39169012),(27 39778020),(28 40367784),(29 40924560),(30 41518340),(31 42241960),(32 42734668),(33 42772330),(34 42611804),(35 42435420),(36 42197276),(37 41832932),(38 41335908),(39 40780380),(40 40329580),(41 40091860),(42 40044424),(43 40025776),(44 39985900),(45 39660690),(46 38961372),(47 37956068),(48 36880704),(49 35920190),(50 35185080),(51 34667492),(52 34374252),(53 34403024),(54 34671960),(55 35105476),(56 35599780),(57 36106532),(58 36566308),(59 36978620),(60 37314708),(61 37640524),(62 37909684),(63 38265880),(64 38813644),(65 39631668),(66 40636764),(67 41749172),(68 43018710),(69 44363972),(70 45740148),(71 47050830),(72 48183660),(73 49135956),(74 49848876),(75 50388916),(76 50840804),(77 51163444),(78 51296820),(79 51191612),
(1 2725978.5),(2 9317299),(3 17262530),(4 24646168),(5 30531882),(6 34734644),(7 37432270),(8 38830756),(9 39357220),(10 39462010),(11 39742116),(12 40380332),(13 41107540),(14 41324350),(15 40729110),(16 39122612),(17 36880420),(18 34567084),(19 32735854),(20 31772590),(21 31687154),(22 32275296),(23 33302038),(24 34458410),(25 35355510),(26 35889024),(27 36034150),(28 35947576),(29 35938290),(30 36107444),(31 36361180),(32 36457070),(33 36136316),(34 35733028),(35 35490388),(36 35362196),(37 35133056),(38 34702336),(39 34150400),(40 33821256),(41 34047744),(42 34812316),(43 35748850),(44 36424540),(45 36532984),(46 36101708),(47 35350028),(48 34538110),(49 33933036),(50 33569470),(51 33387036),(52 33347432),(53 33476292),(54 33723356),(55 34004680),(56 34194624),(57 34294030),(58 34347428),(59 34539790),(60 34968590),(61 35673210),(62 36420188),(63 37147270),(64 37891464),(65 38581584),(66 39168040),(67 39670264),(68 40105076),(69 40471336),(70 40764004),(71 41074430),(72 41401480),(73 41737524),(74 42032080),(75 42335376),(76 42667280),(77 43087892),(78 43733240),(79 44610732),
(1 3263986.3),(2 11007225),(3 19941376),(4 27688286),(5 33240058),(6 36576420),(7 38034828),(8 38011736),(9 37160976),(10 36197092),(11 35843950),(12 36302020),(13 37071716),(14 37305960),(15 36686732),(16 35162704),(17 33073694),(18 31027098),(19 29550732),(20 28974792),(21 29275974),(22 30145818),(23 31324742),(24 32457356),(25 33338402),(26 33760732),(27 33462744),(28 32659992),(29 31896576),(30 31637592),(31 31789580),(32 32034786),(33 32040364),(34 31948748),(35 31955700),(36 32024878),(37 31944416),(38 31549044),(39 30914216),(40 30483426),(41 30606388),(42 31240546),(43 32014786),(44 32487614),(45 32436282),(46 31886050),(47 31085504),(48 30280140),(49 29760936),(50 29626566),(51 29681054),(52 29907494),(53 30248774),(54 30574118),(55 30812780),(56 30917080),(57 30888536),(58 30783262),(59 30721176),(60 30827846),(61 31127906),(62 31538668),(63 32024542),(64 32529350),(65 32859784),(66 32978188),(67 33193740),(68 33658190),(69 34293040),(70 34785660),(71 34921110),(72 34669710),(73 34177668),(74 33579776),(75 33029298),(76 32688008),(77 32767010),(78 33473378),(79 34903740),
(1 3523139.3),(2 11598019),(3 20384044),(4 27574986),(5 32675590),(6 35761370),(7 36974376),(8 36523830),(9 34970040),(10 33138476),(11 31847904),(12 31372020),(13 31353322),(14 31282348),(15 30861318),(16 29976364),(17 28620564),(18 27111636),(19 25906278),(20 25562094),(21 26158448),(22 27144134),(23 28052166),(24 28882730),(25 29714292),(26 30526688),(27 31022256),(28 31084506),(29 31052490),(30 31298682),(31 31821348),(32 32315856),(33 32470572),(34 32346540),(35 32157164),(36 31902752),(37 31557008),(38 30979616),(39 30148512),(40 29549580),(41 29483072),(42 29755808),(43 30133258),(44 30449612),(45 30613382),(46 30623524),(47 30575028),(48 30600192),(49 30819542),(50 31220916),(51 31643818),(52 32065414),(53 32366944),(54 32517878),(55 32657596),(56 32839290),(57 32854676),(58 32623882),(59 32333072),(60 32085020),(61 31904186),(62 31646804),(63 31246214),(64 30689964),(65 29963738),(66 29209318),(67 29046356),(68 29866160),(69 31221376),(70 32314516),(71 32590112),(72 32100474),(73 31105082),(74 29849916),(75 28611828),(76 27729894),(77 27491738),(78 28249190),(79 30207622),
(1 3546090.8),(2 11036334),(3 17972362),(4 22554014),(5 25419524),(6 27416862),(7 28512708),(8 28391746),(9 27148834),(10 25679926),(11 24844586),(12 24902528),(13 25441504),(14 25936244),(15 26077154),(16 25860216),(17 25164184),(18 24129280),(19 23044228),(20 22281852),(21 22011298),(22 21988618),(23 21915444),(24 22011064),(25 22609860),(26 23602934),(27 24583624),(28 25217132),(29 25488478),(30 25661966),(31 25917194),(32 26079122),(33 25963960),(34 25636008),(35 25463010),(36 25743530),(37 26323652),(38 26675000),(39 26332714),(40 25682698),(41 25393156),(42 25425816),(43 25493844),(44 25479940),(45 25550048),(46 25887428),(47 26436620),(48 27049558),(49 27601148),(50 27975876),(51 28050932),(52 27822400),(53 27453540),(54 27179156),(55 27113858),(56 27083980),(57 26906602),(58 26611496),(59 26303172),(60 26183146),(61 26365228),(62 26705748),(63 26939304),(64 26783022),(65 26087242),(66 25142168),(67 24849508),(68 25622218),(69 26794040),(70 27238252),(71 26668796),(72 25686468),(73 24854860),(74 24073890),(75 23183150),(76 22250872),(77 21706090),(78 22029272),(79 23662110),
(1 3265920),(2 9746705),(3 15270407),(4 18655614),(5 20444566),(6 21200020),(7 21252292),(8 20769462),(9 19949218),(10 19154868),(11 18749580),(12 18846378),(13 19081300),(14 19289156),(15 19546560),(16 19861878),(17 19927160),(18 19583244),(19 18981100),(20 18521720),(21 18308588),(22 18173152),(23 17914046),(24 17643314),(25 17751720),(26 18308014),(27 19052052),(28 19594356),(29 19723158),(30 19506062),(31 19357866),(32 19289736),(33 19257238),(34 19351220),(35 19678236),(36 20248852),(37 20990986),(38 21512726),(39 21421634),(40 21060190),(41 21046668),(42 21147552),(43 20990396),(44 20606676),(45 20317316),(46 20212982),(47 20190282),(48 20448082),(49 20947526),(50 21493164),(51 21877526),(52 21961382),(53 21824700),(54 21802034),(55 22137362),(56 22530930),(57 22482130),(58 22111474),(59 21803508),(60 21764694),(61 22067908),(62 22320326),(63 22283326),(64 22050822),(65 21827468),(66 21839356),(67 22486228),(68 23645964),(69 24637118),(70 24704598),(71 23751658),(72 22409496),(73 21281506),(74 20545292),(75 20021668),(76 19546102),(77 19252652),(78 19380442),(79 20208716),
(1 3124445.5),(2 9127680),(3 14277749),(4 17395468),(5 18697692),(6 18660414),(7 17991854),(8 17398870),(9 16986568),(10 16715823),(11 16616966),(12 16826502),(13 17062264),(14 17097434),(15 17215644),(16 17359518),(17 17328058),(18 17112820),(19 16751827),(20 16690091),(21 17006032),(22 17306108),(23 17248544),(24 16922760),(25 16706601),(26 16742545),(27 16996304),(28 17177918),(29 17117390),(30 16723785),(31 16152220),(32 15753053),(33 15745362),(34 15979983),(35 16110492),(36 16202920),(37 16781580),(38 17734652),(39 18317744),(40 18499568),(41 18543444),(42 18360260),(43 17950518),(44 17601996),(45 17510972),(46 17662908),(47 17901232),(48 18192442),(49 18390326),(50 18403184),(51 18277266),(52 18115188),(53 17946474),(54 17938614),(55 18242256),(56 18607880),(57 18679912),(58 18660966),(59 18859438),(60 19225776),(61 19625180),(62 19780648),(63 19655862),(64 19346914),(65 18949090),(66 18646886),(67 18866358),(68 19753878),(69 20905232),(70 21638776),(71 21485204),(72 20667052),(73 19831962),(74 19212764),(75 18695260),(76 18184592),(77 17688820),(78 17320648),(79 17307046),
(1 3148764),(2 8912647),(3 13733124),(4 16750091),(5 18040228),(6 17905052),(7 16964416),(8 16089959),(9 15652919),(10 15614539),(11 15691422),(12 15784315),(13 15755993),(14 15576060),(15 15443378),(16 15368267),(17 15287365),(18 15205586),(19 14965458),(20 14937884),(21 15251477),(22 15509742),(23 15373868),(24 15018364),(25 14929184),(26 15096811),(27 15389017),(28 15793337),(29 16263988),(30 16523260),(31 16174018),(32 15375292),(33 14778796),(34 14664381),(35 14895237),(36 15204668),(37 15820309),(38 16662508),(39 17077304),(40 17028106),(41 16807884),(42 16467804),(43 16060992),(44 15874046),(45 16003346),(46 16252711),(47 16485707),(48 16749131),(49 16877488),(50 16711771),(51 16383842),(52 16167314),(53 16019303),(54 16056866),(55 16354464),(56 16581570),(57 16463118),(58 16324732),(59 16520023),(60 16946328),(61 17302556),(62 17442300),(63 17524046),(64 17612148),(65 17505742),(66 17110292),(67 16963150),(68 17471198),(69 18235146),(70 18739504),(71 18777444),(72 18468608),(73 18030200),(74 17522550),(75 17044584),(76 16692608),(77 16426581),(78 16145476),(79 15840804),
(1 3353016),(2 9094479),(3 13484324),(4 16030338),(5 16753809),(6 16157852),(7 14951112),(8 13911540),(9 13595758),(10 13930603),(11 14262928),(12 14271635),(13 14032605),(14 13633062),(15 13379219),(16 13407652),(17 13709835),(18 14085161),(19 13961627),(20 13833328),(21 14071727),(22 14098143),(23 13558315),(24 12962618),(25 12965099),(26 13373012),(27 13696890),(28 14045193),(29 14567488),(30 15063375),(31 14893967),(32 14150360),(33 13371233),(34 12869587),(35 12939714),(36 13490543),(37 14319383),(38 15160803),(39 15479048),(40 15395229),(41 15141988),(42 14678965),(43 14230308),(44 14087223),(45 14103874),(46 13994560),(47 13804883),(48 13942581),(49 14462005),(50 14744536),(51 14490013),(52 14216070),(53 14231116),(54 14476118),(55 14854460),(56 15102899),(57 15021847),(58 14740745),(59 14314711),(60 13933141),(61 13771526),(62 13872256),(63 14371405),(64 15157207),(65 15698168),(66 15625198),(67 15330970),(68 15301991),(69 15376160),(70 15400051),(71 15490680),(72 15590552),(73 15514319),(74 15059205),(75 14408374),(76 13901875),(77 13764809),(78 13928605),(79 14016381),
