1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 1781.3717),(2 6469.979),(3 14291.665),(4 22687.867),(5 36052.027),(6 54692.527),(7 81074.42),(8 113658.31),(9 155979.66),(10 210576.17),(11 317795.66),(12 514307.5),(13 990929),(14 1784386.4),(15 3090161.3),(16 5088040.5),(17 8569477),(18 13225075),(19 18873368),(20 24741262),(21 31474496),(22 39689252),(23 49206080),(24 60519840),(25 71180870),(26 86365540),(27 100746300),(28 123838230),(29 153431650),(30 198944430),(31 257415890),(32 341142820),(33 454972670),(34 595451200),(35 743094500),(36 908123460),(37 1107271600),(38 1350395300),(39 1565279400),(40 1820911200),(41 2120824200),(42 2420022500),(43 2741758700),(44 2910555400),(45 3131723500),(46 3386580200),(47 3586995000),(48 3544717300),(49 3558694700),(50 3739826000),(51 3916256500),(52 3830764800),(53 3779201800),(54 3789086500),(55 3711985400),(56 3560582400),(57 3458592800),(58 3386227700),(59 3231998000),(60 2999165000),(61 2794754300),(62 2683711700),(63 2704933600),(64 2832224300),(65 3053596700),(66 3394991000),(67 3805266700),(68 4069658600),(69 3973424000),(70 3858304800),(71 3789004000),(72 3544251400),(73 3294595800),(74 3239741200),(75 3276938500),(76 3311458600),(77 3308824300),(78 3176915000),(79 3114660600),
(1 1074.8546),(2 4621.1743),(3 10955.154),(4 18163.088),(5 30049.63),(6 47437.43),(7 69910.48),(8 99019.19),(9 135019.66),(10 183302.66),(11 269759.25),(12 438367),(13 789143.8),(14 1366622.3),(15 2276931.3),(16 3516926.5),(17 5526749),(18 8081181.5),(19 11041709),(20 14387498),(21 18865452),(22 24206954),(23 30103532),(24 36033820),(25 40956052),(26 47437372),(27 52685336),(28 62113132),(29 78609680),(30 102638850),(31 129230350),(32 158245860),(33 182946370),(34 207565470),(35 218504750),(36 218474500),(37 211174050),(38 202336720),(39 189201570),(40 199297890),(41 239098670),(42 284519680),(43 298029150),(44 333936060),(45 349768350),(46 324497760),(47 313085400),(48 291168300),(49 355169540),(50 402969180),(51 419579140),(52 471994180),(53 466911140),(54 411736700),(55 377522020),(56 362775400),(57 337527460),(58 321072300),(59 320137150),(60 341714100),(61 425631550),(62 536161180),(63 599473540),(64 649789760),(65 710244860),(66 708688500),(67 598685400),(68 525954050),(69 552421700),(70 531891700),(71 486829570),(72 468859230),(73 500758430),(74 520615170),(75 529712540),(76 612482200),(77 743123200),(78 873200830),(79 960730500),
(1 1156.1464),(2 5398.684),(3 13553.68),(4 24346.635),(5 41172.027),(6 63151.87),(7 90240.664),(8 123933.9),(9 168905.56),(10 235073.95),(11 355429.78),(12 564845.8),(13 926173),(14 1530517.4),(15 2385060.3),(16 3386972.3),(17 4749508),(18 6396428.5),(19 8259860),(20 10487195),(21 13728983),(22 17426756),(23 20988062),(24 23777434),(25 25174078),(26 27023098),(27 28861074),(28 31847464),(29 37352572),(30 47806524),(31 59690400),(32 68337496),(33 70887704),(34 68481180),(35 63388652),(36 65087284),(37 57294830),(38 63387852),(39 102944330),(40 130746520),(41 170774140),(42 197847890),(43 183345230),(44 175719340),(45 201189710),(46 218729330),(47 209730770),(48 228269180),(49 218700160),(50 209445940),(51 258158770),(52 302667360),(53 355775550),(54 398418720),(55 402084830),(56 350313300),(57 301107700),(58 268200320),(59 244924540),(60 277979330),(61 329676700),(62 360262750),(63 355268900),(64 385382880),(65 414493060),(66 394254430),(67 399607140),(68 379438340),(69 360012200),(70 331009280),(71 314321700),(72 288218560),(73 274608130),(74 259994220),(75 259532290),(76 272895260),(77 326672220),(78 359876770),(79 398653600),
(1 1241.036),(2 5260.6494),(3 12765.83),(4 23994.53),(5 39960.95),(6 60686.938),(7 85278.375),(8 112971.055),(9 147302.75),(10 202864.17),(11 320009.84),(12 555205.25),(13 918414.06),(14 1554529.1),(15 2456968.8),(16 3675313),(17 5298823),(18 7623086),(19 10668044),(20 14529987),(21 19820608),(22 26418496),(23 32866390),(24 38640256),(25 42251416),(26 42500244),(27 41051108),(28 37237040),(29 34734864),(30 35817884),(31 39499948),(32 43576690),(33 48854770),(34 56976570),(35 67950720),(36 70258376),(37 76726520),(38 97492664),(39 114457270),(40 111412700),(41 118915340),(42 125689800),(43 139953550),(44 149318990),(45 154225920),(46 177290240),(47 186723040),(48 183960380),(49 171230160),(50 209166100),(51 227490910),(52 218653180),(53 243629490),(54 278202300),(55 249458110),(56 206662510),(57 187499680),(58 169185730),(59 145300780),(60 142316100),(61 163304240),(62 162682720),(63 172375040),(64 194423100),(65 192794030),(66 178953200),(67 156606270),(68 180946430),(69 167939860),(70 160048510),(71 191581230),(72 216877810),(73 207831920),(74 206193220),(75 192425140),(76 173865470),(77 147831570),(78 144387550),(79 138052240),
(1 1351.0973),(2 5272.018),(3 11070.249),(4 19001.586),(5 29158.676),(6 42418.582),(7 56182.17),(8 72078.66),(9 92647.37),(10 140644.56),(11 258942.4),(12 508676.7),(13 922467.25),(14 1620579.5),(15 2652143),(16 4206122),(17 6373294.5),(18 9531329),(19 13685245),(20 18773398),(21 25317068),(22 33439052),(23 41114320),(24 47874172),(25 52626620),(26 51896116),(27 49029910),(28 44404516),(29 37702916),(30 32985688),(31 33132876),(32 37721244),(33 44249064),(34 52635956),(35 62490636),(36 64935748),(37 69293490),(38 79384504),(39 73977040),(40 74942216),(41 78251096),(42 91003730),(43 109041736),(44 117219870),(45 122513820),(46 135934450),(47 145247470),(48 169005310),(49 168946290),(50 178341900),(51 179597170),(52 189830030),(53 181942420),(54 175357230),(55 162687400),(56 151898420),(57 149996780),(58 157072060),(59 166189760),(60 164062990),(61 171637780),(62 182600370),(63 181653860),(64 175771730),(65 176578910),(66 183767840),(67 164847800),(68 164380240),(69 197586850),(70 194732940),(71 180589780),(72 193417260),(73 198577870),(74 198568080),(75 191883710),(76 183492940),(77 159875230),(78 162989550),(79 150402850),
(1 1540.2859),(2 5639.264),(3 10617.837),(4 16478.871),(5 23006.037),(6 29801.188),(7 35994.383),(8 45631.938),(9 65906.67),(10 117808.766),(11 242258.75),(12 515173.8),(13 945587.6),(14 1585444),(15 2476981.5),(16 3746047.5),(17 5481821),(18 7961133),(19 11094154),(20 14547074),(21 18757108),(22 23761700),(23 28234324),(24 32493350),(25 36472640),(26 37693096),(27 38770708),(28 36538412),(29 31601076),(30 29495648),(31 29102778),(32 31731418),(33 37545650),(34 42751724),(35 43562600),(36 47477812),(37 49781944),(38 54096584),(39 67821544),(40 78190230),(41 85931544),(42 94749830),(43 87978180),(44 90226536),(45 93337944),(46 91363650),(47 97769570),(48 119904536),(49 109924270),(50 109627930),(51 111444660),(52 113092250),(53 98422350),(54 98184536),(55 101830740),(56 101708670),(57 101529540),(58 95500760),(59 107987430),(60 110383490),(61 106449864),(62 113923224),(63 118705110),(64 123890470),(65 125832830),(66 128894580),(67 135716900),(68 131507930),(69 139730300),(70 130036400),(71 121322520),(72 141992110),(73 150519550),(74 137691570),(75 135063260),(76 133256060),(77 135800060),(78 136433000),(79 142743250),
(1 1219.2086),(2 4720.888),(3 9223.679),(4 14828.891),(5 21671.326),(6 29233.014),(7 38455.71),(8 53809.434),(9 84571.03),(10 146774.56),(11 275467.5),(12 524092.7),(13 901720.7),(14 1402636.1),(15 2057143.5),(16 2957203),(17 4252723.5),(18 5921384.5),(19 7794809),(20 9358262),(21 10730838),(22 12021508),(23 13132673),(24 14503775),(25 15948281),(26 16549154),(27 18225310),(28 18435234),(29 19061716),(30 18342302),(31 18395172),(32 20141132),(33 23480328),(34 23551328),(35 24486318),(36 26540036),(37 26892310),(38 28061792),(39 35527656),(40 37371050),(41 43665884),(42 45354908),(43 45933852),(44 49571560),(45 54625856),(46 60475876),(47 63290690),(48 71574960),(49 64399384),(50 70899330),(51 69703520),(52 63928450),(53 62023104),(54 65669850),(55 66029504),(56 64465216),(57 66972564),(58 69597870),(59 68369576),(60 61350492),(61 55710550),(62 64438228),(63 62411364),(64 72514910),(65 66990870),(66 77308370),(67 73985090),(68 75263330),(69 65700370),(70 65386120),(71 67121336),(72 71309600),(73 72036180),(74 75842960),(75 85866900),(76 87678560),(77 90271750),(78 87648344),(79 87651550),
(1 1283.3411),(2 5113.752),(3 10583.878),(4 18533.8),(5 29207.637),(6 41492.12),(7 56936.41),(8 79310.945),(9 112464.84),(10 171508.77),(11 298316.22),(12 532622.06),(13 928566.25),(14 1476763.3),(15 2212799.3),(16 3231847.5),(17 4796144.5),(18 6689334.5),(19 8764330),(20 10548258),(21 11818193),(22 12390545),(23 12658149),(24 12681395),(25 12391309),(26 11614901),(27 11644306),(28 13471113),(29 13716452),(30 12640326),(31 12402582),(32 13741195),(33 15113515),(34 13177820),(35 14204737),(36 17022052),(37 17308666),(38 20075654),(39 23695398),(40 25159214),(41 29268238),(42 34505660),(43 33184114),(44 38075772),(45 36053812),(46 38616496),(47 37760220),(48 43110772),(49 41754490),(50 44894884),(51 47586372),(52 49929730),(53 49365864),(54 50613612),(55 47876600),(56 45020532),(57 41830270),(58 40057680),(59 40980996),(60 40856084),(61 39272740),(62 41300852),(63 45054896),(64 45777144),(65 53434750),(66 53398536),(67 51998732),(68 49384250),(69 49712228),(70 49501228),(71 52841080),(72 61469332),(73 65189000),(74 65387300),(75 64770916),(76 71817640),(77 65842536),(78 62948548),(79 62837156),
(1 1218.0482),(2 4843.7188),(3 10343.192),(4 18229.313),(5 28881.404),(6 41282.438),(7 57093.645),(8 79175.81),(9 109330.72),(10 160898.52),(11 267224.72),(12 460631.5),(13 807018),(14 1347849),(15 2126849.3),(16 3083884.5),(17 4505752),(18 6070563),(19 7835421),(20 9686618),(21 11238605),(22 12109400),(23 12470794),(24 12071254),(25 11026675),(26 9968258),(27 9255137),(28 9440558),(29 9581237),(30 10407338),(31 10743936),(32 11194070),(33 12220290),(34 11326182),(35 10399662),(36 12698602),(37 14328691),(38 14514161),(39 19149572),(40 20425096),(41 24621866),(42 27947294),(43 32063872),(44 30935088),(45 32252002),(46 35607900),(47 36438650),(48 37424840),(49 36627884),(50 39511856),(51 43489656),(52 39954028),(53 38763468),(54 37777068),(55 39039456),(56 38112636),(57 40720090),(58 40074210),(59 38495910),(60 36431052),(61 34722216),(62 33230058),(63 35797470),(64 36426252),(65 37967828),(66 37549424),(67 41319820),(68 39891276),(69 41242870),(70 43018430),(71 38636330),(72 40241196),(73 41839110),(74 42081060),(75 37059996),(76 42065908),(77 42421156),(78 43139730),(79 43395884),
(1 1302.4751),(2 5067.2153),(3 10660.272),(4 19322.955),(5 30979.844),(6 45760.73),(7 64681.332),(8 89285.375),(9 119891.36),(10 172660.9),(11 266201.4),(12 416884.44),(13 698922),(14 1152104.8),(15 1759474.4),(16 2431909),(17 3268970.3),(18 4032712),(19 4795515),(20 5629241),(21 6358026),(22 6771904),(23 6886605.5),(24 6747120),(25 6442075.5),(26 6302439.5),(27 6392079),(28 7032926),(29 8471307),(30 9462786),(31 10778873),(32 11749433),(33 11397700),(34 10975140),(35 10871836),(36 11603865),(37 12408295),(38 12220391),(39 14004098),(40 17867232),(41 19719426),(42 20302548),(43 21452024),(44 23326772),(45 22627296),(46 22493570),(47 25584636),(48 28041160),(49 30197184),(50 35498900),(51 37936012),(52 33825828),(53 37141330),(54 33799456),(55 33950530),(56 28909434),(57 30739840),(58 30189398),(59 28994250),(60 26441624),(61 27804376),(62 26235672),(63 26018536),(64 28405182),(65 26735320),(66 25776548),(67 30674852),(68 31331556),(69 29744552),(70 33636400),(71 32451086),(72 34470420),(73 33981220),(74 35810844),(75 35492900),(76 38169656),(77 36521724),(78 34906668),(79 33552008),
(1 1090.2363),(2 4301.679),(3 8707.686),(4 15800.198),(5 25445.879),(6 37793.3),(7 53987.5),(8 74180.04),(9 97396.76),(10 138706.2),(11 212397.94),(12 336357.25),(13 555908.5),(14 892382.5),(15 1308459.5),(16 1722749),(17 2153725.3),(18 2523199.5),(19 2891921),(20 3402613.3),(21 4038818.8),(22 4763076),(23 5362449),(24 5837940.5),(25 6372714),(26 6813836),(27 7063424.5),(28 7056677.5),(29 7255096.5),(30 7384699.5),(31 8493094),(32 9074914),(33 8806224),(34 8914229),(35 9766891),(36 10158035),(37 9716777),(38 10888949),(39 12616621),(40 14118375),(41 15266140),(42 17450350),(43 18253838),(44 19810092),(45 21576034),(46 23445394),(47 24753666),(48 23154360),(49 21634274),(50 21911536),(51 23314202),(52 23617490),(53 22339312),(54 24368738),(55 27232614),(56 25062080),(57 25992828),(58 24590772),(59 23451712),(60 23028906),(61 23597038),(62 23241376),(63 23824942),(64 22772438),(65 23012896),(66 24339664),(67 22147888),(68 23133870),(69 23613632),(70 25231138),(71 24511132),(72 22991996),(73 24830996),(74 27619286),(75 27315324),(76 30707946),(77 30657838),(78 32566438),(79 32447352),
