1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 15728.828),(2 30901.244),(3 75831.305),(4 117542.445),(5 164823.23),(6 188649.36),(7 241351.95),(8 286574.47),(9 321924.22),(10 371633.28),(11 420020.13),(12 444028),(13 499214.13),(14 533807.3),(15 559167.25),(16 602720.9),(17 645663.2),(18 668453.06),(19 727021.56),(20 773118.5),(21 812524),(22 871644),(23 920850.5),(24 942163),(25 996480.25),(26 1029836.25),(27 1064120.3),(28 1128320.1),(29 1175131),(30 1200444.1),(31 1272584),(32 1309508.6),(33 1361425.4),(34 1412734),(35 1468285.9),(36 1494683.4),(37 1559001.1),(38 1592246.4),(39 1615978.4),(40 1651222.4),(41 1679098.5),(42 1692497),(43 1727000),(44 1744955.1),(45 1758863.5),(46 1787283.1),(47 1811637),(48 1834071.6),(49 1860145.5),(50 1882941.9),(51 1914787),(52 1958500.6),(53 2079858.6),(54 2126910.3),(55 2182613.8),(56 2273087.3),(57 2393471),(58 2523846),(59 2675808.8),(60 2881464),(61 3103738.8),(62 3344204.8),(63 3615790),(64 3885952.3),(65 4141720.3),(66 4459137),(67 4776574.5),(68 5129286),(69 5571105.5),(70 6018048),(71 6499620),(72 7019836),(73 7575804),(74 8163954),(75 8794103),(76 9435021),(77 10128760),(78 11016431),(79 11814704),
(1 7416.242),(2 20270.084),(3 48248.906),(4 75615.01),(5 104951.58),(6 136255.5),(7 171045.6),(8 210740.6),(9 249144.16),(10 290389.3),(11 331330.06),(12 371033.4),(13 425761.7),(14 476433.94),(15 522571.4),(16 581865),(17 636253.06),(18 690753.3),(19 749543.2),(20 808122.1),(21 877149.7),(22 949291.4),(23 1021903.5),(24 1096256.4),(25 1176415),(26 1248379.6),(27 1320090),(28 1421119.3),(29 1508999.9),(30 1602680.3),(31 1698933.8),(32 1803837.4),(33 1913900.4),(34 2022331.3),(35 2130580.5),(36 2236228),(37 2333132.5),(38 2431774),(39 2526741.5),(40 2623447.3),(41 2712922),(42 2798589.3),(43 2878173),(44 2966450.8),(45 3049123.5),(46 3163013.5),(47 3259531),(48 3356215.3),(49 3465676),(50 3584556.8),(51 3709493.3),(52 3857948),(53 4063236),(54 4204361.5),(55 4359299.5),(56 4540791),(57 4737780),(58 4962226.5),(59 5222500),(60 5506333),(61 5837715),(62 6184340.5),(63 6573505.5),(64 6963859),(65 7336481.5),(66 7754628),(67 8151261),(68 8574712),(69 9065564),(70 9554792),(71 10062548),(72 10583978),(73 11127817),(74 11667600),(75 12263358),(76 12828387),(77 13462845),(78 14207085),(79 14856498),
(1 10213.72),(2 29728.982),(3 61627.094),(4 96708.54),(5 136467.14),(6 180491.13),(7 232515.58),(8 289024.1),(9 346849.4),(10 411593.47),(11 476376.16),(12 546327.06),(13 631004.56),(14 716026.7),(15 802159.06),(16 894337.8),(17 996006.7),(18 1101585.1),(19 1210111.6),(20 1318535.9),(21 1437570),(22 1560930.4),(23 1687853.9),(24 1818303),(25 1963620.6),(26 2102828),(27 2241969),(28 2459469),(29 2639746.8),(30 2837480.8),(31 3036433.3),(32 3255396.8),(33 3479452),(34 3708602),(35 3955723),(36 4200594),(37 4456424),(38 4688474),(39 4936334),(40 5169876),(41 5396793),(42 5614893.5),(43 5805998.5),(44 6004577.5),(45 6202194.5),(46 6436978),(47 6645748),(48 6854456),(49 7036077.5),(50 7219040),(51 7403914),(52 7624164),(53 7897018.5),(54 8078208),(55 8275304),(56 8481952),(57 8692481),(58 8907799),(59 9156177),(60 9427054),(61 9727564),(62 10032148),(63 10396199),(64 10765487),(65 11188385),(66 11592699),(67 11998243),(68 12432667),(69 12895353),(70 13379800),(71 13882493),(72 14384369),(73 14929347),(74 15411152),(75 15952856),(76 16460597),(77 17020398),(78 17753558),(79 18335748),
(1 10701.937),(2 32045.291),(3 71040.45),(4 111362.08),(5 155983.25),(6 205211.56),(7 260289.03),(8 315582.22),(9 376646.88),(10 438790.53),(11 502238.63),(12 571698),(13 644818.1),(14 721819.75),(15 805050.8),(16 887180.75),(17 978107.44),(18 1073110.3),(19 1169914.5),(20 1260480.6),(21 1361854.5),(22 1459608.8),(23 1561717.5),(24 1653302),(25 1741212.5),(26 1832181.1),(27 1929294.3),(28 2059424.5),(29 2166397.8),(30 2281481),(31 2399294.3),(32 2528558.3),(33 2651368.8),(34 2772953.3),(35 2903868.8),(36 3032322.3),(37 3146818.8),(38 3263824.5),(39 3385005),(40 3503667),(41 3625873.8),(42 3743071.5),(43 3847161.3),(44 3964680),(45 4088649),(46 4235114.5),(47 4386635.5),(48 4543438),(49 4678894),(50 4823745),(51 4974889),(52 5151417),(53 5355857),(54 5530557.5),(55 5694398),(56 5851780.5),(57 6016435),(58 6174374.5),(59 6325202),(60 6494794.5),(61 6654961),(62 6814174.5),(63 6976422),(64 7110802),(65 7257161),(66 7387526),(67 7506003.5),(68 7621404.5),(69 7736805.5),(70 7858503),(71 7970554.5),(72 8088562.5),(73 8194094),(74 8269031),(75 8368399),(76 8449709),(77 8551429),(78 8744322),(79 8888877),
(1 11807.275),(2 37266.313),(3 79904.13),(4 126456.48),(5 178706.98),(6 236393.56),(7 295821.13),(8 356655.72),(9 423234.9),(10 489719.63),(11 560831.6),(12 636534.44),(13 714244.06),(14 797500.94),(15 887154.6),(16 974319.8),(17 1070021.6),(18 1161852.6),(19 1260089.5),(20 1353347.6),(21 1451680.9),(22 1547691.3),(23 1649064.1),(24 1740968.8),(25 1831616.8),(26 1922047.3),(27 2022917.6),(28 2150096.5),(29 2262938.3),(30 2381146.5),(31 2515452.5),(32 2650223.8),(33 2789999),(34 2923438.3),(35 3060502.5),(36 3181304.8),(37 3293507),(38 3409209.5),(39 3523514.3),(40 3622078.3),(41 3726905.5),(42 3827569.5),(43 3925792),(44 4029779.8),(45 4130592.8),(46 4236399.5),(47 4348107),(48 4454262),(49 4546469.5),(50 4643148.5),(51 4740089.5),(52 4848676.5),(53 4973758.5),(54 5075963),(55 5172372),(56 5262272),(57 5359571),(58 5463469),(59 5564293),(60 5673878),(61 5783470.5),(62 5892542.5),(63 6011530),(64 6106155),(65 6182346),(66 6263590.5),(67 6338184),(68 6415614.5),(69 6488267),(70 6579727.5),(71 6659832),(72 6740493),(73 6821110.5),(74 6885961.5),(75 6967307),(76 7041466),(77 7117553.5),(78 7223063.5),(79 7303642),
(1 9609.842),(2 27912.12),(3 60561.188),(4 97637.08),(5 141102.83),(6 188352.95),(7 237689.6),(8 291277.44),(9 347354.53),(10 404467.4),(11 466500.9),(12 526629.4),(13 595273.7),(14 664791.5),(15 738783.1),(16 813888.4),(17 898890.5),(18 975083.4),(19 1054343.3),(20 1134243),(21 1216046.3),(22 1294774.3),(23 1379574.5),(24 1462178.8),(25 1541130.3),(26 1623867),(27 1709664.8),(28 1811493.4),(29 1907773),(30 2003938.4),(31 2108314.3),(32 2211608),(33 2325142.5),(34 2429707),(35 2543107),(36 2650998.5),(37 2765949.3),(38 2871562.5),(39 2975638),(40 3084723.5),(41 3196302.5),(42 3305890.5),(43 3401001.3),(44 3501841.5),(45 3602757.5),(46 3703786.5),(47 3798022.5),(48 3898250.5),(49 3982804.8),(50 4058716),(51 4149503.3),(52 4248197.5),(53 4359201.5),(54 4444134.5),(55 4517277),(56 4571668),(57 4631203),(58 4689753.5),(59 4748743),(60 4818249),(61 4886767),(62 4960642.5),(63 5042113),(64 5128366.5),(65 5201431),(66 5289036),(67 5373651.5),(68 5456887),(69 5543355),(70 5651245),(71 5761662.5),(72 5875216.5),(73 5983913.5),(74 6094801.5),(75 6236423),(76 6358463.5),(77 6496764.5),(78 6661519.5),(79 6805195),
(1 10830.89),(2 32574.834),(3 75196.84),(4 121180.375),(5 172533.75),(6 229939.27),(7 290648.22),(8 352275.8),(9 422732.84),(10 495088.63),(11 569979.7),(12 647645.94),(13 728059.94),(14 808682.7),(15 896095.25),(16 979988.9),(17 1070095.3),(18 1154542.1),(19 1245057.1),(20 1340521.4),(21 1436689.8),(22 1530717.5),(23 1627324.9),(24 1713922.6),(25 1804259.3),(26 1894578.9),(27 1991915.4),(28 2131869),(29 2264441.3),(30 2389649.8),(31 2527937.5),(32 2664476.5),(33 2799954.3),(34 2949135),(35 3100194.8),(36 3242490.5),(37 3391920.5),(38 3533103),(39 3674610.8),(40 3832316.3),(41 3977681),(42 4125565.5),(43 4273558),(44 4412652.5),(45 4549378.5),(46 4679269),(47 4804421),(48 4929623),(49 5024033),(50 5109579),(51 5198784),(52 5275280),(53 5360301),(54 5426669.5),(55 5476287),(56 5513519),(57 5547284.5),(58 5572732.5),(59 5597810),(60 5624005.5),(61 5651703),(62 5682502),(63 5713306),(64 5742962),(65 5769782),(66 5793795),(67 5820152.5),(68 5832253),(69 5854262),(70 5871929),(71 5905943.5),(72 5939015),(73 5971664),(74 6007428.5),(75 6044177),(76 6076112),(77 6114850.5),(78 6194475),(79 6245767.5),
(1 12337.348),(2 39936.8),(3 85546.18),(4 138582.53),(5 201862.52),(6 274665.94),(7 353658),(8 440226.34),(9 534037.56),(10 635364.1),(11 743031.44),(12 856089.4),(13 984886.8),(14 1117298.6),(15 1256830.4),(16 1400548.8),(17 1543967.3),(18 1687462.6),(19 1839869.1),(20 1994567.5),(21 2152462.8),(22 2311484.3),(23 2481452.5),(24 2648069),(25 2819893),(26 2996644.8),(27 3175518.8),(28 3396489.8),(29 3595718.5),(30 3794863.5),(31 3992121.8),(32 4181222.5),(33 4357755.5),(34 4524840.5),(35 4672777.5),(36 4819818.5),(37 4953871.5),(38 5094114),(39 5234054.5),(40 5373760),(41 5505843.5),(42 5631387.5),(43 5753581),(44 5864817),(45 5963229),(46 6070269.5),(47 6170909),(48 6284014),(49 6372199),(50 6467257),(51 6546701),(52 6632262),(53 6719565),(54 6803282),(55 6882312.5),(56 6967642.5),(57 7062959),(58 7177440),(59 7286784),(60 7397263.5),(61 7523849.5),(62 7645144.5),(63 7767684.5),(64 7892061),(65 8017614),(66 8157717.5),(67 8280765),(68 8407313),(69 8540213),(70 8655405),(71 8776071),(72 8895537),(73 9003885),(74 9097390),(75 9191442),(76 9274723),(77 9375001),(78 9506332),(79 9600774),
(1 11180.756),(2 33425.53),(3 69906),(4 113492.38),(5 164788.6),(6 221516.6),(7 283019.7),(8 351396.88),(9 423322.4),(10 501829.75),(11 588685.75),(12 680664.06),(13 778333.25),(14 882865.44),(15 988856.56),(16 1100564.9),(17 1212781),(18 1329699.5),(19 1446171.6),(20 1562303.8),(21 1680563.5),(22 1801899),(23 1926498.1),(24 2052757),(25 2179001.3),(26 2321013.8),(27 2460510.8),(28 2609816),(29 2750586.3),(30 2889869.3),(31 3032330.8),(32 3169657.3),(33 3303625),(34 3429709.3),(35 3545324),(36 3659369.5),(37 3764035.3),(38 3869974.5),(39 3976533.3),(40 4081749.8),(41 4180787.3),(42 4273643.5),(43 4367415.5),(44 4450453),(45 4533036.5),(46 4623110),(47 4704777.5),(48 4789214),(49 4875237.5),(50 4964359.5),(51 5049304.5),(52 5131879.5),(53 5219204.5),(54 5287692),(55 5352306.5),(56 5412139.5),(57 5480700.5),(58 5557213.5),(59 5626262),(60 5715680),(61 5803205.5),(62 5903972),(63 6007412.5),(64 6119354),(65 6240550.5),(66 6361732),(67 6468543.5),(68 6579173.5),(69 6698962),(70 6816520.5),(71 6930520.5),(72 7054663),(73 7172581),(74 7290498),(75 7420166),(76 7553376.5),(77 7708740),(78 7868054),(79 8020804),
(1 10101.846),(2 30518.303),(3 65287.098),(4 104024.625),(5 148922.5),(6 199215.97),(7 255033.11),(8 315579.44),(9 380723.44),(10 452528.72),(11 528328.9),(12 610010.7),(13 695484.9),(14 784925.6),(15 881782.56),(16 980862),(17 1084543.6),(18 1193446.5),(19 1300603.6),(20 1411035.3),(21 1521362),(22 1631614.6),(23 1744900.5),(24 1856755.5),(25 1968361.4),(26 2086866.9),(27 2197451),(28 2318720),(29 2426354),(30 2528383.3),(31 2631477.8),(32 2735176.5),(33 2837210.8),(34 2937667),(35 3035298.5),(36 3125798),(37 3215153.5),(38 3303735),(39 3396938.3),(40 3490931),(41 3568272),(42 3640801),(43 3716521.3),(44 3783481),(45 3851857),(46 3926815.5),(47 3995182.3),(48 4077249.8),(49 4153699),(50 4230483),(51 4316486),(52 4392832),(53 4460783),(54 4528519),(55 4592398),(56 4643628),(57 4701414),(58 4749097),(59 4791090),(60 4827311.5),(61 4855595.5),(62 4887096.5),(63 4924146),(64 4954214),(65 4982944.5),(66 5002622),(67 5005790),(68 5008854),(69 5012509),(70 5017129),(71 5017871),(72 5024669.5),(73 5041233),(74 5058025),(75 5081206),(76 5111725),(77 5157950),(78 5226087),(79 5274154.5),
(1 10151),(2 31046.234),(3 66273.56),(4 105065),(5 154049.4),(6 207865.83),(7 268277.34),(8 335606.34),(9 408758.75),(10 487581.28),(11 568981.06),(12 655211.3),(13 742090.1),(14 831830.7),(15 921704.1),(16 1016393.44),(17 1107350.1),(18 1198193.8),(19 1286550.8),(20 1374567.9),(21 1455912.8),(22 1532506.5),(23 1607806.5),(24 1677112.8),(25 1747653.9),(26 1819269),(27 1890265),(28 1967370.5),(29 2034471.3),(30 2101182.5),(31 2165368.8),(32 2233512.5),(33 2299906),(34 2366005.5),(35 2425328),(36 2482010.3),(37 2534920),(38 2583036),(39 2633597.3),(40 2671955),(41 2697477.8),(42 2723675.5),(43 2740366.5),(44 2758122),(45 2776333.3),(46 2800674.8),(47 2820486.5),(48 2848458.8),(49 2869534.5),(50 2901212),(51 2931014),(52 2964350.5),(53 2992760.8),(54 3021462),(55 3049609),(56 3078217.5),(57 3107729.5),(58 3136844.3),(59 3171582.8),(60 3208698.8),(61 3251264.5),(62 3300983.5),(63 3344716.5),(64 3401646),(65 3452996.8),(66 3522943.8),(67 3589534),(68 3664325.3),(69 3740995.3),(70 3824536),(71 3915730),(72 4009243.8),(73 4102146),(74 4182850.3),(75 4263989.5),(76 4336387.5),(77 4409556),(78 4487047.5),(79 4555763.5),
