q, (a, b, c)
1.5, (-25217364.55748359, 66.38875018571183, 22183084.953987483)
2.5, (-129433281234.76543, 482368.39655731275, 129431165116.73215)
3.5, (-174804165736.68518, 809227.1332867641, 174802672895.56805)
4.5, (-299483505147.5842, 1305020.0964729234, 299481453827.99)
5.5, (-33442921.24865036, 157.52757853456623, 32105458.93612915)
6.5, (-24040843.04058188, 105.17906567291764, 22721866.965589613)
7.5, (-10282467.806164501, 19.25573294873659, 8158275.612680595)
8.5, (-11775808.69586881, 18.531311300317274, 9182568.551408302)
9.5, (-13479744.077288687, 15.992435038915033, 10155102.844499893)
10.5, (-8234952.042283114, 11.583149390093878, 5878216.8614050085)
11.5, (-9396037.363431143, 16.228751286320108, 7517780.726902024)
12.5, (-7079315.17105349, 11.536448577754895, 5283227.255738115)
13.5, (-4388009.327389065, 16.162253887861933, 3695610.9316299097)
14.5, (-4250809.470220876, 19.366109267815936, 3737850.4192504724)
15.5, (-3216821.75818897, 25.556927898244137, 3051780.8777314224)
16.5, (-3438383.637335057, 39.421224707200665, 3558936.1713019335)
17.5, (-3293293.857502183, 42.97868631414913, 3268165.804110793)
18.5, (-2257512.277465258, 23.940640702313544, 2158728.7918075724)
19.5, (-2277061.3533833656, 16.97300701873405, 2041913.2733323826)
20.5, (-1747296.405534579, 10.964080336287823, 1424631.437047302)
21.5, (-1777156.6565298783, 18.025042474135514, 1619560.1082289028)
22.5, (-1775689.751445158, 10.914714150413202, 1475236.2796066452)
23.5, (-1755286.857428363, 26.626633693515895, 1708724.6761708972)
24.5, (-1391490.8008209881, 16.459411396292158, 1257545.4965002593)
25.5, (-1619171.7418363832, 15.409149881320259, 1435759.0788842046)
26.5, (-1198909.3874605775, 12.66321267798875, 1103965.5915214703)
27.5, (-1264583.090552571, 10.608682857694905, 1088311.3318953298)
28.5, (-1111727.9852044908, 23.06091729960616, 1116828.6667323573)
29.5, (-1055259.3912960158, 20.80564716734199, 1070437.439657295)
30.5, (-967164.5675156141, 14.615376707386615, 923453.67035878)
31.5, (-966666.6542450883, 10.19884513413021, 818474.7352705429)
32.5, (-857727.0928617383, 12.971815547307374, 821399.480033421)
33.5, (-840103.9549511796, 11.35230588659167, 747816.5758616563)
34.5, (-779138.9616837255, 14.421813553733303, 724814.414961734)
35.5, (-802946.0883759377, 10.573083047379209, 684532.3119975509)
36.5, (-800751.4641136659, 9.95899933613495, 661720.8749328001)
37.5, (-623493.997408665, 12.267918980186444, 573444.5675074686)
38.5, (-647140.0456653812, 12.014849486553201, 603482.697780292)
39.5, (-601453.3816788018, 22.98537784843499, 638985.4079092206)
40.5, (-540798.2179397601, 9.789961685943679, 478779.5590075532)
41.5, (-526181.77912272, 9.332567931846368, 465824.8559969384)
42.5, (-557107.5940931664, 11.729170990403436, 521195.67956512363)
43.5, (-523326.6358197824, 11.224494657895598, 477998.0404614816)
44.5, (-504639.2180121982, 9.237741238405869, 454468.1232249547)
45.5, (-507741.4398380771, 8.401532560695747, 432452.1620956871)
46.5, (-454040.6050366143, 10.506210531289454, 423423.4343453164)
47.5, (-464918.888599394, 6.494257359349652, 382486.6075709361)
48.5, (-459917.7291810077, 6.713111590942294, 386613.29964394734)
49.5, (-428555.12485661113, 7.00536764170584, 367523.6290544732)
50.5, (-408985.5569418664, 6.832675612187715, 355424.57743688574)
51.5, (-384125.8941916604, 7.242543155638495, 335952.13166861614)
52.5, (-392794.32584018377, 7.762327682688327, 341765.247924889)
53.5, (-343285.82692477474, 8.265847974998646, 312980.83056973363)
54.5, (-335498.83124570624, 7.403614799263567, 291564.3572981837)
55.5, (-347201.69072298147, 7.806592402766815, 305634.23544814275)
56.5, (-296628.6324863965, 11.982396017875118, 305020.1880621861)
57.5, (-276860.7621273543, 10.495802862477225, 277359.7070426595)
58.5, (-282541.4102264682, 9.914748742762251, 274929.70283222245)
59.5, (-289917.54875072767, 9.269259724982277, 272869.64484695374)
60.5, (-289956.398409433, 7.04472611769401, 249559.79857861486)
61.5, (-318423.154062995, 6.698878142699722, 270113.52741905174)
62.5, (-251093.03196132256, 10.464845618866923, 252910.75397183662)
63.5, (-240663.46867324752, 10.412597213674722, 241717.19328188972)
64.5, (-207373.47402704056, 12.984415799070202, 223164.4361674871)
65.5, (-213082.75765840284, 13.855008161867664, 231653.13431578272)
66.5, (-229528.06629498946, 9.899777864063765, 229577.54088443675)
67.5, (-228216.47480389953, 7.484645546504773, 208092.2074976352)
68.5, (-217553.5832561985, 9.842985597142146, 217745.09501070948)
69.5, (-204147.0629278193, 9.128933860217064, 203627.6853203371)
70.5, (-201655.60701433464, 9.86854586612041, 200858.31481892694)
71.5, (-196756.84977749782, 9.655979909727959, 194720.8718309134)
72.5, (-206580.01097871247, 8.221993741569, 194408.7726374479)
73.5, (-203446.81585579948, 7.890340788592529, 189144.01684426834)
74.5, (-172282.165219434, 9.424965368130145, 174171.8488652079)
75.5, (-177304.32392263916, 9.244061982215737, 178002.1508484877)
76.5, (-183567.2927915757, 7.202579661719965, 169876.63454099282)
77.5, (-183075.1081702644, 6.055351873533136, 159661.21873959032)
78.5, (-167434.299786844, 7.01557720968241, 154937.4910013576)
79.5, (-153060.44499486298, 8.544708696809444, 153150.37375068857)
80.5, (-161552.58249473988, 7.842109170246482, 154737.8572881852)
81.5, (-143735.37851023875, 8.919013760416869, 148467.84810886663)
82.5, (-142290.41302084376, 8.339613165964325, 143344.54192812266)
83.5, (-138728.02154762336, 6.947960441097959, 132571.07296856312)
84.5, (-132567.5865184944, 7.5277245309371, 128671.20766071246)
85.5, (-135205.70502226878, 7.516415826315718, 131212.68868354612)
86.5, (-137500.0092949215, 7.446024722399237, 130424.53254148229)
87.5, (-135906.86879706953, 7.850390627946902, 133240.47183502623)
88.5, (-134244.07609357205, 8.593975335057722, 136453.03571459666)
89.5, (-126961.25572814482, 6.724229757333765, 120293.6541321892)
90.5, (-130308.5022485296, 6.104285082036578, 119296.45607866679)
91.5, (-115440.69929171383, 7.723751726475297, 115370.80494629653)
92.5, (-108878.92107401858, 10.024423193669014, 117749.07022541772)
93.5, (-105890.96974632406, 9.692884032622828, 115667.23400386785)
94.5, (-91815.3994848504, 13.848450598134134, 113344.31109541774)
95.5, (-103847.11325965243, 9.018686671500793, 109352.98350153009)
96.5, (-102862.43292590223, 7.888333633581528, 104347.93528117806)
97.5, (-89674.96991357222, 10.080012912917462, 101292.13356135087)
98.5, (-89678.88728327019, 10.365238898897228, 101566.1744611117)
99.5, (-83544.05991947734, 8.650350147389018, 89479.21695493725)
100.5, (-79492.59561954446, 10.748503424158983, 92090.27595385909)
101.5, (-82260.74239601819, 8.73464564555618, 88446.7824532291)
102.5, (-89116.8872530945, 8.602487291235608, 92454.0498070081)
103.5, (-86541.73532949781, 7.447470798904406, 86707.01081996568)
104.5, (-80895.202927504, 8.09890882633292, 82703.20039361999)
105.5, (-85536.54208481622, 7.644193176704621, 84793.70378580343)
106.5, (-70978.093786017, 9.274637694187765, 78398.02714109099)
107.5, (-71254.46671864767, 8.96833986701453, 77380.4103037378)
108.5, (-67110.58888186202, 10.814923174173398, 76280.31890938913)
109.5, (-61387.61368649668, 12.599209054150213, 73921.06582715253)
110.5, (-72755.789822621, 7.9084603584086315, 73410.05508662613)
111.5, (-67378.548703344, 8.507124165762885, 70427.11932810303)
112.5, (-62301.44650847638, 9.311424008817983, 68517.28879038463)
113.5, (-58380.40654671986, 9.070005387046736, 64619.17711369758)
114.5, (-57730.904896925385, 7.928755054983888, 62073.922736501125)
115.5, (-58475.393933545565, 8.451841064285269, 63082.94684034626)
116.5, (-52997.966656441786, 13.015094795208626, 64499.387546581376)
117.5, (-53049.853569271276, 11.4898823843815, 62046.91669230817)
118.5, (-53463.87952672896, 8.800590313290767, 57792.72245424695)
119.5, (-52923.49985144294, 8.063990717916871, 56000.98882530999)
120.5, (-52371.91953726954, 8.995060010259794, 57082.76186629256)
121.5, (-52352.44503176236, 7.353167422755919, 54665.015940583675)
122.5, (-51893.99210553296, 7.870159267555432, 54928.98975594134)
123.5, (-48292.581331774265, 8.440044014641915, 51704.16473174875)
124.5, (-46651.756255237844, 8.31531734679647, 49057.132939118485)
125.5, (-45277.16023569679, 7.458888360209824, 46831.10689648515)
126.5, (-49554.718703051934, 7.141147182558707, 49255.475659449745)
127.5, (-43980.92064210249, 8.172279007099846, 45978.91627769717)
128.5, (-42840.13169527656, 7.211577382321326, 43284.45768505428)
129.5, (-39663.08146030784, 7.7361518829203515, 41936.92155262718)
130.5, (-39123.07944993571, 7.164521144484732, 40391.38538354044)
131.5, (-37473.69698151185, 7.974273904688317, 39957.5746447169)
132.5, (-35035.095613013895, 8.884668407713892, 38779.71496891294)
133.5, (-36918.74872511596, 6.955087500402323, 36698.71817399584)
134.5, (-32985.242775886836, 9.361464813192143, 36569.292073824356)
135.5, (-34908.005800549094, 6.9643044345422815, 34942.03062546053)
136.5, (-30928.96789437887, 7.850196835921771, 33387.9868378079)
137.5, (-28800.76504288279, 9.466076308794168, 33421.963559413896)
138.5, (-30114.989411133447, 9.064838319435738, 33465.91345600062)
139.5, (-29804.854498734756, 8.13771082312855, 31922.604401282166)
140.5, (-28668.523731849567, 8.257882638483354, 30890.06131980862)
141.5, (-31080.51468790188, 8.680691798526972, 32567.494708752984)
142.5, (-26998.585479744517, 9.94284300518224, 30529.239674262077)
143.5, (-26184.49918370157, 9.35217908983401, 29697.69986527538)
144.5, (-26295.93601945105, 7.9631254264974265, 28267.16131416011)
145.5, (-25401.646830403253, 8.349815738373401, 27894.5902040433)
146.5, (-23572.24678871283, 9.66190865811808, 26985.525101097992)
147.5, (-22172.47289795873, 9.527030567780628, 25480.800432687745)
148.5, (-22082.77458727559, 7.592072919318054, 23908.224599115852)
149.5, (-20508.672813304176, 9.005493459236396, 23610.353730318213)
150.5, (-19434.139958511172, 9.887856417107582, 23061.0260698833)
151.5, (-20207.548978362436, 9.53602724821682, 23455.170125734414)
152.5, (-19524.541441750258, 8.85348299758293, 21759.53624262759)
153.5, (-18961.218402299448, 9.264219051535845, 21605.381999012585)
154.5, (-17923.619196926662, 9.441210445322556, 20691.505304952403)
155.5, (-16465.783051824368, 10.27836259222643, 19925.039387763307)
156.5, (-17214.325082020427, 9.994364594110346, 19914.615543175103)
157.5, (-16811.140667759264, 9.34138946648272, 19119.536185620436)
158.5, (-16558.21815691573, 7.4809873319601135, 17863.01299954826)
159.5, (-14967.160276061672, 8.59364126231617, 17206.69745742184)
160.5, (-14253.130734224593, 10.802180419016919, 17717.55718627968)
161.5, (-13882.106223614228, 9.594429928164203, 16509.700558976194)
162.5, (-14207.74365715312, 8.901064251408513, 16245.304222603081)
163.5, (-14314.565929843742, 8.837280892711432, 16220.272185826276)
164.5, (-12988.388305353572, 9.681760924810098, 15309.28192838202)
165.5, (-12302.848236095706, 10.632175123136618, 15218.326144230583)
166.5, (-11828.74961971856, 9.069491050936325, 14089.272432121956)
167.5, (-12056.78919835798, 7.895913667984657, 13700.094651537342)
168.5, (-11538.314424399372, 11.412625987650554, 14143.640509550018)
169.5, (-10787.343730052911, 8.813549184018669, 12526.530255997015)
170.5, (-10846.317750965434, 11.539853491877013, 13304.86562317489)
171.5, (-10145.043023406004, 12.908924583804396, 12910.798958315516)
172.5, (-9532.791209872486, 14.756551351671819, 12653.659386898484)
173.5, (-9496.359912383583, 11.493654709004797, 11837.54616904458)
174.5, (-8953.41824317108, 11.040517065288702, 11153.800823961281)
175.5, (-8544.645247028338, 11.037382921821942, 10887.200296198258)
176.5, (-7943.461988936391, 13.111922216063181, 10583.167180379565)
177.5, (-7949.783841530808, 10.84356725261697, 10084.944242627724)
178.5, (-7748.046058042471, 10.946794674490372, 9866.60103461668)
179.5, (-7768.541702354496, 9.883103076734974, 9580.80285114957)
180.5, (-7928.303352285314, 9.029525480411786, 9459.87633894285)
181.5, (-7861.777050640486, 8.836252581844782, 9267.183125158495)
182.5, (-7265.973693572573, 13.263503159242651, 9548.037221721122)
183.5, (-6900.127299493489, 10.794874474665091, 8718.462161539017)
184.5, (-7110.862251205442, 9.973185266784034, 8682.756369336363)
185.5, (-6676.654451830539, 10.308880456375562, 8336.62961351119)
186.5, (-5757.573360425894, 11.857583291707137, 7910.288334287768)
187.5, (-5718.5968353815815, 13.201755152943205, 8023.145848182991)
188.5, (-5616.406043443722, 12.283998827070048, 7614.971525086064)
189.5, (-5806.017452365509, 8.037846169322911, 7001.2312797573295)
190.5, (-5637.111621390791, 8.205816769681176, 6800.652264374121)
191.5, (-5160.658660038904, 9.612516481736035, 6521.403432168473)
192.5, (-5244.696278207092, 9.108006051100924, 6503.09410188522)
193.5, (-4727.904759902347, 12.420470133525152, 6452.431478362722)
194.5, (-4619.740724244665, 11.616869240745947, 6194.499349534241)
195.5, (-4580.913666304709, 11.25536604839828, 6014.577788501244)
196.5, (-4391.196894532432, 10.784141939656537, 5811.474538779786)
197.5, (-4148.038402018564, 10.267723823296162, 5568.659406934839)
198.5, (-3602.689240283165, 11.908709729890967, 5230.127935395964)
199.5, (-3700.4874609515487, 13.000296474638102, 5366.996793734652)
200.5, (-3852.4596879403457, 9.233623095233352, 5086.3385931022)
201.5, (-3803.959202665921, 11.215147860973723, 5222.107745632332)
202.5, (-3574.602449127156, 12.059954437059869, 4990.933587102299)
203.5, (-3591.285799118614, 11.241219715602854, 4886.799596074693)
204.5, (-3280.3654074408623, 10.903213685097066, 4651.81459131577)
205.5, (-3277.2620498256915, 10.094286127595312, 4523.3251584156405)
206.5, (-3252.8973309460125, 11.052706952825783, 4490.042477524501)
207.5, (-2943.4115064204334, 13.83462863548863, 4460.542887407765)
208.5, (-2852.873849939854, 13.441535353111538, 4314.321985819901)
209.5, (-2770.647658320093, 12.668838060854261, 4088.9279740788884)
210.5, (-2635.289615130182, 15.720268530120114, 4078.2154437057716)
211.5, (-2588.905568343714, 16.773448621193094, 4122.731368823387)
212.5, (-2746.756169707251, 10.937318737031463, 3854.6760876852704)
213.5, (-2497.5164676975432, 13.186647079329697, 3741.6356788528606)
214.5, (-2538.2354572634176, 13.048549871566452, 3765.2803936913974)
215.5, (-2555.017097175046, 17.00087945444702, 3930.6218618611056)
216.5, (-2403.7763331840138, 11.273904807575262, 3536.1003601165175)
217.5, (-2206.940441138418, 11.074566867325306, 3339.5121150973882)
218.5, (-2236.0364297567044, 10.96038391589179, 3260.8687620059277)
219.5, (-2097.0747193908715, 11.58649755190276, 3195.06470666569)
220.5, (-2152.6429865977693, 9.58515714799848, 3128.983956359473)
221.5, (-2018.9839677880389, 12.057499497147248, 3158.875437782717)
