1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 71770.055),(2 174475.55),(3 357095.25),(4 497409.28),(5 680012.06),(6 811117.7),(7 996754.7),(8 1152444.5),(9 1348501.5),(10 1501510.4),(11 1707556.6),(12 1836103),(13 1997552.6),(14 2094822),(15 2276695.3),(16 2421117.8),(17 2608228.3),(18 2760726.3),(19 2953795.8),(20 3114870.8),(21 3343533.3),(22 3510281),(23 3770971),(24 3935649.3),(25 4243422),(26 4477555),(27 4833978.5),(28 5138475.5),(29 5468688.5),(30 5747243.5),(31 6214976.5),(32 6613109.5),(33 7001466),(34 7320456),(35 7769868),(36 8091064),(37 8587268),(38 9057361),(39 9606148),(40 10244443),(41 11149468),(42 12012760),(43 12885420),(44 13616697),(45 14420821),(46 15178003),(47 16233383),(48 17243866),(49 18232080),(50 19365584),(51 20504878),(52 21565810),(53 22721186),(54 23979272),(55 25172806),(56 26331106),(57 27771720),(58 29109776),(59 30409022),(60 31409888),(61 32562712),(62 33461888),(63 34290020),(64 35113356),(65 36078252),(66 37023796),(67 38227644),(68 39311580),(69 40334820),(70 41146764),(71 41420224),(72 41608116),(73 42027264),(74 42312716),(75 42779284),(76 42991948),(77 43082676),(78 43151200),(79 43266076),
(1 47392.355),(2 155463.22),(3 314737.4),(4 501649.9),(5 710718.8),(6 939085.8),(7 1192037.4),(8 1468752.3),(9 1771927.3),(10 2095873.4),(11 2445274.5),(12 2815002.5),(13 3173460.3),(14 3515820),(15 3909438.8),(16 4271963),(17 4624512),(18 4940269.5),(19 5240286.5),(20 5550065),(21 5807886.5),(22 6069127),(23 6367384),(24 6640211),(25 6923817.5),(26 7233246.5),(27 7540517),(28 7890465.5),(29 8176025.5),(30 8434875),(31 8719138),(32 8974366),(33 9181926),(34 9371054),(35 9603905),(36 9844064),(37 10184490),(38 10556728),(39 11010178),(40 11603974),(41 12307438),(42 13018806),(43 13727250),(44 14414880),(45 15146874),(46 15948958),(47 16825658),(48 17702332),(49 18622244),(50 19545404),(51 20445056),(52 21341636),(53 22254490),(54 23223254),(55 24096002),(56 24942128),(57 25889354),(58 26853292),(59 27798006),(60 28534772),(61 29270144),(62 29982900),(63 30648704),(64 31312288),(65 32100252),(66 32984756),(67 34036780),(68 35049000),(69 36088904),(70 36976010),(71 37452236),(72 37976130),(73 38708630),(74 39474520),(75 40644932),(76 41610024),(77 42542950),(78 43452064),(79 44255720),
(1 53980.01),(2 185116.61),(3 392612.53),(4 652164.56),(5 980065.8),(6 1348543.6),(7 1802481.4),(8 2308218.8),(9 2821729.3),(10 3389276.8),(11 3982046),(12 4614082),(13 5245142.5),(14 5843878.5),(15 6517048),(16 7167005.5),(17 7795014),(18 8425081),(19 9054925),(20 9708036),(21 10316067),(22 10930272),(23 11578373),(24 12168155),(25 12930676),(26 13622275),(27 14368069),(28 15105827),(29 15806720),(30 16502048),(31 17202650),(32 17856598),(33 18464732),(34 19026336),(35 19661488),(36 20223858),(37 20845678),(38 21493142),(39 22162422),(40 22902102),(41 23661094),(42 24366688),(43 25092968),(44 25687098),(45 26303186),(46 26797306),(47 27263186),(48 27635680),(49 27965074),(50 28074432),(51 28239066),(52 28389158),(53 28513904),(54 28590800),(55 28704326),(56 28755154),(57 28756774),(58 28714086),(59 28634502),(60 28436298),(61 28326410),(62 28177526),(63 28036246),(64 27820390),(65 27684214),(66 27538810),(67 27495000),(68 27468086),(69 27351168),(70 27041408),(71 26716330),(72 26402206),(73 26113344),(74 25882566),(75 25748840),(76 25537816),(77 25367582),(78 25253490),(79 25207434),
(1 62177.367),(2 212438.19),(3 450968.5),(4 758202.75),(5 1142664.3),(6 1579928.1),(7 2098085.3),(8 2683249),(9 3305746.8),(10 3943900),(11 4635801),(12 5345645.5),(13 6098009),(14 6821314.5),(15 7605416),(16 8354940.5),(17 9091922),(18 9769316),(19 10422332),(20 11021196),(21 11569662),(22 12105146),(23 12680261),(24 13254124),(25 13882052),(26 14489460),(27 15109109),(28 15731716),(29 16385568),(30 17018136),(31 17638226),(32 18225484),(33 18777232),(34 19282494),(35 19909822),(36 20472572),(37 21003406),(38 21506140),(39 21963166),(40 22525560),(41 23100264),(42 23609712),(43 24178122),(44 24587012),(45 24979112),(46 25413890),(47 25680508),(48 26047214),(49 26444898),(50 26698968),(51 26935126),(52 27132868),(53 27277178),(54 27388362),(55 27495704),(56 27513128),(57 27532460),(58 27573080),(59 27625428),(60 27666304),(61 27828188),(62 27989678),(63 28069046),(64 28041000),(65 28073760),(66 28251372),(67 28479096),(68 28782532),(69 28892196),(70 28788392),(71 28517654),(72 28192722),(73 27976448),(74 27773560),(75 27684222),(76 27487484),(77 27424968),(78 27437878),(79 27558728),
(1 64975.49),(2 224925.77),(3 471485),(4 795692.4),(5 1182220.9),(6 1635421.6),(7 2180516.8),(8 2788824.8),(9 3480735.3),(10 4194747.5),(11 4969178),(12 5723164.5),(13 6534915.5),(14 7307120),(15 8162187.5),(16 8987793),(17 9819854),(18 10611290),(19 11370851),(20 12048572),(21 12685769),(22 13272125),(23 13884957),(24 14504832),(25 15139420),(26 15735517),(27 16317530),(28 16849120),(29 17291500),(30 17716222),(31 18128312),(32 18478674),(33 18836136),(34 19163932),(35 19560342),(36 19927878),(37 20244524),(38 20564482),(39 20814140),(40 21098828),(41 21335016),(42 21585810),(43 21820084),(44 21995854),(45 22160370),(46 22309276),(47 22393492),(48 22549150),(49 22730816),(50 22883552),(51 23076826),(52 23211122),(53 23371954),(54 23546478),(55 23719938),(56 23862380),(57 24041806),(58 24183186),(59 24288902),(60 24432846),(61 24633006),(62 24901300),(63 25142110),(64 25284504),(65 25553562),(66 25877682),(67 26229986),(68 26568416),(69 26811854),(70 26881710),(71 26893160),(72 26823630),(73 26771576),(74 26691102),(75 26711150),(76 26598720),(77 26498498),(78 26348930),(79 26342792),
(1 72172.14),(2 249915.6),(3 526755.44),(4 886423.4),(5 1313899.3),(6 1801835.6),(7 2372016.8),(8 3000051.5),(9 3669356.8),(10 4360748.5),(11 5058125),(12 5732553.5),(13 6444309.5),(14 7147647),(15 7863584),(16 8539030),(17 9215266),(18 9845406),(19 10472596),(20 11038149),(21 11521158),(22 11997362),(23 12482801),(24 12927194),(25 13517219),(26 13910643),(27 14317626),(28 14695376),(29 15018006),(30 15325510),(31 15678294),(32 15990557),(33 16251763),(34 16491429),(35 16747106),(36 17023958),(37 17264554),(38 17512994),(39 17679096),(40 17887750),(41 18108310),(42 18327322),(43 18521644),(44 18682916),(45 18848170),(46 18865772),(47 18841516),(48 18844628),(49 18787792),(50 18716348),(51 18644522),(52 18519174),(53 18448820),(54 18407542),(55 18370072),(56 18289324),(57 18247130),(58 18201390),(59 18122678),(60 18139320),(61 18174582),(62 18252410),(63 18252298),(64 18198372),(65 18154956),(66 18227822),(67 18378996),(68 18572242),(69 18800610),(70 18916476),(71 18943836),(72 18982660),(73 19064954),(74 19128698),(75 19240946),(76 19346288),(77 19463654),(78 19576456),(79 19769852),
(1 80362.27),(2 283276.16),(3 594736.1),(4 1010654.94),(5 1509870.5),(6 2087203.8),(7 2744804.3),(8 3462834.3),(9 4225881),(10 5020981),(11 5848027),(12 6697764.5),(13 7542775.5),(14 8375768),(15 9222066),(16 10006022),(17 10743060),(18 11433359),(19 12083175),(20 12665301),(21 13129726),(22 13548103),(23 13894798),(24 14189802),(25 14557913),(26 14748087),(27 14955156),(28 15116811),(29 15270011),(30 15437714),(31 15645095),(32 15818582),(33 15985745),(34 16176878),(35 16392950),(36 16620726),(37 16832428),(38 16978954),(39 17097992),(40 17157356),(41 17189444),(42 17209880),(43 17222816),(44 17179522),(45 17122418),(46 17012798),(47 16910882),(48 16783410),(49 16632175),(50 16475862),(51 16311675),(52 16108796),(53 15946164),(54 15817813),(55 15732507),(56 15650132),(57 15593105),(58 15481084),(59 15399424),(60 15333326),(61 15274337),(62 15220107),(63 15160310),(64 15106325),(65 15116167),(66 15162823),(67 15244245),(68 15375008),(69 15486159),(70 15523502),(71 15574756),(72 15637348),(73 15717019),(74 15823114),(75 15961788),(76 16125567),(77 16285874),(78 16467588),(79 16693273),
(1 91756.55),(2 327676.78),(3 706273.75),(4 1200070.9),(5 1795909.4),(6 2477525.5),(7 3224314.8),(8 4024892.8),(9 4862486.5),(10 5724792),(11 6602084.5),(12 7450430.5),(13 8282133.5),(14 9098385),(15 9919210),(16 10665555),(17 11385690),(18 11994129),(19 12567213),(20 13059410),(21 13476651),(22 13818271),(23 14081158),(24 14246491),(25 14468673),(26 14549991),(27 14613931),(28 14652228),(29 14616432),(30 14548437),(31 14492413),(32 14407019),(33 14348145),(34 14309036),(35 14340553),(36 14421093),(37 14529483),(38 14679569),(39 14887381),(40 15127083),(41 15350797),(42 15580881),(43 15771875),(44 15966353),(45 16166553),(46 16341995),(47 16559537),(48 16759120),(49 16989224),(50 17276258),(51 17502172),(52 17654654),(53 17840022),(54 18018400),(55 18186076),(56 18315862),(57 18380766),(58 18404090),(59 18393238),(60 18340960),(61 18244478),(62 18165500),(63 18113868),(64 18075402),(65 18107776),(66 18106722),(67 18149044),(68 18229052),(69 18234550),(70 18206422),(71 18153204),(72 18130386),(73 17992096),(74 17850728),(75 17703538),(76 17572874),(77 17447064),(78 17315742),(79 17166526),
(1 83964.9),(2 295224.34),(3 623126.25),(4 1040229.44),(5 1525615.4),(6 2059689.4),(7 2653116.8),(8 3262503),(9 3910393.3),(10 4576190.5),(11 5218516),(12 5825997),(13 6389726.5),(14 6911777),(15 7457175),(16 7971527.5),(17 8516240),(18 9023533),(19 9522674),(20 10003474),(21 10434249),(22 10850449),(23 11242042),(24 11619411),(25 12025699),(26 12412682),(27 12786756),(28 13120962),(29 13406302),(30 13704224),(31 13995424),(32 14275906),(33 14554153),(34 14861316),(35 15147143),(36 15420141),(37 15690171),(38 15955245),(39 16191482),(40 16408503),(41 16537299),(42 16671725),(43 16761747),(44 16847616),(45 16917872),(46 16960834),(47 16960512),(48 16901026),(49 16834754),(50 16821678),(51 16727529),(52 16591432),(53 16459552),(54 16307053),(55 16193651),(56 16059407),(57 15891287),(58 15784785),(59 15734970),(60 15687995),(61 15668602),(62 15667144),(63 15716557),(64 15805775),(65 15946536),(66 16095586),(67 16237933),(68 16462483),(69 16684207),(70 16972880),(71 17236958),(72 17422576),(73 17517584),(74 17495172),(75 17416976),(76 17319670),(77 17160140),(78 16962566),(79 16757576),
(1 80221.484),(2 283273.34),(3 597866.25),(4 1001645.25),(5 1465600.4),(6 1985804.5),(7 2527175.5),(8 3095390.3),(9 3676454.5),(10 4248265.5),(11 4804022),(12 5272741.5),(13 5693038.5),(14 6046263.5),(15 6380167),(16 6648777),(17 6884440.5),(18 7087039),(19 7276474),(20 7443642),(21 7585233),(22 7711520),(23 7840682.5),(24 7977145),(25 8150418.5),(26 8310865),(27 8475186),(28 8646597),(29 8833480),(30 9028098),(31 9234611),(32 9430912),(33 9666169),(34 9919216),(35 10176100),(36 10435619),(37 10698023),(38 10958160),(39 11179195),(40 11395500),(41 11601195),(42 11840892),(43 12068658),(44 12262608),(45 12426793),(46 12574800),(47 12652892),(48 12711653),(49 12775250),(50 12826500),(51 12858530),(52 12870104),(53 12862356),(54 12852628),(55 12864629),(56 12874938),(57 12889278),(58 12970677),(59 13046869),(60 13102612),(61 13157484),(62 13210588),(63 13271139),(64 13341365),(65 13437712),(66 13525541),(67 13666443),(68 13874438),(69 14080205),(70 14249687),(71 14381477),(72 14529047),(73 14714718),(74 14887001),(75 15119339),(76 15282910),(77 15436878),(78 15568738),(79 15665184),
(1 94269.13),(2 339123.5),(3 711374.5),(4 1186049.9),(5 1724133.9),(6 2316595.3),(7 2929996.8),(8 3578914),(9 4229425),(10 4874035),(11 5512672.5),(12 6088223),(13 6646915),(14 7152333.5),(15 7592528),(16 7940676.5),(17 8187162.5),(18 8328676),(19 8439716),(20 8461975),(21 8441045),(22 8378099),(23 8270215.5),(24 8115851.5),(25 8043729),(26 7938836.5),(27 7850397),(28 7796832),(29 7792668),(30 7779620),(31 7763924),(32 7779933.5),(33 7814872),(34 7875170.5),(35 7957640.5),(36 8039877.5),(37 8127557.5),(38 8226675),(39 8344211),(40 8503347),(41 8671524),(42 8847438),(43 9031982),(44 9197869),(45 9353707),(46 9475794),(47 9617341),(48 9722476),(49 9832361),(50 9981818),(51 10108019),(52 10236124),(53 10364992),(54 10495343),(55 10614920),(56 10661003),(57 10737262),(58 10786402),(59 10776184),(60 10763680),(61 10742888),(62 10770296),(63 10839074),(64 10935755),(65 11096155),(66 11282110),(67 11491624),(68 11702251),(69 11935100),(70 12137800),(71 12402394),(72 12651459),(73 12823356),(74 12898945),(75 12949958),(76 12919775),(77 12919578),(78 12850510),(79 12764698),
