1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 12860.938),(2 27611.451),(3 42855.645),(4 61117.395),(5 81446.555),(6 98298.48),(7 123663.57),(8 146732.06),(9 167412.67),(10 192043.42),(11 226891.95),(12 260608.25),(13 299021.6),(14 343265.4),(15 394633.53),(16 444870.66),(17 498435.13),(18 554134.7),(19 613476.3),(20 683080.7),(21 748689.2),(22 811712.2),(23 895224.06),(24 972018.44),(25 1037178),(26 1115263.3),(27 1195776.8),(28 1315608.1),(29 1417192),(30 1520358.4),(31 1609879.6),(32 1712175.4),(33 1819316.1),(34 1909731.1),(35 2020226.9),(36 2128712.3),(37 2205256),(38 2329578),(39 2440732),(40 2535689.3),(41 2671561.3),(42 2786066),(43 2888218.8),(44 2995977),(45 3094310.8),(46 3202283.8),(47 3322839),(48 3453279),(49 3525089.8),(50 3645273),(51 3745680.8),(52 3842706),(53 4040417.3),(54 4173726),(55 4340396),(56 4476316.5),(57 4582003.5),(58 4787061.5),(59 4926249.5),(60 5105649.5),(61 5310391),(62 5503062),(63 5642558.5),(64 5849644),(65 6014166.5),(66 6154524),(67 6336106),(68 6482628.5),(69 6610004.5),(70 6758652.5),(71 6880908),(72 6994536),(73 7150692),(74 7253543.5),(75 7353554),(76 7460964),(77 7536919.5),(78 7692979.5),(79 7775392),
(1 8698.146),(2 23698.578),(3 50270.43),(4 80019.44),(5 117916.586),(6 156919.53),(7 197519.47),(8 244950.2),(9 290140.8),(10 336864.9),(11 388847.8),(12 446796.9),(13 502283.3),(14 568159.2),(15 638771.9),(16 710457.3),(17 782653.5),(18 860379.9),(19 938895.4),(20 1024782.3),(21 1106347.6),(22 1178976.4),(23 1260177.1),(24 1331499.4),(25 1400407.3),(26 1474794),(27 1553422.3),(28 1651834.3),(29 1728262.4),(30 1815806.8),(31 1902676.4),(32 1992912.4),(33 2092506.3),(34 2177792.8),(35 2266416.8),(36 2352743.5),(37 2437992.3),(38 2521866.5),(39 2604578.3),(40 2686648.5),(41 2788103.5),(42 2873974.5),(43 2983373.3),(44 3073875.5),(45 3178986.5),(46 3285621.5),(47 3387260.8),(48 3509458),(49 3608714.5),(50 3702622.8),(51 3783842.5),(52 3886018),(53 4013670.5),(54 4112459.3),(55 4224837),(56 4327311),(57 4427790.5),(58 4548630.5),(59 4659745),(60 4805430.5),(61 4945167.5),(62 5093449),(63 5227476),(64 5369394.5),(65 5521573.5),(66 5674566.5),(67 5837216.5),(68 5982252),(69 6127104),(70 6249905.5),(71 6373973),(72 6515653.5),(73 6664272),(74 6811385.5),(75 6958201.5),(76 7096885),(77 7214726.5),(78 7305278.5),(79 7416485.5),
(1 7409.168),(2 20147.053),(3 49042.918),(4 77380.72),(5 114542.71),(6 155548.39),(7 206206.02),(8 259768.95),(9 316501.13),(10 374617.34),(11 436837.9),(12 503547.53),(13 573521.6),(14 649951.06),(15 729167.56),(16 807233.2),(17 884133.2),(18 967562.5),(19 1050469.5),(20 1134686.4),(21 1221150.9),(22 1307918.9),(23 1399702),(24 1481164.4),(25 1562294.6),(26 1646307),(27 1735230.1),(28 1827653.4),(29 1903734),(30 1971272.1),(31 2052324.9),(32 2132233.3),(33 2212542),(34 2291019.8),(35 2370199.3),(36 2444999),(37 2534137.8),(38 2622606),(39 2721434.3),(40 2826310),(41 2937379.8),(42 3042501),(43 3167716.3),(44 3277078),(45 3398008.8),(46 3513323.3),(47 3624652),(48 3740968),(49 3855656.3),(50 3967586.3),(51 4084994.8),(52 4216976.5),(53 4341293),(54 4449130.5),(55 4564031),(56 4653281.5),(57 4740917.5),(58 4833269.5),(59 4912593.5),(60 5018807.5),(61 5117394),(62 5222229.5),(63 5330004.5),(64 5435591),(65 5558444.5),(66 5673412.5),(67 5799821.5),(68 5927784),(69 6058861.5),(70 6167295.5),(71 6277947.5),(72 6389397.5),(73 6492437.5),(74 6603150.5),(75 6722040),(76 6836803.5),(77 6942264),(78 7029009.5),(79 7141728),
(1 9988.134),(2 29447.299),(3 71325.29),(4 114824.36),(5 167768.56),(6 228090.69),(7 295827.88),(8 367590.03),(9 446566.97),(10 529096.3),(11 615587.5),(12 706498.94),(13 799404.75),(14 896272.8),(15 994462.7),(16 1094314.3),(17 1189044.6),(18 1283331.8),(19 1371358.4),(20 1455646.6),(21 1542080),(22 1626243.1),(23 1713319.4),(24 1781493),(25 1850252.8),(26 1922262.9),(27 1996233.4),(28 2087347.1),(29 2156554.8),(30 2220616.5),(31 2283258.8),(32 2342875),(33 2397035),(34 2448845.3),(35 2495380.5),(36 2541355),(37 2592473.8),(38 2640137.3),(39 2692247.5),(40 2741585.8),(41 2797107),(42 2853472.5),(43 2910800),(44 2964469.8),(45 3015745),(46 3059917),(47 3109007.8),(48 3154411),(49 3191588.3),(50 3243394),(51 3292128),(52 3344735.5),(53 3412839),(54 3463768.5),(55 3517025.3),(56 3556826.3),(57 3603321.8),(58 3645809.3),(59 3679003.8),(60 3710969.3),(61 3744797),(62 3777477.3),(63 3812823),(64 3850256),(65 3893646.3),(66 3952064.5),(67 4014949.3),(68 4077014.8),(69 4148134.3),(70 4218032),(71 4281989.5),(72 4349464.5),(73 4416483.5),(74 4466786.5),(75 4539537),(76 4617012.5),(77 4708730),(78 4814175),(79 4919327),
(1 8386.02),(2 24319.555),(3 53004.6),(4 84877.336),(5 123849.76),(6 168934.9),(7 218590.39),(8 268965.4),(9 323286.56),(10 382921.28),(11 439315.7),(12 497291.03),(13 557096.6),(14 613336.94),(15 672488.44),(16 735710.56),(17 794163.75),(18 854153.56),(19 911517.6),(20 971832.44),(21 1036415.6),(22 1101145.4),(23 1166104.5),(24 1226984.4),(25 1282250.9),(26 1341437.4),(27 1393096.9),(28 1464046.8),(29 1514301.9),(30 1569519.6),(31 1620800.8),(32 1666951.6),(33 1710512),(34 1759257.9),(35 1799138.5),(36 1838857.9),(37 1881746.1),(38 1924500),(39 1956128.8),(40 1988501.5),(41 2026132),(42 2057049.1),(43 2097401),(44 2140658.8),(45 2187780.3),(46 2244497.8),(47 2295047.8),(48 2354788),(49 2408666.3),(50 2470611.3),(51 2518407.3),(52 2562397),(53 2611891.3),(54 2667153.5),(55 2719948.8),(56 2761648.3),(57 2805373),(58 2850583.8),(59 2888515.3),(60 2929517.8),(61 2970468.8),(62 3007743),(63 3042646.3),(64 3085597),(65 3132292.3),(66 3182397),(67 3235360.8),(68 3279080),(69 3336706.3),(70 3404377.5),(71 3477021.8),(72 3548655.3),(73 3622024.8),(74 3700832),(75 3766042.3),(76 3845751.3),(77 3924468),(78 4031961.5),(79 4127213.5),
(1 8911.072),(2 26548.662),(3 60631.99),(4 97194.12),(5 139221.56),(6 186852.88),(7 242176),(8 298118.75),(9 360215.56),(10 425977.7),(11 492475.4),(12 563664.9),(13 637519.8),(14 710649),(15 784414.8),(16 860737),(17 937238.8),(18 1017834.6),(19 1092587.8),(20 1170510.8),(21 1238253.8),(22 1309043.8),(23 1370181),(24 1420635.6),(25 1473670.8),(26 1526873.4),(27 1573557.1),(28 1640810.8),(29 1692079.6),(30 1742821.4),(31 1787223.8),(32 1836424),(33 1888750.8),(34 1942370.6),(35 1994662.6),(36 2040765.3),(37 2099616.8),(38 2148760.5),(39 2195354),(40 2238016.8),(41 2285916),(42 2327019.8),(43 2366658.8),(44 2417042.5),(45 2470763.3),(46 2527984.5),(47 2578428.5),(48 2630823),(49 2662592.3),(50 2704316),(51 2736083),(52 2768992.5),(53 2787788.8),(54 2814381.5),(55 2842019.5),(56 2859725.5),(57 2884000.5),(58 2906593.5),(59 2932713.3),(60 2976264),(61 3015326.3),(62 3065307.5),(63 3095157),(64 3141213.5),(65 3180677.3),(66 3222029.5),(67 3262761),(68 3293837.5),(69 3336658.8),(70 3385340),(71 3424777.5),(72 3465501.5),(73 3497253.5),(74 3535872),(75 3565267.3),(76 3597853.5),(77 3626236.5),(78 3665044),(79 3697488),
(1 12013.891),(2 38582.234),(3 85603.34),(4 141711.97),(5 210577.17),(6 287405.53),(7 369039.5),(8 455085.2),(9 544120.5),(10 640666.8),(11 733777.7),(12 827183.56),(13 917354.25),(14 1001808.94),(15 1087418.8),(16 1163840.8),(17 1239533.5),(18 1311279.8),(19 1373469.4),(20 1434362.6),(21 1487476.1),(22 1539002.8),(23 1582461.5),(24 1618453.3),(25 1654787.8),(26 1684078),(27 1722544.6),(28 1775360.1),(29 1822662.3),(30 1867302.1),(31 1915337.4),(32 1964666.3),(33 2014732.8),(34 2065657.3),(35 2124722.3),(36 2178363.3),(37 2237826.3),(38 2297610.3),(39 2355066),(40 2417802.5),(41 2481524.3),(42 2541322),(43 2597913),(44 2661763.8),(45 2730142.3),(46 2796894.8),(47 2860540.3),(48 2924732.3),(49 2971408),(50 3024667.8),(51 3082025.5),(52 3143336),(53 3201109),(54 3252258.8),(55 3300889.8),(56 3351017.8),(57 3397453.8),(58 3445881.8),(59 3488384),(60 3546389.8),(61 3589119.5),(62 3635763.8),(63 3679642.5),(64 3726474.5),(65 3782544.3),(66 3827183.8),(67 3875229.5),(68 3932910.3),(69 3986080.3),(70 4029534.5),(71 4071660.5),(72 4115922.5),(73 4147220.3),(74 4176171.5),(75 4206363.5),(76 4227815),(77 4239342),(78 4270841),(79 4287477.5),
(1 12163.666),(2 38502.77),(3 79636.41),(4 129668.4),(5 187709.53),(6 254234.45),(7 322909.88),(8 395759.8),(9 467979),(10 543218.1),(11 617302.56),(12 693881.75),(13 767793.75),(14 839928),(15 911258),(16 980729.44),(17 1049792.3),(18 1115956.4),(19 1176495.5),(20 1240504.9),(21 1296595.4),(22 1359304.9),(23 1420819.3),(24 1479808),(25 1540630.6),(26 1605654.6),(27 1667301.6),(28 1739872.8),(29 1804559.5),(30 1862470.4),(31 1919339.3),(32 1975374.1),(33 2025299.9),(34 2077673.8),(35 2130857.5),(36 2180498.8),(37 2232393.5),(38 2273529.3),(39 2312631.3),(40 2346915.8),(41 2384773.5),(42 2416274.3),(43 2451688.3),(44 2485344),(45 2526195.8),(46 2561577.5),(47 2588692.8),(48 2612678.8),(49 2634840.3),(50 2665159),(51 2692797.8),(52 2728883.8),(53 2777461.8),(54 2816665.5),(55 2859729),(56 2905058.5),(57 2949303),(58 3002776.5),(59 3044745),(60 3094047.3),(61 3146193.5),(62 3197509.5),(63 3246628.8),(64 3300444.3),(65 3355116.3),(66 3394228.8),(67 3442476.8),(68 3496113.5),(69 3552439),(70 3612835.3),(71 3675024.3),(72 3738006.5),(73 3809389.3),(74 3872905),(75 3946101.3),(76 4019991),(77 4082412.5),(78 4156494.3),(79 4221891.5),
(1 13494.49),(2 45068.2),(3 97371.8),(4 160538.64),(5 234924.94),(6 315105.75),(7 403028.66),(8 499921.75),(9 596827.4),(10 699221.4),(11 803379.94),(12 906463.6),(13 1009573.44),(14 1111745.8),(15 1208746.3),(16 1299717.6),(17 1397717),(18 1488323),(19 1576058.4),(20 1666438),(21 1749513.6),(22 1842746.1),(23 1938949.1),(24 2027693.1),(25 2122484.3),(26 2215441),(27 2306421.8),(28 2403939.8),(29 2489536),(30 2561280.5),(31 2628338),(32 2694044.5),(33 2748900),(34 2810997.3),(35 2874871),(36 2932101.3),(37 2985747.3),(38 3021649.5),(39 3049886.8),(40 3076557.3),(41 3101283),(42 3116599),(43 3139729.3),(44 3162321.8),(45 3196565.3),(46 3221691.8),(47 3248098.8),(48 3263345),(49 3278603.5),(50 3300359.5),(51 3333041),(52 3361648),(53 3399667.8),(54 3431955.8),(55 3473763),(56 3519818),(57 3563131),(58 3609102.3),(59 3651749.5),(60 3707144.5),(61 3764977),(62 3826066),(63 3893952.8),(64 3954810.3),(65 4013999.5),(66 4066738.8),(67 4124267.3),(68 4169514),(69 4222536.5),(70 4275975),(71 4322415),(72 4364848),(73 4411529.5),(74 4465308),(75 4520007.5),(76 4586189),(77 4653135),(78 4716843),(79 4777789.5),
(1 13889.182),(2 45589.17),(3 100014.63),(4 164862.22),(5 241804),(6 328027.6),(7 419595.5),(8 518494.06),(9 615150.25),(10 715654.56),(11 823015.25),(12 924466.3),(13 1025023.7),(14 1120029.4),(15 1209744),(16 1288969.8),(17 1366698.4),(18 1434921.1),(19 1494907.4),(20 1557106.6),(21 1612185.4),(22 1675058.6),(23 1743338.4),(24 1809190.6),(25 1877196.9),(26 1946988.9),(27 2010325.1),(28 2078043.4),(29 2135864.5),(30 2184867.5),(31 2228758.8),(32 2265472.5),(33 2295146.3),(34 2321880.8),(35 2345741.8),(36 2363421.8),(37 2376821),(38 2377243.3),(39 2378724.8),(40 2382350),(41 2395189.8),(42 2406204),(43 2425791),(44 2440546.3),(45 2473046.8),(46 2501079.5),(47 2535469.5),(48 2569613),(49 2607040.8),(50 2654530.3),(51 2702220.5),(52 2745954.3),(53 2783607.5),(54 2821796.8),(55 2873108.3),(56 2929769.8),(57 2980529),(58 3036096.8),(59 3098123.5),(60 3163518.5),(61 3228590),(62 3290724),(63 3353500),(64 3406956.8),(65 3459911.5),(66 3518663.5),(67 3575640),(68 3630844.3),(69 3686851),(70 3744772.5),(71 3808688),(72 3873277),(73 3933145.3),(74 3996827.5),(75 4060409),(76 4133705.8),(77 4209607.5),(78 4268793),(79 4338545),
(1 15559.04),(2 52151.68),(3 112352.555),(4 186932.08),(5 277635.47),(6 378609.75),(7 487705.84),(8 600869.8),(9 716086),(10 830366.3),(11 945387.25),(12 1049439.5),(13 1148567),(14 1229905.6),(15 1300277.5),(16 1357887),(17 1407522.9),(18 1446501),(19 1476749),(20 1506253.1),(21 1527257.1),(22 1553641.6),(23 1580375.8),(24 1612518.1),(25 1644580.3),(26 1681471.6),(27 1705967.9),(28 1728541.3),(29 1744905.8),(30 1751419.3),(31 1753905.4),(32 1750644),(33 1743843.5),(34 1731987.8),(35 1720926.6),(36 1712486.3),(37 1705442.6),(38 1700151.6),(39 1697863.5),(40 1700471),(41 1713217.9),(42 1732756.5),(43 1760114.9),(44 1791159.5),(45 1823806.9),(46 1857600.8),(47 1892404.1),(48 1933853),(49 1982475.3),(50 2027249.1),(51 2075276.8),(52 2118733),(53 2152660.3),(54 2189448),(55 2232820.8),(56 2271655.5),(57 2301775),(58 2327470),(59 2355250.3),(60 2384526.8),(61 2407698),(62 2426891.8),(63 2444954.3),(64 2459988.5),(65 2473344),(66 2492677.8),(67 2501075.5),(68 2514751.5),(69 2529121),(70 2544562.8),(71 2560821.3),(72 2576912.3),(73 2594240.3),(74 2615611),(75 2635742),(76 2662227.3),(77 2688601),(78 2711749.5),(79 2741661.3),
