1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 36746.113),(2 86693.195),(3 126745.41),(4 196508.7),(5 286760.66),(6 368378.28),(7 438626.78),(8 515874.9),(9 602929),(10 675608.2),(11 772574.44),(12 882677.94),(13 1006610.25),(14 1091950.5),(15 1222726.9),(16 1343074.8),(17 1436147.6),(18 1559747.1),(19 1729670.9),(20 1863845.6),(21 2009075.9),(22 2182297.3),(23 2339302.5),(24 2447421.3),(25 2502079),(26 2621265.5),(27 2714797.3),(28 2805408.8),(29 2909955.3),(30 3025886.3),(31 3040899),(32 3126482.8),(33 3225879),(34 3244214.3),(35 3280135.8),(36 3339414.3),(37 3400813.3),(38 3494529.8),(39 3532413.8),(40 3547338.8),(41 3580378.8),(42 3567307.3),(43 3540201.3),(44 3534286.3),(45 3487323),(46 3430530),(47 3622739),(48 3659673.3),(49 3723462),(50 3805664.8),(51 3890834.8),(52 3965112),(53 4115836.8),(54 4265933.5),(55 4408875),(56 4578470.5),(57 4779373.5),(58 4962373.5),(59 5054739.5),(60 5181464.5),(61 5291148.5),(62 5371177.5),(63 5446410.5),(64 5543561.5),(65 5702208.5),(66 5775620),(67 5860457.5),(68 5920101.5),(69 5982473.5),(70 6059999.5),(71 6171492),(72 6219720.5),(73 6260489.5),(74 6307326.5),(75 6370200.5),(76 6308124.5),(77 6374781.5),(78 6421936),(79 6426604),
(1 20236.791),(2 55876.79),(3 97022.39),(4 156745.03),(5 225245.08),(6 288701.6),(7 346580.16),(8 400587.9),(9 465152.4),(10 534406.8),(11 619630.2),(12 725641.1),(13 858393.4),(14 988071.5),(15 1117593.4),(16 1250382.4),(17 1371400.6),(18 1490420),(19 1621619.5),(20 1738960.4),(21 1834340.3),(22 1928156.4),(23 2002111.4),(24 2064758),(25 2091129.3),(26 2135747.3),(27 2171069.8),(28 2206648.8),(29 2238722.5),(30 2256045.3),(31 2256647.3),(32 2252986.8),(33 2230582.8),(34 2183578),(35 2126610.3),(36 2069739.8),(37 2014699.4),(38 1970149.6),(39 1922621),(40 1877151.6),(41 1835086.4),(42 1803082.4),(43 1771570.8),(44 1750332),(45 1740114.8),(46 1765767),(47 1841782.6),(48 1880750.8),(49 1917039.8),(50 1952827.6),(51 1987523),(52 2024787.4),(53 2067874.4),(54 2116939.5),(55 2176727.3),(56 2228501.3),(57 2288147.3),(58 2341822.3),(59 2398400),(60 2455625),(61 2514495.5),(62 2579528.8),(63 2633056.5),(64 2687231.3),(65 2739242),(66 2772710.8),(67 2824486),(68 2865412.8),(69 2941243.3),(70 3000326.5),(71 3068150),(72 3119659.5),(73 3168886.3),(74 3220236),(75 3283892),(76 3321750.5),(77 3390875.5),(78 3464616),(79 3536513.5),
(1 17548.002),(2 49669.42),(3 92586.18),(4 164802.19),(5 242169.19),(6 315595.38),(7 386753.72),(8 465540.4),(9 557121.94),(10 658856.75),(11 775776.06),(12 916944.8),(13 1080561.9),(14 1224698.9),(15 1378801.9),(16 1532979.6),(17 1678855.4),(18 1830166.6),(19 1991169.6),(20 2137137.8),(21 2258260.8),(22 2389095.5),(23 2497966.3),(24 2593903.3),(25 2685018.8),(26 2774576.8),(27 2867369.3),(28 2943316.8),(29 3036910.8),(30 3113883.3),(31 3201372.3),(32 3285473.3),(33 3344598.8),(34 3393856),(35 3434761),(36 3442178),(37 3457940),(38 3487950.8),(39 3556527.3),(40 3627647.3),(41 3769086.8),(42 3884825.3),(43 3991502.8),(44 4114205.3),(45 4260231.5),(46 4413915.5),(47 4592616),(48 4737154.5),(49 4826957),(50 4933233.5),(51 5050752.5),(52 5155939.5),(53 5244463.5),(54 5318546.5),(55 5379795.5),(56 5440966),(57 5513541.5),(58 5580070.5),(59 5645533.5),(60 5700846),(61 5762453.5),(62 5793948),(63 5806524.5),(64 5806660.5),(65 5802100.5),(66 5765289.5),(67 5765164.5),(68 5758179.5),(69 5788459.5),(70 5822118.5),(71 5867044.5),(72 5885965.5),(73 5911830),(74 5940638.5),(75 5981896.5),(76 5961164),(77 5953688),(78 5947706.5),(79 5926302),
(1 21060.268),(2 62261.715),(3 117676.04),(4 201302.78),(5 304955.1),(6 411326.34),(7 520230.22),(8 641583.9),(9 782264.75),(10 943121.75),(11 1128859),(12 1339311.6),(13 1588307.1),(14 1817387.6),(15 2064564.9),(16 2298032.5),(17 2522437),(18 2762308.3),(19 3017675),(20 3263230.3),(21 3478270.3),(22 3681552),(23 3857162.8),(24 4014243.5),(25 4142126.3),(26 4244493),(27 4348088.5),(28 4448599.5),(29 4574784),(30 4681046),(31 4781857),(32 4869496),(33 4936346),(34 5002035.5),(35 5066825),(36 5101078.5),(37 5158929),(38 5230468.5),(39 5335841),(40 5425849),(41 5572662.5),(42 5688392.5),(43 5800210.5),(44 5920442.5),(45 6049397),(46 6210250.5),(47 6438100),(48 6604439),(49 6752964),(50 6929385),(51 7152697),(52 7367824),(53 7558253.5),(54 7737188.5),(55 7894371.5),(56 8052787.5),(57 8211340.5),(58 8359488),(59 8484331),(60 8609920),(61 8733959),(62 8827141),(63 8885243),(64 8940066),(65 8979986),(66 9029866),(67 9091121),(68 9127435),(69 9255606),(70 9357036),(71 9454937),(72 9536484),(73 9614724),(74 9669468),(75 9695504),(76 9715502),(77 9709360),(78 9698234),(79 9701328),
(1 23566.592),(2 73309.38),(3 138059.33),(4 227027.25),(5 332876.38),(6 441602),(7 549290.94),(8 661293.6),(9 777683.6),(10 895834.94),(11 1028698.75),(12 1168372.5),(13 1325575.9),(14 1469297.5),(15 1610253.3),(16 1734696.8),(17 1845464.9),(18 1954167.1),(19 2076189.1),(20 2171908.3),(21 2232321.8),(22 2281889.8),(23 2319582.5),(24 2341306.3),(25 2337993.8),(26 2324098.8),(27 2305804.8),(28 2304744.3),(29 2320321),(30 2334621),(31 2366670.3),(32 2383426.5),(33 2408165),(34 2436197.5),(35 2458669.5),(36 2471932.5),(37 2497964.3),(38 2531166.3),(39 2575478.3),(40 2608463.8),(41 2641170.3),(42 2664896.5),(43 2691449.5),(44 2721141.8),(45 2751604.3),(46 2793499),(47 2910198.3),(48 2978263.8),(49 3057616.8),(50 3148573.8),(51 3269400),(52 3372375),(53 3474712),(54 3565760),(55 3646486.5),(56 3737091),(57 3827986.3),(58 3927156),(59 4000227),(60 4066083.3),(61 4136684.3),(62 4198008.5),(63 4254068),(64 4307055.5),(65 4358816.5),(66 4417152),(67 4463977),(68 4495709.5),(69 4630612.5),(70 4717559.5),(71 4805569.5),(72 4887855.5),(73 4966647.5),(74 5031355),(75 5089942.5),(76 5157385),(77 5216617.5),(78 5281236.5),(79 5361288.5),
(1 22310.432),(2 71893.05),(3 137903.6),(4 233781.17),(5 349651.63),(6 461746.06),(7 567860.56),(8 684714.44),(9 813092.06),(10 946952.4),(11 1094034.3),(12 1253991.8),(13 1464633.3),(14 1643899.6),(15 1803951.3),(16 1961552.4),(17 2103472.8),(18 2244578.5),(19 2383440.5),(20 2498838),(21 2585484.8),(22 2670944.5),(23 2741960.5),(24 2794447),(25 2815283.8),(26 2851789.8),(27 2901466.3),(28 2962400.5),(29 3016920),(30 3071435.8),(31 3149386),(32 3213897.3),(33 3276719.3),(34 3327180.5),(35 3345656.8),(36 3358694.8),(37 3380131.3),(38 3406588.5),(39 3420545.5),(40 3428010.5),(41 3421275.3),(42 3421578),(43 3410700),(44 3394624.8),(45 3383374.5),(46 3369174.5),(47 3361276.8),(48 3349493.5),(49 3314362.3),(50 3289153.3),(51 3264295.3),(52 3228527.5),(53 3184682),(54 3139347.8),(55 3089222),(56 3053230.3),(57 3021404.8),(58 2993442.5),(59 2951215.5),(60 2915266.8),(61 2882922.5),(62 2843587.3),(63 2813985.5),(64 2785127.8),(65 2760949.5),(66 2744521.8),(67 2725517.5),(68 2704213.8),(69 2691394.8),(70 2684472.5),(71 2677721.5),(72 2674526),(73 2657195.3),(74 2642226),(75 2631031.3),(76 2620552.8),(77 2610494),(78 2599503.5),(79 2595052),
(1 22538.611),(2 72442.86),(3 138988.6),(4 249484.94),(5 397610.38),(6 544245.2),(7 684256.75),(8 835766.94),(9 1003486.75),(10 1182265.4),(11 1369252.3),(12 1567050.8),(13 1803741.1),(14 2005549.9),(15 2187056),(16 2351807),(17 2488814.5),(18 2611334.3),(19 2709163),(20 2782261.3),(21 2830456),(22 2877023.5),(23 2908168.5),(24 2922820),(25 2946795),(26 2970198.8),(27 2999101.5),(28 3031138.3),(29 3061949.8),(30 3090240.3),(31 3137725),(32 3181265.3),(33 3225400),(34 3280479.8),(35 3351829),(36 3421764),(37 3512663),(38 3610956.3),(39 3727772),(40 3839055.5),(41 3994017.5),(42 4124639.8),(43 4266143.5),(44 4406693),(45 4549940.5),(46 4712639),(47 4886132),(48 5038509),(49 5144308.5),(50 5267722.5),(51 5398376),(52 5523366),(53 5629397.5),(54 5722711),(55 5797400.5),(56 5848815),(57 5895658.5),(58 5918604.5),(59 5867635),(60 5835014),(61 5797648),(62 5724153),(63 5640563.5),(64 5547090.5),(65 5436796.5),(66 5323037.5),(67 5199909),(68 5067616.5),(69 4876841.5),(70 4731213.5),(71 4585685.5),(72 4440242),(73 4284928.5),(74 4130107.5),(75 3979384.3),(76 3831173.3),(77 3694029.8),(78 3559916.3),(79 3437112.5),
(1 25057.365),(2 83490.055),(3 164175.14),(4 293464.4),(5 457780.28),(6 624120.7),(7 790952),(8 965209.75),(9 1156521.6),(10 1357557.6),(11 1550444.6),(12 1741521.8),(13 1969449.1),(14 2165359.3),(15 2353239),(16 2522372),(17 2671136),(18 2816060.8),(19 2945970.3),(20 3059754.5),(21 3168742.5),(22 3289429),(23 3379762.5),(24 3458930.3),(25 3538658.3),(26 3616682.3),(27 3689376.5),(28 3756310.5),(29 3826187.8),(30 3896982.5),(31 3993932.3),(32 4100252.5),(33 4192267),(34 4275719),(35 4346664.5),(36 4395702),(37 4432824.5),(38 4459559.5),(39 4475519),(40 4482120.5),(41 4483886),(42 4486787),(43 4504131.5),(44 4518845.5),(45 4533125),(46 4553439),(47 4550026.5),(48 4562869.5),(49 4559426.5),(50 4563555.5),(51 4577606.5),(52 4577335.5),(53 4571211),(54 4564295),(55 4552719),(56 4549109.5),(57 4543434),(58 4547913.5),(59 4528033.5),(60 4529420.5),(61 4526665),(62 4525077),(63 4531607.5),(64 4532660.5),(65 4545930.5),(66 4565531),(67 4593858.5),(68 4637435.5),(69 4702549),(70 4753244.5),(71 4800846.5),(72 4850936.5),(73 4907463.5),(74 4969103),(75 5042742.5),(76 5148090.5),(77 5237685),(78 5336176),(79 5430661.5),
(1 25682.555),(2 83856.32),(3 162469.08),(4 281545.56),(5 430531.75),(6 580387.5),(7 729917.9),(8 877749.2),(9 1028016.25),(10 1176576.6),(11 1315957.4),(12 1451221.6),(13 1622898.9),(14 1753400.1),(15 1863840.4),(16 1948479.6),(17 2016718.9),(18 2074577.4),(19 2132551),(20 2184931.8),(21 2230407.5),(22 2266382.5),(23 2290751.5),(24 2317418),(25 2332934.8),(26 2368637.3),(27 2404690),(28 2445019.3),(29 2483087),(30 2526774),(31 2579452),(32 2635430),(33 2683106),(34 2708419.8),(35 2720567),(36 2726992),(37 2733077.8),(38 2733635.3),(39 2723210),(40 2719556.8),(41 2713944),(42 2714171.8),(43 2733055.8),(44 2760608.8),(45 2796262.5),(46 2835918.3),(47 2872741.8),(48 2904265),(49 2936035.8),(50 2963469.3),(51 2991091.5),(52 3010665.5),(53 3020274.8),(54 3038888.5),(55 3053830),(56 3078677.5),(57 3098774.5),(58 3123581),(59 3145299.3),(60 3172454),(61 3204991.8),(62 3246481.8),(63 3293772.8),(64 3341705),(65 3392195),(66 3446035),(67 3495621.3),(68 3543767.8),(69 3595348.3),(70 3632888),(71 3673397.3),(72 3712492),(73 3745538.8),(74 3791598.8),(75 3848101.8),(76 3904222.8),(77 3965507.3),(78 4026151.5),(79 4071309.8),
(1 31286.492),(2 106436.016),(3 213764.69),(4 379516.56),(5 594215.56),(6 814070.44),(7 1029399),(8 1243851.5),(9 1459808),(10 1676843.9),(11 1876367.1),(12 2057571.1),(13 2242050),(14 2380318.8),(15 2495231.5),(16 2574176.5),(17 2636954.8),(18 2686321),(19 2729932),(20 2765792.5),(21 2805295),(22 2846810.3),(23 2879615.5),(24 2913244.3),(25 2946477),(26 2976389),(27 2994455.5),(28 3007653.3),(29 3005297),(30 2995894.8),(31 2990891),(32 2981927.5),(33 2959532.8),(34 2922980),(35 2876723),(36 2830545.5),(37 2791573.3),(38 2756376.5),(39 2727185),(40 2710825),(41 2693912),(42 2680322.5),(43 2682529.8),(44 2700201),(45 2721043),(46 2754957),(47 2807216),(48 2856185),(49 2911984),(50 2969147.5),(51 3029330.8),(52 3091790.8),(53 3148906.3),(54 3215942.3),(55 3275692.8),(56 3338952.8),(57 3408781.3),(58 3484592),(59 3550291.8),(60 3614527.5),(61 3682314.5),(62 3748628.5),(63 3812724),(64 3867639),(65 3926318.3),(66 3981829),(67 4025469),(68 4057883),(69 4082032.5),(70 4100638.8),(71 4116371.5),(72 4133380.5),(73 4130921.3),(74 4127987.5),(75 4102745.3),(76 4073516),(77 4058283.5),(78 4037089.3),(79 4020789),
(1 35417.504),(2 120635.4),(3 238262.88),(4 404944),(5 620859.75),(6 841418.75),(7 1059094.1),(8 1274014.3),(9 1484611.8),(10 1687399),(11 1869825),(12 2020306.4),(13 2158424.8),(14 2235869),(15 2286161.8),(16 2315890.3),(17 2320789.5),(18 2326613.3),(19 2333970.3),(20 2344267.5),(21 2359867),(22 2392839.5),(23 2424472),(24 2466886.8),(25 2525622.8),(26 2590656.3),(27 2664574.3),(28 2747971.8),(29 2831665),(30 2909009),(31 3000855),(32 3081200.5),(33 3139469),(34 3171885.5),(35 3178495.3),(36 3176840),(37 3164902.5),(38 3155540.8),(39 3147981.8),(40 3153339.3),(41 3163434.8),(42 3166326),(43 3173902.3),(44 3192868.3),(45 3212154.8),(46 3237065),(47 3251225.5),(48 3263131.3),(49 3273858),(50 3296986.3),(51 3322256.8),(52 3344440.5),(53 3363288),(54 3386722.3),(55 3412360.8),(56 3441361.3),(57 3477073.5),(58 3518980),(59 3569498.3),(60 3623539.8),(61 3671258.8),(62 3726415),(63 3778290.3),(64 3818459.3),(65 3849300.5),(66 3879167.5),(67 3893119),(68 3893071),(69 3895130.3),(70 3892455),(71 3891176.5),(72 3883873),(73 3875441.3),(74 3864772.8),(75 3854320.8),(76 3837909.8),(77 3837706.5),(78 3850544.5),(79 3872488.5),
