1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 136978.95),(2 384095.5),(3 734157),(4 1173905.8),(5 1705108.9),(6 2336447.3),(7 3051370.8),(8 3849988),(9 4620082.5),(10 5418882.5),(11 6257572),(12 7061410.5),(13 7899982.5),(14 8765807),(15 9604976),(16 10441801),(17 11326151),(18 12212855),(19 13091144),(20 13898605),(21 14677561),(22 15304877),(23 16329416),(24 17004378),(25 17533266),(26 18048566),(27 18551080),(28 18951462),(29 19302750),(30 19751286),(31 20277210),(32 20901504),(33 21648848),(34 22397090),(35 23187648),(36 23985594),(37 24776266),(38 25542464),(39 26336400),(40 27085054),(41 27750970),(42 28379806),(43 29054504),(44 29753398),(45 30330472),(46 31025498),(47 31857178),(48 32597510),(49 33496978),(50 34376210),(51 35290892),(52 35895096),(53 36495908),(54 37020360),(55 37494844),(56 38039852),(57 38495892),(58 38967244),(59 39495756),(60 40009780),(61 40654656),(62 41320004),(63 42334736),(64 43215548),(65 43806172),(66 44879570),(67 45523004),(68 45924190),(69 46311012),(70 46544468),(71 46791388),(72 47059010),(73 47624190),(74 48257870),(75 49034110),(76 49809070),(77 50593428),(78 51475908),(79 52480180),
(1 149528.3),(2 413081.66),(3 793905.44),(4 1266672.1),(5 1838852),(6 2494442.5),(7 3238087.3),(8 4165711.3),(9 5023363),(10 5927816),(11 6911281.5),(12 7883237),(13 8886490),(14 9980747),(15 11052146),(16 12129378),(17 13331683),(18 14426512),(19 15503410),(20 16528125),(21 17508316),(22 18358932),(23 19588172),(24 20647612),(25 21829936),(26 22945380),(27 24049404),(28 25106196),(29 26086504),(30 27103098),(31 28233594),(32 29439012),(33 30698224),(34 32124832),(35 33390716),(36 34538924),(37 35715732),(38 36804620),(39 37917820),(40 39022828),(41 40084452),(42 41108948),(43 42183464),(44 43512840),(45 44464384),(46 45328290),(47 46141172),(48 46891668),(49 47695016),(50 48381780),(51 49057324),(52 49569936),(53 49921664),(54 50157132),(55 50365270),(56 50553610),(57 50793824),(58 51056870),(59 51311890),(60 51550390),(61 51700430),(62 51874680),(63 52032156),(64 52101770),(65 52056664),(66 52242930),(67 52226320),(68 52104390),(69 52028028),(70 51878950),(71 51793630),(72 51744730),(73 51832972),(74 52001876),(75 52260076),(76 52491944),(77 52741290),(78 53073410),(79 53428976),
(1 81847.92),(2 230806.45),(3 442093.16),(4 680131.44),(5 953053.56),(6 1246444),(7 1567120.4),(8 1934562.6),(9 2284293.3),(10 2658521.8),(11 3054294),(12 3434994.8),(13 3833742.8),(14 4244279),(15 4644374.5),(16 5040675.5),(17 5503872),(18 5908547.5),(19 6301449.5),(20 6690257.5),(21 7048360),(22 7346982.5),(23 7729037.5),(24 8112161.5),(25 8558867),(26 8972724),(27 9416861),(28 9907407),(29 10427484),(30 10977523),(31 11569284),(32 12181772),(33 12832857),(34 13551467),(35 14238377),(36 14922925),(37 15631368),(38 16364820),(39 17111506),(40 17859340),(41 18579092),(42 19264164),(43 19984882),(44 20975098),(45 21722498),(46 22430718),(47 23160006),(48 23835664),(49 24550042),(50 25222058),(51 25898442),(52 26531158),(53 27145120),(54 27700302),(55 28267096),(56 28928416),(57 29608258),(58 30332064),(59 30963334),(60 31515194),(61 31970144),(62 32384422),(63 32693958),(64 32990190),(65 33183838),(66 33377414),(67 33564170),(68 33762224),(69 34021696),(70 34433428),(71 34826256),(72 35214370),(73 35593120),(74 36000508),(75 36365284),(76 36671256),(77 36829964),(78 37000304),(79 37050940),
(1 98022.67),(2 283423.56),(3 549034.06),(4 830239.56),(5 1146355.9),(6 1482825.1),(7 1842203.9),(8 2278792.5),(9 2680770.3),(10 3100017.5),(11 3542736.3),(12 3965115),(13 4394359),(14 4865555),(15 5364079.5),(16 5880773.5),(17 6445720.5),(18 6991682.5),(19 7537640),(20 8077810),(21 8636863),(22 9166705),(23 9755396),(24 10311300),(25 10888825),(26 11452355),(27 11998912),(28 12498533),(29 12953598),(30 13346948),(31 13712661),(32 14049159),(33 14364733),(34 14646471),(35 14874785),(36 15014949),(37 15115970),(38 15190597),(39 15254551),(40 15298420),(41 15312638),(42 15287056),(43 15257831),(44 15270190),(45 15206439),(46 15123996),(47 15023607),(48 14915111),(49 14834574),(50 14774949),(51 14748773),(52 14825442),(53 14944405),(54 15084290),(55 15289195),(56 15597995),(57 15962089),(58 16394759),(59 16792088),(60 17179148),(61 17576924),(62 17989988),(63 18487072),(64 18882088),(65 19196910),(66 19506276),(67 19807328),(68 20130834),(69 20463760),(70 20828710),(71 21196584),(72 21557466),(73 21858228),(74 22139502),(75 22385636),(76 22593668),(77 22712950),(78 22771464),(79 22810092),
(1 143094.08),(2 428794.47),(3 852983.8),(4 1336122.3),(5 1912287.5),(6 2552833.5),(7 3277768),(8 4148085.8),(9 4934398),(10 5777884.5),(11 6659622),(12 7548923.5),(13 8452284),(14 9365110),(15 10283997),(16 11228122),(17 12264547),(18 13206812),(19 14148160),(20 15040211),(21 15931341),(22 16725712),(23 17536188),(24 18331914),(25 19087928),(26 19748522),(27 20332320),(28 20775388),(29 21131434),(30 21377344),(31 21574550),(32 21689766),(33 21713562),(34 21621778),(35 21433708),(36 21140878),(37 20780632),(38 20382312),(39 19943984),(40 19526624),(41 19113426),(42 18665632),(43 18229268),(44 17739188),(45 17344020),(46 16988504),(47 16679613),(48 16410771),(49 16199827),(50 16069580),(51 16014167),(52 16129085),(53 16268256),(54 16467322),(55 16745114),(56 17126652),(57 17599040),(58 18123592),(59 18615360),(60 19078878),(61 19511806),(62 19911600),(63 20279468),(64 20577762),(65 20833824),(66 21031010),(67 21173582),(68 21310212),(69 21416942),(70 21525670),(71 21614922),(72 21705954),(73 21720174),(74 21716562),(75 21698578),(76 21652212),(77 21599384),(78 21535406),(79 21491448),
(1 125058.42),(2 375103.06),(3 744791.8),(4 1160900.4),(5 1667903.8),(6 2249875.5),(7 2925198.5),(8 3768923.5),(9 4554563),(10 5391516.5),(11 6258766.5),(12 7176753.5),(13 8102714.5),(14 9036670),(15 9951222),(16 10883938),(17 11923182),(18 12830557),(19 13663741),(20 14373122),(21 14995456),(22 15482301),(23 15857861),(24 16192675),(25 16363683),(26 16509875),(27 16575958),(28 16553968),(29 16442534),(30 16292725),(31 16149408),(32 15935302),(33 15683528),(34 15367453),(35 14963635),(36 14562022),(37 14192942),(38 13814829),(39 13500771),(40 13198336),(41 12959902),(42 12755423),(43 12559590),(44 12401814),(45 12285338),(46 12223448),(47 12180496),(48 12190986),(49 12249380),(50 12322040),(51 12425248),(52 12590566),(53 12765818),(54 12947362),(55 13110937),(56 13326115),(57 13535786),(58 13762768),(59 13965654),(60 14106784),(61 14200560),(62 14244810),(63 14290941),(64 14316056),(65 14370251),(66 14495882),(67 14529590),(68 14562275),(69 14568598),(70 14584352),(71 14549578),(72 14537603),(73 14519954),(74 14510611),(75 14504701),(76 14479286),(77 14477990),(78 14483446),(79 14512341),
(1 124910.21),(2 367720.97),(3 721444.94),(4 1120453.8),(5 1578610.3),(6 2093436.3),(7 2655741.5),(8 3318426.8),(9 3929300.5),(10 4537867),(11 5150603),(12 5734608),(13 6281955),(14 6786009),(15 7250441),(16 7680533.5),(17 8087395),(18 8445122),(19 8758143),(20 8991289),(21 9174174),(22 9264055),(23 9309366),(24 9344693),(25 9366670),(26 9359690),(27 9353747),(28 9339686),(29 9297558),(30 9265495),(31 9242426),(32 9237270),(33 9261016),(34 9319585),(35 9364423),(36 9405471),(37 9437754),(38 9470934),(39 9496741),(40 9500186),(41 9504247),(42 9499054),(43 9468102),(44 9498722),(45 9483957),(46 9478012),(47 9470224),(48 9471896),(49 9495444),(50 9538600),(51 9604552),(52 9759384),(53 9927859),(54 10108627),(55 10317188),(56 10596086),(57 10928245),(58 11314064),(59 11650284),(60 11931535),(61 12124201),(62 12279897),(63 12364885),(64 12420660),(65 12456169),(66 12415508),(67 12359257),(68 12249284),(69 12110217),(70 11981374),(71 11851237),(72 11735655),(73 11628006),(74 11538630),(75 11456789),(76 11388575),(77 11346860),(78 11312022),(79 11305884),
(1 126553.22),(2 383075.66),(3 751789.2),(4 1176219.8),(5 1668011.5),(6 2219935),(7 2813157.3),(8 3535181.3),(9 4186459.3),(10 4834130),(11 5482217.5),(12 6101172.5),(13 6698599.5),(14 7243184),(15 7740882),(16 8211299.5),(17 8646005),(18 8995482),(19 9301341),(20 9553620),(21 9774957),(22 9951234),(23 10104220),(24 10260653),(25 10401244),(26 10518978),(27 10594507),(28 10610401),(29 10572110),(30 10508460),(31 10421552),(32 10304301),(33 10192087),(34 10078878),(35 9930978),(36 9769385),(37 9603840),(38 9478921),(39 9368586),(40 9276635),(41 9229006),(42 9203066),(43 9180128),(44 9129538),(45 9114281),(46 9128326),(47 9169690),(48 9218559),(49 9308698),(50 9424918),(51 9533965),(52 9689309),(53 9834950),(54 9971780),(55 10073151),(56 10162857),(57 10223550),(58 10249677),(59 10182513),(60 10020768),(61 9807383),(62 9583081),(63 9330291),(64 9100353),(65 8948351),(66 8855197),(67 8808229),(68 8825500),(69 8907384),(70 9168976),(71 9427003),(72 9739342),(73 10069525),(74 10440995),(75 10822348),(76 11202105),(77 11549735),(78 11876485),(79 12153705),
(1 145679.22),(2 446955.5),(3 891361.8),(4 1376989),(5 1919411.5),(6 2477478),(7 3041621.3),(8 3669677.8),(9 4197668),(10 4676428),(11 5098944.5),(12 5471991.5),(13 5835402),(14 6193235),(15 6540453.5),(16 6866095.5),(17 7193013.5),(18 7481370.5),(19 7759081.5),(20 8021421),(21 8265864.5),(22 8485433),(23 8678658),(24 8867586),(25 9061782),(26 9238914),(27 9366250),(28 9455146),(29 9483625),(30 9487452),(31 9478445),(32 9471681),(33 9484040),(34 9443036),(35 9415931),(36 9375155),(37 9340284),(38 9316585),(39 9304155),(40 9294927),(41 9274856),(42 9236190),(43 9172512),(44 9065608),(45 8923652),(46 8762265),(47 8573351),(48 8350190),(49 8113972.5),(50 7869193),(51 7623178.5),(52 7398450),(53 7174038.5),(54 6957376.5),(55 6760675.5),(56 6588282),(57 6440528.5),(58 6310116.5),(59 6207079),(60 6149757),(61 6139580),(62 6198035),(63 6319621.5),(64 6462030),(65 6676597),(66 6972849),(67 7236335.5),(68 7537357.5),(69 7876481),(70 8313135),(71 8744002),(72 9172688),(73 9577760),(74 9988423),(75 10375615),(76 10738285),(77 11101333),(78 11437742),(79 11759052),
(1 217626.22),(2 685926.44),(3 1377575.8),(4 2163668.3),(5 3038007.5),(6 3933885.3),(7 4823729.5),(8 5820872),(9 6652975.5),(10 7391814),(11 8037066),(12 8584168),(13 9063956),(14 9506816),(15 9949835),(16 10334755),(17 10751972),(18 11066700),(19 11318098),(20 11523666),(21 11652471),(22 11686190),(23 11650699),(24 11617091),(25 11533401),(26 11493751),(27 11448859),(28 11391240),(29 11343707),(30 11332121),(31 11353795),(32 11400324),(33 11483312),(34 11582711),(35 11736325),(36 11882548),(37 12027869),(38 12169897),(39 12318513),(40 12437314),(41 12489701),(42 12484247),(43 12416059),(44 12336696),(45 12218793),(46 12097548),(47 11958741),(48 11824369),(49 11749524),(50 11670983),(51 11606798),(52 11528206),(53 11484727),(54 11495838),(55 11535225),(56 11581845),(57 11650233),(58 11719228),(59 11777710),(60 11819037),(61 11831749),(62 11834318),(63 11773163),(64 11705930),(65 11634816),(66 11486005),(67 11342043),(68 11170708),(69 11008416),(70 10863893),(71 10758470),(72 10684470),(73 10642921),(74 10643506),(75 10671585),(76 10715995),(77 10809273),(78 10933020),(79 11089620),
(1 278586.75),(2 872185.3),(3 1748844),(4 2711699),(5 3751244),(6 4747499),(7 5674404),(8 6624996),(9 7309913.5),(10 7831664),(11 8157187),(12 8322688),(13 8390157),(14 8379228),(15 8333604.5),(16 8236852.5),(17 8108405.5),(18 7991838),(19 7878889.5),(20 7754697.5),(21 7600094.5),(22 7427704.5),(23 7157446.5),(24 6990022),(25 6878604),(26 6852533),(27 6923940),(28 7082398.5),(29 7327327),(30 7662941),(31 8061406),(32 8498236),(33 8928207),(34 9406285),(35 9743674),(36 10006262),(37 10197489),(38 10288026),(39 10304882),(40 10275000),(41 10211232),(42 10151272),(43 10072448),(44 9893591),(45 9751454),(46 9623744),(47 9511972),(48 9418187),(49 9358543),(50 9322943),(51 9287624),(52 9233833),(53 9173619),(54 9121324),(55 9042415),(56 8960795),(57 8875164),(58 8778744),(59 8689340),(60 8588470),(61 8489417),(62 8372128),(63 8227868),(64 8040535.5),(65 7842253.5),(66 7632190.5),(67 7426913),(68 7248868.5),(69 7113091),(70 7013764),(71 6959540.5),(72 6953782),(73 7024660),(74 7146740.5),(75 7307128),(76 7507700.5),(77 7680576.5),(78 7805260),(79 7853757),
