q, (a, b, c)
1.5, (-3495191940673.349, 275738.73615071, 3495020720409.148)
2.5, (-105371433.20534693, 25.529345648971404, 77041595.8216495)
3.5, (-528349044068.5035, 744834.4251151653, 528342652741.4802)
4.5, (-102266089.56271271, 246.02242146806256, 98624547.7309486)
5.5, (-51574463391.06974, 190321.75499426515, 51571818226.476685)
6.5, (-26766468.320092887, 78.58896761836519, 24041967.894429263)
7.5, (-48756056.56765019, 197.2189109313927, 46521997.25596126)
8.5, (-92094455021.59433, 524909.7210812842, 92092578110.04173)
9.5, (-35570368.0148139, 151.8448659715013, 33451898.928034037)
10.5, (-19812446.103106685, 83.43290453191469, 17939734.890110042)
11.5, (-25662504.068393182, 100.01474330651583, 23769544.464635197)
12.5, (-20468297.24973806, 57.614543865561316, 17806194.394020528)
13.5, (-17177056.082818482, 54.453002827158755, 14780630.9417652)
14.5, (-18910466.008864053, 57.14118716940611, 16315407.725808641)
15.5, (-19234791.452258233, 60.07985014367863, 16752224.511698766)
16.5, (-16500692.959295971, 46.190374956873846, 13820307.073245551)
17.5, (-13123101.897662023, 37.57544535697893, 10660856.9857479)
18.5, (-13591093.471975723, 33.7875128312216, 10830148.316781877)
19.5, (-12470352.816437494, 30.873419230342538, 9816458.61427013)
20.5, (-13973485.211233974, 43.391841270427456, 11721925.526316484)
21.5, (-10740460.001981433, 44.02085693754159, 9039965.268271398)
22.5, (-9360814.76766488, 39.0735735460362, 7749228.309900555)
23.5, (-9454768.060166428, 35.17049952443782, 7669071.846351684)
24.5, (-8653347.026811995, 32.82725058537304, 6943303.604137746)
25.5, (-7790787.269834588, 31.661212108040875, 6234420.792416632)
26.5, (-6841233.094622501, 29.215718496826216, 5385466.527816108)
27.5, (-5949733.491711466, 31.27148440865623, 4770895.816881105)
28.5, (-5472053.390115548, 32.10500594551908, 4429059.834735112)
29.5, (-5072268.392344836, 32.45589015676323, 4101608.4019521507)
30.5, (-4814191.004944663, 42.03485769185799, 4074959.364607462)
31.5, (-4435974.160794466, 37.196359603191084, 3686635.9842113066)
32.5, (-4336199.379166016, 31.885715380113606, 3499141.6042946964)
33.5, (-3851811.1543260957, 31.039093467347463, 3096676.5029534413)
34.5, (-3342595.3190162377, 30.808602552758863, 2699155.30930076)
35.5, (-3533707.452429104, 37.96231955571294, 2980437.0701180445)
36.5, (-3347131.63375021, 30.241166035836635, 2706844.314992581)
37.5, (-3228722.683653461, 31.681380900426813, 2619138.774358234)
38.5, (-3012721.7964073457, 28.997751639701352, 2420696.6508692848)
39.5, (-2722158.4378296398, 31.055482919045033, 2229720.740831029)
40.5, (-2519368.338002396, 34.5978243794482, 2121235.363005603)
41.5, (-2602985.9078709814, 31.611689237304397, 2138658.425193574)
42.5, (-2361999.420639455, 28.302903968015507, 1912112.5922098765)
43.5, (-2210479.6132595236, 27.38455891320398, 1774101.8847683098)
