1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 500149.84),(2 1433348.9),(3 2441268.3),(4 3462946),(5 4366066.5),(6 5349225.5),(7 6223352),(8 7083911.5),(9 8068006.5),(10 9075967),(11 10060937),(12 11187432),(13 12087931),(14 12919155),(15 14044043),(16 14857813),(17 15438716),(18 15929305),(19 16304344),(20 16871894),(21 17403046),(22 17909210),(23 18205006),(24 18279784),(25 17940186),(26 18077022),(27 17827398),(28 17441162),(29 16863382),(30 16502281),(31 16254337),(32 16013317),(33 16100473),(34 16527388),(35 17449898),(36 18032384),(37 18249734),(38 18380616),(39 18782890),(40 19312290),(41 20099792),(42 21393138),(43 22097434),(44 22820494),(45 23389840),(46 24146418),(47 24837370),(48 25310602),(49 25998198),(50 26448162),(51 26758416),(52 27001402),(53 27270778),(54 28055696),(55 28531206),(56 28601694),(57 28445430),(58 28239074),(59 28140390),(60 28328798),(61 29209802),(62 30169142),(63 30750336),(64 30821254),(65 30997232),(66 31228632),(67 31463934),(68 31424842),(69 31633930),(70 31996998),(71 32800694),(72 33327640),(73 33712544),(74 33652016),(75 33586228),(76 33822530),(77 34280348),(78 35202764),(79 35694276),
(1 500944),(2 1544605.8),(3 2757286.8),(4 4127061.5),(5 5560165.5),(6 7070230.5),(7 8560776),(8 10009586),(9 11531859),(10 12960067),(11 14466899),(12 16006088),(13 17136266),(14 18088262),(15 19414100),(16 20321904),(17 21029482),(18 21939894),(19 22736852),(20 23314806),(21 23379068),(22 23348740),(23 22987794),(24 22559278),(25 22174524),(26 21864792),(27 21283344),(28 20421836),(29 19429586),(30 18524218),(31 17898986),(32 17390692),(33 17042300),(34 17134490),(35 17393462),(36 17726532),(37 18136116),(38 18224306),(39 18358400),(40 18390426),(41 18404348),(42 18613230),(43 18899524),(44 18905516),(45 18920672),(46 18894524),(47 18804884),(48 18415658),(49 18103430),(50 17842690),(51 17775458),(52 17951500),(53 18255994),(54 18439748),(55 18693718),(56 18991418),(57 19506538),(58 20107496),(59 20880732),(60 21870154),(61 23233990),(62 24666946),(63 25793392),(64 26419040),(65 27211206),(66 28276746),(67 29140112),(68 30083296),(69 30954240),(70 32214156),(71 33421616),(72 34521584),(73 35485610),(74 36253224),(75 36730892),(76 37146970),(77 37418030),(78 37964310),(79 38204196),
(1 708948.56),(2 2305841),(3 4493122),(4 7105917.5),(5 10046749),(6 13335387),(7 16339800),(8 19413494),(9 22848610),(10 26445118),(11 29997862),(12 33445032),(13 36160412),(14 38413916),(15 40609236),(16 42819390),(17 44696156),(18 46542668),(19 48054892),(20 49089588),(21 49409492),(22 49433276),(23 48744864),(24 48016788),(25 47255424),(26 46265764),(27 44992736),(28 43957990),(29 42754028),(30 41659340),(31 40849268),(32 39753812),(33 38399572),(34 37604716),(35 36935740),(36 36009950),(37 35228516),(38 34465716),(39 33410488),(40 32261594),(41 31107440),(42 29993958),(43 29416704),(44 28800960),(45 28548638),(46 28278186),(47 28021328),(48 27892970),(49 27816290),(50 27639968),(51 27366112),(52 27197934),(53 27060698),(54 26631082),(55 26447200),(56 26542272),(57 26293504),(58 25926246),(59 25998770),(60 26201274),(61 26576080),(62 27007104),(63 27445402),(64 27779082),(65 28008658),(66 28111510),(67 28166970),(68 28455910),(69 28793328),(70 28998480),(71 29179970),(72 29498458),(73 29454278),(74 29367360),(75 28952274),(76 28719754),(77 28539936),(78 28334998),(79 27902774),
(1 795099.75),(2 2667489.8),(3 5157917.5),(4 8066565.5),(5 11233712),(6 14527627),(7 17920906),(8 21297002),(9 24560292),(10 27660124),(11 30422346),(12 32557852),(13 34489720),(14 35966410),(15 36690856),(16 37070748),(17 37056570),(18 36625336),(19 35678544),(20 34038784),(21 32036732),(22 29820468),(23 27228604),(24 24908310),(25 22681732),(26 20601794),(27 18978552),(28 17901590),(29 17198152),(30 16770434),(31 16587559),(32 16780484),(33 17331324),(34 18154552),(35 19430438),(36 20753974),(37 22161814),(38 23724342),(39 25214842),(40 26418338),(41 27373962),(42 28083176),(43 28725910),(44 29139566),(45 29249270),(46 29157546),(47 28913942),(48 28631704),(49 28170886),(50 27641764),(51 26565540),(52 25132612),(53 24046760),(54 23036352),(55 22161920),(56 21645552),(57 21108540),(58 20670516),(59 20696624),(60 21092106),(61 21985046),(62 23146082),(63 24434894),(64 25848298),(65 27558958),(66 29168664),(67 30557170),(68 31782198),(69 32804946),(70 33550040),(71 34006330),(72 34211212),(73 34265464),(74 34062670),(75 33679750),(76 33119282),(77 32549874),(78 31969304),(79 31117354),
(1 646283.44),(2 2066793.5),(3 3964497.5),(4 6048791),(5 8208144.5),(6 10508476),(7 12835908),(8 15160564),(9 17144802),(10 18719174),(11 20129734),(12 21078028),(13 21845018),(14 22176506),(15 22002466),(16 21369764),(17 20728024),(18 19895864),(19 18837794),(20 17525784),(21 16242499),(22 15034388),(23 13958127),(24 13323980),(25 12918554),(26 12757732),(27 12881786),(28 12967968),(29 13185524),(30 13825370),(31 14751911),(32 15657332),(33 16588739),(34 17527912),(35 18579496),(36 19799042),(37 20904410),(38 21808334),(39 22774590),(40 23300638),(41 23366354),(42 23627564),(43 23831154),(44 23874894),(45 23602370),(46 23219334),(47 22545892),(48 21933382),(49 21492096),(50 21187534),(51 20687822),(52 20215128),(53 20093042),(54 20321294),(55 20907854),(56 21913972),(57 22859746),(58 23703942),(59 24633114),(60 25376678),(61 26222408),(62 27104286),(63 28058688),(64 28800716),(65 29423476),(66 29719646),(67 29558754),(68 29127476),(69 28443022),(70 27552032),(71 26648058),(72 25523992),(73 24273800),(74 22955968),(75 21800662),(76 20817528),(77 20138496),(78 19628638),(79 19298440),
(1 903845.8),(2 3051889.5),(3 5981645),(4 9436300),(5 13279912),(6 16932996),(7 20429652),(8 23607320),(9 26045530),(10 27745236),(11 28816458),(12 29205882),(13 28891828),(14 27813798),(15 25987144),(16 24034022),(17 22357244),(18 20902430),(19 19662498),(20 19051264),(21 18716766),(22 18679952),(23 18730614),(24 19225980),(25 19852530),(26 20643044),(27 21494484),(28 22166728),(29 22685108),(30 23036010),(31 23421322),(32 23634430),(33 23661572),(34 23505430),(35 23097306),(36 22883940),(37 22685372),(38 22536472),(39 22451034),(40 22633306),(41 23004676),(42 23767828),(43 24652686),(44 25639002),(45 26529718),(46 27159636),(47 27318554),(48 27326828),(49 26876524),(50 26217620),(51 25161360),(52 23886766),(53 22640198),(54 21376444),(55 20332350),(56 19728116),(57 19528028),(58 19736686),(59 20435014),(60 21633532),(61 22919640),(62 24088566),(63 25065724),(64 25625926),(65 25988600),(66 26153556),(67 26080608),(68 25604368),(69 24776036),(70 23694118),(71 22363482),(72 21040818),(73 19948286),(74 19005852),(75 18193692),(76 17550634),(77 17383596),(78 17395658),(79 17546588),
(1 1162914.6),(2 3986188.5),(3 7778835.5),(4 11849966),(5 15993052),(6 19648232),(7 22335638),(8 24232298),(9 25211050),(10 25130162),(11 24016402),(12 22555338),(13 20794636),(14 19180628),(15 18142254),(16 17787348),(17 18282276),(18 19764940),(19 21989430),(20 24446588),(21 26732764),(22 28447980),(23 29029944),(24 28672876),(25 27319586),(26 25273404),(27 22773282),(28 20138456),(29 18063588),(30 16765200),(31 16497964),(32 17175446),(33 18624878),(34 20720508),(35 23028616),(36 25487300),(37 27623502),(38 29243968),(39 29898642),(40 29582700),(41 28169390),(42 26428014),(43 24558276),(44 22841876),(45 21478318),(46 20334554),(47 19588596),(48 19402654),(49 19483644),(50 19493492),(51 19424910),(52 19114142),(53 18701570),(54 18339752),(55 18257400),(56 18410756),(57 18629806),(58 18875246),(59 19209300),(60 19464986),(61 19603188),(62 19676888),(63 19490898),(64 19099980),(65 18725588),(66 18454638),(67 18134412),(68 17913468),(69 17929800),(70 18261474),(71 19008248),(72 20114336),(73 21171700),(74 21865404),(75 22381518),(76 22505602),(77 22299446),(78 21846712),(79 21287976),
(1 1433516.3),(2 5018463),(3 9789542),(4 14844749),(5 19665676),(6 23720580),(7 26509320),(8 27513288),(9 26822054),(10 24846626),(11 22075476),(12 18988862),(13 16228674),(14 14262554),(15 13506938),(16 13606090),(17 14392181),(18 15758138),(19 17168822),(20 18377938),(21 19062678),(22 19212216),(23 18748312),(24 18001992),(25 17134894),(26 16459767),(27 15904924),(28 15761271),(29 15818790),(30 15931283),(31 15972789),(32 15701987),(33 15171689),(34 14614353),(35 14206643),(36 14313303),(37 15206078),(38 16753612),(39 18759786),(40 20889940),(41 22875418),(42 24430242),(43 25110516),(44 25012718),(45 23996392),(46 22250778),(47 20099310),(48 18011948),(49 16335599),(50 15302495),(51 15091689),(52 15695424),(53 16972980),(54 18871322),(55 20825938),(56 22389482),(57 23256222),(58 23350484),(59 22782892),(60 21713862),(61 20316574),(62 18948772),(63 17709388),(64 16784778),(65 16205540),(66 15972903),(67 16160589),(68 16816562),(69 17822638),(70 18871494),(71 19407142),(72 19565202),(73 19319290),(74 18934204),(75 18369910),(76 17569384),(77 16615598),(78 15759990),(79 15211644),
(1 1599473.9),(2 5552652),(3 10612367),(4 15577395),(5 19489118),(6 21787868),(7 22276820),(8 21116630),(9 18866966),(10 15935940),(11 13370951),(12 11850279),(13 11425896),(14 12129075),(15 13679151),(16 15518869),(17 17364560),(18 18862096),(19 19576020),(20 19353202),(21 18111638),(22 16395731),(23 15099897),(24 14614082),(25 14885843),(26 15927360),(27 17520790),(28 19034600),(29 20230452),(30 20650342),(31 20139648),(32 18720912),(33 17009178),(34 15528326),(35 14738645),(36 14609041),(37 15013214),(38 15783826),(39 16358054),(40 16714238),(41 16631800),(42 16334199),(43 15995396),(44 15885092),(45 16234016),(46 16980774),(47 17739020),(48 18296382),(49 18547280),(50 18320418),(51 17582112),(52 16608659),(53 15735313),(54 15391752),(55 15662202),(56 16425690),(57 17373452),(58 18352662),(59 18990396),(60 18969288),(61 18281642),(62 17066160),(63 15733506),(64 14544254),(65 13861203),(66 14074886),(67 15124955),(68 16868168),(69 18680124),(70 20158202),(71 20924570),(72 20979536),(73 20341596),(74 19171046),(75 17797408),(76 16763849),(77 15971292),(78 15736749),(79 15932497),
(1 2625711),(2 9310596),(3 18122856),(4 26551736),(5 32551936),(6 34764716),(7 32992416),(8 28150276),(9 22104614),(10 16613851),(11 13344236),(12 13247140),(13 15958571),(14 20313724),(15 25002842),(16 28685912),(17 30487466),(18 30326094),(19 28346146),(20 24793106),(21 20722294),(22 17180486),(23 15277627),(24 15285312),(25 17044966),(26 20028462),(27 23414870),(28 26329202),(29 28047388),(30 28000806),(31 26287408),(32 23488952),(33 20571632),(34 18780792),(35 18644914),(36 20045336),(37 22448194),(38 25055972),(39 26691480),(40 26798258),(41 25826766),(42 24266776),(43 22457318),(44 20999400),(45 20530948),(46 21128344),(47 22176408),(48 23064234),(49 23340692),(50 22775826),(51 21434198),(52 20063936),(53 19279438),(54 19326050),(55 20028516),(56 21156206),(57 22117896),(58 22504982),(59 21943032),(60 20430868),(61 18383438),(62 16540777),(63 15866432),(64 16559077),(65 18708952),(66 21790608),(67 24892098),(68 26997616),(69 27295464),(70 25802652),(71 22677368),(72 18847426),(73 15586681),(74 13809742),(75 13910774),(76 15967214),(77 19380370),(78 23131602),(79 26155378),
(1 2253292.8),(2 7815881),(3 14472826),(4 20323552),(5 23958740),(6 24607426),(7 22636988),(8 19118872),(9 15451293),(10 12880343),(11 12194863),(12 13540273),(13 16238948),(14 19255622),(15 21617572),(16 22966758),(17 23240122),(18 22588924),(19 20906676),(20 18667230),(21 16570295),(22 15294001),(23 15183129),(24 16129097),(25 17830836),(26 19602256),(27 20786794),(28 21085718),(29 20362214),(30 18667360),(31 16569180),(32 14844456),(33 14283462),(34 14914930),(35 16543228),(36 18745392),(37 20670158),(38 21783984),(39 21625730),(40 20532756),(41 19086998),(42 17630538),(43 16600919),(44 16204913),(45 16640350),(46 17597248),(47 18728176),(48 19904740),(49 21256738),(50 22262866),(51 22866200),(52 22942988),(53 22474438),(54 21837496),(55 21097050),(56 20772948),(57 20998546),(58 21606322),(59 22429244),(60 23276272),(61 24136880),(62 24560734),(63 24496020),(64 23965978),(65 23237904),(66 22396866),(67 21516510),(68 20659532),(69 19983942),(70 19729908),(71 19987664),(72 20563096),(73 21254736),(74 21891400),(75 22528904),(76 22997966),(77 23362868),(78 23180582),(79 22438702),
