1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 240431.36),(2 524559.75),(3 821476.3),(4 1192668.1),(5 1524871.1),(6 1890657.9),(7 2372855.3),(8 2755535.3),(9 3172656.8),(10 3619439),(11 4009230),(12 4344414.5),(13 4532360),(14 4766150.5),(15 4979388),(16 5264790),(17 5474740),(18 5696866.5),(19 5940382.5),(20 6186172.5),(21 6423973.5),(22 6623899.5),(23 6834660),(24 6961383.5),(25 6998657.5),(26 7028176),(27 7099434),(28 7184705.5),(29 7408393.5),(30 7528492),(31 7628454.5),(32 7753829.5),(33 7814133.5),(34 7758744.5),(35 7786493.5),(36 7865425.5),(37 7907955.5),(38 8004001.5),(39 8161408),(40 8223623.5),(41 8309533.5),(42 8400185),(43 8439507),(44 8417117),(45 8510183),(46 8623279),(47 8882833),(48 8929751),(49 8940298),(50 8990525),(51 9122092),(52 9102180),(53 9087585),(54 9047183),(55 9004617),(56 8977295),(57 8983929),(58 8979719),(59 8839992),(60 8730313),(61 8653185),(62 8568007),(63 8397939),(64 8238138.5),(65 8145640),(66 8286092.5),(67 8450865),(68 8568849),(69 8911919),(70 9039259),(71 9151583),(72 9760987),(73 10305129),(74 10828868),(75 11345497),(76 11996116),(77 12635245),(78 13191789),(79 13830060),
(1 274830.47),(2 589208.4),(3 925716.6),(4 1360548.3),(5 1735302.3),(6 2197974),(7 2801196.5),(8 3264607.3),(9 3766340),(10 4322223),(11 4794327),(12 5243741),(13 5878907.5),(14 6310170.5),(15 6702377),(16 7288417.5),(17 7611089.5),(18 7890665),(19 8106629),(20 8336322.5),(21 8552940),(22 8712114),(23 8918053),(24 9103472),(25 9144294),(26 9179287),(27 9253768),(28 9373531),(29 9618464),(30 9776710),(31 9953837),(32 10175739),(33 10329216),(34 10176884),(35 10053061),(36 10041407),(37 9978886),(38 10043702),(39 10116912),(40 10145512),(41 10271919),(42 10302979),(43 10286771),(44 10097958),(45 10133472),(46 10181475),(47 10322206),(48 10377368),(49 10405453),(50 10525171),(51 10707182),(52 10697762),(53 10786465),(54 10951933),(55 11091554),(56 11392151),(57 11708360),(58 11875425),(59 11807774),(60 11757352),(61 11757125),(62 11760733),(63 11658939),(64 11634660),(65 11690258),(66 11835469),(67 12105574),(68 12360950),(69 12710407),(70 12987259),(71 13272776),(72 14003333),(73 14659538),(74 15279763),(75 15992670),(76 16803662),(77 17438036),(78 18054246),(79 18816868),
(1 287982.47),(2 626084.2),(3 959206.5),(4 1388968.9),(5 1747765.4),(6 2206730.3),(7 2847563),(8 3331042.8),(9 3765747.3),(10 4184762.8),(11 4510050),(12 4778613.5),(13 5254764.5),(14 5445708),(15 5604708),(16 6183886.5),(17 6416038.5),(18 6669074.5),(19 7070013.5),(20 7429344),(21 7826256),(22 8502701),(23 9059173),(24 9608251),(25 10229330),(26 10970597),(27 11552675),(28 12223485),(29 13024851),(30 13682805),(31 14281595),(32 14920408),(33 15471516),(34 15640795),(35 15877472),(36 16250181),(37 16481360),(38 17052506),(39 17504362),(40 17885948),(41 18433134),(42 18811622),(43 19093166),(44 19296666),(45 19637286),(46 19950878),(47 20283628),(48 20519610),(49 20695638),(50 20884266),(51 21056674),(52 21110998),(53 21364708),(54 21776996),(55 22075304),(56 22647024),(57 23339984),(58 23796374),(59 23876314),(60 24028872),(61 24195136),(62 24347674),(63 24322832),(64 24390106),(65 24510456),(66 25902328),(67 26572808),(68 27235634),(69 27057798),(70 27228776),(71 27431786),(72 28144502),(73 28815194),(74 29453258),(75 30348126),(76 31408528),(77 32113936),(78 32584394),(79 33164384),
(1 306909.94),(2 647008.7),(3 993884.9),(4 1555069.6),(5 2022571.8),(6 2495063.3),(7 3135927),(8 3696285.8),(9 4275234),(10 4939154),(11 5541853.5),(12 6052795.5),(13 6693599),(14 7194741.5),(15 7685248),(16 8444618),(17 9020645),(18 9487236),(19 10083188),(20 10659908),(21 11201788),(22 11741272),(23 12130306),(24 12496332),(25 12826713),(26 13252091),(27 13572921),(28 13770568),(29 14010452),(30 14239383),(31 14383234),(32 14585641),(33 14681755),(34 14686811),(35 14796964),(36 14929088),(37 15003972),(38 15255029),(39 15394336),(40 15539515),(41 15577052),(42 15634983),(43 15673678),(44 15588076),(45 15621116),(46 15656764),(47 15685461),(48 15703303),(49 15729003),(50 15865717),(51 16069472),(52 16169392),(53 16343435),(54 16570908),(55 16717968),(56 16889976),(57 17136032),(58 17281992),(59 17355946),(60 17568024),(61 17631382),(62 17720334),(63 17869522),(64 17862056),(65 17901140),(66 18151854),(67 18251670),(68 18346250),(69 18357190),(70 18288726),(71 18213554),(72 18725612),(73 18994254),(74 19295350),(75 19825722),(76 20527976),(77 21066862),(78 21610628),(79 22246562),
(1 309569.38),(2 661173.56),(3 1006771.44),(4 1603865.5),(5 2071419.9),(6 2511795.8),(7 3134897.8),(8 3686665.5),(9 4091721),(10 4516436.5),(11 4957000.5),(12 5335351.5),(13 5651744),(14 5939231.5),(15 6200004.5),(16 6639246),(17 6930592),(18 7189638),(19 7662899.5),(20 7989533),(21 8275041.5),(22 8703468),(23 8871937),(24 9050492),(25 9246790),(26 9514307),(27 9677341),(28 9683225),(29 9724330),(30 9847148),(31 10008610),(32 10235788),(33 10334876),(34 10544435),(35 10911485),(36 11219266),(37 11525396),(38 12029405),(39 12469612),(40 12817831),(41 13160063),(42 13543041),(43 13792489),(44 13986560),(45 14230836),(46 14430752),(47 14540145),(48 14678703),(49 14837452),(50 15081792),(51 15366268),(52 15554100),(53 15791450),(54 16116081),(55 16335462),(56 16445190),(57 16590733),(58 16700313),(59 16528759),(60 16386676),(61 16257639),(62 16188185),(63 16567372),(64 16585065),(65 16606119),(66 16283971),(67 16188719),(68 16088218),(69 16267456),(70 16178745),(71 16078241),(72 16152529),(73 16171552),(74 16206010),(75 16230413),(76 16353625),(77 16449129),(78 16699985),(79 17194898),
(1 322660.5),(2 686934),(3 1037620.2),(4 1716588.8),(5 2255008.3),(6 2736694),(7 3331157.5),(8 3851009.3),(9 4334957.5),(10 4855060),(11 5277253.5),(12 5579745.5),(13 6008411.5),(14 6314521),(15 6549436),(16 7012206.5),(17 7342403),(18 7559211),(19 7924305),(20 8177971),(21 8461438),(22 8853298),(23 9094109),(24 9355954),(25 9587822),(26 9799538),(27 9967026),(28 9993810),(29 10010117),(30 10059646),(31 10214014),(32 10440552),(33 10501274),(34 10433285),(35 10430606),(36 10425307),(37 10381984),(38 10476478),(39 10559841),(40 10639307),(41 10745322),(42 10892202),(43 11005557),(44 11192138),(45 11345549),(46 11464106),(47 11437600),(48 11507934),(49 11590918),(50 11766023),(51 11977017),(52 12026766),(53 12204131),(54 12496202),(55 12671190),(56 12896390),(57 13136610),(58 13307978),(59 13096166),(60 12892455),(61 12798500),(62 12691219),(63 12727302),(64 12659384),(65 12643162),(66 12650131),(67 12669764),(68 12708384),(69 13035566),(70 13139609),(71 13230850),(72 13264808),(73 13370893),(74 13455310),(75 13440314),(76 13439331),(77 13394963),(78 13360568),(79 13438331),
(1 364191.88),(2 757888.56),(3 1194002.9),(4 1952024.8),(5 2561746.3),(6 3203138.5),(7 4045342.5),(8 4784104.5),(9 5401339),(10 6018660.5),(11 6597079),(12 7111597.5),(13 7649157.5),(14 8104294),(15 8491838),(16 9052335),(17 9446679),(18 9673217),(19 10052244),(20 10258346),(21 10502123),(22 10917660),(23 11069041),(24 11208783),(25 11442958),(26 11731974),(27 11856041),(28 11802890),(29 11782875),(30 11778172),(31 11630470),(32 11513970),(33 11398327),(34 11312251),(35 11335842),(36 11316202),(37 11255559),(38 11220034),(39 11235001),(40 11266774),(41 11140818),(42 11155142),(43 11169173),(44 11349547),(45 11500806),(46 11622066),(47 11643220),(48 11720039),(49 11819580),(50 11913450),(51 11986900),(52 12046508),(53 12117714),(54 12233233),(55 12335563),(56 12499706),(57 12736849),(58 12906474),(59 13030661),(60 13270415),(61 13399111),(62 13501573),(63 13797422),(64 13873643),(65 13917478),(66 14275822),(67 14351611),(68 14495200),(69 14406079),(70 14391586),(71 14374532),(72 14539828),(73 14605861),(74 14680348),(75 14732736),(76 14835872),(77 14892848),(78 14764454),(79 14663334),
(1 271746.56),(2 565823.9),(3 892047.8),(4 1480818.8),(5 1913996),(6 2380786.5),(7 3061497.5),(8 3623558.3),(9 4163980.3),(10 4759599.5),(11 5297293),(12 5797002),(13 6284106),(14 6788355),(15 7199540.5),(16 7652938.5),(17 8089678),(18 8414548),(19 8610809),(20 8843818),(21 9067820),(22 9298896),(23 9462049),(24 9630353),(25 9776385),(26 10008613),(27 10109188),(28 10103710),(29 10151415),(30 10091866),(31 9974334),(32 9937024),(33 9824975),(34 9701433),(35 9627595),(36 9466012),(37 9299594),(38 9248261),(39 9161951),(40 9143662),(41 8947518),(42 8862825),(43 8783063),(44 8663741),(45 8616997),(46 8602932),(47 8614688),(48 8656580),(49 8744797),(50 8862278),(51 9031431),(52 9157395),(53 9397737),(54 9748044),(55 9978893),(56 10344798),(57 10761742),(58 11028316),(59 11027623),(60 11100954),(61 11176275),(62 11272528),(63 11596819),(64 11707730),(65 11775755),(66 11882921),(67 11967710),(68 12073982),(69 12289120),(70 12364729),(71 12444018),(72 12714334),(73 12844395),(74 12948723),(75 12731450),(76 12573162),(77 12494111),(78 12461452),(79 12613852),
(1 274613.13),(2 574978.56),(3 886223.3),(4 1366245),(5 1750336.4),(6 2137278.3),(7 2643417.5),(8 3036520.3),(9 3367375.8),(10 3738924.5),(11 4088872.5),(12 4394270),(13 4678537.5),(14 4894016),(15 5048576),(16 5289584.5),(17 5490891),(18 5665549),(19 5819235),(20 5949204),(21 6089597),(22 6420234.5),(23 6549034.5),(24 6680230.5),(25 6841746.5),(26 7076380),(27 7247275.5),(28 7341045),(29 7424469.5),(30 7515597.5),(31 7628042.5),(32 7845001.5),(33 7987499.5),(34 8117995.5),(35 8351535),(36 8503649),(37 8635516),(38 8878199),(39 9099114),(40 9277209),(41 9307130),(42 9430511),(43 9516759),(44 9649278),(45 9779936),(46 9893943),(47 10094624),(48 10226858),(49 10388919),(50 10610749),(51 10875880),(52 11092459),(53 11324555),(54 11621041),(55 11835000),(56 11941920),(57 12071017),(58 12185922),(59 12280636),(60 12484824),(61 12563767),(62 12711418),(63 12819623),(64 12877641),(65 12925141),(66 12623508),(67 12594808),(68 12567343),(69 12732414),(70 12757932),(71 12781816),(72 13010124),(73 13138430),(74 13269296),(75 13347960),(76 13483128),(77 13594190),(78 13717618),(79 13927885),
(1 275884.06),(2 583848.3),(3 892264.3),(4 1375369.8),(5 1738421.8),(6 2057479.1),(7 2469145.8),(8 2837227),(9 3166023.8),(10 3552045.3),(11 3897336),(12 4117249.8),(13 4373478.5),(14 4514019.5),(15 4631364.5),(16 4868650.5),(17 5029206),(18 5196580.5),(19 5436091.5),(20 5602061.5),(21 5770301),(22 6029248),(23 6179874.5),(24 6342787.5),(25 6550458),(26 6820458.5),(27 7039304),(28 7164216.5),(29 7245811),(30 7339921),(31 7441384),(32 7622373.5),(33 7750853.5),(34 7780955.5),(35 7823429.5),(36 7862247),(37 7868849),(38 7825610.5),(39 7836355.5),(40 7818096),(41 7775210.5),(42 7756523.5),(43 7699258.5),(44 7798381.5),(45 7820818.5),(46 7837972.5),(47 8035392),(48 8093907.5),(49 8188439),(50 8306912),(51 8453150),(52 8565210),(53 8654963),(54 8778503),(55 8895198),(56 8976531),(57 9073975),(58 9163430),(59 9333902),(60 9602057),(61 9727993),(62 9885099),(63 10000828),(64 10101281),(65 10145580),(66 10342174),(67 10467600),(68 10577561),(69 10705099),(70 10793900),(71 10879429),(72 10913900),(73 10972690),(74 11059108),(75 11154902),(76 11281433),(77 11359769),(78 11450946),(79 11715708),
(1 267829.38),(2 567785.3),(3 865898.5),(4 1324011.8),(5 1692177.5),(6 2084224.5),(7 2622217.5),(8 3065630.8),(9 3507259.3),(10 4017496.5),(11 4477184),(12 4865570.5),(13 5397087),(14 5785398.5),(15 6095658),(16 6428993),(17 6752281.5),(18 7018948),(19 7423145.5),(20 7691916),(21 7915260),(22 8154532.5),(23 8256881),(24 8392686),(25 8516538),(26 8635307),(27 8726039),(28 8744849),(29 8748772),(30 8741037),(31 8759887),(32 8858389),(33 8882422),(34 8880612),(35 8919830),(36 8924298),(37 8957151),(38 9116740),(39 9186189),(40 9234489),(41 9161392),(42 9142989),(43 9144497),(44 9234611),(45 9322097),(46 9448482),(47 9651478),(48 9802821),(49 9953427),(50 10115652),(51 10352628),(52 10525392),(53 10620860),(54 10711576),(55 10798692),(56 10908909),(57 11047032),(58 11112109),(59 11028754),(60 10965949),(61 10912259),(62 10885250),(63 11071481),(64 11114248),(65 11137261),(66 11264896),(67 11387320),(68 11512486),(69 11721041),(70 11847859),(71 11973074),(72 12116213),(73 12246632),(74 12394434),(75 12455716),(76 12536239),(77 12632506),(78 12717932),(79 12932346),
