q, (a, b, c)
1.5, (-29503517.266130902, 8.808862355201676, 21240733.52562178)
2.5, (-24776288.065073766, 29.48140114215268, 22878903.97692857)
3.5, (-28114688.020643894, 33.05902514621742, 24719280.576232057)
4.5, (-14825800.993110841, 21.426761032441, 13058363.643878458)
5.5, (-17432028.656242676, 19.433653011741736, 14766281.123534774)
6.5, (-25948285.282718685, 28.34077774099928, 22758750.070870858)
7.5, (-20490590.934921823, 17.840608913927053, 17425598.64053648)
8.5, (-15740930.415898409, 22.55639590415923, 14687258.771433314)
9.5, (-17906387.33541761, 11.097392658475734, 13755860.73165627)
10.5, (-14057218.720481213, 13.995184107168301, 11634391.560207486)
11.5, (-9224145.252521167, 23.41429718810045, 9325653.173787141)
12.5, (-9069900.533078784, 15.86397602332656, 8385302.950469769)
13.5, (-6722492.58838452, 13.542042580004283, 5893846.928503161)
14.5, (-7542803.946128371, 21.339311302367978, 7010520.024517576)
15.5, (-6370257.567195389, 19.574668009068994, 6026343.4484236445)
16.5, (-5386161.225453304, 17.689278068569237, 5146144.981079943)
17.5, (-5031721.367483791, 17.59971407015027, 4723343.0564166345)
18.5, (-4656609.722650609, 11.70607562428171, 4076101.9610039177)
19.5, (-3453139.2192424154, 16.409655734151407, 3555825.5757471505)
20.5, (-3456764.170841091, 13.749780933977604, 3157845.8227146445)
21.5, (-3085992.9784323773, 12.223024035469852, 2821283.7141885427)
22.5, (-2452722.0552029284, 15.79742139475481, 2354292.666660849)
23.5, (-2649845.448017855, 20.981942764463525, 2664351.7101949854)
24.5, (-1852675.6083779715, 14.76566377848897, 1839777.182283356)
25.5, (-1876583.0199022333, 18.808444466192462, 1908621.5686905456)
26.5, (-1697951.6638710757, 15.011426372271023, 1689088.3570464086)
27.5, (-1442636.2911255967, 13.896001968172108, 1395199.9719994655)
28.5, (-1455686.3533548522, 16.075459201276335, 1450491.1944763672)
29.5, (-1208868.8296144346, 15.575519615908018, 1232730.0997000881)
30.5, (-1134549.5188417458, 15.110829208496954, 1167095.8858337968)
31.5, (-1008263.142529888, 12.956120553857737, 1016066.961372038)
32.5, (-1030056.866152224, 10.554610028704237, 979980.0030462658)
33.5, (-968370.5443617225, 15.113593470698733, 983539.5031261405)
34.5, (-865109.6057002482, 13.542835300831243, 862811.8688084517)
35.5, (-934333.4935249744, 11.820007163903833, 895453.6396033082)
36.5, (-691513.8876379038, 10.007501062968291, 695829.8977561707)
37.5, (-703702.9150190419, 11.222267312620668, 709800.8237632005)
38.5, (-601991.0387457615, 11.646087315755254, 620599.3519737105)
39.5, (-642001.3227694357, 15.747155853685, 666574.1475010784)
40.5, (-561879.9797125101, 14.32417753564415, 573138.4064374211)
41.5, (-504455.02594801126, 14.110233046859808, 533204.5700608051)
42.5, (-470864.6770254046, 10.296545884859045, 477044.5890396587)
43.5, (-427495.5817080526, 10.134724265671442, 439363.55520669144)
44.5, (-425671.3227370639, 11.462718427753028, 435999.84087839135)
45.5, (-413155.44179707055, 12.510551125906318, 430044.3878534769)
46.5, (-377757.20507875446, 8.49618611361036, 361209.5627771074)
47.5, (-355551.47269446444, 10.68368840390267, 354439.09924526204)
48.5, (-335375.03238859196, 10.992560951239847, 336501.26655738964)
49.5, (-319977.2445277118, 10.71451218997934, 320240.83816854673)
50.5, (-297307.4246051217, 13.427941206233205, 323858.06775441463)
51.5, (-307870.5626838809, 11.101163434690665, 319225.9719304565)
52.5, (-299677.9939997324, 12.924218084736076, 310530.3926381755)
53.5, (-259837.08157096893, 14.234202261168932, 280489.7219586986)
54.5, (-271465.2982961585, 10.669742326454731, 272015.890127684)
55.5, (-221229.05740827828, 11.092240890778772, 234332.466010377)
56.5, (-219907.11095879233, 12.085258889943734, 233058.0399193958)
57.5, (-223010.25346264683, 11.721990594454612, 229192.74528055624)
58.5, (-183895.4354836919, 9.93939495390129, 194222.3123806395)
59.5, (-192230.10948605894, 12.170944249888166, 207916.0053786127)
60.5, (-199762.589571458, 11.614238540570252, 208312.35230820754)
61.5, (-179833.72404666228, 11.770441638184097, 197719.83549196023)
62.5, (-184916.8936251296, 8.268766691603824, 180860.1168713883)
63.5, (-169116.0683993861, 9.546294533413409, 171827.9702408107)
64.5, (-152043.3688789489, 11.860284111691264, 165813.7288099291)
65.5, (-141808.4258560447, 12.161952905407954, 154635.64782552738)
66.5, (-111478.71845042412, 12.547441379779928, 135965.67121778594)
67.5, (-130940.28356592251, 12.577825005102564, 144498.87409929297)
68.5, (-119126.45859621956, 10.835138585308048, 131865.67178066054)
69.5, (-121514.44894908827, 12.289417118865872, 134050.02811310688)
70.5, (-117080.23819929999, 10.364539485576682, 124771.20789375946)
71.5, (-115676.53106442277, 11.975083840815355, 126534.79059551275)
72.5, (-109021.51448717405, 11.764691902092688, 119272.17723469267)
73.5, (-100391.4337256809, 11.506311218768964, 111043.55983588725)
74.5, (-89016.03254439686, 12.367490742445643, 100832.63058916884)
75.5, (-81951.76119708973, 11.156991924027707, 92899.62036045828)
76.5, (-82433.2515923936, 14.04361037888761, 95233.11330738702)
77.5, (-88139.5089115449, 12.530588673900146, 98437.48615622336)
78.5, (-87680.24817319373, 13.869667062044035, 100274.88574390422)
79.5, (-108187.22809241053, 15.372887458496388, 115876.67234293101)
80.5, (-112505.68577680907, 15.70383598956032, 119927.79836131888)
81.5, (-129570.27541176091, 16.290749915122912, 132737.54260305903)
82.5, (-130077.35348400392, 16.872492951461325, 132627.7136139382)
83.5, (-139512.56179047073, 16.527130396166072, 137431.56269048792)
84.5, (-116100.26329448646, 17.86799472181679, 119079.22165002048)
85.5, (-122865.08672033057, 17.213193737307392, 122529.6596852236)
86.5, (-97114.36871445521, 18.266720758778966, 102222.14981774967)
87.5, (-85705.14463856736, 17.6065222846914, 91481.52085031442)
88.5, (-80975.21422305645, 15.483008584169198, 84836.12309453628)
89.5, (-65924.1369828508, 14.37609610272503, 70542.29469168707)
90.5, (-58921.433066786674, 13.203375962019825, 63625.47172315498)
91.5, (-52414.198003370635, 13.903274166573382, 59290.52190027496)
92.5, (-46546.43932288571, 14.422965647741252, 53372.374955754116)
93.5, (-39134.408092644, 13.533916153139007, 46343.604844243855)
94.5, (-41853.509776002444, 14.670543159465483, 48211.25532377268)
95.5, (-40637.33513266494, 14.454879096204404, 47154.51610597833)
96.5, (-40928.23353579024, 15.195884263594657, 46186.25702749449)
97.5, (-37712.39073871924, 16.611442290108513, 43575.84829007198)
