q, (a, b, c)
1.5, (-98944955.85627644, 110.04654943409412, 94107561.98075008)
2.5, (-136555552.1409589, 168.48036676243888, 131829003.16897567)
3.5, (-42325669.8510253, 64.42984226431248, 39475986.9658466)
4.5, (-28640943.16473907, 23.401178959165172, 29038206.821098395)
5.5, (-32836616.40089765, 6.25759421242892, 23832116.738440316)
6.5, (-24424602.0326545, 5.263876669520621, 17372969.110541604)
7.5, (-17681900.31735126, 6.809354935804964, 12842631.21357243)
8.5, (-13523740.813323492, 13.174176255164971, 11931158.723561637)
9.5, (-11101199.01510944, 12.995928713231255, 10146366.959977997)
10.5, (-9412839.682751628, 15.488550139843472, 9606277.877237953)
11.5, (-8207967.900428375, 4.757575911263136, 6331433.453378496)
12.5, (-6837865.850275164, 5.356183044852313, 5432215.536589672)
13.5, (-4261315.052268489, 11.611154710564806, 4581931.873761772)
14.5, (-3866291.604962335, 19.86618482896139, 4554703.237037183)
15.5, (-4035057.6960399756, 34.19536212756228, 4699082.959858472)
16.5, (-3722496.9263222665, 14.666553456291473, 3772604.3374525695)
17.5, (-3564144.368288777, 11.420819522030458, 3505473.869351563)
18.5, (-3647680.3583187987, 9.639784320901633, 3479317.356318018)
19.5, (-2920094.695102438, 12.330799635360638, 2974362.3336269446)
20.5, (-2941974.0988399605, 6.77571554928821, 2585198.892652661)
21.5, (-2096465.3796035617, 11.448459505174062, 2381393.9744242798)
22.5, (-1941774.7173334162, 9.069858386677843, 2019803.4698084162)
23.5, (-2125447.082653886, 4.16229088332269, 1739746.7179969363)
24.5, (-1774333.8026902848, 4.6078800497961465, 1580555.344952681)
25.5, (-1547291.7844181631, 6.983381186780566, 1629143.699371985)
26.5, (-1321644.4437954624, 6.873655747921159, 1425851.102019401)
27.5, (-1153878.2396730967, 7.835636636690573, 1373894.8858358453)
28.5, (-958772.157743651, 12.063241479306292, 1335203.6901152655)
29.5, (-1013537.6427813523, 6.545124501909662, 1140516.8410153755)
30.5, (-736850.1943319188, 13.931636142111135, 1237285.8743606862)
31.5, (-928843.0715469822, 5.48768564825778, 1000580.7125514146)
32.5, (-1214354.170138312, 2.8998284097100546, 935872.432606559)
33.5, (-1133884.432173543, 3.066096365571443, 853701.1923194327)
34.5, (-710189.3693971481, 5.101959048194001, 727388.613438819)
35.5, (-798971.5421403277, 3.3349746141391803, 723408.0987951665)
36.5, (-438095.44787134795, 20.374149650881105, 736092.6698965143)
37.5, (-597683.5815969893, 5.408236816491445, 685287.1938618001)
38.5, (-662301.3330155215, 3.5477827325609326, 604710.5553466813)
39.5, (-547081.5927689455, 3.577162598943416, 538901.517030615)
40.5, (-421182.40682753356, 6.981183262086584, 562131.7528912014)
41.5, (-672681.6846757446, 164.45788876750206, 1016827.2079280827)
42.5, (-531268.5082363748, 3.7367613114299907, 529139.3601926841)
43.5, (-461543223.5049895, 144112.1994075555, 461881146.7967296)
44.5, (-232109.38359256226, 31.40543333918673, 481972.7699620538)
45.5, (-331614.4921382122, 4.4389323299976216, 407196.69209680957)
46.5, (-202239.66135817155, 14.786355947712769, 385491.8437320624)
47.5, (-185918.9278562141, 17.99582909261588, 369626.58332833473)
48.5, (-178263.2360624463, 28.173108344345767, 380069.14293138514)
49.5, (-193467.27341558688, 29.610619731937522, 376143.6945057151)
50.5, (-186400.1979675642, 26.95651458712815, 362235.91153562703)
51.5, (-139653.52348556704, 23.43064909207709, 309500.7928897014)
52.5, (-152635.18260623954, 21.44294306371293, 306456.0579201123)
53.5, (-144216.25885476815, 35.72200489805459, 301879.8024877102)
54.5, (-137544.3632250144, 34.25696605140149, 281896.1067911595)
55.5, (-115367.11084397006, 22.74637575144455, 258628.68439659098)
56.5, (-111936.50392045757, 21.80799603515813, 248449.68936489784)
57.5, (-104160.77839368391, 21.426078010950125, 240413.2639245087)
58.5, (-100357.425335636, 19.054929612869007, 234235.28713723295)
59.5, (-94026.70728867035, 27.311720426062312, 231110.69746442974)
60.5, (-103564.8687966622, 34.7636914736699, 234773.1423284958)
61.5, (-102901.32061862436, 35.664971999909575, 228547.16187382245)
62.5, (-85327.41842177363, 21.91692868645718, 201486.9917435471)
63.5, (-78230.31911773219, 15.869748935296174, 185889.19974361575)
64.5, (-73088.42496628244, 23.903506689372197, 185381.14412185227)
65.5, (-77218.78485132284, 14.593327396839475, 163389.62797098624)
66.5, (-76802.2246574248, 8.358472229933996, 151371.63542349706)
67.5, (-65819.07546854422, 15.096515587579908, 149335.67162991423)
68.5, (-67848.4704461354, 11.031950186408423, 140979.79379521255)
69.5, (-68435.08393084597, 29.78273858636663, 150777.862347611)
70.5, (-59005.64961854295, 25.950813155958365, 135588.33995507465)
71.5, (-63490.9409566027, 18.483951455101764, 130611.58329025123)
72.5, (-70955.46162613881, 49.144605240518544, 144852.42071283134)
73.5, (-56515.12562275321, 27.52936405701314, 122125.16401291634)
74.5, (-54032.51344410838, 21.60151173922417, 113398.09958413133)
75.5, (-62291.869166894714, 44.19259534768603, 124098.81732957136)
76.5, (-47142.62934640455, 17.807891731932216, 104615.17768005288)
77.5, (-50699.04159537062, 20.905516303873938, 99634.02606311122)
78.5, (-51525.48094371107, 18.83501291776443, 99533.3759218761)
79.5, (-47839.688047768024, 14.65700890688824, 91136.9736403574)
80.5, (-49030.85460078477, 24.831607170480943, 98149.01190956094)
81.5, (-44056.065327568984, 20.078664232730947, 87733.41779363464)
82.5, (-45253.74062649034, 16.087671888124362, 83517.87870069237)
83.5, (-44827.55925420858, 22.973871273960867, 88566.88993889312)
84.5, (-39706.79828136993, 24.60571394484927, 82473.85434928774)
85.5, (-39496.50298739636, 25.059908479211188, 81414.7754369802)
86.5, (-34759.21871270554, 29.835810674988068, 76091.81401020281)
87.5, (-35369.47552560445, 17.20664683421727, 71615.74016096457)
88.5, (-34873.29392763873, 18.064036776580252, 71926.3052873059)
89.5, (-32110.85697769889, 30.165140083655043, 69313.93258013816)
90.5, (-29834.701388952955, 17.971424533609714, 65838.80999321456)
91.5, (-28548.54452060237, 15.664186989042188, 61730.812891749905)
92.5, (-24355.104658498596, 23.097532541191427, 60452.99826676747)
93.5, (-26927.567379144704, 14.630397397897108, 58610.094033837515)
94.5, (-24985.549807350813, 24.000750864287397, 57116.52569733862)
95.5, (-25731.59436322452, 14.412084096827371, 53442.418556951845)
96.5, (-23745.16070077493, 14.358900521062788, 52393.97632397305)
97.5, (-24873.15612298692, 24.753997858096884, 55430.38108463435)
98.5, (-24473.255702011113, 24.893690441305765, 55818.377268802906)
99.5, (-25289.408097625255, 21.474108883386272, 52117.574750608524)
100.5, (-21527.400867406875, 23.252683935453412, 50048.59228247582)
101.5, (-22798.638035601056, 40.490714963311994, 51913.18736533366)
102.5, (-22216.12641409677, 21.0024092683157, 45942.41889453014)
103.5, (-21545.657137429436, 20.472302858269508, 46326.177708628566)
104.5, (-20140.263423197874, 22.33641920827443, 43262.151449556135)
105.5, (-20294.03624090425, 29.12704127493497, 43302.848414529726)
106.5, (-18457.243373685604, 17.592168816245007, 40577.4516737581)
107.5, (-18708.469146546846, 22.259768145062463, 40608.80658207512)
108.5, (-16273.978666699577, 19.811048687208515, 37420.24670499756)
109.5, (-15348.85312206872, 16.364008115806747, 35649.63310246103)
110.5, (-16050.97231395599, 26.639112562874747, 37921.01663680915)
111.5, (-14568.319013669727, 16.379907117187038, 35349.80077207303)
112.5, (-15860.819568110543, 27.713482235656834, 36277.73249268517)
113.5, (-16705.140069851528, 25.172977544242507, 34476.460434711604)
114.5, (-14640.554291473203, 25.64161124205883, 32491.387341111185)
115.5, (-15980.881338914347, 32.948934009072865, 34016.79524736123)
116.5, (-15745.95423433323, 44.80607656919075, 34130.0222454966)
117.5, (-12642.242431814102, 35.67226735396248, 30745.621447088175)
118.5, (-11838.27131741724, 36.7359779111734, 30069.940532181205)
119.5, (-12377.93410449314, 30.137565367272632, 28958.240485959173)
120.5, (-11319.018521108022, 23.492369289562383, 27121.11421029108)
121.5, (-14448.038566724388, 47.61584541864894, 30583.734896546826)
122.5, (-12119.28667108668, 32.66328295255784, 27480.394286875726)
123.5, (-11454.109582026402, 39.59666856882318, 27302.426671566795)
124.5, (-10565.575299962764, 23.56892758606509, 25062.691781205893)
125.5, (-10738.909937135968, 29.902910994779823, 25040.617548849583)
126.5, (-9453.080334870825, 33.198503077658124, 24308.844015533337)
127.5, (-10031.424776183656, 49.688558165550496, 24716.53935375169)
128.5, (-11085.389941601892, 46.32759840364021, 25371.232176826026)
129.5, (-8443.500684213843, 30.62321570478585, 22211.861107320452)
130.5, (-8575.228480298483, 35.00339886401018, 21928.20767205451)
131.5, (-8507.56705681741, 15.850034957581785, 20251.22099027451)
132.5, (-7797.83572952568, 18.070996121177732, 19316.028913099333)
133.5, (-8085.069241155748, 27.72225787605008, 20046.192185962027)
134.5, (-8005.018976596913, 11.094771216555216, 18164.623921090413)
135.5, (-7616.9913245628095, 20.282931550274377, 18448.834202491005)
136.5, (-7839.033828234309, 19.527990816697866, 17880.06799126901)
137.5, (-7271.460165430461, 17.196367136687094, 17292.01422921578)
138.5, (-6710.869630819727, 17.851908202227648, 16773.66193001961)
139.5, (-7351.650585684081, 25.610508980345816, 17222.73311610589)
140.5, (-8224.420730372743, 41.683955594467456, 18432.03991304675)
141.5, (-8158.793071976226, 45.73886059973546, 18302.71866328492)
142.5, (-7089.361918650841, 35.637241691612154, 16446.543608925378)
143.5, (-6282.88127454803, 27.718675201022773, 15606.493571459914)
144.5, (-7185.510301380089, 53.51399022429672, 16912.859489957806)
145.5, (-6705.959208345805, 31.190182557564857, 15465.619335170226)
146.5, (-5785.037935939226, 37.07272053210748, 15108.505380049068)
147.5, (-5398.7605783199615, 19.79708556808425, 13640.410936634016)
148.5, (-5837.5060291791215, 33.24516277996166, 14354.824700086187)
149.5, (-5460.48115254062, 33.080247013043085, 13630.199006562585)
150.5, (-6267.295664551869, 45.596156726154334, 14608.816163498566)
151.5, (-5913.159317594244, 41.32824665081496, 13967.96885861959)
152.5, (-5392.824410433612, 27.32461116424553, 12799.62072236346)
153.5, (-4952.254529630033, 29.550449935650516, 12348.85570602776)
154.5, (-5212.20106798053, 27.607094711404073, 12280.24188127501)
155.5, (-5000.11245963586, 32.942006128103124, 12036.469133471117)
156.5, (-5050.99246991818, 33.34638960928843, 11888.909086625921)
157.5, (-5878.203608242825, 57.40930595351961, 13033.437772936606)
158.5, (-4488.04917876903, 36.13337198053356, 11285.534703670593)
159.5, (-5045.535436258887, 52.43375352262868, 11674.043325488667)
160.5, (-4633.554546415219, 37.089726619210595, 11055.812064544376)
161.5, (-4353.997685710012, 32.59023644148658, 10349.560386095533)
162.5, (-4286.406632437546, 45.37225838101954, 10522.067199324996)
163.5, (-4632.398091945802, 40.88788111906715, 10579.928785808324)
164.5, (-3724.123695305951, 25.351754727063103, 9189.998055085618)
165.5, (-4462.61305920607, 51.78202336857721, 10407.45319440383)
166.5, (-3399.1222285477265, 16.373469078963076, 8338.549482083386)
167.5, (-5776.916357005031, 84.06395967725125, 11494.539943780506)
168.5, (-3588.2558767805285, 34.88107005512822, 8975.982847072033)
169.5, (-3639.2621793134263, 27.80711699602152, 8614.601977577262)
170.5, (-3563.1599563864656, 31.28271025044032, 8400.676986866893)
171.5, (-3558.8147866860772, 37.51479957734803, 8374.60098343163)
172.5, (-3805.4534621163393, 45.21157532268941, 8654.89729327198)
173.5, (-4631.1216249461695, 73.54404929943364, 9470.438485747782)
174.5, (-3465.229519419987, 36.6844863202369, 8048.916742218172)
175.5, (-3285.5244205548406, 17.125360707153323, 7313.862172376656)
176.5, (-3263.770824210794, 40.29586966462445, 7755.562088172464)
177.5, (-3995.972031744228, 54.89401382465864, 8488.332703072503)
178.5, (-3417.498577630185, 33.53098964322305, 7531.132384170465)
179.5, (-3467.042529931875, 48.3124340329029, 7691.598146136354)
180.5, (-3032.2431364618888, 29.80323137724873, 7010.5791733311235)
181.5, (-2881.412022331827, 35.301226235063055, 6838.34536960626)
182.5, (-3159.3516111635226, 41.638241324668655, 7044.049586376345)
183.5, (-2605.548036813377, 27.188593314236645, 6339.868544346608)
184.5, (-2890.5268035083664, 36.47169984926837, 6551.378608766395)
185.5, (-2588.108648765469, 41.18645315564264, 6388.4992524116715)
186.5, (-2712.1083978313895, 37.91704697741423, 6300.278929311822)
187.5, (-2799.335003328965, 47.23452718576007, 6359.599012005282)
188.5, (-2464.987773299908, 37.619737432260614, 5906.765236390947)
189.5, (-2204.2552974430478, 33.685356019553254, 5578.7952713981485)
190.5, (-2669.4309975883693, 54.510695020279464, 6110.670075076516)
191.5, (-3051.635230056271, 65.70029396902831, 6426.376816221288)
192.5, (-5349.064495814786, 162.13559896235537, 8851.008411732228)
193.5, (-2601.0778723653175, 56.9184432828387, 5886.637689823879)
194.5, (-3271.092598389586, 76.13090863338742, 6362.579631052163)
195.5, (-2160.866746636237, 35.89798192048812, 5142.551718734732)
196.5, (-2121.2741289867213, 41.916391452397356, 5072.169108837622)
197.5, (-2226.7467506078606, 47.91319302279014, 5264.014093975037)
198.5, (-2449.802954097678, 63.96404312478646, 5441.252156809232)
199.5, (-1842.1763351963086, 27.767514464739612, 4605.865929282726)
200.5, (-2123.465339142356, 46.44435825283424, 4886.682172782395)
201.5, (-2247.886263969101, 50.41490135022052, 5002.302746252373)
202.5, (-2007.5244620763538, 36.28170953546982, 4580.5053884997715)
203.5, (-2512.727142623852, 60.68913610077137, 5132.382952218388)
204.5, (-1941.1985245336866, 35.54035636600514, 4495.179512351009)
205.5, (-1875.049524900616, 33.68533998970989, 4312.968430566528)
206.5, (-2382.159821912521, 75.75637804185065, 5004.616646391718)
207.5, (-1952.2939606684558, 41.492416690970025, 4384.177234824289)
208.5, (-1683.4346447399237, 35.48391320428456, 4091.2052489176085)
209.5, (-1797.5035762018947, 35.92542250200539, 4155.3664812935385)
210.5, (-1681.524391556195, 34.545493929375205, 3981.055989768746)
211.5, (-1511.1524741695614, 23.560440658764584, 3733.042412314144)
212.5, (-1540.0423758928937, 32.84885298840098, 3734.3152001913286)
213.5, (-1562.545330503478, 38.55788333333071, 3753.6503037456605)
214.5, (-1721.0323260150326, 38.95244054113691, 3885.318426599184)
215.5, (-1643.9914598743808, 35.89982931483324, 3748.879803302574)
216.5, (-1426.724536231842, 22.733071348454217, 3361.3630075500932)
217.5, (-1535.8548141428917, 30.581283850032246, 3487.1945529577424)
218.5, (-1442.388518563964, 29.20311104910422, 3382.206762219045)
219.5, (-1396.324580289192, 32.643972754169894, 3320.96962617621)
220.5, (-1365.9468240482524, 31.667042411732865, 3286.1188874378863)
221.5, (-1420.7770667201696, 39.710371803165295, 3292.4873436089933)
222.5, (-1604.3417006319917, 46.680951696094745, 3521.1818922461666)
223.5, (-1739.522383531876, 60.23240934228367, 3648.411247492449)
224.5, (-1585.9150102740173, 51.05220144968924, 3375.148300003128)
225.5, (-2007.6291694277386, 80.92190782657353, 3883.1183791931826)
226.5, (-1575.402204379826, 54.78528204659539, 3383.2867536410213)
227.5, (-1409.6803817495115, 49.359458762712144, 3177.24675506925)
228.5, (-1740.3821428308813, 72.84940695360365, 3562.5706472388465)
229.5, (-1501.1923029623445, 63.13106504771901, 3216.2996229794608)
230.5, (-1189.0794796133655, 40.684095133135266, 2896.5197212082808)
231.5, (-1510.8766053259747, 69.61792807686946, 3189.3526734745938)
232.5, (-1399.4538137850168, 51.31875409459921, 3016.271656776103)
233.5, (-1134.9704283021954, 41.51090356510602, 2718.3655589291566)
234.5, (-1423.8313249608743, 63.72791151180835, 3030.0002557286102)
235.5, (-1076.7220169443483, 32.38715858427255, 2597.3403177275372)
236.5, (-1373.9667550345614, 58.78056545984848, 2957.8959193991386)
237.5, (-1055.7050393042985, 35.70932447731247, 2517.400390306536)
238.5, (-1306.749280077551, 60.15057896802582, 2855.2941781323484)
239.5, (-1026.7445778611525, 42.895892370653534, 2490.340900326036)
240.5, (-1180.6580356935783, 40.212734322778104, 2617.4006290539064)
241.5, (-1190.875140812676, 61.25854300699375, 2646.8291712912905)
242.5, (-1098.0537712178782, 57.441752208871804, 2533.4049275536545)
243.5, (-943.3685154827663, 33.7981512283487, 2292.4310220470443)
244.5, (-1409.4640221953925, 84.71906927430635, 2839.0012185878177)
245.5, (-1153.9013553854973, 65.5991531876707, 2563.897111004908)
246.5, (-1753.6242352078343, 142.88061908323118, 3148.044937168158)
247.5, (-2382.7087121504806, 183.81217099567425, 3777.3767167405827)
248.5, (-1362.9405626654768, 85.32486676995573, 2692.9558684947947)
249.5, (-1156.2224969018723, 63.02392130138855, 2450.7813735982745)
250.5, (-995.8037532734426, 53.48971336042367, 2265.669076294868)
251.5, (-769.4034088843441, 27.619423247562256, 1939.4729452924764)
252.5, (-952.3088516055894, 43.72202497874462, 2156.19655381209)
253.5, (-886.4256607632666, 45.4011651069166, 2083.328273129418)
254.5, (-912.1897064826123, 48.672084944736994, 2097.334270769535)
255.5, (-815.4316208462535, 36.57785338850212, 1932.3327447988806)
256.5, (-1377.9417715755742, 100.00106138449372, 2547.524937342713)
257.5, (-769.4427750062426, 33.2069284064886, 1887.9726907018096)
258.5, (-977.6552863965483, 64.12991334956902, 2102.2454497379963)
259.5, (-772.8672175178837, 37.56539184481982, 1859.971195982184)
260.5, (-737.5585668407715, 37.15899218162241, 1809.0628206735205)
261.5, (-744.192711891938, 37.655568982585095, 1780.2771116797326)
262.5, (-715.0060414199182, 24.301988221572426, 1715.4574162915217)
263.5, (-735.298312655979, 30.337942939159316, 1708.6981501463433)
264.5, (-726.9413411937697, 30.551255057501805, 1696.650184429579)
265.5, (-674.331096032, 23.930892551582158, 1580.456139562341)
266.5, (-657.6633578885109, 22.574409011674632, 1576.8556196212637)
267.5, (-702.619414338527, 16.91563002929087, 1521.4903906716636)
268.5, (-699.9696497486377, 29.466338082112507, 1590.3660088767288)
269.5, (-728.5450902597549, 32.2534910671229, 1613.2173319943765)
270.5, (-662.5147547975075, 32.09209360968225, 1550.6686150264309)
271.5, (-655.6772163795237, 36.99880239211099, 1575.3164783815853)
272.5, (-648.9549938180053, 29.05281116642198, 1497.3271305774222)
273.5, (-615.9264690453817, 29.62411891385088, 1463.7685109284264)
274.5, (-670.8869604733173, 42.30674788072031, 1550.9039240651823)
275.5, (-608.2046811640697, 30.905728175286217, 1440.0402783080226)
276.5, (-639.2147368147112, 37.023000491597074, 1481.9545225621848)
277.5, (-547.3039165946765, 29.245381480728906, 1350.7250956214596)
278.5, (-663.1196999175506, 38.53725369609435, 1465.1540137266372)
279.5, (-571.8751319783546, 22.412738362324216, 1316.0171496341911)
280.5, (-527.3720182799365, 21.23944484258547, 1256.2323619349215)
281.5, (-581.9633018121447, 33.053860748981236, 1352.4792440049946)
282.5, (-557.7773420067734, 27.248140513601353, 1290.1635122374757)
283.5, (-537.5325531509795, 17.76795551551045, 1219.883766665258)
284.5, (-590.0107882863426, 32.93704225715522, 1330.5885382584438)
285.5, (-608.8559371901144, 32.01062144156864, 1304.1791986787252)
286.5, (-548.7607551761078, 24.341679540683316, 1241.6242731853438)
287.5, (-522.5836891358445, 13.740294892739353, 1133.1668142660953)
288.5, (-511.67431747967424, 16.412580708959364, 1130.172475915304)
289.5, (-483.06514735677763, 16.662739645059336, 1096.7284230224102)
290.5, (-500.3596962958022, 23.63272514390213, 1121.1204926121766)
291.5, (-517.6214938674051, 26.146150882625946, 1156.5622467827318)
292.5, (-494.5706617401173, 19.787277868789154, 1079.46779640836)
293.5, (-528.9028678721537, 12.898350570258547, 1055.101011269219)
