1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 172929.94),(2 517230.47),(3 945557),(4 1427837.1),(5 1976179.4),(6 2475474.8),(7 2915271),(8 3417374),(9 3971318),(10 4676826.5),(11 5468098.5),(12 6360872.5),(13 7391509.5),(14 8365908.5),(15 9411892),(16 10555643),(17 11575439),(18 12737005),(19 13895472),(20 15077355),(21 16160632),(22 17226352),(23 18341214),(24 19384970),(25 20322304),(26 21067696),(27 21881158),(28 22515296),(29 23095856),(30 23597654),(31 24135554),(32 24558672),(33 24880102),(34 25118960),(35 25337024),(36 25501376),(37 25565040),(38 25590054),(39 25601872),(40 25602922),(41 25589754),(42 25568200),(43 25494566),(44 25434354),(45 25354066),(46 25248490),(47 25117078),(48 24969570),(49 24845866),(50 24718552),(51 24598176),(52 24496680),(53 24479474),(54 24510632),(55 24619090),(56 24746336),(57 24983728),(58 25247022),(59 25392898),(60 25497910),(61 25650864),(62 25835578),(63 25993280),(64 26202464),(65 26388152),(66 26566930),(67 26670016),(68 26849632),(69 27077562),(70 27285226),(71 27322346),(72 27264062),(73 27182426),(74 27075152),(75 26886726),(76 26565642),(77 26335656),(78 26063190),(79 25699154),
(1 235643.45),(2 813169.2),(3 1629473),(4 2649822.8),(5 3871876),(6 5176888),(7 6469465.5),(8 7828638.5),(9 9259616),(10 10723013),(11 12187606),(12 13667314),(13 15065130),(14 16399446),(15 17553690),(16 18667322),(17 19787282),(18 20798316),(19 21586684),(20 22289054),(21 22832492),(22 23214814),(23 23503034),(24 23659892),(25 23661748),(26 23479062),(27 23215946),(28 22875216),(29 22441716),(30 21969110),(31 21501786),(32 21002966),(33 20466554),(34 19930296),(35 19402876),(36 18887076),(37 18436920),(38 18000640),(39 17610588),(40 17243684),(41 16990510),(42 16779300),(43 16650579),(44 16654621),(45 16714326),(46 16792440),(47 16952134),(48 17165710),(49 17370430),(50 17539806),(51 17745884),(52 17959216),(53 18151936),(54 18326164),(55 18500084),(56 18692156),(57 18906028),(58 19155196),(59 19298600),(60 19430524),(61 19553226),(62 19710236),(63 19847366),(64 19936502),(65 19970338),(66 19894482),(67 19803876),(68 19685276),(69 19527584),(70 19334012),(71 19107468),(72 18810712),(73 18548346),(74 18225900),(75 17939400),(76 17642730),(77 17332826),(78 17083698),(79 16812404),
(1 271837.88),(2 985833.94),(3 2033811.4),(4 3374959.8),(5 5002223.5),(6 6789236),(7 8631951),(8 10592731),(9 12697043),(10 14873497),(11 17074458),(12 19295644),(13 21494494),(14 23631024),(15 25596472),(16 27531690),(17 29243552),(18 30728218),(19 31943190),(20 33026000),(21 33889940),(22 34556596),(23 35010364),(24 35370092),(25 35534108),(26 35468624),(27 35326524),(28 35057540),(29 34670410),(30 34160556),(31 33520840),(32 32843098),(33 32096816),(34 31241886),(35 30371206),(36 29440414),(37 28503688),(38 27644126),(39 26825786),(40 26069288),(41 25365008),(42 24703114),(43 24108704),(44 23577402),(45 23138720),(46 22784144),(47 22563070),(48 22523190),(49 22526806),(50 22601058),(51 22808698),(52 23111018),(53 23436058),(54 23746090),(55 24107078),(56 24560262),(57 25062392),(58 25602618),(59 26176810),(60 26734816),(61 27276458),(62 27851662),(63 28367046),(64 28824566),(65 29251528),(66 29527816),(67 29782650),(68 29910034),(69 30051414),(70 30133510),(71 30091022),(72 29951966),(73 29795186),(74 29595026),(75 29385542),(76 29175290),(77 28874254),(78 28535494),(79 28157110),
(1 262244.84),(2 961559.25),(3 2015262),(4 3363713),(5 4976578),(6 6757197),(7 8610799),(8 10563822),(9 12586800),(10 14606368),(11 16597312),(12 18570052),(13 20485408),(14 22313598),(15 24039574),(16 25675872),(17 27177240),(18 28531368),(19 29632650),(20 30568854),(21 31340662),(22 31976796),(23 32395044),(24 32778332),(25 32990328),(26 33084554),(27 33136054),(28 33132242),(29 33078610),(30 32955470),(31 32713610),(32 32451140),(33 32121336),(34 31675544),(35 31224590),(36 30663332),(37 30043320),(38 29458404),(39 28857870),(40 28245986),(41 27632054),(42 27031896),(43 26368312),(44 25671264),(45 24945880),(46 24248280),(47 23573554),(48 22961066),(49 22372328),(50 21823196),(51 21338112),(52 20936094),(53 20592836),(54 20287266),(55 20033490),(56 19865348),(57 19764004),(58 19713428),(59 19722610),(60 19768394),(61 19833318),(62 19977942),(63 20154968),(64 20373476),(65 20672074),(66 21001166),(67 21386580),(68 21827408),(69 22292690),(70 22811238),(71 23302304),(72 23759884),(73 24199150),(74 24590510),(75 24948086),(76 25300182),(77 25564598),(78 25815432),(79 25943938),
(1 244292.77),(2 895137.06),(3 1875923.9),(4 3137424.3),(5 4603662.5),(6 6207720),(7 7866039.5),(8 9580518),(9 11299805),(10 12964601),(11 14535484),(12 16055930),(13 17497330),(14 18756712),(15 19887378),(16 20832030),(17 21570814),(18 22234050),(19 22719640),(20 23052774),(21 23268222),(22 23401080),(23 23427512),(24 23436942),(25 23411502),(26 23352360),(27 23327388),(28 23290082),(29 23343394),(30 23417032),(31 23491008),(32 23590482),(33 23689744),(34 23728050),(35 23777312),(36 23732882),(37 23613418),(38 23447994),(39 23173830),(40 22816386),(41 22457222),(42 22084388),(43 21634376),(44 21173474),(45 20702356),(46 20224034),(47 19777186),(48 19313614),(49 18911864),(50 18516322),(51 18140100),(52 17773304),(53 17494976),(54 17263534),(55 17087890),(56 16971912),(57 16923678),(58 16949690),(59 16962952),(60 17020026),(61 17134286),(62 17305390),(63 17520630),(64 17752634),(65 18040066),(66 18317054),(67 18622784),(68 18944590),(69 19254176),(70 19523378),(71 19760060),(72 19941434),(73 20106136),(74 20206892),(75 20256492),(76 20244570),(77 20146104),(78 20010656),(79 19807032),
(1 252398.63),(2 894160.3),(3 1838464.8),(4 2998632),(5 4315055),(6 5689663),(7 7069912),(8 8419048),(9 9695361),(10 10836466),(11 11826042),(12 12748022),(13 13627024),(14 14337501),(15 15022536),(16 15567898),(17 15861958),(18 16139112),(19 16288885),(20 16355570),(21 16385939),(22 16319494),(23 16246653),(24 16144064),(25 16109918),(26 16012818),(27 15970381),(28 15930541),(29 15964610),(30 16010074),(31 16136131),(32 16279808),(33 16448246),(34 16561165),(35 16707867),(36 16779844),(37 16801802),(38 16836932),(39 16754858),(40 16630597),(41 16533990),(42 16416710),(43 16282922),(44 16190870),(45 16144938),(46 16163280),(47 16257854),(48 16435024),(49 16692176),(50 16978940),(51 17289990),(52 17621636),(53 17967748),(54 18316550),(55 18653894),(56 18933990),(57 19217956),(58 19454604),(59 19622244),(60 19736870),(61 19775844),(62 19788660),(63 19771304),(64 19731940),(65 19718796),(66 19638678),(67 19615208),(68 19582144),(69 19579116),(70 19521818),(71 19427536),(72 19311426),(73 19150028),(74 18949532),(75 18741798),(76 18468836),(77 18054502),(78 17569926),(79 17029878),
(1 237914.31),(2 814721.56),(3 1603874.3),(4 2541379.8),(5 3589809.5),(6 4638212.5),(7 5623239),(8 6502069.5),(9 7271313),(10 7938185),(11 8468919),(12 8933695),(13 9399623),(14 9810600),(15 10185052),(16 10492811),(17 10757537),(18 11022977),(19 11199221),(20 11316794),(21 11426594),(22 11515872),(23 11631841),(24 11770693),(25 11974128),(26 12236059),(27 12591983),(28 13024860),(29 13526133),(30 14042926),(31 14575831),(32 15070974),(33 15543890),(34 15959030),(35 16312932),(36 16582465),(37 16726926),(38 16809970),(39 16754273),(40 16633642),(41 16474250),(42 16261311),(43 16043063),(44 15844425),(45 15675711),(46 15588375),(47 15512053),(48 15495678),(49 15523206),(50 15586735),(51 15705428),(52 15890678),(53 16059749),(54 16197151),(55 16322270),(56 16365509),(57 16381515),(58 16372822),(59 16379225),(60 16389157),(61 16373435),(62 16297708),(63 16206185),(64 16134844),(65 16098090),(66 16127381),(67 16207138),(68 16379871),(69 16537787),(70 16639377),(71 16794712),(72 16900466),(73 17025600),(74 17136358),(75 17245918),(76 17324266),(77 17388960),(78 17454128),(79 17434238),
(1 250324.48),(2 838287.1),(3 1626869.1),(4 2517290.3),(5 3437193.3),(6 4280419),(7 4975600),(8 5529727.5),(9 5959095),(10 6288611),(11 6509629),(12 6742618.5),(13 7069990.5),(14 7352081.5),(15 7684542.5),(16 7979951),(17 8178147),(18 8450633),(19 8705603),(20 8904483),(21 9123156),(22 9319434),(23 9486853),(24 9684041),(25 9841769),(26 10005065),(27 10197542),(28 10449354),(29 10771633),(30 11146691),(31 11534845),(32 11904567),(33 12262394),(34 12551195),(35 12765548),(36 12872106),(37 12871295),(38 12777507),(39 12544929),(40 12254900),(41 11936796),(42 11550357),(43 11149611),(44 10850415),(45 10598370),(46 10478465),(47 10429850),(48 10468420),(49 10576204),(50 10736160),(51 10896030),(52 11028610),(53 11135995),(54 11200018),(55 11240947),(56 11217948),(57 11172359),(58 11130089),(59 11061899),(60 10996851),(61 10949379),(62 10881534),(63 10843488),(64 10817236),(65 10821642),(66 10935255),(67 11046250),(68 11195258),(69 11355490),(70 11485886),(71 11603956),(72 11673428),(73 11768431),(74 11848626),(75 11889306),(76 11847081),(77 11831717),(78 11839469),(79 11762701),
(1 287474.9),(2 979270.06),(3 1893410.4),(4 2869206),(5 3825351.5),(6 4628902),(7 5162268),(8 5500523),(9 5693552.5),(10 5760814),(11 5771156.5),(12 5847598),(13 6042870.5),(14 6315268),(15 6641132),(16 7009130.5),(17 7413056),(18 7717147.5),(19 7912616.5),(20 8113331),(21 8282903.5),(22 8363565),(23 8456602),(24 8633798),(25 8824796),(26 8993726),(27 9174598),(28 9404383),(29 9607816),(30 9845968),(31 10152608),(32 10449245),(33 10673850),(34 10852046),(35 10996553),(36 11065237),(37 11067786),(38 11080731),(39 11016806),(40 10897534),(41 10717405),(42 10500369),(43 10332825),(44 10116037),(45 9910912),(46 9744431),(47 9632226),(48 9665236),(49 9673979),(50 9716188),(51 9759453),(52 9793719),(53 9831976),(54 9831064),(55 9805118),(56 9793606),(57 9768948),(58 9725636),(59 9671272),(60 9566626),(61 9454680),(62 9331670),(63 9209068),(64 9065988),(65 8908666),(66 8684272),(67 8508925),(68 8303169),(69 8128067),(70 7966654),(71 7798659),(72 7665089.5),(73 7508543.5),(74 7397355),(75 7339669.5),(76 7324226),(77 7266035),(78 7225892.5),(79 7186101.5),
(1 312228.97),(2 1089851),(3 2123211.8),(4 3238497.8),(5 4301492.5),(6 5161088),(7 5736793.5),(8 6060392.5),(9 6193090),(10 6195363.5),(11 6146839),(12 6194454),(13 6384662.5),(14 6679883.5),(15 7052961),(16 7466574),(17 7884839),(18 8242944),(19 8537754),(20 8785250),(21 8948321),(22 9019191),(23 9077067),(24 9196001),(25 9347549),(26 9513332),(27 9752794),(28 10024043),(29 10261160),(30 10510392),(31 10784122),(32 11003420),(33 11161786),(34 11277106),(35 11369011),(36 11413121),(37 11445474),(38 11553008),(39 11615079),(40 11581705),(41 11456670),(42 11262817),(43 11015646),(44 10680110),(45 10340444),(46 10026978),(47 9805987),(48 9707792),(49 9652052),(50 9630982),(51 9628300),(52 9620289),(53 9629914),(54 9603142),(55 9553627),(56 9503914),(57 9436960),(58 9353914),(59 9268866),(60 9165620),(61 9062791),(62 8954624),(63 8840211),(64 8735948),(65 8622203),(66 8471895),(67 8355941.5),(68 8248986.5),(69 8157583),(70 8067560),(71 7968162),(72 7862306),(73 7731070),(74 7611920),(75 7538380.5),(76 7495562.5),(77 7397234.5),(78 7341486.5),(79 7301450),
(1 341139.03),(2 1206025.9),(3 2366555.8),(4 3579196),(5 4708510),(6 5566957),(7 6110965.5),(8 6357659.5),(9 6392263),(10 6312190.5),(11 6195302),(12 6193696.5),(13 6361961),(14 6648642),(15 7068389.5),(16 7503629),(17 7885453.5),(18 8236507.5),(19 8454123),(20 8581239),(21 8653729),(22 8685090),(23 8692047),(24 8731906),(25 8785450),(26 8878260),(27 9032073),(28 9197197),(29 9371628),(30 9541667),(31 9682763),(32 9807264),(33 9916543),(34 10007537),(35 10109280),(36 10205603),(37 10305348),(38 10429876),(39 10498251),(40 10534115),(41 10522376),(42 10425547),(43 10235987),(44 10013788),(45 9772593),(46 9563781),(47 9423803),(48 9384364),(49 9394058),(50 9445328),(51 9492828),(52 9527100),(53 9530830),(54 9498537),(55 9443128),(56 9365953),(57 9272881),(58 9187045),(59 9117993),(60 9053168),(61 8993026),(62 8940144),(63 8919078),(64 8914336),(65 8918863),(66 8930696),(67 8958431),(68 8972329),(69 8993485),(70 8974956),(71 8928840),(72 8838047),(73 8721009),(74 8599744),(75 8489919),(76 8333644),(77 8185688.5),(78 8042810.5),(79 7899348.5),
