1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 9452.156),(2 10069.163),(3 22993.408),(4 28413.828),(5 47781.83),(6 58589.08),(7 82826.18),(8 95184.76),(9 122192.414),(10 141165.83),(11 172110.14),(12 193896.38),(13 229366.58),(14 254127.83),(15 290725.3),(16 314517.72),(17 354182.16),(18 377816.25),(19 416394.03),(20 448489.9),(21 491644.34),(22 527664.7),(23 569416.2),(24 606584.5),(25 653270.2),(26 689599.8),(27 734017.06),(28 762819.2),(29 815849.7),(30 845444.7),(31 894504.5),(32 931028.8),(33 982442.06),(34 1024556.8),(35 1078376.5),(36 1119294.1),(37 1175103.4),(38 1219534.4),(39 1273574),(40 1326257.6),(41 1377232.4),(42 1417711),(43 1471717.4),(44 1514290.9),(45 1559303.1),(46 1597884.1),(47 1648844),(48 1686964),(49 1743571),(50 1785523),(51 1839427.6),(52 1884216.6),(53 1936114.9),(54 1976501.4),(55 2031311),(56 2072793.4),(57 2127005),(58 2180225.3),(59 2230846.8),(60 2285085.8),(61 2332541.8),(62 2385122.3),(63 2445606.5),(64 2501051.3),(65 2560867),(66 2618065.3),(67 2679763),(68 2737475.3),(69 2798046.8),(70 2853302.3),(71 2928103.3),(72 2993917.3),(73 3073081.3),(74 3136521.3),(75 3210883.3),(76 3280575.8),(77 3365275.3),(78 3450202.8),(79 3530651),
(1 4401.952),(2 11325.272),(3 21375.816),(4 34612.98),(5 53036.875),(6 73784.664),(7 98609.95),(8 125043.92),(9 157683.92),(10 191131.95),(11 228852.28),(12 271086.44),(13 311359.16),(14 352519),(15 396826.6),(16 438816.9),(17 484990.6),(18 531425.2),(19 581306),(20 631208.94),(21 682281.4),(22 736827.7),(23 786382.7),(24 838966.7),(25 897743.5),(26 955193.4),(27 1012083.4),(28 1066458.8),(29 1121083.8),(30 1175572.3),(31 1234266),(32 1288365),(33 1340221.4),(34 1397240.6),(35 1459851.8),(36 1523885.3),(37 1590744),(38 1650295.4),(39 1720062.4),(40 1789760.3),(41 1861301.3),(42 1928831.8),(43 1995155.4),(44 2061501.4),(45 2130698.5),(46 2196209.3),(47 2261393.5),(48 2331187.8),(49 2401158),(50 2469682),(51 2547878),(52 2618480.5),(53 2692789.5),(54 2758997.3),(55 2834827.3),(56 2903811.5),(57 2966171.5),(58 3035397.8),(59 3106019.5),(60 3178324),(61 3244848),(62 3316955.5),(63 3390352.8),(64 3469190),(65 3562390.5),(66 3652088),(67 3744514.5),(68 3832800),(69 3911563.3),(70 3992958),(71 4074672.8),(72 4158119.3),(73 4230144),(74 4293186.5),(75 4360849.5),(76 4428685.5),(77 4493230.5),(78 4556993),(79 4619066.5),
(1 3727.4597),(2 10293.82),(3 19417.908),(4 30750.469),(5 45987.42),(6 64389.99),(7 83638.914),(8 105151.78),(9 130893.625),(10 158284.31),(11 189048.98),(12 219361.06),(13 253378.05),(14 290654.2),(15 328411.84),(16 369310.84),(17 410009),(18 454859.38),(19 505963.38),(20 556466.06),(21 611303.9),(22 668253.06),(23 729534.7),(24 788880.25),(25 852154.5),(26 914966.94),(27 981228.3),(28 1045177.94),(29 1116118.1),(30 1186015.1),(31 1259068.8),(32 1331422.9),(33 1404216.1),(34 1481454.4),(35 1558352.4),(36 1637512.4),(37 1723890),(38 1803632.4),(39 1884090.4),(40 1966962.6),(41 2046491.4),(42 2127530.8),(43 2201396.8),(44 2277296.8),(45 2348274.3),(46 2418748),(47 2483327.3),(48 2555787.8),(49 2621823.8),(50 2688228.5),(51 2764809.8),(52 2826355.3),(53 2887263),(54 2949937),(55 3009515),(56 3070301.3),(57 3129450),(58 3174657.3),(59 3222565.3),(60 3266839.3),(61 3309848.8),(62 3354637.3),(63 3394403.3),(64 3433842.8),(65 3469388),(66 3510989.3),(67 3558893.3),(68 3588139.3),(69 3628083.8),(70 3664459.8),(71 3708212),(72 3746008),(73 3770643.3),(74 3801981.3),(75 3838960.8),(76 3874270),(77 3908012),(78 3947056),(79 3976970),
(1 4504.1997),(2 11953.748),(3 25016.285),(4 40970.457),(5 62537.77),(6 88086.24),(7 117720.016),(8 151596.56),(9 191060.97),(10 234297.11),(11 283981.28),(12 333920.16),(13 386799.84),(14 443546.6),(15 500348.66),(16 558480.75),(17 618517.2),(18 681868.4),(19 748984),(20 814283.44),(21 881077.8),(22 950922.44),(23 1022546.25),(24 1092642.1),(25 1163350.3),(26 1236001.5),(27 1309723.1),(28 1381927.5),(29 1456013.3),(30 1532665.4),(31 1612317.6),(32 1693462.5),(33 1774706.3),(34 1864146),(35 1951225.8),(36 2040154.6),(37 2132423),(38 2224355.5),(39 2323034.3),(40 2416521.3),(41 2521073.8),(42 2614887.5),(43 2711298.3),(44 2807437.3),(45 2901961.3),(46 2993583.5),(47 3085156.8),(48 3173305.3),(49 3263256.5),(50 3362165.5),(51 3460376),(52 3555159),(53 3647260.3),(54 3736616.5),(55 3819233.8),(56 3915216),(57 4001351.5),(58 4093485),(59 4181150.8),(60 4270716.5),(61 4362752),(62 4450156),(63 4539329.5),(64 4628039),(65 4720656),(66 4821208.5),(67 4923047),(68 5007562.5),(69 5101085.5),(70 5190586),(71 5279988),(72 5366917.5),(73 5449510),(74 5521297),(75 5607422),(76 5686709.5),(77 5761959),(78 5842970),(79 5917181.5),
(1 4600.9727),(2 12676.704),(3 25569.762),(4 42309.24),(5 63996.516),(6 88102.66),(7 115997.77),(8 146077.9),(9 178614.23),(10 214251.66),(11 252439.45),(12 292157.47),(13 332975),(14 375992.97),(15 417643.5),(16 459636.1),(17 504060.9),(18 550618.1),(19 595181.8),(20 641490.06),(21 685823.3),(22 732137.2),(23 777835.4),(24 823116.8),(25 871287.4),(26 920670.4),(27 965565.6),(28 1012278.2),(29 1059449.9),(30 1109337.8),(31 1156487.5),(32 1201478.8),(33 1246472.4),(34 1292438.9),(35 1335574.6),(36 1382360.8),(37 1429276.4),(38 1478949.4),(39 1525306.8),(40 1572712),(41 1620313.5),(42 1667631.6),(43 1714544.4),(44 1759089.1),(45 1803776),(46 1845707.6),(47 1886975.9),(48 1928549.6),(49 1970873.5),(50 2014721.6),(51 2060358.9),(52 2105613),(53 2144413.3),(54 2186715),(55 2223289.8),(56 2272182.3),(57 2312285),(58 2352504),(59 2391929.8),(60 2426744.8),(61 2461923.8),(62 2499486.5),(63 2537717),(64 2578221.8),(65 2610499.3),(66 2651671.8),(67 2690660.3),(68 2728321.8),(69 2763640.8),(70 2805711.8),(71 2840764.3),(72 2882647.8),(73 2921304),(74 2970061.8),(75 3010359),(76 3054217),(77 3103184),(78 3155071.8),(79 3212411),
(1 5449.542),(2 16468.844),(3 33912.824),(4 56869.438),(5 85844.23),(6 119575.984),(7 158554.13),(8 199896.53),(9 245848.22),(10 296232.25),(11 347623.75),(12 403123.84),(13 458052.2),(14 514523.5),(15 570243.1),(16 628999),(17 686140.56),(18 750843.1),(19 811074.4),(20 872009.6),(21 931282.8),(22 993323.1),(23 1052675.8),(24 1108231.4),(25 1165673.8),(26 1223485.6),(27 1279461.8),(28 1332098.8),(29 1382993.5),(30 1434963.3),(31 1483491.3),(32 1530009.9),(33 1575808),(34 1626075),(35 1669094.6),(36 1716997.4),(37 1762829),(38 1806830.8),(39 1849477.6),(40 1894943.3),(41 1934888.3),(42 1977627.3),(43 2010338),(44 2043450),(45 2071129),(46 2102640.8),(47 2132830.8),(48 2162273.3),(49 2192540),(50 2216854.8),(51 2239352),(52 2262957.3),(53 2287066.8),(54 2303749.8),(55 2320919.5),(56 2336420),(57 2347531.3),(58 2358656.8),(59 2364149.3),(60 2369208.8),(61 2364752.3),(62 2360591.3),(63 2362808.5),(64 2358287.5),(65 2346336),(66 2339151.5),(67 2333318),(68 2320963.5),(69 2306825.3),(70 2298077.3),(71 2279088),(72 2270598),(73 2256561),(74 2243944.3),(75 2227556.5),(76 2216160),(77 2204635.5),(78 2193163),(79 2188468.3),
(1 7187.527),(2 23443.42),(3 49477.258),(4 84879.66),(5 129403),(6 181623.31),(7 242089),(8 309172.2),(9 382704.47),(10 460538.66),(11 542267.44),(12 625070.75),(13 707484.94),(14 791241.56),(15 878064.4),(16 962748.06),(17 1048204.75),(18 1137441.9),(19 1220483.3),(20 1302255.9),(21 1385872.6),(22 1468502.9),(23 1547026),(24 1622106.3),(25 1694751.8),(26 1769611.1),(27 1838927.8),(28 1905722),(29 1967325.1),(30 2027391.8),(31 2079226.5),(32 2131455.5),(33 2179424.3),(34 2224389.8),(35 2270175),(36 2315233.8),(37 2360429.8),(38 2399119.8),(39 2439700.8),(40 2478899.5),(41 2516658.3),(42 2548590),(43 2578999.3),(44 2610914.8),(45 2637194.5),(46 2661381),(47 2685207),(48 2709411.5),(49 2728273.8),(50 2747758.8),(51 2765965.3),(52 2785406.8),(53 2802023.8),(54 2816104),(55 2828690.3),(56 2847896.3),(57 2861286.8),(58 2880724),(59 2899416.3),(60 2918273),(61 2930813.3),(62 2949886.8),(63 2968156),(64 2980735),(65 2996473),(66 3007682.3),(67 3027993.3),(68 3042319.8),(69 3057170.8),(70 3075363.5),(71 3093439),(72 3107050.5),(73 3122298.8),(74 3136550.8),(75 3151873.3),(76 3167630.3),(77 3184602.5),(78 3192252.5),(79 3202687.8),
(1 8258.823),(2 28038.404),(3 58359.938),(4 100114.78),(5 153390.5),(6 215898.97),(7 286260.06),(8 364959.4),(9 448364.66),(10 539435.2),(11 631667.6),(12 726103.44),(13 822956.56),(14 922328.25),(15 1022979.6),(16 1120780.1),(17 1221975.6),(18 1326319.4),(19 1423738.6),(20 1518420.8),(21 1613009.3),(22 1708912.9),(23 1795280.1),(24 1879124.3),(25 1965002.5),(26 2043421.3),(27 2114830.8),(28 2187084),(29 2251898.5),(30 2315678.8),(31 2373760.5),(32 2428895),(33 2480577),(34 2534088.3),(35 2585964.8),(36 2637691),(37 2681597.8),(38 2725909),(39 2761968.5),(40 2801890.3),(41 2833178.3),(42 2863735),(43 2882362.5),(44 2900544.8),(45 2910726.8),(46 2916162.8),(47 2918778.5),(48 2915421.3),(49 2910836.8),(50 2906665.3),(51 2893489.3),(52 2880860.3),(53 2858067.8),(54 2834871.5),(55 2806629),(56 2777673),(57 2745072.3),(58 2713984.3),(59 2678899.8),(60 2647578.3),(61 2611765.3),(62 2585331.3),(63 2554798.5),(64 2526322.5),(65 2503614.3),(66 2486101),(67 2469179),(68 2452306.8),(69 2437077.3),(70 2426612),(71 2414721.8),(72 2408351),(73 2399023.8),(74 2396693),(75 2397620.8),(76 2406341.8),(77 2410757.8),(78 2417077.8),(79 2419941.3),
(1 6486.7905),(2 21062.697),(3 43885.58),(4 74367.49),(5 111619.586),(6 156243.7),(7 204443.86),(8 259174.9),(9 316967.03),(10 376155.16),(11 438290.13),(12 500172.94),(13 564718.2),(14 629007.06),(15 693531.9),(16 755889.94),(17 821149.3),(18 888694.9),(19 950628.6),(20 1012690.56),(21 1074921.4),(22 1137742.6),(23 1195509.1),(24 1252814.4),(25 1311614.3),(26 1368880.9),(27 1420661),(28 1475064.3),(29 1523072.4),(30 1573811),(31 1617238.8),(32 1657777.6),(33 1698165.8),(34 1736053.1),(35 1772725),(36 1807771.5),(37 1841124.8),(38 1870269),(39 1891811.1),(40 1914971.3),(41 1930826.5),(42 1945339),(43 1949969),(44 1952330.5),(45 1950772.3),(46 1941893),(47 1930525),(48 1915320.8),(49 1898250.8),(50 1883601),(51 1864541.6),(52 1842229.1),(53 1821738),(54 1799067.3),(55 1779271.5),(56 1759366.6),(57 1738350.6),(58 1714595.1),(59 1690587.8),(60 1668528.3),(61 1647300.8),(62 1622909.9),(63 1598324.1),(64 1573688.4),(65 1548415.5),(66 1525955.8),(67 1504954.5),(68 1485554.5),(69 1463879.4),(70 1445899),(71 1428177.6),(72 1414486.5),(73 1398985.1),(74 1386749.8),(75 1374754.6),(76 1364752.1),(77 1355113.3),(78 1347384.3),(79 1341173.4),
(1 6021.8413),(2 19407.867),(3 39822.484),(4 67059.43),(5 100400.016),(6 139570.06),(7 182607.23),(8 230085.77),(9 279510.63),(10 331265.38),(11 385161.97),(12 438195.38),(13 492397.66),(14 547054.75),(15 599271.06),(16 648667.44),(17 699626.75),(18 747147),(19 793396.56),(20 835114.7),(21 875628.8),(22 915878.8),(23 952656.3),(24 985587.56),(25 1020567.44),(26 1051319.3),(27 1080637.4),(28 1108794.5),(29 1130915.3),(30 1155715.1),(31 1175452.9),(32 1195220.9),(33 1215287.6),(34 1233465),(35 1248873.6),(36 1261939.3),(37 1275700),(38 1281627),(39 1283665.8),(40 1286892.1),(41 1285363.4),(42 1283152.9),(43 1274352.3),(44 1264344),(45 1252332.3),(46 1239073.8),(47 1222132.6),(48 1206813.4),(49 1190618),(50 1178964.8),(51 1167768.9),(52 1157843.6),(53 1153826.8),(54 1149935.5),(55 1146552.3),(56 1144311.3),(57 1144478.3),(58 1144931.5),(59 1147740),(60 1151957.4),(61 1160456.6),(62 1165387.8),(63 1172040.6),(64 1179034.6),(65 1186873.5),(66 1194960.1),(67 1203078.9),(68 1209773.3),(69 1213909.5),(70 1218262.1),(71 1219623),(72 1222641.6),(73 1221990.9),(74 1225173.8),(75 1227959.9),(76 1228111.6),(77 1231599),(78 1235722),(79 1237890.6),
(1 8283.108),(2 28828.232),(3 60450.58),(4 102516.984),(5 153897.14),(6 212581.8),(7 277848.66),(8 347721.8),(9 418989.84),(10 491868.9),(11 564421.25),(12 634599.75),(13 702503.1),(14 767880.4),(15 829012.5),(16 883290.75),(17 939589.6),(18 992491.2),(19 1041227.06),(20 1084934.9),(21 1127450.8),(22 1169151.8),(23 1210456),(24 1244811.6),(25 1284549.4),(26 1321644.5),(27 1357363.4),(28 1394531),(29 1431327.8),(30 1475153.4),(31 1514448.6),(32 1557315.8),(33 1598887),(34 1639949),(35 1683025),(36 1721707.5),(37 1760552),(38 1791025.5),(39 1816001.9),(40 1840572.9),(41 1861553.5),(42 1880700.3),(43 1896718.6),(44 1907266.8),(45 1918412.3),(46 1925072),(47 1931407.4),(48 1936393.3),(49 1941936.8),(50 1946680.6),(51 1947650.1),(52 1948942.4),(53 1948755),(54 1948269),(55 1942800.8),(56 1936488.5),(57 1927489.1),(58 1915227.6),(59 1903419.5),(60 1888694.4),(61 1870734.8),(62 1850845.9),(63 1825685.5),(64 1800002.6),(65 1771822.6),(66 1742994.4),(67 1712744.9),(68 1678164.3),(69 1641885.6),(70 1603956.5),(71 1569930.6),(72 1538181.9),(73 1504990.1),(74 1474962.3),(75 1451045.9),(76 1426320.4),(77 1404554),(78 1386896),(79 1370705),
