1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1470166.4),(2 1670623.1),(3 545811.6),(4 2241146),(5 2622938.8),(6 1570018.6),(7 3263461.3),(8 3768659.3),(9 2870363.3),(10 4408740.5),(11 4980217.5),(12 4202848.5),(13 5655276),(14 6226492),(15 5420386),(16 6855815.5),(17 7361890.5),(18 6592413.5),(19 7787273.5),(20 8232952.5),(21 7237159.5),(22 8232480),(23 8565133),(24 7502405.5),(25 8258808),(26 8543644),(27 7524649.5),(28 8218038.5),(29 8611129),(30 7733113.5),(31 8584483),(32 9135812),(33 8704915),(34 9527925),(35 10249145),(36 9988683),(37 10880884),(38 11760467),(39 11715085),(40 12701293),(41 13711551),(42 13790712),(43 14715293),(44 15541085),(45 15396841),(46 15962120),(47 16566717),(48 16556672),(49 16989018),(50 17559682),(51 17365134),(52 17869224),(53 18510472),(54 18270950),(55 18805756),(56 19384944),(57 19063162),(58 19803854),(59 20509426),(60 20329218),(61 21341146),(62 22283994),(63 22751702),(64 23635704),(65 24761606),(66 25030310),(67 26352656),(68 27723310),(69 27961968),(70 29271878),(71 30453798),(72 30970414),(73 32213198),(74 33401102),(75 33743372),(76 34617710),(77 35695350),(78 36209116),(79 37155612),
(1 687022.1),(2 795024.3),(3 425696),(4 1277255.3),(5 1505230.3),(6 1215529.6),(7 2077636),(8 2363469.5),(9 2154666),(10 3067362),(11 3437271.3),(12 3345602.8),(13 4256036.5),(14 4711674.5),(15 4653805.5),(16 5639728),(17 6226386),(18 6230611.5),(19 7144992),(20 7773585.5),(21 7707074.5),(22 8584179),(23 9233933),(24 9235832),(25 10112299),(26 10827233),(27 10916758),(28 11768663),(29 12602266),(30 12845548),(31 13772926),(32 14656358),(33 15079704),(34 15965411),(35 17014960),(36 17543772),(37 18529716),(38 19665722),(39 20329484),(40 21370018),(41 22674918),(42 23502920),(43 24561794),(44 25759434),(45 26427612),(46 27188716),(47 28172132),(48 28997782),(49 29780876),(50 30934874),(51 31864134),(52 32710138),(53 33937040),(54 34893464),(55 35949628),(56 37175456),(57 38133224),(58 39301216),(59 40661524),(60 41854900),(61 43120184),(62 44466148),(63 45913910),(64 47117896),(65 48565630),(66 49969230),(67 51390040),(68 52872584),(69 54328844),(70 55626188),(71 56848372),(72 58115970),(73 59316224),(74 60577140),(75 61943604),(76 62908490),(77 64051350),(78 65595030),(79 66534440),
(1 252450.2),(2 485179.6),(3 726452.8),(4 1364459.9),(5 1964002.4),(6 2529987.3),(7 3519004),(8 4497496.5),(9 5381127.5),(10 6692091.5),(11 7847334),(12 8992177),(13 10536420),(14 11898143),(15 13254979),(16 14968205),(17 16577172),(18 18129816),(19 19904202),(20 21539792),(21 22964432),(22 24731264),(23 26354578),(24 27794802),(25 29486464),(26 31009186),(27 32380752),(28 33886252),(29 35183760),(30 36272904),(31 37616064),(32 38741364),(33 39713092),(34 40795616),(35 41777212),(36 42537836),(37 43460656),(38 44166068),(39 44627624),(40 45313664),(41 45884880),(42 46170060),(43 46614944),(44 47032964),(45 47169344),(46 47526720),(47 47713164),(48 47873984),(49 48297090),(50 48588380),(51 49005500),(52 49683680),(53 50099772),(54 50563824),(55 51258436),(56 51823776),(57 52386988),(58 53271340),(59 54032940),(60 54783364),(61 55756284),(62 56487316),(63 57356828),(64 58718436),(65 59629260),(66 60597900),(67 61902724),(68 62954700),(69 64110880),(70 65561824),(71 66670964),(72 67603096),(73 68891940),(74 69915920),(75 70922070),(76 72401670),(77 73444540),(78 74469860),(79 75965784),
(1 183075.94),(2 490554.78),(3 902986.75),(4 1609570.9),(5 2388230.8),(6 3229490.8),(7 4333371.5),(8 5488511.5),(9 6641246),(10 7966575),(11 9258194),(12 10513659),(13 11931305),(14 13274772),(15 14586620),(16 16085746),(17 17452378),(18 18709516),(19 20084882),(20 21290806),(21 22323068),(22 23480810),(23 24572870),(24 25500842),(25 26534168),(26 27453304),(27 28199336),(28 29071306),(29 29827192),(30 30393944),(31 31183556),(32 31860974),(33 32411338),(34 33093512),(35 33694990),(36 34164184),(37 34741740),(38 35265210),(39 35668944),(40 36217350),(41 36714610),(42 37029990),(43 37404436),(44 37640816),(45 37697296),(46 37911388),(47 37959124),(48 37914640),(49 38036256),(50 38005240),(51 37867668),(52 37910204),(53 37882290),(54 37746932),(55 37796470),(56 37808364),(57 37627904),(58 37760532),(59 37802510),(60 37744148),(61 37977930),(62 38161400),(63 38149228),(64 38470340),(65 38794236),(66 38959636),(67 39233572),(68 39587244),(69 39826580),(70 40167110),(71 40455468),(72 40456212),(73 40638200),(74 40805340),(75 40725340),(76 40917828),(77 41008776),(78 40925810),(79 41142400),
(1 159047.08),(2 492357.8),(3 996308.75),(4 1724905.1),(5 2566915.8),(6 3529729.5),(7 4652592.5),(8 5843510),(9 7086888.5),(10 8419823),(11 9735535),(12 11066025),(13 12492505),(14 13872061),(15 15242345),(16 16718012),(17 18154798),(18 19604984),(19 21094258),(20 22535870),(21 23972232),(22 25482210),(23 27001734),(24 28436416),(25 29877982),(26 31283212),(27 32573544),(28 33875588),(29 35145170),(30 36308290),(31 37562396),(32 38811430),(33 40032820),(34 41294524),(35 42606350),(36 43826324),(37 45115560),(38 46282076),(39 47363748),(40 48487984),(41 49582884),(42 50466300),(43 51301980),(44 52111196),(45 52731868),(46 53336972),(47 53895016),(48 54315650),(49 54657908),(50 55052120),(51 55321896),(52 55536732),(53 55870324),(54 56105500),(55 56261788),(56 56529924),(57 56644816),(58 56656580),(59 56820492),(60 56898340),(61 56900156),(62 57099536),(63 57182732),(64 57387276),(65 57786124),(66 57973250),(67 58151056),(68 58390972),(69 58666116),(70 58857308),(71 59141724),(72 59328896),(73 59503284),(74 59914340),(75 60154010),(76 60456270),(77 60873000),(78 61197988),(79 61660350),
(1 111756.375),(2 352506.1),(3 721708.44),(4 1246033.9),(5 1843028),(6 2515583),(7 3302771.5),(8 4103542.5),(9 4954273.5),(10 5923610.5),(11 6819916),(12 7736167),(13 8736794),(14 9651665),(15 10545824),(16 11454757),(17 12352019),(18 13253836),(19 14133290),(20 14973536),(21 15861619),(22 16810294),(23 17783968),(24 18768252),(25 19842190),(26 20886446),(27 21980428),(28 23105068),(29 24178922),(30 25357552),(31 26604492),(32 27771796),(33 29172116),(34 30498308),(35 31852038),(36 33330758),(37 34868360),(38 36256704),(39 37585372),(40 38928200),(41 40150710),(42 41230868),(43 42283624),(44 43123944),(45 43957890),(46 44630540),(47 45186084),(48 45657948),(49 46129464),(50 46464384),(51 46714880),(52 46831760),(53 46900890),(54 46811684),(55 46692520),(56 46500180),(57 46245096),(58 45864804),(59 45565080),(60 45213332),(61 44860596),(62 44479540),(63 44062116),(64 43836404),(65 43665584),(66 43415256),(67 43367040),(68 43526956),(69 43792468),(70 44182290),(71 44729428),(72 45245730),(73 46020812),(74 46860636),(75 47648490),(76 48610548),(77 49635096),(78 50689228),(79 51768160),
(1 142299.69),(2 493183.53),(3 1033224),(4 1763606.8),(5 2628659),(6 3592630.5),(7 4666018),(8 5752918),(9 6844341.5),(10 7948637),(11 8996975),(12 9958281),(13 10925727),(14 11789764),(15 12550967),(16 13270818),(17 13904490),(18 14480794),(19 15006843),(20 15510693),(21 15994466),(22 16458871),(23 16871724),(24 17239246),(25 17560860),(26 17864212),(27 18074878),(28 18270168),(29 18465598),(30 18684340),(31 18924216),(32 19100462),(33 19275668),(34 19466102),(35 19616718),(36 19812000),(37 19985432),(38 20093454),(39 20286362),(40 20527544),(41 20678556),(42 20928690),(43 21209778),(44 21461006),(45 21767680),(46 22144344),(47 22509736),(48 22921400),(49 23488996),(50 24033474),(51 24603944),(52 25314744),(53 25979400),(54 26645592),(55 27418488),(56 28148536),(57 28910748),(58 29669582),(59 30434904),(60 31135506),(61 31870100),(62 32476584),(63 32984190),(64 33537256),(65 33968316),(66 34328060),(67 34606090),(68 34816636),(69 34971748),(70 35053310),(71 35083068),(72 34940524),(73 34727896),(74 34445550),(75 34085950),(76 33676420),(77 33257388),(78 32678532),(79 32137060),
(1 152269.69),(2 532878.6),(3 1113112.6),(4 1906413.6),(5 2834175.8),(6 3881269),(7 5059165),(8 6246011.5),(9 7465287.5),(10 8666610),(11 9802895),(12 10882108),(13 11919381),(14 12838722),(15 13691930),(16 14479568),(17 15136006),(18 15766291),(19 16302231),(20 16757316),(21 17195226),(22 17563654),(23 17852908),(24 18104406),(25 18285598),(26 18387202),(27 18478010),(28 18488832),(29 18496166),(30 18490692),(31 18509910),(32 18530104),(33 18557290),(34 18632558),(35 18728042),(36 18823620),(37 18961630),(38 19129984),(39 19388574),(40 19668572),(41 19972518),(42 20306804),(43 20679886),(44 21142708),(45 21647172),(46 22207514),(47 22827954),(48 23510988),(49 24285916),(50 25125224),(51 26004622),(52 27003648),(53 28027658),(54 29043256),(55 30143054),(56 31186214),(57 32197446),(58 33265894),(59 34287730),(60 35255564),(61 36286896),(62 37190828),(63 37936932),(64 38694212),(65 39332780),(66 39847980),(67 40285590),(68 40609040),(69 40775636),(70 40922744),(71 40908164),(72 40737236),(73 40505360),(74 40088640),(75 39597524),(76 39043320),(77 38371740),(78 37656772),(79 36985810),
(1 154267.95),(2 547021.75),(3 1151002.1),(4 1962491.3),(5 2910468.8),(6 3972532.3),(7 5121493.5),(8 6295553),(9 7456848),(10 8622651),(11 9752414),(12 10815692),(13 11849294),(14 12793982),(15 13629700),(16 14399304),(17 15143587),(18 15790737),(19 16357510),(20 16855152),(21 17258764),(22 17578888),(23 17827952),(24 17958540),(25 17984196),(26 17945462),(27 17815664),(28 17658922),(29 17483998),(30 17233562),(31 17045040),(32 16851504),(33 16616139),(34 16448911),(35 16316343),(36 16155426),(37 16073653),(38 16001803),(39 15983390),(40 16010496),(41 16104813),(42 16207791),(43 16435081),(44 16692794),(45 17001070),(46 17375122),(47 17773184),(48 18159984),(49 18614816),(50 19032088),(51 19453200),(52 19867732),(53 20240626),(54 20548582),(55 20851384),(56 21079100),(57 21235414),(58 21392540),(59 21531038),(60 21615988),(61 21713600),(62 21722710),(63 21622384),(64 21544342),(65 21403564),(66 21167732),(67 20912392),(68 20638758),(69 20304614),(70 19980660),(71 19648102),(72 19307128),(73 18945898),(74 18580564),(75 18206986),(76 17840320),(77 17504764),(78 17228856),(79 16994896),
(1 153154.48),(2 543516.2),(3 1134164.3),(4 1936527.5),(5 2868278.8),(6 3905684.5),(7 5034601.5),(8 6183546),(9 7341034.5),(10 8480937),(11 9621164),(12 10697452),(13 11681939),(14 12536996),(15 13290091),(16 13926695),(17 14417866),(18 14794348),(19 15091751),(20 15232533),(21 15294644),(22 15262251),(23 15181950),(24 15077778),(25 14878457),(26 14672467),(27 14493816),(28 14371778),(29 14309794),(30 14249931),(31 14296500),(32 14333552),(33 14385008),(34 14526010),(35 14698005),(36 14894582),(37 15186910),(38 15512398),(39 15903804),(40 16369765),(41 16920910),(42 17498626),(43 18194770),(44 18855990),(45 19519126),(46 20193874),(47 20806208),(48 21370304),(49 21927050),(50 22363388),(51 22700824),(52 22943638),(53 23106866),(54 23184628),(55 23236348),(56 23228142),(57 23176796),(58 23102742),(59 23048768),(60 22971604),(61 22983068),(62 22948186),(63 22836086),(64 22809010),(65 22750200),(66 22727690),(67 22764776),(68 22807026),(69 22911220),(70 23010614),(71 23109808),(72 23150578),(73 23205096),(74 23202984),(75 23184010),(76 23135566),(77 23030384),(78 22867824),(79 22800928),
(1 129406.78),(2 456204.06),(3 932202.9),(4 1539739.4),(5 2196354),(6 2886438.5),(7 3566891.3),(8 4238325.5),(9 4812050),(10 5310980),(11 5785668),(12 6212688),(13 6586953.5),(14 6926498.5),(15 7255652),(16 7583907),(17 7871404.5),(18 8179695),(19 8521215),(20 8853752),(21 9263332),(22 9703224),(23 10176606),(24 10741732),(25 11311820),(26 11884277),(27 12537861),(28 13218242),(29 13933329),(30 14667162),(31 15429629),(32 16069391),(33 16701212),(34 17294908),(35 17837188),(36 18405176),(37 18952400),(38 19481516),(39 20031392),(40 20546128),(41 21028584),(42 21418440),(43 21773122),(44 22040880),(45 22289028),(46 22476966),(47 22608700),(48 22676178),(49 22681270),(50 22657142),(51 22578390),(52 22426560),(53 22252266),(54 22040436),(55 21807970),(56 21534704),(57 21258940),(58 20994410),(59 20738950),(60 20517836),(61 20346868),(62 20094546),(63 19888872),(64 19687058),(65 19479608),(66 19291674),(67 19152790),(68 19006030),(69 18935266),(70 18900420),(71 18892472),(72 18893114),(73 18792308),(74 18688450),(75 18626678),(76 18527472),(77 18387298),(78 18241170),(79 18161246),
