1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 50714.8),(2 188912.58),(3 389820),(4 644531.3),(5 943349.5),(6 1289305.6),(7 1665136.1),(8 2060841.6),(9 2459190),(10 2897510.8),(11 3393296),(12 3926909.8),(13 4474133.5),(14 4991924.5),(15 5472458.5),(16 5936098),(17 6390450.5),(18 6693944),(19 6926936),(20 6974662.5),(21 6959792),(22 6891608),(23 6741290.5),(24 6527664),(25 6298524.5),(26 6045818.5),(27 5763058.5),(28 5452745.5),(29 5185720.5),(30 4958175.5),(31 4777442),(32 4664134.5),(33 4623542),(34 4599437.5),(35 4644130.5),(36 4751613.5),(37 4862176.5),(38 4999293.5),(39 5139464),(40 5300509.5),(41 5565336),(42 5879540),(43 6185776),(44 6544992),(45 6937577.5),(46 7409373.5),(47 7968478.5),(48 8646312),(49 9401096),(50 10199140),(51 11067239),(52 11952756),(53 12926559),(54 13929740),(55 14955845),(56 16066467),(57 17194906),(58 18437250),(59 19697682),(60 20979398),(61 22301586),(62 23564048),(63 24806162),(64 26063280),(65 27341446),(66 28568226),(67 29785578),(68 30904226),(69 31871194),(70 32735974),(71 33582730),(72 34413412),(73 35292976),(74 36160216),(75 37024508),(76 37926444),(77 38800460),(78 39623964),(79 40396490),
(1 51531.074),(2 206732.9),(3 439509.9),(4 744897.6),(5 1131847.8),(6 1594154),(7 2110732.8),(8 2664824.8),(9 3233607.3),(10 3819966),(11 4398901),(12 4983479),(13 5570067),(14 6139861.5),(15 6722197),(16 7320778.5),(17 7929449.5),(18 8469581),(19 8969646),(20 9369685),(21 9681382),(22 9928758),(23 10077630),(24 10123594),(25 10116506),(26 10039475),(27 9896490),(28 9721738),(29 9549333),(30 9372605),(31 9228668),(32 9179037),(33 9262994),(34 9438048),(35 9714128),(36 10114794),(37 10596435),(38 11193903),(39 11811248),(40 12487402),(41 13269694),(42 14156790),(43 15050592),(44 16031885),(45 17028950),(46 18163790),(47 19379332),(48 20729346),(49 22144556),(50 23574898),(51 24944864),(52 26331002),(53 27770362),(54 29211350),(55 30597850),(56 32004730),(57 33358778),(58 34793740),(59 36164508),(60 37559376),(61 38937210),(62 40217910),(63 41464524),(64 42721576),(65 43959788),(66 45151904),(67 46360276),(68 47573932),(69 48629576),(70 49796108),(71 50917284),(72 51991420),(73 53046150),(74 54102456),(75 55300920),(76 56617256),(77 58012250),(78 59310824),(79 60501044),
(1 52804.95),(2 203517.13),(3 435592.16),(4 731593.2),(5 1096914.1),(6 1513236.1),(7 1969498.4),(8 2459009.8),(9 2977316.8),(10 3544180.3),(11 4128314),(12 4713534.5),(13 5307004),(14 5877742.5),(15 6472974.5),(16 7094765.5),(17 7735113.5),(18 8345964),(19 8933805),(20 9484720),(21 9988687),(22 10483817),(23 10925336),(24 11316416),(25 11687523),(26 12017741),(27 12283227),(28 12524339),(29 12802853),(30 13059547),(31 13334360),(32 13706488),(33 14163599),(34 14713965),(35 15385936),(36 16173224),(37 17031090),(38 17918924),(39 18854608),(40 19841942),(41 20809728),(42 21774072),(43 22812558),(44 23908280),(45 25030938),(46 26339622),(47 27736890),(48 29121064),(49 30537014),(50 31899950),(51 33144872),(52 34366836),(53 35567140),(54 36672428),(55 37604492),(56 38453564),(57 39236676),(58 39973256),(59 40603308),(60 41181884),(61 41722844),(62 42231612),(63 42776550),(64 43236304),(65 43643796),(66 44030484),(67 44327890),(68 44558892),(69 44732990),(70 45010464),(71 45278316),(72 45563388),(73 45852820),(74 46174164),(75 46650740),(76 47246156),(77 47981070),(78 48744690),(79 49555200),
(1 52416.445),(2 200015.8),(3 422746.5),(4 716123.9),(5 1064043),(6 1444090.6),(7 1849040),(8 2271081.8),(9 2702020.8),(10 3182641.8),(11 3698521.5),(12 4212161.5),(13 4716787.5),(14 5183134),(15 5668262),(16 6180012),(17 6703295),(18 7225397),(19 7731786.5),(20 8230666),(21 8703600),(22 9146079),(23 9551173),(24 9928855),(25 10311573),(26 10667259),(27 10959368),(28 11205654),(29 11475206),(30 11759641),(31 12076754),(32 12461664),(33 12901757),(34 13419090),(35 14114932),(36 14938809),(37 15846981),(38 16830392),(39 17957528),(40 19236852),(41 20496008),(42 21697998),(43 22977266),(44 24336850),(45 25762002),(46 27299636),(47 28883960),(48 30506276),(49 32180170),(50 33786704),(51 35280220),(52 36728080),(53 38112816),(54 39349630),(55 40437860),(56 41384830),(57 42261870),(58 43041970),(59 43682290),(60 44190604),(61 44599916),(62 44915812),(63 45236960),(64 45510990),(65 45710110),(66 45851440),(67 45882696),(68 45819950),(69 45670740),(70 45522576),(71 45363656),(72 45163870),(73 44969308),(74 44761330),(75 44622576),(76 44538696),(77 44581980),(78 44729416),(79 45019156),
(1 46496.625),(2 175718.66),(3 373279.78),(4 624083.9),(5 919963.25),(6 1247122.9),(7 1591925.9),(8 1943617.5),(9 2292067.8),(10 2648201.8),(11 3025234.3),(12 3411841.8),(13 3799293.8),(14 4165604),(15 4514558),(16 4866765),(17 5210688),(18 5540647.5),(19 5869670),(20 6181573),(21 6485200),(22 6783976),(23 7090365),(24 7403665.5),(25 7700502),(26 7990150.5),(27 8234427.5),(28 8444367),(29 8622569),(30 8800721),(31 9015117),(32 9235516),(33 9477939),(34 9742998),(35 10042285),(36 10386144),(37 10747100),(38 11110461),(39 11505940),(40 11931295),(41 12314691),(42 12673312),(43 13031225),(44 13365728),(45 13677649),(46 14035446),(47 14425972),(48 14872304),(49 15375580),(50 15946607),(51 16540870),(52 17184004),(53 17849346),(54 18455730),(55 19052724),(56 19638208),(57 20238292),(58 20825378),(59 21424580),(60 22026398),(61 22619368),(62 23211358),(63 23782290),(64 24325260),(65 24808026),(66 25235686),(67 25600226),(68 25900942),(69 26131992),(70 26328370),(71 26485698),(72 26580218),(73 26630010),(74 26619040),(75 26651334),(76 26629044),(77 26595136),(78 26539170),(79 26476218),
(1 40893.414),(2 146094.05),(3 299897.3),(4 481328.06),(5 682996.9),(6 895587.6),(7 1118838.6),(8 1362302.5),(9 1607663),(10 1872256.4),(11 2156679.3),(12 2463094.3),(13 2775355.3),(14 3098115),(15 3427771.3),(16 3814760.8),(17 4207696),(18 4598689.5),(19 4998765),(20 5396261),(21 5765405.5),(22 6152174),(23 6563597),(24 6980553.5),(25 7399862.5),(26 7842749),(27 8257209),(28 8638893),(29 8979160),(30 9316894),(31 9683688),(32 10053134),(33 10413050),(34 10791312),(35 11153101),(36 11521480),(37 11851011),(38 12144483),(39 12431812),(40 12707221),(41 12930342),(42 13122226),(43 13315242),(44 13480923),(45 13623947),(46 13745085),(47 13877136),(48 14006902),(49 14147867),(50 14274298),(51 14411875),(52 14524605),(53 14611782),(54 14619138),(55 14610280),(56 14570750),(57 14486986),(58 14374192),(59 14283830),(60 14229846),(61 14188474),(62 14175850),(63 14146429),(64 14137853),(65 14112928),(66 14095875),(67 14062387),(68 14050499),(69 14034758),(70 14030557),(71 14033326),(72 14036669),(73 14065704),(74 14089560),(75 14141648),(76 14223069),(77 14366133),(78 14536621),(79 14733798),
(1 52296.516),(2 190627.34),(3 399645.84),(4 671595.75),(5 998616.1),(6 1383889.8),(7 1813396.9),(8 2305234.5),(9 2832016),(10 3402123.8),(11 3991555),(12 4593639),(13 5186639.5),(14 5773339),(15 6376466),(16 6958235.5),(17 7522069),(18 8048305),(19 8555311),(20 9038753),(21 9517462),(22 9988051),(23 10499173),(24 11025650),(25 11572715),(26 12114385),(27 12653404),(28 13189538),(29 13678358),(30 14129729),(31 14547729),(32 14938651),(33 15296222),(34 15635029),(35 15976124),(36 16254517),(37 16498010),(38 16687348),(39 16835288),(40 16964514),(41 17083028),(42 17184132),(43 17358528),(44 17531446),(45 17728996),(46 17946592),(47 18095836),(48 18241864),(49 18377906),(50 18487122),(51 18610670),(52 18710984),(53 18790838),(54 18856036),(55 18930812),(56 19013604),(57 19104992),(58 19186788),(59 19305588),(60 19461784),(61 19673926),(62 19917044),(63 20170262),(64 20431732),(65 20660456),(66 20939704),(67 21223404),(68 21579900),(69 21952622),(70 22377548),(71 22862816),(72 23377060),(73 23924140),(74 24515432),(75 25137206),(76 25755090),(77 26342430),(78 26868498),(79 27323308),
(1 51280.996),(2 191918.97),(3 407241),(4 700396.94),(5 1065075.8),(6 1490445.9),(7 1968690.4),(8 2503775.3),(9 3091024),(10 3709469.3),(11 4337445.5),(12 4941786.5),(13 5528407),(14 6129144.5),(15 6758189),(16 7366154),(17 7955026),(18 8523987),(19 9071453),(20 9571021),(21 10059052),(22 10542229),(23 11077071),(24 11617814),(25 12197308),(26 12764141),(27 13320143),(28 13850345),(29 14333285),(30 14791965),(31 15220602),(32 15591006),(33 15918930),(34 16176529),(35 16373435),(36 16505378),(37 16579404),(38 16600191),(39 16593422),(40 16551663),(41 16468660),(42 16371930),(43 16301520),(44 16216241),(45 16108493),(46 16015834),(47 15905019),(48 15784698),(49 15662187),(50 15567015),(51 15484815),(52 15421397),(53 15398400),(54 15432827),(55 15505725),(56 15640239),(57 15806316),(58 16010428),(59 16278987),(60 16586419),(61 16923604),(62 17271796),(63 17619316),(64 17972284),(65 18305096),(66 18652120),(67 18963512),(68 19264366),(69 19625368),(70 20006540),(71 20395068),(72 20769996),(73 21147008),(74 21538570),(75 21861120),(76 22175650),(77 22411204),(78 22565990),(79 22647146),
(1 50734.926),(2 185521.7),(3 386280.34),(4 643992.94),(5 956353.5),(6 1316622.1),(7 1709703.3),(8 2132044.5),(9 2571385),(10 3010693),(11 3450998),(12 3899867.8),(13 4367073),(14 4860380),(15 5380234.5),(16 5896391),(17 6394745.5),(18 6902067),(19 7417688.5),(20 7911418.5),(21 8367860),(22 8797543),(23 9188237),(24 9558612),(25 9917078),(26 10269084),(27 10593555),(28 10891896),(29 11164847),(30 11442805),(31 11706263),(32 11952488),(33 12181020),(34 12404442),(35 12594486),(36 12752373),(37 12877925),(38 13003219),(39 13098938),(40 13165382),(41 13210822),(42 13279526),(43 13355062),(44 13423170),(45 13477886),(46 13533659),(47 13527925),(48 13509073),(49 13448149),(50 13414142),(51 13376136),(52 13320052),(53 13255059),(54 13204864),(55 13141669),(56 13097134),(57 13071467),(58 13063737),(59 13080007),(60 13085048),(61 13089762),(62 13083908),(63 13057161),(64 13030552),(65 12994058),(66 12967810),(67 12956279),(68 12975603),(69 13018760),(70 13073896),(71 13128735),(72 13196677),(73 13282561),(74 13357413),(75 13427975),(76 13482711),(77 13486430),(78 13449890),(79 13371489),
(1 44631.31),(2 162746.66),(3 338544.13),(4 561730.4),(5 825687.25),(6 1127422.4),(7 1459436.4),(8 1814480.4),(9 2189303),(10 2581696.3),(11 2977873.5),(12 3371380.8),(13 3773294.8),(14 4173614.8),(15 4562018.5),(16 4939413.5),(17 5314010.5),(18 5695941.5),(19 6088530),(20 6464947.5),(21 6817758),(22 7136677.5),(23 7429725.5),(24 7728842.5),(25 8039618),(26 8376332.5),(27 8751053),(28 9142774),(29 9547107),(30 9974792),(31 10392203),(32 10784284),(33 11147538),(34 11493625),(35 11845849),(36 12228753),(37 12600305),(38 12967016),(39 13301935),(40 13613921),(41 13918724),(42 14215299),(43 14490206),(44 14731005),(45 14947314),(46 15189788),(47 15421534),(48 15651104),(49 15856811),(50 16085852),(51 16307540),(52 16527822),(53 16784120),(54 17072682),(55 17387438),(56 17735656),(57 18107614),(58 18483768),(59 18900376),(60 19310552),(61 19718442),(62 20097588),(63 20425592),(64 20716420),(65 20974872),(66 21192820),(67 21350648),(68 21504690),(69 21630248),(70 21725514),(71 21768036),(72 21780690),(73 21748758),(74 21666254),(75 21525232),(76 21349256),(77 21128360),(78 20854036),(79 20508368),
(1 45918.016),(2 167300.64),(3 345859.34),(4 567706.56),(5 824499.2),(6 1108312.3),(7 1405322.6),(8 1730115.4),(9 2075906.9),(10 2426075.3),(11 2765860.3),(12 3072331.3),(13 3362896.8),(14 3649178.8),(15 3942958.5),(16 4228843.5),(17 4512738.5),(18 4809378),(19 5114250),(20 5417808),(21 5722860),(22 6021613),(23 6312326.5),(24 6628477),(25 6928590),(26 7242244),(27 7550605.5),(28 7868112.5),(29 8152482),(30 8429031),(31 8648757),(32 8817867),(33 8985879),(34 9131630),(35 9257534),(36 9383247),(37 9507689),(38 9655000),(39 9771951),(40 9894764),(41 10006628),(42 10114725),(43 10244840),(44 10416241),(45 10606610),(46 10847761),(47 11087633),(48 11343340),(49 11623420),(50 11946651),(51 12281047),(52 12648947),(53 13043608),(54 13470497),(55 13907386),(56 14334834),(57 14731190),(58 15086309),(59 15399909),(60 15687205),(61 15933730),(62 16140312),(63 16320433),(64 16456264),(65 16558408),(66 16625257),(67 16630136),(68 16612533),(69 16563752),(70 16484828),(71 16375083),(72 16262820),(73 16123599),(74 15972574),(75 15808471),(76 15634374),(77 15465536),(78 15307253),(79 15162925),
