1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 98947.54),(2 353702.16),(3 761125),(4 1294145.4),(5 1951606.6),(6 2687520.3),(7 3519748),(8 4427696),(9 5397075),(10 6464168),(11 7510756),(12 8637865),(13 9905273),(14 11233295),(15 12652281),(16 14152413),(17 15733611),(18 17430600),(19 19063950),(20 20779054),(21 22574906),(22 24438390),(23 26333034),(24 28311248),(25 30345782),(26 32536650),(27 34709264),(28 36953876),(29 39319348),(30 41689964),(31 44240036),(32 47153324),(33 50054816),(34 53023216),(35 56083332),(36 59107372),(37 62262080),(38 65459588),(39 68665310),(40 71625464),(41 74373180),(42 76826010),(43 79538616),(44 82061624),(45 84338810),(46 86704310),(47 89157570),(48 91671990),(49 94344280),(50 96880904),(51 99375040),(52 101674280),(53 103766570),(54 105679576),(55 107461790),(56 109256860),(57 111085110),(58 113057496),(59 114814984),(60 116788510),(61 119084904),(62 121660220),(63 124615240),(64 127547670),(65 130505304),(66 133553704),(67 136984560),(68 140688980),(69 144387950),(70 148359620),(71 152605840),(72 156904130),(73 161497550),(74 166191940),(75 171042930),(76 175768740),(77 180705070),(78 185747070),(79 190829390),
(1 85424.39),(2 316728.63),(3 693629.4),(4 1208314.1),(5 1846317.6),(6 2612608.8),(7 3516586.8),(8 4559201),(9 5736724.5),(10 7024117.5),(11 8417786),(12 9936704),(13 11676730),(14 13432240),(15 15358566),(16 17403502),(17 19515120),(18 21689148),(19 24053590),(20 26541028),(21 29072644),(22 31740314),(23 34594080),(24 37475304),(25 40339264),(26 43182090),(27 46144070),(28 48943090),(29 51696980),(30 54299628),(31 56922816),(32 59415828),(33 61767530),(34 64103704),(35 66466900),(36 68688180),(37 70955010),(38 73123380),(39 75236584),(40 77074670),(41 78625976),(42 79955416),(43 81051670),(44 82132710),(45 83021650),(46 83855570),(47 84690900),(48 85384150),(49 86280850),(50 87060200),(51 87928870),(52 88718310),(53 89422424),(54 90180376),(55 91017000),(56 91873280),(57 92831950),(58 93967310),(59 94941120),(60 96006900),(61 97317160),(62 98912136),(63 100853010),(64 102846800),(65 104968130),(66 107215400),(67 109868880),(68 112611920),(69 115390770),(70 118200984),(71 121233620),(72 124309170),(73 127211310),(74 130355920),(75 133521880),(76 136547420),(77 139736540),(78 142895570),(79 146080160),
(1 131635.92),(2 508154.75),(3 1135826.6),(4 2017343.4),(5 3138661.3),(6 4478235.5),(7 6053284),(8 7842629.5),(9 9848637),(10 12060345),(11 14432048),(12 16964192),(13 19833216),(14 22839552),(15 25981482),(16 29283976),(17 32623674),(18 36071052),(19 39774924),(20 43637060),(21 47376412),(22 51006468),(23 54602676),(24 58145404),(25 61480236),(26 64728452),(27 68029224),(28 71087580),(29 73983820),(30 76752984),(31 79299656),(32 81700920),(33 83907496),(34 86124780),(35 88232616),(36 90097110),(37 91897540),(38 93593980),(39 95318870),(40 96687300),(41 97860070),(42 98860376),(43 99996904),(44 101177800),(45 102459330),(46 103889270),(47 105359590),(48 106701180),(49 108223110),(50 109726470),(51 111219944),(52 112624640),(53 113922560),(54 115132250),(55 116296984),(56 117302850),(57 118091416),(58 118820670),(59 119198104),(60 119361950),(61 119596710),(62 119888510),(63 120280056),(64 120585770),(65 120918550),(66 121155560),(67 121430440),(68 121588310),(69 121704510),(70 121658520),(71 121642136),(72 121743970),(73 121722690),(74 121969410),(75 122415740),(76 122799510),(77 123305980),(78 123900170),(79 124598664),
(1 154948.28),(2 600965),(3 1343424.4),(4 2385058.3),(5 3669085),(6 5233525.5),(7 7034884.5),(8 9042156),(9 11251090),(10 13590262),(11 15999708),(12 18508360),(13 21232050),(14 24002974),(15 26882036),(16 29756560),(17 32543502),(18 35254108),(19 38040210),(20 40687810),(21 42992200),(22 45072236),(23 46955890),(24 48677760),(25 50190252),(26 51467070),(27 52666680),(28 53692990),(29 54515908),(30 55188710),(31 55726160),(32 56024790),(33 56189430),(34 56257252),(35 56202588),(36 56030468),(37 55884188),(38 55746190),(39 55620212),(40 55309908),(41 54999350),(42 54682250),(43 54438468),(44 54490164),(45 54616496),(46 54832130),(47 55109684),(48 55348052),(49 55673028),(50 56017724),(51 56365428),(52 56824800),(53 57304016),(54 57744804),(55 58215944),(56 58728410),(57 59144584),(58 59582188),(59 59933660),(60 60207160),(61 60481864),(62 60715450),(63 60944056),(64 61047824),(65 60991570),(66 60832092),(67 60657920),(68 60393730),(69 60064284),(70 59635504),(71 59165924),(72 58741136),(73 58232828),(74 57877600),(75 57496700),(76 57081588),(77 56629316),(78 56208990),(79 55802700),
(1 148176.72),(2 577434.44),(3 1283305.6),(4 2237925.5),(5 3422153.5),(6 4847484.5),(7 6448920),(8 8198317),(9 10063658),(10 11994965),(11 13866585),(12 15743287),(13 17681098),(14 19579418),(15 21449854),(16 23188750),(17 24810978),(18 26310434),(19 27763776),(20 29072436),(21 30046976),(22 30803288),(23 31405160),(24 31855278),(25 32213492),(26 32522066),(27 32767494),(28 32989678),(29 33217234),(30 33443712),(31 33789924),(32 34171016),(33 34583950),(34 35132356),(35 35608564),(36 36013980),(37 36565220),(38 37076690),(39 37570030),(40 37927304),(41 38149004),(42 38328550),(43 38363100),(44 38466844),(45 38471492),(46 38491644),(47 38447324),(48 38326230),(49 38190684),(50 38046760),(51 37823550),(52 37591820),(53 37339136),(54 36968156),(55 36529796),(56 36126930),(57 35693184),(58 35279744),(59 34908164),(60 34540736),(61 34181364),(62 33910236),(63 33643900),(64 33382990),(65 33087540),(66 32763514),(67 32449218),(68 32165602),(69 31892678),(70 31624914),(71 31437224),(72 31246622),(73 31119820),(74 31058694),(75 31049158),(76 31101952),(77 31198232),(78 31424282),(79 31674810),
(1 145822.89),(2 565910.4),(3 1247149.3),(4 2168584),(5 3326664.3),(6 4695331.5),(7 6228037),(8 7890125),(9 9638339),(10 11385139),(11 13071115),(12 14669552),(13 16235261),(14 17671280),(15 18962630),(16 20153754),(17 21187404),(18 22104792),(19 22967756),(20 23741950),(21 24402670),(22 24984724),(23 25590394),(24 26184844),(25 26814756),(26 27462612),(27 28153770),(28 28898906),(29 29671446),(30 30451452),(31 31319244),(32 32171674),(33 33019980),(34 33949084),(35 34860476),(36 35660536),(37 36423704),(38 37075624),(39 37592524),(40 37983924),(41 38187910),(42 38272936),(43 38219956),(44 38022060),(45 37647656),(46 37246530),(47 36789196),(48 36242490),(49 35657830),(50 35058170),(51 34462580),(52 33877750),(53 33380218),(54 32971084),(55 32660560),(56 32481094),(57 32418944),(58 32474086),(59 32641946),(60 32928698),(61 33372304),(62 33970050),(63 34615828),(64 35320330),(65 36046572),(66 36787210),(67 37507252),(68 38197420),(69 38832310),(70 39400810),(71 40001344),(72 40543284),(73 41029624),(74 41547104),(75 41993570),(76 42407388),(77 42739160),(78 42996372),(79 43193304),
(1 146036.95),(2 559115.3),(3 1203948.1),(4 2042906.6),(5 3060208),(6 4206959.5),(7 5467852.5),(8 6780579),(9 8110924.5),(10 9431575),(11 10748649),(12 12049625),(13 13348281),(14 14580884),(15 15853388),(16 17139016),(17 18402420),(18 19672620),(19 20983242),(20 22315626),(21 23639076),(22 24950872),(23 26302844),(24 27694890),(25 29091458),(26 30484760),(27 31898294),(28 33328508),(29 34731270),(30 36075530),(31 37362940),(32 38477372),(33 39444220),(34 40297730),(35 40923724),(36 41342812),(37 41575830),(38 41609500),(39 41441620),(40 41101104),(41 40549924),(42 39909884),(43 39173490),(44 38430984),(45 37612732),(46 36836190),(47 36065336),(48 35245956),(49 34443660),(50 33720790),(51 33074220),(52 32477714),(53 31962884),(54 31632384),(55 31486186),(56 31502580),(57 31616790),(58 31799304),(59 32031574),(60 32338540),(61 32717922),(62 33181314),(63 33658268),(64 34186330),(65 34716200),(66 35214330),(67 35699730),(68 36141976),(69 36585680),(70 37008520),(71 37446428),(72 37794384),(73 38070970),(74 38369616),(75 38621544),(76 38797024),(77 38928492),(78 38954428),(79 38988020),
(1 108914.35),(2 411528.53),(3 885676.1),(4 1496862.1),(5 2213818.5),(6 3029057),(7 3907876.8),(8 4819394.5),(9 5744504),(10 6671909.5),(11 7622811),(12 8598905),(13 9577237),(14 10551828),(15 11589589),(16 12605133),(17 13604169),(18 14554659),(19 15479541),(20 16347840),(21 17145122),(22 17915916),(23 18642086),(24 19306368),(25 19968068),(26 20558182),(27 21102968),(28 21589882),(29 22065354),(30 22485564),(31 22893426),(32 23246798),(33 23534092),(34 23856056),(35 24111036),(36 24340404),(37 24605724),(38 24834718),(39 25028172),(40 25202662),(41 25288584),(42 25344866),(43 25310588),(44 25262962),(45 25190524),(46 25110760),(47 25015160),(48 24846584),(49 24693316),(50 24571318),(51 24493608),(52 24467596),(53 24475094),(54 24512674),(55 24575802),(56 24659100),(57 24761254),(58 24849224),(59 24939112),(60 25048248),(61 25211870),(62 25474300),(63 25772148),(64 26151556),(65 26588918),(66 27009480),(67 27496258),(68 28058046),(69 28670208),(70 29298636),(71 29965152),(72 30618062),(73 31217238),(74 31836394),(75 32451392),(76 33018714),(77 33586324),(78 34141596),(79 34664424),
(1 116979.086),(2 447122.2),(3 956702.5),(4 1597132.3),(5 2334265.8),(6 3151738.5),(7 4007179.3),(8 4897167.5),(9 5793247),(10 6680008),(11 7558073.5),(12 8431608),(13 9234459),(14 9980936),(15 10686063),(16 11351149),(17 12011032),(18 12653662),(19 13315324),(20 14023928),(21 14744927),(22 15482033),(23 16210927),(24 16916386),(25 17613014),(26 18247736),(27 18835774),(28 19382518),(29 19900002),(30 20375792),(31 20780932),(32 21116100),(33 21338118),(34 21448194),(35 21410864),(36 21296784),(37 21104760),(38 20849890),(39 20588784),(40 20282704),(41 19937946),(42 19566126),(43 19165782),(44 18802094),(45 18413954),(46 18052038),(47 17690334),(48 17326310),(49 17004454),(50 16713845),(51 16458253),(52 16215590),(53 15987716),(54 15761376),(55 15553222),(56 15397289),(57 15295281),(58 15222072),(59 15211279),(60 15230350),(61 15290182),(62 15427495),(63 15631880),(64 15927055),(65 16262253),(66 16634185),(67 17070338),(68 17515034),(69 17955268),(70 18392360),(71 18813650),(72 19176780),(73 19494844),(74 19820062),(75 20099654),(76 20310544),(77 20498770),(78 20652820),(79 20775936),
(1 130902.16),(2 483448),(3 1014717.7),(4 1661629.6),(5 2391163),(6 3184454.8),(7 4003698.8),(8 4823232),(9 5619665),(10 6389254),(11 7125951.5),(12 7825065),(13 8464428),(14 9015413),(15 9534340),(16 10051847),(17 10619465),(18 11221390),(19 11859113),(20 12506148),(21 13115227),(22 13735564),(23 14356208),(24 14953321),(25 15538023),(26 16101056),(27 16650820),(28 17206400),(29 17737372),(30 18216088),(31 18673208),(32 19058518),(33 19335272),(34 19550880),(35 19743434),(36 19858134),(37 19935240),(38 19989682),(39 20000504),(40 20014136),(41 20025116),(42 20049912),(43 20052534),(44 20053178),(45 20016850),(46 19961764),(47 19888720),(48 19790452),(49 19684418),(50 19509900),(51 19304802),(52 19054906),(53 18764562),(54 18442508),(55 18116604),(56 17792284),(57 17490734),(58 17269700),(59 17097938),(60 16978390),(61 16918924),(62 16912574),(63 16945984),(64 17020418),(65 17132940),(66 17234120),(67 17329508),(68 17411966),(69 17477416),(70 17527412),(71 17576380),(72 17613610),(73 17637266),(74 17667122),(75 17667158),(76 17624058),(77 17551932),(78 17436466),(79 17240382),
(1 108460.46),(2 396397.03),(3 835071.9),(4 1377993),(5 2002332.3),(6 2685541.8),(7 3395995.8),(8 4115654.5),(9 4834626.5),(10 5532224),(11 6196529),(12 6807061.5),(13 7376809.5),(14 7850059),(15 8283685.5),(16 8684166),(17 9104540),(18 9577803),(19 10090846),(20 10623576),(21 11151311),(22 11705192),(23 12254660),(24 12808610),(25 13295785),(26 13742426),(27 14175839),(28 14565953),(29 14880171),(30 15095981),(31 15217216),(32 15270472),(33 15256633),(34 15215046),(35 15203860),(36 15222647),(37 15285227),(38 15383173),(39 15473378),(40 15547595),(41 15594611),(42 15588017),(43 15538419),(44 15459452),(45 15337739),(46 15217435),(47 15108442),(48 14999437),(49 14859384),(50 14679672),(51 14492215),(52 14344631),(53 14182867),(54 14014951),(55 13848678),(56 13678049),(57 13535861),(58 13414078),(59 13253668),(60 13092073),(61 12911578),(62 12717676),(63 12528211),(64 12332504),(65 12143704),(66 11958445),(67 11772880),(68 11551405),(69 11331317),(70 11099150),(71 10882193),(72 10674280),(73 10511659),(74 10355923),(75 10242989),(76 10166616),(77 10127244),(78 10157313),(79 10237914),
