1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 454792.4),(2 1457979.4),(3 2980811.8),(4 4766362),(5 6838145.5),(6 9020278),(7 11223203),(8 13464892),(9 15639623),(10 17898758),(11 19844950),(12 21716774),(13 24039494),(14 26283322),(15 28168870),(16 30034542),(17 31977144),(18 33921156),(19 36140764),(20 39115860),(21 42790770),(22 47492828),(23 52420020),(24 54861744),(25 56874956),(26 58491010),(27 59252716),(28 59524224),(29 59446212),(30 59084930),(31 58787620),(32 58463492),(33 58026236),(34 57834164),(35 57460260),(36 57180356),(37 57050628),(38 57088188),(39 57360716),(40 58402676),(41 59303916),(42 59943040),(43 60224240),(44 60523170),(45 61602540),(46 63429420),(47 65593172),(48 68023140),(49 71285590),(50 74711860),(51 78290870),(52 82143224),(53 86132010),(54 89964984),(55 93603580),(56 97093416),(57 100831064),(58 104473096),(59 108772710),(60 112570460),(61 115835416),(62 118915210),(63 122458824),(64 124875620),(65 128382120),(66 132691096),(67 138235900),(68 143408620),(69 146110350),(70 147355250),(71 147500880),(72 145639950),(73 142644340),(74 139161700),(75 136267540),(76 133100920),(77 129743064),(78 126378650),(79 122412184),
(1 366011.7),(2 1384056.3),(3 3011618.8),(4 5180737),(5 7770554.5),(6 10661555),(7 13782106),(8 17185204),(9 20721856),(10 24329054),(11 27720016),(12 31132028),(13 34764936),(14 38644876),(15 42637000),(16 46998376),(17 51746210),(18 56908030),(19 62369304),(20 68557490),(21 75323304),(22 83026620),(23 91225000),(24 96959500),(25 102071660),(26 106809144),(27 110854450),(28 114232000),(29 117435650),(30 120180020),(31 122868480),(32 125957380),(33 129014760),(34 132198380),(35 135233120),(36 138092540),(37 140694940),(38 142843100),(39 144678960),(40 146403940),(41 147469740),(42 147890020),(43 147456270),(44 146392750),(45 145362450),(46 144277390),(47 143479300),(48 143066110),(49 142724020),(50 142343540),(51 142101540),(52 141943600),(53 141532980),(54 140831380),(55 139905440),(56 138995550),(57 138200860),(58 137258780),(59 136582060),(60 136191920),(61 136122200),(62 136434610),(63 137465220),(64 138994370),(65 141558400),(66 145182100),(67 149730300),(68 153845280),(69 155861520),(70 156580930),(71 156267220),(72 154261780),(73 151278060),(74 147998380),(75 145353600),(76 142655090),(77 140079280),(78 137881340),(79 135091070),
(1 419160.13),(2 1621679),(3 3553064.3),(4 6160362.5),(5 9267694),(6 12782337),(7 16618708),(8 20702746),(9 24845798),(10 28842586),(11 32336622),(12 35426708),(13 38363588),(14 41175652),(15 44003204),(16 46879904),(17 49818016),(18 52856770),(19 55966420),(20 58899500),(21 61776500),(22 64641696),(23 67618720),(24 69569500),(25 71099960),(26 72441640),(27 73412650),(28 74295944),(29 75297150),(30 76423736),(31 77848360),(32 79529010),(33 81439530),(34 83521610),(35 85464776),(36 87365816),(37 89196630),(38 90888536),(39 92492570),(40 94147210),(41 95839840),(42 97559656),(43 99203016),(44 100517700),(45 101844710),(46 103113110),(47 104543336),(48 106261240),(49 107786790),(50 109271550),(51 110804030),(52 112306430),(53 113700696),(54 115042950),(55 116302390),(56 117735000),(57 119310264),(58 121017500),(59 122997060),(60 125127910),(61 127286856),(62 129699840),(63 132315520),(64 135041360),(65 137773180),(66 140523730),(67 143411760),(68 145510030),(69 145993070),(70 145506690),(71 144042770),(72 141230160),(73 138109710),(74 134880560),(75 131695976),(76 128250120),(77 124791944),(78 121206504),(79 117291256),
(1 450034.3),(2 1768652.5),(3 3897970.8),(4 6804492.5),(5 10241447),(6 14128640),(7 18336818),(8 22678362),(9 26872266),(10 30686326),(11 33792348),(12 36425876),(13 38847104),(14 41281540),(15 43622864),(16 46005360),(17 48388052),(18 50779410),(19 53078280),(20 54917430),(21 56495376),(22 57822344),(23 59091936),(24 59939970),(25 60538964),(26 61098890),(27 61455730),(28 61744720),(29 62110904),(30 62556052),(31 63168596),(32 63913436),(33 64698950),(34 65311376),(35 65660536),(36 65837696),(37 65714370),(38 65329410),(39 64687490),(40 63673628),(41 62317268),(42 60610104),(43 58455184),(44 56183000),(45 54017176),(46 52145536),(47 50516908),(48 49316270),(49 48541616),(50 48192790),(51 48307984),(52 48676530),(53 49129172),(54 49776852),(55 50423490),(56 51189670),(57 52038190),(58 52803540),(59 53639988),(60 54745130),(61 56032428),(62 57362324),(63 58782668),(64 60138980),(65 61311304),(66 62220730),(67 63003044),(68 63572096),(69 63911588),(70 64122130),(71 64110960),(72 63884828),(73 64110536),(74 64738340),(75 64821100),(76 64813690),(77 64601910),(78 64060430),(79 63483604),
(1 386430.97),(2 1503010.8),(3 3290468.3),(4 5657359.5),(5 8426264),(6 11471180),(7 14649481),(8 17765106),(9 20642746),(10 23126788),(11 25144008),(12 26938446),(13 28736198),(14 30635944),(15 32455148),(16 34212110),(17 35850628),(18 37351012),(19 38689240),(20 39591284),(21 40356536),(22 41045200),(23 41980172),(24 42958744),(25 44011396),(26 45309836),(27 46622730),(28 47942910),(29 49264884),(30 50513524),(31 51809410),(32 53181350),(33 54441664),(34 55451304),(35 56121460),(36 56411824),(37 56260816),(38 55665828),(39 54682670),(40 53310336),(41 51733828),(42 50027684),(43 48321148),(44 46737092),(45 45296100),(46 44130664),(47 43170664),(48 42499716),(49 42306640),(50 42375404),(51 42863716),(52 43577260),(53 44702190),(54 46059810),(55 47512732),(56 49085440),(57 50663860),(58 52035376),(59 53137840),(60 53952260),(61 54384676),(62 54327830),(63 53895628),(64 53023720),(65 51907444),(66 50680756),(67 49552780),(68 48603344),(69 47738980),(70 47037810),(71 46503740),(72 46151384),(73 46107588),(74 46278730),(75 46349172),(76 46432400),(77 46454140),(78 46326704),(79 45941976),
(1 355825.5),(2 1374016.9),(3 2990449.5),(4 5059138),(5 7442660),(6 9962910),(7 12426686),(8 14759326),(9 16845872),(10 18584938),(11 20171466),(12 21799494),(13 23537808),(14 25386660),(15 27038458),(16 28504192),(17 29757766),(18 30727372),(19 31462182),(20 32040012),(21 32559988),(22 33187988),(23 33981628),(24 34802828),(25 35788016),(26 36948716),(27 38077276),(28 39116280),(29 40004810),(30 40842388),(31 41799896),(32 42786844),(33 43670310),(34 44448040),(35 45061670),(36 45447940),(37 45615724),(38 45564224),(39 45361060),(40 45075640),(41 44706676),(42 44246260),(43 43743764),(44 43179496),(45 42572628),(46 41938124),(47 41215750),(48 40427704),(49 39791110),(50 39260810),(51 38764830),(52 38376150),(53 38174904),(54 38128360),(55 38186196),(56 38285750),(57 38366920),(58 38515916),(59 38609470),(60 38614624),(61 38475104),(62 38249990),(63 37997310),(64 37790412),(65 37690830),(66 37708330),(67 37956630),(68 38314324),(69 38771910),(70 39294388),(71 39903990),(72 40505864),(73 41247636),(74 42258056),(75 43151516),(76 44044660),(77 44848896),(78 45527308),(79 46180940),
(1 342480.84),(2 1332347.8),(3 2885816.5),(4 4845969),(5 6999808.5),(6 9165727),(7 11155470),(8 12841445),(9 14187878),(10 15211124),(11 16129042),(12 17070360),(13 18068914),(14 19255602),(15 20420650),(16 21460540),(17 22281238),(18 22807510),(19 23067424),(20 23317102),(21 23601820),(22 23995268),(23 24557728),(24 24981218),(25 25477272),(26 26077740),(27 26624810),(28 27179894),(29 27607090),(30 27900706),(31 28193396),(32 28462978),(33 28569176),(34 28616030),(35 28668062),(36 28720546),(37 28824446),(38 29060376),(39 29434188),(40 29923228),(41 30399458),(42 30708746),(43 30874046),(44 30903758),(45 30781738),(46 30518184),(47 29962574),(48 29212414),(49 28491432),(50 27767384),(51 27147532),(52 26726386),(53 26526132),(54 26612760),(55 26968702),(56 27576052),(57 28388696),(58 29322132),(59 30232950),(60 31005992),(61 31517490),(62 31707780),(63 31609664),(64 31258428),(65 30792768),(66 30354968),(67 30101378),(68 29899874),(69 29676448),(70 29450764),(71 29255446),(72 29017576),(73 28758378),(74 28600064),(75 28433854),(76 28287764),(77 28148232),(78 28065310),(79 28147190),
(1 411809.47),(2 1614490.8),(3 3479313.8),(4 5743468.5),(5 8080006.5),(6 10232677),(7 11929856),(8 13077150),(9 13736698),(10 14093500),(11 14434569),(12 14949142),(13 15714534),(14 16750225),(15 18023226),(16 19190620),(17 20096870),(18 20650088),(19 21013480),(20 21351454),(21 21758332),(22 22042594),(23 22222882),(24 22402772),(25 22718888),(26 23124710),(27 23538510),(28 23946722),(29 24220742),(30 24411328),(31 24620792),(32 24647734),(33 24558378),(34 24418252),(35 24363976),(36 24357884),(37 24418930),(38 24557068),(39 24672268),(40 24788706),(41 24866136),(42 24826238),(43 24829670),(44 24876756),(45 24884398),(46 24732842),(47 24345966),(48 23885064),(49 23616758),(50 23414738),(51 23298878),(52 23385834),(53 23910820),(54 24774260),(55 26038536),(56 27579958),(57 29233818),(58 30882048),(59 32427092),(60 33631130),(61 34441800),(62 34820324),(63 34867870),(64 34711150),(65 34506148),(66 34295720),(67 34175210),(68 34004830),(69 33706076),(70 33198720),(71 32560196),(72 31772408),(73 30997242),(74 30400050),(75 29870722),(76 29482446),(77 29215506),(78 29080162),(79 29229940),
(1 499246),(2 1935237.1),(3 4102823.5),(4 6639940),(5 9135411),(6 11238703),(7 12661239),(8 13399055),(9 13653926),(10 13743747),(11 13933889),(12 14362808),(13 15056325),(14 16037308),(15 17148134),(16 18091736),(17 18732530),(18 19064262),(19 19293496),(20 19555252),(21 19751172),(22 19831710),(23 19858422),(24 19857856),(25 19953084),(26 20114180),(27 20287650),(28 20414584),(29 20433862),(30 20364536),(31 20255012),(32 19986872),(33 19619124),(34 19302644),(35 19053354),(36 18870456),(37 18790340),(38 18804902),(39 18958246),(40 19301938),(41 19782896),(42 20371374),(43 21002694),(44 21473450),(45 21726622),(46 21674556),(47 21512418),(48 21326138),(49 21022362),(50 20742984),(51 20562974),(52 20550734),(53 20745874),(54 21183684),(55 21814602),(56 22547660),(57 23229324),(58 23697280),(59 23858842),(60 23776272),(61 23393008),(62 22735770),(63 22003870),(64 21336348),(65 20866804),(66 20595136),(67 20417078),(68 20243416),(69 20067122),(70 19772524),(71 19339920),(72 18815830),(73 18338864),(74 18114814),(75 17912876),(76 17816130),(77 17812366),(78 17985968),(79 18467952),
(1 557494.1),(2 2140470.8),(3 4471699.5),(4 7100783),(5 9543436),(6 11413034),(7 12438559),(8 12765269),(9 12688860),(10 12600926),(11 12741483),(12 13178076),(13 13965408),(14 15017573),(15 16172519),(16 17116440),(17 17704072),(18 17947640),(19 18052920),(20 18144056),(21 18156314),(22 18072790),(23 17873556),(24 17561828),(25 17278448),(26 17054110),(27 16900012),(28 16800144),(29 16728695),(30 16694484),(31 16666578),(32 16506780),(33 16215426),(34 15896466),(35 15582277),(36 15276615),(37 15039938),(38 14878448),(39 14880139),(40 15057847),(41 15394267),(42 15738318),(43 15992012),(44 16156892),(45 16237127),(46 16213749),(47 16118921),(48 16048443),(49 16054905),(50 16050272),(51 16007200),(52 15967861),(53 15973988),(54 16052085),(55 16198878),(56 16377563),(57 16501764),(58 16467726),(59 16293298),(60 15970137),(61 15488117),(62 14950340),(63 14503528),(64 14229842),(65 14113663),(66 14037425),(67 13938612),(68 13876544),(69 13821780),(70 13694597),(71 13541030),(72 13447382),(73 13485310),(74 13723439),(75 13845979),(76 13919052),(77 14086276),(78 14428471),(79 15020082),
(1 595106.8),(2 2240063.5),(3 4572431),(4 7082804),(5 9264023),(6 10777331),(7 11520614),(8 11751916),(9 11788470),(10 11955871),(11 12343172),(12 12940240),(13 13781859),(14 14665534),(15 15375290),(16 15675150),(17 15618193),(18 15375923),(19 15235000),(20 15249944),(21 15265871),(22 15110537),(23 14904572),(24 14815151),(25 14849901),(26 15035976),(27 15364823),(28 15757491),(29 16124424),(30 16438987),(31 16692920),(32 16867268),(33 16910076),(34 16860906),(35 16718052),(36 16507420),(37 16335068),(38 16174505),(39 16114914),(40 16121728),(41 16116792),(42 16108361),(43 16187396),(44 16334859),(45 16562645),(46 16809612),(47 17128852),(48 17492338),(49 17772958),(50 17787664),(51 17581728),(52 17260218),(53 16909844),(54 16649992),(55 16513576),(56 16513901),(57 16606161),(58 16686259),(59 16669828),(60 16424499),(61 16011765),(62 15594368),(63 15265490),(64 15085131),(65 14960911),(66 14775033),(67 14496927),(68 14178483),(69 13913441),(70 13777761),(71 13803853),(72 13971480),(73 14271484),(74 14670723),(75 14881235),(76 14989216),(77 15046993),(78 15214192),(79 15248677),
