1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 934331),(2 3399325.8),(3 6779381.5),(4 10915295),(5 14980859),(6 19390922),(7 24626480),(8 30959010),(9 36624588),(10 42914996),(11 50214836),(12 57695820),(13 66651216),(14 77024540),(15 88849350),(16 101740570),(17 116321820),(18 132424650),(19 150271220),(20 171421860),(21 192618580),(22 215808780),(23 240600560),(24 268444930),(25 296219800),(26 327058660),(27 361136400),(28 396444000),(29 436098800),(30 477660830),(31 526369020),(32 575657300),(33 622363800),(34 669862850),(35 723319900),(36 780985340),(37 843523650),(38 923744000),(39 991995100),(40 1065444540),(41 1137119100),(42 1195614500),(43 1252114800),(44 1306491300),(45 1358361100),(46 1401851100),(47 1439444000),(48 1472427000),(49 1502527500),(50 1522940400),(51 1534792800),(52 1538640400),(53 1529918600),(54 1520148500),(55 1501846900),(56 1472495500),(57 1432908200),(58 1380343400),(59 1317054800),(60 1246063500),(61 1172811400),(62 1095611100),(63 1023531200),(64 952371460),(65 882137400),(66 812536100),(67 745055400),(68 679530600),(69 617849400),(70 557922750),(71 501143970),(72 447156600),(73 396457820),(74 350761470),(75 307576930),(76 268676830),(77 235143440),(78 207132860),(79 185836030),
(1 1010050.8),(2 3692297.3),(3 7512149),(4 12075763),(5 16900102),(6 22085656),(7 27694474),(8 33817812),(9 39845436),(10 46397356),(11 53387320),(12 60415424),(13 68123350),(14 76442280),(15 85497170),(16 95215380),(17 105814530),(18 117128180),(19 129276140),(20 142608130),(21 156016480),(22 170158940),(23 184762190),(24 200514990),(25 216018000),(26 232927260),(27 250890460),(28 269563970),(29 288847300),(30 307753400),(31 328163520),(32 349689540),(33 372773660),(34 397308380),(35 421887650),(36 445771200),(37 467595680),(38 488697100),(39 508328260),(40 526504030),(41 542245500),(42 556309100),(43 569048900),(44 579366460),(45 587698000),(46 593703040),(47 597278200),(48 599254400),(49 598961000),(50 596599400),(51 592501760),(52 586218560),(53 577811500),(54 567117700),(55 553173600),(56 535486100),(57 514844860),(58 492089540),(59 468509630),(60 444793440),(61 422133300),(62 401592420),(63 381344100),(64 360989950),(65 341321250),(66 322155000),(67 303564160),(68 285748830),(69 268591870),(70 251946240),(71 235872260),(72 219901470),(73 204383330),(74 189549020),(75 175274450),(76 162020100),(77 150674600),(78 141483580),(79 134816130),
(1 1052872.1),(2 3833860.8),(3 7704569.5),(4 12112272),(5 16603485),(6 21312010),(7 26277808),(8 31479168),(9 37071360),(10 42957160),(11 48949180),(12 54859252),(13 60823890),(14 66864924),(15 73130920),(16 79788024),(17 86535790),(18 93270696),(19 99763450),(20 106111780),(21 112111940),(22 117848740),(23 123153240),(24 128524070),(25 133876024),(26 138560400),(27 143098860),(28 147184300),(29 151689150),(30 156358930),(31 161817010),(32 164996910),(33 164955920),(34 163909680),(35 162295180),(36 159751620),(37 156393140),(38 152599280),(39 148377500),(40 144681010),(41 140776940),(42 136337870),(43 132245144),(44 128352550),(45 124605720),(46 120747896),(47 116862590),(48 113219624),(49 109814296),(50 106644970),(51 104184470),(52 102687780),(53 102933850),(54 105739710),(55 110071656),(56 114738430),(57 119157544),(58 123197800),(59 126217110),(60 128413464),(61 129621790),(62 130698010),(63 133408790),(64 136408770),(65 139374500),(66 142186160),(67 144529650),(68 146392300),(69 147861120),(70 148575820),(71 148499660),(72 147398580),(73 145431980),(74 142126160),(75 137700720),(76 132624320),(77 127474370),(78 122883490),(79 119360230),
(1 1267261.4),(2 4662029.5),(3 9462135),(4 14992153),(5 20635324),(6 26407800),(7 32181192),(8 37821650),(9 43178630),(10 48087340),(11 52286160),(12 55729828),(13 58552812),(14 60816212),(15 62730570),(16 64498550),(17 66169244),(18 67679160),(19 69044190),(20 70232600),(21 71315256),(22 72521730),(23 73797304),(24 75404480),(25 77108700),(26 79341880),(27 81969650),(28 84741470),(29 87422456),(30 89722640),(31 92119870),(32 93475256),(33 94009656),(34 94771270),(35 95948040),(36 97196960),(37 98358290),(38 99550200),(39 101140630),(40 102736650),(41 103785290),(42 104490640),(43 104840584),(44 104779230),(45 104401896),(46 103988350),(47 103206880),(48 102231900),(49 100975390),(50 100004010),(51 99999070),(52 100927330),(53 103124960),(54 106225060),(55 109960460),(56 113527020),(57 116723860),(58 119173490),(59 120514616),(60 121036890),(61 121031336),(62 121328216),(63 122438300),(64 123797100),(65 125054830),(66 126292480),(67 127209440),(68 127819490),(69 128218550),(70 128163290),(71 127682300),(72 126594450),(73 124840080),(74 122204290),(75 119023304),(76 115321330),(77 111299200),(78 107297660),(79 103598100),
(1 1246003.9),(2 4548948.5),(3 9115946),(4 14162319),(5 19017118),(6 23692904),(7 28127540),(8 32416952),(9 36248356),(10 39387000),(11 41649460),(12 43148176),(13 44065212),(14 44649444),(15 45175256),(16 45805160),(17 46649916),(18 47701076),(19 48958556),(20 50480656),(21 52240176),(22 54311300),(23 56634692),(24 59168960),(25 61694800),(26 64231890),(27 66434256),(28 68408970),(29 69769810),(30 70996320),(31 72731390),(32 74707430),(33 76098850),(34 77556560),(35 79244230),(36 81051230),(37 82509520),(38 83939810),(39 85388700),(40 86368450),(41 87209290),(42 88052480),(43 88763544),(44 89516900),(45 90382630),(46 91241250),(47 91650104),(48 91458750),(49 90497020),(50 89132800),(51 87753720),(52 86416104),(53 85401950),(54 84471920),(55 83833470),(56 83398500),(57 82887330),(58 82247050),(59 81397330),(60 80252824),(61 79203920),(62 78848040),(63 78219976),(64 77558680),(65 76854140),(66 76265550),(67 75676560),(68 75126730),(69 74630320),(70 74221560),(71 73973580),(72 73725320),(73 73165256),(74 72268720),(75 71079224),(76 69312610),(77 67119336),(78 64743004),(79 62527696),
(1 1379303.5),(2 4970192),(3 9704502),(4 14526029),(5 18783604),(6 22561802),(7 26026306),(8 29421690),(9 32458292),(10 34641836),(11 35835972),(12 36141140),(13 35815444),(14 35223188),(15 34704804),(16 34489012),(17 34591210),(18 34956390),(19 35522550),(20 36190410),(21 37050120),(22 37894132),(23 38635852),(24 39210380),(25 39649904),(26 39794856),(27 40176904),(28 41262452),(29 43007308),(30 45290090),(31 47786344),(32 49518304),(33 49874270),(34 49705956),(35 49743304),(36 49938840),(37 50402964),(38 50825210),(39 51186224),(40 51516236),(41 51676090),(42 51818468),(43 52599110),(44 54335610),(45 56824390),(46 59665172),(47 62228216),(48 64042616),(49 64425268),(50 63649856),(51 62001012),(52 60037670),(53 58027544),(54 56568264),(55 55735904),(56 55416790),(57 55796840),(58 56586520),(59 57249896),(60 57132264),(61 55941290),(62 54440940),(63 53574988),(64 52797416),(65 52029656),(66 51302424),(67 50402388),(68 49387868),(69 48277436),(70 47219628),(71 46294188),(72 45473990),(73 44711050),(74 43926196),(75 43026840),(76 41918090),(77 40659490),(78 39403970),(79 38354170),
(1 1096926.9),(2 3846355.5),(3 7231229),(4 10385115),(5 12959590),(6 15147897),(7 17263346),(8 19462372),(9 21496296),(10 22972564),(11 23799938),(12 24052654),(13 24027886),(14 24109634),(15 24524280),(16 25412788),(17 26630532),(18 27998280),(19 29304146),(20 30340148),(21 31023944),(22 31184374),(23 30915050),(24 30533554),(25 30647048),(26 31609644),(27 33487378),(28 35971972),(29 37949096),(30 38812464),(31 38772196),(32 39024500),(33 39417970),(34 39852790),(35 40279720),(36 40770724),(37 41224760),(38 41886788),(39 42684292),(40 42987268),(41 43160696),(42 43295764),(43 43457236),(44 43922660),(45 44790136),(46 45975144),(47 46926556),(48 47056412),(49 46242710),(50 44979480),(51 43756372),(52 42812948),(53 42031470),(54 41502264),(55 41142730),(56 41033910),(57 41174984),(58 41207144),(59 40778304),(60 39721156),(61 38544748),(62 37939036),(63 37456388),(64 37045976),(65 36724750),(66 36457644),(67 36153484),(68 35673532),(69 35012900),(70 34173948),(71 33198590),(72 32165508),(73 31200960),(74 30336610),(75 29635946),(76 29063528),(77 28502038),(78 27899818),(79 27280074),
(1 870728.06),(2 2931108.3),(3 5281866.5),(4 7262155.5),(5 8791189),(6 10100363),(7 11552775),(8 13235803),(9 14862195),(10 16188373),(11 17105412),(12 17695266),(13 18205522),(14 18910580),(15 19866178),(16 20995566),(17 22097786),(18 22984996),(19 23571956),(20 23901472),(21 24014638),(22 24064888),(23 24259964),(24 24820710),(25 26011384),(26 27359420),(27 28650168),(28 29507754),(29 30096716),(30 30390568),(31 30844458),(32 31576492),(33 31986322),(34 31996086),(35 31979596),(36 32034146),(37 32365992),(38 32978154),(39 33801044),(40 35094744),(41 36116124),(42 36184200),(43 35868360),(44 35420660),(45 35123710),(46 34852468),(47 34582210),(48 34343860),(49 34039492),(50 33717852),(51 33631604),(52 33717972),(53 33808230),(54 33850476),(55 33972760),(56 33827216),(57 33469014),(58 33044856),(59 32754582),(60 32561404),(61 31928728),(62 30821640),(63 30154030),(64 29708236),(65 29428584),(66 29313922),(67 29332072),(68 29410752),(69 29360862),(70 29017460),(71 28295612),(72 27266602),(73 26138568),(74 25121738),(75 24241478),(76 23459214),(77 22802536),(78 22306878),(79 21923452),
(1 736543.9),(2 2454198),(3 4354355.5),(4 5875173),(5 7005590),(6 7954188),(7 9022396),(8 10290129),(9 11527732),(10 12526422),(11 13187595),(12 13521978),(13 13747779),(14 14113481),(15 14709609),(16 15522974),(17 16456175),(18 17420048),(19 18413980),(20 19481156),(21 20599120),(22 21616516),(23 22430702),(24 22986160),(25 23368714),(26 23774170),(27 24182490),(28 24547904),(29 24927216),(30 25233584),(31 25392046),(32 25640290),(33 25686038),(34 25329008),(35 24777986),(36 24165628),(37 23741316),(38 23761502),(39 24222804),(40 24642552),(41 24645520),(42 24248324),(43 23556758),(44 23009650),(45 22710730),(46 22753770),(47 22911856),(48 22987246),(49 22847538),(50 22667814),(51 22564658),(52 22677022),(53 22902804),(54 23162704),(55 23320342),(56 23213776),(57 23012762),(58 23058740),(59 23391974),(60 23572698),(61 23166200),(62 22653730),(63 22385878),(64 22043738),(65 21680122),(66 21385016),(67 21216406),(68 21172622),(69 21190588),(70 21098304),(71 20701762),(72 20025474),(73 19252446),(74 18578028),(75 17984670),(76 17480286),(77 17064986),(78 16743827),(79 16495373),
(1 654850.2),(2 2118849.8),(3 3582470),(4 4587425.5),(5 5214285),(6 5725861.5),(7 6474660.5),(8 7431306.5),(9 8348996.5),(10 9016832),(11 9271419),(12 9146346),(13 8926779),(14 8974696),(15 9475004),(16 10371320),(17 11521223),(18 12704166),(19 13824209),(20 14745561),(21 15392404),(22 15724267),(23 15947932),(24 16187621),(25 16558837),(26 17157910),(27 17725402),(28 18005448),(29 18151704),(30 18215238),(31 18305096),(32 18760086),(33 19324300),(34 19643466),(35 19700982),(36 19439000),(37 19036692),(38 18792280),(39 18488588),(40 18310492),(41 18346624),(42 18337408),(43 18217586),(44 18106456),(45 18121960),(46 18301076),(47 18446890),(48 18393806),(49 18129470),(50 17793166),(51 17584912),(52 17629234),(53 17803866),(54 18010812),(55 18253994),(56 18358498),(57 18258680),(58 18111938),(59 18189924),(60 18525010),(61 18733872),(62 18703056),(63 18628690),(64 18371934),(65 17975416),(66 17523458),(67 17165888),(68 17072008),(69 17269354),(70 17572736),(71 17742374),(72 17612404),(73 17262764),(74 16893870),(75 16544572),(76 16142916),(77 15778039),(78 15512148),(79 15390500),
(1 709444.1),(2 2301508.3),(3 3917043.8),(4 5103917),(5 5903453),(6 6562134),(7 7355066.5),(8 8211483.5),(9 8941100),(10 9375968),(11 9403385),(12 9193338),(13 9145037),(14 9651031),(15 10745585),(16 12171519),(17 13495760),(18 14341190),(19 14613127),(20 14384904),(21 13946478),(22 13703617),(23 13929244),(24 14430382),(25 14819145),(26 14969649),(27 14776137),(28 14684653),(29 15047906),(30 15440846),(31 15366347),(32 15343595),(33 15498946),(34 15673720),(35 15891795),(36 16028264),(37 15576882),(38 15095940),(39 15085051),(40 15128646),(41 15253210),(42 15466315),(43 15580218),(44 15565941),(45 15531874),(46 15664280),(47 15946076),(48 16218935),(49 16258669),(50 16160341),(51 16104640),(52 16246084),(53 16519578),(54 16898444),(55 17154522),(56 17105412),(57 16749566),(58 16481175),(59 16552851),(60 16614921),(61 16407793),(62 16402347),(63 16502436),(64 16440151),(65 16166978),(66 15716570),(67 15265702),(68 14996200),(69 14967141),(70 15127979),(71 15202863),(72 15042694),(73 14758430),(74 14484137),(75 14302263),(76 14182364),(77 14131266),(78 14148053),(79 14281306),
