1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 489778.78),(2 851499.06),(3 1046232.3),(4 2097768),(5 2957714),(6 3495418),(7 4821352.5),(8 5896979.5),(9 6592876),(10 8085476.5),(11 9319927),(12 10285516),(13 12084460),(14 13701264),(15 15146447),(16 17403498),(17 19482954),(18 21165238),(19 23673990),(20 25795954),(21 27124390),(22 29130614),(23 30929238),(24 31889074),(25 33752990),(26 35454012),(27 36445104),(28 38415052),(29 40372108),(30 41472316),(31 43415572),(32 45375796),(33 46310652),(34 47878644),(35 49501316),(36 49937484),(37 51001900),(38 52039010),(39 52030948),(40 52634036),(41 53628628),(42 53732450),(43 54541612),(44 55748750),(45 55979124),(46 56506320),(47 57375540),(48 57133092),(49 57342484),(50 57887548),(51 57248052),(52 57197644),(53 57885532),(54 57319060),(55 57567500),(56 58499564),(57 58486596),(58 59222670),(59 60606304),(60 61002156),(61 62252144),(62 63786076),(63 64409068),(64 65786548),(65 67602300),(66 68473944),(67 70082280),(68 72160010),(69 73134890),(70 74655224),(71 76779784),(72 77730620),(73 79441760),(74 81236280),(75 81784250),(76 82696940),(77 84092344),(78 84016430),(79 84465704),
(1 478798.2),(2 1026201.6),(3 1628871),(4 3074845.5),(5 4493989.5),(6 5780560),(7 7726053),(8 9566422),(9 11194754),(10 13343064),(11 15474669),(12 17524646),(13 20100836),(14 22727164),(15 25291664),(16 28227210),(17 31126432),(18 33867976),(19 37026430),(20 39952596),(21 42622556),(22 45736916),(23 48371990),(24 50478516),(25 53312180),(26 55679800),(27 57607176),(28 60119668),(29 62065664),(30 63553216),(31 65584788),(32 67186030),(33 68315144),(34 70077000),(35 71356110),(36 72050910),(37 73523860),(38 74626790),(39 75430670),(40 76825200),(41 77892890),(42 78343560),(43 79267944),(44 79777850),(45 79828050),(46 80093220),(47 79862630),(48 79081590),(49 78622580),(50 77777660),(51 76533620),(52 75968780),(53 75093144),(54 73929230),(55 73490840),(56 72754060),(57 71773030),(58 71616770),(59 71118400),(60 70224450),(61 70104160),(62 69584580),(63 68697740),(64 68751336),(65 68310850),(66 67311540),(67 67191330),(68 66410572),(69 65308972),(70 65131424),(71 64517800),(72 63360840),(73 63313696),(74 63013004),(75 62131330),(76 62318850),(77 62223096),(78 61553932),(79 61803340),
(1 282291.88),(2 702470.75),(3 1264766),(4 2302681.3),(5 3425043.3),(6 4584064),(7 6107520.5),(8 7654368),(9 9187507),(10 11028127),(11 13044273),(12 15059832),(13 17330102),(14 19888022),(15 22422358),(16 25130302),(17 28067114),(18 30843920),(19 33677004),(20 36661276),(21 39360000),(22 42089696),(23 44711028),(24 46990932),(25 49553920),(26 52088670),(27 54370980),(28 56757772),(29 58986476),(30 60877684),(31 62612830),(32 64365676),(33 65886336),(34 67625496),(35 69303520),(36 70720980),(37 72319410),(38 74108930),(39 75732300),(40 77432824),(41 79174550),(42 80304910),(43 81219320),(44 82198984),(45 82916270),(46 83530720),(47 84300216),(48 84774320),(49 85003496),(50 85263360),(51 85414730),(52 85632490),(53 85815070),(54 85777816),(55 85611290),(56 85590970),(57 85449736),(58 85215170),(59 84833640),(60 84282030),(61 83459100),(62 82620010),(63 81591704),(64 80539790),(65 79600320),(66 78525510),(67 77533920),(68 76512010),(69 75506810),(70 74814376),(71 74127530),(72 73468450),(73 73026776),(74 72776056),(75 72626950),(76 72768390),(77 72857944),(78 73005510),(79 73220450),
(1 158062.25),(2 539068.8),(3 1118984.3),(4 1956044),(5 2945722.8),(6 4048311),(7 5329263),(8 6681131.5),(9 8044511),(10 9488900),(11 11000135),(12 12554432),(13 14228203),(14 15961557),(15 17689808),(16 19437952),(17 21248600),(18 23136746),(19 25159850),(20 27232822),(21 29215502),(22 31302794),(23 33302186),(24 35100572),(25 36936016),(26 38744676),(27 40431800),(28 42197760),(29 43798830),(30 45336810),(31 46929830),(32 48478400),(33 49875532),(34 51319570),(35 52734576),(36 53925716),(37 55223496),(38 56556908),(39 57811332),(40 59091510),(41 60403620),(42 61425224),(43 62412372),(44 63301430),(45 64020664),(46 64876016),(47 65946310),(48 66900900),(49 67852070),(50 69029790),(51 70111160),(52 71244910),(53 72577010),(54 73755040),(55 74970664),(56 76226910),(57 77225120),(58 78176260),(59 79281390),(60 80273210),(61 81276970),(62 82575144),(63 83856584),(64 85285416),(65 86967080),(66 88672270),(67 90357544),(68 92059620),(69 93562510),(70 95057850),(71 96523064),(72 97721930),(73 98772180),(74 100004296),(75 101088620),(76 102009224),(77 102901464),(78 103810450),(79 104566616),
(1 198273.48),(2 690384.7),(3 1452650),(4 2548159.8),(5 3840634.5),(6 5299968),(7 7028414.5),(8 8888169),(9 10870494),(10 13006511),(11 15144634),(12 17327582),(13 19612450),(14 21832544),(15 23989486),(16 26087432),(17 28084904),(18 30000948),(19 31941790),(20 33749700),(21 35534980),(22 37409536),(23 39049212),(24 40535804),(25 42099148),(26 43370010),(27 44461110),(28 45572080),(29 46383364),(30 47099908),(31 47756124),(32 48232920),(33 48612956),(34 48965480),(35 49104430),(36 49137296),(37 49210520),(38 49172860),(39 49128040),(40 49005824),(41 48773372),(42 48475732),(43 48110144),(44 47697430),(45 47293252),(46 46930480),(47 46622428),(48 46437404),(49 46351880),(50 46407492),(51 46636270),(52 47006270),(53 47579724),(54 48291844),(55 49162148),(56 50127630),(57 51239830),(58 52379364),(59 53608680),(60 54900212),(61 56207940),(62 57621276),(63 59046012),(64 60497884),(65 62071424),(66 63565070),(67 64946548),(68 66355996),(69 67606536),(70 68670900),(71 69666910),(72 70390110),(73 70902904),(74 71242060),(75 71352880),(76 71248580),(77 70907400),(78 70474710),(79 69937624),
(1 262537.75),(2 962461.1),(3 2049186),(4 3528020),(5 5255011),(6 7227780),(7 9430090),(8 11705195),(9 14012722),(10 16346067),(11 18613088),(12 20839950),(13 22973212),(14 24955146),(15 26776652),(16 28378518),(17 29750912),(18 30937612),(19 32020298),(20 32911712),(21 33683344),(22 34389772),(23 35002600),(24 35555464),(25 36160264),(26 36631704),(27 37084350),(28 37599550),(29 38063996),(30 38716980),(31 39394116),(32 40080680),(33 40722420),(34 41355320),(35 41997230),(36 42558984),(37 43208760),(38 43955800),(39 44763276),(40 45659476),(41 46631384),(42 47600760),(43 48679732),(44 49750096),(45 50733228),(46 51717336),(47 52716896),(48 53691340),(49 54626548),(50 55488224),(51 56259788),(52 56915468),(53 57475430),(54 57794056),(55 58023400),(56 58167412),(57 58131948),(58 58006970),(59 57796136),(60 57547530),(61 57381250),(62 57187444),(63 56936940),(64 56725910),(65 56574170),(66 56353320),(67 56102250),(68 55949690),(69 55716184),(70 55493210),(71 55315572),(72 54951400),(73 54545430),(74 53992984),(75 53377750),(76 52845350),(77 52441132),(78 52066708),(79 51783580),
(1 205442.61),(2 756946.3),(3 1621219.5),(4 2780866.3),(5 4192421),(6 5837957.5),(7 7711415.5),(8 9767625),(9 11930346),(10 14189525),(11 16490736),(12 18780342),(13 20991520),(14 23097864),(15 25065726),(16 26847350),(17 28494004),(18 29927936),(19 31269856),(20 32471958),(21 33483314),(22 34418396),(23 35216356),(24 35795216),(25 36444588),(26 37052030),(27 37498268),(28 37923020),(29 38272730),(30 38615300),(31 38984520),(32 39307972),(33 39552800),(34 39844616),(35 40138624),(36 40433244),(37 40743892),(38 41051240),(39 41402516),(40 41756590),(41 42136600),(42 42446548),(43 42736916),(44 43033316),(45 43324136),(46 43572772),(47 43791696),(48 43953616),(49 44052690),(50 44282990),(51 44519468),(52 44661116),(53 44851190),(54 44952950),(55 44951880),(56 45101950),(57 45317336),(58 45495280),(59 45902364),(60 46243824),(61 46624556),(62 47098280),(63 47502956),(64 47835560),(65 48267510),(66 48648964),(67 48918870),(68 49276096),(69 49553300),(70 49637240),(71 49660396),(72 49491268),(73 49145508),(74 48861824),(75 48557436),(76 48174984),(77 47865010),(78 47496340),(79 47056620),
(1 238961.28),(2 912405.56),(3 1980220),(4 3414034.3),(5 5190715),(6 7272051),(7 9631890),(8 12190786),(9 14857668),(10 17609100),(11 20316936),(12 22847138),(13 25134388),(14 27135348),(15 28800804),(16 30119786),(17 31042372),(18 31518856),(19 31754690),(20 31699630),(21 31435758),(22 31132612),(23 30836232),(24 30481266),(25 30297668),(26 30165810),(27 30025880),(28 30111940),(29 30383164),(30 30757620),(31 31400806),(32 32186954),(33 33197852),(34 34547984),(35 36112110),(36 37766724),(37 39709116),(38 41775976),(39 43924470),(40 46142948),(41 48318004),(42 50076500),(43 51566964),(44 52700980),(45 53299172),(46 53510864),(47 53337384),(48 52771660),(49 52073076),(50 51229810),(51 50226036),(52 49244876),(53 48350650),(54 47509700),(55 46832524),(56 46280156),(57 45783972),(58 45325780),(59 44939036),(60 44533250),(61 44216870),(62 44016870),(63 43871524),(64 43796444),(65 43733304),(66 43553520),(67 43383304),(68 43259610),(69 42993564),(70 42595250),(71 42097976),(72 41437564),(73 40645932),(74 39776732),(75 38745284),(76 37675612),(77 36595012),(78 35475320),(79 34424724),
(1 195757.73),(2 730006.5),(3 1560501.5),(4 2681586),(5 4035461.8),(6 5567287.5),(7 7270944),(8 9083996),(9 10929195),(10 12804504),(11 14682039),(12 16504117),(13 18260216),(14 19979326),(15 21637266),(16 23178940),(17 24719632),(18 26132726),(19 27482544),(20 28842308),(21 30090600),(22 31258750),(23 32520384),(24 33690360),(25 34798250),(26 35898250),(27 36857900),(28 37778596),(29 38634044),(30 39240564),(31 39729892),(32 40085230),(33 40355050),(34 40573416),(35 40761092),(36 40911012),(37 41071836),(38 41256864),(39 41406304),(40 41526868),(41 41687440),(42 41754844),(43 41764656),(44 41689380),(45 41495908),(46 41294200),(47 41024668),(48 40619336),(49 40108964),(50 39490024),(51 38751252),(52 37944836),(53 37110564),(54 36213730),(55 35306044),(56 34434730),(57 33457114),(58 32440696),(59 31415518),(60 30383234),(61 29388464),(62 28418390),(63 27458770),(64 26552010),(65 25708748),(66 24903858),(67 24169780),(68 23529418),(69 22935614),(70 22423836),(71 22021602),(72 21686272),(73 21468062),(74 21362128),(75 21334370),(76 21398132),(77 21566384),(78 21797804),(79 22053362),
(1 192628.22),(2 725125.6),(3 1542499.1),(4 2624493),(5 3902493.3),(6 5345633),(7 6953429.5),(8 8716888),(9 10563239),(10 12495429),(11 14490900),(12 16430702),(13 18331584),(14 20099190),(15 21670966),(16 23105330),(17 24372740),(18 25385132),(19 26311414),(20 27201988),(21 27975890),(22 28771396),(23 29654120),(24 30537256),(25 31443964),(26 32469448),(27 33550742),(28 34717812),(29 35886868),(30 36898660),(31 37857070),(32 38677590),(33 39282936),(34 39659196),(35 39863816),(36 39719532),(37 39334452),(38 38828892),(39 38147696),(40 37276820),(41 36390220),(42 35436676),(43 34489300),(44 33632530),(45 32822922),(46 32118044),(47 31513554),(48 30915744),(49 30321792),(50 29692576),(51 29004630),(52 28291944),(53 27550898),(54 26744290),(55 25861882),(56 24969394),(57 24056594),(58 23167292),(59 22307758),(60 21489148),(61 20785242),(62 20220774),(63 19799832),(64 19547466),(65 19443402),(66 19465616),(67 19575342),(68 19763712),(69 19982910),(70 20241952),(71 20572576),(72 20922952),(73 21267062),(74 21610838),(75 21978272),(76 22342168),(77 22783094),(78 23238816),(79 23654632),
(1 210737.3),(2 787016.94),(3 1665723.8),(4 2778094),(5 4039466.8),(6 5392041.5),(7 6784948.5),(8 8210684),(9 9576716),(10 10847749),(11 12041677),(12 13102776),(13 14064245),(14 14859559),(15 15490074),(16 15980648),(17 16391610),(18 16721600),(19 17027316),(20 17360708),(21 17700608),(22 18052886),(23 18500682),(24 18958646),(25 19456170),(26 20018960),(27 20510426),(28 21023080),(29 21488380),(30 21814326),(31 22079598),(32 22245136),(33 22285806),(34 22204646),(35 22038724),(36 21761476),(37 21434256),(38 21118260),(39 20791212),(40 20436390),(41 20129088),(42 19842154),(43 19619572),(44 19504056),(45 19475826),(46 19525218),(47 19684744),(48 19881262),(49 20165598),(50 20487500),(51 20881254),(52 21321164),(53 21773734),(54 22198358),(55 22558772),(56 22861904),(57 23162438),(58 23336752),(59 23449988),(60 23514794),(61 23545088),(62 23511164),(63 23419388),(64 23332940),(65 23300212),(66 23360622),(67 23503724),(68 23732718),(69 24034052),(70 24353008),(71 24698504),(72 25003496),(73 25196624),(74 25296316),(75 25261382),(76 25077638),(77 24771474),(78 24381648),(79 23850644),
