1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 12007.141),(2 37590.637),(3 74046.305),(4 115243.19),(5 166448.34),(6 223122.44),(7 282858.06),(8 341172.44),(9 395815.5),(10 444663.84),(11 492482.6),(12 544275.75),(13 604481.44),(14 674300.94),(15 750200.8),(16 838738.7),(17 941216.44),(18 1062208.6),(19 1183294.4),(20 1333992.3),(21 1538262.6),(22 1752362.6),(23 1990906.4),(24 2256062),(25 2528670.3),(26 2832058),(27 3146302),(28 3443218.8),(29 3756875.3),(30 4065098),(31 4393082.5),(32 4703640.5),(33 5030905),(34 5348311),(35 5658688.5),(36 5953151.5),(37 6248088),(38 6561190.5),(39 6832101.5),(40 7088048),(41 7315964.5),(42 7483568),(43 7614524),(44 7714469.5),(45 7793985.5),(46 7846952.5),(47 7908237.5),(48 7948584),(49 8009765.5),(50 8074602),(51 8130142.5),(52 8196016),(53 8233128),(54 8270406),(55 8291263.5),(56 8301112.5),(57 8338922.5),(58 8357119.5),(59 8370168),(60 8378316),(61 8367512),(62 8389895),(63 8402623),(64 8449529),(65 8495866),(66 8545499),(67 8607630),(68 8618269),(69 8625020),(70 8595902),(71 8557842),(72 8519468),(73 8492115),(74 8483303),(75 8470835),(76 8482188),(77 8503852),(78 8518126),(79 8557864),
(1 9609.871),(2 32884.44),(3 64339.113),(4 100911.54),(5 144684.08),(6 193766.66),(7 249132.03),(8 306172.7),(9 362999.25),(10 417605.5),(11 472764.1),(12 531186.7),(13 598391.9),(14 668480.5),(15 735431.5),(16 813562.25),(17 903471.5),(18 1003928.2),(19 1101921.4),(20 1215173),(21 1356483),(22 1503924),(23 1643747.3),(24 1797362.4),(25 1955231),(26 2127211.3),(27 2320059.3),(28 2506511.5),(29 2688314.5),(30 2877592.8),(31 3081211.3),(32 3284420),(33 3503100.8),(34 3721096.5),(35 3938170.5),(36 4152686.8),(37 4361623),(38 4569859.5),(39 4764723),(40 4966462),(41 5146083),(42 5290653),(43 5415259),(44 5538455),(45 5668166),(46 5775774.5),(47 5884904),(48 5970840),(49 6051955),(50 6144757),(51 6227775),(52 6321431),(53 6402777),(54 6476718.5),(55 6547015),(56 6605507),(57 6659792.5),(58 6705457),(59 6770902.5),(60 6832105.5),(61 6871420),(62 6926801),(63 6972660),(64 7041979),(65 7126299),(66 7198841.5),(67 7299485),(68 7384330.5),(69 7477769.5),(70 7560401.5),(71 7662552),(72 7740835),(73 7810855),(74 7878807),(75 7944743),(76 8007489.5),(77 8061609),(78 8102761.5),(79 8176669),
(1 11431.769),(2 41321.86),(3 86113.96),(4 139894.2),(5 201408.58),(6 267604.5),(7 344292.9),(8 423294.28),(9 505731.25),(10 590890.8),(11 681723.25),(12 783197),(13 888733.3),(14 996075.5),(15 1111617.1),(16 1226350.5),(17 1344861.4),(18 1469362),(19 1590028.1),(20 1711615.6),(21 1839284.1),(22 1984082.6),(23 2121187.8),(24 2273685.3),(25 2430083),(26 2584160),(27 2775474.3),(28 2988652.8),(29 3204067),(30 3433797.3),(31 3679344.8),(32 3936939.3),(33 4211329.5),(34 4473140),(35 4756534),(36 5048306),(37 5367469.5),(38 5685532),(39 6009314.5),(40 6341629.5),(41 6650116),(42 6944295.5),(43 7225237.5),(44 7523046.5),(45 7847662.5),(46 8173611.5),(47 8506851),(48 8810135),(49 9089551),(50 9350497),(51 9615957),(52 9863467),(53 10111471),(54 10363181),(55 10617363),(56 10862118),(57 11074271),(58 11237663),(59 11417996),(60 11580805),(61 11707587),(62 11834517),(63 11990301),(64 12170296),(65 12356824),(66 12504640),(67 12671595),(68 12801225),(69 12924675),(70 13014448),(71 13144824),(72 13235432),(73 13296804),(74 13338581),(75 13388464),(76 13394647),(77 13359397),(78 13309936),(79 13290581),
(1 11129.127),(2 39615.32),(3 81918.96),(4 134524.52),(5 195967.83),(6 266288.78),(7 343589.38),(8 427895.22),(9 515995.63),(10 613654.8),(11 720939.4),(12 843926.44),(13 977556.25),(14 1120585.4),(15 1277359.5),(16 1438918.5),(17 1612584),(18 1798745.4),(19 1982775.8),(20 2177613),(21 2389045.8),(22 2615682.8),(23 2855835),(24 3113979),(25 3363941.3),(26 3620814.3),(27 3897065.8),(28 4199863),(29 4525862),(30 4846536.5),(31 5187914),(32 5540708),(33 5899586),(34 6255404.5),(35 6601346.5),(36 6949330.5),(37 7281491.5),(38 7559684.5),(39 7812826.5),(40 8036817),(41 8218610.5),(42 8394528),(43 8584279),(44 8785128),(45 8982309),(46 9169358),(47 9352123),(48 9515584),(49 9635081),(50 9704346),(51 9779168),(52 9841753),(53 9907483),(54 9972807),(55 10024183),(56 10061378),(57 10082699),(58 10092428),(59 10119236),(60 10160126),(61 10207132),(62 10262795),(63 10324647),(64 10353134),(65 10370206),(66 10371508),(67 10371337),(68 10351077),(69 10345931),(70 10351199),(71 10377748),(72 10408517),(73 10443092),(74 10463766),(75 10464029),(76 10440866),(77 10405680),(78 10373068),(79 10351340),
(1 10577.135),(2 37417.91),(3 77280.77),(4 128824.34),(5 190356.36),(6 261136.77),(7 338052.84),(8 419312.53),(9 500972.47),(10 588971.6),(11 683428.8),(12 787788.2),(13 897425.06),(14 1014947.94),(15 1140101.6),(16 1269726.3),(17 1403618.1),(18 1545732.4),(19 1686965.9),(20 1837022.9),(21 2000468),(22 2174406.3),(23 2362977),(24 2558283),(25 2744913),(26 2941603.8),(27 3138540),(28 3352090.3),(29 3582816.3),(30 3809215.3),(31 4059028.3),(32 4315683.5),(33 4568608.5),(34 4816590.5),(35 5058678),(36 5304317.5),(37 5536104.5),(38 5733621),(39 5932018),(40 6112939),(41 6282021),(42 6450759.5),(43 6634439.5),(44 6835752),(45 7032929.5),(46 7229725),(47 7427971.5),(48 7627723.5),(49 7808754),(50 7944014.5),(51 8092022),(52 8243824),(53 8394156),(54 8542675),(55 8690148),(56 8848132),(57 9016746),(58 9183959),(59 9369775),(60 9558923),(61 9754604),(62 9946278),(63 10145712),(64 10308984),(65 10472377),(66 10635326),(67 10794484),(68 10936854),(69 11069321),(70 11203542),(71 11363747),(72 11504962),(73 11634431),(74 11740604),(75 11827305),(76 11883052),(77 11917536),(78 11936732),(79 11944123),
(1 14850.111),(2 53405.54),(3 114868.55),(4 199665.58),(5 304587),(6 427305.3),(7 570046.7),(8 724249.75),(9 892363.8),(10 1074304.4),(11 1272327.4),(12 1483519),(13 1704077.3),(14 1931960),(15 2169194.8),(16 2414684.5),(17 2664011.3),(18 2908426),(19 3156778.8),(20 3400059.3),(21 3654417.5),(22 3897576),(23 4150270),(24 4390713.5),(25 4616757),(26 4834021),(27 5033951),(28 5213927.5),(29 5382009.5),(30 5538866.5),(31 5695467),(32 5833550),(33 5958397),(34 6047102.5),(35 6114739),(36 6157066.5),(37 6194900),(38 6195223),(39 6184829.5),(40 6157147.5),(41 6122265),(42 6083722),(43 6049149),(44 6007557),(45 5980365.5),(46 5951614),(47 5917157),(48 5883445.5),(49 5843272),(50 5795677.5),(51 5747077.5),(52 5698739),(53 5640939.5),(54 5573354.5),(55 5511617),(56 5469249),(57 5440711),(58 5408841.5),(59 5376631),(60 5340151),(61 5301907),(62 5257070.5),(63 5215469),(64 5174457),(65 5145409.5),(66 5118642),(67 5102037.5),(68 5089963),(69 5075067),(70 5074740.5),(71 5101517),(72 5132587.5),(73 5168791),(74 5204522.5),(75 5247605.5),(76 5281501),(77 5318838),(78 5342301.5),(79 5362605),
(1 16431.686),(2 60408.6),(3 130387.29),(4 226125.58),(5 346735.66),(6 491756.03),(7 658222.25),(8 841887.75),(9 1043590.3),(10 1265279.5),(11 1505542.6),(12 1758011.3),(13 2025920.6),(14 2307925.5),(15 2603528.3),(16 2903881.3),(17 3209575.5),(18 3504754.8),(19 3802700),(20 4096445.5),(21 4389585),(22 4673848.5),(23 4960024),(24 5240035.5),(25 5504209),(26 5756301),(27 5994196.5),(28 6213582),(29 6430209),(30 6630137),(31 6828449),(32 7012712.5),(33 7169459),(34 7311143.5),(35 7423395),(36 7521363),(37 7612155.5),(38 7665012.5),(39 7715667),(40 7740562.5),(41 7763973),(42 7793650),(43 7836639.5),(44 7884201),(45 7935400.5),(46 7985175),(47 8018546.5),(48 8049433),(49 8064315.5),(50 8049921),(51 8034482.5),(52 7996501.5),(53 7942644.5),(54 7878317.5),(55 7810633),(56 7744187.5),(57 7669640),(58 7584255.5),(59 7498049),(60 7401095),(61 7294628.5),(62 7178140.5),(63 7069119.5),(64 6943762),(65 6812307),(66 6665441),(67 6521751),(68 6367631.5),(69 6227378.5),(70 6094183),(71 5980562.5),(72 5874403),(73 5784807.5),(74 5696897),(75 5621114),(76 5547355),(77 5486146.5),(78 5444141.5),(79 5413683),
(1 12738.674),(2 47791.445),(3 101836.76),(4 176153.58),(5 270279.72),(6 380526),(7 505090.6),(8 643741.4),(9 793362.7),(10 952902.94),(11 1125069.3),(12 1304388.1),(13 1497804),(14 1704415.4),(15 1921946.9),(16 2139289.3),(17 2356329.5),(18 2566897),(19 2790635.8),(20 3020281),(21 3248423.5),(22 3485573.3),(23 3732082.3),(24 3980125),(25 4227685.5),(26 4462191),(27 4698401),(28 4939791),(29 5192469.5),(30 5432896.5),(31 5670207.5),(32 5894126),(33 6108397),(34 6315980.5),(35 6506745.5),(36 6689220.5),(37 6882674),(38 7064993.5),(39 7236050.5),(40 7380452.5),(41 7512616.5),(42 7638066),(43 7768753),(44 7895080.5),(45 7994219),(46 8072020.5),(47 8140816),(48 8195835),(49 8227368.5),(50 8211606),(51 8179487.5),(52 8121611.5),(53 8042538.5),(54 7938494),(55 7826651),(56 7706644.5),(57 7578902.5),(58 7429514),(59 7266526.5),(60 7093984.5),(61 6916867),(62 6734242.5),(63 6546403.5),(64 6351800),(65 6154277.5),(66 5953784.5),(67 5761751),(68 5572774.5),(69 5398218.5),(70 5238147.5),(71 5101074),(72 4979972.5),(73 4881190),(74 4802288.5),(75 4740149),(76 4693988.5),(77 4657997),(78 4637507),(79 4634439.5),
(1 14518.174),(2 53513.16),(3 112306.31),(4 192152.5),(5 289793.94),(6 399539.4),(7 524880.25),(8 664158),(9 812080.1),(10 966587.6),(11 1128128),(12 1290113.3),(13 1455708.9),(14 1621284),(15 1787172.8),(16 1947467.9),(17 2102162),(18 2247028),(19 2392732.3),(20 2535725),(21 2670209.5),(22 2794521),(23 2912560),(24 3017643.3),(25 3110343),(26 3187115),(27 3262035),(28 3326199),(29 3392178.8),(30 3445218.8),(31 3492681.8),(32 3531555.3),(33 3575395.3),(34 3613922),(35 3647245.8),(36 3682409.3),(37 3728986),(38 3774810.8),(39 3828785.8),(40 3879417.3),(41 3933763),(42 3978131.8),(43 4037650.8),(44 4114171.3),(45 4190960.5),(46 4265367.5),(47 4345990.5),(48 4420972),(49 4495386),(50 4547863),(51 4599171),(52 4637211.5),(53 4657790),(54 4653665),(55 4653560),(56 4645014.5),(57 4625168.5),(58 4587208.5),(59 4543791.5),(60 4490069.5),(61 4431988),(62 4358916),(63 4276983),(64 4190588.3),(65 4106593),(66 4016358.5),(67 3928526),(68 3837165.8),(69 3753899.8),(70 3682642.3),(71 3622883.3),(72 3570261.3),(73 3530168),(74 3504404),(75 3493304.5),(76 3491364.5),(77 3496936.8),(78 3511031.8),(79 3539934.3),
(1 19382.158),(2 72253.6),(3 154533.69),(4 266247.13),(5 405024.88),(6 566601.25),(7 746472.1),(8 943172),(9 1152389.5),(10 1372402.9),(11 1599784.6),(12 1828499.5),(13 2059285.8),(14 2289693.5),(15 2515578.8),(16 2728449.5),(17 2934757.8),(18 3127084.8),(19 3306731.3),(20 3476897.8),(21 3630917.8),(22 3774078.3),(23 3902975.5),(24 4016881.3),(25 4113971),(26 4183994.3),(27 4242753.5),(28 4281521),(29 4307442.5),(30 4314117.5),(31 4305065),(32 4273302),(33 4228785.5),(34 4168412),(35 4098773.8),(36 4016139.5),(37 3937879),(38 3843423.5),(39 3750448),(40 3651032),(41 3555751.8),(42 3452515.5),(43 3359990.3),(44 3283221.8),(45 3219316.8),(46 3162498.5),(47 3116005),(48 3076841),(49 3048390.3),(50 3032379),(51 3025919.3),(52 3033897.3),(53 3037991.5),(54 3044415),(55 3063266),(56 3097589.8),(57 3135551.8),(58 3170823.3),(59 3214259),(60 3256404.5),(61 3303214.3),(62 3355900.3),(63 3409794.8),(64 3458471.3),(65 3506441.3),(66 3544945.3),(67 3583649.3),(68 3622833),(69 3664636.3),(70 3714251),(71 3760649),(72 3807073.3),(73 3849774.3),(74 3900969),(75 3959062.3),(76 4016502.3),(77 4069921),(78 4129570.3),(79 4190354.3),
(1 16370.673),(2 61191.703),(3 132089.45),(4 228385.28),(5 347587.6),(6 486051.06),(7 640741.2),(8 816604),(9 1003417.5),(10 1204386.9),(11 1416730.6),(12 1637125.5),(13 1859760.9),(14 2088052.8),(15 2319815.8),(16 2543872.3),(17 2772292),(18 2999190.5),(19 3215783.5),(20 3427769.5),(21 3635885.8),(22 3836419.5),(23 4025449.5),(24 4202277.5),(25 4359663),(26 4487896.5),(27 4599965.5),(28 4695160.5),(29 4765545.5),(30 4816270.5),(31 4847634),(32 4852284),(33 4840132),(34 4806454),(35 4757251),(36 4696058.5),(37 4626799),(38 4537805),(39 4436996),(40 4331841.5),(41 4224129),(42 4103655.5),(43 3984023),(44 3876924.3),(45 3781746.8),(46 3696492.8),(47 3627490.3),(48 3576727.5),(49 3542309.3),(50 3534045.8),(51 3547281),(52 3587292.8),(53 3641270.3),(54 3702090.3),(55 3795547.8),(56 3918037.3),(57 4069619.8),(58 4232787),(59 4421848.5),(60 4620103.5),(61 4825638),(62 5035880.5),(63 5256683.5),(64 5461379),(65 5655543.5),(66 5830621),(67 5985908),(68 6118011.5),(69 6234088.5),(70 6340550.5),(71 6421024),(72 6472993),(73 6501544),(74 6506908),(75 6490253),(76 6455949),(77 6404282),(78 6331272.5),(79 6241529.5),
