1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 54614.293),(2 186129.63),(3 375632.53),(4 609112.25),(5 870098.2),(6 1143307.1),(7 1434323.6),(8 1687548.4),(9 1910883.1),(10 2096506.5),(11 2207720.8),(12 2308105.3),(13 2371408.5),(14 2466458.8),(15 2621495.8),(16 2788941.3),(17 2994263.3),(18 3191212),(19 3426694),(20 3592176.3),(21 3689803.8),(22 3730091),(23 3714180),(24 3694018),(25 3736275.3),(26 3776000),(27 3819598.3),(28 3899675.3),(29 3955882.8),(30 4091036.8),(31 4290428.5),(32 4534497.5),(33 4835464.5),(34 5171044.5),(35 5476363.5),(36 5769969.5),(37 6018321.5),(38 6183402),(39 6262160),(40 6334666.5),(41 6359917.5),(42 6396870),(43 6545344),(44 6674021.5),(45 6814700),(46 6923172),(47 7002237.5),(48 7104871.5),(49 7241314.5),(50 7403533.5),(51 7556506),(52 7784049.5),(53 7951027.5),(54 8098888.5),(55 8221835.5),(56 8366245.5),(57 8426003),(58 8664283),(59 8831522),(60 8948019),(61 8949437),(62 8917691),(63 8838157),(64 8768383),(65 8659576),(66 8569935),(67 8503453),(68 8456983),(69 8430388),(70 8400713),(71 8368394.5),(72 8337849.5),(73 8300612),(74 8181702.5),(75 8047121.5),(76 7895306),(77 7784177.5),(78 7627290.5),(79 7422360),
(1 55238),(2 195265.88),(3 409413.4),(4 676667.4),(5 982412.8),(6 1321028.6),(7 1695212.6),(8 2100322.8),(9 2485453.3),(10 2858579.5),(11 3232688.5),(12 3591625.5),(13 3902215.3),(14 4175552),(15 4500623),(16 4812674.5),(17 5114411),(18 5464420),(19 5834337),(20 6192116),(21 6494104),(22 6744690.5),(23 6974893),(24 7172275),(25 7384741.5),(26 7570358.5),(27 7768329.5),(28 8003753.5),(29 8176672),(30 8431963),(31 8693445),(32 8967724),(33 9302197),(34 9656302),(35 10020374),(36 10376310),(37 10734709),(38 11035604),(39 11291656),(40 11574477),(41 11787413),(42 11982830),(43 12242042),(44 12505501),(45 12770885),(46 13019974),(47 13272846),(48 13571370),(49 13920752),(50 14299592),(51 14648302),(52 15024282),(53 15342424),(54 15654579),(55 15986240),(56 16349072),(57 16674086),(58 17058806),(59 17301400),(60 17491612),(61 17589980),(62 17630196),(63 17667082),(64 17690310),(65 17693210),(66 17678748),(67 17614756),(68 17465860),(69 17259156),(70 16971226),(71 16640112),(72 16259400),(73 15909586),(74 15548134),(75 15163666),(76 14831682),(77 14486088),(78 14111314),(79 13789571),
(1 53433.113),(2 189503.86),(3 388017.1),(4 630442.3),(5 902801.75),(6 1194234),(7 1497678.9),(8 1795193.6),(9 2074490.9),(10 2350157.5),(11 2612390.5),(12 2851093.3),(13 3054875.8),(14 3252147.3),(15 3477224.8),(16 3738370),(17 4016944.8),(18 4313257.5),(19 4573685.5),(20 4853551.5),(21 5134044.5),(22 5423747.5),(23 5743452),(24 6051109.5),(25 6400701.5),(26 6726990.5),(27 7039693.5),(28 7393308),(29 7668069.5),(30 7985776),(31 8224368.5),(32 8412531),(33 8584847),(34 8735036),(35 8905755),(36 9017807),(37 9090793),(38 9136961),(39 9149643),(40 9195753),(41 9201383),(42 9168295),(43 9159781),(44 9132133),(45 9146671),(46 9137587),(47 9159127),(48 9180408),(49 9206291),(50 9295348),(51 9353588),(52 9473119),(53 9594752),(54 9748224),(55 9931450),(56 10127219),(57 10383320),(58 10638981),(59 10913541),(60 11196123),(61 11430797),(62 11685053),(63 11948344),(64 12212645),(65 12512032),(66 12810611),(67 13045068),(68 13244589),(69 13414635),(70 13534691),(71 13600968),(72 13614619),(73 13645616),(74 13704477),(75 13717715),(76 13737700),(77 13759501),(78 13774268),(79 13855019),
(1 52740.805),(2 186688.44),(3 381168.38),(4 624566.25),(5 898690.94),(6 1191464.3),(7 1499937.3),(8 1821010.5),(9 2130544),(10 2458894),(11 2776999.8),(12 3085482),(13 3358794.8),(14 3601103.5),(15 3845341.3),(16 4099917.3),(17 4354730),(18 4601633),(19 4840195.5),(20 5084610),(21 5325958),(22 5587811),(23 5856365),(24 6129907.5),(25 6397474),(26 6637457.5),(27 6833658.5),(28 7060751),(29 7177240),(30 7269515),(31 7304622),(32 7285610),(33 7247905),(34 7175209),(35 7146821.5),(36 7107483.5),(37 7053809),(38 6993505.5),(39 6993254.5),(40 7031236.5),(41 7105373.5),(42 7148218.5),(43 7224448),(44 7236198),(45 7255447),(46 7241061.5),(47 7252270),(48 7282422),(49 7318309.5),(50 7358690),(51 7430827.5),(52 7510159),(53 7579653.5),(54 7689154.5),(55 7800880),(56 7957054),(57 8151678),(58 8449317),(59 8676553),(60 8912423),(61 9080167),(62 9229136),(63 9350908),(64 9472006),(65 9591646),(66 9744343),(67 9909172),(68 10049174),(69 10191541),(70 10346479),(71 10490007),(72 10643236),(73 10792782),(74 10905655),(75 10981751),(76 11036653),(77 11092069),(78 11149088),(79 11222180),
(1 51745.137),(2 186097.7),(3 383582.47),(4 621483.56),(5 884672.4),(6 1164654),(7 1446581.9),(8 1719916.4),(9 1980604),(10 2240961.5),(11 2491915.3),(12 2720815.3),(13 2930395.8),(14 3125149.8),(15 3326151.3),(16 3543713.5),(17 3776948.3),(18 4008482.5),(19 4230438.5),(20 4450422),(21 4671972.5),(22 4892160.5),(23 5104118.5),(24 5313426.5),(25 5511132.5),(26 5683968.5),(27 5776752.5),(28 5866411),(29 5905603.5),(30 5933262),(31 5939570),(32 5915467),(33 5888725),(34 5884328),(35 5926630),(36 5983479.5),(37 6038154),(38 6146987.5),(39 6257795),(40 6393442),(41 6537663.5),(42 6625934),(43 6711086.5),(44 6767784.5),(45 6836648.5),(46 6892799.5),(47 6993734),(48 7099570),(49 7227943.5),(50 7397105.5),(51 7589494),(52 7790393.5),(53 7970046.5),(54 8163886.5),(55 8331754),(56 8479021),(57 8644830),(58 8851460),(59 9062607),(60 9273538),(61 9424767),(62 9578183),(63 9732375),(64 9885547),(65 10032917),(66 10200772),(67 10386927),(68 10576620),(69 10815673),(70 11066060),(71 11328796),(72 11569775),(73 11832404),(74 12031911),(75 12211597),(76 12399180),(77 12610319),(78 12820640),(79 13024454),
(1 64195.914),(2 236822.4),(3 493070.2),(4 803383.4),(5 1159025.4),(6 1552839.5),(7 1943128),(8 2338392.5),(9 2714392.3),(10 3073228),(11 3442359.5),(12 3800112.8),(13 4100958.5),(14 4380313),(15 4657905),(16 4935231.5),(17 5225260.5),(18 5538547.5),(19 5860353),(20 6174298),(21 6480497.5),(22 6763745.5),(23 7027364),(24 7265101.5),(25 7514654.5),(26 7710558.5),(27 7803105.5),(28 7866422.5),(29 7868250.5),(30 7824851),(31 7695930.5),(32 7487448),(33 7259606.5),(34 7007141.5),(35 6849637),(36 6751771),(37 6705159.5),(38 6734813),(39 6762449.5),(40 6822753.5),(41 6851072),(42 6826734.5),(43 6802309),(44 6736589.5),(45 6694605),(46 6642965),(47 6580129),(48 6537989.5),(49 6512035.5),(50 6546540.5),(51 6590311.5),(52 6690425),(53 6754417),(54 6811863),(55 6824513.5),(56 6847883),(57 6890576),(58 6950781),(59 7042905),(60 7146725),(61 7257207),(62 7401641),(63 7567648),(64 7734171),(65 7931816),(66 8136006.5),(67 8353757),(68 8619071),(69 8895117),(70 9182520),(71 9458606),(72 9703221),(73 9928507),(74 10125863),(75 10320058),(76 10496431),(77 10681512),(78 10845266),(79 10973995),
(1 61211.473),(2 216397.94),(3 444228.78),(4 716083.56),(5 1016841),(6 1334496.9),(7 1659276),(8 1984840.6),(9 2306315.8),(10 2605393),(11 2898603),(12 3187366.8),(13 3458532),(14 3689479.5),(15 3920729),(16 4143257.8),(17 4354291.5),(18 4573387.5),(19 4770697),(20 4946956.5),(21 5115309.5),(22 5266952),(23 5444945),(24 5621423),(25 5823723.5),(26 5995933),(27 6130716.5),(28 6270719.5),(29 6366240),(30 6445471.5),(31 6489722),(32 6496938),(33 6511472),(34 6530048),(35 6605289),(36 6711252.5),(37 6847673),(38 7022937),(39 7197685.5),(40 7362523.5),(41 7502595),(42 7609580.5),(43 7706083.5),(44 7787245),(45 7866672),(46 7940631),(47 8014945),(48 8088036.5),(49 8183678),(50 8321967.5),(51 8476943),(52 8670714),(53 8839100),(54 9013996),(55 9157337),(56 9293952),(57 9454079),(58 9623875),(59 9828922),(60 10062256),(61 10307530),(62 10564801),(63 10793778),(64 10988318),(65 11166614),(66 11305775),(67 11428651),(68 11535892),(69 11635402),(70 11695873),(71 11714508),(72 11718761),(73 11723461),(74 11715185),(75 11716459),(76 11727860),(77 11771505),(78 11811874),(79 11840278),
(1 64613.293),(2 235076.16),(3 488725.03),(4 801747.6),(5 1147633.5),(6 1513346.8),(7 1881659.3),(8 2234507.5),(9 2578801.8),(10 2896568.5),(11 3187785.5),(12 3458380.3),(13 3690250.5),(14 3865120.3),(15 4047540),(16 4244170),(17 4434337.5),(18 4636320.5),(19 4808475.5),(20 4968708.5),(21 5121033.5),(22 5273400),(23 5410907.5),(24 5520171.5),(25 5588672),(26 5617160),(27 5580720),(28 5538422),(29 5466181.5),(30 5381067),(31 5289886),(32 5211317),(33 5157102.5),(34 5138497.5),(35 5200627),(36 5334501),(37 5511582),(38 5743895),(39 5946200),(40 6105672.5),(41 6203723.5),(42 6237152),(43 6244642),(44 6220974),(45 6221465.5),(46 6248418.5),(47 6298496.5),(48 6384897.5),(49 6520598.5),(50 6694192.5),(51 6874914.5),(52 7088113.5),(53 7281193),(54 7460248.5),(55 7627924.5),(56 7770118.5),(57 7913424.5),(58 8025025.5),(59 8153367.5),(60 8293832),(61 8401605),(62 8484342),(63 8583004),(64 8675755),(65 8781106),(66 8869967),(67 8935753),(68 8967503),(69 8981463),(70 8999493),(71 9020365),(72 9035499),(73 9051842),(74 9089761),(75 9165450),(76 9245694),(77 9357807),(78 9474621),(79 9603579),
(1 62916.22),(2 232168.69),(3 488443.1),(4 818997.75),(5 1195191.8),(6 1604359.3),(7 2036869.6),(8 2487453.3),(9 2943592.3),(10 3404512.5),(11 3856583.5),(12 4275130.5),(13 4653810),(14 4953233),(15 5207566.5),(16 5458281),(17 5651834),(18 5816120.5),(19 5905374),(20 5976886.5),(21 6025251.5),(22 6071628),(23 6108026),(24 6142014),(25 6188065.5),(26 6234006.5),(27 6280675.5),(28 6349644.5),(29 6377766.5),(30 6411548),(31 6437101),(32 6442592),(33 6445407.5),(34 6433677),(35 6447226),(36 6464447.5),(37 6486652.5),(38 6501673.5),(39 6482570.5),(40 6435009),(41 6348167.5),(42 6237221),(43 6126413.5),(44 6010629.5),(45 5927553),(46 5867419),(47 5839846),(48 5851108),(49 5904101.5),(50 6010643.5),(51 6140600.5),(52 6301492),(53 6469699.5),(54 6649976),(55 6843659),(56 7017247),(57 7181461.5),(58 7340375.5),(59 7512601.5),(60 7684339.5),(61 7843388),(62 7999595.5),(63 8160921.5),(64 8295461.5),(65 8414149),(66 8506264),(67 8569276),(68 8568923),(69 8541729),(70 8481427),(71 8386628),(72 8276821.5),(73 8182745.5),(74 8096006.5),(75 8036250.5),(76 8011734.5),(77 8009505),(78 8041285.5),(79 8130808.5),
(1 53571.703),(2 192823.75),(3 399700.4),(4 658356.44),(5 944603.3),(6 1240980.3),(7 1546967.6),(8 1849352.9),(9 2142924),(10 2418217),(11 2694067.3),(12 2972893.5),(13 3228296),(14 3425615),(15 3608236.8),(16 3770475.5),(17 3926856),(18 4096793),(19 4254162.5),(20 4413220.5),(21 4557415),(22 4688991),(23 4805576),(24 4879660.5),(25 4955180),(26 5034190),(27 5118973.5),(28 5224788.5),(29 5321086),(30 5443617),(31 5556987.5),(32 5632206.5),(33 5721047),(34 5789468.5),(35 5896678),(36 6027294),(37 6173703),(38 6350261),(39 6512718),(40 6681714.5),(41 6807011),(42 6886279.5),(43 6947142),(44 6984635),(45 7042300.5),(46 7085675.5),(47 7162480.5),(48 7234658),(49 7318490),(50 7467543),(51 7610126),(52 7789032),(53 7973827.5),(54 8175557.5),(55 8390532),(56 8606296),(57 8853312),(58 9096005),(59 9369252),(60 9642661),(61 9903201),(62 10168971),(63 10435791),(64 10709253),(65 10971438),(66 11209494),(67 11440913),(68 11629784),(69 11801039),(70 11948961),(71 12071706),(72 12153931),(73 12231565),(74 12277792),(75 12305786),(76 12339382),(77 12339191),(78 12315269),(79 12261124),
(1 58502.434),(2 215384.1),(3 461476.78),(4 767907.3),(5 1112578.8),(6 1484583),(7 1846024.3),(8 2196165.8),(9 2541974),(10 2849690),(11 3156188.5),(12 3425748.8),(13 3690205.8),(14 3888041.8),(15 4040792.5),(16 4168222),(17 4261248),(18 4366201),(19 4446629),(20 4523139),(21 4588625),(22 4650231.5),(23 4709389.5),(24 4748638),(25 4810144),(26 4888339.5),(27 4966500.5),(28 5113163.5),(29 5234949),(30 5378069.5),(31 5494833),(32 5572691.5),(33 5669257),(34 5722245.5),(35 5815133),(36 5905880.5),(37 6007118),(38 6120074.5),(39 6229720),(40 6340196),(41 6398956.5),(42 6434371),(43 6473125.5),(44 6504782),(45 6590367),(46 6689312),(47 6812857.5),(48 6949384.5),(49 7061574.5),(50 7192301.5),(51 7287884),(52 7375848.5),(53 7438498),(54 7499981.5),(55 7585808),(56 7679137.5),(57 7786900),(58 7880023.5),(59 7979043),(60 8090377.5),(61 8240704),(62 8415432),(63 8615130),(64 8815974),(65 9008302),(66 9188493),(67 9378671),(68 9543938),(69 9730035),(70 9935140),(71 10162172),(72 10384408),(73 10614308),(74 10850850),(75 11105724),(76 11352645),(77 11572955),(78 11781818),(79 11941685),
