1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 163233.36),(2 474800.78),(3 973221),(4 1524142),(5 2221999.8),(6 3059916),(7 4030637.3),(8 5061821.5),(9 6216564),(10 7465845.5),(11 8831337),(12 9980713),(13 11956328),(14 13854696),(15 15955795),(16 17953738),(17 20112482),(18 22938078),(19 25021394),(20 27597566),(21 30407946),(22 33483536),(23 36200748),(24 39467108),(25 43061796),(26 46622156),(27 50332004),(28 54810356),(29 58882930),(30 62592896),(31 66432244),(32 69596936),(33 73439280),(34 76682730),(35 79936600),(36 83179350),(37 86788504),(38 90483610),(39 94559360),(40 99176670),(41 103316920),(42 107254180),(43 111805816),(44 116045720),(45 120430136),(46 124545304),(47 128574090),(48 132523590),(49 135953200),(50 138986110),(51 142079250),(52 144633940),(53 148904780),(54 154226610),(55 159926750),(56 166443630),(57 172811150),(58 179557780),(59 186073300),(60 192450540),(61 198393470),(62 204473010),(63 210930860),(64 217368400),(65 223395970),(66 229816500),(67 236907180),(68 243484850),(69 250307890),(70 256408400),(71 263629550),(72 269892300),(73 277488160),(74 284565470),(75 291929820),(76 298791840),(77 304570980),(78 310447140),(79 315392260),
(1 114030.55),(2 325846.75),(3 675530.6),(4 1135868.4),(5 1706740.8),(6 2378624.5),(7 3189043.8),(8 4080792.8),(9 5075777),(10 6128277),(11 7251783),(12 8371307),(13 9551286),(14 10766698),(15 11859806),(16 12948984),(17 14029773),(18 15104930),(19 16029914),(20 16990890),(21 17983088),(22 19024150),(23 20075586),(24 21189218),(25 22381444),(26 23521932),(27 24699542),(28 25888820),(29 27213792),(30 28198412),(31 29376848),(32 30470612),(33 31665728),(34 32728672),(35 33873040),(36 34970610),(37 36162716),(38 37326356),(39 38743268),(40 40338280),(41 41841910),(42 43315550),(43 45003784),(44 46660216),(45 48153428),(46 49417320),(47 50572120),(48 51600704),(49 52713944),(50 53474840),(51 54259190),(52 54963456),(53 55850092),(54 56763080),(55 57801416),(56 58909350),(57 60124140),(58 61609280),(59 62964940),(60 63939656),(61 64890504),(62 65745920),(63 66765652),(64 67646190),(65 68528296),(66 69377170),(67 70437110),(68 71428880),(69 72504300),(70 73495920),(71 74651860),(72 75789224),(73 77210700),(74 78816240),(75 80324800),(76 82000110),(77 83438990),(78 84919900),(79 86183670),
(1 129427.086),(2 413623.22),(3 871113.5),(4 1510069.5),(5 2327896.3),(6 3277050),(7 4406230.5),(8 5673646.5),(9 7152922),(10 8707365),(11 10394375),(12 12255979),(13 14138323),(14 15989621),(15 17809208),(16 19648582),(17 21440286),(18 23078554),(19 24688890),(20 26286910),(21 27919686),(22 29472514),(23 31114714),(24 32677600),(25 34131790),(26 35477550),(27 36760116),(28 38020804),(29 39128428),(30 40139540),(31 41000476),(32 41810936),(33 42460420),(34 43042004),(35 43681124),(36 44093092),(37 44603304),(38 45028116),(39 45482220),(40 45938900),(41 46450976),(42 47052748),(43 47734868),(44 48364916),(45 49016530),(46 49482210),(47 49821948),(48 50007036),(49 50223692),(50 50377780),(51 50544980),(52 50666300),(53 50891680),(54 51222868),(55 51576016),(56 51965300),(57 52306064),(58 52690268),(59 52772492),(60 52899484),(61 52892644),(62 52768420),(63 52630030),(64 52401908),(65 52143940),(66 51629284),(67 51160524),(68 50552836),(69 49920340),(70 49070384),(71 48256284),(72 47439828),(73 46547170),(74 45638700),(75 44812210),(76 44041664),(77 43195524),(78 42418028),(79 41684056),
(1 80638.77),(2 241073.94),(3 496742.16),(4 836442.8),(5 1269371.5),(6 1747892.6),(7 2332031.5),(8 2971637),(9 3700805),(10 4430616.5),(11 5204445.5),(12 6030781),(13 6914380.5),(14 7761650),(15 8629934),(16 9505756),(17 10401879),(18 11205132),(19 12041390),(20 12865883),(21 13730494),(22 14518732),(23 15319531),(24 16068818),(25 16758514),(26 17389108),(27 18008904),(28 18598472),(29 19030820),(30 19523106),(31 19934656),(32 20397444),(33 20756544),(34 21191780),(35 21629512),(36 21976636),(37 22324168),(38 22646422),(39 23015314),(40 23393448),(41 23746152),(42 24164976),(43 24670036),(44 25165880),(45 25788296),(46 26407810),(47 27063768),(48 27679090),(49 28236918),(50 28823820),(51 29403238),(52 29915428),(53 30504082),(54 31185742),(55 31890808),(56 32608654),(57 33300196),(58 33981830),(59 34575520),(60 35191156),(61 35693424),(62 36192804),(63 36710904),(64 37209324),(65 37843932),(66 38441236),(67 39019144),(68 39491790),(69 39904400),(70 40111092),(71 40356560),(72 40510776),(73 40629736),(74 40640724),(75 40705116),(76 40748500),(77 40685880),(78 40675348),(79 40626010),
(1 111416.55),(2 344999.47),(3 725366.4),(4 1234558.1),(5 1893570.1),(6 2603378.5),(7 3442740),(8 4346227.5),(9 5365412.5),(10 6357627.5),(11 7321517),(12 8376928.5),(13 9434038),(14 10420113),(15 11343449),(16 12285757),(17 13202092),(18 13903430),(19 14593923),(20 15144669),(21 15678615),(22 16094676),(23 16478284),(24 16697455),(25 16908986),(26 17075058),(27 17258344),(28 17300206),(29 17298028),(30 17279098),(31 17227326),(32 17225876),(33 17104696),(34 17114682),(35 17165030),(36 17257782),(37 17375154),(38 17538920),(39 17869550),(40 18235410),(41 18704834),(42 19230084),(43 19890146),(44 20577452),(45 21358142),(46 22167454),(47 22989064),(48 23757518),(49 24526846),(50 25307224),(51 25959212),(52 26529714),(53 26963366),(54 27344340),(55 27666590),(56 27917602),(57 28084078),(58 28257908),(59 28488226),(60 28574848),(61 28665592),(62 28770728),(63 28959878),(64 29024808),(65 29322398),(66 29657288),(67 29955800),(68 30203384),(69 30437816),(70 30598674),(71 30632456),(72 30690944),(73 30818956),(74 31021036),(75 31248216),(76 31547508),(77 31907404),(78 32348608),(79 32838702),
(1 141340.22),(2 453755.8),(3 971838.7),(4 1675658.8),(5 2583824.5),(6 3590456.8),(7 4711763),(8 5865999),(9 7074589),(10 8237857.5),(11 9402387),(12 10595419),(13 11675998),(14 12691736),(15 13586426),(16 14402080),(17 15020434),(18 15629666),(19 16110317),(20 16494598),(21 16861428),(22 17121984),(23 17461168),(24 17654406),(25 17920178),(26 18196378),(27 18514886),(28 18796050),(29 19018820),(30 19273468),(31 19557306),(32 19856720),(33 20058492),(34 20450764),(35 20808922),(36 21169890),(37 21596004),(38 22088392),(39 22622020),(40 23098708),(41 23712844),(42 24339242),(43 24989454),(44 25655098),(45 26436942),(46 27168364),(47 27853338),(48 28468550),(49 29104404),(50 29724884),(51 30279834),(52 30746810),(53 31125834),(54 31453852),(55 31725574),(56 31911942),(57 32043356),(58 32179632),(59 32189354),(60 32110074),(61 31926362),(62 31712538),(63 31469210),(64 31155060),(65 30928966),(66 30727796),(67 30621680),(68 30543584),(69 30569686),(70 30573706),(71 30591172),(72 30615212),(73 30749600),(74 30891318),(75 31010746),(76 31196276),(77 31421178),(78 31705452),(79 32121046),
(1 183570.31),(2 600779.4),(3 1289276.6),(4 2247733),(5 3437517.8),(6 4778075),(7 6293791.5),(8 7866746),(9 9533431),(10 11159733),(11 12736864),(12 14391264),(13 15908284),(14 17311228),(15 18524888),(16 19613198),(17 20458338),(18 21121704),(19 21579960),(20 21912452),(21 22121298),(22 22129920),(23 22034702),(24 21764452),(25 21415348),(26 21017628),(27 20642000),(28 20287740),(29 20008170),(30 19752496),(31 19568540),(32 19401794),(33 19318340),(34 19382132),(35 19502470),(36 19723668),(37 20100842),(38 20599750),(39 21246592),(40 22002776),(41 22822014),(42 23767764),(43 24802548),(44 25830444),(45 26961792),(46 28124772),(47 29212968),(48 30158336),(49 31092642),(50 31988258),(51 32857700),(52 33656988),(53 34348450),(54 34856036),(55 35295944),(56 35547004),(57 35611630),(58 35605188),(59 35297188),(60 34918056),(61 34314660),(62 33508682),(63 32531242),(64 31423236),(65 30333246),(66 29202846),(67 28213152),(68 27307414),(69 26576160),(70 25746508),(71 25032800),(72 24334892),(73 23647220),(74 23050356),(75 22510596),(76 22106162),(77 21778460),(78 21527902),(79 21366368),
(1 132948.39),(2 433557.16),(3 896150.56),(4 1522925.9),(5 2278314.8),(6 3151501),(7 4124949.8),(8 5128541.5),(9 6177961.5),(10 7203509.5),(11 8245725),(12 9408769),(13 10482082),(14 11587870),(15 12627106),(16 13726356),(17 14740670),(18 15638093),(19 16574165),(20 17448254),(21 18334396),(22 19092612),(23 19803538),(24 20346760),(25 20819588),(26 21176520),(27 21436060),(28 21620372),(29 21788566),(30 21904538),(31 21983278),(32 22030222),(33 21920404),(34 21782186),(35 21460370),(36 21069266),(37 20574854),(38 20189188),(39 19733550),(40 19335100),(41 18920658),(42 18580862),(43 18247178),(44 17989074),(45 17827198),(46 17711714),(47 17652422),(48 17561066),(49 17526812),(50 17439478),(51 17427126),(52 17433998),(53 17433630),(54 17460198),(55 17493684),(56 17545618),(57 17571500),(58 17645500),(59 17691342),(60 17696942),(61 17679724),(62 17661778),(63 17684622),(64 17660970),(65 17724074),(66 17830736),(67 17974794),(68 18179612),(69 18413248),(70 18712956),(71 18973914),(72 19285076),(73 19579482),(74 19879214),(75 20150056),(76 20420642),(77 20732620),(78 20990604),(79 21190068),
(1 146944.16),(2 453809.2),(3 951730.5),(4 1627043.8),(5 2455201),(6 3354526),(7 4390569.5),(8 5493952),(9 6711950),(10 7918406.5),(11 9139787),(12 10535512),(13 11791819),(14 13014129),(15 14156491),(16 15299271),(17 16293327),(18 17174336),(19 18181476),(20 19083558),(21 20012080),(22 20833104),(23 21757760),(24 22612684),(25 23455594),(26 24242624),(27 24940570),(28 25502140),(29 25998754),(30 26378238),(31 26635990),(32 26710110),(33 26586976),(34 26466100),(35 26102788),(36 25689432),(37 25026954),(38 24425308),(39 23608116),(40 22824488),(41 21992176),(42 21106180),(43 20160304),(44 19305506),(45 18508986),(46 17723288),(47 17042314),(48 16503247),(49 16135966),(50 15858583),(51 15692902),(52 15624332),(53 15662240),(54 15839213),(55 16083712),(56 16493737),(57 16941902),(58 17487732),(59 18045676),(60 18559408),(61 19147036),(62 19794396),(63 20503300),(64 21079496),(65 21748910),(66 22334012),(67 22891634),(68 23448802),(69 24031184),(70 24616168),(71 25112862),(72 25628120),(73 26096430),(74 26502152),(75 26864392),(76 27212470),(77 27575530),(78 27956996),(79 28289740),
(1 129199.305),(2 410914.22),(3 860318.44),(4 1462131.5),(5 2180661.8),(6 2967826.5),(7 3863100),(8 4815435),(9 5854365.5),(10 6863901.5),(11 7856832),(12 8863374),(13 9837833),(14 10730670),(15 11539404),(16 12342958),(17 13063363),(18 13691596),(19 14311214),(20 14865548),(21 15393248),(22 15862092),(23 16347566),(24 16776574),(25 17206356),(26 17596430),(27 17924764),(28 18235768),(29 18505676),(30 18735478),(31 18986084),(32 19144184),(33 19237262),(34 19302826),(35 19297846),(36 19312626),(37 19251768),(38 19193574),(39 19078904),(40 18941558),(41 18754576),(42 18549450),(43 18309852),(44 18036294),(45 17690550),(46 17311128),(47 16960794),(48 16626087),(49 16375365),(50 16149596),(51 15973330),(52 15804489),(53 15723751),(54 15725305),(55 15816793),(56 16012427),(57 16285458),(58 16632665),(59 16993060),(60 17370770),(61 17796618),(62 18252096),(63 18700064),(64 19042728),(65 19444952),(66 19767120),(67 19974492),(68 20094680),(69 20154376),(70 20193502),(71 20179272),(72 20122684),(73 20012158),(74 19907848),(75 19774824),(76 19632624),(77 19436692),(78 19236388),(79 19069618),
(1 168168.3),(2 528615.06),(3 1112672.3),(4 1885401.9),(5 2810309.5),(6 3809284),(7 4898024.5),(8 6001718.5),(9 7149299),(10 8245850.5),(11 9289202),(12 10316652),(13 11251208),(14 12052964),(15 12695116),(16 13316024),(17 13819791),(18 14258776),(19 14611804),(20 14829531),(21 14973383),(22 15043467),(23 15038332),(24 14914690),(25 14799232),(26 14658772),(27 14551278),(28 14454840),(29 14465335),(30 14501445),(31 14634918),(32 14818240),(33 15059080),(34 15367543),(35 15688478),(36 16074688),(37 16436288),(38 16826266),(39 17150916),(40 17490308),(41 17774624),(42 18046722),(43 18279300),(44 18486544),(45 18679658),(46 18845338),(47 18973502),(48 18993430),(49 18936266),(50 18785386),(51 18612176),(52 18394568),(53 18141406),(54 17829216),(55 17485412),(56 17141334),(57 16774793),(58 16468392),(59 16164672),(60 16009500),(61 15920617),(62 15892766),(63 15873416),(64 15872736),(65 15936401),(66 15984501),(67 16043134),(68 16054490),(69 16149350),(70 16168657),(71 16223040),(72 16230421),(73 16221474),(74 16220663),(75 16218108),(76 16208361),(77 16183063),(78 16152459),(79 16177214),
