1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 27258.232),(2 89126.555),(3 168460.14),(4 250870.33),(5 332615.72),(6 397262.9),(7 434924.75),(8 448157.66),(9 444787.6),(10 446061.38),(11 459397.5),(12 483768.16),(13 529124.06),(14 595950.25),(15 664963.6),(16 737776.8),(17 792773),(18 825897.7),(19 839523.8),(20 828515),(21 808255.75),(22 788229.56),(23 785418.75),(24 793628.56),(25 820610.3),(26 858503.7),(27 919442.2),(28 978922.25),(29 1040489.5),(30 1094854.9),(31 1146201),(32 1186563.5),(33 1208392.1),(34 1223913.1),(35 1238550.9),(36 1262343.4),(37 1280253.6),(38 1291370),(39 1311630),(40 1328590.4),(41 1376487),(42 1421816),(43 1474448.1),(44 1524955),(45 1569887.6),(46 1609396),(47 1668852),(48 1725656),(49 1818700.5),(50 1900621),(51 2030953.5),(52 2137159.5),(53 2250372.8),(54 2379561.3),(55 2528533.8),(56 2663596.5),(57 2798914.8),(58 2930056),(59 3098379.8),(60 3247887.8),(61 3373676.3),(62 3462391.8),(63 3542539.8),(64 3594321.8),(65 3661563.3),(66 3751936.3),(67 3873834.8),(68 4021814.3),(69 4162516),(70 4308072.5),(71 4467480.5),(72 4579922.5),(73 4679001),(74 4760432.5),(75 4868821.5),(76 4955696.5),(77 5063642.5),(78 5196988),(79 5312653.5),
(1 33088.637),(2 106907.94),(3 205329.92),(4 311862.5),(5 416858.7),(6 501314.66),(7 573034.5),(8 636891.8),(9 704651.4),(10 776414),(11 860716.8),(12 952958.6),(13 1052889.3),(14 1171900.8),(15 1309586.5),(16 1451521.3),(17 1597149.8),(18 1733185.3),(19 1850002.4),(20 1947200.8),(21 2059047.8),(22 2163615.5),(23 2283622),(24 2405759.8),(25 2534824),(26 2672100.8),(27 2821350.5),(28 2968364),(29 3111583.8),(30 3229138),(31 3358851.5),(32 3468681.5),(33 3564673.3),(34 3656087.3),(35 3749608),(36 3828688),(37 3926104.8),(38 4035784),(39 4147494.8),(40 4283053),(41 4427371),(42 4551728),(43 4673394.5),(44 4782173.5),(45 4914153),(46 5061097),(47 5224675),(48 5379731),(49 5532478.5),(50 5705934.5),(51 5868762),(52 6056322.5),(53 6232894),(54 6432507.5),(55 6667419),(56 6867887),(57 7065550.5),(58 7259397),(59 7469851),(60 7649402.5),(61 7793168),(62 7918105.5),(63 8034101.5),(64 8131715),(65 8237592),(66 8359649),(67 8477502),(68 8629290),(69 8777614),(70 8933906),(71 9088956),(72 9231637),(73 9362768),(74 9460110),(75 9545536),(76 9574243),(77 9600772),(78 9664250),(79 9729745),
(1 32138.63),(2 106708.35),(3 205371.92),(4 316975.22),(5 426639.34),(6 528710.3),(7 646008.8),(8 764030.5),(9 898019.75),(10 1030334.94),(11 1153761.1),(12 1277466.1),(13 1411282.9),(14 1570829.1),(15 1755123.1),(16 1948561.9),(17 2151406.3),(18 2390499),(19 2634760.8),(20 2891101.3),(21 3174990.8),(22 3456133.3),(23 3733100),(24 4014185),(25 4284851.5),(26 4545638.5),(27 4834956),(28 5096435.5),(29 5382348),(30 5658427.5),(31 5969357.5),(32 6286335.5),(33 6607942.5),(34 6887688),(35 7140152.5),(36 7322254.5),(37 7522098),(38 7715239.5),(39 7934528),(40 8199813.5),(41 8496701),(42 8786908),(43 9069980),(44 9343624),(45 9623863),(46 9871256),(47 10112707),(48 10343796),(49 10545141),(50 10768340),(51 10989560),(52 11247753),(53 11482779),(54 11774579),(55 12099260),(56 12423412),(57 12765485),(58 13120900),(59 13488015),(60 13849953),(61 14169056),(62 14420975),(63 14674907),(64 14939019),(65 15222713),(66 15559179),(67 15915912),(68 16304488),(69 16703397),(70 17113450),(71 17467110),(72 17771442),(73 18048970),(74 18281740),(75 18494244),(76 18685906),(77 18829422),(78 18967458),(79 19116064),
(1 34143.133),(2 116292.53),(3 226034.23),(4 351465.5),(5 479299.28),(6 593631.5),(7 697737.56),(8 781023.25),(9 854898.6),(10 917290),(11 974377.75),(12 1044716.3),(13 1134006.5),(14 1252143.5),(15 1396051),(16 1554285.8),(17 1710914.6),(18 1886535.8),(19 2063847.5),(20 2243997.8),(21 2428656.5),(22 2616517),(23 2826543.5),(24 3035023.5),(25 3279774.8),(26 3534475),(27 3819818.8),(28 4097104),(29 4394791),(30 4682456),(31 4996154),(32 5301927.5),(33 5621507),(34 5911874),(35 6216642.5),(36 6513590),(37 6829150),(38 7107104),(39 7387107.5),(40 7695256),(41 8008418.5),(42 8311640),(43 8640242),(44 8967187),(45 9321264),(46 9693636),(47 10053703),(48 10404731),(49 10726768),(50 11028524),(51 11311063),(52 11624722),(53 11936196),(54 12277548),(55 12645797),(56 13058258),(57 13491466),(58 13910312),(59 14361806),(60 14831068),(61 15284201),(62 15740103),(63 16233038),(64 16733051),(65 17267848),(66 17796928),(67 18272606),(68 18735894),(69 19165788),(70 19632872),(71 20119304),(72 20633312),(73 21142292),(74 21643224),(75 22137236),(76 22571176),(77 22954514),(78 23350280),(79 23762904),
(1 36088.84),(2 127452.23),(3 257285.8),(4 406315.63),(5 556258.06),(6 686683.56),(7 791032.94),(8 864262.25),(9 925154.4),(10 973522.4),(11 1025957.4),(12 1091040.4),(13 1189430.9),(14 1318303.5),(15 1478992),(16 1650593.1),(17 1817543.5),(18 1988148),(19 2144845.8),(20 2298666.5),(21 2437633.8),(22 2581767.8),(23 2761336.3),(24 2939464.8),(25 3153400.8),(26 3397460),(27 3690068.8),(28 3979445.8),(29 4282069),(30 4557838.5),(31 4858759),(32 5147536),(33 5451683),(34 5737768.5),(35 6037554),(36 6356120),(37 6731282),(38 7072769.5),(39 7418488.5),(40 7790800),(41 8165153.5),(42 8514055),(43 8887545),(44 9226337),(45 9570305),(46 9963759),(47 10377385),(48 10811899),(49 11260516),(50 11719244),(51 12185503),(52 12630868),(53 13053908),(54 13439316),(55 13812748),(56 14181510),(57 14553225),(58 14957485),(59 15385731),(60 15838758),(61 16257655),(62 16673071),(63 17089778),(64 17492104),(65 17938506),(66 18380796),(67 18813566),(68 19255022),(69 19663372),(70 20084290),(71 20501522),(72 20898236),(73 21296418),(74 21731020),(75 22186540),(76 22598456),(77 22995446),(78 23420776),(79 23836360),
(1 41221.09),(2 145044.52),(3 292327.9),(4 462084.94),(5 641065.8),(6 813725.1),(7 981313.8),(8 1129941.3),(9 1260191.6),(10 1374623.4),(11 1481250.6),(12 1602290.6),(13 1756545.6),(14 1933818),(15 2142438.5),(16 2365185.3),(17 2579150.5),(18 2782271.5),(19 2956629.5),(20 3118350),(21 3249241.8),(22 3359778),(23 3485785.3),(24 3621289.5),(25 3803926.8),(26 4015308),(27 4281171),(28 4564711),(29 4858547),(30 5141370.5),(31 5413445),(32 5670219),(33 5945628),(34 6219873.5),(35 6480137),(36 6764966.5),(37 7067166.5),(38 7355364),(39 7638644),(40 7926205),(41 8190920),(42 8431392),(43 8635122),(44 8806449),(45 8957429),(46 9129302),(47 9326499),(48 9523186),(49 9759422),(50 10031908),(51 10342267),(52 10657691),(53 10956936),(54 11218446),(55 11457818),(56 11665255),(57 11881410),(58 12121808),(59 12372037),(60 12663551),(61 12948536),(62 13222830),(63 13514653),(64 13788512),(65 14094400),(66 14411632),(67 14739162),(68 15034915),(69 15313699),(70 15593085),(71 15851931),(72 16104998),(73 16307482),(74 16534976),(75 16811182),(76 17113660),(77 17434144),(78 17764890),(79 18108102),
(1 38689.723),(2 132180.72),(3 264067.38),(4 415073.78),(5 576270.6),(6 724964.06),(7 877801.44),(8 1019952.75),(9 1168828.1),(10 1316278.6),(11 1464837.3),(12 1631695.4),(13 1824635.1),(14 2045026.8),(15 2290017),(16 2538174.5),(17 2767284.5),(18 2992791),(19 3211791.5),(20 3414598.5),(21 3596447),(22 3759164.5),(23 3932550.8),(24 4132028.5),(25 4388371.5),(26 4664805.5),(27 4997543),(28 5335554),(29 5677143.5),(30 5990028.5),(31 6318253.5),(32 6627620.5),(33 6939002.5),(34 7237533.5),(35 7537106.5),(36 7860024.5),(37 8230415.5),(38 8617289),(39 9028489),(40 9437099),(41 9791100),(42 10127234),(43 10424570),(44 10707893),(45 10986366),(46 11289353),(47 11611243),(48 11932993),(49 12266516),(50 12636786),(51 12992290),(52 13365124),(53 13701170),(54 14011953),(55 14311033),(56 14571184),(57 14821017),(58 15079746),(59 15333849),(60 15610074),(61 15905125),(62 16216544),(63 16502310),(64 16763206),(65 17012726),(66 17254636),(67 17470384),(68 17666620),(69 17848738),(70 18026916),(71 18217690),(72 18439046),(73 18624686),(74 18786792),(75 18959988),(76 19140254),(77 19353436),(78 19569090),(79 19775310),
(1 42838.36),(2 147758.08),(3 301098.94),(4 486062.7),(5 687911.6),(6 882628.56),(7 1077150.3),(8 1251567.4),(9 1440575.5),(10 1636019.1),(11 1828535.6),(12 2037246.5),(13 2270796.3),(14 2533700.3),(15 2840799),(16 3160519.3),(17 3484236.3),(18 3816973.8),(19 4155339),(20 4485217.5),(21 4793430),(22 5083146),(23 5378943.5),(24 5691987),(25 6041047.5),(26 6402831),(27 6808882),(28 7207669),(29 7621139),(30 8021115),(31 8437617),(32 8825980),(33 9219337),(34 9581923),(35 9945372),(36 10306989),(37 10702890),(38 11112156),(39 11559375),(40 12007808),(41 12465676),(42 12909196),(43 13350508),(44 13789074),(45 14211481),(46 14621035),(47 15005886),(48 15388629),(49 15785520),(50 16224740),(51 16655984),(52 17118958),(53 17533030),(54 17958292),(55 18367780),(56 18759468),(57 19149090),(58 19551424),(59 19949874),(60 20344438),(61 20752292),(62 21135352),(63 21506580),(64 21834010),(65 22148874),(66 22466174),(67 22742442),(68 23006708),(69 23229598),(70 23445494),(71 23622594),(72 23809250),(73 23976198),(74 24135626),(75 24321828),(76 24495584),(77 24660424),(78 24794570),(79 24943556),
(1 40650.69),(2 142808.38),(3 287614.3),(4 450817.38),(5 616747.6),(6 759994.9),(7 890377.5),(8 1004292.56),(9 1131859),(10 1264641.9),(11 1405366.9),(12 1570107.1),(13 1767845.6),(14 2005467),(15 2286616),(16 2571492.3),(17 2866695.5),(18 3172651.8),(19 3471597),(20 3767886.5),(21 4061805.8),(22 4350695.5),(23 4660604),(24 4986920.5),(25 5348577),(26 5717846.5),(27 6117718.5),(28 6501720.5),(29 6890069.5),(30 7262064),(31 7659048.5),(32 8048439.5),(33 8448572),(34 8816026),(35 9161562),(36 9466240),(37 9762782),(38 10034569),(39 10342884),(40 10650574),(41 10992488),(42 11321062),(43 11645864),(44 11965450),(45 12267804),(46 12559426),(47 12841632),(48 13112561),(49 13378626),(50 13656500),(51 13904430),(52 14161189),(53 14374892),(54 14591255),(55 14805579),(56 15028960),(57 15259269),(58 15521392),(59 15798039),(60 16046280),(61 16293837),(62 16509929),(63 16704320),(64 16883420),(65 17051188),(66 17248278),(67 17434200),(68 17617244),(69 17784044),(70 17942338),(71 18091828),(72 18251086),(73 18364216),(74 18476882),(75 18621232),(76 18771510),(77 18911636),(78 19012548),(79 19091914),
(1 40501.13),(2 139784.06),(3 281311.53),(4 442353.44),(5 610065),(6 763101.25),(7 912767.56),(8 1048203.25),(9 1194280.9),(10 1339171.9),(11 1492005.1),(12 1673412.3),(13 1888757.5),(14 2127599),(15 2391329),(16 2655781.5),(17 2913635),(18 3182846.3),(19 3450749),(20 3724212),(21 3994377),(22 4254582),(23 4524359),(24 4791285.5),(25 5077885.5),(26 5359038.5),(27 5657186),(28 5942814.5),(29 6250182),(30 6560185),(31 6900487),(32 7225574),(33 7552164.5),(34 7844933.5),(35 8103844.5),(36 8330812.5),(37 8538517),(38 8701924),(39 8879316),(40 9048361),(41 9225436),(42 9419578),(43 9627334),(44 9854955),(45 10078756),(46 10320497),(47 10535721),(48 10726524),(49 10898100),(50 11055691),(51 11162434),(52 11251790),(53 11332702),(54 11417538),(55 11517648),(56 11619188),(57 11713981),(58 11828955),(59 11925299),(60 12023719),(61 12106299),(62 12165477),(63 12213976),(64 12266917),(65 12324605),(66 12393321),(67 12456887),(68 12550776),(69 12634010),(70 12738530),(71 12832910),(72 12947307),(73 13050124),(74 13148869),(75 13233335),(76 13280034),(77 13307360),(78 13311852),(79 13305139),
(1 39518.734),(2 136267.73),(3 268836.06),(4 422075.2),(5 577207),(6 715962.44),(7 846424.56),(8 957064),(9 1072913.1),(10 1189577.1),(11 1317440.8),(12 1484464.5),(13 1678691),(14 1897231),(15 2137528.5),(16 2387153.8),(17 2615383.5),(18 2835670),(19 3038847.5),(20 3255960.5),(21 3483730.8),(22 3718715),(23 3970071.5),(24 4231197),(25 4502700),(26 4774084.5),(27 5054539.5),(28 5325870.5),(29 5613634.5),(30 5897075),(31 6184766),(32 6480430.5),(33 6754973),(34 7025038),(35 7289764),(36 7536961.5),(37 7773603),(38 7999391),(39 8231826),(40 8463660),(41 8693247),(42 8919277),(43 9143145),(44 9367389),(45 9565848),(46 9762714),(47 9943091),(48 10084932),(49 10203714),(50 10304962),(51 10379299),(52 10466951),(53 10555785),(54 10648528),(55 10724596),(56 10787162),(57 10829739),(58 10842903),(59 10816031),(60 10785741),(61 10758261),(62 10723151),(63 10711544),(64 10682822),(65 10649374),(66 10623288),(67 10589775),(68 10543469),(69 10477424),(70 10393202),(71 10310404),(72 10218811),(73 10112713),(74 10013109),(75 9935482),(76 9839912),(77 9753164),(78 9670389),(79 9599753),
