1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 184393.13),(2 453211.13),(3 829541.94),(4 1582838),(5 2476804.8),(6 3331920),(7 4461068),(8 5655106.5),(9 6730857.5),(10 7947670.5),(11 9134644),(12 10187728),(13 11428305),(14 12648468),(15 13759139),(16 15173621),(17 16695875),(18 18027304),(19 19579322),(20 21072762),(21 22320322),(22 23898914),(23 25516114),(24 26679560),(25 27969590),(26 28891386),(27 29560858),(28 30339600),(29 30982378),(30 31299824),(31 31951798),(32 32682866),(33 33280208),(34 34195970),(35 35385988),(36 36385884),(37 37712716),(38 39215016),(39 40436630),(40 41751228),(41 43162540),(42 44329244),(43 45519180),(44 46763676),(45 47848420),(46 49044332),(47 50659020),(48 52128716),(49 53756884),(50 55779052),(51 57709548),(52 59736900),(53 62264276),(54 64790900),(55 67736390),(56 71060160),(57 74300380),(58 77507896),(59 80965750),(60 84129224),(61 87303400),(62 90660056),(63 93901400),(64 97092520),(65 100686850),(66 103925350),(67 107262720),(68 110460710),(69 113468220),(70 116140584),(71 119031080),(72 121556470),(73 124022590),(74 126548480),(75 128658180),(76 130565540),(77 132430180),(78 133440700),(79 134054340),
(1 205144.66),(2 561453.1),(3 1077338),(4 1963959.4),(5 2952855),(6 3986206.5),(7 5289139),(8 6563917),(9 7801246.5),(10 9176611),(11 10427854),(12 11649056),(13 13073754),(14 14419630),(15 15760818),(16 17407452),(17 19135462),(18 20841196),(19 22759508),(20 24655060),(21 26399754),(22 28429594),(23 30411360),(24 32125812),(25 34002920),(26 35643732),(27 37119670),(28 38747276),(29 40140436),(30 41265356),(31 42622936),(32 44032040),(33 45336684),(34 46908250),(35 48601612),(36 49905224),(37 51551400),(38 53378504),(39 54776724),(40 56301940),(41 57944972),(42 59257960),(43 60705804),(44 62081908),(45 62875724),(46 63758124),(47 64858612),(48 65445064),(49 65979530),(50 67128456),(51 67790690),(52 68514470),(53 69798264),(54 70733760),(55 71850830),(56 73545784),(57 75026570),(58 76433620),(59 78289580),(60 79805330),(61 81297320),(62 83248824),(63 84797810),(64 86082270),(65 88063180),(66 89558320),(67 90893224),(68 92803816),(69 94488060),(70 95997280),(71 98176424),(72 100081690),(73 101970300),(74 104379820),(75 106635000),(76 108739690),(77 111209624),(78 112844110),(79 113956910),
(1 160034.27),(2 438587.84),(3 856970.3),(4 1521332.4),(5 2261416.8),(6 3090289),(7 4099555.3),(8 5094678),(9 6114438),(10 7221705.5),(11 8214268),(12 9268633),(13 10422953),(14 11442115),(15 12464843),(16 13608980),(17 14704772),(18 15804952),(19 17044802),(20 18231572),(21 19427174),(22 20849144),(23 22234766),(24 23596386),(25 25177014),(26 26590494),(27 27929738),(28 29378066),(29 30645910),(30 31758224),(31 33034314),(32 34219172),(33 35381620),(34 36831564),(35 38290830),(36 39618140),(37 41216412),(38 42893620),(39 44238100),(40 45666736),(41 47023500),(42 48204612),(43 49569316),(44 50794668),(45 51791148),(46 52952316),(47 54173844),(48 55193948),(49 56446228),(50 57776640),(51 58826332),(52 59985664),(53 61231732),(54 62201024),(55 63269604),(56 64218684),(57 64900012),(58 65529260),(59 66035764),(60 66287092),(61 66524830),(62 66754004),(63 66747764),(64 66808628),(65 66999776),(66 66946652),(67 67055812),(68 67264680),(69 67433590),(70 67641050),(71 68021980),(72 68329810),(73 68752150),(74 69290860),(75 69783310),(76 70301270),(77 70907050),(78 71187810),(79 71382750),
(1 164253.81),(2 570922.75),(3 1210997.8),(4 2125601),(5 3257759),(6 4548325),(7 6012802.5),(8 7604514.5),(9 9266796),(10 10975618),(11 12646684),(12 14363588),(13 16139922),(14 17758622),(15 19261532),(16 20729028),(17 22144032),(18 23537476),(19 24974090),(20 26530190),(21 28145472),(22 29963872),(23 31964164),(24 33839090),(25 35719252),(26 37387910),(27 38890800),(28 40237170),(29 41438180),(30 42446970),(31 43349104),(32 44131336),(33 44852796),(34 45570268),(35 46344184),(36 47102960),(37 47938870),(38 48843348),(39 49658550),(40 50451090),(41 51281600),(42 52064210),(43 52900060),(44 53698064),(45 54513680),(46 55499200),(47 56603070),(48 57765520),(49 59044080),(50 60294244),(51 61554370),(52 62844656),(53 64011960),(54 65084308),(55 66104704),(56 66881236),(57 67537390),(58 68165900),(59 68647250),(60 69026340),(61 69355710),(62 69601530),(63 69843580),(64 70004960),(65 69990824),(66 69788960),(67 69416130),(68 68888120),(69 68255220),(70 67443060),(71 66633416),(72 65762132),(73 64761424),(74 63688136),(75 62593452),(76 61446628),(77 60381140),(78 59320344),(79 58289810),
(1 196296.77),(2 722064.75),(3 1559780.8),(4 2705905.3),(5 4105836.3),(6 5746174),(7 7630903.5),(8 9689433),(9 11879043),(10 14141219),(11 16413549),(12 18736920),(13 21073438),(14 23191662),(15 25190888),(16 27032556),(17 28682022),(18 30218962),(19 31690964),(20 33162822),(21 34609844),(22 36131492),(23 37656316),(24 38901532),(25 39904560),(26 40582604),(27 41107892),(28 41458810),(29 41638980),(30 41735850),(31 41739136),(32 41616548),(33 41416668),(34 41174204),(35 40953860),(36 40758576),(37 40590250),(38 40561176),(39 40545172),(40 40502760),(41 40598304),(42 40757040),(43 40934500),(44 41177772),(45 41564496),(46 42051970),(47 42743150),(48 43600612),(49 44495324),(50 45542948),(51 46754188),(52 47962670),(53 49258596),(54 50643444),(55 51962856),(56 53174096),(57 54391332),(58 55538236),(59 56618380),(60 57651188),(61 58571588),(62 59407324),(63 60382990),(64 61315620),(65 62234612),(66 63047748),(67 63788950),(68 64454756),(69 65106364),(70 65693950),(71 66249690),(72 66741564),(73 67153900),(74 67460870),(75 67748180),(76 67922640),(77 68082530),(78 68032296),(79 67830920),
(1 201009.97),(2 746633.3),(3 1624334.1),(4 2840659.3),(5 4374374.5),(6 6203584),(7 8346168),(8 10710148),(9 13235862),(10 15913075),(11 18538852),(12 21119884),(13 23616038),(14 25738492),(15 27529798),(16 29044966),(17 30276908),(18 31269932),(19 32107292),(20 32784800),(21 33310188),(22 33797640),(23 34200230),(24 34241492),(25 34075530),(26 33652932),(27 33131786),(28 32617114),(29 32159060),(30 31772036),(31 31521242),(32 31399660),(33 31334720),(34 31313332),(35 31265812),(36 31130948),(37 30986928),(38 30940012),(39 30843750),(40 30677062),(41 30577344),(42 30445674),(43 30268026),(44 30172356),(45 30162388),(46 30234010),(47 30404704),(48 30610390),(49 30770736),(50 30996826),(51 31250260),(52 31467840),(53 31656076),(54 31822256),(55 31969268),(56 32033254),(57 32095382),(58 32120762),(59 32081312),(60 32051258),(61 32002166),(62 31918656),(63 31939270),(64 32067884),(65 32185728),(66 32378598),(67 32664812),(68 32990108),(69 33491580),(70 34125836),(71 34851396),(72 35704696),(73 36674940),(74 37625356),(75 38632390),(76 39659604),(77 40564744),(78 41354490),(79 41991976),
(1 184343.97),(2 694676.3),(3 1501400.5),(4 2587937.5),(5 3910753.8),(6 5452401),(7 7209967.5),(8 9133591),(9 11186833),(10 13362654),(11 15601828),(12 17854460),(13 20061060),(14 21998828),(15 23775860),(16 25355986),(17 26623004),(18 27683246),(19 28558314),(20 29243284),(21 29832866),(22 30362430),(23 30700828),(24 30732682),(25 30541308),(26 30070948),(27 29571564),(28 29079324),(29 28658612),(30 28339122),(31 28123352),(32 27908394),(33 27784066),(34 27597716),(35 27313760),(36 26957054),(37 26583832),(38 26253218),(39 25896398),(40 25541352),(41 25203296),(42 24882916),(43 24592292),(44 24323524),(45 24188010),(46 24190838),(47 24343358),(48 24592866),(49 24937696),(50 25351328),(51 25801896),(52 26367882),(53 27027996),(54 27760124),(55 28637374),(56 29520324),(57 30402500),(58 31279636),(59 31979754),(60 32537288),(61 32995506),(62 33258638),(63 33393964),(64 33515172),(65 33638372),(66 33708924),(67 33788296),(68 33786720),(69 33727556),(70 33653140),(71 33572900),(72 33420778),(73 33277132),(74 33107352),(75 32878830),(76 32617364),(77 32363492),(78 32041216),(79 31702760),
(1 220703.53),(2 847329.8),(3 1832624),(4 3141044.5),(5 4707219),(6 6489742),(7 8494481),(8 10647586),(9 12861897),(10 15139188),(11 17370454),(12 19412770),(13 21247274),(14 22734072),(15 23923630),(16 24839132),(17 25489838),(18 25909202),(19 26186826),(20 26304926),(21 26305908),(22 26309556),(23 26255946),(24 26054894),(25 25817800),(26 25551404),(27 25378422),(28 25335082),(29 25394114),(30 25494516),(31 25638022),(32 25759812),(33 25859574),(34 25906348),(35 25940696),(36 25999244),(37 26154478),(38 26353900),(39 26551692),(40 26793886),(41 27104794),(42 27418342),(43 27796556),(44 28232564),(45 28758258),(46 29462914),(47 30374554),(48 31424760),(49 32666890),(50 33985828),(51 35209428),(52 36429644),(53 37607180),(54 38660188),(55 39665160),(56 40583508),(57 41398972),(58 42017040),(59 42442864),(60 42635590),(61 42682570),(62 42516604),(63 42124948),(64 41539852),(65 40835690),(66 40001364),(67 39079150),(68 38043908),(69 36909424),(70 35606190),(71 34243652),(72 32802218),(73 31321226),(74 29837702),(75 28397854),(76 26997910),(77 25710910),(78 24453534),(79 23284634),
(1 160175.72),(2 610519.2),(3 1311913.6),(4 2238475.3),(5 3319382),(6 4508110),(7 5761390),(8 7024187.5),(9 8268004),(10 9481471),(11 10624231),(12 11656038),(13 12566432),(14 13316382),(15 13965434),(16 14516212),(17 14985461),(18 15429181),(19 15826197),(20 16166035),(21 16477419),(22 16720542),(23 16914060),(24 17063778),(25 17185684),(26 17310318),(27 17464068),(28 17581182),(29 17652986),(30 17660944),(31 17570578),(32 17381402),(33 17059266),(34 16652397),(35 16205033),(36 15747576),(37 15279103),(38 14827246),(39 14353167),(40 13938493),(41 13617640),(42 13406970),(43 13378590),(44 13486868),(45 13693246),(46 14003439),(47 14317740),(48 14630691),(49 14957270),(50 15288309),(51 15622421),(52 15956574),(53 16258816),(54 16545001),(55 16827768),(56 17066304),(57 17259090),(58 17431710),(59 17596720),(60 17733926),(61 17865356),(62 17972826),(63 18044904),(64 18083134),(65 18091838),(66 18027600),(67 17910864),(68 17786082),(69 17639804),(70 17436688),(71 17229816),(72 16973372),(73 16639051),(74 16315584),(75 15976580),(76 15612174),(77 15295295),(78 14910735),(79 14470300),
(1 172496.58),(2 665963.25),(3 1432730),(4 2441967.3),(5 3629349),(6 4885611.5),(7 6152044),(8 7378127),(9 8516998),(10 9544103),(11 10505648),(12 11327285),(13 12014878),(14 12584786),(15 13084144),(16 13509458),(17 13907868),(18 14307508),(19 14705521),(20 15101787),(21 15568748),(22 16072649),(23 16573333),(24 16995918),(25 17342528),(26 17610368),(27 17854130),(28 18118686),(29 18382920),(30 18643690),(31 18874978),(32 19058976),(33 19197472),(34 19275096),(35 19306444),(36 19283392),(37 19232270),(38 19176870),(39 19069864),(40 18942140),(41 18756574),(42 18510052),(43 18239112),(44 17962174),(45 17729814),(46 17562216),(47 17448638),(48 17365542),(49 17289670),(50 17211064),(51 17105830),(52 16996664),(53 16855202),(54 16668300),(55 16450357),(56 16144786),(57 15758261),(58 15332395),(59 14909746),(60 14528454),(61 14230556),(62 14037676),(63 13987460),(64 14083262),(65 14300595),(66 14566005),(67 14808744),(68 15029003),(69 15201648),(70 15322699),(71 15374464),(72 15328004),(73 15180709),(74 14958549),(75 14720661),(76 14487324),(77 14295850),(78 14182521),(79 14126704),
(1 168224.56),(2 631447.2),(3 1327865),(4 2223492),(5 3254389.5),(6 4354910),(7 5457114),(8 6477176.5),(9 7386818),(10 8152152.5),(11 8785470),(12 9310057),(13 9774961),(14 10167998),(15 10545033),(16 10890848),(17 11236702),(18 11585860),(19 11961726),(20 12317894),(21 12685126),(22 13028600),(23 13356582),(24 13647752),(25 13920062),(26 14156113),(27 14339964),(28 14458296),(29 14456297),(30 14341436),(31 14128285),(32 13838047),(33 13522805),(34 13225165),(35 13000864),(36 12866182),(37 12841373),(38 12966464),(39 13237015),(40 13691368),(41 14325372),(42 15029266),(43 15746281),(44 16476341),(45 17176112),(46 17773940),(47 18238988),(48 18492848),(49 18556434),(50 18528046),(51 18412822),(52 18257808),(53 18135416),(54 18017544),(55 17905966),(56 17776320),(57 17617454),(58 17439150),(59 17259696),(60 17068148),(61 16886192),(62 16701054),(63 16536361),(64 16456009),(65 16427343),(66 16378673),(67 16362814),(68 16380659),(69 16389617),(70 16406534),(71 16401809),(72 16321050),(73 16189519),(74 16007061),(75 15754361),(76 15496036),(77 15279038),(78 15037689),(79 14850062),
