1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 765696.75),(2 2807974.8),(3 5279880),(4 8095596),(5 11079478),(6 14135792),(7 17113036),(8 19964424),(9 22676806),(10 25041978),(11 27651888),(12 30685142),(13 34002496),(14 37638356),(15 41852044),(16 46229252),(17 50726852),(18 55331316),(19 59389460),(20 61049390),(21 61616588),(22 61737230),(23 60886624),(24 59858412),(25 58648620),(26 57334656),(27 56305484),(28 55479340),(29 54731252),(30 54188372),(31 53696404),(32 52953056),(33 51860980),(34 50707620),(35 49642972),(36 48729660),(37 47466796),(38 45984820),(39 44160876),(40 42444460),(41 41410788),(42 40915324),(43 40508110),(44 40255250),(45 39959456),(46 39893390),(47 39975140),(48 40144524),(49 40218724),(50 40096464),(51 39869040),(52 39540532),(53 39267224),(54 39019260),(55 38704972),(56 38424804),(57 38159380),(58 37808596),(59 37323228),(60 36673520),(61 35895892),(62 34915810),(63 33895636),(64 32988448),(65 32077984),(66 31284040),(67 30563026),(68 29733306),(69 28796206),(70 27804456),(71 26845024),(72 26006698),(73 25314970),(74 25026822),(75 25185064),(76 25798346),(77 26704960),(78 28008302),(79 29545680),
(1 1041353.8),(2 3895945.5),(3 7601144),(4 11890872),(5 16405722),(6 21028294),(7 25575340),(8 29920282),(9 33969228),(10 37408970),(11 40422624),(12 43750092),(13 47529670),(14 51713464),(15 56437144),(16 61172876),(17 66073190),(18 71325310),(19 76207510),(20 79076820),(21 81031464),(22 82525190),(23 82978856),(24 83331400),(25 83378900),(26 83184140),(27 82983130),(28 82683224),(29 82203330),(30 81654440),(31 80945750),(32 80024690),(33 78805800),(34 77281900),(35 75521650),(36 73449544),(37 71027300),(38 68355840),(39 65286970),(40 62260916),(41 59848148),(42 57982440),(43 56453324),(44 55241268),(45 54142150),(46 53260510),(47 52544290),(48 51963436),(49 51388210),(50 50815964),(51 50292410),(52 49992690),(53 49676056),(54 49319100),(55 48899164),(56 48387572),(57 47740504),(58 46999900),(59 45953100),(60 44739150),(61 43324240),(62 41668944),(63 39864790),(64 37932160),(65 35974376),(66 34026252),(67 32079748),(68 30119260),(69 28026080),(70 25954430),(71 24011196),(72 22268966),(73 20843300),(74 20102244),(75 20137694),(76 20976784),(77 22550852),(78 24677622),(79 27252864),
(1 1489891.6),(2 5611124),(3 11138749),(4 17496534),(5 24219674),(6 30791544),(7 37003412),(8 42608108),(9 47263572),(10 50965164),(11 53674576),(12 55549184),(13 57155828),(14 58416736),(15 59391412),(16 60107410),(17 60689376),(18 61445516),(19 62375092),(20 63321584),(21 64941580),(22 66636300),(23 68376984),(24 70372230),(25 72648970),(26 75382390),(27 78394270),(28 81368020),(29 84152810),(30 86762390),(31 89220040),(32 91315944),(33 92784120),(34 93515810),(35 93447270),(36 92518870),(37 90701944),(38 88044790),(39 84678850),(40 80809980),(41 77096856),(42 73532776),(43 70148424),(44 66925424),(45 63910130),(46 61239700),(47 58934544),(48 56924850),(49 55234240),(50 53856960),(51 52823390),(52 52316484),(53 51772436),(54 51306060),(55 50902124),(56 50508828),(57 50069276),(58 49736428),(59 49435390),(60 49209536),(61 48941740),(62 48577652),(63 47918732),(64 46973172),(65 45747650),(66 44229716),(67 42432972),(68 40352820),(69 38015724),(70 35509492),(71 33080690),(72 30878134),(73 29141504),(74 28289350),(75 28490934),(76 29797426),(77 32219424),(78 35410864),(79 39103140),
(1 1746263.4),(2 6539578.5),(3 13127074),(4 20845660),(5 28986602),(6 36959660),(7 44376384),(8 51036544),(9 56817150),(10 61704830),(11 65826736),(12 69070050),(13 71188700),(14 72198080),(15 72270910),(16 71408730),(17 69999200),(18 68532184),(19 67249580),(20 66257670),(21 66326380),(22 67250430),(23 68957730),(24 71329060),(25 74220640),(26 77466984),(27 80986456),(28 84549816),(29 88072890),(30 91425380),(31 94591900),(32 97498990),(33 99773710),(34 101189000),(35 101637860),(36 101206690),(37 99867464),(38 97660250),(39 94693976),(40 91169550),(41 87548320),(42 83968310),(43 80517320),(44 77196480),(45 74012150),(46 71013930),(47 68322650),(48 65940150),(49 63766930),(50 61907156),(51 60353296),(52 59175324),(53 58016690),(54 56942770),(55 55950796),(56 55260380),(57 54891624),(58 54880990),(59 55218348),(60 55787268),(61 56392252),(62 56884616),(63 56989670),(64 56631824),(65 55753280),(66 54289804),(67 52318576),(68 49840936),(69 46959650),(70 43719224),(71 40348730),(72 37124670),(73 34392250),(74 32538724),(75 31835250),(76 32455108),(77 34373812),(78 37250690),(79 40816504),
(1 1744126.9),(2 6435585.5),(3 12712960),(4 19771966),(5 26782664),(6 33170356),(7 38644350),(8 43119636),(9 46713284),(10 49386096),(11 51494644),(12 53350108),(13 54554116),(14 55055908),(15 54871936),(16 54006364),(17 52647228),(18 51154510),(19 49638108),(20 47748244),(21 46197760),(22 45121244),(23 44683840),(24 44883344),(25 45514330),(26 46364430),(27 47533840),(28 48970628),(29 50628444),(30 52400080),(31 54377936),(32 56502104),(33 58558800),(34 60329984),(35 61649140),(36 62533630),(37 62968204),(38 62947330),(39 62424896),(40 61412036),(41 60152564),(42 58644428),(43 56920948),(44 55045748),(45 52958210),(46 50685044),(47 48373424),(48 46173250),(49 44104664),(50 42217380),(51 40514816),(52 39096652),(53 37962812),(54 37024924),(55 36247516),(56 35712052),(57 35482540),(58 35547060),(59 35883780),(60 36437172),(61 37076540),(62 37690212),(63 38157300),(64 38454004),(65 38401920),(66 37979416),(67 37083860),(68 35655156),(69 33594960),(70 31086286),(71 28329722),(72 25673140),(73 23485950),(74 22193638),(75 22028380),(76 23032996),(77 25188344),(78 28014360),(79 31256482),
(1 1660152.4),(2 5981877),(3 11522906),(4 17285724),(5 22483964),(6 26696458),(7 29843708),(8 32107322),(9 33681240),(10 34957290),(11 35991980),(12 36897880),(13 37792880),(14 38516268),(15 38913800),(16 38962028),(17 38613530),(18 37908276),(19 37099644),(20 36462856),(21 35778470),(22 34737736),(23 33683916),(24 32859796),(25 32363776),(26 32206528),(27 32291316),(28 32507276),(29 32791628),(30 33147546),(31 33618020),(32 34216500),(33 34855370),(34 35400030),(35 35847056),(36 36259190),(37 36633356),(38 36957630),(39 37067070),(40 36880892),(41 36464224),(42 35844920),(43 35044776),(44 34104396),(45 33110528),(46 32099212),(47 31136150),(48 30272660),(49 29676346),(50 29430796),(51 29551092),(52 30020820),(53 30869274),(54 31937824),(55 33079444),(56 34101212),(57 34949850),(58 35519116),(59 35697080),(60 35618956),(61 35411610),(62 35205884),(63 35071460),(64 35064140),(65 35038536),(66 34824090),(67 34245364),(68 33068870),(69 31171972),(70 28720404),(71 26066416),(72 23631004),(73 21837564),(74 20975868),(75 21279126),(76 22591760),(77 24769876),(78 27115482),(79 29351952),
(1 1339413.8),(2 4715901),(3 8765559),(4 12695733),(5 16016825),(6 18603468),(7 20559372),(8 21972098),(9 23003904),(10 23936680),(11 24853550),(12 25753772),(13 26573012),(14 27303726),(15 27974114),(16 28572740),(17 28977956),(18 29214188),(19 29214232),(20 29233742),(21 29490700),(22 29742564),(23 29878176),(24 29818366),(25 29533494),(26 29178658),(27 28858664),(28 28596148),(29 28240224),(30 27760292),(31 27097984),(32 26441784),(33 25848190),(34 25312302),(35 24924392),(36 24719192),(37 24720652),(38 24879762),(39 25031326),(40 25013644),(41 24759688),(42 24315548),(43 23783608),(44 23235116),(45 22661618),(46 22235352),(47 21999414),(48 21864110),(49 21721280),(50 21682802),(51 21829002),(52 22186546),(53 22603140),(54 23142070),(55 23778020),(56 24295708),(57 24696578),(58 24952746),(59 25073802),(60 25130080),(61 25282550),(62 25553838),(63 25993804),(64 26581838),(65 27238826),(66 27862284),(67 28236364),(68 28185140),(69 27539368),(70 26480398),(71 25280348),(72 24258058),(73 23730932),(74 23863250),(75 24698684),(76 26083840),(77 27804184),(78 29380064),(79 30599424),
(1 1219392),(2 4101671),(3 7119422.5),(4 9597042),(5 11403609),(6 12768548),(7 13847018),(8 14712831),(9 15585850),(10 16480484),(11 17465430),(12 18448814),(13 19086126),(14 19470126),(15 19835838),(16 20189250),(17 20476754),(18 20679878),(19 20710510),(20 20697866),(21 20825934),(22 21082396),(23 21421592),(24 21697642),(25 21765266),(26 21680868),(27 21563348),(28 21406664),(29 21084968),(30 20577672),(31 19968932),(32 19388120),(33 18780668),(34 18029702),(35 17215358),(36 16514625),(37 16098953),(38 15931276),(39 15843266),(40 15667866),(41 15312050),(42 14914770),(43 14707971),(44 14728117),(45 14939834),(46 15271703),(47 15623988),(48 15996093),(49 16315606),(50 16549622),(51 16709700),(52 16963726),(53 17337384),(54 17728390),(55 18202022),(56 18853932),(57 19668918),(58 20531554),(59 21267660),(60 21792682),(61 22234988),(62 22590590),(63 22847706),(64 23022290),(65 23184236),(66 23352042),(67 23425830),(68 23279574),(69 22714648),(70 21825780),(71 20919534),(72 20251340),(73 19977258),(74 20193604),(75 20951128),(76 22028010),(77 23143604),(78 23929044),(79 24342772),
(1 1143120.3),(2 3691658),(3 6066101),(4 7672846.5),(5 8625340),(6 9269973),(7 9740520),(8 10002925),(9 10157624),(10 10462821),(11 11121855),(12 12054341),(13 12856450),(14 13317178),(15 13554724),(16 13809666),(17 14065299),(18 14277559),(19 14340036),(20 14161292),(21 14016672),(22 14116348),(23 14520678),(24 14992431),(25 15346036),(26 15608629),(27 15965662),(28 16418285),(29 16816778),(30 16946376),(31 16726293),(32 16279311),(33 15729985),(34 15178238),(35 14679515),(36 14313304),(37 14110971),(38 14007956),(39 13842110),(40 13523626),(41 13042997),(42 12503824),(43 12166209),(44 12193600),(45 12639560),(46 13354704),(47 14020676),(48 14457632),(49 14671680),(50 14748060),(51 14758200),(52 14744379),(53 14889640),(54 15141227),(55 15371442),(56 15587051),(57 15817786),(58 16050071),(59 16272585),(60 16476241),(61 16699936),(62 17004902),(63 17443388),(64 18033318),(65 18765324),(66 19580448),(67 20266856),(68 20680920),(69 20707882),(70 20452006),(71 20145226),(72 20054560),(73 20324624),(74 21049072),(75 22144726),(76 23324398),(77 24274072),(78 24807198),(79 24973754),
(1 1201209.4),(2 3755205.8),(3 5883621),(4 7073349.5),(5 7694135),(6 8206391),(7 8596700),(8 8631936),(9 8403313),(10 8355193),(11 8827429),(12 9629755),(13 10357948),(14 10929734),(15 11409815),(16 11752012),(17 11917600),(18 11916829),(19 11852818),(20 11909175),(21 11926572),(22 11867976),(23 11973284),(24 12248546),(25 12568206),(26 12858509),(27 13114992),(28 13343401),(29 13624919),(30 13900921),(31 14099644),(32 14164388),(33 14037508),(34 13673267),(35 13169977),(36 12768329),(37 12681189),(38 12837052),(39 12970071),(40 12897747),(41 12599511),(42 12343100),(43 12339269),(44 12570969),(45 13013264),(46 13563842),(47 14081226),(48 14483128),(49 14826824),(50 15131812),(51 15383132),(52 15577520),(53 15846871),(54 16156699),(55 16384350),(56 16556016),(57 16809334),(58 17034260),(59 17104712),(60 17194578),(61 17514212),(62 18020942),(63 18618086),(64 19278296),(65 20059218),(66 20927118),(67 21767752),(68 22406650),(69 22658432),(70 22552844),(71 22278926),(72 22096398),(73 22187764),(74 22595612),(75 23239232),(76 23941622),(77 24480488),(78 24686588),(79 24634798),
(1 1391421.8),(2 4251196),(3 6425406),(4 7434164),(5 7866682.5),(6 8353156),(7 8737932),(8 8677251),(9 8393995),(10 8468461),(11 9319927),(12 10454831),(13 11094732),(14 11219342),(15 11201050),(16 11308582),(17 11386312),(18 11338200),(19 11119527),(20 10855249),(21 10984035),(22 11374538),(23 11606489),(24 11538968),(25 11350200),(26 11351117),(27 11659871),(28 11972127),(29 12092888),(30 12070036),(31 12159294),(32 12397899),(33 12617678),(34 12584533),(35 12322417),(36 12101792),(37 12064163),(38 12195928),(39 12241059),(40 12086594),(41 11786483),(42 11465135),(43 11301145),(44 11324248),(45 11455873),(46 11626874),(47 11771533),(48 11892589),(49 12125818),(50 12512390),(51 13043629),(52 13640690),(53 14110849),(54 14462430),(55 14699164),(56 14803040),(57 14960689),(58 15242063),(59 15370406),(60 15225293),(61 15109731),(62 15186792),(63 15382476),(64 15630776),(65 16004203),(66 16508390),(67 17049908),(68 17467110),(69 17527048),(70 17208768),(71 16663356),(72 16085410),(73 15652218),(74 15472201),(75 15620422),(76 15964604),(77 16349912),(78 16626334),(79 16800484),
