1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 87441.836),(2 210561.44),(3 338347.22),(4 581388.3),(5 812196),(6 1035370.3),(7 1349829),(8 1643595.1),(9 1923521),(10 2302530),(11 2617956.8),(12 2944461),(13 3405839.3),(14 3861588),(15 4324198.5),(16 4937990),(17 5542524.5),(18 6179222.5),(19 6907369.5),(20 7602455.5),(21 8323863.5),(22 9049446),(23 9817401),(24 10533429),(25 11233183),(26 11847872),(27 12408951),(28 12869668),(29 13255448),(30 13651231),(31 14055229),(32 14415013),(33 14710271),(34 15089329),(35 15368005),(36 15591844),(37 15745733),(38 15806337),(39 15957099),(40 16118053),(41 16494037),(42 16892946),(43 17390770),(44 17975398),(45 18655914),(46 19369862),(47 20237646),(48 21181982),(49 21982742),(50 22677704),(51 23399008),(52 23976856),(53 24429814),(54 24806576),(55 25291478),(56 25810778),(57 26380688),(58 27061294),(59 27683648),(60 28281894),(61 28895542),(62 29581470),(63 30289286),(64 30866266),(65 31628864),(66 32471424),(67 33092408),(68 33851012),(69 34794452),(70 35740560),(71 36934550),(72 38116892),(73 39397770),(74 40823430),(75 42245456),(76 43655468),(77 44989684),(78 46198660),(79 47308780),
(1 64722.98),(2 210989.67),(3 417827.16),(4 708412.6),(5 1040933.8),(6 1412192.9),(7 1845070.4),(8 2322905.5),(9 2833922),(10 3429369.3),(11 4054834.5),(12 4718600),(13 5485040),(14 6293408.5),(15 7136259),(16 8074393.5),(17 9024299),(18 9914549),(19 10804198),(20 11631006),(21 12433525),(22 13253508),(23 14134163),(24 14990128),(25 15824877),(26 16624128),(27 17343860),(28 18057274),(29 18746388),(30 19368830),(31 19973452),(32 20537188),(33 21005900),(34 21442564),(35 21835360),(36 22120758),(37 22339178),(38 22406378),(39 22405938),(40 22366340),(41 22374042),(42 22363188),(43 22339428),(44 22298054),(45 22249552),(46 22187204),(47 22077140),(48 21924432),(49 21717690),(50 21424304),(51 21118634),(52 20787296),(53 20419828),(54 20060524),(55 19809510),(56 19591092),(57 19402564),(58 19290250),(59 19199292),(60 19174996),(61 19258014),(62 19347850),(63 19427280),(64 19619196),(65 19843466),(66 20121510),(67 20449744),(68 20815394),(69 21305418),(70 21898410),(71 22507494),(72 23171524),(73 23846772),(74 24489172),(75 25179524),(76 25927660),(77 26513304),(78 26985616),(79 27455622),
(1 117677.695),(2 435465.5),(3 924197.7),(4 1586321.4),(5 2387915.8),(6 3301273.8),(7 4403089.5),(8 5669269.5),(9 7084545.5),(10 8686035),(11 10417617),(12 12332791),(13 14442401),(14 16656608),(15 19070462),(16 21565974),(17 24064362),(18 26454078),(19 28878070),(20 31199662),(21 33506370),(22 35844164),(23 38229120),(24 40600284),(25 43014660),(26 45334396),(27 47684384),(28 50088976),(29 52469260),(30 54618750),(31 56676164),(32 58491748),(33 60167956),(34 61649140),(35 62982370),(36 64148484),(37 65256892),(38 66032340),(39 66664850),(40 67081100),(41 67440150),(42 67759270),(43 68028890),(44 68069320),(45 68072540),(46 67826640),(47 67459010),(48 66773932),(49 65672844),(50 64227250),(51 62547508),(52 60542720),(53 58493890),(54 56531532),(55 54635756),(56 52658004),(57 50750652),(58 48731380),(59 46788640),(60 44988948),(61 43371756),(62 41870010),(63 40524820),(64 39254228),(65 38103628),(66 37214708),(67 36347452),(68 35590660),(69 35081050),(70 34675170),(71 34480708),(72 34498096),(73 34566388),(74 34654628),(75 34790520),(76 34898876),(77 35009790),(78 35155984),(79 35329644),
(1 159573.72),(2 600618.44),(3 1297346.6),(4 2236487),(5 3389746.8),(6 4731059.5),(7 6316864),(8 8132719),(9 10185275),(10 12466820),(11 14923824),(12 17609408),(13 20553940),(14 23632440),(15 26948434),(16 30363416),(17 33848372),(18 37270228),(19 40769460),(20 44174332),(21 47525744),(22 50679356),(23 53672676),(24 56607036),(25 59496910),(26 62096384),(27 64569536),(28 66874260),(29 68904580),(30 70519150),(31 71856740),(32 72713440),(33 73276730),(34 73515020),(35 73389624),(36 72982770),(37 72368830),(38 71430020),(39 70314380),(40 68933900),(41 67474420),(42 65915320),(43 64363492),(44 62724252),(45 61122836),(46 59382576),(47 57612564),(48 55665900),(49 53554340),(50 51382936),(51 49258708),(52 46955292),(53 44694830),(54 42595584),(55 40557156),(56 38547124),(57 36650420),(58 34789204),(59 33077400),(60 31598670),(61 30273206),(62 29211848),(63 28360000),(64 27620226),(65 27119278),(66 26910794),(67 26885030),(68 27043882),(69 27448602),(70 27981320),(71 28683134),(72 29487464),(73 30335190),(74 31203406),(75 32100138),(76 32945714),(77 33780844),(78 34612870),(79 35433684),
(1 119335.16),(2 459626.28),(3 1004956.4),(4 1734488),(5 2634652.3),(6 3667180.3),(7 4848272.5),(8 6199006.5),(9 7714093),(10 9388614),(11 11168281),(12 13078179),(13 15179617),(14 17358616),(15 19768424),(16 22294830),(17 24945972),(18 27719330),(19 30598356),(20 33360530),(21 36054980),(22 38528040),(23 40766348),(24 42933440),(25 45008050),(26 46804440),(27 48497052),(28 49904536),(29 50990030),(30 51822860),(31 52448548),(32 52747356),(33 52877656),(34 52768944),(35 52422540),(36 51837220),(37 51141760),(38 50218730),(39 49090470),(40 47800144),(41 46352380),(42 44859696),(43 43460668),(44 42078468),(45 40743972),(46 39356736),(47 37998916),(48 36703924),(49 35493904),(50 34363930),(51 33404210),(52 32540782),(53 31773202),(54 31069114),(55 30395874),(56 29741634),(57 29073048),(58 28320920),(59 27526750),(60 26749464),(61 26004762),(62 25339000),(63 24720884),(64 24131994),(65 23742782),(66 23505326),(67 23330372),(68 23282750),(69 23379642),(70 23537710),(71 23779500),(72 24080006),(73 24428538),(74 24818194),(75 25284538),(76 25812754),(77 26387436),(78 26999790),(79 27674728),
(1 103570.6),(2 396509.66),(3 854026.8),(4 1453117.3),(5 2154887.3),(6 2925472.5),(7 3785311.3),(8 4728100),(9 5715669.5),(10 6754768),(11 7815275),(12 8898318),(13 10051170),(14 11260930),(15 12575528),(16 13970637),(17 15453197),(18 16943806),(19 18433680),(20 19901714),(21 21335492),(22 22690004),(23 23975140),(24 25114076),(25 26117124),(26 26995660),(27 27835404),(28 28526740),(29 29026676),(30 29354144),(31 29551604),(32 29625120),(33 29676492),(34 29642836),(35 29578426),(36 29481658),(37 29478384),(38 29566432),(39 29737546),(40 30027718),(41 30344646),(42 30724566),(43 31280166),(44 31938822),(45 32772236),(46 33601750),(47 34444480),(48 35270296),(49 36201004),(50 37132556),(51 38092492),(52 39024424),(53 39788652),(54 40358900),(55 40706904),(56 40857624),(57 40749010),(58 40293292),(59 39619892),(60 38687924),(61 37536028),(62 36191164),(63 34705824),(64 33116628),(65 31585716),(66 30045306),(67 28484352),(68 27080100),(69 25804252),(70 24624724),(71 23622618),(72 22759088),(73 22032526),(74 21444420),(75 21081184),(76 20897964),(77 20870176),(78 21003104),(79 21316864),
(1 104595.57),(2 405433.72),(3 886497.4),(4 1528620.3),(5 2300979),(6 3164910.5),(7 4139680),(8 5205597),(9 6338487),(10 7537384.5),(11 8741859),(12 9981183),(13 11265264),(14 12570837),(15 13922967),(16 15300646),(17 16675124),(18 18004756),(19 19271020),(20 20396548),(21 21420120),(22 22266324),(23 22998638),(24 23556338),(25 23941668),(26 24145800),(27 24300212),(28 24339638),(29 24209394),(30 23998806),(31 23730478),(32 23368638),(33 22990720),(34 22589602),(35 22233004),(36 21897846),(37 21613622),(38 21386826),(39 21223076),(40 21088482),(41 21068126),(42 21132354),(43 21259858),(44 21458112),(45 21723092),(46 22008642),(47 22352098),(48 22675614),(49 22966592),(50 23169526),(51 23328840),(52 23434244),(53 23449874),(54 23349810),(55 23153654),(56 22869106),(57 22531478),(58 22140046),(59 21794400),(60 21475634),(61 21206638),(62 20975348),(63 20741332),(64 20550114),(65 20429310),(66 20335454),(67 20320140),(68 20421144),(69 20586614),(70 20882328),(71 21282358),(72 21763680),(73 22297762),(74 22875372),(75 23515048),(76 24141762),(77 24759704),(78 25319314),(79 25799272),
(1 147622.36),(2 573896.4),(3 1247783.4),(4 2124763),(5 3181767),(6 4353352.5),(7 5625613),(8 6957936.5),(9 8304073.5),(10 9648791),(11 10904389),(12 12125297),(13 13238293),(14 14248565),(15 15174157),(16 15954758),(17 16608630),(18 17118522),(19 17495084),(20 17632434),(21 17623682),(22 17462454),(23 17166922),(24 16793434),(25 16341171),(26 15814997),(27 15292343),(28 14761278),(29 14263597),(30 13842803),(31 13519189),(32 13302077),(33 13171904),(34 13136951),(35 13238436),(36 13471453),(37 13818464),(38 14255978),(39 14752509),(40 15271363),(41 15830378),(42 16373390),(43 16865176),(44 17342764),(45 17807228),(46 18218158),(47 18574994),(48 18823176),(49 18980774),(50 19062902),(51 19079480),(52 19081922),(53 19035484),(54 18969442),(55 18854952),(56 18685538),(57 18512640),(58 18331212),(59 18140184),(60 17939940),(61 17755212),(62 17573646),(63 17417850),(64 17285662),(65 17171180),(66 17033934),(67 16914958),(68 16711225),(69 16520466),(70 16337917),(71 16141460),(72 15927588),(73 15716740),(74 15486270),(75 15274658),(76 15010487),(77 14743787),(78 14484027),(79 14224111),
(1 230644.56),(2 902102.5),(3 1958127.9),(4 3338879.5),(5 5000212.5),(6 6864933),(7 8940280),(8 11131106),(9 13368602),(10 15608103),(11 17697040),(12 19643866),(13 21358126),(14 22806058),(15 24037300),(16 24983522),(17 25620852),(18 25998354),(19 26097062),(20 25831442),(21 25287630),(22 24542014),(23 23721580),(24 22774560),(25 21793352),(26 20717820),(27 19593776),(28 18502902),(29 17446072),(30 16468168),(31 15593666),(32 14893781),(33 14342049),(34 13936944),(35 13704015),(36 13644556),(37 13747142),(38 13980794),(39 14325090),(40 14717508),(41 15178592),(42 15684538),(43 16251042),(44 16888116),(45 17557538),(46 18235890),(47 18913648),(48 19552936),(49 20144950),(50 20671662),(51 21164220),(52 21572526),(53 21854946),(54 21976106),(55 21916888),(56 21653858),(57 21196944),(58 20560802),(59 19783470),(60 18938018),(61 18056392),(62 17151966),(63 16278724),(64 15444651),(65 14709988),(66 14085559),(67 13539941),(68 13114782),(69 12878691),(70 12811462),(71 12956754),(72 13282221),(73 13785976),(74 14436130),(75 15240079),(76 16116459),(77 17093864),(78 18115718),(79 19184454),
(1 195661.64),(2 756982),(3 1625544.6),(4 2726175.5),(5 4001876),(6 5385424),(7 6843290.5),(8 8321006),(9 9775124),(10 11146261),(11 12361863),(12 13430647),(13 14282577),(14 14910620),(15 15344544),(16 15595438),(17 15678533),(18 15668395),(19 15554873),(20 15309497),(21 14992969),(22 14612327),(23 14231897),(24 13781033),(25 13345044),(26 12904882),(27 12485655),(28 12125374),(29 11770737),(30 11469255),(31 11222820),(32 11080268),(33 11014067),(34 11011434),(35 11077390),(36 11146640),(37 11240272),(38 11333661),(39 11418149),(40 11481484),(41 11545031),(42 11596328),(43 11680153),(44 11835773),(45 12071418),(46 12363288),(47 12717205),(48 13119573),(49 13556457),(50 14057143),(51 14594885),(52 15136649),(53 15644484),(54 16079769),(55 16428188),(56 16654814),(57 16765442),(58 16731755),(59 16551051),(60 16237045),(61 15786007),(62 15250539),(63 14635097),(64 13914997),(65 13156752),(66 12406784),(67 11630911),(68 10907954),(69 10302828),(70 9815000),(71 9496820),(72 9366655),(73 9461812),(74 9771629),(75 10289388),(76 10983044),(77 11829657),(78 12750958),(79 13743550),
(1 189738.38),(2 729285.3),(3 1562096.5),(4 2595946),(5 3759449),(6 4996985.5),(7 6234276.5),(8 7390306),(9 8423134),(10 9294336),(11 9931627),(12 10330465),(13 10488264),(14 10439825),(15 10233107),(16 9900564),(17 9490613),(18 9077816),(19 8678652),(20 8339985),(21 8090017),(22 7916478),(23 7850749.5),(24 7854580),(25 7945880.5),(26 8107298),(27 8329363),(28 8606784),(29 8916285),(30 9265368),(31 9650502),(32 10099757),(33 10562115),(34 10991145),(35 11342579),(36 11562421),(37 11646116),(38 11565461),(39 11349262),(40 10990278),(41 10566735),(42 10140962),(43 9742164),(44 9416915),(45 9229231),(46 9181336),(47 9299533),(48 9548883),(49 9895933),(50 10355246),(51 10876662),(52 11428528),(53 11918112),(54 12283039),(55 12525958),(56 12619923),(57 12578602),(58 12392231),(59 12123960),(60 11829338),(61 11537162),(62 11336143),(63 11160918),(64 10992007),(65 10882156),(66 10801450),(67 10789632),(68 10827770),(69 10912254),(70 11071806),(71 11323956),(72 11669146),(73 12090462),(74 12577280),(75 13114374),(76 13632289),(77 14086688),(78 14405254),(79 14588674),
