1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 83006.914),(2 164174.89),(3 240877.7),(4 447616.1),(5 650674.8),(6 845778),(7 1165007.1),(8 1486727.9),(9 1802897.5),(10 2236488.3),(11 2710095),(12 3160962),(13 3791205.3),(14 4475670.5),(15 5179608.5),(16 6040264.5),(17 6923417.5),(18 7850556.5),(19 8926752),(20 10038809),(21 11119601),(22 12399504),(23 13720909),(24 14926091),(25 16332931),(26 17761094),(27 19093314),(28 20627838),(29 22249230),(30 23693274),(31 25303686),(32 26927110),(33 28465610),(34 30167590),(35 31955542),(36 33575212),(37 35397244),(38 37354404),(39 39092900),(40 40902064),(41 42682624),(42 44370956),(43 45980852),(44 47540876),(45 48921812),(46 50306932),(47 51695390),(48 52891788),(49 54093950),(50 55219836),(51 56186612),(52 57239444),(53 58284210),(54 58959180),(55 59863010),(56 60696988),(57 61405196),(58 62203380),(59 62997280),(60 63466212),(61 64124444),(62 64976190),(63 65652530),(64 66415360),(65 67466824),(66 68379576),(67 69502280),(68 70909900),(69 72091896),(70 73321440),(71 74654360),(72 75748280),(73 77173704),(74 78495560),(75 79882170),(76 81210430),(77 82480056),(78 83579224),(79 84737160),
(1 73354.31),(2 235708.16),(3 488902.2),(4 857208.8),(5 1292699.3),(6 1804701.6),(7 2405119.5),(8 3089603.5),(9 3843926.8),(10 4678806.5),(11 5604997.5),(12 6547293.5),(13 7657670.5),(14 8813841),(15 10034514),(16 11398049),(17 12811122),(18 14393478),(19 16061592),(20 17830502),(21 19681766),(22 21679448),(23 23729736),(24 25692972),(25 27823978),(26 29927862),(27 31953034),(28 34176680),(29 36409864),(30 38481530),(31 40682280),(32 42820148),(33 44967590),(34 47194536),(35 49440916),(36 51518456),(37 53690100),(38 55819212),(39 57757620),(40 59659348),(41 61461600),(42 63100040),(43 64462056),(44 65596852),(45 66707660),(46 67768610),(47 68812460),(48 69732790),(49 70514990),(50 71219710),(51 71882770),(52 72576460),(53 73234330),(54 73798260),(55 74531890),(56 75020020),(57 75396160),(58 75764940),(59 75899020),(60 75868620),(61 75908220),(62 75928620),(63 75774840),(64 75654900),(65 75899950),(66 76139840),(67 76331064),(68 76637700),(69 76866900),(70 77140780),(71 77470100),(72 77710450),(73 77961464),(74 78095570),(75 78336620),(76 78415790),(77 78461140),(78 78457580),(79 78313370),
(1 64337.22),(2 223639.39),(3 470470.5),(4 797650.5),(5 1176690.6),(6 1615522),(7 2102738),(8 2651299.3),(9 3243409.8),(10 3915191.3),(11 4670610.5),(12 5468612),(13 6378111.5),(14 7309681.5),(15 8285113.5),(16 9348376),(17 10409757),(18 11458411),(19 12525916),(20 13587059),(21 14608027),(22 15620545),(23 16686391),(24 17745438),(25 18851354),(26 19995586),(27 21186778),(28 22474016),(29 23802480),(30 25085378),(31 26378560),(32 27582344),(33 28748374),(34 29803992),(35 30810706),(36 31787656),(37 32764336),(38 33654080),(39 34611620),(40 35604936),(41 36620828),(42 37581260),(43 38561028),(44 39425324),(45 40217332),(46 40916692),(47 41570790),(48 42089940),(49 42489176),(50 42732796),(51 42932776),(52 43091680),(53 43161924),(54 43220228),(55 43432876),(56 43490092),(57 43524820),(58 43468284),(59 43273572),(60 42961508),(61 42541988),(62 41914750),(63 41244384),(64 40482884),(65 39759372),(66 39066572),(67 38368276),(68 37703812),(69 37122596),(70 36585924),(71 36126370),(72 35742180),(73 35417692),(74 35151120),(75 35012720),(76 34825996),(77 34649012),(78 34479576),(79 34294068),
(1 75235.21),(2 278089.88),(3 598272.3),(4 1027769.3),(5 1571424.3),(6 2221253),(7 2973810.8),(8 3822206.8),(9 4748327),(10 5740947.5),(11 6813483.5),(12 7939808),(13 9134036),(14 10385746),(15 11671669),(16 12947691),(17 14211740),(18 15480487),(19 16733737),(20 17976784),(21 19202330),(22 20346740),(23 21435520),(24 22449988),(25 23439492),(26 24363914),(27 25271292),(28 26120680),(29 26976136),(30 27757110),(31 28485430),(32 29103860),(33 29728590),(34 30256680),(35 30740854),(36 31206834),(37 31670752),(38 32048164),(39 32413640),(40 32785848),(41 33172392),(42 33474258),(43 33831360),(44 34067404),(45 34245630),(46 34308636),(47 34330184),(48 34332360),(49 34381796),(50 34310740),(51 34254610),(52 34154708),(53 33978456),(54 33790024),(55 33648450),(56 33412886),(57 33218368),(58 33012732),(59 32779480),(60 32544392),(61 32287364),(62 31933340),(63 31542264),(64 31127182),(65 30690040),(66 30205248),(67 29753406),(68 29285992),(69 28794036),(70 28312280),(71 27857090),(72 27385434),(73 26976746),(74 26556302),(75 26197100),(76 25873992),(77 25613320),(78 25374578),(79 25162218),
(1 102617.97),(2 388837.28),(3 847861.44),(4 1464265.9),(5 2240826),(6 3173827),(7 4251955),(8 5474238),(9 6842947.5),(10 8329456),(11 9952193),(12 11645465),(13 13431217),(14 15297219),(15 17160058),(16 19035558),(17 20924692),(18 22837670),(19 24708628),(20 26506534),(21 28270394),(22 29903304),(23 31355948),(24 32660802),(25 33853864),(26 34886596),(27 35771412),(28 36562916),(29 37228656),(30 37694396),(31 38005610),(32 38133244),(33 38132016),(34 38022610),(35 37840196),(36 37577092),(37 37281860),(38 36943800),(39 36520524),(40 36075920),(41 35610212),(42 35028590),(43 34468916),(44 33842236),(45 33174668),(46 32499262),(47 31841960),(48 31202252),(49 30647430),(50 30072480),(51 29520576),(52 28955130),(53 28414848),(54 27871288),(55 27331392),(56 26820456),(57 26339604),(58 25865894),(59 25411630),(60 25030942),(61 24657990),(62 24295378),(63 23948228),(64 23636744),(65 23343822),(66 23076370),(67 22835272),(68 22597606),(69 22368396),(70 22164474),(71 21982254),(72 21796276),(73 21593560),(74 21327846),(75 21072130),(76 20792894),(77 20530246),(78 20263518),(79 19980766),
(1 118951.914),(2 456308),(3 998323.8),(4 1732777.8),(5 2643976.5),(6 3741220),(7 4990385.5),(8 6403541),(9 7975459),(10 9667280),(11 11483744),(12 13346694),(13 15258786),(14 17188000),(15 19075774),(16 20906068),(17 22690156),(18 24390206),(19 25922042),(20 27280144),(21 28456870),(22 29414358),(23 30209978),(24 30776886),(25 31113996),(26 31242714),(27 31175060),(28 30936228),(29 30489542),(30 29888064),(31 29122844),(32 28187796),(33 27181302),(34 26117518),(35 25043680),(36 23983828),(37 22918620),(38 21842212),(39 20793376),(40 19767648),(41 18818726),(42 17937472),(43 17168176),(44 16465824),(45 15917891),(46 15460011),(47 15183955),(48 15076333),(49 15115648),(50 15316758),(51 15710605),(52 16217709),(53 16854486),(54 17624332),(55 18607060),(56 19682710),(57 20870458),(58 22164058),(59 23478452),(60 24834234),(61 26180334),(62 27424372),(63 28579546),(64 29655996),(65 30702314),(66 31646252),(67 32467948),(68 33213056),(69 33843044),(70 34345896),(71 34770444),(72 34991170),(73 35055070),(74 34934252),(75 34714936),(76 34296692),(77 33752184),(78 33068282),(79 32243052),
(1 76498.16),(2 284898.3),(3 612507.8),(4 1056325.1),(5 1610894.5),(6 2280177.8),(7 3042436.5),(8 3904300),(9 4833312),(10 5792499),(11 6813039),(12 7879342),(13 9003222),(14 10128270),(15 11231366),(16 12357839),(17 13428228),(18 14461764),(19 15436212),(20 16388543),(21 17323492),(22 18183806),(23 18948244),(24 19626974),(25 20236474),(26 20730296),(27 21179332),(28 21501770),(29 21743296),(30 21930848),(31 22051400),(32 22098606),(33 22073100),(34 21987202),(35 21864946),(36 21713150),(37 21534408),(38 21376874),(39 21229668),(40 21053006),(41 20839956),(42 20612028),(43 20370022),(44 20104528),(45 19860536),(46 19615414),(47 19419966),(48 19239512),(49 19096006),(50 19008400),(51 19000450),(52 19012234),(53 19048754),(54 19121760),(55 19233166),(56 19370898),(57 19576318),(58 19797348),(59 20019642),(60 20270302),(61 20544212),(62 20779460),(63 21080898),(64 21405650),(65 21751436),(66 22121992),(67 22519428),(68 22944374),(69 23328148),(70 23688734),(71 24051614),(72 24390024),(73 24687086),(74 24941640),(75 25132942),(76 25261490),(77 25337578),(78 25358984),(79 25351470),
(1 96067.78),(2 360149.7),(3 776900.94),(4 1328092.3),(5 1996400),(6 2769601),(7 3631804.8),(8 4547006.5),(9 5504515),(10 6474754),(11 7436509),(12 8377509),(13 9296138),(14 10141059),(15 10915254),(16 11620809),(17 12205926),(18 12653901),(19 12988533),(20 13210588),(21 13332429),(22 13336858),(23 13219093),(24 13023372),(25 12759953),(26 12425007),(27 12079425),(28 11720738),(29 11367265),(30 11035740),(31 10717967),(32 10448090),(33 10235692),(34 10094414),(35 10045158),(36 10066656),(37 10185508),(38 10419837),(39 10759601),(40 11170352),(41 11665821),(42 12209452),(43 12778389),(44 13341242),(45 13950537),(46 14560589),(47 15170979),(48 15766716),(49 16310889),(50 16785174),(51 17237096),(52 17594750),(53 17831560),(54 17963618),(55 17993148),(56 17904972),(57 17758048),(58 17494360),(59 17128062),(60 16707797),(61 16254965),(62 15742580),(63 15239277),(64 14757942),(65 14299655),(66 13877410),(67 13534953),(68 13215234),(69 12945591),(70 12752062),(71 12671346),(72 12682513),(73 12767059),(74 12952439),(75 13237984),(76 13572814),(77 14019204),(78 14582164),(79 15202594),
(1 101301.336),(2 382610.2),(3 823775.25),(4 1399285.4),(5 2091501.1),(6 2888294.5),(7 3761865.5),(8 4690450.5),(9 5654178),(10 6631362),(11 7604393),(12 8498952),(13 9332258),(14 10068240),(15 10705826),(16 11236730),(17 11641484),(18 11919250),(19 12109069),(20 12218387),(21 12212797),(22 12081363),(23 11879560),(24 11589094),(25 11228921),(26 10834938),(27 10441444),(28 10005574),(29 9556247),(30 9120801),(31 8696934),(32 8291587),(33 7899714),(34 7568634.5),(35 7326275),(36 7146139.5),(37 7053323.5),(38 7052347),(39 7104701),(40 7207122),(41 7377706),(42 7596026.5),(43 7866385.5),(44 8194359.5),(45 8609758),(46 9088034),(47 9684919),(48 10366352),(49 11099255),(50 11884012),(51 12707936),(52 13516004),(53 14286289),(54 14985052),(55 15582536),(56 16086545),(57 16485048),(58 16718178),(59 16823932),(60 16827894),(61 16739358),(62 16508147),(63 16171215),(64 15738100),(65 15214631),(66 14655952),(67 14078191),(68 13447815),(69 12829160),(70 12242989),(71 11699096),(72 11238239),(73 10860129),(74 10576582),(75 10389496),(76 10290515),(77 10308320),(78 10471262),(79 10722871),
(1 136471.44),(2 530087.3),(3 1148609.4),(4 1946464),(5 2902909),(6 3967073.8),(7 5087041.5),(8 6250433),(9 7425382),(10 8558364),(11 9640428),(12 10605221),(13 11417996),(14 12067758),(15 12537124),(16 12815012),(17 12921387),(18 12869649),(19 12649492),(20 12352340),(21 12017924),(22 11641996),(23 11259521),(24 10869319),(25 10482295),(26 10106479),(27 9783764),(28 9467678),(29 9189565),(30 8934750),(31 8692021),(32 8484956),(33 8299962.5),(34 8117200),(35 7941049),(36 7781006),(37 7636442),(38 7499752),(39 7366500.5),(40 7216248),(41 7113992),(42 7044241.5),(43 7010292),(44 7015914),(45 7067381.5),(46 7147248),(47 7309483.5),(48 7532459.5),(49 7784383),(50 8111139.5),(51 8498119),(52 8922226),(53 9360442),(54 9792820),(55 10233220),(56 10648898),(57 11044520),(58 11394513),(59 11672043),(60 11895927),(61 12077246),(62 12172382),(63 12204232),(64 12172036),(65 12087023),(66 11950800),(67 11762633),(68 11542642),(69 11299753),(70 11040236),(71 10821204),(72 10624523),(73 10452114),(74 10317642),(75 10217721),(76 10142359),(77 10118492),(78 10142350),(79 10212807),
(1 106355.49),(2 402837.13),(3 864341.44),(4 1465877.4),(5 2177057.8),(6 2978172.8),(7 3819521.5),(8 4696372.5),(9 5583841),(10 6443536),(11 7259508),(12 8001054),(13 8658156),(14 9208580),(15 9645370),(16 9961858),(17 10192939),(18 10299197),(19 10277443),(20 10161713),(21 9955753),(22 9696838),(23 9415151),(24 9075698),(25 8721411),(26 8353804),(27 8018210),(28 7709493.5),(29 7430475),(30 7170957),(31 6944352),(32 6749039.5),(33 6596580),(34 6489365.5),(35 6405798),(36 6355914.5),(37 6357075),(38 6380880),(39 6437535),(40 6516846),(41 6642522.5),(42 6795612),(43 6989680),(44 7204785),(45 7464149.5),(46 7741791.5),(47 8036184.5),(48 8337321.5),(49 8614880),(50 8867071),(51 9094181),(52 9264312),(53 9396654),(54 9455620),(55 9448394),(56 9398394),(57 9293178),(58 9144271),(59 8972047),(60 8793968),(61 8614886),(62 8448754),(63 8317287.5),(64 8228804.5),(65 8215705.5),(66 8245297),(67 8277775),(68 8335222.5),(69 8437234),(70 8571774),(71 8731353),(72 8932936),(73 9122059),(74 9293480),(75 9445141),(76 9559124),(77 9644756),(78 9703983),(79 9726688),
