1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 104747.79),(2 236663.55),(3 385267.84),(4 718210),(5 1047706.5),(6 1373988.1),(7 1870697.5),(8 2343910),(9 2816630.3),(10 3405556),(11 3922378),(12 4425024.5),(13 5051971.5),(14 5549501.5),(15 6052069.5),(16 6662482.5),(17 7124172.5),(18 7547378.5),(19 8089158.5),(20 8531408),(21 8963771),(22 9421169),(23 9750088),(24 10039847),(25 10436159),(26 10691928),(27 10983015),(28 11488704),(29 11825136),(30 12150685),(31 12661912),(32 13007036),(33 13465712),(34 14016339),(35 14488280),(36 15037520),(37 15714141),(38 16281623),(39 16861874),(40 17606192),(41 18281540),(42 19054462),(43 19922592),(44 20505374),(45 21148342),(46 21721266),(47 22099762),(48 22568696),(49 22963824),(50 23110816),(51 23528800),(52 23943600),(53 24219402),(54 24761248),(55 25259792),(56 25519856),(57 26072176),(58 26500688),(59 26725104),(60 27139878),(61 27663662),(62 27961646),(63 28408048),(64 28804526),(65 29077354),(66 29644190),(67 30251696),(68 30767306),(69 31542712),(70 32246606),(71 32905968),(72 33802796),(73 34688100),(74 35400548),(75 36349460),(76 37225860),(77 38171924),(78 39390484),(79 40672000),
(1 76952.82),(2 258828.88),(3 523658.3),(4 920162.5),(5 1392111.3),(6 1901903.6),(7 2533743.3),(8 3225154.5),(9 3925927.3),(10 4711973),(11 5516325),(12 6325702.5),(13 7196249.5),(14 8004204),(15 8816466),(16 9660166),(17 10499480),(18 11377205),(19 12311684),(20 13274437),(21 14184502),(22 15054600),(23 15975206),(24 16824940),(25 17735246),(26 18639216),(27 19500166),(28 20458614),(29 21362838),(30 22305154),(31 23342860),(32 24259548),(33 25199730),(34 26198908),(35 27116538),(36 27979446),(37 28869280),(38 29723632),(39 30464742),(40 31245350),(41 31883844),(42 32393434),(43 32889914),(44 33245376),(45 33540692),(46 33841024),(47 34097900),(48 34356532),(49 34645270),(50 34897052),(51 35084948),(52 35225864),(53 35426536),(54 35601068),(55 35795676),(56 35979004),(57 36134490),(58 36352984),(59 36534480),(60 36730550),(61 37015092),(62 37433588),(63 37998076),(64 38579880),(65 39202796),(66 39850870),(67 40659028),(68 41527176),(69 42387540),(70 43234490),(71 44112960),(72 44978424),(73 45899370),(74 46722200),(75 47635012),(76 48526390),(77 49474856),(78 50532950),(79 51629180),
(1 65946.5),(2 236500.75),(3 498943.13),(4 852609.8),(5 1292308.9),(6 1776782.5),(7 2355175),(8 2987207),(9 3653677.3),(10 4360796.5),(11 5100818),(12 5857249.5),(13 6618236),(14 7385316.5),(15 8159021.5),(16 8968847),(17 9826876),(18 10727084),(19 11720403),(20 12771853),(21 13865301),(22 14963656),(23 16177819),(24 17447946),(25 18799662),(26 20166078),(27 21594920),(28 23033802),(29 24532560),(30 26044808),(31 27563994),(32 29076342),(33 30613472),(34 32120258),(35 33555524),(36 34904660),(37 36183844),(38 37390796),(39 38463004),(40 39387504),(41 40189268),(42 40827104),(43 41312812),(44 41679892),(45 41920064),(46 42080324),(47 42299796),(48 42476356),(49 42664070),(50 42852020),(51 42987908),(52 43091164),(53 43296864),(54 43444588),(55 43514670),(56 43554140),(57 43530132),(58 43384640),(59 43196676),(60 42952252),(61 42744864),(62 42712030),(63 42764056),(64 42763692),(65 42792210),(66 42714176),(67 42668536),(68 42624588),(69 42490420),(70 42263900),(71 42067064),(72 41784400),(73 41356372),(74 40843200),(75 40296540),(76 39725108),(77 39265636),(78 38829790),(79 38487108),
(1 52667.625),(2 187642.61),(3 397680.94),(4 685930.7),(5 1052476.6),(6 1471187.1),(7 1974632.9),(8 2528833.8),(9 3104526.5),(10 3751711.5),(11 4444112),(12 5123945.5),(13 5851910),(14 6564998),(15 7272806),(16 7993945),(17 8713755),(18 9465461),(19 10237583),(20 11010784),(21 11769493),(22 12543381),(23 13362688),(24 14111586),(25 14909457),(26 15710114),(27 16475319),(28 17248378),(29 17959816),(30 18600136),(31 19236256),(32 19808282),(33 20374078),(34 21003138),(35 21629898),(36 22239294),(37 22881080),(38 23554046),(39 24166544),(40 24815196),(41 25455470),(42 25949728),(43 26379196),(44 26741558),(45 26999210),(46 27238254),(47 27486602),(48 27643588),(49 27746120),(50 27857934),(51 28000278),(52 28063940),(53 28154464),(54 28222952),(55 28234204),(56 28178926),(57 28112818),(58 27989730),(59 27791352),(60 27570422),(61 27295118),(62 27029674),(63 26753252),(64 26425368),(65 26108274),(66 25784650),(67 25460650),(68 25115798),(69 24751296),(70 24370880),(71 23941560),(72 23495010),(73 23007336),(74 22483196),(75 21982644),(76 21490134),(77 21014638),(78 20574582),(79 20158570),
(1 88178.47),(2 328377.53),(3 706546.06),(4 1232756.9),(5 1888040.8),(6 2640700.3),(7 3540029.5),(8 4553509),(9 5650235),(10 6862334.5),(11 8167131),(12 9537949),(13 10990777),(14 12413094),(15 13826403),(16 15208790),(17 16581177),(18 17950088),(19 19258938),(20 20507558),(21 21698910),(22 22800354),(23 23868076),(24 24768904),(25 25558562),(26 26203782),(27 26688450),(28 27016980),(29 27182680),(30 27195224),(31 27082206),(32 26797202),(33 26386526),(34 25930740),(35 25398708),(36 24830810),(37 24246814),(38 23619936),(39 22977530),(40 22323374),(41 21661042),(42 20977106),(43 20345616),(44 19749862),(45 19178884),(46 18672820),(47 18268306),(48 17895592),(49 17609042),(50 17426068),(51 17343802),(52 17333714),(53 17451784),(54 17686602),(55 18002930),(56 18391528),(57 18856094),(58 19381304),(59 19921626),(60 20507840),(61 21119086),(62 21727918),(63 22324070),(64 22895144),(65 23451230),(66 23960556),(67 24464838),(68 24974586),(69 25450974),(70 25891810),(71 26284232),(72 26604450),(73 26850248),(74 26977108),(75 26987852),(76 26911034),(77 26721236),(78 26455276),(79 26128972),
(1 178367.73),(2 680711.1),(3 1489669.3),(4 2620556.5),(5 4048255.5),(6 5696099),(7 7634700),(8 9814014),(9 12144133),(10 14652094),(11 17296454),(12 20008890),(13 22837464),(14 25630460),(15 28379440),(16 31016486),(17 33617450),(18 36124550),(19 38418636),(20 40531810),(21 42462412),(22 44126984),(23 45573930),(24 46693944),(25 47528428),(26 47974850),(27 48103452),(28 47788396),(29 47169452),(30 46349196),(31 45258176),(32 43966890),(33 42418650),(34 40701748),(35 38837144),(36 36928620),(37 34974464),(38 32970810),(39 31068180),(40 29117332),(41 27250336),(42 25535630),(43 23942662),(44 22508240),(45 21367012),(46 20489908),(47 19847534),(48 19461990),(49 19395716),(50 19581408),(51 20031968),(52 20708772),(53 21633872),(54 22762510),(55 24037414),(56 25438340),(57 26999092),(58 28661744),(59 30402892),(60 32189248),(61 33941984),(62 35650170),(63 37284770),(64 38776410),(65 40152320),(66 41291270),(67 42224920),(68 42989520),(69 43541464),(70 43861076),(71 44013756),(72 43913430),(73 43612184),(74 43044716),(75 42203800),(76 41202950),(77 40043724),(78 38747584),(79 37308796),
(1 163305.66),(2 626258.25),(3 1359608.9),(4 2368944),(5 3623000.3),(6 5052551),(7 6694823),(8 8481854),(9 10320192),(10 12269194),(11 14246271),(12 16216135),(13 18153728),(14 19943338),(15 21654112),(16 23242536),(17 24679618),(18 25936078),(19 26971314),(20 27836020),(21 28535668),(22 29037212),(23 29418830),(24 29654178),(25 29747980),(26 29662262),(27 29441170),(28 29022604),(29 28488094),(30 27857064),(31 27125186),(32 26311512),(33 25420344),(34 24502148),(35 23581102),(36 22648680),(37 21732552),(38 20847508),(39 20027964),(40 19221112),(41 18517454),(42 17855640),(43 17289316),(44 16806046),(45 16441004),(46 16214601),(47 16094618),(48 16102352),(49 16292395),(50 16620017),(51 17095146),(52 17709136),(53 18440972),(54 19278214),(55 20176806),(56 21109532),(57 22187346),(58 23334532),(59 24538332),(60 25748330),(61 26944278),(62 28077996),(63 29135534),(64 30137984),(65 31025432),(66 31727346),(67 32320096),(68 32774684),(69 33079222),(70 33201298),(71 33206134),(72 33055932),(73 32794850),(74 32351716),(75 31745632),(76 31003316),(77 30188082),(78 29329800),(79 28425246),
(1 151983.53),(2 579612.7),(3 1249170.1),(4 2144106),(5 3245802.8),(6 4506009.5),(7 5944043.5),(8 7484283.5),(9 9054954),(10 10687458),(11 12310364),(12 13905769),(13 15473376),(14 16886806),(15 18208522),(16 19417076),(17 20471326),(18 21300866),(19 21946034),(20 22423062),(21 22724202),(22 22834798),(23 22850922),(24 22697916),(25 22436164),(26 22058340),(27 21540384),(28 20927038),(29 20238972),(30 19504010),(31 18784298),(32 18018298),(33 17274248),(34 16586797),(35 15933017),(36 15312179),(37 14755806),(38 14241617),(39 13788454),(40 13396565),(41 13098210),(42 12863139),(43 12738454),(44 12701301),(45 12767686),(46 12940051),(47 13184905),(48 13471998),(49 13831407),(50 14283502),(51 14846400),(52 15474639),(53 16184866),(54 16910428),(55 17683924),(56 18466658),(57 19319886),(58 20163180),(59 20974742),(60 21705420),(61 22365396),(62 22951858),(63 23452824),(64 23844308),(65 24117166),(66 24244124),(67 24254044),(68 24148416),(69 23929248),(70 23597572),(71 23192388),(72 22736392),(73 22240744),(74 21663742),(75 21051140),(76 20393400),(77 19728026),(78 19073710),(79 18461606),
(1 145213.86),(2 547706.2),(3 1167080.5),(4 2001692.8),(5 3009025),(6 4108273),(7 5337684),(8 6623951),(9 7885041),(10 9157856),(11 10362912),(12 11457696),(13 12472533),(14 13319575),(15 14026127),(16 14582144),(17 14980710),(18 15188994),(19 15243680),(20 15189282),(21 15030383),(22 14782447),(23 14536525),(24 14226507),(25 13959851),(26 13696247),(27 13413805),(28 13154876),(29 12912463),(30 12714335),(31 12602514),(32 12528399),(33 12508863),(34 12584943),(35 12717773),(36 12859304),(37 13019082),(38 13182694),(39 13327659),(40 13421549),(41 13463228),(42 13472363),(43 13421041),(44 13299392),(45 13122012),(46 12893192),(47 12604444),(48 12256450),(49 11878118),(50 11510290),(51 11173024),(52 10888126),(53 10653649),(54 10458375),(55 10342137),(56 10286657),(57 10315846),(58 10418767),(59 10584928),(60 10781655),(61 11059093),(62 11379502),(63 11703379),(64 12082114),(65 12489350),(66 12860608),(67 13190632),(68 13490664),(69 13724962),(70 13906506),(71 14031080),(72 14093368),(73 14121649),(74 14051768),(75 13912257),(76 13678123),(77 13381656),(78 12976021),(79 12503930),
(1 134246.7),(2 509188.5),(3 1083555.8),(4 1840238.8),(5 2751678.3),(6 3744039),(7 4858394),(8 6053277.5),(9 7261138),(10 8512228),(11 9738898),(12 10887676),(13 11940084),(14 12842693),(15 13614871),(16 14193509),(17 14569549),(18 14773513),(19 14788831),(20 14649582),(21 14374604),(22 13984555),(23 13506628),(24 12954580),(25 12366860),(26 11736860),(27 11081388),(28 10415904),(29 9799876),(30 9253334),(31 8781229),(32 8397598),(33 8100544),(34 7909652.5),(35 7835737),(36 7870106),(37 8033262),(38 8305878),(39 8649703),(40 9067453),(41 9534020),(42 10012736),(43 10494153),(44 10926545),(45 11266326),(46 11534928),(47 11744195),(48 11838105),(49 11830228),(50 11739268),(51 11592753),(52 11415880),(53 11177300),(54 10912444),(55 10670057),(56 10455918),(57 10270876),(58 10141580),(59 10058541),(60 9993369),(61 9962677),(62 9977194),(63 10008542),(64 10070497),(65 10148857),(66 10251965),(67 10367450),(68 10453002),(69 10522895),(70 10557772),(71 10560313),(72 10562859),(73 10585779),(74 10616318),(75 10666676),(76 10717563),(77 10783786),(78 10815807),(79 10821876),
(1 132352.47),(2 502476.72),(3 1071157),(4 1815595.3),(5 2700408.3),(6 3651838),(7 4668656.5),(8 5694491),(9 6648771),(10 7549420),(11 8380080),(12 9098944),(13 9694131),(14 10144703),(15 10482744),(16 10686394),(17 10798108),(18 10840812),(19 10804118),(20 10726280),(21 10614238),(22 10504336),(23 10430716),(24 10397956),(25 10423292),(26 10519185),(27 10658077),(28 10829841),(29 11031784),(30 11246460),(31 11463583),(32 11639694),(33 11763668),(34 11855032),(35 11880355),(36 11844676),(37 11752651),(38 11604060),(39 11385692),(40 11154017),(41 10887241),(42 10597725),(43 10322294),(44 10040380),(45 9788647),(46 9552203),(47 9332994),(48 9124909),(49 8926914),(50 8772704),(51 8684382),(52 8660220),(53 8678648),(54 8727170),(55 8796452),(56 8874492),(57 8971090),(58 9054671),(59 9112565),(60 9160016),(61 9196199),(62 9217944),(63 9238472),(64 9276407),(65 9328718),(66 9391880),(67 9465251),(68 9523787),(69 9566159),(70 9579729),(71 9568721),(72 9542936),(73 9504181),(74 9430193),(75 9334831),(76 9224350),(77 9096654),(78 8948321),(79 8788312),
