1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 93822.805),(2 222231.89),(3 395761.4),(4 708367.2),(5 1061008.1),(6 1471751.1),(7 2043124.4),(8 2666895),(9 3258941.8),(10 3909653.3),(11 4628752),(12 5336209),(13 6204680.5),(14 7215228),(15 8229257.5),(16 9406180),(17 10631889),(18 11785389),(19 13015992),(20 14215219),(21 15294547),(22 16540161),(23 17845830),(24 19034534),(25 20300568),(26 21612724),(27 22910042),(28 24241018),(29 25592630),(30 26951160),(31 28410912),(32 29892848),(33 31369184),(34 32717838),(35 33871680),(36 34842524),(37 35801900),(38 36573070),(39 37367380),(40 38245076),(41 38977524),(42 39761524),(43 40766036),(44 41603900),(45 42504044),(46 43542148),(47 44453516),(48 45228544),(49 45895204),(50 46220624),(51 46454108),(52 46503364),(53 46336910),(54 46139948),(55 45901012),(56 45489520),(57 45434604),(58 45406028),(59 45371812),(60 45635332),(61 46086252),(62 46414132),(63 46990780),(64 47244510),(65 47341300),(66 47275020),(67 47209600),(68 46826784),(69 46486044),(70 46301500),(71 46009156),(72 45684292),(73 45699970),(74 45608764),(75 45809204),(76 46355756),(77 46711532),(78 47120670),(79 47654976),
(1 80387.164),(2 280541.8),(3 589445.4),(4 1048721.5),(5 1627769.8),(6 2340775.3),(7 3168057.3),(8 4171048.5),(9 5254888.5),(10 6429232),(11 7727343),(12 9154475),(13 10660866),(14 12322033),(15 14025531),(16 15768968),(17 17658794),(18 19485260),(19 21292576),(20 23088342),(21 24860008),(22 26699116),(23 28670144),(24 30609940),(25 32499136),(26 34516532),(27 36593228),(28 38541540),(29 40540044),(30 42591130),(31 44499776),(32 46475720),(33 48393850),(34 49993990),(35 51513660),(36 52902776),(37 54392544),(38 55773900),(39 57124936),(40 58384130),(41 59618996),(42 60949516),(43 62333656),(44 63369450),(45 64386240),(46 65386484),(47 66169256),(48 66750540),(49 67123120),(50 67193416),(51 67059796),(52 66918708),(53 66676544),(54 66229370),(55 65872936),(56 65442110),(57 64991680),(58 64621364),(59 64179040),(60 63687230),(61 63542904),(62 63315776),(63 63005016),(64 62737320),(65 62406412),(66 62072640),(67 61921804),(68 61590900),(69 61255284),(70 61102132),(71 60857844),(72 60674570),(73 60691970),(74 60568984),(75 60654600),(76 60945730),(77 60951732),(78 60994892),(79 61138840),
(1 70206.516),(2 256139.02),(3 534766.25),(4 911458),(5 1366632),(6 1883864.6),(7 2478428.3),(8 3177674.3),(9 3929131),(10 4778864),(11 5713265.5),(12 6685905.5),(13 7739360),(14 8882845),(15 10134997),(16 11427853),(17 12753267),(18 14082901),(19 15404887),(20 16694272),(21 17994954),(22 19347542),(23 20782654),(24 22230992),(25 23776430),(26 25405826),(27 27196498),(28 29040256),(29 30935802),(30 32851514),(31 34822996),(32 36821708),(33 38887520),(34 40815028),(35 42693696),(36 44510116),(37 46534964),(38 48489300),(39 50478252),(40 52395744),(41 54367316),(42 56469964),(43 58717228),(44 60812660),(45 62905230),(46 64915956),(47 66854336),(48 68659990),(49 70406280),(50 71809864),(51 73065224),(52 74248584),(53 75172136),(54 75816570),(55 76320120),(56 76634840),(57 76774664),(58 76633690),(59 76324856),(60 75923400),(61 75469640),(62 74757530),(63 73978536),(64 72993304),(65 71860570),(66 70565430),(67 69165190),(68 67467416),(69 65579860),(70 63486880),(71 61394996),(72 59255040),(73 57000190),(74 54718290),(75 52485600),(76 50235024),(77 47994772),(78 45879068),(79 43904732),
(1 59904.27),(2 227408.48),(3 481390.34),(4 827605.3),(5 1258537.6),(6 1786117.5),(7 2414897.8),(8 3123938.8),(9 3873762.8),(10 4653001.5),(11 5475357.5),(12 6321955.5),(13 7178897),(14 8131082),(15 9094786),(16 10014435),(17 10930579),(18 11802254),(19 12657898),(20 13478583),(21 14269995),(22 15031812),(23 15764841),(24 16485870),(25 17148264),(26 17793678),(27 18457112),(28 19073924),(29 19634202),(30 20173208),(31 20683070),(32 21237708),(33 21792682),(34 22275770),(35 22741514),(36 23172960),(37 23596974),(38 24021976),(39 24485418),(40 24982634),(41 25541816),(42 26144040),(43 26822238),(44 27476928),(45 28099102),(46 28708462),(47 29394492),(48 30020758),(49 30642646),(50 31262408),(51 31822344),(52 32376470),(53 32806712),(54 33087118),(55 33317816),(56 33447288),(57 33533088),(58 33528682),(59 33423716),(60 33322730),(61 33167146),(62 32946696),(63 32781142),(64 32570936),(65 32336526),(66 32080896),(67 31787132),(68 31396650),(69 31008370),(70 30577966),(71 30149412),(72 29712368),(73 29267048),(74 28806916),(75 28434044),(76 28147172),(77 27965318),(78 27887088),(79 27909660),
(1 57665.586),(2 223747.27),(3 481766.9),(4 843893.6),(5 1307126.9),(6 1867050),(7 2522353),(8 3272433.5),(9 4062906.3),(10 4911485),(11 5817341.5),(12 6748532.5),(13 7689011),(14 8699615),(15 9700087),(16 10694410),(17 11685536),(18 12643511),(19 13602554),(20 14532915),(21 15435552),(22 16343505),(23 17270318),(24 18156902),(25 19015570),(26 19869284),(27 20674258),(28 21419808),(29 22151162),(30 22834602),(31 23511346),(32 24224114),(33 24993256),(34 25701778),(35 26388346),(36 27027112),(37 27701172),(38 28377874),(39 29030772),(40 29724040),(41 30496026),(42 31320024),(43 32183842),(44 32982856),(45 33726320),(46 34408110),(47 35090812),(48 35664124),(49 36185108),(50 36594428),(51 36868356),(52 37071836),(53 37135416),(54 37036080),(55 36847108),(56 36530880),(57 36281540),(58 35909350),(59 35387116),(60 34881870),(61 34309224),(62 33650036),(63 33073490),(64 32491438),(65 31901090),(66 31326424),(67 30774514),(68 30187450),(69 29650990),(70 29126558),(71 28659124),(72 28273638),(73 27939066),(74 27642976),(75 27450910),(76 27358376),(77 27321480),(78 27288104),(79 27328712),
(1 90182.66),(2 345977.13),(3 756683.4),(4 1310210.3),(5 1993816),(6 2796809.5),(7 3703843.5),(8 4699440),(9 5725199),(10 6781397),(11 7874256),(12 8958507),(13 9989543),(14 10962683),(15 11839043),(16 12633556),(17 13333046),(18 13928205),(19 14429701),(20 14862307),(21 15252579),(22 15635819),(23 15988424),(24 16310374),(25 16610878),(26 16901630),(27 17230492),(28 17543306),(29 17838522),(30 18140722),(31 18449612),(32 18782358),(33 19157408),(34 19514068),(35 19889258),(36 20290276),(37 20735420),(38 21176996),(39 21638406),(40 22116828),(41 22588154),(42 23070972),(43 23562950),(44 24010532),(45 24448132),(46 24809612),(47 25123884),(48 25349660),(49 25472758),(50 25504646),(51 25459224),(52 25301020),(53 25058362),(54 24751980),(55 24406940),(56 23985676),(57 23589470),(58 23217072),(59 22824372),(60 22450176),(61 22170108),(62 21914432),(63 21767324),(64 21747420),(65 21787334),(66 21899812),(67 22122604),(68 22428836),(69 22818646),(70 23286574),(71 23776444),(72 24282554),(73 24805546),(74 25288116),(75 25814936),(76 26366830),(77 26912080),(78 27403994),(79 27854356),
(1 180169.08),(2 702943.7),(3 1545396.5),(4 2695511.8),(5 4101610.5),(6 5735643.5),(7 7528543.5),(8 9435429),(9 11330965),(10 13213925),(11 15047611),(12 16684802),(13 18066818),(14 19236094),(15 20132560),(16 20757578),(17 21163446),(18 21297068),(19 21224566),(20 20962158),(21 20539022),(22 19933518),(23 19192104),(24 18312830),(25 17357354),(26 16353497),(27 15442720),(28 14625136),(29 13941071),(30 13439660),(31 13107199),(32 12972218),(33 13032242),(34 13231515),(35 13580375),(36 14061919),(37 14644345),(38 15293844),(39 16001440),(40 16752660),(41 17542970),(42 18373818),(43 19202780),(44 19979936),(45 20744228),(46 21399474),(47 21990724),(48 22479650),(49 22832406),(50 23016810),(51 23041998),(52 22955332),(53 22730176),(54 22327956),(55 21870454),(56 21362520),(57 20841330),(58 20357276),(59 19850112),(60 19359448),(61 19018730),(62 18788230),(63 18667054),(64 18694472),(65 18937196),(66 19358210),(67 19990610),(68 20753770),(69 21645554),(70 22663808),(71 23763584),(72 24946710),(73 26240472),(74 27532356),(75 28927040),(76 30361374),(77 31773896),(78 33099772),(79 34262664),
(1 290718.63),(2 1137967.5),(3 2504472),(4 4361283.5),(5 6605888.5),(6 9207910),(7 12044929),(8 15066681),(9 18144960),(10 21179298),(11 24107420),(12 26784632),(13 29096102),(14 31062018),(15 32605272),(16 33665964),(17 34340424),(18 34557228),(19 34299480),(20 33591270),(21 32450660),(22 31005960),(23 29283346),(24 27281288),(25 25137322),(26 22891686),(27 20717748),(28 18638344),(29 16766017),(30 15182414),(31 13912013),(32 12987865),(33 12444211),(34 12235900),(35 12361322),(36 12783740),(37 13462882),(38 14340442),(39 15417853),(40 16604682),(41 17877774),(42 19224858),(43 20632406),(44 22005340),(45 23362402),(46 24615982),(47 25737084),(48 26736622),(49 27619116),(50 28341308),(51 28924804),(52 29402232),(53 29698642),(54 29791986),(55 29725368),(56 29511990),(57 29150050),(58 28659982),(59 28031980),(60 27326912),(61 26545570),(62 25703608),(63 24876876),(64 24019630),(65 23162860),(66 22337830),(67 21566498),(68 20847982),(69 20225924),(70 19693468),(71 19294894),(72 19063720),(73 18994330),(74 19086362),(75 19387342),(76 19854798),(77 20474474),(78 21226772),(79 22052570),
(1 242704.34),(2 959519.9),(3 2124691),(4 3725687.5),(5 5667240.5),(6 7918952.5),(7 10346263),(8 12890276),(9 15406566),(10 17785290),(11 19979184),(12 21880184),(13 23347780),(14 24451216),(15 25088126),(16 25308706),(17 25163158),(18 24672516),(19 23826564),(20 22710896),(21 21333874),(22 19843334),(23 18305532),(24 16740168),(25 15301681),(26 13961449),(27 12804403),(28 11875723),(29 11169027),(30 10753468),(31 10635448),(32 10709442),(33 11033381),(34 11527714),(35 12133577),(36 12864152),(37 13672679),(38 14479782),(39 15266647),(40 15971578),(41 16587671),(42 17137840),(43 17568354),(44 17839804),(45 17925504),(46 17822944),(47 17608436),(48 17330260),(49 17034800),(50 16756582),(51 16506498),(52 16276329),(53 16124198),(54 16019219),(55 15975238),(56 15974125),(57 16030404),(58 16124073),(59 16259025),(60 16438020),(61 16655503),(62 16840638),(63 16972110),(64 16997398),(65 16951454),(66 16857264),(67 16700668),(68 16457154),(69 16183014),(70 15843100),(71 15451842),(72 15037341),(73 14659901),(74 14314580),(75 14030379),(76 13804582),(77 13693128),(78 13698701),(79 13827533),
(1 165306.95),(2 648943.25),(3 1424263.4),(4 2473257.8),(5 3732353),(6 5179724),(7 6737709.5),(8 8332541.5),(9 9852187),(10 11264895),(11 12526080),(12 13583835),(13 14367226),(14 14888852),(15 15116263),(16 15068014),(17 14788368),(18 14340105),(19 13722555),(20 12982076),(21 12149275),(22 11295031),(23 10468626),(24 9703461),(25 9063614),(26 8552878),(27 8176604.5),(28 7948120),(29 7873578.5),(30 7978956.5),(31 8244469.5),(32 8620281),(33 9101309),(34 9636347),(35 10211700),(36 10841865),(37 11490369),(38 12102224),(39 12668317),(40 13124470),(41 13498050),(42 13848828),(43 14135260),(44 14303217),(45 14391727),(46 14360709),(47 14258865),(48 14139770),(49 14005458),(50 13841104),(51 13650824),(52 13456052),(53 13266372),(54 13090860),(55 12932040),(56 12770273),(57 12627506),(58 12475141),(59 12279792),(60 12068404),(61 11905140),(62 11750507),(63 11584308),(64 11389411),(65 11207412),(66 11066389),(67 10942693),(68 10850350),(69 10791121),(70 10799244),(71 10881357),(72 11046901),(73 11272124),(74 11543314),(75 11859097),(76 12202537),(77 12597294),(78 13045300),(79 13520091),
(1 208854.44),(2 823513.7),(3 1814466.5),(4 3164738),(5 4778980),(6 6631496),(7 8581013),(8 10573897),(9 12499705),(10 14282771),(11 15834878),(12 17087308),(13 17980908),(14 18592456),(15 18863052),(16 18811362),(17 18508258),(18 17978534),(19 17251686),(20 16361227),(21 15332276),(22 14280508),(23 13263160),(24 12270458),(25 11383903),(26 10602891),(27 9988659),(28 9497867),(29 9168094),(30 9024410),(31 9055498),(32 9240458),(33 9602704),(34 10113190),(35 10787689),(36 11596402),(37 12512056),(38 13491286),(39 14528058),(40 15487712),(41 16391614),(42 17281780),(43 18080728),(44 18723980),(45 19261624),(46 19624664),(47 19801872),(48 19797698),(49 19642134),(50 19321870),(51 18859336),(52 18235498),(53 17470342),(54 16592456),(55 15607175),(56 14517204),(57 13419312),(58 12318362),(59 11276983),(60 10380856),(61 9636555),(62 9101487),(63 8793798),(64 8710071),(65 8875658),(66 9295634),(67 9946608),(68 10759040),(69 11675194),(70 12693672),(71 13725525),(72 14731605),(73 15633940),(74 16388851),(75 16937334),(76 17206474),(77 17212190),(78 16972958),(79 16527891),
