1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1087828.6),(2 4169207),(3 9340661),(4 16359069),(5 25122990),(6 35509950),(7 47940000),(8 62020124),(9 78041650),(10 95612170),(11 114798360),(12 135389150),(13 157398450),(14 180390480),(15 204188080),(16 228769400),(17 253992590),(18 279867100),(19 306258400),(20 332859140),(21 359076450),(22 382386530),(23 403847260),(24 422187870),(25 438652000),(26 452398500),(27 463799650),(28 472675170),(29 479061900),(30 482726500),(31 483772030),(32 482097820),(33 478260700),(34 471902560),(35 463472030),(36 453016320),(37 440466270),(38 426461860),(39 410483800),(40 392439070),(41 372906080),(42 352212640),(43 331913700),(44 312899840),(45 295720300),(46 280189730),(47 266544530),(48 254677460),(49 244571820),(50 235729710),(51 227992320),(52 221322750),(53 215789360),(54 210725650),(55 206389500),(56 202674100),(57 199531440),(58 196762100),(59 193965040),(60 191404780),(61 189125840),(62 187229230),(63 185864560),(64 185543500),(65 185267250),(66 185345550),(67 185680460),(68 186733570),(69 187647980),(70 188664430),(71 189609330),(72 190415940),(73 190857730),(74 191252560),(75 191322100),(76 191389650),(77 191222340),(78 190920370),(79 190304830),
(1 1023097),(2 4033700),(3 9069720),(4 15948218),(5 24648736),(6 35078236),(7 47445396),(8 61386650),(9 76908136),(10 93782100),(11 111954690),(12 131341976),(13 151842270),(14 173052370),(15 194579040),(16 216225120),(17 238139490),(18 260093740),(19 282138180),(20 303905700),(21 325663260),(22 346153000),(23 365895400),(24 383812900),(25 400922850),(26 416588580),(27 430897100),(28 443457600),(29 454037500),(30 462802080),(31 470212200),(32 475857470),(33 479960670),(34 482625020),(35 483705540),(36 483582820),(37 482577000),(38 480314560),(39 476546980),(40 471240770),(41 464951200),(42 457659460),(43 450269380),(44 443001020),(45 436335260),(46 429977760),(47 424188450),(48 419142720),(49 414758500),(50 410865920),(51 407062720),(52 403485540),(53 400125630),(54 396515740),(55 392957700),(56 389471580),(57 385802940),(58 381899330),(59 377678270),(60 373440100),(61 369279140),(62 365037570),(63 360601500),(64 356603740),(65 352704600),(66 349114720),(67 345702980),(68 342431140),(69 339326880),(70 336286370),(71 333211230),(72 329818140),(73 326317340),(74 322586980),(75 318430500),(76 313958340),(77 309150700),(78 304199500),(79 298913000),
(1 934690.44),(2 3666796.8),(3 8225637.5),(4 14430877),(5 22264078),(6 31605640),(7 42479304),(8 54575810),(9 67932190),(10 82324424),(11 97746070),(12 114042140),(13 131179880),(14 148800200),(15 166765200),(16 184680450),(17 202486200),(18 220072580),(19 237157760),(20 253641650),(21 270275140),(22 287022430),(23 304428030),(24 320908130),(25 336997950),(26 352529500),(27 367232860),(28 380865900),(29 392923300),(30 403484500),(31 412960930),(32 420658340),(33 426982140),(34 431836670),(35 435099140),(36 437065950),(37 438119800),(38 437711000),(39 435718180),(40 432360200),(41 428050200),(42 422196220),(43 415306600),(44 407477860),(45 398991070),(46 390276740),(47 381449950),(48 372732540),(49 364034660),(50 355718370),(51 347820160),(52 340118620),(53 333002430),(54 326371330),(55 320291360),(56 315094370),(57 310294100),(58 306133600),(59 302561060),(60 299798180),(61 297791870),(62 296243680),(63 295370080),(64 295011680),(65 294973020),(66 295423740),(67 296045860),(68 296910460),(69 297681760),(70 298473860),(71 299125380),(72 299382880),(73 299502880),(74 299378940),(75 298931740),(76 298045920),(77 296662900),(78 294985700),(79 292761860),
(1 635718.1),(2 2475461),(3 5469627.5),(4 9533220),(5 14554940),(6 20466520),(7 27280082),(8 34746564),(9 42760184),(10 51188430),(11 59851264),(12 68741890),(13 77721290),(14 86631890),(15 95337770),(16 103730250),(17 111641130),(18 119126600),(19 125945380),(20 132102310),(21 137925700),(22 143705220),(23 149709940),(24 155488110),(25 161140910),(26 166690560),(27 172100160),(28 177139070),(29 181643090),(30 185819140),(31 189624640),(32 193088620),(33 195992140),(34 198418500),(35 200488900),(36 202293680),(37 203925120),(38 205155060),(39 206193000),(40 206979580),(41 207492600),(42 207669820),(43 207156660),(44 206179500),(45 204703890),(46 202946020),(47 200831980),(48 198377440),(49 195564800),(50 192467120),(51 189198340),(52 185688900),(53 182005650),(54 178285420),(55 174520580),(56 170790770),(57 167214140),(58 163881920),(59 160760260),(60 157891970),(61 155310670),(62 153138830),(63 151327150),(64 150028020),(65 149171600),(66 148735460),(67 148728780),(68 149117570),(69 149876430),(70 150866830),(71 152102580),(72 153548930),(73 155104000),(74 156664750),(75 158197740),(76 159653180),(77 160889520),(78 161882850),(79 162591490),
(1 508992.63),(2 1994196.4),(3 4405499),(4 7677428.5),(5 11719569),(6 16451281),(7 21851432),(8 27705420),(9 33958052),(10 40543572),(11 47279130),(12 54102850),(13 60903428),(14 67491810),(15 73824430),(16 79790456),(17 85276130),(18 90283064),(19 94661896),(20 98417100),(21 101619660),(22 104436940),(23 107052616),(24 109349304),(25 111368700),(26 113102130),(27 114480136),(28 115467470),(29 115827200),(30 115612510),(31 114945330),(32 113798450),(33 112190840),(34 110246330),(35 108080376),(36 105717970),(37 103252940),(38 100786056),(39 98386504),(40 96068640),(41 93817496),(42 91921290),(43 90285590),(44 88921020),(45 87900960),(46 87272500),(47 86896024),(48 86863850),(49 87027940),(50 87412380),(51 88020730),(52 88759224),(53 89716856),(54 90837000),(55 92013060),(56 93202664),(57 94506810),(58 95819400),(59 97075510),(60 98222980),(61 99423560),(62 100733976),(63 102130270),(64 103624350),(65 105209370),(66 106799620),(67 108570950),(68 110451944),(69 112316650),(70 114192230),(71 116055600),(72 117863864),(73 119585304),(74 121082470),(75 122311940),(76 123296930),(77 123991680),(78 124376350),(79 124381304),
(1 476017.1),(2 1867784),(3 4136437.5),(4 7207176),(5 10976610),(6 15366326),(7 20306844),(8 25640614),(9 31262508),(10 37158452),(11 43100920),(12 49172628),(13 55228504),(14 61087980),(15 66720244),(16 72046296),(17 76920260),(18 81371300),(19 85255280),(20 88525260),(21 91437620),(22 94168790),(23 96889384),(24 99368980),(25 101827290),(26 104103544),(27 106132910),(28 107688080),(29 108765200),(30 109406056),(31 109506750),(32 109182680),(33 108498840),(34 107381140),(35 105933090),(36 104229100),(37 102344296),(38 100288080),(39 98264340),(40 96098240),(41 93927340),(42 91647550),(43 89335620),(44 87087400),(45 85020930),(46 83238950),(47 81775020),(48 80621150),(49 79801600),(50 79274420),(51 79079730),(52 79079660),(53 79483140),(54 80173016),(55 81119700),(56 82301260),(57 83728170),(58 85219140),(59 86819630),(60 88586010),(61 90500180),(62 92550900),(63 94607460),(64 96575920),(65 98501740),(66 100207890),(67 101782290),(68 103041970),(69 104179150),(70 105094850),(71 105873630),(72 106508660),(73 107036050),(74 107372740),(75 107512616),(76 107569190),(77 107358180),(78 106932450),(79 106226900),
(1 352434.28),(2 1360426.9),(3 2940645.3),(4 4997710.5),(5 7438231),(6 10159268),(7 13107424),(8 16195599),(9 19322788),(10 22453954),(11 25536564),(12 28544568),(13 31407972),(14 34155280),(15 36779840),(16 39291184),(17 41627096),(18 43782024),(19 45678790),(20 47274468),(21 48636060),(22 49835376),(23 50892804),(24 51975532),(25 53140080),(26 54353092),(27 55532868),(28 56577476),(29 57378388),(30 57878490),(31 58121060),(32 58142532),(33 57883164),(34 57338190),(35 56582770),(36 55769790),(37 54875560),(38 54036110),(39 53285496),(40 52604700),(41 52004756),(42 51430224),(43 50894892),(44 50376630),(45 49923656),(46 49541784),(47 49238596),(48 48974308),(49 48798892),(50 48680550),(51 48596176),(52 48569344),(53 48585944),(54 48620764),(55 48667004),(56 48662876),(57 48632172),(58 48536364),(59 48407076),(60 48099390),(61 47630840),(62 47109110),(63 46478800),(64 45774610),(65 45097720),(66 44444584),(67 43779132),(68 43136280),(69 42547268),(70 42038268),(71 41587090),(72 41180740),(73 40821516),(74 40496976),(75 40149640),(76 39886668),(77 39586370),(78 39296280),(79 38999920),
(1 283921.1),(2 1078193.5),(3 2283872.5),(4 3807717.8),(5 5542723.5),(6 7405135),(7 9321639),(8 11244054),(9 13118411),(10 14919665),(11 16638533),(12 18300396),(13 19919906),(14 21496502),(15 23010746),(16 24495198),(17 25962130),(18 27463320),(19 28931520),(20 30401570),(21 31801260),(22 33078398),(23 34457336),(24 35957156),(25 37562004),(26 39234484),(27 40844104),(28 42340428),(29 43621844),(30 44595412),(31 45383416),(32 46031164),(33 46467176),(34 46747010),(35 47003570),(36 47164710),(37 47338404),(38 47534188),(39 47712092),(40 47808068),(41 47830090),(42 47758480),(43 47592830),(44 47411636),(45 47161628),(46 46826804),(47 46411944),(48 45908310),(49 45271110),(50 44566100),(51 43848496),(52 43094916),(53 42282452),(54 41550424),(55 40823596),(56 40080070),(57 39357668),(58 38641490),(59 37933636),(60 37243970),(61 36569710),(62 35904360),(63 35270896),(64 34739800),(65 34187590),(66 33628080),(67 33064238),(68 32490406),(69 31881386),(70 31312500),(71 30789756),(72 30381708),(73 30037698),(74 29839282),(75 29753012),(76 29884062),(77 30162414),(78 30538346),(79 31022130),
(1 277418.78),(2 1062895.5),(3 2258909.8),(4 3770130.3),(5 5467782),(6 7278227.5),(7 9109820),(8 10912542),(9 12628983),(10 14226152),(11 15700367),(12 17062312),(13 18344926),(14 19545738),(15 20662996),(16 21671786),(17 22561172),(18 23354366),(19 24062812),(20 24674112),(21 25341344),(22 26157528),(23 27247738),(24 28497708),(25 29928680),(26 31434212),(27 32882180),(28 34192856),(29 35214140),(30 35906210),(31 36302750),(32 36453136),(33 36439220),(34 36277732),(35 36052076),(36 35822372),(37 35633044),(38 35495630),(39 35412236),(40 35341680),(41 35235576),(42 35096764),(43 34896660),(44 34620824),(45 34289840),(46 33887984),(47 33472798),(48 33031504),(49 32574848),(50 32089352),(51 31616670),(52 31146918),(53 30651178),(54 30142312),(55 29594990),(56 29060976),(57 28493312),(58 27951376),(59 27450524),(60 27013798),(61 26644832),(62 26374672),(63 26227106),(64 26243846),(65 26294672),(66 26420408),(67 26606092),(68 26835004),(69 27036142),(70 27244032),(71 27453438),(72 27670562),(73 27870996),(74 28048482),(75 28201864),(76 28349538),(77 28447536),(78 28504912),(79 28513674),
(1 262780.53),(2 996290.25),(3 2098991.3),(4 3456402.8),(5 4937535.5),(6 6454830),(7 7947032),(8 9323932),(9 10604576),(10 11730603),(11 12712844),(12 13568626),(13 14330340),(14 15040412),(15 15722885),(16 16406199),(17 17082892),(18 17717536),(19 18298612),(20 18778980),(21 19192316),(22 19582612),(23 20105216),(24 20813994),(25 21752998),(26 22876312),(27 24052984),(28 25163388),(29 26211314),(30 27047368),(31 27701196),(32 28268936),(33 28736736),(34 29116384),(35 29465930),(36 29753814),(37 29988810),(38 30215196),(39 30378698),(40 30378080),(41 30223064),(42 29894968),(43 29397322),(44 28689466),(45 27882536),(46 27021768),(47 26205148),(48 25477984),(49 24889816),(50 24399858),(51 23983256),(52 23640472),(53 23279118),(54 22885568),(55 22453496),(56 21998052),(57 21525784),(58 21045958),(59 20562522),(60 20124150),(61 19810688),(62 19648352),(63 19688136),(64 19968192),(65 20421384),(66 21041672),(67 21800926),(68 22613288),(69 23429090),(70 24219086),(71 24951866),(72 25574432),(73 26085368),(74 26502288),(75 26815602),(76 27002688),(77 27068046),(78 27017672),(79 26851906),
(1 303847.94),(2 1127849.1),(3 2321291.3),(4 3728379),(5 5181840),(6 6573836.5),(7 7857540.5),(8 8981192),(9 9985980),(10 10856665),(11 11607273),(12 12265451),(13 12831841),(14 13290748),(15 13668310),(16 14007421),(17 14287683),(18 14515308),(19 14710101),(20 14841622),(21 14874515),(22 14829494),(23 14769467),(24 14817429),(25 15004496),(26 15345426),(27 15759793),(28 16205131),(29 16620687),(30 16972642),(31 17349490),(32 17784338),(33 18317564),(34 18950882),(35 19700322),(36 20513830),(37 21333018),(38 22053634),(39 22621654),(40 22984482),(41 23141704),(42 23073594),(43 22847876),(44 22523418),(45 22172276),(46 21880262),(47 21735156),(48 21783634),(49 22018648),(50 22433954),(51 22970288),(52 23493446),(53 23959650),(54 24301958),(55 24485988),(56 24473736),(57 24286106),(58 23916870),(59 23432188),(60 22911860),(61 22400840),(62 21946408),(63 21597900),(64 21411242),(65 21316814),(66 21331230),(67 21429732),(68 21560672),(69 21683516),(70 21782642),(71 21867002),(72 21905830),(73 21907708),(74 21893750),(75 21848802),(76 21794764),(77 21685812),(78 21543904),(79 21332078),
