1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 635076.75),(2 2404243.3),(3 5134662),(4 8785837),(5 13412627),(6 18894922),(7 25328672),(8 32842714),(9 41564150),(10 51071696),(11 61280628),(12 72061480),(13 83518830),(14 95335740),(15 107854056),(16 120698500),(17 133737544),(18 147334670),(19 160747790),(20 174409020),(21 187848770),(22 200629390),(23 213611310),(24 227172600),(25 241842050),(26 255930990),(27 270448130),(28 285440500),(29 300497920),(30 316369000),(31 332592260),(32 348952030),(33 365498270),(34 382315230),(35 398920030),(36 414768800),(37 429907040),(38 444876930),(39 459658140),(40 474485630),(41 490569200),(42 507899550),(43 525915230),(44 544195900),(45 563192260),(46 581909440),(47 601578500),(48 621127400),(49 641181950),(50 661148600),(51 680475460),(52 699443140),(53 717716200),(54 736444160),(55 756568900),(56 776103400),(57 796167200),(58 816740700),(59 837468860),(60 857589570),(61 879369800),(62 901152830),(63 923364350),(64 944606800),(65 965930560),(66 986396100),(67 1007559230),(68 1029050200),(69 1052308300),(70 1075571200),(71 1100418600),(72 1127773300),(73 1157898400),(74 1190327700),(75 1224889500),(76 1259383400),(77 1294704800),(78 1329477100),(79 1366047700),
(1 617655.4),(2 2367204),(3 5201965),(4 8869849),(5 13342271),(6 18503736),(7 24221380),(8 30415900),(9 37042196),(10 43758812),(11 50655696),(12 57816972),(13 65332972),(14 72966100),(15 80878104),(16 88904936),(17 96914750),(18 104820050),(19 112572860),(20 120257050),(21 127766376),(22 134989470),(23 141893730),(24 148718430),(25 155799200),(26 162765820),(27 169841940),(28 177360100),(29 185217420),(30 193466850),(31 201565650),(32 209842300),(33 218182100),(34 226535220),(35 234310450),(36 241837260),(37 248618960),(38 254499420),(39 259837650),(40 264475400),(41 269294850),(42 273641600),(43 277665120),(44 281125700),(45 283945470),(46 285620400),(47 286510700),(48 286597250),(49 285735780),(50 284068480),(51 281392060),(52 278144830),(53 274265400),(54 269652770),(55 264546940),(56 258670290),(57 252647600),(58 246235800),(59 239428000),(60 232581020),(61 225926560),(62 218976300),(63 212003550),(64 204850740),(65 197721500),(66 190780640),(67 184473860),(68 178780160),(69 174467580),(70 171581300),(71 169857840),(72 169167520),(73 169460560),(74 170865120),(75 173094610),(76 175800030),(77 179215000),(78 183290030),(79 188201400),
(1 1083435.8),(2 4187104),(3 9160088),(4 15776813),(5 24184470),(6 34170790),(7 45553412),(8 58263220),(9 72263910),(10 86893670),(11 102316030),(12 118326210),(13 134718640),(14 150751550),(15 166823280),(16 182184660),(17 196744690),(18 210376750),(19 222927620),(20 234336850),(21 244114290),(22 252121920),(23 258409390),(24 263132780),(25 266434000),(26 267903950),(27 267717300),(28 266109950),(29 263000900),(30 258566960),(31 252852350),(32 246102980),(33 238317000),(34 229726000),(35 220709680),(36 211712750),(37 202849800),(38 193926290),(39 184850750),(40 176286190),(41 168379150),(42 160870200),(43 153985060),(44 147745540),(45 142044370),(46 137006420),(47 132802430),(48 129283650),(49 126202620),(50 123907900),(51 122023230),(52 120672510),(53 119741304),(54 119120136),(55 118935176),(56 118921860),(57 119700760),(58 121033064),(59 123080990),(60 126056040),(61 129598950),(62 133675780),(63 138200640),(64 143155020),(65 148609970),(66 154507630),(67 161324160),(68 168952110),(69 177848620),(70 187659980),(71 198050880),(72 208708910),(73 219609540),(74 230158200),(75 239549120),(76 247698740),(77 255031340),(78 261337090),(79 266786350),
(1 886970.75),(2 3395188.3),(3 7438273),(4 12798159),(5 19411122),(6 27010290),(7 35432932),(8 44444824),(9 54049372),(10 64115950),(11 74627990),(12 85294430),(13 96031070),(14 106435440),(15 116956320),(16 127141416),(17 136772580),(18 145572240),(19 153730050),(20 161466080),(21 168478850),(22 174701940),(23 179869700),(24 184063170),(25 187423310),(26 189649810),(27 190593100),(28 190370620),(29 188814110),(30 185997040),(31 182007730),(32 177044160),(33 171167550),(34 164726770),(35 157928800),(36 150956640),(37 144002110),(38 137187300),(39 130580424),(40 124439840),(41 118613180),(42 112973580),(43 107826910),(44 103166040),(45 98987890),(46 95249640),(47 92083160),(48 89489040),(49 87517144),(50 86230910),(51 85544410),(52 85425864),(53 85740060),(54 86461950),(55 87774616),(56 89350260),(57 91222690),(58 93637900),(59 96539570),(60 99745960),(61 103140024),(62 106774940),(63 110418220),(64 114178504),(65 118184740),(66 122361730),(67 126648740),(68 131000430),(69 135536200),(70 140225630),(71 145008500),(72 149757440),(73 154371410),(74 158438660),(75 161500930),(76 163865660),(77 165633980),(78 167029220),(79 168036980),
(1 888825.06),(2 3363281.8),(3 7268215.5),(4 12379193),(5 18739294),(6 26040338),(7 34000028),(8 42299420),(9 50807332),(10 59364350),(11 68080056),(12 76583260),(13 84746750),(14 92289390),(15 99345000),(16 105603304),(17 110944260),(18 115201464),(19 118482504),(20 120737530),(21 121978936),(22 122252700),(23 121554180),(24 120023760),(25 117653630),(26 114424696),(27 110443980),(28 105948490),(29 101096376),(30 96000456),(31 90959070),(32 86131656),(33 81573450),(34 77633064),(35 74416150),(36 72272590),(37 71020450),(38 70756250),(39 71365860),(40 72791110),(41 74895150),(42 77398510),(43 80378110),(44 83739700),(45 87240920),(46 90686660),(47 94004030),(48 96880010),(49 99460630),(50 101637120),(51 103345430),(52 104706720),(53 105611130),(54 106051176),(55 106244280),(56 106106250),(57 105658240),(58 105113416),(59 104370250),(60 103497570),(61 102665400),(62 101874056),(63 101136104),(64 100495840),(65 99799624),(66 99006904),(67 98061030),(68 96836430),(69 95494170),(70 93954184),(71 92211976),(72 90273720),(73 88312500),(74 86337690),(75 84528700),(76 83129380),(77 82087010),(78 81450710),(79 81133230),
(1 782245.1),(2 2940744.5),(3 6339805.5),(4 10693677),(5 15877880),(6 21626986),(7 27564724),(8 33496788),(9 39411270),(10 44885644),(11 49920216),(12 54365228),(13 58244544),(14 61520012),(15 64391636),(16 66813300),(17 68817010),(18 70363440),(19 71565096),(20 72302220),(21 72560430),(22 72283580),(23 71730610),(24 70929580),(25 69842620),(26 68583300),(27 67198770),(28 65576104),(29 63918430),(30 62226070),(31 60661336),(32 59222400),(33 57955124),(34 57067480),(35 56784824),(36 57242540),(37 58269150),(38 59922150),(39 61943860),(40 64194650),(41 66536344),(42 68849570),(43 70994280),(44 73007896),(45 74847690),(46 76352130),(47 77584590),(48 78565490),(49 79261740),(50 79635460),(51 79768620),(52 79813300),(53 79785260),(54 79728720),(55 79508930),(56 79190870),(57 78926620),(58 78661080),(59 78384530),(60 78141490),(61 77890670),(62 77815030),(63 77806290),(64 77722000),(65 77643816),(66 77668620),(67 77805890),(68 78015120),(69 78334530),(70 78624710),(71 79029570),(72 79351980),(73 79390170),(74 79220780),(75 78747030),(76 78296940),(77 77887020),(78 77570110),(79 77235860),
(1 824855),(2 3130902.5),(3 6682523.5),(4 11051713),(5 16062116),(6 21413046),(7 26794940),(8 32044488),(9 37075108),(10 41510930),(11 45454236),(12 48755776),(13 51420644),(14 53695960),(15 55464944),(16 56765824),(17 57567132),(18 57921344),(19 58201670),(20 58383572),(21 58527950),(22 58536896),(23 58402760),(24 58230530),(25 58075984),(26 57900892),(27 57723290),(28 57517610),(29 57178450),(30 56863680),(31 56502544),(32 56159572),(33 55884120),(34 55532972),(35 55080750),(36 54542676),(37 54026604),(38 53497892),(39 52858916),(40 52194004),(41 51598148),(42 51035756),(43 50481404),(44 50247570),(45 50257544),(46 50385840),(47 50868948),(48 51705516),(49 52775590),(50 54120570),(51 55759100),(52 57599620),(53 59569536),(54 61836820),(55 64099004),(56 66203364),(57 68003890),(58 69554920),(59 70706504),(60 71315660),(61 71384990),(62 70834080),(63 69794890),(64 68187060),(65 66209670),(66 64077660),(67 61845960),(68 59638656),(69 57551160),(70 55862760),(71 54673576),(72 53989284),(73 53877220),(74 54234780),(75 54791930),(76 55452676),(77 56218148),(78 57126468),(79 58016090),
(1 1012326),(2 3863722.5),(3 8361435.5),(4 14055661),(5 20845620),(6 28159342),(7 35478670),(8 42438320),(9 48894836),(10 54306516),(11 58502956),(12 61397696),(13 62938556),(14 63139332),(15 62017304),(16 59926572),(17 57119610),(18 53939210),(19 50766256),(20 47748496),(21 45188464),(22 43301692),(23 42143500),(24 41747348),(25 42082636),(26 43046280),(27 44415930),(28 45990596),(29 47612860),(30 49049372),(31 50192588),(32 50901650),(33 51136410),(34 50918076),(35 50262184),(36 49247052),(37 48009716),(38 46701204),(39 45278270),(40 43776136),(41 42317510),(42 40976410),(43 39772250),(44 38749316),(45 37940810),(46 37327740),(47 36941220),(48 36754330),(49 36700660),(50 36846870),(51 37275924),(52 37955740),(53 38814212),(54 39783304),(55 40718250),(56 41672884),(57 42748336),(58 43791760),(59 44826828),(60 45837824),(61 46871732),(62 47669644),(63 48076228),(64 47905264),(65 47343404),(66 46484464),(67 45526990),(68 44502000),(69 43405016),(70 42464036),(71 41651636),(72 41029300),(73 40758336),(74 40903556),(75 41388430),(76 42290276),(77 43583996),(78 45071836),(79 46606000),
(1 1020063.9),(2 3841165.8),(3 8163858),(4 13471165),(5 19612108),(6 25983814),(7 32083246),(8 37531020),(9 42038080),(10 45314936),(11 47426036),(12 48504804),(13 48491296),(14 47534430),(15 45817692),(16 43598092),(17 41158936),(18 38779740),(19 36543292),(20 34523744),(21 32757914),(22 31279344),(23 30202824),(24 29559900),(25 29425234),(26 29731950),(27 30400162),(28 31344626),(29 32371118),(30 33397124),(31 34318612),(32 34946972),(33 35204896),(34 35220870),(35 35041668),(36 34627364),(37 33940000),(38 33126166),(39 32247782),(40 31426086),(41 30737242),(42 30199556),(43 29898202),(44 29806974),(45 29826608),(46 29926174),(47 29912238),(48 29706664),(49 29408738),(50 29035472),(51 28583732),(52 28129966),(53 27701296),(54 27253900),(55 26908630),(56 26678982),(57 26569260),(58 26583320),(59 26677202),(60 26854246),(61 27229192),(62 27711514),(63 28181072),(64 28594556),(65 28953314),(66 29281376),(67 29592836),(68 29876156),(69 30253008),(70 30734758),(71 31291330),(72 31884566),(73 32463632),(74 32886354),(75 33207462),(76 33484122),(77 33843610),(78 34281560),(79 34767096),
(1 625914.75),(2 2316666),(3 4755917),(4 7565793),(5 10650663),(6 13733283),(7 16495573),(8 18705960),(9 20242858),(10 20969356),(11 20895708),(12 20157128),(13 19049146),(14 17849742),(15 16597703),(16 15516619),(17 14820742),(18 14602926),(19 14758400),(20 15185188),(21 15781529),(22 16511015),(23 17238788),(24 17960894),(25 18585132),(26 19078456),(27 19520628),(28 19867476),(29 20103130),(30 20230498),(31 20207602),(32 20045218),(33 19747776),(34 19367886),(35 18924950),(36 18405856),(37 17927176),(38 17577426),(39 17459134),(40 17568768),(41 17853604),(42 18320412),(43 18941706),(44 19565248),(45 20148394),(46 20612138),(47 20844096),(48 20875624),(49 20786232),(50 20523164),(51 20109502),(52 19606910),(53 19093400),(54 18638356),(55 18220886),(56 17918100),(57 17748548),(58 17717152),(59 17814948),(60 18002948),(61 18203272),(62 18397916),(63 18639528),(64 18953586),(65 19309218),(66 19707002),(67 20095494),(68 20419314),(69 20601948),(70 20538602),(71 20333770),(72 20146016),(73 20025792),(74 19844504),(75 19606378),(76 19401080),(77 19306038),(78 19333062),(79 19492668),
(1 474160.2),(2 1702305.9),(3 3354370.5),(4 5085145.5),(5 6790574),(6 8369225.5),(7 9684331),(8 10666406),(9 11267348),(10 11516145),(11 11510770),(12 11330272),(13 11112732),(14 10921936),(15 10734688),(16 10636879),(17 10715098),(18 10929134),(19 11251147),(20 11635519),(21 12064032),(22 12529690),(23 13008206),(24 13504984),(25 13965065),(26 14236881),(27 14244328),(28 14045620),(29 13625446),(30 13016703),(31 12321728),(32 11691032),(33 11310351),(34 11251415),(35 11489489),(36 12032249),(37 12733467),(38 13365623),(39 13891322),(40 14261546),(41 14425730),(42 14384888),(43 14061813),(44 13475268),(45 12783524),(46 12111124),(47 11600617),(48 11375627),(49 11431528),(50 11767092),(51 12382753),(52 13166600),(53 13974564),(54 14696215),(55 15247394),(56 15588016),(57 15684647),(58 15568465),(59 15344331),(60 15038793),(61 14746727),(62 14568247),(63 14515974),(64 14590399),(65 14780550),(66 15065968),(67 15406974),(68 15800038),(69 16224680),(70 16629609),(71 16971116),(72 17260426),(73 17546120),(74 17831172),(75 18126632),(76 18306832),(77 18340938),(78 18224414),(79 17991402),
