1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 1010447.5),(2 2714771.8),(3 4911685.5),(4 7674922.5),(5 10634688),(6 13661121),(7 16743936),(8 20384592),(9 23972078),(10 27427594),(11 30957610),(12 34506668),(13 37668216),(14 40874628),(15 44044932),(16 46677756),(17 49225280),(18 51842750),(19 54198836),(20 56580948),(21 59295456),(22 61692990),(23 64138396),(24 66574572),(25 68733624),(26 70872360),(27 73176520),(28 75454640),(29 77487144),(30 79487944),(31 81393976),(32 82810340),(33 84401480),(34 86122680),(35 87570010),(36 89140210),(37 91023510),(38 92730690),(39 94524930),(40 95827816),(41 96852100),(42 97938984),(43 99057530),(44 99923510),(45 100402310),(46 100913704),(47 101553910),(48 101886120),(49 101997210),(50 102166616),(51 102370620),(52 102584260),(53 102262910),(54 101951910),(55 101199064),(56 100665690),(57 100567064),(58 100611736),(59 100763750),(60 101269880),(61 101990824),(62 102389850),(63 102619010),(64 102636520),(65 102978110),(66 103328580),(67 104052540),(68 104175576),(69 104412344),(70 104659610),(71 104859900),(72 105257730),(73 105880360),(74 106523256),(75 107248920),(76 108621384),(77 109467640),(78 110361450),(79 111140700),
(1 1199254.3),(2 3156335.5),(3 5441275),(4 8201977),(5 11078078),(6 14017192),(7 16994900),(8 20411840),(9 23744796),(10 26876122),(11 30175040),(12 33352502),(13 36304480),(14 39300296),(15 42313532),(16 45396044),(17 48105824),(18 50700056),(19 53204824),(20 55622612),(21 57825068),(22 59981216),(23 62165428),(24 64407544),(25 66028090),(26 67284780),(27 68486104),(28 69570680),(29 70564720),(30 71476790),(31 72584776),(32 73540740),(33 74120290),(34 74825170),(35 75172430),(36 75415040),(37 76205860),(38 77040820),(39 77930850),(40 78399090),(41 79115530),(42 80026100),(43 80924880),(44 82163350),(45 83242420),(46 84349896),(47 85185770),(48 85510670),(49 85633890),(50 85832810),(51 85769860),(52 85635020),(53 85196250),(54 84424300),(55 83830570),(56 82700530),(57 81913890),(58 81067160),(59 80446360),(60 80189680),(61 79864320),(62 79565880),(63 79182856),(64 78729620),(65 78252200),(66 77934230),(67 77462420),(68 77417256),(69 77524910),(70 77564860),(71 78027120),(72 79288470),(73 80536830),(74 81843310),(75 83086640),(76 84471700),(77 86107480),(78 87672850),(79 89203250),
(1 1145046.1),(2 2869824.8),(3 4972154.5),(4 7286084),(5 9542197),(6 11647323),(7 13722736),(8 15917816),(9 17904130),(10 19790430),(11 21721536),(12 23547816),(13 25374240),(14 27281040),(15 29340816),(16 31731592),(17 33636960),(18 35310100),(19 36729960),(20 37933956),(21 39292364),(22 40633620),(23 42028356),(24 43203704),(25 44378364),(26 45546628),(27 46587840),(28 47339164),(29 48219840),(30 49042164),(31 49940708),(32 50952704),(33 52032350),(34 53043612),(35 54150784),(36 55212132),(37 56272736),(38 57358080),(39 58301836),(40 58722252),(41 59360076),(42 60101120),(43 60880204),(44 62207324),(45 63423628),(46 64467636),(47 65448110),(48 66343788),(49 67101012),(50 67870424),(51 68425020),(52 68804510),(53 69164800),(54 69331304),(55 69494390),(56 69528540),(57 69683370),(58 69813650),(59 70066920),(60 70197790),(61 70370080),(62 70585960),(63 70662650),(64 70905800),(65 70973030),(66 70986970),(67 71094490),(68 71297140),(69 71644904),(70 72085620),(71 72698620),(72 73487530),(73 74070730),(74 74574010),(75 75170310),(76 75942170),(77 76718270),(78 77679256),(79 78699080),
(1 1151953.6),(2 2967566.8),(3 5141345),(4 7645535),(5 10081000),(6 12406532),(7 14798054),(8 17370574),(9 19781492),(10 22001560),(11 24227396),(12 26372448),(13 28510618),(14 30601184),(15 32814200),(16 35172948),(17 37114670),(18 38903440),(19 40595704),(20 42039690),(21 43367790),(22 44806668),(23 45903490),(24 46961110),(25 48067150),(26 49101540),(27 50230624),(28 51261776),(29 52403412),(30 53610936),(31 54786050),(32 56200020),(33 57834610),(34 59311604),(35 60744944),(36 61929744),(37 63136996),(38 64295350),(39 65432804),(40 66418640),(41 67316650),(42 68299130),(43 69329390),(44 70408570),(45 71603320),(46 72693460),(47 73724470),(48 74984504),(49 76145630),(50 77298870),(51 78296130),(52 79511020),(53 80688456),(54 81699144),(55 82552650),(56 83218340),(57 83756070),(58 84217230),(59 84574110),(60 84505290),(61 84403000),(62 84337060),(63 84178020),(64 83849050),(65 83604380),(66 83457720),(67 83215416),(68 83232000),(69 83342580),(70 83360990),(71 83358250),(72 83187830),(73 82905950),(74 82707110),(75 82473176),(76 82391030),(77 82471384),(78 82549650),(79 82663430),
(1 1018488.06),(2 2658689),(3 4589206.5),(4 6802691),(5 8930877),(6 10950119),(7 13078633),(8 15132064),(9 17115916),(10 18976960),(11 20910022),(12 22892750),(13 24956514),(14 26999858),(15 29187668),(16 31391718),(17 33460294),(18 35351836),(19 37220480),(20 38766852),(21 40172570),(22 41602716),(23 42893136),(24 44276624),(25 45660064),(26 46913110),(27 48234970),(28 49462756),(29 50662964),(30 51805520),(31 52780720),(32 54056372),(33 55540916),(34 56925476),(35 58092772),(36 58949436),(37 59929916),(38 60927744),(39 61877040),(40 63110052),(41 63986676),(42 64852060),(43 65770508),(44 66692010),(45 67445670),(46 68153990),(47 68742170),(48 69480010),(49 70126170),(50 70804600),(51 71408264),(52 71993080),(53 72651050),(54 73244344),(55 73610490),(56 73884424),(57 74110984),(58 74295780),(59 74539176),(60 74720540),(61 75032830),(62 75272680),(63 75506440),(64 75459370),(65 75509430),(66 75498310),(67 75410670),(68 75457720),(69 75426616),(70 75475864),(71 75546984),(72 75698340),(73 75828456),(74 75926650),(75 75901670),(76 75872760),(77 75886570),(78 75827640),(79 75748660),
(1 1200702.3),(2 3037504.8),(3 5240425.5),(4 7649591),(5 10286149),(6 12748979),(7 15282306),(8 17674700),(9 19773734),(10 21773030),(11 23695866),(12 25493164),(13 27170384),(14 28837324),(15 30517926),(16 32140308),(17 33473840),(18 34686170),(19 35849880),(20 36837604),(21 37603430),(22 38413990),(23 39023130),(24 39741164),(25 40518100),(26 41293630),(27 42122540),(28 43065020),(29 43901476),(30 44630504),(31 45392788),(32 46226284),(33 47103330),(34 47990056),(35 48737904),(36 49327870),(37 50006896),(38 50543910),(39 51097650),(40 51789468),(41 52156436),(42 52498676),(43 52834224),(44 53123670),(45 53282240),(46 53514330),(47 53704990),(48 53769588),(49 53802890),(50 53797236),(51 53750170),(52 53939800),(53 54068244),(54 54135960),(55 54148670),(56 53952468),(57 53735284),(58 53502860),(59 53103264),(60 52830896),(61 52614612),(62 52377496),(63 52155230),(64 52074604),(65 51843160),(66 51612572),(67 51338130),(68 51086936),(69 50799480),(70 50591380),(71 50557984),(72 50840456),(73 50917988),(74 50994080),(75 51088052),(76 51387276),(77 52017544),(78 52581228),(79 53142560),
(1 1173083.5),(2 2866480.3),(3 4910745),(4 7293096.5),(5 9774593),(6 12190981),(7 14686225),(8 16964478),(9 18863772),(10 20638764),(11 22306332),(12 23952370),(13 25441316),(14 26804340),(15 28190514),(16 29414364),(17 30543744),(18 31678112),(19 32778796),(20 33937444),(21 34984028),(22 36004876),(23 37134948),(24 38371588),(25 39465924),(26 40497420),(27 41530870),(28 42559336),(29 43444196),(30 44211540),(31 45142484),(32 46128220),(33 46624810),(34 47201092),(35 47458324),(36 47884880),(37 48302228),(38 48795948),(39 49297212),(40 49704532),(41 49845250),(42 50048250),(43 50150656),(44 50340624),(45 50446572),(46 50378010),(47 50429144),(48 50235000),(49 50128256),(50 50082492),(51 49909950),(52 49748656),(53 49636440),(54 49419456),(55 49188470),(56 48729850),(57 48350300),(58 47978276),(59 47657916),(60 47652948),(61 47613652),(62 47650604),(63 47736400),(64 47844710),(65 47896020),(66 47887228),(67 47845404),(68 47772188),(69 47668436),(70 47498920),(71 47322004),(72 47091590),(73 46898096),(74 46600284),(75 46321424),(76 45840468),(77 45382590),(78 44962652),(79 44628970),
(1 1131659.6),(2 2602740.3),(3 4340181),(4 6061829.5),(5 7640671),(6 9145268),(7 10623578),(8 11954677),(9 13058236),(10 14040866),(11 14994060),(12 15934212),(13 16800936),(14 17631016),(15 18490652),(16 19232246),(17 20007540),(18 20742804),(19 21458462),(20 22223034),(21 22852498),(22 23395962),(23 23934090),(24 24573654),(25 25081922),(26 25627960),(27 26134360),(28 26673620),(29 27272482),(30 27769580),(31 28300084),(32 28896218),(33 29380820),(34 29866010),(35 30285560),(36 30414312),(37 30607862),(38 30838118),(39 31067976),(40 31257238),(41 31249724),(42 31273252),(43 31304978),(44 31545224),(45 31763572),(46 31893816),(47 31958264),(48 32037146),(49 32158662),(50 32265518),(51 32241062),(52 32178740),(53 32274376),(54 32331684),(55 32482330),(56 32564516),(57 32743848),(58 32893934),(59 33097958),(60 33265094),(61 33394462),(62 33456436),(63 33441504),(64 33397734),(65 33442424),(66 33566652),(67 33649576),(68 33747036),(69 33957424),(70 34168550),(71 34398370),(72 34464324),(73 34381780),(74 34328580),(75 34171884),(76 34184056),(77 34142570),(78 34089316),(79 34005930),
(1 1193791.1),(2 2719453.8),(3 4409668),(4 6263286.5),(5 7746116),(6 9153245),(7 10588531),(8 12097880),(9 13287576),(10 14354465),(11 15316136),(12 16194319),(13 17039964),(14 17764196),(15 18561104),(16 19320326),(17 20068314),(18 20721228),(19 21288496),(20 21810154),(21 22458304),(22 23072204),(23 23655212),(24 24290930),(25 24679692),(26 25008604),(27 25261614),(28 25453838),(29 25625144),(30 25874832),(31 26165654),(32 26543744),(33 27084502),(34 27466274),(35 27879282),(36 28175536),(37 28507066),(38 28873392),(39 29116500),(40 29313700),(41 29546364),(42 29840414),(43 30164282),(44 30542862),(45 30940122),(46 31342422),(47 31620984),(48 31924522),(49 32156890),(50 32369024),(51 32429346),(52 32481642),(53 32736324),(54 32903040),(55 33021162),(56 33337744),(57 33654990),(58 33964772),(59 34177120),(60 34339404),(61 34467284),(62 34498148),(63 34473268),(64 34698924),(65 34889748),(66 35152940),(67 35487020),(68 35594620),(69 35680256),(70 35707550),(71 35799348),(72 35844364),(73 35850564),(74 35874996),(75 35894904),(76 35937950),(77 36058890),(78 36107720),(79 36158856),
(1 1096912),(2 2381607),(3 3813431),(4 5127458),(5 6272936.5),(6 7280393),(7 8297529),(8 9283225),(9 10099013),(10 10851020),(11 11552734),(12 12284757),(13 12962336),(14 13554236),(15 14212284),(16 14829232),(17 15332763),(18 15782606),(19 16174539),(20 16481952),(21 16858620),(22 17309072),(23 17737820),(24 18228700),(25 18706928),(26 19175104),(27 19610088),(28 19975182),(29 20116868),(30 20317308),(31 20547620),(32 20809476),(33 21176378),(34 21449668),(35 21771048),(36 22018712),(37 22227980),(38 22413878),(39 22575496),(40 22778834),(41 23067576),(42 23384202),(43 23799240),(44 24084216),(45 24273352),(46 24638296),(47 24919512),(48 25252952),(49 25532936),(50 25722980),(51 25926360),(52 26181352),(53 26431376),(54 26665480),(55 26805294),(56 27070478),(57 27394902),(58 27716318),(59 27931256),(60 28164878),(61 28235082),(62 28324070),(63 28387174),(64 28584668),(65 28897876),(66 29242708),(67 29579858),(68 29777534),(69 29895882),(70 29934926),(71 29989576),(72 29952522),(73 29906564),(74 29909134),(75 29979204),(76 29999766),(77 30044722),(78 30007210),(79 29946486),
(1 1074268.6),(2 2312285),(3 3682849.5),(4 4981098),(5 6037377.5),(6 6957708),(7 7935806),(8 8895352),(9 9849303),(10 10653838),(11 11456983),(12 12129484),(13 12744693),(14 13314227),(15 13830492),(16 14408807),(17 15007323),(18 15623880),(19 16238511),(20 16737865),(21 17152282),(22 17573040),(23 17958654),(24 18461978),(25 19004782),(26 19500976),(27 19919926),(28 20331532),(29 20798960),(30 21130398),(31 21391590),(32 21643904),(33 21875014),(34 22093964),(35 22400830),(36 22809150),(37 23049896),(38 23271246),(39 23415014),(40 23521188),(41 23657800),(42 23802080),(43 23964834),(44 24210624),(45 24392128),(46 24601618),(47 24889430),(48 25195298),(49 25547656),(50 25925338),(51 26182042),(52 26457138),(53 26739558),(54 26984298),(55 27293960),(56 27381538),(57 27561326),(58 27729386),(59 27959830),(60 28190964),(61 28261406),(62 28240854),(63 28148520),(64 27965482),(65 27822830),(66 27759352),(67 27768428),(68 27668354),(69 27520318),(70 27328840),(71 27079002),(72 26861402),(73 26746672),(74 26668608),(75 26623262),(76 26572890),(77 26539050),(78 26449348),(79 26365022),
