1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 21240478),(2 21229730),(3 49882500),(4 48297652),(5 55743164),(6 55740670),(7 72076840),(8 68378620),(9 75578630),(10 75597540),(11 69341850),(12 84133290),(13 83745640),(14 83769304),(15 87914570),(16 86405480),(17 88077470),(18 87997940),(19 97102840),(20 118007100),(21 105500856),(22 105439350),(23 112571510),(24 146357630),(25 177908600),(26 178035630),(27 169619500),(28 199480900),(29 228408590),(30 228401360),(31 233105800),(32 234143490),(33 228414350),(34 228535490),(35 221144750),(36 225892220),(37 221818160),(38 221833900),(39 224702320),(40 200274050),(41 199478220),(42 199469230),(43 227355980),(44 227323020),(45 227256050),
(1 21039120),(2 21062982),(3 65912130),(4 124829170),(5 111894830),(6 111892904),(7 101236300),(8 92581490),(9 108222230),(10 108196584),(11 113563280),(12 132506480),(13 141852000),(14 141938850),(15 144787790),(16 160552420),(17 147813390),(18 147847870),(19 150039760),(20 170387940),(21 173554990),(22 173672140),(23 164227170),(24 147936940),(25 149026660),(26 149135440),(27 149334880),(28 132558550),(29 140072930),(30 140030540),(31 148565540),(32 155977120),(33 160736540),(34 160607140),(35 161423790),(36 141851980),(37 138500130),(38 138441090),(39 151564510),(40 154548450),(41 163405810),(42 163421680),(43 162639440),(44 162547860),(45 162607740),
(1 22551114),(2 22498314),(3 64467692),(4 115623530),(5 110654390),(6 110663704),(7 98643576),(8 64658644),(9 91300160),(10 91308220),(11 100719976),(12 99772160),(13 107730300),(14 107706210),(15 115646696),(16 107522910),(17 106992480),(18 107025280),(19 121181590),(20 137950660),(21 121651900),(22 121642570),(23 118242010),(24 106305560),(25 113140060),(26 113184920),(27 131936670),(28 128091690),(29 116398340),(30 116372540),(31 116500900),(32 153358910),(33 158460850),(34 158505890),(35 176844480),(36 194433540),(37 189054060),(38 189048270),(39 183836780),(40 183662670),(41 186610940),(42 186545800),(43 189158990),(44 189213550),(45 189283500),
(1 21220904),(2 21186712),(3 51513350),(4 70436930),(5 64715684),(6 64741732),(7 69324900),(8 48501744),(9 75112904),(10 75075300),(11 88828510),(12 77720824),(13 72195890),(14 72254240),(15 64975690),(16 51992064),(17 56212310),(18 56240284),(19 61942884),(20 68390690),(21 71128904),(22 71146750),(23 70308680),(24 60580708),(25 72892430),(26 72906264),(27 88212110),(28 104551130),(29 102489416),(30 102497020),(31 109076450),(32 91613480),(33 92675440),(34 92684820),(35 102177464),(36 101534536),(37 100781390),(38 100834280),(39 106223430),(40 105779550),(41 103696170),(42 103616710),(43 95471020),(44 95490136),(45 95495290),
(1 18383714),(2 18389176),(3 43972932),(4 47118656),(5 48022530),(6 48022252),(7 57212736),(8 46400444),(9 67573384),(10 67576530),(11 74440296),(12 71226680),(13 66314200),(14 66292456),(15 61739504),(16 65331780),(17 69030970),(18 68998370),(19 73355630),(20 70673624),(21 74485650),(22 74442824),(23 78039256),(24 62615140),(25 71921460),(26 71945016),(27 81876904),(28 87309910),(29 86318136),(30 86392220),(31 89319060),(32 89700984),(33 94183330),(34 94200280),(35 97365450),(36 96655800),(37 99785080),(38 99793460),(39 100442270),(40 94183260),(41 97531730),(42 97479530),(43 104609360),(44 104657760),(45 104681900),
(1 14752453),(2 14768946),(3 34643480),(4 20757402),(5 33136794),(6 33144948),(7 36192660),(8 42944660),(9 44944264),(10 44965964),(11 47911644),(12 49033596),(13 48658830),(14 48654440),(15 50693640),(16 58479572),(17 61923010),(18 61896650),(19 58668364),(20 43439068),(21 52187224),(22 52190804),(23 57786964),(24 53183990),(25 53615496),(26 53596280),(27 56210040),(28 58735110),(29 60958530),(30 60991704),(31 62004770),(32 59073492),(33 60608916),(34 60662732),(35 60209908),(36 58834470),(37 68005810),(38 67992140),(39 77532910),(40 83000900),(41 85339224),(42 85323700),(43 87505860),(44 87402590),(45 87446184),
(1 10039547),(2 10056748),(3 21162964),(4 20969778),(5 26644494),(6 26650904),(7 27861362),(8 25456926),(9 24564694),(10 24563288),(11 22078008),(12 18489948),(13 19696234),(14 19667612),(15 21359968),(16 28059564),(17 28497362),(18 28495308),(19 28530904),(20 29018808),(21 37236228),(22 37204444),(23 41518356),(24 41920612),(25 40455516),(26 40466070),(27 35991190),(28 39745692),(29 43725052),(30 43690410),(31 42700036),(32 40848050),(33 42223424),(34 42172584),(35 42555184),(36 44854320),(37 49465300),(38 49481348),(39 54826256),(40 39431932),(41 37994372),(42 37991624),(43 40147964),(44 40181970),(45 40199084),
(1 5025637.5),(2 5005994),(3 10721748),(4 15846693),(5 20853412),(6 20861688),(7 19819752),(8 17750258),(9 17899030),(10 17885186),(11 17158376),(12 18565048),(13 19044182),(14 19037568),(15 18966254),(16 25812060),(17 32095762),(18 32097454),(19 39142036),(20 34405510),(21 33541060),(22 33568910),(23 37782612),(24 40488116),(25 38236470),(26 38237110),(27 38386124),(28 29142098),(29 30780818),(30 30780134),(31 34894610),(32 43260716),(33 38722950),(34 38730436),(35 39559628),(36 38343604),(37 38894900),(38 38856124),(39 47327780),(40 52457070),(41 51152332),(42 51165996),(43 53926988),(44 53897490),(45 53906852),
(1 2560480.5),(2 2556292.3),(3 5746426.5),(4 12031477),(5 16324817),(6 16329781),(7 16177961),(8 11610947),(9 15784219),(10 15773840),(11 17567530),(12 18989620),(13 20303086),(14 20316744),(15 22065686),(16 27959722),(17 29520286),(18 29505636),(19 30668516),(20 31657232),(21 35194584),(22 35186988),(23 42756150),(24 34735610),(25 27611536),(26 27604886),(27 29038954),(28 36738970),(29 36389584),(30 36399140),(31 39462710),(32 37954708),(33 36368650),(34 36356510),(35 39555560),(36 41000284),(37 38711400),(38 38731116),(39 38956240),(40 35630676),(41 37436380),(42 37438068),(43 40477984),(44 40488530),(45 40484436),
(1 2036302.5),(2 2030164.5),(3 4358583.5),(4 11010582),(5 14735652),(6 14717673),(7 14548108),(8 11637688),(9 12917916),(10 12905932),(11 13805748),(12 19326952),(13 18757942),(14 18773430),(15 21456398),(16 25914378),(17 23678050),(18 23683162),(19 25569620),(20 23255634),(21 24225714),(22 24225756),(23 24812284),(24 29638338),(25 26931264),(26 26942840),(27 24281470),(28 35744996),(29 30002344),(30 30020950),(31 29841672),(32 36197560),(33 31201032),(34 31193800),(35 33232264),(36 34722796),(37 33504256),(38 33499740),(39 32835208),(40 36811990),(41 36601096),(42 36575060),(43 37010980),(44 37026660),(45 37028676),
(1 2122907.8),(2 2122860.5),(3 5457302.5),(4 11284993),(5 15796561),(6 15792258),(7 16202541),(8 12890980),(9 13388208),(10 13391112),(11 14585143),(12 17826974),(13 17120522),(14 17132144),(15 16238479),(16 19929020),(17 22197648),(18 22195632),(19 20756048),(20 23018454),(21 20652548),(22 20649706),(23 22904898),(24 20298672),(25 23028066),(26 23040298),(27 26141684),(28 24255220),(29 25529728),(30 25532600),(31 25058776),(32 28959216),(33 30220998),(34 30226198),(35 31664942),(36 27982296),(37 29814340),(38 29816768),(39 30440672),(40 31337672),(41 31538160),(42 31548272),(43 31517220),(44 31519752),(45 31504132),
