1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 98.389565),(2 1851085.4),(3 19257296),(4 26196560),(5 26263490),(6 29836298),(7 25998742),(8 19914690),(9 19895466),(10 13953565),(11 10306677),(12 11778833),(13 11738867),(14 12127641),(15 15754353),(16 19830678),(17 19707936),(18 24256574),(19 24647002),(20 24253334),(21 24191678),(22 23207240),(23 26548922),(24 25828512),(25 25778010),(26 28736518),(27 30432272),(28 26542954),(29 26368534),(30 22495418),(31 14811760),(32 12266968),(33 12248768),(34 9490831),(35 11640757),(36 11915133),(37 11872411),(38 10765177),(39 8573301),(40 7576169.5),(41 7575106),
(1 50.5611),(2 1641441.4),(3 9131857),(4 12725374),(5 12741509),(6 17223020),(7 23152324),(8 22666000),(9 22637484),(10 18697114),(11 18196852),(12 22219894),(13 22153298),(14 21169716),(15 21991246),(16 22549338),(17 22517628),(18 22010186),(19 21236904),(20 21185266),(21 21114324),(22 21708584),(23 30686874),(24 34115590),(25 34095340),(26 37125790),(27 39526284),(28 39962680),(29 39877470),(30 36577210),(31 24111574),(32 19923440),(33 19854356),(34 16238096),(35 11927931),(36 12190845),(37 12175944),(38 13907486),(39 13602646),(40 14651662),(41 14653088),
(1 59.980762),(2 1127604),(3 4965858.5),(4 7294890.5),(5 7294365.5),(6 11961299),(7 16430947),(8 15973500),(9 16006600),(10 14875581),(11 17107230),(12 17457706),(13 17412994),(14 13507368),(15 15180759),(16 16628323),(17 16601039),(18 16234553),(19 20957622),(20 20175824),(21 20174380),(22 22281132),(23 26874528),(24 27217218),(25 27176634),(26 27726448),(27 28577544),(28 26347928),(29 26304176),(30 22308778),(31 14989983),(32 11373016),(33 11345075),(34 10678319),(35 8897433),(36 9926245),(37 9932215),(38 10685241),(39 11440255),(40 9285989),(41 9287925),
(1 70.53182),(2 906008.9),(3 4082062.3),(4 7108254.5),(5 7112513),(6 8922747),(7 12954386),(8 17497818),(9 17501344),(10 17902584),(11 14391747),(12 13332688),(13 13345844),(14 12067921),(15 14674380),(16 14589723),(17 14599698),(18 13704444),(19 13611221),(20 11576091),(21 11593214),(22 12158746),(23 17494026),(24 15659822),(25 15651600),(26 14690011),(27 15757404),(28 14526916),(29 14560149),(30 14578992),(31 12345684),(32 10700541),(33 10719060),(34 9675938),(35 10038636),(36 12177234),(37 12153684),(38 14034732),(39 13442862),(40 10086054),(41 10086166),
(1 62.290524),(2 743182.75),(3 2863469.8),(4 5053184.5),(5 5056787),(6 6597323),(7 12211392),(8 16954110),(9 16954946),(10 19622972),(11 14855455),(12 12638409),(13 12650900),(14 12996084),(15 19201638),(16 20016930),(17 20004460),(18 17502200),(19 14644454),(20 14446982),(21 14404038),(22 14482752),(23 19949218),(24 19324330),(25 19316796),(26 17438882),(27 18008744),(28 18527378),(29 18587298),(30 19971714),(31 16047321),(32 13998039),(33 14007744),(34 12923805),(35 12823658),(36 13995132),(37 13982479),(38 15995620),(39 13796349),(40 11256273),(41 11258195),
(1 67.51361),(2 723580.56),(3 3156901.8),(4 3457395.5),(5 3467730.5),(6 3950232.8),(7 6319543),(8 7101824),(9 7091293),(10 7494302.5),(11 8772818),(12 9935846),(13 9929079),(14 9163446),(15 10355213),(16 13017100),(17 13023774),(18 14058995),(19 15444275),(20 17520490),(21 17519152),(22 19664286),(23 17099116),(24 16971400),(25 16974228),(26 17574498),(27 17745548),(28 17103664),(29 17132012),(30 16072675),(31 15360701),(32 14986328),(33 14998154),(34 14587717),(35 16176938),(36 14379064),(37 14387954),(38 13787514),(39 10252932),(40 9849213),(41 9850562),
(1 52.67827),(2 943328.1),(3 4298941.5),(4 6166128.5),(5 6155013.5),(6 7012389.5),(7 8044224),(8 10613099),(9 10622545),(10 12032742),(11 7661365),(12 7964013.5),(13 7973611),(14 9015473),(15 11498939),(16 12013942),(17 12021205),(18 11635125),(19 12274070),(20 14442384),(21 14451190),(22 16440606),(23 18697924),(24 18969854),(25 18975396),(26 19160956),(27 21539178),(28 21901252),(29 21950434),(30 23040062),(31 23472684),(32 21723364),(33 21723656),(34 20385980),(35 16633106),(36 15594166),(37 15588407),(38 13871201),(39 11808522),(40 11603163),(41 11606518),
(1 38.15828),(2 961377.3),(3 3391000),(4 5117594.5),(5 5129820.5),(6 6357930.5),(7 5097924.5),(8 6000534),(9 6001549),(10 6838113.5),(11 6600219),(12 7379424),(13 7369714.5),(14 8386750.5),(15 10517537),(16 11454306),(17 11462338),(18 11890769),(19 14659294),(20 16320580),(21 16339780),(22 16529580),(23 17071060),(24 16975110),(25 16982122),(26 16603419),(27 17963250),(28 18403160),(29 18367488),(30 17771622),(31 16570908),(32 15820041),(33 15837661),(34 14879935),(35 9690381),(36 9242298),(37 9240707),(38 8453090),(39 8927735),(40 9288449),(41 9288741),
(1 56.588127),(2 727356.9),(3 2382569.5),(4 2951325),(5 2948909.8),(6 3485423.3),(7 4949864.5),(8 6458273),(9 6459867),(10 7168187.5),(11 8831196),(12 8477150),(13 8480640),(14 8325551),(15 9523652),(16 10307874),(17 10316809),(18 10902351),(19 9852619),(20 10809660),(21 10802472),(22 10928275),(23 12475243),(24 13555610),(25 13540324),(26 13022667),(27 13886440),(28 13173766),(29 13191450),(30 13635914),(31 12231076),(32 11088728),(33 11088053),(34 9947241),(35 7798112.5),(36 7871093.5),(37 7857981),(38 6621574.5),(39 5810449),(40 6411449.5),(41 6418178),
(1 41.099373),(2 663069.1),(3 2603593.3),(4 3490701.8),(5 3487531),(6 3647963),(7 3812817.3),(8 4298082),(9 4286234.5),(10 4374790),(11 3960941),(12 4340942),(13 4346222),(14 5427650.5),(15 6539684),(16 7553434.5),(17 7561522.5),(18 7008082.5),(19 6979806),(20 6858820.5),(21 6856618),(22 7325289),(23 8249650.5),(24 8908799),(25 8894763),(26 8482588),(27 10701690),(28 11381257),(29 11392364),(30 10627895),(31 8956255),(32 8355239),(33 8360905),(34 7796135),(35 6635971),(36 6617989.5),(37 6623590.5),(38 6340511),(39 5747423),(40 6066359),(41 6066966),
(1 39.69034),(2 571458.9),(3 2119215),(4 2848953.5),(5 2846336.5),(6 2625526.5),(7 4018422),(8 4643750.5),(9 4650764),(10 4437261),(11 4608182.5),(12 4861616.5),(13 4861406),(14 5178179),(15 6987937.5),(16 7074516.5),(17 7087790),(18 5890268),(19 6145952.5),(20 6301141),(21 6302843),(22 6782914),(23 8080228.5),(24 8549467),(25 8541125),(26 8777595),(27 10524498),(28 10586760),(29 10564632),(30 9654918),(31 7866824.5),(32 7529554),(33 7522718.5),(34 6786647),(35 5390402.5),(36 4995026.5),(37 5000796),(38 5209042),(39 4783936),(40 5113704),(41 5113593.5),
