1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 169254.83),(2 463810),(3 793416.5),(4 1202980.1),(5 1608182.4),(6 1952046.6),(7 2324070.3),(8 2698090.8),(9 2980483.8),(10 3275501.8),(11 3561113.3),(12 3661250.3),(13 3694328.3),(14 3741347.3),(15 3764650.3),(16 3737022.8),(17 3633175.3),(18 3565280.3),(19 3613369.3),(20 3590779.3),(21 3555647),(22 3601955.3),(23 3725123.8),(24 3764456),(25 3757916.8),(26 3974414),(27 4404733),(28 4807266.5),(29 5313965.5),(30 6221090),(31 7017115.5),(32 7441190),(33 8296191.5),(34 9248479),(35 9921252),(36 10229265),(37 10864444),(38 11471333),(39 12285363),(40 12906000),(41 13272815),(42 13745216),(43 14366565),(44 14823520),(45 15255299),(46 15536581),(47 15815309),(48 16133863),(49 16187720),(50 16302328),(51 16563779),(52 16467932),(53 16451052),(54 16368004),(55 16093925),(56 16009619),(57 15957296),(58 15663072),(59 15474136),(60 15442187),(61 15341469),(62 15102357),(63 14836495),(64 14571216),(65 14340851),(66 14031439),(67 13701924),(68 13408855),(69 13290828),(70 13283196),(71 13130261),(72 13072416),(73 13400485),(74 13393333),(75 13190360),(76 13655515),(77 14685699),(78 15888173),(79 17221778),
(1 193275.4),(2 601528.4),(3 1072408),(4 1544984.3),(5 2064882.4),(6 2532426.5),(7 2944068.3),(8 3362988.5),(9 3810024),(10 4176078.8),(11 4536182.5),(12 4668097.5),(13 4717143.5),(14 4794955),(15 4964141.5),(16 5042077.5),(17 5081923),(18 5156161),(19 5358562.5),(20 5459528.5),(21 5555837),(22 5690925),(23 5830617.5),(24 5832152),(25 5788226.5),(26 5824693.5),(27 5948137.5),(28 6098399),(29 6180180.5),(30 6404033),(31 6722278.5),(32 6971390.5),(33 7622144),(34 8265613),(35 8649335),(36 8895147),(37 9450112),(38 10004592),(39 10487898),(40 10687431),(41 10806050),(42 11072187),(43 11550842),(44 11972872),(45 12256062),(46 12435904),(47 12702285),(48 13023499),(49 13148982),(50 13143266),(51 13254173),(52 13255557),(53 13196315),(54 13092745),(55 12902760),(56 12708307),(57 12556282),(58 12329197),(59 11986384),(60 11658637),(61 11305650),(62 10921574),(63 10573634),(64 10256686),(65 9988682),(66 9763605),(67 9484422),(68 8989840),(69 8516222),(70 8036676),(71 7556645),(72 7223175),(73 7164010.5),(74 7006505.5),(75 6739541.5),(76 6817315),(77 7288782.5),(78 7912891),(79 8587174),
(1 227307.13),(2 732868.25),(3 1325269.6),(4 1914201.4),(5 2519797),(6 3086807),(7 3474401.3),(8 3848603.8),(9 4250896.5),(10 4569608),(11 4828258.5),(12 4887379.5),(13 4914938.5),(14 4982093.5),(15 5142867.5),(16 5192955.5),(17 5198750),(18 5114866.5),(19 5028729.5),(20 4876039.5),(21 4744839.5),(22 4628936.5),(23 4555486),(24 4530968),(25 4610448),(26 4812462.5),(27 4989115.5),(28 5296153),(29 5593010.5),(30 5844828.5),(31 6197745.5),(32 6654165.5),(33 7389809.5),(34 8001094.5),(35 8290066.5),(36 8517623),(37 8795319),(38 8988024),(39 8998425),(40 8987871),(41 8934163),(42 8886553),(43 8782041),(44 8615755),(45 8440560),(46 8154123.5),(47 7902070),(48 7706420.5),(49 7402625.5),(50 7015497.5),(51 6651014),(52 6345337.5),(53 6158809.5),(54 6111870),(55 6184855.5),(56 6192251.5),(57 6209590.5),(58 6332924),(59 6523832),(60 6724774),(61 6827668),(62 6799021.5),(63 6702766.5),(64 6644897.5),(65 6683150),(66 6728707.5),(67 6792096),(68 6756026.5),(69 6690582.5),(70 6631582.5),(71 6541908),(72 6461158),(73 6512283.5),(74 6482226.5),(75 6350614.5),(76 6319620),(77 6391278.5),(78 6527985.5),(79 6696318.5),
(1 301424.56),(2 963925.1),(3 1700673.5),(4 2349800),(5 2822915.5),(6 3189201),(7 3488124.8),(8 3840816),(9 4236993.5),(10 4591864),(11 4825408),(12 4899610.5),(13 4939954),(14 4983916.5),(15 5066012.5),(16 5110423),(17 5118619),(18 5134722.5),(19 5150801),(20 4950501),(21 4578065),(22 4233131.5),(23 3992358.3),(24 3889447),(25 3932583),(26 4072504.5),(27 4193708.5),(28 4330695),(29 4531082),(30 4811656),(31 5164483.5),(32 5607056),(33 6324826.5),(34 6974490),(35 7238916.5),(36 7289709.5),(37 7491401),(38 7615242),(39 7516172.5),(40 7337105),(41 7121679),(42 6960586),(43 6809627.5),(44 6637858.5),(45 6480178),(46 6282090.5),(47 6114269),(48 5924103),(49 5698662),(50 5422791),(51 5255950),(52 5226119),(53 5250261.5),(54 5310218.5),(55 5380384),(56 5424882.5),(57 5473121),(58 5555406.5),(59 5748180.5),(60 5927930.5),(61 6061123.5),(62 6144787.5),(63 6175861.5),(64 6182343),(65 6192873.5),(66 6210917.5),(67 6289869),(68 6367418.5),(69 6472857),(70 6382737),(71 6202481.5),(72 5965859),(73 5832721.5),(74 5853754.5),(75 5935254.5),(76 6153465),(77 6401554),(78 6525371.5),(79 6535654),
(1 326919.9),(2 1030092.8),(3 1804954.1),(4 2425036),(5 2769957),(6 2932072.3),(7 3095941.8),(8 3333624.8),(9 3627410.3),(10 3938903.8),(11 4267944.5),(12 4458706),(13 4596526.5),(14 4679278),(15 4663486.5),(16 4688692.5),(17 4703779.5),(18 4685386),(19 4657779.5),(20 4469632),(21 4100434.3),(22 3724275),(23 3550455.3),(24 3556333),(25 3670249),(26 3803778.5),(27 3904393),(28 3987707),(29 4017183.3),(30 4072454.3),(31 4144573),(32 4328633.5),(33 4734543.5),(34 5077799),(35 5237652.5),(36 5337870),(37 5484160),(38 5646544),(39 5756466.5),(40 5810711.5),(41 5781455.5),(42 5704638.5),(43 5590261),(44 5455295),(45 5347400.5),(46 5236624),(47 5138727),(48 5141938),(49 5144383.5),(50 5029571),(51 4985415),(52 5103332),(53 5223580.5),(54 5283319.5),(55 5339143.5),(56 5377161.5),(57 5426194.5),(58 5510558),(59 5611244),(60 5703467.5),(61 5732101.5),(62 5647920.5),(63 5568436.5),(64 5548475),(65 5610034),(66 5722756.5),(67 5858648.5),(68 5885776),(69 5875930),(70 5746889.5),(71 5605696.5),(72 5444852.5),(73 5322089),(74 5322938),(75 5425548.5),(76 5604402),(77 5802645.5),(78 5900898),(79 5955223),
(1 367288.44),(2 1125333.9),(3 1872107.8),(4 2408727.3),(5 2725483),(6 2909854),(7 3040528.5),(8 3132029.5),(9 3256023.5),(10 3413579.3),(11 3677643.3),(12 3783429.5),(13 3789440.8),(14 3818908),(15 3846918),(16 3822152.8),(17 3702064.8),(18 3501151.3),(19 3379840.8),(20 3294856),(21 3194079.8),(22 3025057),(23 2947388),(24 2905929.5),(25 2861053.3),(26 2872089.5),(27 2901996),(28 2854238),(29 2867074),(30 2917136.5),(31 3053011.8),(32 3308562.3),(33 3674368.8),(34 3900127.5),(35 3951608.8),(36 3897067.5),(37 3850476.8),(38 3904330.5),(39 3905993.5),(40 3846488.8),(41 3846061.5),(42 3924986),(43 3970471.5),(44 3978529.3),(45 3997675.3),(46 4009518.8),(47 3890722.5),(48 3815010.5),(49 3791550.8),(50 3757749.3),(51 3796543.3),(52 3781937.3),(53 3711892.8),(54 3655022.5),(55 3724240.8),(56 3808844),(57 3890553.5),(58 4026143.3),(59 4153119.3),(60 4223624),(61 4208773),(62 4126499.3),(63 4088329.5),(64 4200900.5),(65 4422343),(66 4613889),(67 4662373),(68 4519094.5),(69 4285889.5),(70 4005099.5),(71 3830980),(72 3761723.5),(73 3713838.5),(74 3677488.8),(75 3610127.3),(76 3597262.5),(77 3745246),(78 3906048),(79 4039809.5),
(1 373808.8),(2 1145856.5),(3 1856979.1),(4 2331915),(5 2607737.3),(6 2796935),(7 2906187.5),(8 2970942.5),(9 3089663.8),(10 3253516),(11 3452736.5),(12 3504639.5),(13 3552758.3),(14 3609079.5),(15 3688263.5),(16 3688752.5),(17 3571780.5),(18 3427042.8),(19 3304005),(20 3124566.3),(21 2935335.8),(22 2781384.3),(23 2730664),(24 2710461.3),(25 2692594.3),(26 2768552.5),(27 2801045.3),(28 2779893.8),(29 2820158.8),(30 2914828.3),(31 3032567.5),(32 3211817.8),(33 3560745.3),(34 3799885.3),(35 3855040.5),(36 3832356.5),(37 3844605.8),(38 3844004.3),(39 3755981),(40 3596384),(41 3441766.3),(42 3374816.5),(43 3398687.5),(44 3497105.3),(45 3640741),(46 3685028.5),(47 3644900.3),(48 3553078.5),(49 3477105.8),(50 3391816.3),(51 3364210.8),(52 3311996),(53 3260305.3),(54 3290894.8),(55 3419735.5),(56 3543162.5),(57 3586354.5),(58 3577849),(59 3597624.3),(60 3594443),(61 3548895),(62 3463912),(63 3403129.5),(64 3386238.3),(65 3415816),(66 3448637),(67 3490497.5),(68 3465337.5),(69 3470539.5),(70 3426131),(71 3320935),(72 3168501.3),(73 3021999.8),(74 2992813.8),(75 2973308),(76 2911365.5),(77 2921356.5),(78 2992057.5),(79 3015286.3),
(1 381545.53),(2 1203043.8),(3 2048478.1),(4 2589726.3),(5 2761997.5),(6 2741508.3),(7 2725311),(8 2662225),(9 2638489.5),(10 2653854.3),(11 2765711),(12 2876559.3),(13 3004162.8),(14 3149629.8),(15 3222851.3),(16 3249608.5),(17 3304020.3),(18 3331716.8),(19 3232853.3),(20 3040519.8),(21 2868321),(22 2712984),(23 2634915.3),(24 2597503.8),(25 2625944.5),(26 2672964.3),(27 2685173.8),(28 2688755.8),(29 2781951),(30 2906229.5),(31 2938479.5),(32 2972417.3),(33 3135072.3),(34 3370228.3),(35 3527989.3),(36 3512701.5),(37 3444282.3),(38 3372857),(39 3285212),(40 3242190.8),(41 3213565.8),(42 3178146.8),(43 3242481.5),(44 3368775),(45 3549888.5),(46 3753889.5),(47 3903039.5),(48 3957294.8),(49 3855679.3),(50 3619609),(51 3385591.8),(52 3180935.8),(53 3007418.3),(54 2976433.3),(55 3136050.8),(56 3267717.8),(57 3262062.5),(58 3193965.8),(59 3215661.3),(60 3342425),(61 3516077.8),(62 3625005.5),(63 3664025.5),(64 3634559.8),(65 3562393),(66 3464154.8),(67 3437744.5),(68 3395348.3),(69 3369400.5),(70 3355200.3),(71 3321857),(72 3189244.3),(73 3001533.3),(74 2914344),(75 2914350.5),(76 2896359),(77 2885592.3),(78 2946084),(79 3050353.5),
(1 374623.34),(2 1126572.5),(3 1788787.8),(4 2132076.3),(5 2225493.5),(6 2139549.3),(7 2037583.3),(8 1967039.9),(9 1968497),(10 1979229.6),(11 2076271.5),(12 2189824),(13 2296904.5),(14 2376751),(15 2452137.5),(16 2431187.5),(17 2389242.5),(18 2342582.8),(19 2239828.5),(20 2159192),(21 2156126),(22 2187685.8),(23 2283671.5),(24 2312491.3),(25 2319138),(26 2373839),(27 2384174.8),(28 2341194),(29 2301408.8),(30 2279112.5),(31 2294465),(32 2344856),(33 2510937),(34 2714549.5),(35 2825725.3),(36 2757869.5),(37 2761020.3),(38 2745280.5),(39 2647110.8),(40 2563164),(41 2514607.5),(42 2451387.8),(43 2423704.5),(44 2499798),(45 2693173.5),(46 2854880.5),(47 2980046.5),(48 3052611.3),(49 2997167.8),(50 2858513.8),(51 2717425.5),(52 2583413.3),(53 2465523.5),(54 2376048.5),(55 2434498),(56 2581619.8),(57 2677855.8),(58 2627578.3),(59 2559650.8),(60 2493850.8),(61 2503921.5),(62 2505166),(63 2473948.3),(64 2393319),(65 2310306.5),(66 2207655),(67 2184750.3),(68 2158611.3),(69 2186114.5),(70 2261188.5),(71 2311800.8),(72 2361265.3),(73 2356431.5),(74 2315926.3),(75 2296552.5),(76 2255548.5),(77 2225476.5),(78 2291854),(79 2420744),
(1 387891.97),(2 1134145.9),(3 1789971.4),(4 2140213),(5 2166814.3),(6 1988998.6),(7 1838461.9),(8 1793418.9),(9 1878674),(10 1894010.3),(11 1912786.6),(12 1999255.4),(13 2142399),(14 2273761.3),(15 2388675.8),(16 2367854.5),(17 2230220.5),(18 2069297.8),(19 2033194.6),(20 2080009.8),(21 2177319),(22 2286835.8),(23 2354859.3),(24 2350614.3),(25 2367808.5),(26 2390408.5),(27 2345170.8),(28 2234159),(29 2099115.8),(30 2014002),(31 2087846.3),(32 2264387.3),(33 2508902.3),(34 2656070.3),(35 2706290.8),(36 2700456.5),(37 2841868.8),(38 2894730.8),(39 2832321),(40 2717769),(41 2588526.8),(42 2418835),(43 2316139.3),(44 2376851),(45 2577714.8),(46 2750971),(47 2886268.5),(48 3004769.3),(49 3001256.8),(50 2933799),(51 2853922.8),(52 2697243.3),(53 2536995.3),(54 2463449.8),(55 2528837.8),(56 2633866.3),(57 2775153.5),(58 2825274),(59 2819004.5),(60 2712335.8),(61 2623774.3),(62 2535247),(63 2441740.5),(64 2371619),(65 2325078),(66 2274641.3),(67 2283959.8),(68 2355977.8),(69 2431519.3),(70 2438409.5),(71 2435166.3),(72 2449133),(73 2392494.8),(74 2301430.8),(75 2292041.5),(76 2328085),(77 2345528.8),(78 2330765.3),(79 2268684.8),
(1 423999.03),(2 1200569.1),(3 1729530.1),(4 1915925.1),(5 1866144.3),(6 1713156.3),(7 1661270.5),(8 1706724.8),(9 1791615.6),(10 1772183),(11 1723113),(12 1735856.9),(13 1875883.5),(14 2034140),(15 2132112),(16 2094360.5),(17 1960493.4),(18 1834342.6),(19 1770135.1),(20 1719317.1),(21 1732695.3),(22 1814675.5),(23 1865398.1),(24 1889331.5),(25 1917523.5),(26 1929003.5),(27 1916915.3),(28 1906424.3),(29 1871840),(30 1850957.1),(31 1872796.1),(32 1885716.5),(33 1891084.4),(34 1909560.6),(35 1936499.3),(36 1915365.6),(37 2026781.1),(38 2181978),(39 2203305.3),(40 2130182.5),(41 2020275),(42 1879223.1),(43 1786398.9),(44 1801113.8),(45 1933660.1),(46 2093078.4),(47 2319578),(48 2511642.3),(49 2575400),(50 2524511),(51 2394424),(52 2240211.8),(53 2104961),(54 2056164.3),(55 2086852),(56 2127486),(57 2202080.5),(58 2242734.5),(59 2279606.5),(60 2272902),(61 2194503),(62 2047719),(63 1913480.1),(64 1830044),(65 1791128.5),(66 1774266.4),(67 1889071.5),(68 2060170.1),(69 2148437.8),(70 2141601.8),(71 2082539.8),(72 2001027.5),(73 1949167.6),(74 1958894.1),(75 2036011),(76 2151716.5),(77 2164082.3),(78 2107487.8),(79 2051601.4),
