1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 8304.587),(2 15452.3),(3 28737.803),(4 39264.637),(5 52878.137),(6 68659.22),(7 87655.164),(8 110768.27),(9 138836.55),(10 159238.56),(11 183317.64),(12 195158.77),(13 216560.11),(14 235243),(15 261088.98),(16 290669.63),(17 334193.66),(18 373315.16),(19 416935.28),(20 460680.5),(21 516143.47),(22 573834.75),(23 635969.7),(24 697848.5),(25 776925.44),(26 853326),(27 934581),(28 996904),(29 1078157.6),(30 1135222.6),(31 1195211.1),(32 1246227),(33 1317677.6),(34 1384497.4),(35 1462624),(36 1534769.6),(37 1611710.4),(38 1681655.5),(39 1752305.9),(40 1831727.6),(41 1910486.9),(42 1987084.1),(43 2054136),(44 2121570.8),(45 2193847),(46 2257178.3),(47 2323619.8),(48 2397113.8),(49 2478839.3),(50 2552071.3),(51 2644213),(52 2751623.3),(53 2864157.8),(54 2984887.3),(55 3107356.8),(56 3206532.8),(57 3327890.8),(58 3446606.3),(59 3583344.8),(60 3716595),(61 3846004.8),(62 3994133.3),(63 4139053.8),(64 4295984.5),(65 4467683.5),(66 4639186),(67 4800970.5),(68 4964543.5),(69 5135817),(70 5310368.5),(71 5460756.5),(72 5592434.5),(73 5729806.5),(74 5877065.5),(75 6043042.5),(76 6197287.5),(77 6371116),(78 6549405.5),(79 6746278.5),
(1 8317.646),(2 23309.813),(3 44748.14),(4 66185.78),(5 90049.734),(6 115182.73),(7 143507.4),(8 173712.97),(9 206683.16),(10 238807.9),(11 273216.34),(12 303896.84),(13 340544.63),(14 378887.47),(15 419644.3),(16 466231.4),(17 519360.5),(18 574643.7),(19 625163.8),(20 677904.8),(21 728928.1),(22 782312.06),(23 837810),(24 889826.2),(25 955957),(26 1028489.2),(27 1108265.5),(28 1184568.1),(29 1260381),(30 1331582.3),(31 1398063.6),(32 1467546.3),(33 1546183.3),(34 1626045.4),(35 1712691.6),(36 1802993.3),(37 1888923.6),(38 1980006),(39 2072739.6),(40 2176121),(41 2261705.5),(42 2349355.5),(43 2431092.3),(44 2519601.3),(45 2611432.5),(46 2701162),(47 2793178.8),(48 2885132.5),(49 2986750.5),(50 3094391.3),(51 3212832),(52 3349866),(53 3490692.8),(54 3628583.3),(55 3757186.8),(56 3883173.5),(57 4017006.5),(58 4152256.8),(59 4291918),(60 4426142.5),(61 4548940.5),(62 4673481),(63 4809314.5),(64 4957024.5),(65 5123910.5),(66 5290085.5),(67 5461016),(68 5633545.5),(69 5820161.5),(70 6008247),(71 6176222.5),(72 6344586.5),(73 6501784.5),(74 6657460),(75 6842835),(76 7024302.5),(77 7223986.5),(78 7427766.5),(79 7640115),
(1 9322.211),(2 29568.266),(3 58621.125),(4 93604.4),(5 134686.64),(6 179747.5),(7 230632.3),(8 285398.25),(9 346642.47),(10 411583.78),(11 484902.1),(12 558761.8),(13 640265.7),(14 730371.8),(15 827437.2),(16 925503.8),(17 1025089),(18 1118289.6),(19 1225948.1),(20 1331296.8),(21 1444701.5),(22 1567591.1),(23 1704967.5),(24 1835200.5),(25 1977292.6),(26 2119242),(27 2256972.8),(28 2391897.8),(29 2526708.8),(30 2664367.8),(31 2807166.8),(32 2945474),(33 3091920.3),(34 3233717),(35 3381731.3),(36 3514905.3),(37 3648615.3),(38 3758856.3),(39 3890671.8),(40 3992207.3),(41 4092320),(42 4181464.8),(43 4265992.5),(44 4346068),(45 4439453.5),(46 4516990.5),(47 4593553.5),(48 4685854),(49 4794731.5),(50 4905243.5),(51 5011667.5),(52 5119215.5),(53 5221573),(54 5306931.5),(55 5377776),(56 5445566),(57 5543552),(58 5661012),(59 5788667.5),(60 5906558),(61 6034192),(62 6146909.5),(63 6281828.5),(64 6420791.5),(65 6542629.5),(66 6645801.5),(67 6743053.5),(68 6828969.5),(69 6899266.5),(70 6950306.5),(71 6969518.5),(72 6965092.5),(73 6957540),(74 6949816.5),(75 6970958.5),(76 6985264),(77 7010972),(78 7011472),(79 7014202.5),
(1 11863.531),(2 40565.78),(3 85094.47),(4 141744.94),(5 209972.06),(6 287119.63),(7 376717.72),(8 475281.34),(9 581417.7),(10 693281.7),(11 812239.75),(12 937780.44),(13 1068881),(14 1202587.8),(15 1342272.5),(16 1482397.8),(17 1628579.4),(18 1774628.5),(19 1926620.5),(20 2072168.9),(21 2223384),(22 2374695),(23 2526844),(24 2670785.3),(25 2807067),(26 2940617.8),(27 3072045.3),(28 3191894.8),(29 3308699.5),(30 3421696),(31 3535490.5),(32 3645099.5),(33 3766976.5),(34 3893367),(35 4026076.5),(36 4142200.5),(37 4258345),(38 4366810),(39 4475662),(40 4571456),(41 4654244),(42 4727257),(43 4794401),(44 4856158.5),(45 4922858),(46 4988765.5),(47 5060871),(48 5124762.5),(49 5189790.5),(50 5235223),(51 5285226),(52 5330406),(53 5373413.5),(54 5400634.5),(55 5411083),(56 5404461),(57 5393037.5),(58 5374174),(59 5354316),(60 5317818.5),(61 5296295),(62 5276371.5),(63 5262200),(64 5242952.5),(65 5227931),(66 5205986.5),(67 5188239),(68 5173425.5),(69 5167144.5),(70 5158474),(71 5153721),(72 5134265),(73 5129084),(74 5110857),(75 5099972.5),(76 5100601.5),(77 5112491.5),(78 5139044.5),(79 5182635.5),
(1 11665.219),(2 40240.29),(3 84792.59),(4 143066.05),(5 213373.84),(6 293888.78),(7 386224),(8 487542.63),(9 597554.6),(10 714111.3),(11 842160),(12 975125.25),(13 1117584.9),(14 1264566.8),(15 1420891.8),(16 1575118.1),(17 1735034.9),(18 1901127.1),(19 2070981.1),(20 2235171.5),(21 2402929.5),(22 2570188),(23 2743872),(24 2915100.8),(25 3077068.3),(26 3240835.3),(27 3410280),(28 3568204.3),(29 3722312.3),(30 3879907.3),(31 4040505.5),(32 4197197.5),(33 4359154),(34 4526951.5),(35 4706864),(36 4869360),(37 5029680),(38 5185294),(39 5334484.5),(40 5480402),(41 5616631.5),(42 5749542.5),(43 5878149.5),(44 6001531.5),(45 6114057.5),(46 6224859.5),(47 6330104.5),(48 6415895.5),(49 6502684.5),(50 6558120.5),(51 6605006.5),(52 6651079.5),(53 6699536.5),(54 6738024.5),(55 6768197),(56 6776192),(57 6784266),(58 6780716.5),(59 6775418),(60 6759057.5),(61 6748631.5),(62 6724823.5),(63 6697249.5),(64 6667157),(65 6630812.5),(66 6591526),(67 6540880.5),(68 6504540.5),(69 6480033.5),(70 6452102),(71 6438711.5),(72 6413633.5),(73 6409274),(74 6408365),(75 6419696),(76 6436061),(77 6458547),(78 6489592.5),(79 6543996.5),
(1 10702.125),(2 38241.086),(3 79369.2),(4 133022.63),(5 196634.75),(6 266759.9),(7 343808.6),(8 426067.3),(9 513186),(10 602833.6),(11 698517.75),(12 801550),(13 910911.9),(14 1024085.6),(15 1145128.3),(16 1262884.8),(17 1388803.3),(18 1517883.4),(19 1642971.8),(20 1767746),(21 1891677.6),(22 2029406),(23 2165438),(24 2302864.5),(25 2429997.3),(26 2561482.3),(27 2708400),(28 2856530.5),(29 2999770),(30 3153250.3),(31 3328160.5),(32 3499832.5),(33 3688880),(34 3882106.8),(35 4079192.5),(36 4272918.5),(37 4445163),(38 4605938),(39 4763353),(40 4911439),(41 5046422),(42 5171974),(43 5297161),(44 5422407),(45 5552075),(46 5665812.5),(47 5785123),(48 5885977),(49 5983269.5),(50 6072477),(51 6141293.5),(52 6200674.5),(53 6260795),(54 6306406),(55 6336955),(56 6352828.5),(57 6380301),(58 6398984.5),(59 6431209),(60 6462185.5),(61 6508138.5),(62 6549093.5),(63 6596295.5),(64 6645813),(65 6684822.5),(66 6709921),(67 6720905),(68 6732138.5),(69 6748439),(70 6760041),(71 6787238.5),(72 6804976),(73 6818326.5),(74 6823487),(75 6841181.5),(76 6863695),(77 6893426.5),(78 6910572),(79 6938464),
(1 15409.621),(2 55190.473),(3 115261.36),(4 191926.4),(5 281310.4),(6 381050.44),(7 491958.97),(8 609728),(9 735074.1),(10 863435.7),(11 995090.25),(12 1125366.3),(13 1253648),(14 1380819.3),(15 1509518.3),(16 1628677.3),(17 1744469.8),(18 1852480),(19 1955362.9),(20 2049832.9),(21 2137867.8),(22 2218801.8),(23 2289447),(24 2348794.3),(25 2400432.3),(26 2448341.3),(27 2491523),(28 2534828.5),(29 2574201.5),(30 2608621.5),(31 2651586.8),(32 2692783.5),(33 2742312.5),(34 2794630.3),(35 2848388),(36 2895529.5),(37 2933594.5),(38 2975613.8),(39 3011884.3),(40 3044881.5),(41 3071393.8),(42 3095340.5),(43 3114049.8),(44 3137489.8),(45 3169631.5),(46 3204600.3),(47 3246124.5),(48 3291235.8),(49 3332505),(50 3377515.8),(51 3419430.8),(52 3462809),(53 3513427),(54 3564845.5),(55 3612904.5),(56 3664179.5),(57 3731292),(58 3799244),(59 3868230.8),(60 3940210.3),(61 4017879),(62 4093131.5),(63 4164167.8),(64 4237495),(65 4308107),(66 4361080.5),(67 4412189),(68 4452352.5),(69 4494387.5),(70 4531137),(71 4562175),(72 4573899),(73 4593982),(74 4604143),(75 4612077),(76 4624813),(77 4637647.5),(78 4648293),(79 4651779),
(1 17427.648),(2 64242.79),(3 137148.23),(4 230614.1),(5 348562.1),(6 484678.72),(7 640674.25),(8 809035.06),(9 998536.7),(10 1204551.8),(11 1422124.8),(12 1641240.3),(13 1870202.1),(14 2098588.3),(15 2338984.5),(16 2568763.8),(17 2792513.5),(18 3021491.3),(19 3250115.8),(20 3467245.3),(21 3686927),(22 3891990.3),(23 4095712.5),(24 4269625.5),(25 4428661.5),(26 4562749.5),(27 4694447.5),(28 4811985),(29 4921661),(30 5029449.5),(31 5125027.5),(32 5218215.5),(33 5310761.5),(34 5395361),(35 5493238.5),(36 5577562),(37 5652933.5),(38 5729374),(39 5802091.5),(40 5865786.5),(41 5915795),(42 5955111.5),(43 5987572.5),(44 6006553),(45 6029203),(46 6046653.5),(47 6064420.5),(48 6083125.5),(49 6095113.5),(50 6099385.5),(51 6094248),(52 6086744.5),(53 6078004.5),(54 6055246),(55 6020224),(56 5980042),(57 5935099.5),(58 5886917.5),(59 5829264),(60 5779630),(61 5749007.5),(62 5704945),(63 5673114.5),(64 5650109),(65 5627991),(66 5589192),(67 5549611.5),(68 5509463),(69 5470753),(70 5425927.5),(71 5380516.5),(72 5336838),(73 5307312),(74 5276907.5),(75 5251898.5),(76 5232496),(77 5214877.5),(78 5193330),(79 5177351.5),
(1 15582.517),(2 56141.594),(3 117578.445),(4 195065.39),(5 287805.44),(6 393310.8),(7 509791.28),(8 633294.9),(9 767387.1),(10 909787.06),(11 1060654.6),(12 1213600.8),(13 1372565.8),(14 1533347.9),(15 1697537.6),(16 1861822.9),(17 2025600.5),(18 2190084.8),(19 2351031.8),(20 2509253.8),(21 2664334.5),(22 2808678.8),(23 2954160),(24 3084598.8),(25 3217110.5),(26 3343969.3),(27 3467960.5),(28 3586003.8),(29 3702628.3),(30 3811850),(31 3918829.8),(32 4018250.3),(33 4110001),(34 4194139.3),(35 4270003),(36 4330462),(37 4382337),(38 4426979.5),(39 4465627),(40 4494820),(41 4512985.5),(42 4532370.5),(43 4549156.5),(44 4561072),(45 4568802.5),(46 4570497.5),(47 4575385.5),(48 4568615),(49 4554253),(50 4528781.5),(51 4487297),(52 4447267),(53 4403848),(54 4358311.5),(55 4307718),(56 4262927.5),(57 4217723.5),(58 4181197.8),(59 4148191),(60 4134230.5),(61 4130624.5),(62 4120289.5),(63 4115634),(64 4115567),(65 4130582.5),(66 4148766),(67 4169243.8),(68 4199563.5),(69 4231832),(70 4266303.5),(71 4304918.5),(72 4339164),(73 4382388.5),(74 4423605),(75 4471392),(76 4529332),(77 4597201),(78 4660587.5),(79 4717001.5),
(1 14636.6045),(2 51859.855),(3 107643.32),(4 178050.69),(5 262012.94),(6 359043.66),(7 466920.94),(8 580819.25),(9 699136.44),(10 822604.7),(11 950235.25),(12 1079197.1),(13 1211902.5),(14 1350207.8),(15 1492967.1),(16 1637237.3),(17 1781679.5),(18 1922497.8),(19 2057338.5),(20 2179969),(21 2290857.3),(22 2393649),(23 2496241),(24 2584683.5),(25 2665845.8),(26 2735282),(27 2799702.8),(28 2858915),(29 2908163),(30 2948973),(31 2993937.3),(32 3035349.3),(33 3085094),(34 3139364),(35 3193361.8),(36 3240279),(37 3282762),(38 3324618.3),(39 3363567.3),(40 3398970.3),(41 3430146.8),(42 3462052),(43 3492375),(44 3517325),(45 3541542.3),(46 3565738.3),(47 3590985.8),(48 3613003.3),(49 3637095.5),(50 3663522.3),(51 3704564.3),(52 3741669.8),(53 3772587.5),(54 3796248),(55 3816953.3),(56 3836433),(57 3854813.3),(58 3863225.8),(59 3867925),(60 3861857.8),(61 3862341.3),(62 3851185.8),(63 3838329.3),(64 3816777),(65 3799708),(66 3774327),(67 3753046.3),(68 3721729.5),(69 3687306.3),(70 3651476.5),(71 3617881.3),(72 3574176.5),(73 3534237.8),(74 3493889.5),(75 3453177.5),(76 3415216.8),(77 3382797),(78 3347194),(79 3326878.3),
(1 17126.916),(2 62753.016),(3 133718.86),(4 227346.03),(5 339918.94),(6 470676.75),(7 615994.1),(8 774014.25),(9 938411.75),(10 1111309.9),(11 1291508.8),(12 1470410.6),(13 1645829.6),(14 1819751),(15 1989769),(16 2157471.3),(17 2325254.3),(18 2489879.5),(19 2649665.5),(20 2798922),(21 2937567),(22 3066802),(23 3187691.5),(24 3283744.5),(25 3360677.3),(26 3422480.5),(27 3469232),(28 3502965.3),(29 3530565.3),(30 3548871.3),(31 3553583),(32 3557604.3),(33 3553511.5),(34 3536158.8),(35 3511429.8),(36 3480370),(37 3446074.8),(38 3406855.5),(39 3361665.5),(40 3314466.3),(41 3259776.3),(42 3212040.3),(43 3156666),(44 3100970.8),(45 3048915.8),(46 3002548.8),(47 2967199),(48 2936631),(49 2904629.5),(50 2879923.3),(51 2869331.3),(52 2860691.8),(53 2857958.8),(54 2870746.5),(55 2892091.3),(56 2922517.8),(57 2962621.3),(58 3006633),(59 3051577.5),(60 3093035.5),(61 3130316.8),(62 3160628.3),(63 3188613.5),(64 3211391.8),(65 3224371),(66 3236147.8),(67 3240235.8),(68 3240946),(69 3244098.8),(70 3248759.8),(71 3253221.5),(72 3248412.3),(73 3235006.8),(74 3219800.5),(75 3200927.8),(76 3182825.3),(77 3169390),(78 3158185.8),(79 3146392),
(1 15368.715),(2 57268.61),(3 124087),(4 211599.6),(5 319388.03),(6 444912.13),(7 585212.5),(8 735841.3),(9 893945.94),(10 1057106.6),(11 1229721.6),(12 1408138.8),(13 1592899),(14 1785366.3),(15 1980458.4),(16 2175508.5),(17 2374630.8),(18 2565986.3),(19 2759133.5),(20 2945126.3),(21 3131554.5),(22 3314890.8),(23 3491894.5),(24 3646007.8),(25 3789403.3),(26 3911905.8),(27 4031971.3),(28 4129232.8),(29 4207801.5),(30 4278057.5),(31 4328835),(32 4367227),(33 4388399),(34 4394035),(35 4387696),(36 4363793.5),(37 4329321.5),(38 4286103),(39 4234794.5),(40 4172953.5),(41 4100988.5),(42 4017611.5),(43 3929400.3),(44 3830107.8),(45 3727092.5),(46 3615019.3),(47 3507615.3),(48 3407910),(49 3308337.8),(50 3216145.8),(51 3136604.3),(52 3067235.8),(53 3000802.8),(54 2948333.3),(55 2908893.3),(56 2883097.5),(57 2870277.5),(58 2867349.5),(59 2867604.8),(60 2880024.3),(61 2902723.5),(62 2923231.8),(63 2949920.3),(64 2975302),(65 3003409.8),(66 3024237.3),(67 3044441.5),(68 3066247.3),(69 3089586.8),(70 3114719.8),(71 3143847),(72 3173987.5),(73 3201192.8),(74 3224292.8),(75 3236571.3),(76 3245690.5),(77 3249689),(78 3251891.3),(79 3253649.8),
