1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 14331.138),(2 47048.375),(3 108961.68),(4 193301.86),(5 291645.9),(6 395172),(7 490260),(8 546727.44),(9 628920.94),(10 726927.06),(11 819044.25),(12 897335.8),(13 980862.5),(14 1078047.6),(15 1225187.9),(16 1353845.6),(17 1462908.6),(18 1583857.6),(19 1720743.4),(20 1855927.6),(21 1995041.4),(22 2162110.3),(23 2306911),(24 2408134.3),(25 2474042),(26 2526092.3),(27 2580363.3),(28 2622453),(29 2680077.3),(30 2739666.3),(31 2803555.3),(32 2877247.3),(33 2958915.3),(34 3047794),(35 3120466),(36 3176410),(37 3219909.8),(38 3240272.3),(39 3249060.8),(40 3233873.3),(41 3214942),(42 3187131.8),(43 3137280.8),(44 3091402.3),(45 3059240.8),(46 3026081.3),(47 3027353.3),(48 3017258.3),(49 3050292.8),(50 3093062.8),(51 3152990.8),(52 3225188),(53 3313617),(54 3386406.8),(55 3454082),(56 3514492.3),(57 3560217.3),(58 3609378.3),(59 3667836.8),(60 3733969.3),(61 3859216.8),(62 4014860.8),(63 4201684),(64 4392871.5),(65 4568252.5),(66 4726569.5),(67 4907238.5),(68 5073629),(69 5251741),(70 5396811),(71 5524692.5),(72 5637458.5),(73 5750578.5),(74 5845965.5),(75 5931730.5),(76 6013621.5),(77 6101237.5),(78 6203814),(79 6319604),
(1 11256.545),(2 36074.414),(3 77867.58),(4 134023.4),(5 205804.6),(6 295903.3),(7 398374.5),(8 483085.94),(9 576357.4),(10 669691.6),(11 765772.7),(12 852314.4),(13 925339.7),(14 996716.5),(15 1082858.1),(16 1155249.3),(17 1222485.8),(18 1285420),(19 1356933.4),(20 1419596.5),(21 1481109),(22 1541822.4),(23 1592847.8),(24 1627658.8),(25 1641614.3),(26 1641044.4),(27 1630210.3),(28 1606843.8),(29 1590105.4),(30 1571908),(31 1562194),(32 1560248.1),(33 1563903.8),(34 1584531.4),(35 1617281.8),(36 1661782.8),(37 1706995),(38 1757296.4),(39 1813364.8),(40 1888700),(41 1963208.4),(42 2040360.4),(43 2121175.3),(44 2204122.5),(45 2297065.3),(46 2398019),(47 2494311.5),(48 2602138.8),(49 2707239.8),(50 2801786.8),(51 2894073.5),(52 2994700),(53 3100597),(54 3212118),(55 3311618.8),(56 3391825.5),(57 3469098.8),(58 3533218.5),(59 3596674.5),(60 3648297.3),(61 3688822.8),(62 3709897.3),(63 3720539.5),(64 3718449.5),(65 3699192.8),(66 3666551.3),(67 3622622.5),(68 3559875.3),(69 3499011.3),(70 3433484),(71 3384499.3),(72 3347562),(73 3320832.8),(74 3290719.3),(75 3268755),(76 3251434.8),(77 3242450.8),(78 3222858.8),(79 3211460.5),
(1 17451.52),(2 59307.87),(3 124259.78),(4 212418.75),(5 321054.84),(6 454087.9),(7 616477.94),(8 774731.5),(9 939847.7),(10 1109572.9),(11 1282921.6),(12 1447043),(13 1607873.4),(14 1767572.5),(15 1932439.1),(16 2072385.1),(17 2183096),(18 2290172.8),(19 2395738.8),(20 2486531.8),(21 2560446),(22 2628813.3),(23 2683744.3),(24 2717008.3),(25 2736861.8),(26 2739930.3),(27 2726129),(28 2693382),(29 2665857.8),(30 2645719.8),(31 2627774.8),(32 2618860.5),(33 2616895.3),(34 2633691.3),(35 2677162.8),(36 2733573.3),(37 2787294.8),(38 2839136),(39 2907910.3),(40 2995031),(41 3092586),(42 3208662.8),(43 3343005.3),(44 3482963.3),(45 3624022.8),(46 3762653.3),(47 3884668),(48 4019616),(49 4139487.3),(50 4241674.5),(51 4327787),(52 4419352.5),(53 4516416),(54 4610837.5),(55 4721152),(56 4834857),(57 4962231.5),(58 5089546.5),(59 5216874),(60 5346728.5),(61 5451216),(62 5523090.5),(63 5589554.5),(64 5656664),(65 5721448),(66 5782676.5),(67 5839376),(68 5898549.5),(69 5951649.5),(70 5998920),(71 6064216),(72 6157048.5),(73 6267132),(74 6396504),(75 6544816),(76 6707966.5),(77 6859820),(78 6982812.5),(79 7097632.5),
(1 15547.908),(2 49796.797),(3 102356.34),(4 171748.2),(5 252136.97),(6 353052.88),(7 460066.06),(8 573672.3),(9 689345.5),(10 805049.7),(11 925604),(12 1036905.56),(13 1149466.5),(14 1257911.1),(15 1366244),(16 1464195.5),(17 1558717.9),(18 1645927.5),(19 1733245.3),(20 1822954.5),(21 1912860),(22 2002155.4),(23 2094778.6),(24 2175942),(25 2263809.3),(26 2342088.3),(27 2405955.8),(28 2456636),(29 2509982.8),(30 2579467.8),(31 2652365),(32 2723329.8),(33 2795575.5),(34 2857378),(35 2939140.5),(36 3015999.8),(37 3094348.8),(38 3178806.5),(39 3270123.5),(40 3365453.8),(41 3453257.3),(42 3541059.5),(43 3645635.5),(44 3735556.5),(45 3816821.3),(46 3894675.5),(47 3962032.5),(48 4016796.5),(49 4070967),(50 4107141.3),(51 4136460.5),(52 4157376),(53 4182313.8),(54 4219356.5),(55 4287470),(56 4353487),(57 4442104),(58 4536468.5),(59 4635849),(60 4744098.5),(61 4832200.5),(62 4910222),(63 5006569),(64 5090886),(65 5171304),(66 5254482.5),(67 5324493.5),(68 5391729.5),(69 5457934),(70 5535707.5),(71 5638730.5),(72 5768483),(73 5913706),(74 6069962.5),(75 6220847.5),(76 6353331.5),(77 6480959.5),(78 6574497.5),(79 6671677.5),
(1 16392.174),(2 52962.41),(3 109316.45),(4 180119.44),(5 264828.8),(6 368710.8),(7 478984.97),(8 594809),(9 716062.44),(10 843099.75),(11 971523.94),(12 1095515.4),(13 1226508.1),(14 1360975.5),(15 1497876.5),(16 1631799.9),(17 1764480.4),(18 1888272.1),(19 2015809.5),(20 2148779.3),(21 2284599.8),(22 2411678.3),(23 2548745.8),(24 2676471.3),(25 2792366.3),(26 2894696),(27 2978092.3),(28 3040427),(29 3103375.3),(30 3174754.3),(31 3247320),(32 3322220.3),(33 3406557.8),(34 3485229.5),(35 3586953),(36 3679475.8),(37 3773203),(38 3864712.3),(39 3959108.3),(40 4048975.3),(41 4137961.5),(42 4232698),(43 4333404.5),(44 4420272),(45 4486608.5),(46 4555920.5),(47 4619414),(48 4667469),(49 4720643),(50 4771545.5),(51 4819580.5),(52 4871354),(53 4920974),(54 4978528.5),(55 5042132.5),(56 5090404.5),(57 5156083),(58 5216214),(59 5278606.5),(60 5332858),(61 5367750.5),(62 5383375.5),(63 5388718.5),(64 5380891.5),(65 5372095.5),(66 5349971),(67 5331234.5),(68 5305204.5),(69 5287301),(70 5264636.5),(71 5259579),(72 5262725),(73 5265374),(74 5264691.5),(75 5261312.5),(76 5252435.5),(77 5240573),(78 5201605.5),(79 5151534),
(1 15814.047),(2 51410.945),(3 104894.5),(4 173322.94),(5 250604.83),(6 341574.06),(7 447926.3),(8 554221.75),(9 668780),(10 787203.9),(11 912912.9),(12 1030129),(13 1154071.8),(14 1277296.8),(15 1407303.6),(16 1529825.3),(17 1633958.9),(18 1732297.8),(19 1828709.4),(20 1931282),(21 2027965),(22 2120886.5),(23 2211505.5),(24 2290751.5),(25 2371136.5),(26 2440580),(27 2507385.5),(28 2549943),(29 2593960.8),(30 2640112.5),(31 2698570),(32 2759765.3),(33 2825717),(34 2883746.5),(35 2953031.5),(36 3022847.5),(37 3097192.8),(38 3193324),(39 3296992.5),(40 3414519.3),(41 3545106),(42 3676250),(43 3814944.5),(44 3954590.5),(45 4085948),(46 4218844),(47 4341478.5),(48 4435072),(49 4530555),(50 4626286.5),(51 4703301),(52 4776176),(53 4835045.5),(54 4882514.5),(55 4925785.5),(56 4971892),(57 5026314.5),(58 5074337),(59 5098419),(60 5115653.5),(61 5102728),(62 5063425),(63 5018268),(64 4969001),(65 4916501.5),(66 4879448),(67 4828063),(68 4779579.5),(69 4740039),(70 4714898),(71 4695181),(72 4688367),(73 4686116),(74 4697962.5),(75 4727552),(76 4761175),(77 4792733),(78 4816191),(79 4832633),
(1 14715.296),(2 49132.027),(3 102107.05),(4 172150.78),(5 258542.98),(6 364340.78),(7 481381.03),(8 600548.3),(9 726888.6),(10 863007.94),(11 1004205.94),(12 1149360.8),(13 1306941.5),(14 1472553.5),(15 1648664.3),(16 1824917.1),(17 2002477.9),(18 2164834.3),(19 2337163.5),(20 2499025.3),(21 2662848.3),(22 2823579.8),(23 2993963.8),(24 3152827),(25 3308317),(26 3449758.8),(27 3575025.8),(28 3695179.5),(29 3812659.8),(30 3928468),(31 4046588),(32 4169580),(33 4296090),(34 4423558.5),(35 4554956.5),(36 4674011.5),(37 4793676),(38 4906353.5),(39 5021098),(40 5139649),(41 5248053),(42 5335005.5),(43 5413363),(44 5468136),(45 5503667.5),(46 5528087.5),(47 5538003.5),(48 5529466),(49 5510102),(50 5478624.5),(51 5430168.5),(52 5363072),(53 5282361),(54 5180525.5),(55 5078387),(56 4971678),(57 4872745),(58 4766083.5),(59 4653987.5),(60 4533518.5),(61 4391676.5),(62 4235530.5),(63 4090895.5),(64 3950951.5),(65 3825469.5),(66 3710193.3),(67 3605181.5),(68 3498594.3),(69 3403132.3),(70 3313797),(71 3237216.5),(72 3178015.5),(73 3138634.3),(74 3114216),(75 3117650.8),(76 3135293.8),(77 3151620.3),(78 3168187.8),(79 3185241.3),
(1 21732.05),(2 74285.09),(3 157651.86),(4 266075.1),(5 399742.66),(6 553791.1),(7 722538.56),(8 897751),(9 1083918.1),(10 1280130.4),(11 1482657.1),(12 1685513.1),(13 1889621.4),(14 2084045.9),(15 2275785.8),(16 2465965.3),(17 2651199.5),(18 2817416.5),(19 2970122.3),(20 3099868.5),(21 3205129.5),(22 3285860.3),(23 3345139.5),(24 3389880.5),(25 3425243.3),(26 3436428.8),(27 3431802.8),(28 3418699),(29 3416071.5),(30 3409033),(31 3400753),(32 3388236.5),(33 3371451.3),(34 3351126.5),(35 3358380.8),(36 3369668.3),(37 3376741.8),(38 3373021.3),(39 3379888.5),(40 3385204),(41 3380106.5),(42 3394538.8),(43 3415471.3),(44 3432597.5),(45 3454017.3),(46 3473548.8),(47 3490573),(48 3496625.5),(49 3498016),(50 3486300.8),(51 3470947.5),(52 3455222.3),(53 3433716.8),(54 3413828.3),(55 3391758.3),(56 3370050.3),(57 3345305.3),(58 3312404.3),(59 3272388.3),(60 3228715.3),(61 3190106.5),(62 3154684.8),(63 3128859.3),(64 3118481.8),(65 3116576.5),(66 3122715.8),(67 3115080.5),(68 3113611.5),(69 3128223.8),(70 3146249),(71 3164252.5),(72 3182183.3),(73 3210152.8),(74 3235538.3),(75 3268766.8),(76 3294670.3),(77 3316776.8),(78 3338618.5),(79 3364562.5),
(1 26157.469),(2 93514.88),(3 199777.73),(4 340125.2),(5 511540.47),(6 713802),(7 938391.6),(8 1172113),(9 1413372.5),(10 1655493),(11 1895914),(12 2121960),(13 2341411.8),(14 2547157.5),(15 2745044.8),(16 2933173.8),(17 3108898),(18 3247753.8),(19 3359980.8),(20 3446096.3),(21 3497409.8),(22 3522851.3),(23 3529499.8),(24 3523410),(25 3512176.5),(26 3483389.8),(27 3451314),(28 3411352.3),(29 3375586.8),(30 3334743.3),(31 3303959.5),(32 3281058.8),(33 3274857.3),(34 3280879.3),(35 3317610.3),(36 3364333.3),(37 3422784),(38 3484870.5),(39 3562319),(40 3652990.3),(41 3748874.3),(42 3870132.3),(43 4000743),(44 4122744.5),(45 4235350),(46 4329078),(47 4396733),(48 4445382.5),(49 4476766.5),(50 4461392),(51 4415562.5),(52 4348931),(53 4254455.5),(54 4162986.3),(55 4064391.5),(56 3958857),(57 3854362),(58 3744865),(59 3637123.5),(60 3521176.5),(61 3407971.8),(62 3306712.3),(63 3200991.3),(64 3103743.5),(65 3011789.8),(66 2921284.3),(67 2843050.8),(68 2781271.5),(69 2731506.8),(70 2695824.5),(71 2681946.3),(72 2679601.5),(73 2699824),(74 2730423.3),(75 2774245),(76 2820811.3),(77 2872167),(78 2925242.3),(79 2971023),
(1 27918.078),(2 100531.59),(3 214154.22),(4 360970.72),(5 538846.5),(6 741980.5),(7 962271.56),(8 1180019),(9 1396910.3),(10 1601056.3),(11 1788287),(12 1964748.3),(13 2129433),(14 2275969),(15 2409236.5),(16 2531781.8),(17 2640988),(18 2739957),(19 2822000),(20 2890737.8),(21 2938683),(22 2973360.5),(23 2999705.8),(24 3021414),(25 3039073),(26 3052029.3),(27 3060416),(28 3066734.3),(29 3080534.3),(30 3094800.8),(31 3112372.8),(32 3137594.3),(33 3172351.3),(34 3214849.3),(35 3268747.8),(36 3321752.5),(37 3377862.3),(38 3445064.8),(39 3515131.8),(40 3587091.5),(41 3664040.3),(42 3740794.8),(43 3817870.8),(44 3875701),(45 3927293.3),(46 3957920),(47 3975320),(48 3972841.3),(49 3962638.8),(50 3931936),(51 3880499.5),(52 3816592.5),(53 3736112),(54 3666265.5),(55 3585890.5),(56 3500597.5),(57 3419554.8),(58 3336326),(59 3243763.3),(60 3149202.5),(61 3056299.3),(62 2967019.5),(63 2878201.5),(64 2794388),(65 2717035.5),(66 2656909.3),(67 2599209.3),(68 2556345.3),(69 2520704.5),(70 2499017.8),(71 2490103.8),(72 2493849.8),(73 2517771.8),(74 2556336.3),(75 2608905.3),(76 2679139.5),(77 2758043),(78 2844371),(79 2928835),
(1 23791.813),(2 81937.586),(3 170219.69),(4 281524.28),(5 410351.4),(6 550347.94),(7 690836.56),(8 822100),(9 945707.7),(10 1064650.9),(11 1174710.6),(12 1272073),(13 1360746.1),(14 1434689.4),(15 1498026.8),(16 1547166.9),(17 1595337.5),(18 1629748.3),(19 1653268.9),(20 1678729.5),(21 1702715),(22 1736907),(23 1778478.6),(24 1831780),(25 1897951),(26 1967317.4),(27 2047729.4),(28 2133034.3),(29 2227646.8),(30 2322072.8),(31 2411377.5),(32 2504572.8),(33 2589654),(34 2666289),(35 2739477.8),(36 2794696),(37 2843234),(38 2882590),(39 2919659),(40 2953386.3),(41 2971619.8),(42 2984540.3),(43 2989978.8),(44 2985352),(45 2969515.8),(46 2941910),(47 2902434.5),(48 2860427.8),(49 2815770.8),(50 2768701),(51 2717341.8),(52 2670995.3),(53 2620979.3),(54 2579979.8),(55 2546799),(56 2518551),(57 2498695),(58 2480543),(59 2459602.3),(60 2433269.8),(61 2407369.3),(62 2385538.5),(63 2367858),(64 2352896.5),(65 2336624.8),(66 2322063.5),(67 2310467.3),(68 2302537),(69 2293522),(70 2281238.8),(71 2270076.5),(72 2263260.8),(73 2260442.8),(74 2262307.8),(75 2259645),(76 2251810),(77 2239857.5),(78 2224744.5),(79 2199892.5),
