1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 23605.787),(2 72787.46),(3 162424.63),(4 289664.94),(5 452663.16),(6 635920.56),(7 831765),(8 1088119.9),(9 1371996.1),(10 1714618.6),(11 2062223.5),(12 2444639.8),(13 2802780.8),(14 3227706.8),(15 3670809),(16 4189693),(17 4757907),(18 5318257.5),(19 5873426),(20 6503410.5),(21 7090739.5),(22 7637389.5),(23 8151447.5),(24 8665360),(25 9156417),(26 9587495),(27 9960185),(28 10324380),(29 10672530),(30 10960183),(31 11265160),(32 11529933),(33 11744993),(34 11944572),(35 12163400),(36 12321011),(37 12514629),(38 12665331),(39 12855416),(40 13009523),(41 13168099),(42 13277316),(43 13436917),(44 13563517),(45 13756460),(46 13935985),(47 14153251),(48 14459723),(49 14873275),(50 15348220),(51 15828349),(52 16304764),(53 16786882),(54 17324678),(55 17852662),(56 18331030),(57 18710896),(58 19002200),(59 19190656),(60 19282264),(61 19313226),(62 19288280),(63 19220580),(64 19160142),(65 19140144),(66 19253634),(67 19404546),(68 19646074),(69 19851960),(70 20003564),(71 20071152),(72 20097362),(73 20210848),(74 20377510),(75 20528328),(76 20646752),(77 20785226),(78 21035666),(79 21373644),
(1 25924.54),(2 91619.52),(3 200675.05),(4 346788.44),(5 532995.8),(6 739604.1),(7 967534.8),(8 1228859.3),(9 1516134.3),(10 1838342.6),(11 2175278.5),(12 2519347.5),(13 2872290),(14 3257014.3),(15 3661695.3),(16 4104303.5),(17 4582707),(18 5099895.5),(19 5622580),(20 6182030.5),(21 6719563),(22 7191989),(23 7667136),(24 8156697.5),(25 8615195),(26 9051881),(27 9468277),(28 9880947),(29 10301033),(30 10696782),(31 11090155),(32 11481910),(33 11811982),(34 12132418),(35 12409659),(36 12686261),(37 12977812),(38 13281753),(39 13595043),(40 13910434),(41 14217882),(42 14555494),(43 14905818),(44 15302411),(45 15739622),(46 16224122),(47 16643926),(48 17211828),(49 17814772),(50 18432302),(51 19048148),(52 19626070),(53 20160982),(54 20673984),(55 21195284),(56 21662732),(57 22070624),(58 22404128),(59 22641894),(60 22806004),(61 22910408),(62 22934554),(63 22901388),(64 22825054),(65 22799678),(66 22828740),(67 22916566),(68 23076848),(69 23196518),(70 23310160),(71 23346944),(72 23415776),(73 23509092),(74 23648844),(75 23731502),(76 23841356),(77 23960676),(78 24153020),(79 24372600),
(1 29033.484),(2 104519.164),(3 223910.95),(4 380210.72),(5 570557.4),(6 789375.94),(7 1036917.56),(8 1323489.8),(9 1643843.6),(10 2005681.6),(11 2379736),(12 2793885.5),(13 3219673.8),(14 3683461.3),(15 4170443.8),(16 4718140),(17 5296332.5),(18 5927748.5),(19 6567829.5),(20 7253326.5),(21 7898064),(22 8465044),(23 9037797),(24 9588493),(25 10098757),(26 10563145),(27 10999000),(28 11407077),(29 11791569),(30 12123789),(31 12403171),(32 12637379),(33 12788079),(34 12907251),(35 12985576),(36 13051488),(37 13144283),(38 13213120),(39 13303201),(40 13367949),(41 13486323),(42 13603183),(43 13736860),(44 13894888),(45 14103795),(46 14330199),(47 14512517),(48 14809483),(49 15082405),(50 15349557),(51 15612535),(52 15881608),(53 16143708),(54 16419601),(55 16704432),(56 16970924),(57 17195424),(58 17366142),(59 17506718),(60 17635856),(61 17741810),(62 17813554),(63 17828852),(64 17816144),(65 17824158),(66 17872230),(67 17935330),(68 18034194),(69 18105686),(70 18211710),(71 18292192),(72 18442418),(73 18601996),(74 18752556),(75 18859410),(76 18974090),(77 19086864),(78 19236986),(79 19383796),
(1 28139.6),(2 103386.02),(3 227373.25),(4 396008.88),(5 602970.2),(6 854155),(7 1138902.5),(8 1460344.9),(9 1820124.9),(10 2233535.8),(11 2668702.5),(12 3127236.5),(13 3595125),(14 4075833.8),(15 4580006),(16 5119826.5),(17 5662190),(18 6225983),(19 6802792),(20 7364868.5),(21 7876557.5),(22 8342784),(23 8767962),(24 9136377),(25 9478192),(26 9759089),(27 10001739),(28 10226901),(29 10424889),(30 10579713),(31 10688324),(32 10760701),(33 10785737),(34 10792674),(35 10780354),(36 10768469),(37 10772999),(38 10786709),(39 10826620),(40 10871794),(41 10943412),(42 11026326),(43 11110791),(44 11223436),(45 11342194),(46 11448421),(47 11556572),(48 11690787),(49 11786064),(50 11836382),(51 11877700),(52 11927388),(53 11967858),(54 12032814),(55 12115679),(56 12196305),(57 12245959),(58 12296709),(59 12359908),(60 12447773),(61 12496021),(62 12524881),(63 12502590),(64 12440666),(65 12379063),(66 12329048),(67 12303390),(68 12277733),(69 12248622),(70 12254734),(71 12251618),(72 12305864),(73 12348656),(74 12389924),(75 12416880),(76 12398167),(77 12351755),(78 12323852),(79 12253042),
(1 30145.648),(2 112437.41),(3 247895.73),(4 435653.72),(5 666304.56),(6 936849.8),(7 1241603.5),(8 1582252.9),(9 1975140.1),(10 2405296),(11 2864957.8),(12 3349275),(13 3841005),(14 4342135.5),(15 4862793.5),(16 5401332.5),(17 5940659.5),(18 6479091),(19 7040392.5),(20 7570737.5),(21 8054312.5),(22 8489655),(23 8905911),(24 9265569),(25 9593845),(26 9855375),(27 10088836),(28 10303092),(29 10484419),(30 10624255),(31 10742676),(32 10845407),(33 10920324),(34 10982388),(35 11044911),(36 11101152),(37 11164743),(38 11225082),(39 11296802),(40 11364063),(41 11435027),(42 11525284),(43 11635407),(44 11740169),(45 11827903),(46 11888329),(47 11937281),(48 12029529),(49 12105466),(50 12160103),(51 12215591),(52 12296317),(53 12369783),(54 12474861),(55 12583351),(56 12700493),(57 12796884),(58 12912198),(59 13020634),(60 13135335),(61 13225068),(62 13335825),(63 13401719),(64 13452721),(65 13502641),(66 13585393),(67 13669295),(68 13765617),(69 13825780),(70 13913521),(71 13974199),(72 14096439),(73 14199453),(74 14318956),(75 14450417),(76 14549821),(77 14652992),(78 14786858),(79 14891081),
(1 49605.88),(2 185944.03),(3 399832.9),(4 684364.6),(5 1027039),(6 1427389.3),(7 1880443.3),(8 2399884),(9 2981562.5),(10 3608452),(11 4248134.5),(12 4916542.5),(13 5584314.5),(14 6253943),(15 6924883),(16 7581675),(17 8223432),(18 8825547),(19 9431784),(20 9994070),(21 10519497),(22 10958208),(23 11395339),(24 11772894),(25 12097520),(26 12371616),(27 12600625),(28 12784045),(29 12918338),(30 12996271),(31 13038098),(32 13052704),(33 12999105),(34 12924603),(35 12814628),(36 12683971),(37 12531374),(38 12398450),(39 12300126),(40 12242989),(41 12164130),(42 12095306),(43 12020691),(44 11912165),(45 11793997),(46 11684294),(47 11583570),(48 11545901),(49 11569112),(50 11633131),(51 11738238),(52 11905234),(53 12106765),(54 12336040),(55 12572330),(56 12809430),(57 13013086),(58 13223243),(59 13392042),(60 13543117),(61 13665598),(62 13784270),(63 13870934),(64 13943424),(65 14025824),(66 14128739),(67 14219322),(68 14303459),(69 14342762),(70 14365800),(71 14350550),(72 14361187),(73 14373645),(74 14402411),(75 14411667),(76 14436488),(77 14441814),(78 14440371),(79 14396373),
(1 76116.79),(2 292839.3),(3 638472.6),(4 1095579.5),(5 1637752.5),(6 2266386.3),(7 2969236.5),(8 3740547.8),(9 4580406),(10 5477648.5),(11 6387528),(12 7344066),(13 8313898),(14 9298478),(15 10278471),(16 11239079),(17 12156713),(18 13022508),(19 13846043),(20 14593097),(21 15271458),(22 15792751),(23 16293470),(24 16724873),(25 17103038),(26 17452684),(27 17757210),(28 18034958),(29 18279872),(30 18466560),(31 18580978),(32 18631542),(33 18600434),(34 18541678),(35 18454120),(36 18357806),(37 18266068),(38 18205336),(39 18154212),(40 18124162),(41 18021346),(42 17871928),(43 17668030),(44 17437616),(45 17176722),(46 16934082),(47 16746060),(48 16541922),(49 16351206),(50 16133356),(51 15946522),(52 15777705),(53 15630437),(54 15539794),(55 15445686),(56 15326891),(57 15172816),(58 15032018),(59 14869895),(60 14715909),(61 14567178),(62 14417808),(63 14251903),(64 14078516),(65 13911284),(66 13731420),(67 13546636),(68 13363637),(69 13182969),(70 13002875),(71 12828827),(72 12677173),(73 12557351),(74 12446014),(75 12355953),(76 12294391),(77 12234187),(78 12188662),(79 12156528),
(1 91352.49),(2 358390.63),(3 787954.2),(4 1357699.9),(5 2040614.1),(6 2835304.5),(7 3738178.5),(8 4735970.5),(9 5838859.5),(10 7029272.5),(11 8261370),(12 9558957),(13 10912400),(14 12296065),(15 13719923),(16 15148362),(17 16574153),(18 17983582),(19 19365938),(20 20680454),(21 21897024),(22 22926662),(23 23902434),(24 24765416),(25 25514080),(26 26176960),(27 26739368),(28 27202462),(29 27517414),(30 27677270),(31 27668646),(32 27523458),(33 27250696),(34 26915140),(35 26497862),(36 25999520),(37 25381612),(38 24680558),(39 23903628),(40 23113990),(41 22258026),(42 21354824),(43 20416120),(44 19479414),(45 18560766),(46 17690258),(47 16946926),(48 16213826),(49 15535085),(50 14905515),(51 14350337),(52 13831270),(53 13347476),(54 12924498),(55 12545483),(56 12222389),(57 11958775),(58 11777837),(59 11671771),(60 11644542),(61 11655267),(62 11701952),(63 11774731),(64 11883494),(65 12029509),(66 12225813),(67 12445481),(68 12667412),(69 12896173),(70 13127036),(71 13370022),(72 13644729),(73 13921530),(74 14185575),(75 14436268),(76 14701140),(77 14947204),(78 15208291),(79 15455451),
(1 74015.23),(2 287619.5),(3 622452.5),(4 1063445.5),(5 1591507.8),(6 2203704),(7 2891556.5),(8 3650084),(9 4483508.5),(10 5366467.5),(11 6284605),(12 7244552.5),(13 8215932),(14 9185547),(15 10189339),(16 11203644),(17 12229725),(18 13274690),(19 14332120),(20 15337388),(21 16289314),(22 17063044),(23 17848030),(24 18526548),(25 19089106),(26 19545456),(27 19893892),(28 20148790),(29 20282426),(30 20298500),(31 20217120),(32 20059278),(33 19827002),(34 19547832),(35 19189214),(36 18779686),(37 18306536),(38 17801964),(39 17260560),(40 16694746),(41 16062020),(42 15414694),(43 14758761),(44 14125846),(45 13532514),(46 12992250),(47 12521313),(48 12101062),(49 11742530),(50 11452430),(51 11204644),(52 10967710),(53 10741538),(54 10569222),(55 10443888),(56 10396098),(57 10404880),(58 10491554),(59 10611836),(60 10750232),(61 10878289),(62 11000952),(63 11116966),(64 11237283),(65 11350737),(66 11461937),(67 11558755),(68 11651786),(69 11728916),(70 11778086),(71 11793710),(72 11790152),(73 11748056),(74 11675183),(75 11568029),(76 11470113),(77 11359593),(78 11282983),(79 11214048),
(1 62191.855),(2 239697.28),(3 516945.78),(4 882311.56),(5 1319227.5),(6 1820468.9),(7 2377460.8),(8 2988432),(9 3634042.3),(10 4292872),(11 4976431),(12 5650677.5),(13 6303749),(14 6933514),(15 7567505),(16 8210306.5),(17 8837500),(18 9449165),(19 10031182),(20 10559180),(21 11014151),(22 11382062),(23 11663817),(24 11863334),(25 11985723),(26 12040457),(27 12021426),(28 11932629),(29 11790565),(30 11608078),(31 11376450),(32 11109452),(33 10828878),(34 10522549),(35 10213436),(36 9910546),(37 9616684),(38 9329822),(39 9059897),(40 8814015),(41 8605856),(42 8442592),(43 8325938),(44 8263836.5),(45 8229253.5),(46 8205607),(47 8178588.5),(48 8169084.5),(49 8147050),(50 8111145),(51 8055390),(52 7985210.5),(53 7932716.5),(54 7886876.5),(55 7861986),(56 7860553),(57 7882214),(58 7924506.5),(59 7977021.5),(60 8040403.5),(61 8114631),(62 8194721),(63 8291515.5),(64 8413239),(65 8551247),(66 8720580),(67 8910356),(68 9110964),(69 9310423),(70 9482320),(71 9623893),(72 9739399),(73 9808894),(74 9855801),(75 9888988),(76 9904284),(77 9921372),(78 9935708),(79 9931920),
(1 65815.27),(2 249268.13),(3 532762.56),(4 898539.44),(5 1335780.8),(6 1829849.4),(7 2368835.3),(8 2951964),(9 3549982),(10 4149850.8),(11 4746182),(12 5314089),(13 5845911.5),(14 6340572),(15 6808896.5),(16 7255009),(17 7656559),(18 8009259.5),(19 8311226.5),(20 8543555),(21 8694846),(22 8823652),(23 8846577),(24 8824087),(25 8756809),(26 8659651),(27 8536192),(28 8394566),(29 8243874),(30 8114966.5),(31 8000798),(32 7915023),(33 7866742.5),(34 7866260),(35 7897654.5),(36 7944758.5),(37 7987827),(38 8030861),(39 8067477.5),(40 8111071),(41 8155115.5),(42 8192518.5),(43 8209534),(44 8199311),(45 8145364),(46 8054014),(47 7939611.5),(48 7784900.5),(49 7598580.5),(50 7400049),(51 7193941),(52 6978246),(53 6772827.5),(54 6584910),(55 6420691.5),(56 6304089),(57 6230795),(58 6214127),(59 6258367.5),(60 6359937),(61 6502050.5),(62 6673780),(63 6871444),(64 7106363.5),(65 7396617.5),(66 7707273.5),(67 8030099),(68 8316984.5),(69 8560415),(70 8729081),(71 8884232),(72 8955711),(73 8976321),(74 8974928),(75 8951436),(76 8888188),(77 8783314),(78 8611364),(79 8378607),
