1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 8088.24),(2 13898.722),(3 22128.193),(4 32357.03),(5 42217.332),(6 60132.223),(7 72916.65),(8 96672.29),(9 110352.78),(10 133088.33),(11 154472.66),(12 172278.55),(13 193890.5),(14 213729.38),(15 234709.31),(16 251578.08),(17 271467.06),(18 293626.66),(19 310910.7),(20 327639.38),(21 340686.03),(22 355531.9),(23 370197.5),(24 378639.1),(25 389638.72),(26 399063.16),(27 408495.16),(28 414912.4),(29 420530.84),(30 425907.25),(31 428061.6),(32 432290.75),(33 433198.4),(34 443323.9),(35 453575.1),(36 471424.63),(37 490315),(38 504862.1),(39 520198.25),(40 526248.2),(41 542105.8),(42 559076),(43 580303.8),(44 608032.6),(45 626568.6),(46 667438.1),(47 699158.2),(48 740326.5),(49 784952),(50 842731.8),(51 889296.56),(52 944752.8),(53 1010958.5),(54 1058816.4),(55 1137437.5),(56 1203284.6),(57 1261259.4),(58 1351784.5),(59 1418837.4),(60 1517309.4),(61 1598872.9),(62 1693353.4),(63 1780491.4),(64 1862410.1),(65 1969867.6),(66 2064355.4),(67 2174269.3),(68 2248607.8),(69 2322454.8),(70 2416792),(71 2467586),(72 2557235.5),(73 2627950.8),(74 2711427.5),(75 2787099),(76 2839331.3),(77 2908918.3),(78 2982787.3),(79 3044726.3),
(1 5992.3115),(2 14553.153),(3 23410.434),(4 34553.04),(5 45529.5),(6 59888.363),(7 76991.87),(8 92213.23),(9 104659.62),(10 120715.06),(11 133530.25),(12 152183.7),(13 173133.89),(14 192655.6),(15 206404.9),(16 219533.28),(17 235685.75),(18 256988.66),(19 279881.3),(20 302260.1),(21 321301.3),(22 350482.2),(23 379986.7),(24 407044.66),(25 431209.8),(26 458408.1),(27 483053.9),(28 504614.84),(29 526022.9),(30 548714.4),(31 575298.4),(32 603144),(33 625730.6),(34 657971.8),(35 689741.1),(36 731404),(37 768622.3),(38 809875.6),(39 846244.2),(40 877778.4),(41 914497.8),(42 953872.2),(43 995502.3),(44 1035348.8),(45 1069502.9),(46 1117592.8),(47 1166107.9),(48 1217866.3),(49 1261867.4),(50 1317517.6),(51 1366567.9),(52 1428643.4),(53 1491073),(54 1563502.3),(55 1638951.9),(56 1714304.6),(57 1778752.4),(58 1863612.8),(59 1927819.6),(60 1998305.4),(61 2071905.6),(62 2158068.8),(63 2227960.8),(64 2310962.5),(65 2406077.5),(66 2476803.5),(67 2557061.5),(68 2630911.3),(69 2698444.5),(70 2776865.5),(71 2834425.5),(72 2911840.8),(73 2981458.8),(74 3060444.5),(75 3120100),(76 3186252.8),(77 3254075),(78 3331260.5),(79 3405590.5),
(1 7334.6777),(2 20245.11),(3 35755.434),(4 53936.38),(5 74653.52),(6 97959.53),(7 124344.586),(8 150975.81),(9 173869.77),(10 201650.08),(11 229400.73),(12 261225.73),(13 296712.34),(14 331415.44),(15 358587.6),(16 387637.63),(17 417809.84),(18 452782.03),(19 491599.72),(20 531205.5),(21 566686),(22 608189.6),(23 651080.7),(24 695518.25),(25 740081.94),(26 781256.5),(27 819278.25),(28 858491.75),(29 901120.8),(30 949644.56),(31 1001249.75),(32 1054601.1),(33 1097130.4),(34 1144117.8),(35 1186045.9),(36 1234672.4),(37 1280975.6),(38 1332079.4),(39 1374075.9),(40 1417952.5),(41 1455433.4),(42 1496834.4),(43 1531372),(44 1567737.4),(45 1599991.6),(46 1637330.9),(47 1679173.4),(48 1721660.6),(49 1755823.4),(50 1792689.5),(51 1827494.6),(52 1871468.6),(53 1902370.1),(54 1940513),(55 1986259.6),(56 2040300.4),(57 2074077),(58 2114562.8),(59 2132195.3),(60 2147885.3),(61 2172410.3),(62 2203231.8),(63 2225170.8),(64 2271253.3),(65 2312974.8),(66 2338966.8),(67 2355745),(68 2391527.8),(69 2419718.3),(70 2451719.8),(71 2469670.8),(72 2489171.3),(73 2503281.8),(74 2517011),(75 2532256.3),(76 2554209.8),(77 2567014),(78 2588463.8),(79 2601483.3),
(1 8153.2666),(2 23137.764),(3 42403.297),(4 67749.08),(5 98500.29),(6 135037),(7 178321.73),(8 224513.16),(9 266620),(10 314283.84),(11 363655.13),(12 416266.3),(13 478369.56),(14 541737.6),(15 601664.1),(16 665877.25),(17 736867.56),(18 806171.75),(19 875675.06),(20 938926.44),(21 998203.3),(22 1061927.1),(23 1137725.1),(24 1223768.3),(25 1310816.3),(26 1396958.3),(27 1471052.8),(28 1556542),(29 1638332.5),(30 1734613.5),(31 1835772),(32 1926337.4),(33 2002875.1),(34 2087728.6),(35 2165561),(36 2242071),(37 2315301),(38 2370469),(39 2422564.3),(40 2466092),(41 2497938.8),(42 2518559),(43 2535304),(44 2545981.3),(45 2548761),(46 2555733.3),(47 2574614.3),(48 2597399.5),(49 2615939.5),(50 2635333.8),(51 2641889.8),(52 2646676.5),(53 2632352.5),(54 2619023),(55 2613016),(56 2604115.8),(57 2584208.3),(58 2547041.8),(59 2504196.5),(60 2469357.8),(61 2427411.5),(62 2384827.5),(63 2351566.3),(64 2313326),(65 2276063),(66 2237460.5),(67 2174299),(68 2123989),(69 2077463.5),(70 2030352.9),(71 1974171.5),(72 1916709.4),(73 1854497.8),(74 1795243.4),(75 1747601.9),(76 1698080.5),(77 1659970),(78 1619559.5),(79 1582849.3),
(1 9010.431),(2 27269.283),(3 49280.984),(4 78638.84),(5 113741.98),(6 157592.56),(7 207509.73),(8 259293.81),(9 306768.63),(10 360399.22),(11 411499.5),(12 469820.2),(13 532223.94),(14 593148.25),(15 651949.06),(16 717836.44),(17 787976.8),(18 865496.4),(19 944722),(20 1024528.56),(21 1099083.1),(22 1183260.9),(23 1269771.5),(24 1369899.9),(25 1461634.1),(26 1557159.6),(27 1636131.1),(28 1724044.9),(29 1808218.1),(30 1899234.5),(31 1987876.4),(32 2071572.5),(33 2142318.3),(34 2221614.3),(35 2286051.3),(36 2344479.8),(37 2400068),(38 2442636.3),(39 2478814),(40 2501482.3),(41 2507113.5),(42 2504869.8),(43 2492936.5),(44 2474631.8),(45 2462308),(46 2441426.3),(47 2428084.3),(48 2417400),(49 2396590),(50 2366725.5),(51 2337088.8),(52 2296383.3),(53 2245591.8),(54 2201355.8),(55 2149113.8),(56 2094070.1),(57 2040833.1),(58 1977354.9),(59 1918731.1),(60 1862077.9),(61 1805974.8),(62 1755488),(63 1712288),(64 1677389.6),(65 1648759.3),(66 1621908.4),(67 1596811.1),(68 1577085.5),(69 1561380),(70 1547798.5),(71 1542832.4),(72 1542529.1),(73 1553514.5),(74 1565149.9),(75 1571981.6),(76 1583581.9),(77 1605504.4),(78 1627997.6),(79 1661464.8),
(1 8033.029),(2 24970.35),(3 45387.363),(4 74666.39),(5 111296.85),(6 158540.63),(7 215432.55),(8 282379.44),(9 342261.53),(10 421413.2),(11 503639),(12 596003.1),(13 693857.6),(14 792778.9),(15 883449.8),(16 985173.6),(17 1089663.8),(18 1205194.5),(19 1325812.9),(20 1459218.3),(21 1574774),(22 1715676.3),(23 1859764.3),(24 2019798.4),(25 2170276.5),(26 2329154.5),(27 2459690.8),(28 2608696),(29 2754271.5),(30 2909176.8),(31 3066632.5),(32 3212800),(33 3335507.5),(34 3485084),(35 3621513.5),(36 3759188),(37 3893271.5),(38 4018131.3),(39 4128735.5),(40 4230881),(41 4323077.5),(42 4418697.5),(43 4493621),(44 4546929),(45 4600669.5),(46 4625436),(47 4644295),(48 4677233),(49 4687070),(50 4671678.5),(51 4661995),(52 4623029.5),(53 4575592),(54 4529406.5),(55 4452125.5),(56 4366898.5),(57 4291710),(58 4189367.3),(59 4077737.5),(60 3960896.5),(61 3839259.3),(62 3710607.5),(63 3589444),(64 3466874.5),(65 3349383.8),(66 3223249.5),(67 3118472),(68 3023263.5),(69 2928174.8),(70 2827899.5),(71 2743811.5),(72 2664161.5),(73 2589270.5),(74 2531599.3),(75 2477606.8),(76 2437816),(77 2402538),(78 2364956),(79 2343622.3),
(1 10389.463),(2 32232.924),(3 59267.723),(4 94729.305),(5 134035.83),(6 181697.72),(7 235111.66),(8 292309.47),(9 345635.78),(10 407058.88),(11 469146.63),(12 538594.44),(13 608378.9),(14 680727.44),(15 742459.94),(16 814964.7),(17 888531.3),(18 970401),(19 1053190.3),(20 1143800.1),(21 1217309),(22 1314047.8),(23 1414108),(24 1520353.1),(25 1631010.8),(26 1740124.8),(27 1826506.1),(28 1927313.5),(29 2022125.5),(30 2112659.8),(31 2200811.8),(32 2284134),(33 2353649.8),(34 2424865),(35 2499437.5),(36 2579488),(37 2661640),(38 2739335),(39 2798964.3),(40 2861639.5),(41 2916339.8),(42 2969502.8),(43 3014398.5),(44 3068045.8),(45 3108456.3),(46 3154238.3),(47 3196325.3),(48 3244534.3),(49 3295499.8),(50 3349382.3),(51 3392225),(52 3436347),(53 3474672),(54 3499180.5),(55 3510433.3),(56 3508284),(57 3518839.8),(58 3503309.5),(59 3478889.8),(60 3453236.5),(61 3424485),(62 3389925),(63 3359217.3),(64 3322039),(65 3283328.3),(66 3234771.8),(67 3194388),(68 3146696.3),(69 3101932.5),(70 3036109.3),(71 2974359),(72 2908740.5),(73 2847410.3),(74 2790837.3),(75 2740755.5),(76 2701975.8),(77 2670633.8),(78 2642356),(79 2617888),
(1 12346.3955),(2 39469.645),(3 72412.37),(4 116407.68),(5 166492.67),(6 226973.7),(7 295627.4),(8 365248.4),(9 432861.28),(10 511710.66),(11 591721.2),(12 678577.94),(13 762634.56),(14 851040.1),(15 924923.2),(16 1008704.1),(17 1091621),(18 1180744.8),(19 1267286.9),(20 1350624.4),(21 1418708.5),(22 1493907.6),(23 1571546.9),(24 1646032.9),(25 1724899.1),(26 1800468.1),(27 1859586.5),(28 1924218.3),(29 1997018.1),(30 2060282.6),(31 2118999.3),(32 2165511.5),(33 2207212.8),(34 2246547.3),(35 2271518.3),(36 2296132.5),(37 2317615),(38 2334593.3),(39 2340924.8),(40 2345305.5),(41 2342465.3),(42 2341662.3),(43 2343432.3),(44 2344852),(45 2338928.8),(46 2342778.8),(47 2339584),(48 2333707.3),(49 2328326.8),(50 2334584.5),(51 2336606.5),(52 2345395),(53 2358066.5),(54 2367455.8),(55 2379922.3),(56 2391913.5),(57 2406571),(58 2426956.5),(59 2442841.5),(60 2458095.3),(61 2468483.8),(62 2476677.5),(63 2485705.8),(64 2491490.8),(65 2497693.5),(66 2500169.8),(67 2501856.3),(68 2497947.3),(69 2502313.8),(70 2492913.8),(71 2487680),(72 2483549.5),(73 2481311.8),(74 2476270.5),(75 2471558.5),(76 2462279.8),(77 2449943.8),(78 2433997),(79 2417261.3),
(1 10242.341),(2 31777.533),(3 57964.54),(4 90103.82),(5 125854.836),(6 168168.16),(7 214912.4),(8 264703.4),(9 309731.6),(10 363441.75),(11 422664.56),(12 484149.44),(13 548720.3),(14 610891.6),(15 659208.5),(16 716205.06),(17 774940.25),(18 834503.5),(19 896370.25),(20 956286.5),(21 1005348.4),(22 1058459.8),(23 1108517.3),(24 1159136.6),(25 1215552.8),(26 1268835.8),(27 1310889.4),(28 1356299.4),(29 1396838.8),(30 1430040.5),(31 1463738.9),(32 1488390.3),(33 1510422.4),(34 1527520.8),(35 1545687),(36 1560114.9),(37 1571609.4),(38 1573425.3),(39 1573340.1),(40 1572529),(41 1572590.6),(42 1576322),(43 1580525),(44 1574975.8),(45 1573048.1),(46 1563968.5),(47 1552710),(48 1549434.1),(49 1543885.4),(50 1544050.3),(51 1546370.3),(52 1553114.4),(53 1566978.3),(54 1588455.3),(55 1604773),(56 1624093),(57 1643288.5),(58 1670158.1),(59 1694397.4),(60 1722627.5),(61 1745629.4),(62 1764715.5),(63 1783633.6),(64 1795561.1),(65 1808087.3),(66 1823019.3),(67 1832013.4),(68 1836060.8),(69 1845179.8),(70 1843073.6),(71 1848497.9),(72 1857753),(73 1866937.4),(74 1870601.1),(75 1867967),(76 1866058.9),(77 1856354),(78 1850591.9),(79 1837416.5),
(1 13156.877),(2 43581.01),(3 78940.36),(4 124025.14),(5 176632.22),(6 238079.81),(7 306304.97),(8 376657.5),(9 441079.34),(10 516380.94),(11 602022.94),(12 689938.56),(13 781532.44),(14 869466.75),(15 940226.25),(16 1016164),(17 1090933.4),(18 1169389.4),(19 1243855.5),(20 1320435.1),(21 1376172.9),(22 1435516.4),(23 1488303.5),(24 1542038),(25 1593616.9),(26 1634265.1),(27 1668358.8),(28 1700579.3),(29 1719882.9),(30 1725798.1),(31 1731365.5),(32 1737241.1),(33 1738077.9),(34 1735659.1),(35 1732012.5),(36 1725057.3),(37 1713753.3),(38 1701542.5),(39 1691119.3),(40 1675841.5),(41 1657477.1),(42 1639761.1),(43 1620328.5),(44 1591330.4),(45 1566759.1),(46 1535038),(47 1500497.1),(48 1469654.8),(49 1441340.3),(50 1421145.5),(51 1403312.5),(52 1390384.1),(53 1380231.1),(54 1371964.9),(55 1366008.1),(56 1364329.1),(57 1363125.6),(58 1367257.8),(59 1375171.5),(60 1388075.5),(61 1403677),(62 1419178.3),(63 1432519.8),(64 1444017),(65 1450842.5),(66 1460737.6),(67 1464680),(68 1463511.8),(69 1462386),(70 1445751.5),(71 1430558.1),(72 1411016.8),(73 1389577.1),(74 1363458.5),(75 1339004.3),(76 1309680.9),(77 1280197.5),(78 1255074.9),(79 1228740.9),
(1 12812.369),(2 43193.33),(3 77492.086),(4 124090.1),(5 178001.53),(6 240142.13),(7 306911.94),(8 375603.2),(9 435254.72),(10 501606.06),(11 569128.5),(12 635531.2),(13 697384),(14 754500.7),(15 797290.94),(16 830867.4),(17 861556.5),(18 887023.75),(19 903870.94),(20 921223.5),(21 929224.25),(22 932818.2),(23 940350.5),(24 943097.5),(25 945007.94),(26 949995.4),(27 950595.56),(28 954933.56),(29 961121.5),(30 962115.6),(31 964808.56),(32 967108.06),(33 971225.3),(34 981066),(35 993169.9),(36 1006549.6),(37 1023312),(38 1039360.56),(39 1053017),(40 1060415.3),(41 1070755),(42 1080183),(43 1095419),(44 1109360.4),(45 1114402.4),(46 1128681.9),(47 1138512.5),(48 1140546.9),(49 1142219.1),(50 1140483.4),(51 1137989.5),(52 1128615.4),(53 1122715.1),(54 1115221),(55 1111990.6),(56 1108238.1),(57 1110388.3),(58 1109171.3),(59 1111817.8),(60 1116177.1),(61 1125298.8),(62 1131321.9),(63 1139585),(64 1142041.1),(65 1141422.4),(66 1141269.1),(67 1139831.3),(68 1132948),(69 1125839.8),(70 1112429.9),(71 1096865.1),(72 1080081.6),(73 1064547.4),(74 1052064.4),(75 1041165.44),(76 1033264.7),(77 1027057.06),(78 1018565.5),(79 1014653.2),
