1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 2777929),(2 7415880),(3 14186047),(4 21452532),(5 28500304),(6 34914764),(7 40991696),(8 45418924),(9 48193244),(10 51058164),(11 54428670),(12 57875936),(13 61097216),(14 64194156),(15 67458410),(16 71548280),(17 76992620),(18 83325960),(19 89203064),(20 96550856),(21 104914370),(22 115598660),(23 125572190),(24 136227540),(25 146020270),(26 155258540),(27 164289170),(28 173171760),(29 180820590),(30 186948400),(31 192818480),(32 197367630),(33 200635980),(34 202871120),(35 205431120),(36 205806530),(37 204723580),(38 203549100),(39 204484860),(40 204570380),(41 211032450),(42 215688300),(43 215891920),(44 215124140),(45 212378640),(46 207501680),(47 212161100),(48 218948370),(49 224980100),(50 229432700),(51 234508270),(52 248166960),(53 260684420),(54 273692130),(55 282074880),(56 285697470),(57 289738780),(58 293512160),(59 297782750),(60 300367200),(61 303030050),(62 304317470),(63 307605860),(64 312278880),(65 320682000),(66 329386600),(67 334176860),(68 325477380),(69 323869340),(70 319023330),(71 321845500),(72 333877660),(73 345274000),(74 347614400),(75 356677660),(76 362406560),(77 369696670),(78 387253340),(79 401582460),
(1 3842812.8),(2 11209563),(3 21750964),(4 33441942),(5 44591300),(6 54950504),(7 65725850),(8 75408504),(9 83514696),(10 90707224),(11 98817896),(12 106802024),(13 115196820),(14 125179970),(15 133696430),(16 142363330),(17 150397890),(18 159463440),(19 168858400),(20 180117540),(21 189226430),(22 197410400),(23 203976100),(24 211552720),(25 218950560),(26 227485440),(27 237023440),(28 245777920),(29 254635570),(30 263973760),(31 271817060),(32 277067230),(33 280482240),(34 283023100),(35 284954720),(36 286765300),(37 288892320),(38 291122430),(39 294489500),(40 297853120),(41 301081600),(42 303459070),(43 305310880),(44 302172600),(45 299098530),(46 290087680),(47 281384770),(48 271461800),(49 262797180),(50 257134980),(51 253500960),(52 252579890),(53 252062000),(54 252703070),(55 254598140),(56 254630860),(57 254775730),(58 257042690),(59 257458560),(60 256323680),(61 254832770),(62 252484300),(63 250478940),(64 247310430),(65 245677470),(66 243087310),(67 239577470),(68 232079570),(69 231376720),(70 229705780),(71 230445310),(72 236578770),(73 244034080),(74 245362270),(75 249635940),(76 252842880),(77 255641140),(78 262718560),(79 268403250),
(1 3371129.8),(2 9316043),(3 17983606),(4 27829272),(5 37118864),(6 46304564),(7 56089044),(8 66005380),(9 75970890),(10 85084360),(11 94922024),(12 104298536),(13 113387510),(14 124409176),(15 133322390),(16 140643970),(17 148419840),(18 156738670),(19 165329200),(20 176444030),(21 188148660),(22 200765300),(23 213582980),(24 225484050),(25 237460160),(26 249488830),(27 260399630),(28 268422990),(29 274490700),(30 278672830),(31 282626140),(32 285651940),(33 286639140),(34 285469660),(35 282732900),(36 281025400),(37 279566620),(38 275909760),(39 273995170),(40 272250720),(41 269538560),(42 266199090),(43 260026960),(44 254498110),(45 248089600),(46 241732100),(47 235319150),(48 224529460),(49 215180750),(50 206506770),(51 197592560),(52 190853760),(53 185047540),(54 182020400),(55 179878900),(56 176484700),(57 174107380),(58 175260460),(59 176891660),(60 178437540),(61 178587710),(62 181277200),(63 184246190),(64 187018320),(65 190086130),(66 192970670),(67 194554500),(68 197558850),(69 200049490),(70 200382340),(71 198643730),(72 199956720),(73 201278460),(74 200484430),(75 202107580),(76 202469580),(77 200797570),(78 200874940),(79 200558980),
(1 3569769),(2 9025814),(3 16447893),(4 24597080),(5 32533348),(6 40823588),(7 49494130),(8 57828084),(9 65493676),(10 73589350),(11 82253600),(12 90765400),(13 98672850),(14 107298370),(15 114207144),(16 119689710),(17 126060300),(18 131408620),(19 135927890),(20 139910980),(21 144112450),(22 146663090),(23 146971820),(24 145867040),(25 142246050),(26 138794640),(27 136626240),(28 135020080),(29 134112840),(30 134272860),(31 134857650),(32 135470690),(33 136341010),(34 138704300),(35 141162690),(36 145164660),(37 150919680),(38 152594940),(39 154128060),(40 156021380),(41 156634740),(42 155001020),(43 151867840),(44 153467740),(45 153899890),(46 153934620),(47 149261630),(48 143054660),(49 139204860),(50 136879140),(51 135404740),(52 134938080),(53 135051420),(54 135684720),(55 136039820),(56 136193460),(57 136204480),(58 137060140),(59 137708600),(60 138965760),(61 139878350),(62 140698740),(63 140720370),(64 142258110),(65 142116600),(66 140387410),(67 137685180),(68 141153680),(69 142125250),(70 142731440),(71 143540340),(72 144365060),(73 143852600),(74 143359710),(75 141120850),(76 141305340),(77 143447260),(78 149499840),(79 151979460),
(1 5063363.5),(2 13304349),(3 23371962),(4 34327668),(5 45382476),(6 57112496),(7 68818504),(8 79962104),(9 90618110),(10 100554470),(11 108871576),(12 115837050),(13 120471624),(14 122699960),(15 123482190),(16 122747810),(17 120948616),(18 119176904),(19 116638584),(20 112537864),(21 109158330),(22 106188360),(23 104327380),(24 103153530),(25 103198300),(26 104174430),(27 106549110),(28 108678200),(29 110917110),(30 112702470),(31 114557416),(32 116516260),(33 117311416),(34 120225950),(35 123682140),(36 127680640),(37 131227620),(38 131885176),(39 132190390),(40 132261384),(41 132197540),(42 130720720),(43 129024440),(44 129039750),(45 129032110),(46 129247700),(47 127716730),(48 123310010),(49 120046560),(50 119046960),(51 119921430),(52 120388910),(53 120469910),(54 119878220),(55 118499816),(56 116115830),(57 113394970),(58 110728100),(59 108958280),(60 107154940),(61 106596380),(62 107073020),(63 107595256),(64 108879640),(65 110375330),(66 112407480),(67 113885704),(68 116335180),(69 117724440),(70 118046670),(71 118740740),(72 117536490),(73 115186810),(74 112614350),(75 108799864),(76 107889920),(77 108890550),(78 112917144),(79 115092584),
(1 4378233),(2 10846974),(3 18174918),(4 26807260),(5 35763668),(6 45745824),(7 55264990),(8 64413388),(9 71791760),(10 78239850),(11 83796510),(12 88722090),(13 93620370),(14 97042610),(15 98489000),(16 99116300),(17 98712904),(18 97809430),(19 96894100),(20 96442540),(21 95536270),(22 94536430),(23 93264450),(24 92400770),(25 91125544),(26 89752850),(27 89113704),(28 88251000),(29 87958370),(30 88731700),(31 90021390),(32 92855420),(33 95177816),(34 97527190),(35 99757970),(36 102104140),(37 103386050),(38 102683950),(39 101540340),(40 99947570),(41 97157070),(42 93016370),(43 88675610),(44 83185880),(45 78189290),(46 73467990),(47 71253170),(48 68949330),(49 67475880),(50 66383400),(51 65368972),(52 65546880),(53 66414080),(54 69876980),(55 72101360),(56 73445940),(57 74261160),(58 75031180),(59 75909496),(60 75915576),(61 76144640),(62 76440260),(63 76032210),(64 74912530),(65 74064110),(66 73756810),(67 73059630),(68 70519550),(69 69611050),(70 68993464),(71 70122900),(72 70435210),(73 68002600),(74 66322880),(75 64082292),(76 64380084),(77 65370856),(78 66060404),(79 65836890),
(1 5729181.5),(2 13036274),(3 19533632),(4 26210318),(5 32827908),(6 39920380),(7 46124090),(8 51503144),(9 55537670),(10 59259190),(11 62494890),(12 64534820),(13 65651904),(14 66430916),(15 66593016),(16 66766308),(17 67342540),(18 67750640),(19 68534770),(20 69211710),(21 71062410),(22 72439950),(23 72450136),(24 71906296),(25 70288140),(26 67716730),(27 64744190),(28 62257830),(29 61109532),(30 61025704),(31 60272650),(32 59564610),(33 59259292),(34 59394440),(35 59724570),(36 60461284),(37 62706532),(38 61815508),(39 60219760),(40 58369296),(41 56685316),(42 55129270),(43 53860436),(44 54236870),(45 54836772),(46 55455508),(47 56002260),(48 57413520),(49 58182508),(50 58345456),(51 56995376),(52 55038890),(53 52329004),(54 49293910),(55 47510360),(56 47900060),(57 49067388),(58 50047576),(59 51263364),(60 52363780),(61 53122020),(62 53649030),(63 53877932),(64 54133440),(65 54065252),(66 52750784),(67 50854576),(68 51177510),(69 49603600),(70 47784000),(71 44647576),(72 43547436),(73 42937790),(74 43749120),(75 44566984),(76 45470760),(77 45418500),(78 45759868),(79 46035910),
(1 4985848.5),(2 11582964),(3 17471930),(4 23338906),(5 28922508),(6 34303052),(7 38981376),(8 42089300),(9 44512204),(10 47212996),(11 49470044),(12 50288824),(13 50183948),(14 49157630),(15 47666772),(16 45841228),(17 44245690),(18 43457724),(19 44105960),(20 45982450),(21 49028980),(22 51382740),(23 52918804),(24 53492160),(25 52847908),(26 52273212),(27 51947984),(28 51592564),(29 50842596),(30 50287708),(31 48800476),(32 46074940),(33 43656710),(34 41686052),(35 39899670),(36 38386156),(37 37372356),(38 36481932),(39 35803880),(40 35202704),(41 34483464),(42 34228260),(43 34858132),(44 36477800),(45 37670564),(46 39041708),(47 38742852),(48 37761988),(49 37677916),(50 37440384),(51 37198616),(52 37399016),(53 37439824),(54 38610130),(55 39865590),(56 40222640),(57 39454130),(58 38524916),(59 38103490),(60 38209236),(61 38105844),(62 37819628),(63 37474160),(64 37174612),(65 37227024),(66 37583360),(67 37272390),(68 35839384),(69 34578972),(70 33610124),(71 32610406),(72 32163182),(73 33526462),(74 33977480),(75 33726896),(76 33040146),(77 32839156),(78 32317892),(79 32515592),
(1 3979009.5),(2 9371665),(3 14160219),(4 17971166),(5 21032170),(6 22880652),(7 24132850),(8 25534316),(9 27474318),(10 29707780),(11 31723728),(12 33075328),(13 33949464),(14 33760800),(15 33546390),(16 33590530),(17 34196320),(18 35336230),(19 36983044),(20 38963464),(21 40414720),(22 40696450),(23 40318050),(24 39720388),(25 39722388),(26 40625030),(27 42108830),(28 43426176),(29 43405504),(30 42436308),(31 40695340),(32 39493292),(33 38685460),(34 37781084),(35 36640748),(36 35705710),(37 35458410),(38 35718470),(39 36266700),(40 36878516),(41 37316372),(42 36957228),(43 36052468),(44 35369564),(45 34599812),(46 33540574),(47 33865350),(48 33612584),(49 33188894),(50 32392550),(51 30942504),(52 29997026),(53 29903048),(54 31737596),(55 34213240),(56 35912296),(57 36373140),(58 35158664),(59 34633736),(60 33960170),(61 32447202),(62 32289438),(63 33917970),(64 35358380),(65 35494364),(66 35559024),(67 35640160),(68 35440044),(69 35509812),(70 36269160),(71 36549336),(72 34826716),(73 33876056),(74 33365414),(75 34245852),(76 34217244),(77 35004732),(78 34714910),(79 34609664),
(1 3291848.3),(2 7214113),(3 11574023),(4 15532651),(5 18246254),(6 19819342),(7 20948832),(8 21835790),(9 23471764),(10 25458208),(11 26836590),(12 27478460),(13 27271910),(14 26691834),(15 26741806),(16 27305060),(17 28280220),(18 29289846),(19 30175512),(20 30698582),(21 30081480),(22 28857182),(23 27629958),(24 26627722),(25 26351356),(26 26533704),(27 26786440),(28 27021476),(29 27133084),(30 27008360),(31 26864214),(32 27174028),(33 27319640),(34 27600450),(35 28257908),(36 28327800),(37 27744568),(38 28468974),(39 29115972),(40 29599648),(41 29201336),(42 28635306),(43 28525782),(44 28616526),(45 28114634),(46 27171078),(47 27171214),(48 27345650),(49 27446776),(50 27791402),(51 29343840),(52 29695174),(53 30540072),(54 30290550),(55 30372022),(56 30596696),(57 31226884),(58 31521928),(59 31941564),(60 32082862),(61 32104476),(62 32227544),(63 32286200),(64 32872488),(65 33368888),(66 33677196),(67 34079772),(68 34539030),(69 34002456),(70 32885454),(71 31424462),(72 29594638),(73 28386250),(74 27523470),(75 26758746),(76 26632536),(77 27026576),(78 26930264),(79 26772126),
(1 3056574),(2 6863484),(3 10811441),(4 14323849),(5 16714833),(6 18335600),(7 19441248),(8 19800226),(9 20164568),(10 20845888),(11 21710084),(12 22046592),(13 21845312),(14 21811452),(15 22486932),(16 23408184),(17 24268982),(18 25386906),(19 26396848),(20 26671156),(21 26171100),(22 25321566),(23 24695130),(24 24075426),(25 23917876),(26 24063604),(27 24406878),(28 25035356),(29 25675706),(30 26410640),(31 27544780),(32 28425354),(33 28985062),(34 29539018),(35 30051166),(36 30192338),(37 29774148),(38 28789970),(39 28661118),(40 28468782),(41 28162240),(42 26995306),(43 25549684),(44 25308276),(45 24864658),(46 23942502),(47 24000500),(48 24228046),(49 23718474),(50 23157722),(51 23266420),(52 23417938),(53 23728880),(54 23887466),(55 23254942),(56 22602636),(57 22789968),(58 23291504),(59 23397578),(60 23612144),(61 23425248),(62 23659908),(63 24168176),(64 24508280),(65 24249982),(66 23172182),(67 22109946),(68 22255876),(69 22096606),(70 22155030),(71 22366280),(72 22730064),(73 23940468),(74 24304710),(75 23643340),(76 23465004),(77 24071598),(78 24718576),(79 24642376),
