1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 50165.25),(2 161582.31),(3 323131.5),(4 513811.66),(5 718355.8),(6 947849.8),(7 1197378),(8 1471823.4),(9 1753252.6),(10 2051025.4),(11 2338245.8),(12 2671034.8),(13 3071164),(14 3494588.8),(15 3910824.8),(16 4325682.5),(17 4758217.5),(18 5199523.5),(19 5642848),(20 6118428),(21 6606609.5),(22 7081965.5),(23 7550206.5),(24 8042928.5),(25 8494404),(26 9006461),(27 9488132),(28 9937405),(29 10338812),(30 10749377),(31 11120702),(32 11551763),(33 12013471),(34 12542505),(35 13010556),(36 13471195),(37 13973244),(38 14495288),(39 14973987),(40 15424744),(41 15843829),(42 16223120),(43 16573060),(44 16931288),(45 17330966),(46 17665142),(47 18057232),(48 18317352),(49 18584656),(50 18948634),(51 19316638),(52 19762670),(53 20150522),(54 20587778),(55 20989158),(56 21377038),(57 21831766),(58 22652790),(59 23240326),(60 23876102),(61 24613312),(62 25362454),(63 26264290),(64 27267862),(65 28369726),(66 29710568),(67 31246296),(68 32657574),(69 34254784),(70 36109750),(71 37927280),(72 39876316),(73 41940364),(74 44273412),(75 46766620),(76 49320988),(77 52241536),(78 55464012),(79 58429264),
(1 43228.9),(2 145710.45),(3 295201.72),(4 486483),(5 677127.94),(6 868328.8),(7 1076232.5),(8 1325696.6),(9 1604611.4),(10 1880624.4),(11 2158014.3),(12 2448524.5),(13 2755454.3),(14 3080691.5),(15 3407050.5),(16 3732380),(17 4118841.3),(18 4516421),(19 4889056),(20 5261225),(21 5609549.5),(22 5931057.5),(23 6290134.5),(24 6675569.5),(25 7068255),(26 7487944),(27 7940308),(28 8441886),(29 8925851),(30 9349395),(31 9758594),(32 10204221),(33 10628302),(34 11075508),(35 11432968),(36 11779072),(37 12131628),(38 12463625),(39 12744041),(40 12994888),(41 13180702),(42 13362959),(43 13565387),(44 13806141),(45 14051904),(46 14248434),(47 14375211),(48 14383614),(49 14301293),(50 14167683),(51 13987907),(52 13795422),(53 13612304),(54 13507106),(55 13438194),(56 13414149),(57 13396918),(58 13365675),(59 13263467),(60 13188674),(61 13107477),(62 13068226),(63 13030250),(64 12991079),(65 12962808),(66 12919818),(67 12840074),(68 12695022),(69 12600034),(70 12586726),(71 12565208),(72 12599436),(73 12715624),(74 12853340),(75 12946876),(76 13038742),(77 13150510),(78 13316902),(79 13485149),
(1 44679.582),(2 147939.98),(3 291995.6),(4 467189.1),(5 638769.7),(6 820284.3),(7 1012433.3),(8 1242019.9),(9 1479711),(10 1710994.1),(11 1943298.5),(12 2178908.3),(13 2434940.8),(14 2692912),(15 2916347.3),(16 3192006.8),(17 3489956.8),(18 3755896.8),(19 3968099),(20 4124793.3),(21 4293289),(22 4412075.5),(23 4571394),(24 4758248.5),(25 4965956),(26 5148855),(27 5314993.5),(28 5454134),(29 5594971.5),(30 5727918),(31 5851524.5),(32 5992026),(33 6108000),(34 6185908),(35 6197957.5),(36 6196971.5),(37 6207271.5),(38 6182278.5),(39 6172082.5),(40 6189348.5),(41 6192237.5),(42 6187262.5),(43 6195465.5),(44 6215016),(45 6228228.5),(46 6228652),(47 6198779.5),(48 6198214),(49 6187028),(50 6190145.5),(51 6196846.5),(52 6191521.5),(53 6194986),(54 6253374.5),(55 6361751.5),(56 6510156),(57 6688794.5),(58 6915784),(59 7053306.5),(60 7263154.5),(61 7477292.5),(62 7726520),(63 8043817.5),(64 8391457),(65 8811297),(66 9212887),(67 9603096),(68 9950569),(69 10268935),(70 10652952),(71 11029516),(72 11355524),(73 11694536),(74 12017344),(75 12278899),(76 12436827),(77 12573725),(78 12681395),(79 12769995),
(1 46254.844),(2 156929.83),(3 310567.2),(4 480943),(5 664043.6),(6 870605.75),(7 1123784.6),(8 1418420.5),(9 1754123.4),(10 2100220),(11 2452817.3),(12 2801139.8),(13 3186323),(14 3551781.8),(15 3933761),(16 4375882.5),(17 4796186),(18 5202652),(19 5545555.5),(20 5840962),(21 6159848.5),(22 6522769.5),(23 6909857),(24 7337380),(25 7799472),(26 8209443.5),(27 8591138),(28 8982921),(29 9325772),(30 9650067),(31 9976514),(32 10308924),(33 10586121),(34 10797922),(35 11003532),(36 11165155),(37 11287239),(38 11381173),(39 11525430),(40 11691871),(41 11845912),(42 11986741),(43 12109284),(44 12186855),(45 12239836),(46 12254590),(47 12262698),(48 12279522),(49 12298436),(50 12307400),(51 12344020),(52 12416057),(53 12472025),(54 12589150),(55 12795092),(56 12954894),(57 13165346),(58 13425477),(59 13676622),(60 13925465),(61 14172193),(62 14402798),(63 14648060),(64 14859625),(65 15080284),(66 15318165),(67 15533918),(68 15660292),(69 15757993),(70 15881346),(71 15875122),(72 15847822),(73 15832078),(74 15772274),(75 15689010),(76 15487403),(77 15258788),(78 14967621),(79 14673339),
(1 54399.39),(2 182128.52),(3 355752.5),(4 552971.25),(5 758331.7),(6 980211.6),(7 1230984.9),(8 1501057.1),(9 1809865.1),(10 2116792.8),(11 2405662.5),(12 2713869),(13 3058864.3),(14 3395820),(15 3698585.8),(16 4019217.5),(17 4356797),(18 4678059.5),(19 4972137.5),(20 5270207.5),(21 5556271.5),(22 5891333),(23 6255712),(24 6641280),(25 7094209.5),(26 7473294.5),(27 7772724.5),(28 8071729.5),(29 8382379.5),(30 8716237),(31 9042343),(32 9331284),(33 9569489),(34 9770038),(35 9898893),(36 9975644),(37 9986102),(38 9990964),(39 9993660),(40 9997238),(41 9999069),(42 9990545),(43 9952886),(44 9898359),(45 9860425),(46 9798852),(47 9760234),(48 9735273),(49 9685956),(50 9633148),(51 9619217),(52 9647494),(53 9693823),(54 9778665),(55 9909434),(56 10034369),(57 10192102),(58 10365539),(59 10567891),(60 10818551),(61 11083870),(62 11338397),(63 11562909),(64 11760371),(65 11962881),(66 12138143),(67 12289651),(68 12389795),(69 12454131),(70 12558340),(71 12634975),(72 12697625),(73 12717169),(74 12680620),(75 12619713),(76 12522173),(77 12412227),(78 12277213),(79 12192611),
(1 60644.137),(2 209991.72),(3 422697.06),(4 680185.8),(5 958127.9),(6 1240478.6),(7 1538376.4),(8 1869239.3),(9 2250763),(10 2637021.3),(11 3024537.5),(12 3430136),(13 3806524.8),(14 4154865.3),(15 4458525),(16 4776754),(17 5083974),(18 5343819.5),(19 5542562.5),(20 5736355),(21 5888171),(22 6074714.5),(23 6322357),(24 6594720),(25 6907693),(26 7196520),(27 7425673.5),(28 7676217.5),(29 7947816),(30 8223491),(31 8484298),(32 8723595),(33 8907512),(34 9067722),(35 9209038),(36 9373205),(37 9505672),(38 9667098),(39 9855534),(40 10082206),(41 10356408),(42 10613953),(43 10817751),(44 11028322),(45 11183878),(46 11217969),(47 11269865),(48 11289282),(49 11273365),(50 11238651),(51 11212342),(52 11153613),(53 11090474),(54 11036184),(55 10960162),(56 10882070),(57 10830747),(58 10785818),(59 10808093),(60 10884435),(61 10890150),(62 10823286),(63 10702868),(64 10578473),(65 10473400),(66 10354845),(67 10261651),(68 10137227),(69 9984845),(70 9843387),(71 9647939),(72 9418469),(73 9148339),(74 8908006),(75 8707155),(76 8520100),(77 8360284),(78 8188364),(79 8014649.5),
(1 83424.49),(2 295858.56),(3 606683.3),(4 1005121.7),(5 1438680.5),(6 1923796.3),(7 2475099.8),(8 3114537),(9 3854053),(10 4600222),(11 5316091.5),(12 6018451.5),(13 6650222),(14 7233506.5),(15 7751271.5),(16 8258507),(17 8683585),(18 8984428),(19 9133954),(20 9200436),(21 9216353),(22 9274760),(23 9373811),(24 9442102),(25 9458385),(26 9416766),(27 9272641),(28 9136670),(29 9016015),(30 8881629),(31 8755745),(32 8590985),(33 8395593),(34 8256097),(35 8143249),(36 8014218.5),(37 7887720.5),(38 7780795),(39 7718999.5),(40 7731128.5),(41 7759599),(42 7766007),(43 7794122.5),(44 7839740.5),(45 7895347.5),(46 7960922.5),(47 8028608),(48 8121688),(49 8212345),(50 8320629.5),(51 8446708),(52 8539886),(53 8613277),(54 8659805),(55 8666677),(56 8592716),(57 8481132),(58 8405996),(59 8380491.5),(60 8402047),(61 8439267),(62 8418505),(63 8385168.5),(64 8317479.5),(65 8268341.5),(66 8238263),(67 8226280.5),(68 8225184.5),(69 8236655.5),(70 8255488.5),(71 8184480.5),(72 8107850),(73 8042219.5),(74 8028071.5),(75 8050024),(76 8080013.5),(77 8110296),(78 8128128.5),(79 8127368.5),
(1 106796.43),(2 388242.88),(3 812375.2),(4 1360816.6),(5 1987326.4),(6 2683712.8),(7 3469644.8),(8 4355313.5),(9 5327394.5),(10 6279934.5),(11 7121173.5),(12 7902692.5),(13 8575615),(14 9085120),(15 9433472),(16 9700205),(17 9844772),(18 9860448),(19 9754496),(20 9566627),(21 9365391),(22 9195779),(23 9054695),(24 8905065),(25 8754271),(26 8600942),(27 8409667),(28 8227279),(29 8022064),(30 7832159),(31 7636197.5),(32 7446740.5),(33 7284724.5),(34 7114889),(35 6933582.5),(36 6716529),(37 6500128.5),(38 6307607.5),(39 6196175.5),(40 6164226.5),(41 6189168),(42 6246495),(43 6352747.5),(44 6458979.5),(45 6586984.5),(46 6698272),(47 6771070),(48 6870033),(49 7024361),(50 7201591.5),(51 7427462.5),(52 7626029),(53 7769725),(54 7867801),(55 7957485),(56 7975257),(57 7983461.5),(58 7994925),(59 8026233.5),(60 8072453.5),(61 8073355.5),(62 8047413.5),(63 8029465.5),(64 8017482),(65 7982618.5),(66 7937271.5),(67 7899399.5),(68 7903957),(69 7924528),(70 7936363.5),(71 7887442.5),(72 7827221.5),(73 7766683.5),(74 7757209.5),(75 7755862.5),(76 7749441.5),(77 7733758),(78 7705953),(79 7681607),
(1 143961.63),(2 528084.5),(3 1095593),(4 1805668.4),(5 2603024),(6 3502382.5),(7 4511180),(8 5560786),(9 6617014.5),(10 7585129.5),(11 8398662),(12 9103557),(13 9744819),(14 10307340),(15 10767537),(16 11121832),(17 11316994),(18 11386179),(19 11272264),(20 11061843),(21 10798584),(22 10511934),(23 10240683),(24 9994776),(25 9750152),(26 9526953),(27 9309714),(28 9105622),(29 8921600),(30 8796583),(31 8723147),(32 8700771),(33 8712708),(34 8728673),(35 8678765),(36 8509328),(37 8261236.5),(38 8056224),(39 7937907),(40 7923632),(41 7933268.5),(42 7935518),(43 7976869.5),(44 8024979),(45 8089323.5),(46 8060918.5),(47 7985524.5),(48 7924957),(49 7885892),(50 7883227.5),(51 7901811),(52 7854914),(53 7777418.5),(54 7682932),(55 7566481),(56 7457152),(57 7371021.5),(58 7299486),(59 7275246),(60 7288378),(61 7301638),(62 7312660.5),(63 7311243.5),(64 7290424.5),(65 7288683),(66 7283472),(67 7309441),(68 7337291),(69 7350784),(70 7330035.5),(71 7293283),(72 7215834.5),(73 7095207.5),(74 6976972),(75 6836314),(76 6686507.5),(77 6570578),(78 6449600.5),(79 6316157),
(1 164441.13),(2 597065.44),(3 1215068.3),(4 1935120),(5 2712263.3),(6 3561704),(7 4489171.5),(8 5422736.5),(9 6330069),(10 7140382.5),(11 7798126),(12 8345917.5),(13 8809328),(14 9152857),(15 9410876),(16 9587942),(17 9702095),(18 9688581),(19 9582693),(20 9417672),(21 9247333),(22 9109638),(23 8984563),(24 8870272),(25 8758709),(26 8689201),(27 8636384),(28 8606967),(29 8594628),(30 8568980),(31 8536735),(32 8500071),(33 8445030),(34 8380092.5),(35 8287282.5),(36 8114467.5),(37 7932624),(38 7795799),(39 7717427.5),(40 7715343),(41 7730008),(42 7734723.5),(43 7756013.5),(44 7771097),(45 7765282.5),(46 7704769),(47 7617049),(48 7497500.5),(49 7365749),(50 7247118),(51 7141888),(52 7030784.5),(53 6940229.5),(54 6890000),(55 6875517.5),(56 6858987),(57 6839384),(58 6835381.5),(59 6867731.5),(60 6925741),(61 6976128.5),(62 7021096),(63 7039187.5),(64 7028233.5),(65 7011924.5),(66 6955320.5),(67 6894641.5),(68 6822837),(69 6742645.5),(70 6677903.5),(71 6620999),(72 6539110),(73 6419326),(74 6282368),(75 6142084.5),(76 6017241),(77 5916424),(78 5830544.5),(79 5772578),
(1 154647.94),(2 556199.7),(3 1109232.6),(4 1724091.3),(5 2360298.3),(6 3037081.3),(7 3780214),(8 4531200.5),(9 5274973.5),(10 5916483.5),(11 6381023.5),(12 6728560),(13 7011696.5),(14 7225601),(15 7381844.5),(16 7489285),(17 7511016.5),(18 7446612.5),(19 7332888.5),(20 7227618),(21 7134815),(22 7086175),(23 7090788),(24 7110903.5),(25 7157961.5),(26 7246586.5),(27 7335276),(28 7406939.5),(29 7423863.5),(30 7386002),(31 7305825.5),(32 7216853.5),(33 7139515.5),(34 7090606),(35 7044700),(36 6948404),(37 6863129.5),(38 6815110.5),(39 6805338.5),(40 6840535.5),(41 6857736.5),(42 6875735.5),(43 6887320.5),(44 6858486),(45 6764801),(46 6643760),(47 6501193.5),(48 6372706),(49 6223105),(50 6078088.5),(51 5947468),(52 5876072),(53 5860320),(54 5887085),(55 5953048.5),(56 6020403),(57 6083740),(58 6163324),(59 6229839),(60 6290367),(61 6338932),(62 6372050),(63 6413197),(64 6401206.5),(65 6357087),(66 6271276),(67 6143416.5),(68 6000173.5),(69 5861446),(70 5753053),(71 5674749),(72 5610482),(73 5550228.5),(74 5482673.5),(75 5439922.5),(76 5395281),(77 5365359),(78 5349340),(79 5335202),
