1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 80256.96),(2 207556.33),(3 445921.22),(4 718180),(5 1066969.9),(6 1431131.4),(7 1853383.1),(8 2273506.3),(9 2707442.8),(10 3124928.8),(11 3529154.8),(12 3904214.8),(13 4290332),(14 4736165.5),(15 5160314),(16 5670776),(17 6113157.5),(18 6593029.5),(19 7091102.5),(20 7630902.5),(21 8103040),(22 8527308),(23 8948871),(24 9375132),(25 9740830),(26 10114203),(27 10369379),(28 10631733),(29 10796142),(30 10944549),(31 10985453),(32 11026214),(33 11057344),(34 10993791),(35 11015015),(36 11222216),(37 11485384),(38 11749257),(39 11915503),(40 12145857),(41 12385855),(42 12761661),(43 13742536),(44 14322115),(45 14856635),(46 15549237),(47 16112536),(48 16865736),(49 17733164),(50 18669140),(51 19805216),(52 20960696),(53 22213684),(54 23218534),(55 24274894),(56 25137464),(57 26005286),(58 26787584),(59 27656278),(60 28528454),(61 29388154),(62 30107062),(63 30803472),(64 31346602),(65 31916078),(66 32457816),(67 32933040),(68 33564212),(69 33892324),(70 34044908),(71 34159236),(72 33953330),(73 33713504),(74 33263736),(75 32802078),(76 32206928),(77 31672758),(78 31169136),(79 30799970),
(1 50776.777),(2 176251.7),(3 363296.7),(4 600968.7),(5 877211.1),(6 1237649.8),(7 1605277.4),(8 2036840.6),(9 2482882.3),(10 2963832.8),(11 3443879.5),(12 3938417.5),(13 4453320.5),(14 4996274),(15 5532829),(16 6082017),(17 6640492),(18 7218569.5),(19 7812622.5),(20 8426737),(21 8998880),(22 9549227),(23 10124944),(24 10707272),(25 11248830),(26 11738469),(27 12230644),(28 12662659),(29 13002421),(30 13304053),(31 13550200),(32 13774042),(33 13971021),(34 14081418),(35 14226794),(36 14409925),(37 14576718),(38 14693826),(39 14841618),(40 15058126),(41 15279277),(42 15488189),(43 15638413),(44 15732742),(45 15822966),(46 15944509),(47 16023798),(48 16082963),(49 16158123),(50 16234461),(51 16344643),(52 16416483),(53 16552149),(54 16638048),(55 16676554),(56 16714026),(57 16737661),(58 16752646),(59 16690714),(60 16689826),(61 16564275),(62 16481510),(63 16367965),(64 16282342),(65 16173723),(66 16094469),(67 15953389),(68 16053829),(69 16116819),(70 16271051),(71 16456174),(72 16660867),(73 16878264),(74 17133538),(75 17386668),(76 17598542),(77 17813934),(78 18166502),(79 18507638),
(1 52442.125),(2 173389.27),(3 365700.34),(4 597631.06),(5 880200.75),(6 1216105.6),(7 1571166),(8 1956389.9),(9 2368762.8),(10 2780969.8),(11 3235223),(12 3720458),(13 4239872.5),(14 4809198.5),(15 5396540),(16 5991024),(17 6638309.5),(18 7359017.5),(19 8091268),(20 8854375),(21 9650505),(22 10450828),(23 11316067),(24 12176455),(25 13097120),(26 13938108),(27 14833739),(28 15673335),(29 16473849),(30 17232250),(31 17978118),(32 18643286),(33 19287646),(34 19857250),(35 20433114),(36 21005598),(37 21396434),(38 21725682),(39 22007378),(40 22268194),(41 22485374),(42 22629454),(43 22902826),(44 22984478),(45 23125952),(46 23229136),(47 23334072),(48 23438586),(49 23551462),(50 23670422),(51 23817168),(52 23987358),(53 24242070),(54 24487162),(55 24699222),(56 25032928),(57 25392962),(58 25803274),(59 26243920),(60 26816602),(61 27339728),(62 27808378),(63 28301808),(64 28818072),(65 29365338),(66 29928898),(67 30474074),(68 31049862),(69 31654662),(70 32210304),(71 32803318),(72 33312928),(73 33801520),(74 34319980),(75 34761116),(76 35251680),(77 35688644),(78 36163536),(79 36486100),
(1 50351.11),(2 164860.88),(3 338126.38),(4 555014.25),(5 815852.8),(6 1110696.9),(7 1433707.5),(8 1782007.4),(9 2136995.5),(10 2487294.5),(11 2848386.8),(12 3223123.5),(13 3622468.3),(14 4040982.3),(15 4491326),(16 4938162.5),(17 5425126),(18 5963586.5),(19 6438462.5),(20 6943656.5),(21 7491857),(22 8086927),(23 8736380),(24 9391764),(25 10081783),(26 10733357),(27 11395327),(28 12041550),(29 12740004),(30 13466056),(31 14204453),(32 14929611),(33 15701787),(34 16360284),(35 17093444),(36 17832932),(37 18476054),(38 19125894),(39 19744292),(40 20314486),(41 20856800),(42 21372602),(43 21928100),(44 22356608),(45 22852864),(46 23344878),(47 23872494),(48 24325532),(49 24710858),(50 25032960),(51 25333096),(52 25613508),(53 25996930),(54 26351016),(55 26709208),(56 27141894),(57 27523272),(58 27899102),(59 28258230),(60 28694140),(61 29130650),(62 29488474),(63 29850564),(64 30233998),(65 30656288),(66 31108344),(67 31631126),(68 32405592),(69 33044426),(70 33671036),(71 34328012),(72 34881090),(73 35350144),(74 35891920),(75 36323492),(76 36832110),(77 37291410),(78 37873620),(79 38344584),
(1 71381.1),(2 253399.06),(3 527023),(4 880665),(5 1295807.1),(6 1757245.9),(7 2263587.3),(8 2794739.8),(9 3351097),(10 3911514.3),(11 4507567),(12 5105940.5),(13 5729527.5),(14 6374634),(15 7048267.5),(16 7699672),(17 8400711),(18 9134562),(19 9819961),(20 10541484),(21 11356068),(22 12238540),(23 13164191),(24 14101375),(25 15050455),(26 15986019),(27 16905826),(28 17833464),(29 18763204),(30 19677874),(31 20570916),(32 21422528),(33 22270344),(34 23047104),(35 23884848),(36 24709248),(37 25495002),(38 26298240),(39 27074432),(40 27844870),(41 28611714),(42 29349952),(43 30149736),(44 30748026),(45 31417042),(46 32166226),(47 32933438),(48 33491770),(49 33907468),(50 34132836),(51 34351696),(52 34541676),(53 34761348),(54 34925270),(55 35088844),(56 35284440),(57 35452612),(58 35647924),(59 35783256),(60 35927364),(61 36031412),(62 36063280),(63 36047810),(64 36098584),(65 36154012),(66 36244996),(67 36417944),(68 36813236),(69 37202628),(70 37724944),(71 38333760),(72 38960324),(73 39573124),(74 40290052),(75 40953484),(76 41636316),(77 42245308),(78 42848616),(79 43328616),
(1 111814.984),(2 402847.16),(3 848614.5),(4 1449752.8),(5 2210767.3),(6 3108087.3),(7 4132456.5),(8 5281855),(9 6550245.5),(10 7897845),(11 9297691),(12 10766108),(13 12251364),(14 13724430),(15 15267862),(16 16785206),(17 18345772),(18 19971684),(19 21493612),(20 23050778),(21 24631652),(22 26150164),(23 27530176),(24 28844596),(25 30021988),(26 31149092),(27 32259386),(28 33230064),(29 34194550),(30 35078164),(31 35919336),(32 36670020),(33 37296564),(34 37800920),(35 38210504),(36 38564732),(37 38858420),(38 39165548),(39 39405760),(40 39688320),(41 40001720),(42 40489776),(43 41057452),(44 41429570),(45 41746650),(46 41999960),(47 42188990),(48 42181980),(49 42046884),(50 41836650),(51 41614996),(52 41329576),(53 41154356),(54 40944652),(55 40842864),(56 40842644),(57 40982456),(58 41218850),(59 41514810),(60 41813664),(61 42100510),(62 42401132),(63 42762264),(64 43098344),(65 43475030),(66 43915116),(67 44403110),(68 44882600),(69 45410220),(70 45941224),(71 46476030),(72 46935296),(73 47374056),(74 47871604),(75 48303324),(76 48632790),(77 48890240),(78 49020308),(79 49008692),
(1 82883.305),(2 293728.8),(3 621106.6),(4 1049369.8),(5 1569865.4),(6 2175036.3),(7 2846688.3),(8 3605685),(9 4392533.5),(10 5215471),(11 6036697),(12 6855786.5),(13 7698899),(14 8527616),(15 9413202),(16 10301526),(17 11219552),(18 12141870),(19 13021415),(20 13896213),(21 14753200),(22 15623995),(23 16427713),(24 17160484),(25 17851614),(26 18496930),(27 19082178),(28 19578990),(29 20022530),(30 20434260),(31 20860116),(32 21177064),(33 21454884),(34 21594462),(35 21684002),(36 21772476),(37 21922996),(38 22109096),(39 22312680),(40 22540366),(41 22834420),(42 23202354),(43 23722370),(44 24049110),(45 24354696),(46 24631240),(47 24860768),(48 25053742),(49 25249662),(50 25424650),(51 25603296),(52 25734364),(53 25885240),(54 25971970),(55 26060372),(56 26085422),(57 26101524),(58 26089270),(59 26062260),(60 25996480),(61 25891894),(62 25760226),(63 25705216),(64 25602232),(65 25518764),(66 25372374),(67 25162894),(68 25022670),(69 24856534),(70 24715916),(71 24551754),(72 24436354),(73 24323822),(74 24230902),(75 24241132),(76 24245312),(77 24268086),(78 24300462),(79 24353770),
(1 91844.766),(2 334739.88),(3 713523.75),(4 1196850.3),(5 1791418.3),(6 2481091.3),(7 3231956.5),(8 4023424),(9 4867365),(10 5718176),(11 6554066),(12 7402628.5),(13 8251982.5),(14 9105901),(15 10011876),(16 10956713),(17 11956913),(18 12969259),(19 13952384),(20 14882708),(21 15790196),(22 16692898),(23 17540942),(24 18335028),(25 19104320),(26 19846010),(27 20525930),(28 21110028),(29 21623010),(30 22121594),(31 22641056),(32 23071778),(33 23392714),(34 23572964),(35 23709236),(36 23786752),(37 23771534),(38 23751958),(39 23765210),(40 23766758),(41 23689662),(42 23615572),(43 23514066),(44 23405976),(45 23323500),(46 23220314),(47 23058412),(48 22914690),(49 22818420),(50 22704906),(51 22626390),(52 22547420),(53 22473332),(54 22400140),(55 22310302),(56 22164820),(57 22020998),(58 21862688),(59 21662784),(60 21497046),(61 21400988),(62 21386490),(63 21409596),(64 21392122),(65 21357058),(66 21357898),(67 21294984),(68 21226870),(69 21182226),(70 21117102),(71 21033920),(72 20912648),(73 20717888),(74 20523564),(75 20328800),(76 20143994),(77 19988138),(78 19824608),(79 19698200),
(1 93699.18),(2 340987.2),(3 722446.2),(4 1200517.1),(5 1771585.9),(6 2403408.8),(7 3096552.5),(8 3824174),(9 4629804.5),(10 5449978.5),(11 6285276.5),(12 7123737.5),(13 7973140.5),(14 8797080),(15 9632460),(16 10431816),(17 11224440),(18 12048117),(19 12792275),(20 13524650),(21 14289943),(22 15037828),(23 15753084),(24 16486820),(25 17204968),(26 17876520),(27 18593574),(28 19199226),(29 19777170),(30 20292122),(31 20741832),(32 21147258),(33 21398400),(34 21604246),(35 21695554),(36 21711068),(37 21601318),(38 21498940),(39 21419144),(40 21275038),(41 21091724),(42 20925736),(43 20693112),(44 20447568),(45 20184546),(46 19890626),(47 19587892),(48 19287440),(49 19030660),(50 18782674),(51 18543086),(52 18364426),(53 18193546),(54 18100208),(55 18003418),(56 17957194),(57 17924504),(58 17840670),(59 17745204),(60 17670614),(61 17615872),(62 17638416),(63 17688418),(64 17760836),(65 17884770),(66 18040208),(67 18244186),(68 18461938),(69 18676418),(70 18875414),(71 19091408),(72 19274190),(73 19449056),(74 19632852),(75 19761720),(76 19899704),(77 19989886),(78 20049864),(79 20096666),
(1 78561.5),(2 283732.88),(3 605608.56),(4 1019913.75),(5 1506009.3),(6 2047826.5),(7 2636706.3),(8 3269671),(9 3934299.5),(10 4618151),(11 5335372),(12 6049969),(13 6806526),(14 7536189.5),(15 8290279),(16 9001806),(17 9699131),(18 10369945),(19 10954439),(20 11509509),(21 12078311),(22 12662372),(23 13280000),(24 13910460),(25 14539701),(26 15144110),(27 15739580),(28 16253369),(29 16737739),(30 17143188),(31 17454826),(32 17710310),(33 17937132),(34 18098436),(35 18161000),(36 18108926),(37 17952902),(38 17791640),(39 17648856),(40 17441888),(41 17216336),(42 16974904),(43 16748187),(44 16438588),(45 16159588),(46 15901280),(47 15653113),(48 15424071),(49 15251588),(50 15124944),(51 15066437),(52 15072281),(53 15052869),(54 15129824),(55 15225888),(56 15411342),(57 15623308),(58 15832263),(59 16026140),(60 16280672),(61 16546356),(62 16810794),(63 17070882),(64 17275822),(65 17467128),(66 17623912),(67 17830910),(68 18049190),(69 18247606),(70 18426548),(71 18595328),(72 18766616),(73 18909960),(74 19074204),(75 19213914),(76 19340682),(77 19419126),(78 19451552),(79 19446496),
(1 75442.914),(2 270840.5),(3 570132.75),(4 955330.5),(5 1420530.1),(6 1935625.1),(7 2484518),(8 3066046),(9 3650016),(10 4245750),(11 4851131),(12 5481804),(13 6145993),(14 6794275),(15 7477034.5),(16 8143269.5),(17 8778952),(18 9420036),(19 9975557),(20 10520389),(21 11019803),(22 11475482),(23 11918280),(24 12325474),(25 12728472),(26 13099887),(27 13381708),(28 13646825),(29 13882844),(30 14080246),(31 14238042),(32 14342089),(33 14383285),(34 14367514),(35 14267740),(36 14165301),(37 13984077),(38 13834961),(39 13709286),(40 13583351),(41 13477842),(42 13389469),(43 13332730),(44 13275354),(45 13277285),(46 13297898),(47 13348919),(48 13359011),(49 13405944),(50 13478773),(51 13570424),(52 13695807),(53 13836316),(54 14017118),(55 14182273),(56 14350478),(57 14498856),(58 14596676),(59 14604315),(60 14595640),(61 14570359),(62 14480770),(63 14359045),(64 14197384),(65 14019864),(66 13812937),(67 13604333),(68 13337679),(69 13117542),(70 12882867),(71 12650210),(72 12430002),(73 12224781),(74 12009032),(75 11790393),(76 11578532),(77 11361658),(78 11195199),(79 11024623),
