1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 12894.102),(2 30612.74),(3 59356.074),(4 82426.94),(5 109304.914),(6 134452.48),(7 163138.23),(8 193307.05),(9 219926.27),(10 255097.17),(11 293320.22),(12 329219.97),(13 371068.5),(14 413881.72),(15 455095.53),(16 497330.25),(17 545210.56),(18 590757.2),(19 653023),(20 706626.8),(21 776757.06),(22 853320.5),(23 940855.5),(24 1058690.4),(25 1187144.6),(26 1314106.1),(27 1475282),(28 1670796.6),(29 1826763),(30 1989138),(31 2146963),(32 2337895.8),(33 2515241.8),(34 2674316.3),(35 2835393.3),(36 3003124),(37 3176736),(38 3384561),(39 3623331.3),(40 3840765.3),(41 4080018.8),(42 4372505),(43 4708668.5),(44 5069354),(45 5636265.5),(46 6283432.5),(47 6936461.5),(48 7580129.5),(49 8211440),(50 8765633),(51 9594339),(52 10308765),(53 11400023),(54 12279299),(55 13147520),(56 13910320),(57 14777055),(58 15536099),(59 16320293),(60 17146048),(61 17943586),(62 18583784),(63 19379576),(64 20066430),(65 20674512),(66 21262498),(67 21704906),(68 22046076),(69 22499432),(70 22822162),(71 23145000),(72 23455122),(73 23666218),(74 23721238),(75 23888592),(76 24022470),(77 24144848),(78 24398840),(79 24614734),
(1 8674.782),(2 23358.775),(3 48285.234),(4 73358),(5 101230.55),(6 130509.77),(7 164045.6),(8 204144.45),(9 252782.3),(10 312872.1),(11 381519.78),(12 459810.5),(13 543726.7),(14 634155.3),(15 733220.6),(16 825560.6),(17 932673.2),(18 1042182.5),(19 1171633.4),(20 1294741.8),(21 1427196.1),(22 1562241.4),(23 1704394),(24 1860209.6),(25 2015411.6),(26 2173188),(27 2331302),(28 2498554.8),(29 2675167),(30 2826039.5),(31 2990656.8),(32 3147075.5),(33 3298244),(34 3452031.3),(35 3608935.5),(36 3756884),(37 3920019.3),(38 4101927.5),(39 4296555),(40 4473871),(41 4647701),(42 4826614.5),(43 5039485.5),(44 5280619),(45 5542179),(46 5796901),(47 6061292),(48 6287157.5),(49 6499942),(50 6715048),(51 6943855),(52 7148560),(53 7330001.5),(54 7525803),(55 7745552),(56 7954249.5),(57 8178913.5),(58 8362269),(59 8535156),(60 8723959),(61 8883095),(62 9058674),(63 9208427),(64 9349774),(65 9491781),(66 9637291),(67 9767334),(68 9896698),(69 10038669),(70 10162165),(71 10302013),(72 10464174),(73 10612691),(74 10787098),(75 11011882),(76 11199382),(77 11394774),(78 11627166),(79 11836977),
(1 10725.497),(2 33527.234),(3 73407.516),(4 119584.44),(5 170969.44),(6 230973.38),(7 299904),(8 379525.53),(9 466247.25),(10 569449.25),(11 677028.2),(12 799778.44),(13 924533.8),(14 1067557.1),(15 1212486.6),(16 1358202.8),(17 1517035.6),(18 1680649.1),(19 1860346.1),(20 2036389.6),(21 2217694.8),(22 2406203.3),(23 2603398.8),(24 2786889),(25 2961496.3),(26 3130219),(27 3284123.3),(28 3443676.3),(29 3609866),(30 3752548),(31 3896801.3),(32 4030405.8),(33 4156859),(34 4308877.5),(35 4445957.5),(36 4581214),(37 4709681.5),(38 4851326.5),(39 4954661),(40 5065934.5),(41 5168646),(42 5268035.5),(43 5373993.5),(44 5510881.5),(45 5627762),(46 5774018),(47 5925018.5),(48 6079293.5),(49 6216876),(50 6363536.5),(51 6525580),(52 6665937.5),(53 6829030.5),(54 6979125.5),(55 7129420.5),(56 7303890.5),(57 7454825.5),(58 7639807.5),(59 7803676.5),(60 7985309.5),(61 8129142.5),(62 8299576.5),(63 8458833),(64 8622940),(65 8786607),(66 8937703),(67 9099041),(68 9249985),(69 9403900),(70 9560265),(71 9745261),(72 9911764),(73 10091541),(74 10267067),(75 10424804),(76 10586457),(77 10729913),(78 10953080),(79 11141693),
(1 13283.781),(2 44159.9),(3 97383.59),(4 163623.36),(5 244170.58),(6 338411.66),(7 447952.75),(8 573438.7),(9 710893.3),(10 865717.9),(11 1034931.1),(12 1208060.9),(13 1394388.5),(14 1589362.6),(15 1792781.5),(16 1995328.6),(17 2209573),(18 2443049),(19 2682815),(20 2931277.8),(21 3185935),(22 3446410.8),(23 3713710.3),(24 3979157.3),(25 4248281.5),(26 4527734),(27 4816549.5),(28 5176045),(29 5472091),(30 5760294),(31 6034860.5),(32 6273135),(33 6516923.5),(34 6763866.5),(35 7013677.5),(36 7267391),(37 7515332.5),(38 7764985),(39 7970122),(40 8168147.5),(41 8366805.5),(42 8535401),(43 8704929),(44 8864119),(45 9058078),(46 9226491),(47 9427698),(48 9623293),(49 9760084),(50 9927961),(51 10096563),(52 10275124),(53 10585506),(54 10822681),(55 11061274),(56 11284085),(57 11501932),(58 11724210),(59 11968779),(60 12225324),(61 12480119),(62 12740742),(63 13012377),(64 13269807),(65 13547833),(66 13806877),(67 14069641),(68 14275625),(69 14505500),(70 14714020),(71 14934933),(72 15140622),(73 15334180),(74 15485796),(75 15649547),(76 15790645),(77 15953180),(78 16174859),(79 16347317),
(1 14476.338),(2 48423.01),(3 107479.02),(4 182738.11),(5 273083.2),(6 378222.13),(7 496822.72),(8 629817),(9 777950.4),(10 941049.8),(11 1116007.8),(12 1291706.5),(13 1475204.9),(14 1671921.3),(15 1885951.1),(16 2089597.5),(17 2306066.3),(18 2529124.5),(19 2768694),(20 3010346.3),(21 3260186.3),(22 3510084.8),(23 3774659),(24 4035849),(25 4299175.5),(26 4568116.5),(27 4846528.5),(28 5204223.5),(29 5510864),(30 5826292.5),(31 6145256.5),(32 6455991.5),(33 6786244.5),(34 7114767.5),(35 7443755.5),(36 7785728.5),(37 8129065.5),(38 8477447),(39 8824695),(40 9131584),(41 9435004),(42 9724495),(43 10017224),(44 10287462),(45 10588577),(46 10847921),(47 11099453),(48 11408355),(49 11652551),(50 11907787),(51 12193718),(52 12472928),(53 12814831),(54 13127905),(55 13418153),(56 13695635),(57 13965321),(58 14222249),(59 14480012),(60 14753520),(61 15003329),(62 15258544),(63 15507520),(64 15764052),(65 16017094),(66 16274953),(67 16554493),(68 16822592),(69 17111882),(70 17364352),(71 17633794),(72 17856442),(73 18049678),(74 18210150),(75 18362484),(76 18498516),(77 18643512),(78 18843668),(79 19002198),
(1 13403.928),(2 43283.07),(3 91184.55),(4 154507.2),(5 231757.1),(6 321193.75),(7 421949.3),(8 526744.94),(9 640327.7),(10 763497.9),(11 890845.1),(12 1025186.4),(13 1162315),(14 1309651.4),(15 1454401.8),(16 1599880.3),(17 1747175),(18 1897038.8),(19 2049478.8),(20 2203109.8),(21 2361182.8),(22 2524650.8),(23 2690959.8),(24 2838446.5),(25 2981265.5),(26 3119820.8),(27 3245925.5),(28 3394082.5),(29 3521788),(30 3648148.5),(31 3776572),(32 3917696),(33 4074643.5),(34 4232970.5),(35 4403959),(36 4576346.5),(37 4755795),(38 4922809),(39 5081551),(40 5233518),(41 5376801.5),(42 5519765),(43 5649827),(44 5770533.5),(45 5914937.5),(46 6041707.5),(47 6181625),(48 6331957),(49 6460824),(50 6600685),(51 6760139),(52 6904448),(53 7066867),(54 7189261),(55 7288758.5),(56 7385023),(57 7445531),(58 7493882.5),(59 7534488),(60 7551627),(61 7574300),(62 7593331),(63 7604280),(64 7618120),(65 7642322.5),(66 7672005),(67 7724382.5),(68 7775358.5),(69 7829904),(70 7897827),(71 7974588),(72 8044541),(73 8114373),(74 8173213.5),(75 8246158.5),(76 8324416),(77 8421821),(78 8547618),(79 8643552),
(1 14741.088),(2 49941.56),(3 107231.68),(4 178769.4),(5 264175.38),(6 363964.66),(7 478028.94),(8 599047.4),(9 727572.1),(10 878741.06),(11 1038621.25),(12 1207987),(13 1390255.9),(14 1583542.1),(15 1782393.3),(16 1985031.5),(17 2192137.5),(18 2408322.3),(19 2624578.3),(20 2853535),(21 3085021.5),(22 3329400.5),(23 3576019),(24 3809775),(25 4054153.8),(26 4293076.5),(27 4553416.5),(28 4853027.5),(29 5115032),(30 5381424.5),(31 5645211.5),(32 5917704),(33 6210739.5),(34 6486935),(35 6798847),(36 7103987.5),(37 7403676.5),(38 7698554),(39 7992449),(40 8267814),(41 8522958),(42 8765976),(43 8981062),(44 9189654),(45 9397332),(46 9560740),(47 9738980),(48 9886636),(49 10011562),(50 10141663),(51 10246572),(52 10355419),(53 10448209),(54 10510156),(55 10557759),(56 10589269),(57 10587905),(58 10585535),(59 10562087),(60 10522255),(61 10500543),(62 10461218),(63 10436407),(64 10403351),(65 10384464),(66 10384773),(67 10394526),(68 10418802),(69 10457376),(70 10511252),(71 10571273),(72 10633033),(73 10687870),(74 10745828),(75 10845264),(76 10945295),(77 11054409),(78 11169950),(79 11263040),
(1 12801.318),(2 42519.58),(3 91020.6),(4 147016.75),(5 212434.6),(6 284570.88),(7 363617.1),(8 445856.16),(9 533233.7),(10 625137.6),(11 718847),(12 817659.25),(13 917993.06),(14 1025141.4),(15 1146028.3),(16 1263811.6),(17 1389063.9),(18 1521976.4),(19 1648631.1),(20 1780038.4),(21 1921440.3),(22 2074518),(23 2232692.5),(24 2391188.5),(25 2551196.8),(26 2700325.3),(27 2878037),(28 3087309.8),(29 3257633.3),(30 3424899.5),(31 3581634.8),(32 3762100),(33 3942487.3),(34 4112867.8),(35 4280758.5),(36 4442856.5),(37 4600946.5),(38 4759681.5),(39 4907003.5),(40 5041913.5),(41 5164194.5),(42 5289922),(43 5397906.5),(44 5514338.5),(45 5622162),(46 5701360.5),(47 5782070.5),(48 5854607.5),(49 5914451),(50 5970488.5),(51 6013373.5),(52 6070467),(53 6103124.5),(54 6134945),(55 6154856.5),(56 6175649),(57 6191701.5),(58 6192789.5),(59 6193288.5),(60 6197386),(61 6190943),(62 6190697),(63 6194479),(64 6188882),(65 6187269.5),(66 6199688),(67 6211073.5),(68 6226527),(69 6237017.5),(70 6257047.5),(71 6288031.5),(72 6324366),(73 6352488),(74 6380023.5),(75 6387721.5),(76 6395195),(77 6408229.5),(78 6431779),(79 6455880.5),
(1 14029.381),(2 46864.625),(3 99171.05),(4 162979.23),(5 237932.25),(6 322144.94),(7 415837.1),(8 514610.34),(9 617192.44),(10 726384.5),(11 838896.5),(12 961342.2),(13 1086643),(14 1214544.5),(15 1336869),(16 1453364),(17 1568391.3),(18 1676626.9),(19 1778783.8),(20 1876180.1),(21 1974877.6),(22 2066096.3),(23 2152051.8),(24 2234761.3),(25 2308857.5),(26 2372533.3),(27 2440750),(28 2512482.8),(29 2572710),(30 2632986.3),(31 2699987.5),(32 2772731),(33 2838532.3),(34 2909626.3),(35 2970578.8),(36 3033902),(37 3085962.8),(38 3148218),(39 3213747.3),(40 3282165.5),(41 3360936.5),(42 3441647.8),(43 3527045.5),(44 3619582),(45 3705358.8),(46 3787493.8),(47 3872353),(48 3944395.8),(49 4013638.5),(50 4073266),(51 4135330),(52 4194669),(53 4261540),(54 4315333),(55 4357791),(56 4401804),(57 4457537),(58 4498098),(59 4552192),(60 4597258.5),(61 4634722.5),(62 4654514),(63 4676230.5),(64 4688483),(65 4706477.5),(66 4723769),(67 4739817.5),(68 4762558.5),(69 4792081.5),(70 4822742.5),(71 4859289),(72 4888520.5),(73 4916743),(74 4933961.5),(75 4942453.5),(76 4953221),(77 4960267),(78 4980391),(79 4991723.5),
(1 12388.423),(2 40539.582),(3 87440.56),(4 143831.17),(5 210232.75),(6 288361.06),(7 374649.88),(8 468102.5),(9 568792.4),(10 676107.25),(11 787227.3),(12 905808.7),(13 1028641.56),(14 1153611.5),(15 1277532.5),(16 1404528.5),(17 1529655.5),(18 1651088.3),(19 1767629.9),(20 1877087.1),(21 1976136),(22 2077356.6),(23 2169919),(24 2258355),(25 2338670.8),(26 2421893.8),(27 2496513),(28 2587131),(29 2659441.8),(30 2735506),(31 2812769),(32 2894040),(33 2979899),(34 3061652),(35 3134342),(36 3206764.3),(37 3266016),(38 3322196),(39 3378620.5),(40 3434197.8),(41 3490166.8),(42 3549415),(43 3620149),(44 3685086.3),(45 3755584),(46 3814786.3),(47 3870240),(48 3912944),(49 3946173),(50 3972907),(51 4003152),(52 4023379),(53 4043961.3),(54 4051313.3),(55 4047668),(56 4046833),(57 4047581.3),(58 4044204.5),(59 4050636.5),(60 4048675),(61 4050583),(62 4058653.8),(63 4065489.8),(64 4066652.5),(65 4069696),(66 4062135.5),(67 4049089.8),(68 4032625),(69 4013523.5),(70 3994361),(71 3971718.8),(72 3948106.8),(73 3926074.8),(74 3902771.5),(75 3881477.3),(76 3877245.8),(77 3876441),(78 3881357.3),(79 3893692),
(1 13635.4375),(2 46013.75),(3 100466.164),(4 166923.63),(5 243959.72),(6 333771.25),(7 435365.16),(8 546150.44),(9 666611.6),(10 795321.5),(11 928875.3),(12 1068816.6),(13 1211760),(14 1358189.4),(15 1509795.8),(16 1660103),(17 1810603.4),(18 1960104.8),(19 2100605.3),(20 2244146.8),(21 2373423.8),(22 2502584),(23 2629949.8),(24 2750346.3),(25 2863107.8),(26 2971597),(27 3077269.3),(28 3190454),(29 3280489),(30 3375212.8),(31 3462754),(32 3553080.5),(33 3648939.3),(34 3746748.3),(35 3848750.8),(36 3943845.8),(37 4024198),(38 4113171.3),(39 4186341.3),(40 4261667),(41 4326984.5),(42 4390214.5),(43 4445220.5),(44 4497218),(45 4524284),(46 4540522),(47 4544469.5),(48 4551796.5),(49 4543838.5),(50 4530607.5),(51 4514061.5),(52 4489787.5),(53 4444898),(54 4403124.5),(55 4347720.5),(56 4292980.5),(57 4238451),(58 4179585.5),(59 4125490),(60 4077108.8),(61 4018262),(62 3952215),(63 3886744.3),(64 3820848.5),(65 3763356.8),(66 3716620.8),(67 3670538),(68 3620819),(69 3566385),(70 3511290.3),(71 3454964.3),(72 3396679),(73 3323424.5),(74 3251649.3),(75 3174965.3),(76 3110659.3),(77 3043418),(78 2972138.8),(79 2916538.3),
