1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 22514.146),(2 61251.344),(3 115453.19),(4 198445.33),(5 505605.97),(6 666905.5),(7 873197),(8 1095291),(9 1342692.4),(10 1572376.4),(11 1870076.5),(12 2133283.8),(13 2414139.3),(14 2701754.8),(15 3000998),(16 3226839.3),(17 3540002.8),(18 3808793.3),(19 4074172.3),(20 4392860.5),(21 4688287.5),(22 4915085.5),(23 5224655.5),(24 5396334),(25 5589220.5),(26 5797732),(27 5966254),(28 6117488.5),(29 6391611.5),(30 6612958.5),(31 6912776),(32 7162775.5),(33 7371949.5),(34 7633780.5),(35 7955532),(36 8189445.5),(37 8522049),(38 8856478),(39 9126705),(40 9474712),(41 9820588),(42 10154351),(43 10479825),(44 10814687),(45 11106047),(46 11459448),(47 11896744),(48 12221883),(49 12551469),(50 12777395),(51 12985389),(52 13147465),(53 13300243),(54 13357221),(55 13177069),(56 13120497),(57 13035165),(58 12930079),(59 12810415),(60 12678916),(61 12586107),(62 12454648),(63 12322208),(64 12174589),(65 12036929),(66 11902824),(67 11754501),(68 11694107),(69 11636764),(70 11606107),(71 11594780),(72 11542751),(73 11523015),(74 11653817),(75 11831323),(76 11981084),(77 12186600),(78 12419493),(79 12682880),
(1 12387.755),(2 37176.313),(3 73808.234),(4 122835.125),(5 211744.2),(6 276475.84),(7 348394.97),(8 431096.34),(9 523091.9),(10 619962.44),(11 724509.2),(12 831938.1),(13 943171),(14 1060618.8),(15 1190074.8),(16 1303057),(17 1428257.1),(18 1544688),(19 1663931.3),(20 1783296.3),(21 1914954.8),(22 2027300.8),(23 2161281.3),(24 2276502.3),(25 2392755.5),(26 2523282.8),(27 2634417.5),(28 2762408.5),(29 2931229.3),(30 3127791.3),(31 3302928.5),(32 3486653.5),(33 3643172.5),(34 3796155.3),(35 3994040),(36 4189661.3),(37 4380055),(38 4588242.5),(39 4772469.5),(40 4983864),(41 5236307),(42 5475956),(43 5717284),(44 5976846.5),(45 6217089.5),(46 6461121),(47 6735592),(48 6977375),(49 7221909),(50 7402761.5),(51 7584106.5),(52 7709241.5),(53 7888967),(54 8059534.5),(55 8296840),(56 8491155),(57 8685829),(58 8853918),(59 9021386),(60 9159677),(61 9317696),(62 9429860),(63 9541527),(64 9638544),(65 9748083),(66 9865670),(67 9946393),(68 10069187),(69 10194451),(70 10324034),(71 10450678),(72 10558283),(73 10657698),(74 10736448),(75 10810706),(76 10894963),(77 10988210),(78 11124136),(79 11279725),
(1 13767.958),(2 44965.094),(3 92081.23),(4 156150.36),(5 262882.13),(6 355615.88),(7 458969.25),(8 579426.5),(9 700926.7),(10 828372),(11 961733.5),(12 1090205.6),(13 1223356.5),(14 1365939.8),(15 1502875.5),(16 1645506.1),(17 1794898.5),(18 1942426.5),(19 2101417),(20 2245330.8),(21 2389137.3),(22 2542629),(23 2700205.8),(24 2832788.3),(25 2984045),(26 3142331.3),(27 3320758.3),(28 3495250),(29 3708110),(30 3987494.8),(31 4240013.5),(32 4523444.5),(33 4794075.5),(34 5073749.5),(35 5387470),(36 5694550),(37 5984724),(38 6248782),(39 6533376.5),(40 6788053.5),(41 7057297.5),(42 7303472),(43 7581955.5),(44 7847912),(45 8114558.5),(46 8329956),(47 8577168),(48 8798517),(49 9025977),(50 9231664),(51 9393672),(52 9518682),(53 9683192),(54 9816555),(55 9967519),(56 10114772),(57 10242987),(58 10388924),(59 10560484),(60 10710976),(61 10910759),(62 11078901),(63 11229657),(64 11384952),(65 11578777),(66 11772200),(67 11982408),(68 12200868),(69 12404179),(70 12618488),(71 12827575),(72 13014304),(73 13187869),(74 13346055),(75 13479989),(76 13659123),(77 13814641),(78 14004951),(79 14195815),
(1 12219.315),(2 36602.504),(3 75020.766),(4 125241.78),(5 205381.22),(6 278892.94),(7 364611.38),(8 464788.5),(9 576236.1),(10 697282.9),(11 834337.1),(12 970722.1),(13 1102260.5),(14 1245059.5),(15 1383879.5),(16 1530549.9),(17 1676791.6),(18 1826886.6),(19 1983404.9),(20 2127846.5),(21 2274367.3),(22 2423831.8),(23 2581017),(24 2722183),(25 2855706.3),(26 3006085),(27 3145069),(28 3280111),(29 3435586.8),(30 3619110.5),(31 3774441),(32 3948718.3),(33 4134948),(34 4328866.5),(35 4522618.5),(36 4722090),(37 4904536),(38 5078762.5),(39 5271215),(40 5428719),(41 5592017),(42 5725378),(43 5845394),(44 5953604.5),(45 6070562),(46 6162344),(47 6262816.5),(48 6358915),(49 6414801),(50 6491558),(51 6544382.5),(52 6586687.5),(53 6643010),(54 6690172.5),(55 6788006),(56 6857719),(57 6941772.5),(58 7024479),(59 7159996),(60 7265575),(61 7400333),(62 7538668.5),(63 7683114.5),(64 7814144),(65 7964162),(66 8089257),(67 8210854),(68 8360458),(69 8494181),(70 8618459),(71 8753575),(72 8834083),(73 8929263),(74 8984340),(75 9012721),(76 9056215),(77 9084578),(78 9080226),(79 9077316),
(1 13833.14),(2 44744.44),(3 92000.73),(4 151564),(5 239372.9),(6 322097.25),(7 415610),(8 515828.53),(9 628532.2),(10 751686.44),(11 890616.94),(12 1037514.06),(13 1185408.9),(14 1344120.5),(15 1498321.9),(16 1666900.8),(17 1838266.8),(18 2001685.1),(19 2173211.3),(20 2347158.8),(21 2521552.3),(22 2692316.3),(23 2884246.5),(24 3065206.3),(25 3238599.3),(26 3423043.8),(27 3601156.3),(28 3779161.8),(29 3957712.8),(30 4142309.8),(31 4314403.5),(32 4505173.5),(33 4708821),(34 4921884.5),(35 5135121),(36 5350942.5),(37 5572062),(38 5787412.5),(39 6016971.5),(40 6223899),(41 6452643),(42 6647372.5),(43 6839719.5),(44 7010055.5),(45 7209171),(46 7394386),(47 7558560.5),(48 7728632),(49 7869439.5),(50 8025463.5),(51 8161873.5),(52 8283584.5),(53 8410780),(54 8526764),(55 8632775),(56 8727748),(57 8824463),(58 8922550),(59 9046494),(60 9141735),(61 9267942),(62 9382870),(63 9499649),(64 9600343),(65 9726776),(66 9849663),(67 9959110),(68 10079548),(69 10186231),(70 10248529),(71 10318253),(72 10336949),(73 10346337),(74 10356041),(75 10342109),(76 10329636),(77 10307799),(78 10246915),(79 10187026),
(1 13065.805),(2 41753.332),(3 85787.766),(4 142372.72),(5 224389.16),(6 306179.6),(7 397355.6),(8 495854.1),(9 612421.4),(10 737704.6),(11 881836.2),(12 1047784.8),(13 1227554.6),(14 1422164.3),(15 1624694.9),(16 1833864.3),(17 2066120),(18 2279332),(19 2510826.5),(20 2743964.5),(21 2979014.5),(22 3208379.5),(23 3470249.5),(24 3719616.5),(25 3996619.3),(26 4267914),(27 4553849.5),(28 4821382.5),(29 5101364),(30 5390610),(31 5677052),(32 5968450),(33 6262803),(34 6570983),(35 6886575),(36 7198092),(37 7522283),(38 7844816),(39 8180077),(40 8506490),(41 8850350),(42 9178350),(43 9514435),(44 9832104),(45 10147192),(46 10444918),(47 10735465),(48 11011355),(49 11282291),(50 11549779),(51 11793982),(52 12023053),(53 12256723),(54 12446214),(55 12639325),(56 12795841),(57 12915158),(58 13024162),(59 13154567),(60 13237553),(61 13361331),(62 13456338),(63 13518480),(64 13570525),(65 13655085),(66 13723006),(67 13776762),(68 13840632),(69 13881683),(70 13905218),(71 13925686),(72 13918355),(73 13881350),(74 13825499),(75 13721978),(76 13637050),(77 13562835),(78 13445194),(79 13326628),
(1 12432.318),(2 40146.15),(3 80670.46),(4 131818.92),(5 208522.33),(6 275084.56),(7 352066.5),(8 431549.3),(9 524657),(10 621776.06),(11 730453.75),(12 852288.44),(13 979381.9),(14 1127424.1),(15 1282563.5),(16 1442576.3),(17 1615058.5),(18 1778962),(19 1955747.9),(20 2134691.8),(21 2310629.3),(22 2496202.3),(23 2703633.5),(24 2897494.8),(25 3107609),(26 3319524),(27 3537854.5),(28 3761540),(29 4010573.5),(30 4293342),(31 4558213),(32 4835070.5),(33 5114657.5),(34 5422734),(35 5714311),(36 6031239),(37 6352573),(38 6666802),(39 7002337),(40 7320088),(41 7637525.5),(42 7964054),(43 8276802.5),(44 8594749),(45 8903625),(46 9193661),(47 9474441),(48 9734927),(49 9968473),(50 10196956),(51 10421742),(52 10629111),(53 10825122),(54 10990137),(55 11117388),(56 11240331),(57 11333162),(58 11402484),(59 11468190),(60 11511984),(61 11559113),(62 11591658),(63 11611141),(64 11605861),(65 11623056),(66 11619530),(67 11630251),(68 11649334),(69 11650884),(70 11648956),(71 11649767),(72 11612273),(73 11586569),(74 11578783),(75 11547564),(76 11528834),(77 11521914),(78 11491536),(79 11494007),
(1 12385.048),(2 39182.957),(3 78976.59),(4 128767.53),(5 198106.7),(6 262232.63),(7 337039.1),(8 418394.38),(9 511624.22),(10 611609.44),(11 717796.4),(12 832445.75),(13 952223.06),(14 1080308.3),(15 1210716.6),(16 1341337.1),(17 1477671.9),(18 1612026.8),(19 1750111.3),(20 1893133.8),(21 2038462.6),(22 2184907.3),(23 2342386.8),(24 2488441),(25 2638297),(26 2797821.5),(27 2956888.5),(28 3111546.8),(29 3272678.3),(30 3454264),(31 3618053),(32 3776360.5),(33 3937616),(34 4097056.5),(35 4258495.5),(36 4416413.5),(37 4590010.5),(38 4753464.5),(39 4904918.5),(40 5042768),(41 5165593),(42 5287098),(43 5428145),(44 5576400.5),(45 5716600.5),(46 5886087.5),(47 6036643.5),(48 6187346),(49 6313322.5),(50 6420856.5),(51 6522549.5),(52 6626280.5),(53 6733371),(54 6829581),(55 6946828.5),(56 7050355),(57 7137431.5),(58 7222994),(59 7300944.5),(60 7390498),(61 7483361),(62 7573599),(63 7648750),(64 7706420.5),(65 7724756.5),(66 7739362.5),(67 7759240),(68 7774376.5),(69 7793920.5),(70 7828644.5),(71 7843705.5),(72 7868106.5),(73 7899419.5),(74 7936781),(75 7991934),(76 8046893),(77 8112896.5),(78 8185280.5),(79 8256569.5),
(1 15470.9795),(2 52947.594),(3 110894.2),(4 185335.16),(5 274775.13),(6 368989.88),(7 473378.16),(8 588354.5),(9 714413.1),(10 851261.25),(11 1001911.6),(12 1163368),(13 1330526.9),(14 1508352.8),(15 1680810.3),(16 1857869.8),(17 2035669.1),(18 2211472.8),(19 2380577.8),(20 2532751.5),(21 2683980.3),(22 2828940.8),(23 2975331.8),(24 3127202.8),(25 3278017.5),(26 3443459.3),(27 3595874),(28 3750863.5),(29 3904442.3),(30 4052469.8),(31 4191204.8),(32 4325281),(33 4459237.5),(34 4588575),(35 4729776),(36 4876976.5),(37 5030394),(38 5179205),(39 5332367),(40 5485154),(41 5633189.5),(42 5772874.5),(43 5906919),(44 6040470),(45 6182838.5),(46 6326659),(47 6458532.5),(48 6589722),(49 6686736.5),(50 6772343.5),(51 6864423),(52 6931507),(53 7011197.5),(54 7048676),(55 7083261),(56 7105982.5),(57 7098868),(58 7072239),(59 7039386),(60 7001783.5),(61 6957949.5),(62 6920443),(63 6874788.5),(64 6820863),(65 6756888.5),(66 6699441),(67 6646666),(68 6608187),(69 6557796.5),(70 6513987),(71 6471503.5),(72 6434521),(73 6414884),(74 6428821),(75 6457076.5),(76 6499977.5),(77 6548507),(78 6596715.5),(79 6655500.5),
(1 14323.386),(2 48522.387),(3 101668.64),(4 167181.4),(5 247893.56),(6 326868.13),(7 410969.84),(8 500482.38),(9 595927.5),(10 699762.9),(11 814115.44),(12 936135.44),(13 1057005.9),(14 1193288.3),(15 1323546.1),(16 1459468.8),(17 1604810.8),(18 1738951.1),(19 1873144),(20 1997744.3),(21 2119786.8),(22 2234247),(23 2359739.5),(24 2483790.8),(25 2610369),(26 2751095.8),(27 2887245.8),(28 3044801.3),(29 3192245.3),(30 3341852),(31 3476349),(32 3608406.3),(33 3731928),(34 3847747),(35 3952779),(36 4069787.5),(37 4180381.3),(38 4273649.5),(39 4357018),(40 4440816),(41 4529708),(42 4588901),(43 4649679.5),(44 4705344),(45 4750582),(46 4795239.5),(47 4818053.5),(48 4836446),(49 4841004.5),(50 4846961),(51 4848096),(52 4833676.5),(53 4832368.5),(54 4822832.5),(55 4815639),(56 4813206.5),(57 4800749),(58 4789490),(59 4780898),(60 4759743.5),(61 4738371.5),(62 4726066.5),(63 4719432.5),(64 4715901),(65 4700441),(66 4696423.5),(67 4702323.5),(68 4704289.5),(69 4694483.5),(70 4682463),(71 4677203.5),(72 4667212.5),(73 4658334),(74 4673806),(75 4689960.5),(76 4703978.5),(77 4727221.5),(78 4742060),(79 4759927.5),
(1 14492.062),(2 49709.816),(3 104753.87),(4 176648.25),(5 278876.1),(6 378703.9),(7 490405),(8 612250),(9 748010.56),(10 898852.06),(11 1058651.3),(12 1233314.4),(13 1414523),(14 1607019.8),(15 1800492.3),(16 1991662.1),(17 2180253.8),(18 2357849),(19 2533568),(20 2689487.5),(21 2837947.3),(22 2973107.8),(23 3111204.5),(24 3231791.8),(25 3353903.5),(26 3483605.5),(27 3612000.3),(28 3751599.8),(29 3883064.3),(30 4002512.5),(31 4108449),(32 4207915.5),(33 4284459.5),(34 4358593.5),(35 4419531.5),(36 4488317),(37 4536891.5),(38 4581453.5),(39 4621970.5),(40 4656206),(41 4695796.5),(42 4711551),(43 4716828),(44 4711733.5),(45 4684420),(46 4646980),(47 4596425.5),(48 4531934),(49 4456667),(50 4391308),(51 4328069),(52 4260452.5),(53 4206713.5),(54 4155414.5),(55 4101527.5),(56 4063951.5),(57 4025197.8),(58 3988088),(59 3949998),(60 3920741),(61 3875962.5),(62 3843780.8),(63 3810092.3),(64 3783544),(65 3771251.8),(66 3768453.5),(67 3767034.3),(68 3782154),(69 3786578),(70 3795376),(71 3810434.3),(72 3814791.8),(73 3822344.8),(74 3834955.5),(75 3836672),(76 3845870),(77 3849502),(78 3849708.8),(79 3855290.8),
