1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 561272.94),(2 1596806),(3 2616083.8),(4 3750544),(5 4850889),(6 5813386.5),(7 6883870.5),(8 7605094.5),(9 8897633),(10 10451421),(11 12024733),(12 13627639),(13 15684213),(14 17122068),(15 18983638),(16 20215036),(17 21384734),(18 22082792),(19 23754240),(20 24076026),(21 24532512),(22 24346186),(23 24204574),(24 23645658),(25 23393392),(26 22974138),(27 22732304),(28 21913602),(29 21424826),(30 21614266),(31 22292690),(32 23282432),(33 23327054),(34 22422614),(35 21891168),(36 21460974),(37 21456832),(38 20886338),(39 21070778),(40 20937282),(41 21291678),(42 21324110),(43 22509456),(44 22907030),(45 22977342),(46 23198714),(47 24155578),(48 24405514),(49 25108080),(50 26796576),(51 27196262),(52 27629930),(53 28632030),(54 29466574),(55 30559240),(56 31972656),(57 32487306),(58 32838426),(59 32703032),(60 32887656),(61 33242154),(62 33773776),(63 34679748),(64 35756356),(65 36924508),(66 36443380),(67 36222850),(68 36716464),(69 37556700),(70 38429044),(71 40146492),(72 41241444),(73 41667572),(74 42497476),(75 42981360),(76 42921890),(77 43345276),(78 43745440),(79 45295012),
(1 622227.1),(2 1794147.3),(3 3008365.5),(4 4176484.5),(5 5345448),(6 6206923),(7 6872755),(8 7515582.5),(9 8727154),(10 9904618),(11 10936577),(12 12092862),(13 13148330),(14 13921408),(15 14261328),(16 14467677),(17 15088379),(18 16061210),(19 17592710),(20 18598140),(21 19607236),(22 20309350),(23 20740070),(24 20555938),(25 21332760),(26 22431174),(27 23519946),(28 24044724),(29 24298394),(30 25313912),(31 27043024),(32 28145964),(33 29118182),(34 30236400),(35 30581860),(36 30935904),(37 31399034),(38 32011596),(39 32619408),(40 33253428),(41 34747308),(42 36146028),(43 36911612),(44 36884630),(45 36961440),(46 36822092),(47 36795270),(48 36676868),(49 36206240),(50 35974636),(51 35299000),(52 34782068),(53 34923244),(54 35121924),(55 35872184),(56 36108004),(57 35769664),(58 34904984),(59 33582812),(60 32935532),(61 32433392),(62 32110522),(63 31353606),(64 31162394),(65 31124922),(66 31069178),(67 30824966),(68 30721632),(69 30605818),(70 30451532),(71 30488474),(72 30228464),(73 30286838),(74 31158548),(75 31702154),(76 31774828),(77 31999670),(78 32831156),(79 34956970),
(1 642845.06),(2 1899079.4),(3 3246745.3),(4 4466713),(5 5618349.5),(6 6700990.5),(7 7716570),(8 8650217),(9 9631236),(10 10821239),(11 11780019),(12 12588752),(13 13503333),(14 14713461),(15 16013229),(16 17015826),(17 17642216),(18 18332032),(19 18921904),(20 18946286),(21 19288638),(22 19634064),(23 19506798),(24 19435062),(25 19091100),(26 18672858),(27 18252406),(28 18070578),(29 17827890),(30 17710050),(31 17499976),(32 16761269),(33 16069387),(34 15658291),(35 15229589),(36 14871701),(37 14800632),(38 14626316),(39 14604296),(40 15009903),(41 16447376),(42 17684578),(43 18577710),(44 19373290),(45 19716284),(46 20096586),(47 20684544),(48 20641512),(49 21116394),(50 21536818),(51 22329740),(52 23799200),(53 25282970),(54 26785670),(55 28345768),(56 30167992),(57 31888360),(58 33590444),(59 34320540),(60 34991372),(61 35239340),(62 35682824),(63 35369780),(64 34859116),(65 35385650),(66 35765370),(67 35781388),(68 35246668),(69 34626876),(70 34543932),(71 34676230),(72 34418696),(73 34109692),(74 33858124),(75 33396002),(76 33271408),(77 33121408),(78 33143358),(79 33710650),
(1 527229.56),(2 1648582.9),(3 3043823),(4 4396881),(5 5537017),(6 6794091),(7 8369675.5),(8 9732921),(9 11238269),(10 13325071),(11 15373582),(12 17326568),(13 18938248),(14 20529848),(15 21775456),(16 23094616),(17 23418774),(18 23392442),(19 23339704),(20 23240004),(21 23408648),(22 23424494),(23 23285170),(24 22975270),(25 21912236),(26 20830738),(27 20059608),(28 19801334),(29 19906006),(30 20002872),(31 20208650),(32 20545404),(33 20778610),(34 21104560),(35 21389078),(36 22083076),(37 22617352),(38 22572668),(39 22533170),(40 22357856),(41 22680462),(42 23256292),(43 24004576),(44 24403716),(45 24437814),(46 24165178),(47 23867970),(48 23703794),(49 24400998),(50 25288584),(51 25938872),(52 26551144),(53 27451830),(54 28657500),(55 29664182),(56 30965806),(57 32538488),(58 34348012),(59 35831984),(60 36504790),(61 36644052),(62 37165750),(63 37295176),(64 36969030),(65 37077360),(66 36941496),(67 37074040),(68 36817010),(69 35880556),(70 34974790),(71 33909730),(72 32537390),(73 31278770),(74 29944590),(75 28726322),(76 27639396),(77 26363352),(78 25061996),(79 23991094),
(1 973441.6),(2 3300399.3),(3 6279606),(4 9518654),(5 13082499),(6 16560912),(7 20250446),(8 23537644),(9 26758964),(10 29752742),(11 32212832),(12 34260028),(13 35346536),(14 35627620),(15 35658700),(16 34961916),(17 33446232),(18 31210426),(19 28785336),(20 26530694),(21 24678688),(22 22978558),(23 22106062),(24 21671416),(25 21365534),(26 20941830),(27 21045562),(28 21433292),(29 22048778),(30 23055074),(31 24545606),(32 25969862),(33 27393496),(34 28481594),(35 29672050),(36 30711842),(37 31521544),(38 31486050),(39 30644858),(40 29594424),(41 28991762),(42 28683284),(43 28551052),(44 29209490),(45 30009362),(46 30881792),(47 31867194),(48 32676876),(49 33950276),(50 34422780),(51 34618716),(52 34141760),(53 33587920),(54 32599552),(55 31481498),(56 30570584),(57 29543400),(58 28837278),(59 28462050),(60 28169376),(61 27812184),(62 27694696),(63 27607360),(64 27337144),(65 27141342),(66 27480088),(67 28047970),(68 28460230),(69 28865108),(70 29412232),(71 29991180),(72 30400396),(73 30778706),(74 30725282),(75 30797766),(76 30372538),(77 29360594),(78 28413474),(79 26821556),
(1 957058.4),(2 3323525.5),(3 6583433),(4 10159086),(5 13794994),(6 16900104),(7 19704924),(8 21944858),(9 23954548),(10 25264084),(11 25949324),(12 26164270),(13 25646704),(14 24203402),(15 22490120),(16 20928712),(17 18949476),(18 17376180),(19 16471936),(20 16243534),(21 16214117),(22 16408930),(23 16906002),(24 17436924),(25 17882268),(26 18187526),(27 18737632),(28 19670502),(29 20382336),(30 20814586),(31 21395088),(32 21473086),(33 21532340),(34 21144452),(35 20533910),(36 19510348),(37 18370950),(38 16779914),(39 14751902),(40 12992091),(41 11559048),(42 10673097),(43 10364978),(44 10995745),(45 12032058),(46 13234797),(47 14449115),(48 16000880),(49 17638414),(50 19138954),(51 21045534),(52 22653266),(53 23980980),(54 24404080),(55 24292838),(56 24066684),(57 23930426),(58 24168388),(59 23563998),(60 22633058),(61 21538436),(62 20422668),(63 19292048),(64 18576534),(65 18176214),(66 18451564),(67 19064604),(68 19229236),(69 19337648),(70 19217900),(71 19178168),(72 19359674),(73 19599214),(74 19959578),(75 20588848),(76 21441334),(77 21982748),(78 21897444),(79 21804218),
(1 1203041.6),(2 4165852.3),(3 8090666.5),(4 12119732),(5 16016730),(6 19732376),(7 22623378),(8 24755830),(9 25712380),(10 25519436),(11 24005908),(12 22244690),(13 20649032),(14 19316142),(15 18160852),(16 17965436),(17 18212600),(18 18922904),(19 19652616),(20 20609700),(21 21482478),(22 22156590),(23 22768030),(24 23174280),(25 23068908),(26 22442824),(27 21900380),(28 20995744),(29 19990506),(30 19093224),(31 18311650),(32 17753294),(33 17621768),(34 18105520),(35 18968342),(36 19818650),(37 20492960),(38 20989052),(39 21316534),(40 21157024),(41 20464356),(42 19382752),(43 18648646),(44 18352142),(45 18426874),(46 18437262),(47 18463412),(48 18479828),(49 18884036),(50 19436504),(51 20054724),(52 20444110),(53 20475632),(54 20504334),(55 20497460),(56 20666882),(57 20892702),(58 20865822),(59 20318698),(60 19485302),(61 18435528),(62 17930580),(63 18123000),(64 18825112),(65 19602034),(66 20279376),(67 20812644),(68 21414720),(69 21370592),(70 20792808),(71 20183998),(72 19677682),(73 18797380),(74 18027960),(75 17360098),(76 16563338),(77 16077484),(78 16070476),(79 16278775),
(1 1587054.3),(2 5484728),(3 10630537),(4 16189011),(5 21809024),(6 26827820),(7 30394124),(8 32379986),(9 32744008),(10 30815574),(11 27466052),(12 23750072),(13 19932188),(14 16797634),(15 14752147),(16 14272891),(17 15275644),(18 17187822),(19 19512468),(20 21776722),(21 23863694),(22 25329606),(23 25761614),(24 25574028),(25 24653914),(26 22991540),(27 20989896),(28 19178518),(29 17295510),(30 15538681),(31 14485856),(32 14384134),(33 14678978),(34 15748939),(35 17475356),(36 19500566),(37 21968406),(38 24644706),(39 26775610),(40 28470836),(41 29087098),(42 28476396),(43 27157042),(44 25340086),(45 23449612),(46 21501572),(47 19593612),(48 18175162),(49 17436960),(50 17036136),(51 17032494),(52 17126286),(53 17343678),(54 17491914),(55 17782124),(56 17896380),(57 18249690),(58 18796582),(59 19215616),(60 19875872),(61 21098514),(62 22279658),(63 23218410),(64 23631590),(65 23475774),(66 22880354),(67 22151080),(68 21097484),(69 19821630),(70 18802010),(71 17972054),(72 17913928),(73 18458722),(74 19073430),(75 19665384),(76 19661428),(77 18950004),(78 17949730),(79 16992294),
(1 2326034),(2 8139094.5),(3 15785115),(4 24062740),(5 31611920),(6 36993400),(7 39823664),(8 40188868),(9 37123224),(10 31203984),(11 24696912),(12 18650982),(13 13744907),(14 10904425),(15 10340413),(16 12160445),(17 15821576),(18 20250624),(19 24283218),(20 28128928),(21 30905424),(22 31518828),(23 30456144),(24 28522142),(25 26043234),(26 23123370),(27 20310230),(28 18477012),(29 17495658),(30 17322192),(31 17766650),(32 18827498),(33 20175036),(34 21256628),(35 21556412),(36 20821916),(37 19736652),(38 18795530),(39 18261374),(40 18480336),(41 19864080),(42 22023410),(43 24270352),(44 26425314),(45 28120880),(46 28752046),(47 28446408),(48 27200764),(49 24876992),(50 21710400),(51 18515400),(52 15995031),(53 15063078),(54 15866123),(55 18155710),(56 21365240),(57 24935372),(58 28335280),(59 30406552),(60 31483058),(61 31519456),(62 30260330),(63 28052364),(64 25628816),(65 23699400),(66 21825652),(67 20120800),(68 18111618),(69 16475392),(70 15768452),(71 16400060),(72 18510914),(73 21415750),(74 25014520),(75 28202072),(76 30106664),(77 30582836),(78 29384780),(79 26253760),
(1 2702285),(2 9419714),(3 17915214),(4 26275032),(5 32648782),(6 36238636),(7 36769516),(8 34832264),(9 30486884),(10 25065326),(11 20377304),(12 17114132),(13 15262372),(14 14473193),(15 14675669),(16 16189632),(17 18610674),(18 21312776),(19 23440696),(20 25412810),(21 27296758),(22 28636476),(23 29042242),(24 28459290),(25 26831794),(26 23711572),(27 20174872),(28 17239030),(29 15217756),(30 14558586),(31 15171481),(32 17058888),(33 19793654),(34 22975502),(35 25558982),(36 26981978),(37 27421096),(38 26684344),(39 24947712),(40 22595196),(41 20361992),(42 18141568),(43 16382830),(44 15703876),(45 16227440),(46 17981088),(47 20408590),(48 23196334),(49 25877336),(50 27623460),(51 27973042),(52 26567294),(53 24335488),(54 21555310),(55 19043688),(56 17609474),(57 17918608),(58 19744894),(59 22649618),(60 25781042),(61 27993512),(62 28554362),(63 27547482),(64 25290840),(65 22464386),(66 19948824),(67 17785978),(68 16609072),(69 16379001),(70 17090646),(71 18392564),(72 20321368),(73 21780974),(74 22867208),(75 23393326),(76 23318550),(77 22676158),(78 21233290),(79 19708524),
(1 3220630.3),(2 11673817),(3 22266556),(4 31945600),(5 37893292),(6 39023252),(7 36219784),(8 30613510),(9 24075276),(10 18637164),(11 15888130),(12 16207160),(13 18658842),(14 21759710),(15 24564428),(16 27045522),(17 28679796),(18 28845736),(19 28217640),(20 26867804),(21 25596118),(22 24219832),(23 22892394),(24 21554158),(25 20744696),(26 19861150),(27 19587196),(28 20181434),(29 21456146),(30 22914978),(31 23819094),(32 24363338),(33 24244432),(34 23682352),(35 22331420),(36 21075772),(37 20659128),(38 20712732),(39 21175040),(40 21430732),(41 21293522),(42 21072362),(43 21016282),(44 21104894),(45 21895144),(46 23467120),(47 25489468),(48 27450406),(49 28767314),(50 29261136),(51 28905794),(52 28299794),(53 27515626),(54 26457058),(55 25426222),(56 24524526),(57 24455466),(58 25191722),(59 26187392),(60 27107954),(61 27838346),(62 27946426),(63 27338956),(64 25644596),(65 23961582),(66 22641648),(67 21746804),(68 21496998),(69 21936542),(70 23105400),(71 24831790),(72 26453628),(73 27738310),(74 27920322),(75 26753450),(76 24687396),(77 22205946),(78 20016008),(79 18960194),
