1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 52230.02),(2 166874.5),(3 334997.1),(4 552900),(5 826315.3),(6 1156199),(7 1533166.4),(8 1973484.6),(9 2455803.8),(10 2983776),(11 3572079),(12 4170710.8),(13 4874884.5),(14 5587570.5),(15 6354330),(16 7156853.5),(17 8025601.5),(18 8933200),(19 9865379),(20 10894057),(21 11947549),(22 13051511),(23 14171379),(24 15338620),(25 16547667),(26 17753760),(27 18935590),(28 20166954),(29 21368486),(30 22593770),(31 23851208),(32 25111624),(33 26374498),(34 27574942),(35 28745614),(36 29886608),(37 30993008),(38 32104544),(39 33215662),(40 34279696),(41 35362356),(42 36404364),(43 37454932),(44 38476116),(45 39498450),(46 40438590),(47 41336164),(48 42183484),(49 43011532),(50 43877490),(51 44778590),(52 45631116),(53 46414972),(54 47210028),(55 48107468),(56 48953824),(57 49840716),(58 50625012),(59 51432510),(60 52325410),(61 53168820),(62 53915600),(63 54689140),(64 55389324),(65 56115490),(66 56845332),(67 57431924),(68 58117340),(69 58734276),(70 59281972),(71 59743456),(72 60143956),(73 60547390),(74 60791116),(75 60858160),(76 60770988),(77 60598532),(78 60321676),(79 60078908),
(1 66604.8),(2 243552.66),(3 520008.7),(4 884218.8),(5 1346830.5),(6 1899822),(7 2545927.5),(8 3272810.8),(9 4090409.3),(10 4978478),(11 5944417),(12 6970761.5),(13 8104569.5),(14 9261481),(15 10494294),(16 11753364),(17 13042319),(18 14347219),(19 15678950),(20 17065490),(21 18490926),(22 19949866),(23 21390700),(24 22814114),(25 24216826),(26 25575740),(27 26942774),(28 28250708),(29 29526042),(30 30751674),(31 31953716),(32 33120268),(33 34176428),(34 35145304),(35 36028920),(36 36841864),(37 37607930),(38 38408044),(39 39184696),(40 39873850),(41 40569390),(42 41169996),(43 41782990),(44 42326620),(45 42830550),(46 43316052),(47 43744890),(48 44115730),(49 44489376),(50 44816896),(51 45191004),(52 45552310),(53 45880612),(54 46155784),(55 46458900),(56 46708956),(57 46947130),(58 47137616),(59 47256440),(60 47333120),(61 47398944),(62 47435116),(63 47514840),(64 47545716),(65 47631916),(66 47667476),(67 47631196),(68 47616804),(69 47543704),(70 47424376),(71 47291228),(72 47149976),(73 47023944),(74 46873788),(75 46733110),(76 46570490),(77 46412596),(78 46277690),(79 46228960),
(1 68675.47),(2 275039.66),(3 612958.7),(4 1085036.1),(5 1696974.1),(6 2438384.8),(7 3310120),(8 4286373.5),(9 5395923),(10 6609990.5),(11 7899916),(12 9325464),(13 10826135),(14 12433687),(15 14108772),(16 15818605),(17 17524530),(18 19290678),(19 21127322),(20 22914688),(21 24765744),(22 26601450),(23 28386218),(24 30085686),(25 31675106),(26 33230144),(27 34785136),(28 36141196),(29 37517460),(30 38694364),(31 39767924),(32 40768788),(33 41538764),(34 42135252),(35 42540996),(36 42739084),(37 42799148),(38 42846196),(39 42677396),(40 42343180),(41 41994500),(42 41453880),(43 40873076),(44 40140544),(45 39401772),(46 38586188),(47 37692596),(48 36741060),(49 35747940),(50 34686656),(51 33583530),(52 32479248),(53 31333114),(54 30163218),(55 29041794),(56 27940240),(57 26879258),(58 25832416),(59 24820496),(60 23889424),(61 23054200),(62 22308460),(63 21663998),(64 21096014),(65 20667496),(66 20356398),(67 20113518),(68 20019732),(69 20016770),(70 20122216),(71 20346064),(72 20666386),(73 21061538),(74 21518894),(75 22026250),(76 22597168),(77 23240754),(78 23972344),(79 24756010),
(1 69037.945),(2 275166.25),(3 621724.75),(4 1114867.8),(5 1750064.3),(6 2522141.5),(7 3427759.8),(8 4439656),(9 5583851),(10 6827302),(11 8165890),(12 9619374),(13 11162891),(14 12778842),(15 14455042),(16 16156800),(17 17863468),(18 19591192),(19 21362340),(20 23066516),(21 24806820),(22 26505332),(23 28119218),(24 29639644),(25 31032370),(26 32391018),(27 33727030),(28 34878264),(29 35998960),(30 36915384),(31 37723456),(32 38471044),(33 39023530),(34 39430224),(35 39675316),(36 39723630),(37 39664184),(38 39555424),(39 39300090),(40 38876790),(41 38402420),(42 37763164),(43 37055212),(44 36221950),(45 35389076),(46 34509964),(47 33571216),(48 32590200),(49 31596466),(50 30563812),(51 29528450),(52 28496268),(53 27467218),(54 26452482),(55 25466774),(56 24540420),(57 23671980),(58 22857604),(59 22090818),(60 21416580),(61 20870248),(62 20442542),(63 20144530),(64 19959416),(65 19921234),(66 20000632),(67 20167704),(68 20471692),(69 20872456),(70 21376488),(71 21960370),(72 22596452),(73 23289724),(74 23990264),(75 24708352),(76 25457024),(77 26208922),(78 26999912),(79 27784754),
(1 53411.41),(2 210954),(3 475074.72),(4 842651.2),(5 1315696),(6 1894668),(7 2567280.8),(8 3321798.5),(9 4165657.5),(10 5077776.5),(11 6051178),(12 7075320.5),(13 8128718.5),(14 9232030),(15 10353094),(16 11489211),(17 12620129),(18 13751261),(19 14891536),(20 15999327),(21 17097312),(22 18171756),(23 19158752),(24 20069564),(25 20877638),(26 21598514),(27 22254770),(28 22774974),(29 23232156),(30 23524342),(31 23721992),(32 23850478),(33 23850662),(34 23743916),(35 23509464),(36 23148222),(37 22701724),(38 22183518),(39 21576252),(40 20855166),(41 20119294),(42 19298478),(43 18465038),(44 17619156),(45 16821492),(46 16054975),(47 15326634),(48 14647732),(49 14049897),(50 13526944),(51 13088113),(52 12731172),(53 12440093),(54 12256493),(55 12175715),(56 12184189),(57 12282308),(58 12477149),(59 12755290),(60 13128614),(61 13582112),(62 14084321),(63 14640855),(64 15223149),(65 15872387),(66 16538980),(67 17181594),(68 17855692),(69 18516756),(70 19155112),(71 19741496),(72 20301344),(73 20842636),(74 21333068),(75 21812672),(76 22258708),(77 22687230),(78 23090458),(79 23480062),
(1 142621.58),(2 566899.8),(3 1260689.4),(4 2210318.5),(5 3396307.5),(6 4788035),(7 6382529.5),(8 8117721.5),(9 10019425),(10 12018731),(11 14081190),(12 16207976),(13 18325742),(14 20462820),(15 22515852),(16 24467326),(17 26246870),(18 27868780),(19 29311514),(20 30480272),(21 31431750),(22 32094746),(23 32421020),(24 32443322),(25 32108668),(26 31530876),(27 30762964),(28 29731610),(29 28557626),(30 27170886),(31 25670860),(32 24126316),(33 22508218),(34 20887180),(35 19273778),(36 17732078),(37 16324168),(38 15091414),(39 14041006),(40 13177878),(41 12563918),(42 12170765),(43 12002138),(44 12049860),(45 12340724),(46 12835305),(47 13510370),(48 14339077),(49 15307814),(50 16384859),(51 17536102),(52 18704608),(53 19848022),(54 20965226),(55 22047738),(56 23005400),(57 23857040),(58 24518538),(59 25059580),(60 25470596),(61 25735072),(62 25850726),(63 25836470),(64 25714442),(65 25534748),(66 25265338),(67 24914022),(68 24580640),(69 24258402),(70 23958910),(71 23700592),(72 23533216),(73 23488234),(74 23548784),(75 23738164),(76 24016204),(77 24378716),(78 24792088),(79 25233660),
(1 93522.625),(2 361882.97),(3 788207.25),(4 1356513.5),(5 2043828.8),(6 2823889.8),(7 3686127),(8 4600560.5),(9 5574629),(10 6581518),(11 7600373.5),(12 8647729),(13 9682800),(14 10713798),(15 11702814),(16 12625598),(17 13442497),(18 14151028),(19 14763792),(20 15219665),(21 15556778),(22 15743972),(23 15781794),(24 15679286),(25 15441764),(26 15101735),(27 14729687),(28 14258418),(29 13785871),(30 13263716),(31 12766574),(32 12337798),(33 11942977),(34 11642726),(35 11457322),(36 11372585),(37 11440481),(38 11677081),(39 12062213),(40 12573255),(41 13230784),(42 13960491),(43 14751193),(44 15554740),(45 16396310),(46 17208666),(47 17964688),(48 18636034),(49 19227516),(50 19681714),(51 20018020),(52 20195892),(53 20176070),(54 19993124),(55 19690232),(56 19250324),(57 18688294),(58 17996926),(59 17250208),(60 16472975),(61 15690836),(62 14924055),(63 14218910),(64 13585002),(65 13084958),(66 12700512),(67 12420848),(68 12305362),(69 12337860),(70 12518404),(71 12821452),(72 13230721),(73 13742519),(74 14301274),(75 14870511),(76 15427461),(77 15962492),(78 16450870),(79 16869758),
(1 124376.8),(2 477657.44),(3 1031556.1),(4 1746220.6),(5 2584744),(6 3506141.8),(7 4472440),(8 5441445),(9 6387122.5),(10 7279809),(11 8107008),(12 8860181),(13 9521462),(14 10115566),(15 10634084),(16 11066276),(17 11418785),(18 11697583),(19 11932097),(20 12076410),(21 12175300),(22 12197983),(23 12144039),(24 11998269),(25 11764974),(26 11466353),(27 11122274),(28 10704464),(29 10263897),(30 9783159),(31 9301681),(32 8844988),(33 8416389),(34 8053759.5),(35 7778378.5),(36 7588441.5),(37 7523099.5),(38 7591170),(39 7765233),(40 8023879.5),(41 8394762),(42 8818989),(43 9294131),(44 9770207),(45 10272178),(46 10755248),(47 11206691),(48 11615028),(49 11969597),(50 12267180),(51 12517867),(52 12696811),(53 12808427),(54 12876371),(55 12909498),(56 12875741),(57 12794556),(58 12627987),(59 12410441),(60 12164919),(61 11891799),(62 11583762),(63 11251988),(64 10896282),(65 10562427),(66 10273494),(67 9988726),(68 9745335),(69 9551407),(70 9412729),(71 9327093),(72 9316567),(73 9373340),(74 9497956),(75 9707561),(76 9952794),(77 10223735),(78 10489141),(79 10744731),
(1 128453.2),(2 497326.94),(3 1075743.6),(4 1826668.4),(5 2704746.3),(6 3661353.8),(7 4645164),(8 5607365),(9 6518266.5),(10 7340543),(11 8052150.5),(12 8651289),(13 9121978),(14 9479762),(15 9714350),(16 9837201),(17 9835317),(18 9744097),(19 9599291),(20 9387831),(21 9139683),(22 8862912),(23 8575550),(24 8309060),(25 8075412.5),(26 7902603.5),(27 7805883.5),(28 7764325.5),(29 7810412),(30 7919552),(31 8105030.5),(32 8381944.5),(33 8715128),(34 9127593),(35 9585704),(36 10055786),(37 10533796),(38 11007185),(39 11423375),(40 11745030),(41 11995196),(42 12120747),(43 12144292),(44 12063709),(45 11924962),(46 11726911),(47 11485997),(48 11225624),(49 10984853),(50 10769437),(51 10616297),(52 10511096),(53 10471418),(54 10511518),(55 10607440),(56 10738217),(57 10875802),(58 10995288),(59 11078641),(60 11123432),(61 11115730),(62 11034106),(63 10856769),(64 10591226),(65 10271891),(66 9896090),(67 9471928),(68 9051274),(69 8666487),(70 8343168),(71 8092158),(72 7946576),(73 7909408),(74 7970027.5),(75 8104352),(76 8300641),(77 8517701),(78 8728367),(79 8889224),
(1 162333.36),(2 637218.06),(3 1393877.8),(4 2387099),(5 3550151.5),(6 4813535.5),(7 6109111),(8 7355360),(9 8502777),(10 9482409),(11 10253538),(12 10812180),(13 11135278),(14 11246073),(15 11133364),(16 10805868),(17 10297519),(18 9663340),(19 8944359),(20 8177228.5),(21 7427433),(22 6736182),(23 6168045.5),(24 5743366),(25 5490554),(26 5428656),(27 5563150.5),(28 5875434),(29 6349538.5),(30 6950845.5),(31 7657207),(32 8438813),(33 9235879),(34 10012495),(35 10721624),(36 11298898),(37 11736228),(38 12008596),(39 12081742),(40 11933414),(41 11618187),(42 11141317),(43 10561432),(44 9919437),(45 9282546),(46 8686309),(47 8169322.5),(48 7762139.5),(49 7503146.5),(50 7398492.5),(51 7462178),(52 7671668.5),(53 8006829.5),(54 8434578),(55 8910012),(56 9371682),(57 9782608),(58 10088654),(59 10268167),(60 10300338),(61 10192988),(62 9965662),(63 9640516),(64 9252729),(65 8869936),(66 8534482),(67 8271548.5),(68 8134977),(69 8146035.5),(70 8310988.5),(71 8605131),(72 9002126),(73 9448484),(74 9885444),(75 10243247),(76 10478646),(77 10570207),(78 10497125),(79 10237769),
(1 187752.84),(2 742815.56),(3 1634352.9),(4 2808385),(5 4188425),(6 5687844.5),(7 7218636),(8 8676746),(9 10008550),(10 11124435),(11 11959024),(12 12517411),(13 12758572),(14 12725809),(15 12435994),(16 11914884),(17 11219408),(18 10433041),(19 9619633),(20 8833231),(21 8145141.5),(22 7601405.5),(23 7237607),(24 7053430),(25 7050520.5),(26 7228417),(27 7568171.5),(28 8010162),(29 8530219),(30 9059484),(31 9569535),(32 10018042),(33 10357597),(34 10577132),(35 10653047),(36 10579110),(37 10376787),(38 10071238),(39 9688824),(40 9272228),(41 8891240),(42 8570915),(43 8363955),(44 8268405.5),(45 8322876),(46 8486535),(47 8750316),(48 9079262),(49 9448287),(50 9808968),(51 10134608),(52 10388045),(53 10521472),(54 10524373),(55 10389207),(56 10117877),(57 9725709),(58 9215996),(59 8651285),(60 8081345),(61 7550706),(62 7095962.5),(63 6742972),(64 6528870.5),(65 6465940),(66 6565595.5),(67 6787894.5),(68 7143941.5),(69 7576295.5),(70 8034747.5),(71 8484787),(72 8865373),(73 9163732),(74 9346249),(75 9408119),(76 9326716),(77 9136664),(78 8851755),(79 8492894),
